2#tos#f1#f1009062/\"  -0.677 0.301  -0.829 0.301  -0.981 0.301  -0.945 0.247  -0.878 0.162  -0.942 0.036  -1.093 0.033  -1.114 0.100  -1.029 0.167  -1.010 0.033  -0.945 -0.053  -1.012 -0.177  -1.107 -0.235  -1.213 -0.189  -1.082 -0.168  -1.079 -0.317  -1.079 -0.469  -1.079 -0.621  -1.018 -0.671  -0.884 -0.598  -0.751 -0.525  -0.617 -0.452  -0.483 -0.379  -0.350 -0.306  -0.216 -0.233  -0.083 -0.161  0.051 -0.088  0.184 -0.015  0.318 0.058  0.451 0.131  0.585 0.204  0.719 0.276  0.852 0.349  0.986 0.422  1.119 0.495  1.135 0.502  1.262 0.440  1.267 0.290  1.246 0.146  1.113 0.100  0.998 0.138  1.055 0.234  1.133 0.160  1.107 0.033  0.998 0.077  1.004 0.100  1.145 0.100  1.230 0.033  1.267 -0.083  1.267 -0.235
2#tos#f1#f1009062/H  -0.860 0.925  -1.031 0.913  -1.031 0.729  -1.031 0.546  -1.031 0.363  -1.031 0.180  -0.988 0.015  -0.988 -0.169  -0.972 -0.348  -0.946 -0.525  -0.946 -0.708  -0.946 -0.891  -0.928 -0.927  -0.886 -0.749  -0.844 -0.571  -0.801 -0.393  -0.759 -0.215  -0.796 -0.113  -0.834 -0.144  -0.651 -0.144  -0.510 -0.102  -0.327 -0.102  -0.144 -0.102  0.039 -0.102  0.222 -0.102  0.405 -0.102  0.580 -0.138  0.762 -0.144  0.778 -0.051  0.796 0.132  0.813 0.314  0.831 0.496  0.849 0.679  0.866 0.861  0.884 1.043  0.808 1.137  0.722 1.039  0.748 0.882  0.765 0.716  0.765 0.532  0.765 0.349  0.765 0.166  0.765 -0.017  0.765 -0.200  0.765 -0.383  0.765 -0.566  0.765 -0.750  0.765 -0.933  0.765 -1.116  0.765 -1.214
2#tos#f1#f1009062/J  -0.340 0.988  -0.447 0.988  -0.554 0.988  -0.495 0.988  -0.388 0.988  -0.281 0.988  -0.174 0.988  -0.066 0.988  0.041 0.988  0.148 0.988  0.255 0.988  0.363 0.988  0.470 0.988  0.577 0.988  0.587 1.018  0.485 0.985  0.383 0.951  0.297 0.928  0.297 0.821  0.297 0.714  0.297 0.606  0.297 0.499  0.297 0.392  0.297 0.285  0.297 0.177  0.297 0.070  0.297 -0.037  0.297 -0.144  0.276 -0.247  0.257 -0.349  0.220 -0.441  0.217 -0.548  0.217 -0.655  0.217 -0.762  0.217 -0.869  0.217 -0.977  0.143 -1.038  0.094 -1.124  0.002 -1.160  -0.105 -1.160  -0.141 -1.232  -0.240 -1.240  -0.347 -1.240  -0.455 -1.240  -0.562 -1.240  -0.664 -1.217  -0.758 -1.179  -0.857 -1.159  -0.877 -1.060  -0.897 -0.961
2#tos#f1#f1009062/L  -0.367 1.638  -0.416 1.593  -0.457 1.541  -0.457 1.447  -0.441 1.369  -0.412 1.305  -0.412 1.212  -0.412 1.118  -0.412 1.025  -0.412 0.932  -0.412 0.838  -0.412 0.745  -0.412 0.651  -0.412 0.558  -0.412 0.464  -0.412 0.371  -0.412 0.278  -0.412 0.184  -0.412 0.091  -0.403 -0.001  -0.373 -0.090  -0.367 -0.182  -0.402 -0.268  -0.412 -0.359  -0.412 -0.452  -0.436 -0.536  -0.470 -0.615  -0.542 -0.646  -0.448 -0.646  -0.355 -0.646  -0.261 -0.646  -0.168 -0.646  -0.075 -0.646  0.019 -0.646  0.112 -0.646  0.206 -0.646  0.299 -0.646  0.393 -0.646  0.486 -0.646  0.580 -0.646  0.673 -0.646  0.766 -0.646  0.860 -0.646  0.953 -0.646  1.047 -0.646  1.140 -0.646  1.234 -0.646  1.327 -0.646  1.421 -0.646  1.514 -0.646
2#tos#f1#f1009062/M  -0.652 0.859  -0.778 0.786  -0.736 0.605  -0.736 0.406  -0.736 0.208  -0.736 0.010  -0.736 -0.189  -0.736 -0.387  -0.736 -0.585  -0.736 -0.784  -0.736 -0.982  -0.736 -1.180  -0.730 -1.241  -0.714 -1.044  -0.698 -0.846  -0.682 -0.648  -0.666 -0.451  -0.650 -0.253  -0.633 -0.055  -0.617 0.142  -0.601 0.340  -0.585 0.538  -0.570 0.734  -0.736 0.701  -0.605 0.597  -0.493 0.484  -0.403 0.318  -0.233 0.231  -0.110 0.132  -0.019 0.025  0.057 -0.098  0.252 -0.100  0.357 0.033  0.483 0.150  0.631 0.256  0.682 0.443  0.798 0.525  0.891 0.680  0.986 0.817  1.141 0.857  1.141 0.659  1.141 0.461  1.141 0.262  1.180 0.073  1.199 -0.123  1.225 -0.318  1.261 -0.507  1.308 -0.663  1.308 -0.861  1.350 -1.018
2#tos#f1#f1009062/N  -0.559 1.199  -0.653 1.098  -0.653 0.837  -0.653 0.575  -0.653 0.314  -0.653 0.052  -0.653 -0.209  -0.653 -0.471  -0.653 -0.732  -0.653 -0.994  -0.653 -1.255  -0.701 -1.469  -0.710 -1.251  -0.720 -0.990  -0.729 -0.728  -0.739 -0.467  -0.749 -0.206  -0.759 0.055  -0.769 0.317  -0.779 0.578  -0.789 0.839  -0.859 0.946  -0.773 0.787  -0.583 0.633  -0.409 0.491  -0.269 0.302  -0.087 0.223  0.101 0.067  0.296 -0.040  0.432 -0.198  0.573 -0.373  0.763 -0.501  0.904 -0.676  1.045 -0.796  1.018 -0.604  0.986 -0.345  0.954 -0.085  0.923 0.174  0.891 0.434  0.859 0.693  0.828 0.953  0.707 1.077  0.668 0.840  0.668 0.578  0.762 0.356  0.762 0.094  0.806 -0.160  0.809 -0.421  0.857 -0.663  0.904 -0.877
2#tos#f1#f1009062/O  0.156 1.017  0.003 1.017  -0.142 0.999  -0.285 0.975  -0.374 0.857  -0.503 0.819  -0.590 0.737  -0.698 0.666  -0.771 0.546  -0.884 0.453  -0.910 0.311  -0.964 0.173  -1.004 0.030  -1.004 -0.122  -1.044 -0.266  -1.044 -0.418  -0.983 -0.533  -0.952 -0.663  -0.846 -0.738  -0.716 -0.790  -0.617 -0.863  -0.475 -0.880  -0.361 -0.943  -0.208 -0.943  -0.056 -0.943  0.057 -0.983  0.210 -0.983  0.323 -0.943  0.475 -0.943  0.595 -0.863  0.708 -0.799  0.800 -0.699  0.876 -0.601  0.924 -0.478  0.996 -0.355  0.996 -0.202  0.996 -0.049  1.036 0.063  1.036 0.216  0.996 0.329  0.972 0.465  0.876 0.548  0.757 0.596  0.627 0.642  0.543 0.737  0.390 0.737  0.237 0.737  0.101 0.777  -0.051 0.777  -0.204 0.777
2#tos#f1#f1009062/Q  0.076 -0.713  -0.028 -0.857  -0.277 -0.857  -0.527 -0.857  -0.716 -0.761  -0.773 -0.568  -0.984 -0.530  -1.080 -0.341  -1.080 -0.092  -1.080 0.158  -1.080 0.407  -1.032 0.608  -0.956 0.781  -0.839 0.913  -0.758 1.118  -0.598 1.244  -0.375 1.311  -0.126 1.311  0.123 1.311  0.361 1.263  0.538 1.090  0.703 0.957  0.799 0.804  0.862 0.606  0.895 0.365  0.895 0.116  0.895 -0.133  0.792 -0.279  0.651 -0.424  0.499 -0.525  0.308 -0.616  0.071 -0.665  -0.178 -0.665  -0.406 -0.643  -0.502 -0.453  -0.598 -0.300  -0.598 -0.051  -0.458 0.058  -0.354 0.203  -0.105 0.203  0.144 0.203  0.221 0.030  0.332 -0.142  0.468 -0.307  0.558 -0.510  0.654 -0.700  0.847 -0.784  1.071 -0.809  1.272 -0.761  1.473 -0.713
2#tos#f1#f1009062/S  0.877 0.843  0.716 0.875  0.663 1.001  0.577 1.114  0.438 1.169  0.311 1.227  0.150 1.240  0.006 1.270  -0.167 1.270  -0.330 1.252  -0.444 1.142  -0.534 1.058  -0.659 0.982  -0.705 0.845  -0.705 0.671  -0.705 0.498  -0.641 0.372  -0.493 0.330  -0.405 0.244  -0.232 0.242  -0.149 0.128  0.013 0.116  0.151 0.030  0.324 0.029  0.434 -0.082  0.557 -0.148  0.680 -0.235  0.791 -0.356  0.831 -0.520  0.919 -0.608  0.919 -0.781  0.877 -0.937  0.740 -1.004  0.620 -1.128  0.485 -1.166  0.354 -1.209  0.181 -1.209  0.015 -1.196  -0.109 -1.094  -0.230 -1.013  -0.363 -0.930  -0.449 -0.810  -0.534 -0.696  -0.566 -0.536  -0.577 -0.367  -0.544 -0.226  -0.591 -0.290  -0.705 -0.399  -0.831 -0.482  -0.962 -0.525
2#tos#f1#f1009062/T  -1.421 0.554  -1.519 0.513  -1.438 0.456  -1.299 0.456  -1.160 0.456  -1.020 0.456  -0.881 0.456  -0.742 0.456  -0.603 0.456  -0.464 0.456  -0.325 0.456  -0.186 0.456  -0.047 0.456  0.092 0.456  0.231 0.456  0.370 0.456  0.509 0.456  0.648 0.456  0.788 0.456  0.927 0.456  1.066 0.456  1.205 0.456  1.323 0.455  1.184 0.440  1.046 0.425  0.908 0.410  0.769 0.395  0.631 0.380  0.493 0.366  0.355 0.351  0.216 0.336  0.078 0.321  -0.044 0.292  -0.101 0.210  -0.142 0.112  -0.142 -0.027  -0.142 -0.166  -0.142 -0.305  -0.097 -0.426  -0.093 -0.563  -0.093 -0.702  -0.093 -0.841  -0.093 -0.981  -0.093 -1.120  -0.093 -1.259  -0.093 -1.398  -0.093 -1.537  -0.093 -1.676  -0.093 -1.815  0.005 -1.856
2#tos#f1#f1009062/V  -1.053 1.083  -1.164 1.066  -1.109 0.992  -1.056 0.916  -0.997 0.846  -0.927 0.776  -0.849 0.692  -0.829 0.583  -0.816 0.462  -0.718 0.393  -0.718 0.264  -0.668 0.147  -0.559 0.083  -0.550 -0.041  -0.550 -0.170  -0.462 -0.245  -0.417 -0.355  -0.346 -0.461  -0.295 -0.577  -0.271 -0.702  -0.239 -0.824  -0.147 -0.905  -0.104 -1.008  -0.061 -1.094  -0.045 -1.209  0.047 -1.223  0.168 -1.206  0.176 -1.084  0.176 -0.955  0.266 -0.882  0.287 -0.765  0.287 -0.636  0.314 -0.511  0.377 -0.408  0.474 -0.331  0.525 -0.213  0.566 -0.090  0.566 0.039  0.622 0.112  0.718 0.182  0.734 0.302  0.734 0.431  0.759 0.550  0.846 0.643  0.901 0.716  0.943 0.804  1.013 0.863  1.090 0.916  1.181 0.954  1.181 1.083
2#tos#f1#f1009062/X  -0.791 1.251  -0.929 1.198  -0.837 1.047  -0.741 0.921  -0.582 0.808  -0.509 0.643  -0.427 0.492  -0.280 0.364  -0.126 0.251  -0.053 0.070  0.041 -0.098  0.163 -0.250  0.274 -0.393  0.364 -0.548  0.439 -0.701  0.543 -0.849  0.622 -1.004  0.713 -1.109  0.760 -1.034  0.760 -0.838  0.760 -0.643  0.760 -0.448  0.760 -0.252  0.760 -0.057  0.760 0.138  0.760 0.334  0.760 0.529  0.760 0.724  0.760 0.920  0.760 1.115  0.619 1.146  0.511 1.050  0.358 0.933  0.337 0.751  0.243 0.613  0.082 0.524  0.008 0.382  -0.086 0.218  -0.187 0.063  -0.302 -0.092  -0.440 -0.230  -0.603 -0.303  -0.603 -0.498  -0.735 -0.623  -0.791 -0.766  -0.878 -0.910  -1.030 -1.012  -1.078 -1.192  -1.167 -1.299  -1.261 -1.333
2#tos#f1#f1009062/Z  -0.646 1.021  -0.788 1.021  -0.930 1.021  -0.930 0.974  -0.788 0.974  -0.645 0.974  -0.503 0.974  -0.361 0.974  -0.218 0.974  -0.076 0.974  0.067 0.974  0.209 0.974  0.304 1.021  0.446 1.021  0.589 1.021  0.683 0.973  0.682 0.831  0.588 0.783  0.587 0.641  0.477 0.561  0.413 0.434  0.321 0.327  0.220 0.226  0.173 0.097  0.066 0.016  0.026 -0.110  -0.074 -0.211  -0.148 -0.315  -0.266 -0.372  -0.284 -0.497  -0.331 -0.592  -0.408 -0.693  -0.505 -0.767  -0.598 -0.856  -0.664 -0.943  -0.733 -1.019  -0.591 -1.019  -0.449 -1.019  -0.306 -1.019  -0.164 -1.019  -0.029 -1.012  0.073 -0.969  0.208 -0.924  0.351 -0.924  0.493 -0.924  0.635 -0.924  0.778 -0.924  0.920 -0.924  1.015 -0.877  1.110 -0.924
2#tos#f1#f1009062/f  -0.962 0.056  -1.130 0.056  -1.101 -0.039  -0.934 -0.039  -0.766 -0.039  -0.599 -0.039  -0.431 -0.039  -0.264 -0.039  -0.096 -0.039  0.069 -0.027  0.231 0.009  0.399 0.009  0.566 0.009  0.734 0.009  0.888 -0.004  0.916 0.045  0.878 0.208  0.839 0.371  0.801 0.534  0.763 0.697  0.746 0.863  0.619 0.928  0.565 1.053  0.444 1.100  0.300 1.138  0.188 1.242  0.020 1.242  -0.140 1.200  -0.212 1.100  -0.285 1.005  -0.303 0.852  -0.345 0.694  -0.298 0.546  -0.298 0.379  -0.298 0.211  -0.222 0.075  -0.161 -0.075  -0.108 -0.229  -0.108 -0.397  -0.108 -0.565  -0.084 -0.728  -0.061 -0.892  -0.061 -1.059  -0.013 -1.180  -0.013 -1.347  -0.013 -1.515  -0.013 -1.682  -0.061 -1.838  -0.178 -1.889  -0.298 -1.936
2#tos#f1#f1009062/i  0.120 0.658  -0.003 0.648  0.018 0.535  0.059 0.442  0.100 0.350  0.120 0.237  0.120 0.104  0.120 -0.030  0.120 -0.163  0.120 -0.297  0.120 -0.430  0.120 -0.564  0.120 -0.697  0.120 -0.830  0.120 -0.964  0.120 -1.097  0.120 -1.231  0.120 -1.364  0.120 -1.498  0.120 -1.631  0.112 -1.597  0.100 -1.464  0.087 -1.332  0.075 -1.199  0.062 -1.066  0.050 -0.933  0.037 -0.800  0.025 -0.667  0.012 -0.534  -0.000 -0.402  -0.013 -0.269  -0.025 -0.136  -0.038 -0.003  -0.050 0.130  -0.063 0.263  -0.076 0.395  -0.088 0.528  -0.101 0.661  -0.113 0.794  -0.126 0.927  -0.138 1.060  -0.151 1.193  -0.163 1.325  -0.176 1.458  -0.197 1.581  -0.331 1.581  -0.403 1.581  -0.270 1.581  -0.136 1.581  -0.003 1.581
2#tos#f1#f1009062/k  -0.630 2.054  -0.687 1.866  -0.611 1.654  -0.573 1.446  -0.573 1.201  -0.573 0.956  -0.573 0.711  -0.573 0.466  -0.573 0.220  -0.573 -0.025  -0.573 -0.270  -0.573 -0.515  -0.573 -0.760  -0.630 -0.982  -0.630 -1.227  -0.574 -1.296  -0.433 -1.096  -0.291 -0.896  -0.150 -0.696  -0.008 -0.496  0.133 -0.296  0.275 -0.096  0.416 0.104  0.558 0.305  0.700 0.505  0.841 0.705  0.983 0.905  0.970 0.857  0.856 0.682  0.699 0.525  0.495 0.396  0.330 0.306  0.284 0.069  0.054 0.053  -0.173 0.036  -0.207 -0.175  -0.395 -0.232  -0.526 -0.347  -0.771 -0.347  -0.587 -0.347  -0.399 -0.404  -0.154 -0.404  0.091 -0.404  0.279 -0.461  0.524 -0.461  0.699 -0.575  0.887 -0.632  1.018 -0.747  1.182 -0.861  1.313 -0.975
2#tos#f1#f1009062/m  -0.847 1.049  -1.010 1.044  -1.061 0.890  -1.061 0.724  -1.061 0.558  -1.061 0.392  -1.061 0.226  -1.061 0.060  -1.061 -0.106  -1.061 -0.272  -1.061 -0.438  -1.061 -0.604  -1.061 -0.559  -1.004 -0.450  -0.901 -0.388  -0.794 -0.329  -0.794 -0.163  -0.705 -0.058  -0.571 -0.006  -0.472 0.096  -0.423 0.242  -0.366 0.353  -0.200 0.353  -0.087 0.299  0.063 0.284  0.117 0.171  0.117 0.005  0.224 -0.054  0.224 -0.220  0.224 -0.386  0.277 -0.529  0.277 -0.526  0.277 -0.360  0.340 -0.208  0.384 -0.050  0.467 0.041  0.598 0.113  0.660 0.254  0.807 0.299  0.973 0.299  1.134 0.294  1.187 0.182  1.257 0.085  1.348 0.010  1.455 -0.049  1.455 -0.215  1.455 -0.381  1.455 -0.547  1.509 -0.659  1.562 -0.771
2#tos#f1#f1009062/n  -0.823 1.323  -0.823 1.176  -0.904 1.063  -0.985 0.997  -0.985 0.850  -0.944 0.710  -0.904 0.570  -0.865 0.433  -0.823 0.296  -0.823 0.149  -0.823 0.002  -0.823 -0.145  -0.823 -0.291  -0.823 -0.438  -0.742 -0.551  -0.742 -0.698  -0.742 -0.845  -0.724 -0.754  -0.656 -0.625  -0.525 -0.559  -0.469 -0.445  -0.346 -0.363  -0.254 -0.266  -0.254 -0.119  -0.250 0.025  -0.119 0.091  -0.056 0.185  0.071 0.205  0.075 0.348  0.152 0.417  0.206 0.510  0.352 0.510  0.477 0.533  0.565 0.592  0.639 0.519  0.761 0.470  0.802 0.341  0.802 0.194  0.856 0.086  0.995 0.040  1.046 -0.071  1.046 -0.218  1.046 -0.364  1.092 -0.465  1.127 -0.577  1.195 -0.695  1.208 -0.837  1.208 -0.983  1.208 -1.130  1.127 -1.196
2#tos#f1#f1009062/t  -1.049 0.188  -1.215 0.141  -1.209 0.046  -1.031 0.046  -0.853 0.046  -0.676 0.046  -0.498 0.046  -0.320 0.046  -0.143 0.046  0.030 0.057  0.156 0.183  0.331 0.188  0.509 0.188  0.687 0.188  0.864 0.188  1.042 0.188  1.055 0.170  0.962 0.321  0.869 0.473  0.777 0.625  0.684 0.776  0.591 0.928  0.499 1.079  0.406 1.231  0.313 1.383  0.233 1.256  0.090 1.221  -0.010 1.085  -0.052 0.925  -0.063 0.758  -0.123 0.641  -0.181 0.487  -0.195 0.315  -0.266 0.167  -0.266 -0.011  -0.408 -0.046  -0.408 -0.224  -0.408 -0.401  -0.408 -0.579  -0.408 -0.757  -0.408 -0.934  -0.337 -1.095  -0.299 -1.235  -0.193 -1.306  -0.123 -1.415  0.020 -1.449  0.127 -1.520  0.304 -1.520  0.411 -1.591  0.588 -1.591
2#tos#f1#f1009062/v  -0.704 0.986  -0.828 0.986  -0.953 0.986  -1.077 0.986  -1.078 0.863  -1.024 0.772  -0.913 0.717  -0.891 0.606  -0.865 0.493  -0.777 0.405  -0.704 0.311  -0.704 0.187  -0.704 0.063  -0.704 -0.061  -0.654 -0.134  -0.530 -0.134  -0.482 -0.241  -0.443 -0.358  -0.424 -0.479  -0.422 -0.602  -0.311 -0.658  -0.238 -0.736  -0.238 -0.860  -0.238 -0.984  -0.209 -1.097  -0.112 -1.161  0.012 -1.161  0.043 -1.068  0.112 -0.964  0.181 -0.861  0.241 -0.754  0.280 -0.636  0.319 -0.518  0.373 -0.407  0.429 -0.296  0.484 -0.185  0.574 -0.113  0.691 -0.074  0.789 -0.020  0.789 0.104  0.789 0.228  0.840 0.340  0.906 0.441  1.010 0.510  1.113 0.579  1.163 0.676  1.256 0.707  1.256 0.831  1.319 0.893  1.256 0.893
2#tos#f1#f1009062/y  -0.506 1.257  -0.609 1.227  -0.609 1.094  -0.569 0.970  -0.481 0.897  -0.421 0.778  -0.403 0.649  -0.280 0.638  -0.248 0.537  -0.181 0.431  -0.047 0.431  0.085 0.439  0.211 0.481  0.241 0.586  0.358 0.625  0.465 0.689  0.578 0.710  0.628 0.793  0.710 0.844  0.784 0.903  0.809 0.921  0.740 0.808  0.642 0.722  0.578 0.629  0.578 0.495  0.478 0.431  0.439 0.310  0.391 0.194  0.371 0.069  0.297 -0.018  0.252 -0.131  0.216 -0.259  0.167 -0.342  0.113 -0.422  0.113 -0.555  0.087 -0.678  0.010 -0.779  0.010 -0.913  -0.013 -1.036  -0.071 -1.153  -0.156 -1.220  -0.290 -1.220  -0.318 -1.332  -0.403 -1.412  -0.522 -1.426  -0.656 -1.426  -0.737 -1.374  -0.869 -1.371  -0.940 -1.271  -1.022 -1.220
