2#tos#t2#t2038062/\"  -0.580 0.922  -0.580 0.781  -0.653 0.686  -0.779 0.623  -0.842 0.497  -0.905 0.371  -0.968 0.245  -1.095 0.222  -1.180 0.166  -1.180 0.025  -1.180 -0.115  -1.180 -0.256  -1.162 -0.379  -1.080 -0.438  -1.080 -0.579  -0.981 -0.679  -0.880 -0.719  -0.880 -0.860  -0.782 -0.808  -0.668 -0.725  -0.554 -0.642  -0.440 -0.560  -0.326 -0.477  -0.212 -0.394  -0.098 -0.311  0.016 -0.228  0.130 -0.145  0.244 -0.062  0.358 0.020  0.471 0.103  0.585 0.186  0.699 0.269  0.813 0.352  0.927 0.435  1.041 0.518  1.155 0.600  1.269 0.683  1.251 0.698  1.117 0.654  1.022 0.581  1.022 0.441  1.022 0.300  0.977 0.177  0.878 0.078  0.822 -0.040  0.822 -0.181  0.822 -0.322  0.859 -0.454  0.922 -0.580  1.022 -0.679
2#tos#t2#t2038062/P  -0.073 1.089  -0.274 1.074  -0.274 0.858  -0.274 0.642  -0.274 0.427  -0.274 0.211  -0.274 -0.005  -0.324 -0.209  -0.324 -0.425  -0.324 -0.641  -0.366 -0.850  -0.375 -1.065  -0.375 -1.281  -0.375 -1.497  -0.375 -1.713  -0.429 -1.586  -0.437 -1.370  -0.445 -1.154  -0.453 -0.939  -0.461 -0.723  -0.470 -0.507  -0.478 -0.291  -0.486 -0.075  -0.494 0.140  -0.502 0.356  -0.510 0.572  -0.518 0.788  -0.526 1.004  -0.387 1.139  -0.171 1.139  0.045 1.139  0.261 1.139  0.431 1.093  0.591 1.033  0.765 0.906  0.885 0.760  1.036 0.696  1.119 0.535  1.237 0.423  1.237 0.207  1.173 0.018  1.036 -0.112  0.868 -0.238  0.683 -0.289  0.509 -0.358  0.317 -0.422  0.101 -0.422  -0.115 -0.422  -0.331 -0.422  -0.526 -0.372
2#tos#t2#t2038062/Q  0.341 -0.327  0.238 -0.464  0.138 -0.632  -0.027 -0.738  -0.266 -0.738  -0.454 -0.789  -0.687 -0.763  -0.901 -0.656  -1.007 -0.469  -1.148 -0.309  -1.199 -0.082  -1.199 0.158  -1.148 0.385  -1.081 0.568  -0.943 0.730  -0.787 0.858  -0.635 1.022  -0.475 1.164  -0.286 1.305  -0.114 1.418  0.125 1.418  0.362 1.400  0.587 1.321  0.701 1.161  0.855 1.004  0.917 0.779  0.990 0.563  1.008 0.331  0.989 0.096  0.947 -0.132  0.802 -0.311  0.711 -0.508  0.546 -0.635  0.417 -0.781  0.221 -0.892  0.033 -0.841  -0.133 -0.738  -0.288 -0.584  -0.429 -0.486  -0.471 -0.299  -0.441 -0.061  -0.284 0.032  -0.045 0.032  0.092 -0.071  0.244 -0.231  0.392 -0.349  0.534 -0.469  0.639 -0.656  0.717 -0.841  0.905 -0.892
2#tos#t2#t2038062/S  0.822 0.622  0.822 0.678  0.805 0.811  0.728 0.885  0.659 0.999  0.523 1.048  0.420 1.095  0.328 1.190  0.177 1.190  0.026 1.190  -0.117 1.144  -0.262 1.120  -0.397 1.053  -0.539 1.023  -0.661 0.936  -0.786 0.856  -0.786 0.705  -0.786 0.555  -0.739 0.451  -0.739 0.300  -0.661 0.192  -0.597 0.075  -0.477 0.029  -0.347 -0.040  -0.204 -0.071  -0.059 -0.096  0.083 -0.135  0.234 -0.135  0.384 -0.135  0.476 -0.229  0.611 -0.294  0.738 -0.371  0.822 -0.466  0.822 -0.616  0.815 -0.765  0.731 -0.888  0.586 -0.896  0.496 -0.999  0.378 -1.090  0.236 -1.128  0.086 -1.128  -0.065 -1.128  -0.216 -1.128  -0.366 -1.128  -0.470 -1.081  -0.586 -0.997  -0.644 -0.898  -0.739 -0.842  -0.780 -0.709  -0.786 -0.750
2#tos#t2#t2038062/U  -0.602 1.353  -0.698 1.302  -0.736 1.200  -0.736 1.084  -0.736 0.967  -0.736 0.850  -0.736 0.733  -0.736 0.616  -0.736 0.500  -0.736 0.383  -0.736 0.266  -0.736 0.149  -0.736 0.032  -0.736 -0.084  -0.736 -0.201  -0.736 -0.318  -0.736 -0.435  -0.736 -0.552  -0.692 -0.624  -0.612 -0.692  -0.515 -0.741  -0.469 -0.812  -0.381 -0.874  -0.309 -0.919  -0.192 -0.919  -0.075 -0.919  0.042 -0.919  0.159 -0.919  0.266 -0.897  0.355 -0.830  0.469 -0.825  0.527 -0.725  0.632 -0.696  0.689 -0.610  0.734 -0.512  0.769 -0.404  0.778 -0.289  0.778 -0.172  0.823 -0.100  0.823 0.017  0.823 0.134  0.823 0.251  0.823 0.367  0.823 0.484  0.845 0.596  0.867 0.707  0.867 0.824  0.867 0.941  0.867 1.058  0.867 1.174
2#tos#t2#t2038062/X  -0.828 1.303  -1.023 1.303  -1.113 1.197  -1.113 1.002  -1.002 0.880  -0.912 0.732  -0.733 0.694  -0.620 0.535  -0.529 0.362  -0.416 0.206  -0.277 0.068  -0.200 -0.096  -0.090 -0.181  -0.029 -0.316  0.103 -0.440  0.199 -0.601  0.312 -0.750  0.426 -0.866  0.542 -0.946  0.671 -1.073  0.770 -1.117  0.770 -0.921  0.787 -0.727  0.805 -0.532  0.822 -0.337  0.839 -0.142  0.856 0.052  0.873 0.247  0.890 0.442  0.908 0.636  0.925 0.831  0.933 1.017  0.770 0.985  0.682 0.816  0.533 0.714  0.457 0.547  0.326 0.415  0.261 0.231  0.080 0.209  -0.007 0.034  -0.133 -0.113  -0.307 -0.198  -0.450 -0.302  -0.486 -0.492  -0.641 -0.575  -0.715 -0.724  -0.828 -0.828  -0.928 -0.923  -1.046 -1.049  -1.113 -1.208
2#tos#t2#t2038062/Z  -0.967 1.090  -0.921 1.004  -0.790 1.004  -0.658 1.004  -0.527 1.004  -0.395 1.004  -0.264 1.004  -0.132 1.004  -0.004 0.977  0.126 0.961  0.247 0.918  0.379 0.918  0.467 0.875  0.599 0.875  0.728 0.864  0.852 0.832  0.877 0.787  0.804 0.704  0.694 0.650  0.624 0.540  0.533 0.446  0.409 0.420  0.319 0.337  0.288 0.213  0.189 0.131  0.090 0.045  0.057 -0.071  -0.061 -0.130  -0.152 -0.219  -0.234 -0.321  -0.346 -0.369  -0.384 -0.472  -0.477 -0.565  -0.570 -0.658  -0.633 -0.773  -0.667 -0.896  -0.710 -0.985  -0.734 -1.055  -0.603 -1.055  -0.474 -1.066  -0.350 -1.098  -0.218 -1.098  -0.087 -1.098  0.045 -1.098  0.176 -1.098  0.308 -1.098  0.440 -1.098  0.571 -1.098  0.703 -1.098  0.834 -1.098
2#tos#t2#t2038062/a  0.417 0.108  0.612 0.108  0.726 0.205  0.842 0.352  0.842 0.547  0.842 0.743  0.842 0.938  0.819 1.124  0.701 1.270  0.549 1.314  0.383 1.385  0.213 1.323  0.133 1.202  -0.015 1.098  -0.192 1.016  -0.376 0.951  -0.538 0.843  -0.576 0.668  -0.670 0.511  -0.758 0.342  -0.805 0.157  -0.922 0.001  -1.001 -0.168  -1.061 -0.354  -1.072 -0.548  -1.072 -0.743  -1.072 -0.938  -0.965 -1.026  -0.857 -1.168  -0.662 -1.168  -0.467 -1.168  -0.280 -1.117  -0.161 -0.978  -0.080 -0.856  -0.009 -0.731  0.113 -0.611  0.133 -0.428  0.218 -0.317  0.275 -0.179  0.346 -0.055  0.379 0.108  0.503 0.179  0.488 0.110  0.488 -0.085  0.430 -0.263  0.346 -0.433  0.346 -0.628  0.403 -0.800  0.522 -0.885  0.701 -0.956
2#tos#t2#t2038062/c  0.624 1.035  0.510 1.035  0.397 1.035  0.371 1.123  0.296 1.161  0.183 1.161  0.069 1.161  -0.040 1.145  -0.143 1.098  -0.256 1.098  -0.260 0.988  -0.347 0.928  -0.435 0.860  -0.517 0.782  -0.600 0.733  -0.639 0.629  -0.652 0.523  -0.753 0.473  -0.765 0.367  -0.765 0.253  -0.765 0.140  -0.765 0.026  -0.765 -0.087  -0.765 -0.201  -0.704 -0.289  -0.653 -0.390  -0.580 -0.476  -0.576 -0.588  -0.558 -0.696  -0.495 -0.791  -0.420 -0.869  -0.313 -0.905  -0.202 -0.923  -0.089 -0.923  0.025 -0.923  0.138 -0.923  0.252 -0.923  0.365 -0.923  0.468 -0.874  0.561 -0.843  0.608 -0.749  0.689 -0.670  0.803 -0.670  0.905 -0.642  0.940 -0.543  0.991 -0.481  1.104 -0.481  1.129 -0.392  1.142 -0.291  1.255 -0.291
2#tos#t2#t2038062/d  -0.146 -0.229  -0.330 -0.229  -0.358 -0.073  -0.516 -0.028  -0.648 -0.110  -0.780 -0.233  -0.808 -0.397  -0.939 -0.486  -0.939 -0.670  -0.939 -0.853  -0.939 -1.037  -0.886 -1.199  -0.736 -1.232  -0.553 -1.232  -0.369 -1.232  -0.192 -1.203  -0.068 -1.075  -0.031 -0.901  0.065 -0.747  0.065 -0.563  0.128 -0.399  0.171 -0.228  0.223 -0.057  0.223 0.127  0.223 0.311  0.287 0.479  0.329 0.653  0.329 0.836  0.373 1.013  0.428 1.184  0.488 1.344  0.488 1.528  0.540 1.699  0.494 1.703  0.382 1.578  0.382 1.394  0.382 1.211  0.382 1.027  0.373 0.845  0.329 0.666  0.304 0.487  0.276 0.308  0.276 0.124  0.276 -0.060  0.276 -0.243  0.276 -0.427  0.276 -0.610  0.276 -0.794  0.364 -0.951  0.488 -1.021
2#tos#t2#t2038062/e  -0.492 0.169  -0.672 0.169  -0.728 0.040  -0.548 0.040  -0.368 0.040  -0.214 0.105  -0.034 0.105  0.146 0.105  0.326 0.105  0.507 0.105  0.687 0.105  0.840 0.169  1.020 0.169  1.122 0.248  1.122 0.428  1.057 0.581  0.928 0.633  0.866 0.750  0.719 0.831  0.559 0.879  0.476 0.977  0.328 1.009  0.174 1.073  -0.006 1.073  -0.186 1.073  -0.347 1.025  -0.436 0.871  -0.583 0.770  -0.625 0.614  -0.725 0.472  -0.815 0.348  -0.815 0.168  -0.898 0.022  -0.944 -0.139  -0.944 -0.319  -0.905 -0.490  -0.821 -0.606  -0.751 -0.716  -0.720 -0.891  -0.613 -0.993  -0.446 -1.048  -0.271 -1.071  -0.110 -1.152  0.062 -1.187  0.242 -1.187  0.415 -1.143  0.592 -1.122  0.767 -1.090  0.942 -1.058  1.122 -1.058
2#tos#t2#t2038062/f  0.859 1.407  0.729 1.407  0.714 1.523  0.624 1.597  0.494 1.600  0.367 1.581  0.242 1.552  0.221 1.434  0.184 1.313  0.087 1.242  0.087 1.112  0.087 0.982  0.087 0.851  0.087 0.721  0.087 0.591  0.087 0.461  0.087 0.330  0.088 0.200  0.136 0.081  0.136 -0.049  0.136 -0.179  0.136 -0.309  0.136 -0.439  0.136 -0.570  0.078 -0.686  0.039 -0.807  0.039 -0.938  -0.009 -1.020  -0.057 -1.102  -0.057 -1.232  -0.105 -1.314  -0.160 -1.390  -0.290 -1.390  -0.322 -1.270  -0.348 -1.142  -0.373 -1.015  -0.399 -0.887  -0.424 -0.759  -0.450 -0.632  -0.475 -0.504  -0.501 -0.376  -0.527 -0.249  -0.604 -0.184  -0.538 -0.184  -0.411 -0.200  -0.289 -0.232  -0.159 -0.232  -0.028 -0.232  0.102 -0.232  0.232 -0.232
2#tos#t2#t2038062/g  0.585 0.467  0.585 0.689  0.645 0.850  0.645 1.072  0.546 1.195  0.506 1.377  0.284 1.377  0.062 1.377  -0.083 1.300  -0.139 1.134  -0.315 1.023  -0.527 0.963  -0.594 0.779  -0.731 0.608  -0.750 0.394  -0.629 0.293  -0.415 0.285  -0.193 0.285  0.029 0.285  0.234 0.312  0.342 0.497  0.281 0.517  0.281 0.295  0.281 0.073  0.281 -0.149  0.281 -0.371  0.281 -0.593  0.281 -0.815  0.220 -1.011  0.073 -1.151  -0.073 -1.293  -0.234 -1.354  -0.456 -1.354  -0.678 -1.354  -0.875 -1.293  -0.993 -1.189  -0.993 -0.967  -0.938 -0.758  -0.870 -0.564  -0.671 -0.464  -0.479 -0.383  -0.295 -0.321  -0.110 -0.261  0.112 -0.261  0.332 -0.239  0.550 -0.201  0.772 -0.201  0.983 -0.248  1.199 -0.269  1.373 -0.383
2#tos#t2#t2038062/h  -0.102 1.837  -0.167 1.936  -0.300 1.933  -0.300 1.798  -0.300 1.663  -0.300 1.528  -0.300 1.392  -0.300 1.257  -0.295 1.122  -0.269 0.990  -0.250 0.856  -0.250 0.721  -0.250 0.586  -0.250 0.451  -0.250 0.316  -0.250 0.180  -0.250 0.045  -0.250 -0.090  -0.250 -0.225  -0.250 -0.360  -0.250 -0.496  -0.250 -0.631  -0.250 -0.766  -0.250 -0.901  -0.250 -1.036  -0.293 -1.129  -0.300 -1.000  -0.300 -0.865  -0.300 -0.730  -0.300 -0.595  -0.300 -0.460  -0.286 -0.338  -0.250 -0.239  -0.166 -0.173  -0.033 -0.146  0.085 -0.101  0.215 -0.098  0.343 -0.140  0.479 -0.140  0.541 -0.213  0.590 -0.328  0.666 -0.387  0.702 -0.486  0.739 -0.585  0.788 -0.671  0.788 -0.806  0.788 -0.942  0.755 -1.063  0.739 -1.191  0.689 -1.277
2#tos#t2#t2038062/i  -0.180 1.214  -0.262 1.214  -0.345 1.214  -0.409 1.197  -0.452 1.157  -0.524 1.147  -0.490 1.099  -0.465 1.042  -0.409 1.015  -0.357 0.985  -0.275 0.985  -0.193 0.985  -0.110 0.985  -0.028 0.985  0.050 0.980  0.060 0.898  0.070 0.816  0.080 0.735  0.090 0.653  0.099 0.571  0.109 0.489  0.119 0.408  0.129 0.326  0.139 0.244  0.149 0.162  0.158 0.081  0.168 -0.001  0.178 -0.083  0.188 -0.165  0.198 -0.246  0.207 -0.328  0.217 -0.410  0.181 -0.451  0.152 -0.516  0.136 -0.596  0.119 -0.677  0.107 -0.758  0.107 -0.841  0.107 -0.923  0.107 -1.005  0.107 -1.088  0.107 -1.170  0.107 -1.253  0.107 -1.335  0.107 -1.417  0.107 -1.500  0.107 -1.582  0.107 -1.664  0.107 -1.747  0.107 -1.829
2#tos#t2#t2038062/j  0.107 1.624  0.011 1.622  0.059 1.573  0.064 1.481  0.113 1.433  0.209 1.433  0.253 1.377  0.258 1.280  0.263 1.184  0.269 1.087  0.274 0.990  0.279 0.894  0.285 0.797  0.290 0.700  0.296 0.604  0.297 0.507  0.227 0.481  0.130 0.481  0.107 0.407  0.107 0.311  0.136 0.243  0.202 0.212  0.202 0.116  0.202 0.019  0.202 -0.078  0.202 -0.175  0.202 -0.272  0.202 -0.368  0.202 -0.465  0.202 -0.562  0.202 -0.659  0.202 -0.755  0.202 -0.852  0.201 -0.949  0.133 -1.017  0.107 -1.103  0.045 -1.138  -0.051 -1.138  -0.148 -1.138  -0.245 -1.138  -0.342 -1.138  -0.400 -1.077  -0.476 -1.043  -0.567 -1.016  -0.644 -0.960  -0.691 -0.876  -0.725 -0.798  -0.817 -0.767  -0.892 -0.711  -0.941 -0.662
2#tos#t2#t2038062/l  -0.167 0.865  -0.167 0.947  -0.167 1.028  -0.092 1.034  -0.054 1.079  0.002 1.104  0.002 1.185  0.002 1.267  0.034 1.317  0.058 1.372  0.058 1.291  0.058 1.209  0.058 1.128  0.058 1.046  0.058 0.965  0.058 0.883  0.058 0.802  0.058 0.720  0.058 0.639  0.058 0.557  0.058 0.475  0.058 0.394  0.058 0.312  0.058 0.231  0.058 0.149  0.058 0.068  0.058 -0.014  0.058 -0.095  0.058 -0.177  0.058 -0.258  0.058 -0.340  0.058 -0.422  0.048 -0.499  0.002 -0.561  0.002 -0.643  0.002 -0.724  -0.023 -0.796  -0.054 -0.864  -0.054 -0.946  -0.054 -1.027  -0.054 -1.109  -0.054 -1.190  -0.054 -1.272  -0.054 -1.353  -0.054 -1.435  -0.054 -1.516  -0.054 -1.598  -0.054 -1.680  -0.054 -1.761  -0.111 -1.786
2#tos#t2#t2038062/m  -1.469 0.418  -1.570 0.291  -1.543 0.471  -1.430 0.663  -1.261 0.753  -1.087 0.872  -0.914 0.928  -0.774 0.805  -0.641 0.632  -0.585 0.426  -0.578 0.201  -0.578 -0.027  -0.578 -0.256  -0.588 -0.478  -0.705 -0.634  -0.705 -0.847  -0.673 -0.632  -0.641 -0.416  -0.624 -0.193  -0.488 -0.014  -0.364 0.146  -0.261 0.351  -0.132 0.451  -0.012 0.606  0.123 0.702  0.290 0.800  0.377 0.659  0.480 0.494  0.504 0.280  0.483 0.057  0.441 -0.161  0.441 -0.390  0.377 -0.555  0.377 -0.783  0.377 -0.825  0.377 -0.597  0.441 -0.383  0.504 -0.218  0.538 -0.010  0.695 0.133  0.803 0.291  1.032 0.291  1.197 0.227  1.205 0.007  1.205 -0.222  1.205 -0.450  1.205 -0.678  1.205 -0.907  1.178 -1.109  1.141 -1.173
2#tos#t2#t2038062/n  -0.637 0.817  -0.751 0.703  -0.758 0.557  -0.702 0.451  -0.702 0.289  -0.702 0.128  -0.670 -0.027  -0.637 -0.180  -0.637 -0.342  -0.637 -0.504  -0.637 -0.666  -0.637 -0.827  -0.637 -0.989  -0.637 -1.151  -0.685 -1.265  -0.637 -1.185  -0.637 -1.024  -0.637 -0.862  -0.637 -0.700  -0.637 -0.539  -0.637 -0.377  -0.539 -0.256  -0.507 -0.107  -0.494 0.049  -0.380 0.164  -0.265 0.278  -0.181 0.367  -0.165 0.525  -0.064 0.622  -0.015 0.767  0.057 0.882  0.218 0.882  0.274 0.988  0.412 1.012  0.573 1.012  0.729 1.007  0.795 0.872  0.902 0.817  0.987 0.693  1.001 0.535  1.055 0.386  1.055 0.224  1.055 0.062  1.055 -0.099  1.055 -0.261  1.055 -0.423  1.055 -0.584  1.055 -0.746  1.055 -0.908  1.055 -1.070
2#tos#t2#t2038062/r  -1.018 0.862  -1.039 0.862  -0.979 0.780  -0.854 0.762  -0.789 0.655  -0.671 0.576  -0.609 0.467  -0.562 0.372  -0.527 0.264  -0.526 0.122  -0.481 -0.013  -0.446 -0.149  -0.405 -0.282  -0.364 -0.414  -0.364 -0.556  -0.364 -0.699  -0.364 -0.841  -0.364 -0.983  -0.364 -1.125  -0.369 -1.263  -0.511 -1.263  -0.527 -1.137  -0.527 -0.995  -0.527 -0.853  -0.527 -0.711  -0.527 -0.568  -0.495 -0.431  -0.450 -0.296  -0.389 -0.168  -0.287 -0.080  -0.168 -0.004  -0.119 0.118  -0.073 0.231  0.045 0.301  0.095 0.422  0.224 0.459  0.358 0.504  0.496 0.535  0.638 0.535  0.780 0.535  0.922 0.535  1.064 0.535  1.125 0.453  1.267 0.453  1.378 0.402  1.450 0.285  1.585 0.240  1.722 0.208  1.761 0.148  1.679 0.208
2#tos#t2#t2038062/s  0.602 0.831  0.602 0.977  0.602 1.122  0.507 1.173  0.430 1.241  0.284 1.241  0.138 1.241  -0.007 1.241  -0.112 1.143  -0.242 1.105  -0.355 1.033  -0.368 0.900  -0.513 0.900  -0.560 0.801  -0.664 0.745  -0.765 0.663  -0.765 0.517  -0.765 0.371  -0.655 0.311  -0.549 0.216  -0.409 0.202  -0.306 0.099  -0.169 0.080  -0.023 0.080  0.122 0.080  0.192 0.004  0.276 -0.057  0.422 -0.057  0.533 -0.091  0.602 -0.209  0.625 -0.330  0.738 -0.363  0.768 -0.496  0.807 -0.626  0.776 -0.740  0.738 -0.849  0.690 -0.946  0.544 -0.946  0.467 -1.014  0.325 -1.038  0.187 -1.082  0.042 -1.082  -0.104 -1.082  -0.250 -1.082  -0.395 -1.082  -0.541 -1.082  -0.686 -1.082  -0.817 -1.022  -0.961 -1.014  -1.038 -0.946
2#tos#t2#t2038062/t  -0.613 0.161  -0.769 0.161  -0.674 0.161  -0.518 0.161  -0.363 0.161  -0.207 0.161  -0.071 0.208  0.083 0.223  0.233 0.254  0.389 0.254  0.456 0.343  0.607 0.347  0.579 0.450  0.497 0.583  0.415 0.715  0.334 0.848  0.252 0.980  0.171 1.113  0.089 1.246  0.008 1.378  -0.074 1.511  -0.148 1.500  -0.166 1.352  -0.195 1.208  -0.195 1.052  -0.195 0.897  -0.195 0.741  -0.195 0.585  -0.195 0.430  -0.195 0.274  -0.195 0.118  -0.195 -0.037  -0.195 -0.193  -0.288 -0.310  -0.288 -0.466  -0.288 -0.621  -0.270 -0.774  -0.241 -0.925  -0.241 -1.081  -0.206 -1.222  -0.162 -1.359  -0.105 -1.466  0.031 -1.513  0.176 -1.559  0.332 -1.559  0.456 -1.492  0.548 -1.375  0.656 -1.327  0.689 -1.203  0.642 -1.094
2#tos#t2#t2038062/y  -1.384 0.303  -1.530 0.303  -1.642 0.271  -1.550 0.218  -1.405 0.218  -1.329 0.106  -1.220 0.046  -1.075 0.046  -0.942 -0.004  -0.824 -0.085  -0.722 -0.188  -0.619 -0.290  -0.491 -0.237  -0.361 -0.172  -0.231 -0.107  -0.101 -0.042  0.028 0.023  0.158 0.088  0.288 0.153  0.418 0.218  0.548 0.283  0.677 0.347  0.807 0.412  0.937 0.477  1.067 0.542  1.197 0.607  1.326 0.672  1.438 0.728  1.309 0.663  1.190 0.624  1.108 0.561  1.018 0.506  0.991 0.380  0.853 0.334  0.734 0.264  0.654 0.143  0.564 0.033  0.434 -0.032  0.328 -0.129  0.225 -0.232  0.116 -0.327  -0.005 -0.407  -0.108 -0.501  -0.154 -0.639  -0.220 -0.764  -0.323 -0.866  -0.426 -0.969  -0.528 -1.071  -0.612 -1.182  -0.612 -1.327
2#tos#t2#t2038062/z  -0.513 1.310  -0.659 1.186  -0.592 1.160  -0.364 1.160  -0.136 1.162  0.074 1.235  0.302 1.235  0.530 1.235  0.727 1.310  0.756 1.259  0.756 1.031  0.703 0.836  0.522 0.703  0.457 0.501  0.304 0.372  0.189 0.176  0.025 0.026  -0.103 -0.133  -0.289 -0.261  -0.335 -0.475  -0.475 -0.649  -0.660 -0.778  -0.812 -0.899  -0.886 -1.052  -1.036 -1.131  -0.904 -1.228  -0.676 -1.228  -0.448 -1.228  -0.220 -1.228  0.007 -1.228  0.235 -1.228  0.463 -1.228  0.676 -1.218  0.574 -1.015  0.472 -0.811  0.370 -0.607  0.268 -0.403  0.167 -0.199  0.065 0.005  -0.037 0.209  -0.139 0.413  -0.274 0.563  -0.466 0.445  -0.385 0.333  -0.233 0.190  -0.016 0.157  0.177 0.041  0.405 0.041  0.602 -0.034  0.830 -0.034
