2#tos#t2#t2044064/\"  -0.519 0.683  -0.680 0.683  -0.612 0.640  -0.612 0.478  -0.612 0.317  -0.612 0.155  -0.612 -0.007  -0.650 -0.161  -0.710 -0.312  -0.770 -0.462  -0.800 -0.618  -0.893 -0.741  -0.893 -0.903  -0.893 -1.064  -0.928 -1.191  -0.982 -1.277  -0.888 -1.146  -0.794 -1.014  -0.700 -0.882  -0.606 -0.751  -0.511 -0.619  -0.417 -0.487  -0.323 -0.356  -0.229 -0.224  -0.135 -0.092  -0.041 0.039  0.053 0.171  0.147 0.302  0.241 0.434  0.335 0.566  0.429 0.697  0.523 0.829  0.617 0.961  0.711 1.092  0.805 1.224  0.887 1.317  0.887 1.156  0.887 0.994  0.887 0.832  0.887 0.670  0.887 0.509  0.887 0.347  0.887 0.185  0.887 0.023  0.887 -0.139  0.842 -0.293  0.793 -0.447  0.793 -0.609  0.666 -0.692  0.606 -0.816
2#tos#t2#t2044064/V  -0.667 1.524  -0.779 1.514  -0.738 1.409  -0.671 1.307  -0.667 1.187  -0.667 1.065  -0.667 0.943  -0.667 0.822  -0.644 0.702  -0.622 0.583  -0.602 0.463  -0.576 0.344  -0.543 0.227  -0.505 0.111  -0.471 -0.006  -0.445 -0.124  -0.419 -0.243  -0.394 -0.362  -0.368 -0.481  -0.314 -0.590  -0.259 -0.699  -0.201 -0.805  -0.149 -0.911  -0.121 -1.021  -0.075 -1.124  -0.038 -1.237  -0.001 -1.343  0.073 -1.336  0.114 -1.227  0.175 -1.122  0.241 -1.019  0.258 -0.903  0.342 -0.826  0.387 -0.721  0.406 -0.601  0.406 -0.480  0.489 -0.392  0.533 -0.284  0.560 -0.165  0.605 -0.052  0.643 0.063  0.665 0.182  0.666 0.304  0.711 0.417  0.750 0.531  0.780 0.649  0.809 0.767  0.847 0.883  0.888 0.996  0.925 1.080
2#tos#t2#t2044064/W  -1.112 1.111  -1.171 1.004  -1.143 0.819  -1.112 0.636  -1.095 0.449  -1.033 0.272  -0.989 0.089  -0.936 -0.092  -0.873 -0.269  -0.853 -0.455  -0.801 -0.636  -0.729 -0.797  -0.643 -0.944  -0.580 -1.094  -0.549 -1.031  -0.455 -0.893  -0.418 -0.710  -0.392 -0.525  -0.348 -0.348  -0.248 -0.189  -0.231 -0.005  -0.173 0.170  -0.173 0.358  -0.087 0.518  -0.048 0.701  -0.036 0.886  0.014 0.870  0.077 0.696  0.079 0.508  0.108 0.323  0.171 0.173  0.227 -0.003  0.279 -0.183  0.343 -0.360  0.375 -0.541  0.456 -0.707  0.554 -0.837  0.639 -0.954  0.729 -0.788  0.796 -0.616  0.866 -0.444  0.963 -0.286  1.009 -0.103  1.032 0.081  1.110 0.253  1.199 0.417  1.212 0.603  1.286 0.777  1.344 0.956  1.359 1.142
2#tos#t2#t2044064/Y  -1.003 1.209  -1.114 1.132  -1.005 1.060  -0.913 0.954  -0.841 0.812  -0.784 0.664  -0.696 0.537  -0.648 0.387  -0.577 0.245  -0.496 0.110  -0.384 -0.003  -0.307 -0.137  -0.188 -0.236  -0.113 -0.348  0.016 -0.421  0.105 -0.300  0.185 -0.163  0.266 -0.025  0.346 0.112  0.426 0.249  0.506 0.386  0.587 0.523  0.667 0.660  0.747 0.797  0.827 0.934  0.908 1.071  0.883 0.986  0.799 0.912  0.667 0.862  0.592 0.729  0.492 0.606  0.417 0.469  0.338 0.332  0.228 0.218  0.172 0.081  0.090 -0.056  0.007 -0.168  -0.077 -0.294  -0.077 -0.379  -0.077 -0.538  -0.077 -0.697  -0.106 -0.849  -0.114 -1.006  -0.114 -1.165  -0.114 -1.324  -0.114 -1.483  -0.114 -1.641  -0.114 -1.800  -0.100 -1.953  -0.003 -2.050
2#tos#t2#t2044064/a  -0.792 0.763  -0.917 0.620  -0.935 0.596  -0.728 0.587  -0.497 0.609  -0.266 0.630  -0.035 0.652  0.197 0.674  0.428 0.695  0.619 0.715  0.407 0.763  0.223 0.810  -0.009 0.810  -0.242 0.810  -0.474 0.810  -0.690 0.733  -0.887 0.684  -0.935 0.499  -0.983 0.278  -1.031 0.058  -1.031 -0.175  -1.031 -0.407  -0.983 -0.628  -0.935 -0.848  -0.840 -0.985  -0.704 -1.145  -0.471 -1.145  -0.239 -1.145  -0.126 -0.980  0.060 -0.846  0.188 -0.703  0.339 -0.539  0.437 -0.340  0.528 -0.127  0.544 0.102  0.544 0.334  0.544 0.566  0.461 0.715  0.448 0.591  0.448 0.359  0.448 0.126  0.448 -0.106  0.544 -0.307  0.591 -0.491  0.698 -0.679  0.894 -0.749  1.088 -0.811  1.320 -0.811  1.552 -0.811  1.784 -0.811
2#tos#t2#t2044064/e  -0.648 0.273  -0.691 0.150  -0.522 0.141  -0.349 0.141  -0.176 0.141  -0.002 0.141  0.171 0.141  0.344 0.141  0.509 0.181  0.641 0.244  0.752 0.306  0.872 0.397  0.905 0.538  0.867 0.675  0.758 0.784  0.682 0.926  0.530 0.995  0.424 1.073  0.256 1.100  0.115 1.133  -0.058 1.133  -0.217 1.100  -0.329 0.989  -0.483 0.932  -0.569 0.829  -0.615 0.693  -0.689 0.563  -0.773 0.421  -0.814 0.257  -0.880 0.104  -0.880 -0.069  -0.847 -0.229  -0.847 -0.402  -0.847 -0.575  -0.765 -0.686  -0.648 -0.768  -0.564 -0.876  -0.467 -0.983  -0.351 -1.079  -0.181 -1.082  -0.074 -1.148  0.099 -1.148  0.272 -1.148  0.446 -1.148  0.611 -1.114  0.756 -1.033  0.898 -0.958  1.046 -0.876  1.127 -0.728  1.203 -0.586
2#tos#t2#t2044064/f  1.064 1.229  0.912 1.253  0.848 1.381  0.707 1.409  0.538 1.409  0.405 1.446  0.236 1.446  0.067 1.446  -0.036 1.337  -0.129 1.258  -0.198 1.112  -0.234 0.951  -0.234 0.782  -0.234 0.613  -0.234 0.444  -0.210 0.281  -0.179 0.120  -0.126 -0.033  -0.126 -0.202  -0.126 -0.371  -0.126 -0.540  -0.075 -0.699  -0.053 -0.864  -0.017 -1.025  -0.017 -1.194  -0.017 -1.363  0.012 -1.527  0.053 -1.651  -0.006 -1.493  -0.065 -1.335  -0.125 -1.176  -0.184 -1.018  -0.244 -0.860  -0.303 -0.701  -0.362 -0.543  -0.422 -0.385  -0.481 -0.226  -0.540 -0.068  -0.610 0.076  -0.721 -0.033  -0.602 -0.069  -0.433 -0.069  -0.264 -0.069  -0.094 -0.069  0.075 -0.069  0.244 -0.069  0.413 -0.069  0.582 -0.069  0.751 -0.069  0.920 -0.069
2#tos#t2#t2044064/k  -0.534 1.495  -0.515 1.335  -0.454 1.129  -0.454 0.893  -0.454 0.656  -0.454 0.420  -0.454 0.184  -0.469 -0.051  -0.494 -0.284  -0.494 -0.520  -0.494 -0.756  -0.494 -0.993  -0.494 -1.229  -0.559 -1.443  -0.568 -1.514  -0.548 -1.278  -0.528 -1.043  -0.509 -0.807  -0.489 -0.572  -0.469 -0.336  -0.450 -0.101  -0.430 0.135  -0.453 0.332  -0.374 0.349  -0.170 0.434  0.041 0.519  0.217 0.664  0.420 0.781  0.643 0.853  0.848 0.951  1.031 1.018  0.849 0.971  0.634 0.873  0.418 0.776  0.203 0.678  -0.012 0.580  -0.227 0.482  -0.450 0.412  -0.329 0.247  -0.163 0.106  -0.036 -0.074  0.170 -0.172  0.319 -0.351  0.535 -0.389  0.672 -0.581  0.863 -0.704  1.030 -0.871  1.191 -0.947  1.385 -1.066  1.552 -1.193
2#tos#t2#t2044064/m  -0.727 0.818  -0.808 0.681  -0.808 0.464  -0.808 0.247  -0.808 0.031  -0.808 -0.186  -0.808 -0.403  -0.886 -0.588  -0.928 -0.787  -0.969 -0.987  -0.969 -1.021  -0.969 -0.804  -0.969 -0.588  -0.963 -0.372  -0.928 -0.160  -0.888 0.050  -0.839 0.223  -0.727 0.401  -0.650 0.562  -0.516 0.657  -0.380 0.737  -0.164 0.736  -0.066 0.617  0.022 0.463  0.077 0.272  0.115 0.061  0.117 -0.155  0.107 -0.370  0.037 -0.570  -0.022 -0.770  0.022 -0.670  0.117 -0.492  0.157 -0.285  0.196 -0.073  0.220 0.139  0.318 0.302  0.466 0.443  0.609 0.586  0.728 0.726  0.897 0.793  1.103 0.818  1.229 0.658  1.324 0.469  1.364 0.269  1.364 0.052  1.364 -0.165  1.364 -0.382  1.364 -0.598  1.364 -0.815  1.364 -1.032
2#tos#t2#t2044064/t  -1.010 0.096  -1.132 0.009  -1.018 -0.009  -0.860 -0.009  -0.715 0.047  -0.567 0.096  -0.411 0.102  -0.255 0.124  -0.106 0.155  0.024 0.235  0.182 0.235  0.338 0.243  0.491 0.270  0.648 0.270  0.805 0.270  0.753 0.347  0.667 0.479  0.582 0.611  0.496 0.743  0.411 0.875  0.325 1.007  0.240 1.139  0.154 1.271  0.069 1.403  -0.057 1.444  -0.104 1.315  -0.104 1.158  -0.104 1.001  -0.104 0.843  -0.104 0.686  -0.104 0.529  -0.116 0.374  -0.139 0.220  -0.139 0.063  -0.139 -0.095  -0.139 -0.252  -0.139 -0.409  -0.106 -0.561  -0.104 -0.718  -0.104 -0.875  -0.104 -1.033  -0.069 -1.182  -0.069 -1.339  -0.069 -1.496  0.000 -1.611  0.114 -1.681  0.271 -1.681  0.425 -1.674  0.537 -1.563  0.663 -1.472
2#tos#t2#t2044064/u  -0.948 1.055  -0.996 0.937  -1.027 0.801  -1.027 0.634  -1.066 0.477  -1.066 0.311  -1.066 0.144  -1.066 -0.023  -1.066 -0.189  -1.066 -0.356  -1.038 -0.519  -0.944 -0.650  -0.855 -0.789  -0.752 -0.917  -0.626 -0.958  -0.459 -0.958  -0.293 -0.958  -0.142 -0.903  -0.088 -0.755  -0.040 -0.603  0.031 -0.458  0.158 -0.358  0.164 -0.192  0.226 -0.038  0.313 0.104  0.355 0.265  0.395 0.425  0.395 0.591  0.395 0.758  0.395 0.924  0.395 1.091  0.434 1.218  0.434 1.278  0.434 1.112  0.434 0.945  0.434 0.779  0.434 0.612  0.474 0.462  0.474 0.295  0.504 0.134  0.553 0.008  0.562 -0.157  0.620 -0.301  0.671 -0.436  0.756 -0.564  0.802 -0.690  0.936 -0.789  1.018 -0.880  1.136 -0.958  1.303 -0.958
2#tos#t2#t2044064/v  -0.904 1.343  -0.970 1.244  -0.981 1.129  -0.981 1.010  -0.981 0.891  -0.873 0.880  -0.865 0.769  -0.823 0.663  -0.771 0.557  -0.733 0.445  -0.676 0.344  -0.593 0.259  -0.527 0.160  -0.503 0.048  -0.441 -0.052  -0.441 -0.171  -0.413 -0.285  -0.375 -0.398  -0.338 -0.510  -0.289 -0.619  -0.251 -0.731  -0.249 -0.850  -0.197 -0.957  -0.144 -1.063  -0.133 -1.179  -0.075 -1.240  0.003 -1.191  0.077 -1.124  0.140 -1.044  0.206 -0.947  0.259 -0.841  0.303 -0.731  0.330 -0.615  0.337 -0.500  0.421 -0.416  0.445 -0.307  0.454 -0.192  0.549 -0.121  0.613 -0.029  0.647 0.084  0.713 0.183  0.751 0.296  0.833 0.381  0.907 0.474  0.961 0.578  1.005 0.689  1.078 0.781  1.139 0.874  1.139 0.993  1.216 1.035
2#tos#t2#t2044064/w  -1.272 0.892  -1.309 0.816  -1.287 0.636  -1.193 0.475  -1.110 0.308  -1.042 0.134  -0.945 -0.025  -0.939 -0.210  -0.889 -0.380  -0.864 -0.564  -0.790 -0.729  -0.790 -0.915  -0.761 -1.073  -0.642 -1.079  -0.545 -0.976  -0.494 -0.810  -0.457 -0.632  -0.417 -0.457  -0.373 -0.285  -0.261 -0.141  -0.232 0.042  -0.160 0.207  -0.105 0.354  -0.011 0.485  0.063 0.650  0.100 0.828  0.174 0.843  0.211 0.693  0.211 0.506  0.211 0.319  0.228 0.135  0.248 -0.049  0.322 -0.205  0.349 -0.385  0.359 -0.570  0.396 -0.720  0.470 -0.795  0.559 -0.688  0.619 -0.526  0.711 -0.406  0.806 -0.255  0.841 -0.083  0.915 0.058  1.016 0.211  1.121 0.366  1.175 0.537  1.307 0.657  1.423 0.803  1.508 0.965  1.546 1.040
2#tos#t2#t2044064/z  -1.094 0.829  -1.210 0.770  -1.191 0.713  -1.039 0.713  -0.886 0.713  -0.737 0.744  -0.586 0.752  -0.434 0.753  -0.290 0.790  -0.139 0.799  0.009 0.829  0.161 0.829  0.314 0.829  0.413 0.882  0.542 0.906  0.683 0.958  0.831 0.983  0.761 0.892  0.645 0.855  0.596 0.721  0.504 0.636  0.452 0.536  0.364 0.448  0.273 0.341  0.165 0.234  0.089 0.103  0.049 -0.037  -0.057 -0.146  -0.145 -0.270  -0.243 -0.386  -0.327 -0.513  -0.426 -0.629  -0.534 -0.736  -0.587 -0.867  -0.695 -0.975  -0.781 -1.064  -0.629 -1.064  -0.476 -1.064  -0.324 -1.064  -0.171 -1.064  -0.020 -1.050  0.128 -1.016  0.270 -0.959  0.420 -0.948  0.560 -0.894  0.697 -0.828  0.844 -0.794  0.996 -0.794  1.110 -0.755  1.147 -0.639
