2#apb#apb22#app2241/S  0.955 1.215  0.863 1.261  0.761 1.263  0.658 1.263  0.556 1.263  0.453 1.263  0.359 1.225  0.265 1.182  0.174 1.136  0.083 1.087  -0.007 1.039  -0.080 0.967  -0.153 0.894  -0.223 0.820  -0.290 0.742  -0.356 0.663  -0.409 0.576  -0.455 0.484  -0.468 0.383  -0.451 0.291  -0.378 0.218  -0.295 0.158  -0.212 0.097  -0.118 0.058  -0.022 0.021  0.071 -0.022  0.163 -0.068  0.254 -0.116  0.342 -0.169  0.412 -0.238  0.458 -0.330  0.473 -0.429  0.473 -0.532  0.432 -0.625  0.389 -0.718  0.322 -0.794  0.246 -0.863  0.166 -0.927  0.079 -0.981  -0.008 -1.036  -0.100 -1.080  -0.198 -1.110  -0.296 -1.141  -0.395 -1.166  -0.495 -1.189  -0.595 -1.211  -0.698 -1.211  -0.801 -1.211  -0.903 -1.204  -1.005 -1.195
2#apb#apb22#app2241/T  0.693 1.013  0.726 1.158  0.770 1.296  0.800 1.203  0.771 1.058  0.742 0.913  0.704 0.770  0.660 0.628  0.616 0.487  0.571 0.346  0.516 0.208  0.461 0.071  0.406 -0.067  0.351 -0.205  0.287 -0.338  0.223 -0.471  0.158 -0.605  0.094 -0.738  0.028 -0.871  -0.038 -1.003  -0.105 -1.136  -0.172 -1.268  -0.252 -1.392  -0.333 -1.517  -0.412 -1.631  -0.418 -1.483  -0.427 -1.336  -0.436 -1.188  -0.445 -1.040  -0.454 -0.892  -0.463 -0.744  -0.472 -0.596  -0.481 -0.448  -0.490 -0.301  -0.498 -0.153  -0.507 -0.005  -0.516 0.143  -0.525 0.291  -0.534 0.439  -0.543 0.587  -0.552 0.734  -0.561 0.882  -0.509 0.937  -0.361 0.934  -0.213 0.926  -0.065 0.919  0.081 0.901  0.228 0.881  0.375 0.861  0.522 0.842
2#apb#apb22#app2241/&  0.528 1.200  0.493 1.365  0.302 1.238  0.096 1.137  -0.091 1.003  -0.276 0.865  -0.458 0.726  -0.623 0.573  -0.553 0.402  -0.330 0.348  -0.121 0.270  -0.132 0.051  -0.254 -0.144  -0.390 -0.330  -0.551 -0.493  -0.705 -0.664  -0.796 -0.855  -0.688 -1.055  -0.472 -1.131  -0.248 -1.184  -0.019 -1.211  0.210 -1.217  0.367 -1.139  0.381 -0.909  0.395 -0.679  0.408 -0.450  0.422 -0.220  0.436 0.010  0.450 0.239  0.463 0.469  0.477 0.699  0.491 0.928  0.505 1.158  0.518 1.388  0.485 1.494  0.382 1.289  0.288 1.079  0.213 0.862  0.147 0.641  0.098 0.417  0.049 0.192  -0.002 -0.033  -0.056 -0.256  -0.109 -0.480  -0.163 -0.704  -0.216 -0.928  -0.269 -1.152  -0.321 -1.376  -0.360 -1.603  -0.399 -1.829
2#apb#apb22#app2241/T  0.873 1.681  0.890 1.670  0.863 1.528  0.836 1.385  0.784 1.250  0.730 1.116  0.676 0.981  0.625 0.846  0.576 0.709  0.528 0.573  0.479 0.436  0.430 0.300  0.372 0.167  0.313 0.035  0.255 -0.098  0.196 -0.231  0.138 -0.363  0.084 -0.498  0.029 -0.632  -0.025 -0.766  -0.080 -0.901  -0.131 -1.036  -0.181 -1.172  -0.230 -1.308  -0.275 -1.446  -0.286 -1.562  -0.281 -1.453  -0.317 -1.313  -0.354 -1.172  -0.390 -1.032  -0.426 -0.892  -0.463 -0.752  -0.499 -0.611  -0.536 -0.471  -0.572 -0.331  -0.608 -0.190  -0.645 -0.050  -0.681 0.090  -0.717 0.230  -0.754 0.371  -0.774 0.499  -0.630 0.499  -0.485 0.493  -0.340 0.486  -0.195 0.480  -0.050 0.483  0.095 0.487  0.240 0.491  0.384 0.495  0.529 0.499
2#apb#apb22#app2241/P  -0.261 0.860  -0.290 0.956  -0.317 0.768  -0.359 0.582  -0.402 0.396  -0.449 0.211  -0.495 0.026  -0.540 -0.160  -0.585 -0.345  -0.633 -0.530  -0.692 -0.711  -0.751 -0.893  -0.808 -1.075  -0.863 -1.257  -0.930 -1.436  -0.893 -1.365  -0.826 -1.186  -0.758 -1.008  -0.675 -0.836  -0.591 -0.665  -0.507 -0.494  -0.416 -0.326  -0.325 -0.158  -0.235 0.010  -0.124 0.165  -0.012 0.320  0.100 0.474  0.230 0.613  0.369 0.743  0.509 0.873  0.656 0.994  0.806 1.112  0.971 1.201  1.153 1.236  1.285 1.121  1.278 0.935  1.233 0.750  1.147 0.580  1.062 0.409  0.949 0.256  0.834 0.103  0.714 -0.045  0.582 -0.183  0.451 -0.321  0.292 -0.427  0.129 -0.524  -0.053 -0.581  -0.238 -0.551  -0.349 -0.404  -0.376 -0.215
2#apb#apb22#app2241/a  0.386 0.896  0.410 1.046  0.320 1.149  0.171 1.165  0.034 1.119  -0.087 1.025  -0.208 0.932  -0.329 0.839  -0.449 0.744  -0.544 0.624  -0.639 0.504  -0.734 0.384  -0.826 0.262  -0.904 0.131  -0.983 0.000  -1.062 -0.131  -1.126 -0.268  -1.172 -0.414  -1.217 -0.560  -1.218 -0.711  -1.204 -0.863  -1.058 -0.902  -0.909 -0.938  -0.766 -0.885  -0.622 -0.833  -0.479 -0.780  -0.351 -0.697  -0.228 -0.606  -0.105 -0.515  0.017 -0.424  0.140 -0.333  0.264 -0.244  0.390 -0.157  0.515 -0.069  0.641 0.018  0.766 0.105  0.876 0.212  0.984 0.320  1.092 0.428  1.219 0.513  1.190 0.415  1.127 0.276  1.059 0.139  0.991 0.002  0.924 -0.135  0.859 -0.274  0.794 -0.413  0.738 -0.555  0.684 -0.698  0.630 -0.841
2#apb#apb22#app2241/c  1.181 0.886  1.144 0.960  1.117 1.037  1.081 1.104  1.008 1.141  0.931 1.119  0.854 1.090  0.780 1.056  0.718 1.002  0.656 0.948  0.594 0.894  0.532 0.841  0.470 0.787  0.408 0.733  0.350 0.675  0.292 0.617  0.234 0.559  0.175 0.501  0.117 0.443  0.059 0.385  0.001 0.327  -0.056 0.268  -0.113 0.208  -0.169 0.148  -0.225 0.089  -0.282 0.029  -0.338 -0.031  -0.395 -0.091  -0.451 -0.150  -0.495 -0.219  -0.532 -0.292  -0.568 -0.366  -0.605 -0.439  -0.642 -0.513  -0.678 -0.586  -0.710 -0.662  -0.730 -0.741  -0.750 -0.821  -0.770 -0.901  -0.752 -0.966  -0.684 -1.013  -0.617 -1.061  -0.550 -1.108  -0.474 -1.127  -0.392 -1.127  -0.309 -1.127  -0.227 -1.127  -0.145 -1.127  -0.063 -1.127  0.019 -1.127
2#apb#apb22#app2241/i  0.758 1.052  0.689 0.937  0.633 0.815  0.587 0.689  0.541 0.563  0.481 0.443  0.414 0.327  0.346 0.210  0.279 0.094  0.212 -0.022  0.145 -0.139  0.083 -0.258  0.020 -0.377  -0.042 -0.496  -0.105 -0.615  -0.167 -0.733  -0.234 -0.850  -0.300 -0.967  -0.367 -1.084  -0.434 -1.200  -0.467 -1.330  -0.496 -1.461  -0.428 -1.529  -0.334 -1.501  -0.315 -1.368  -0.295 -1.235  -0.276 -1.102  -0.256 -0.969  -0.237 -0.836  -0.217 -0.703  -0.197 -0.570  -0.178 -0.437  -0.158 -0.304  -0.139 -0.172  -0.119 -0.039  -0.100 0.094  -0.080 0.227  -0.061 0.360  -0.041 0.493  -0.022 0.626  -0.002 0.759  0.018 0.892  0.037 1.025  0.057 1.158  0.076 1.291  0.096 1.424  0.115 1.557  0.135 1.689  0.154 1.822  0.192 1.751
2#apb#apb22#app2241/f  -0.657 -1.999  -0.731 -1.875  -0.721 -1.722  -0.693 -1.571  -0.660 -1.421  -0.622 -1.272  -0.576 -1.126  -0.529 -0.979  -0.476 -0.835  -0.414 -0.695  -0.352 -0.554  -0.290 -0.413  -0.240 -0.268  -0.189 -0.123  -0.139 0.023  -0.090 0.168  -0.041 0.314  0.008 0.460  0.060 0.604  0.118 0.747  0.176 0.889  0.225 1.035  0.316 1.157  0.455 1.170  0.606 1.136  0.758 1.122  0.912 1.114  1.066 1.114  1.080 1.065  0.960 0.968  0.840 0.872  0.721 0.775  0.601 0.679  0.481 0.582  0.362 0.486  0.242 0.389  0.122 0.293  0.003 0.196  -0.117 0.100  -0.237 0.003  -0.356 -0.093  -0.476 -0.190  -0.596 -0.286  -0.585 -0.354  -0.435 -0.325  -0.284 -0.293  -0.132 -0.275  0.021 -0.270  0.175 -0.264  0.329 -0.259
2#apb#apb22#app2241/i  0.527 0.354  0.451 0.263  0.375 0.172  0.308 0.075  0.240 -0.022  0.173 -0.120  0.106 -0.217  0.041 -0.316  -0.023 -0.416  -0.087 -0.515  -0.151 -0.615  -0.215 -0.715  -0.279 -0.814  -0.343 -0.914  -0.407 -1.013  -0.454 -1.118  -0.454 -1.237  -0.454 -1.355  -0.454 -1.473  -0.425 -1.381  -0.394 -1.267  -0.362 -1.153  -0.331 -1.038  -0.300 -0.924  -0.268 -0.810  -0.237 -0.696  -0.205 -0.582  -0.174 -0.468  -0.142 -0.354  -0.111 -0.239  -0.080 -0.125  -0.048 -0.011  -0.017 0.103  0.015 0.217  0.046 0.331  0.077 0.446  0.109 0.560  0.140 0.674  0.172 0.788  0.203 0.902  0.235 1.016  0.266 1.131  0.297 1.245  0.329 1.359  0.360 1.473  0.392 1.587  0.423 1.701  0.455 1.816  0.391 1.837  0.282 1.856
2#apb#apb22#app2241/c  1.423 0.940  1.346 0.959  1.269 0.972  1.190 0.964  1.112 0.955  1.033 0.946  0.958 0.927  0.890 0.887  0.823 0.846  0.755 0.805  0.687 0.765  0.619 0.724  0.551 0.683  0.484 0.643  0.419 0.597  0.356 0.550  0.292 0.503  0.228 0.456  0.165 0.410  0.101 0.363  0.037 0.316  -0.026 0.269  -0.090 0.222  -0.153 0.175  -0.212 0.123  -0.268 0.067  -0.324 0.011  -0.380 -0.045  -0.436 -0.101  -0.492 -0.157  -0.548 -0.212  -0.604 -0.268  -0.660 -0.324  -0.706 -0.387  -0.741 -0.458  -0.777 -0.528  -0.812 -0.599  -0.847 -0.670  -0.838 -0.740  -0.802 -0.811  -0.767 -0.882  -0.732 -0.952  -0.696 -1.023  -0.629 -1.056  -0.554 -1.081  -0.479 -1.106  -0.404 -1.131  -0.329 -1.156  -0.254 -1.181  -0.179 -1.206
2#apb#apb22#app2241/B  0.079 0.511  -0.065 0.555  -0.209 0.427  -0.308 0.263  -0.388 0.088  -0.459 -0.092  -0.541 -0.266  -0.624 -0.440  -0.701 -0.617  -0.781 -0.792  -0.900 -0.943  -0.967 -1.120  -0.988 -1.101  -0.919 -0.921  -0.841 -0.745  -0.757 -0.571  -0.674 -0.397  -0.592 -0.222  -0.511 -0.048  -0.418 0.121  -0.315 0.284  -0.212 0.447  -0.101 0.604  0.016 0.758  0.133 0.912  0.260 1.056  0.393 1.196  0.531 1.330  0.676 1.457  0.842 1.538  0.878 1.374  0.831 1.187  0.765 1.008  0.675 0.837  0.583 0.668  0.487 0.500  0.396 0.330  0.310 0.158  0.224 -0.015  0.253 -0.184  0.435 -0.249  0.576 -0.374  0.648 -0.552  0.670 -0.742  0.641 -0.933  0.529 -1.089  0.381 -1.211  0.209 -1.296  0.021 -1.338  -0.171 -1.353
2#apb#apb22#app2241/e  -0.507 -0.509  -0.374 -0.509  -0.287 -0.412  -0.201 -0.311  -0.102 -0.226  0.007 -0.150  0.115 -0.074  0.221 0.005  0.323 0.089  0.425 0.173  0.528 0.256  0.632 0.338  0.736 0.419  0.840 0.500  0.930 0.597  1.018 0.696  1.105 0.795  1.170 0.910  1.142 1.022  1.025 1.052  0.893 1.052  0.763 1.041  0.647 0.979  0.530 0.917  0.413 0.855  0.297 0.792  0.187 0.720  0.078 0.644  -0.031 0.569  -0.140 0.494  -0.237 0.405  -0.330 0.312  -0.424 0.218  -0.517 0.125  -0.610 0.030  -0.665 -0.090  -0.721 -0.210  -0.776 -0.330  -0.820 -0.453  -0.841 -0.584  -0.863 -0.714  -0.872 -0.844  -0.835 -0.971  -0.799 -1.098  -0.763 -1.225  -0.689 -1.323  -0.575 -1.391  -0.462 -1.459  -0.348 -1.527  -0.235 -1.595
2#apb#apb22#app2241/l  0.509 1.341  0.564 1.385  0.599 1.443  0.614 1.385  0.608 1.315  0.602 1.244  0.583 1.177  0.556 1.112  0.529 1.047  0.502 0.982  0.475 0.917  0.447 0.852  0.414 0.790  0.381 0.727  0.348 0.665  0.315 0.603  0.281 0.541  0.248 0.478  0.215 0.416  0.182 0.354  0.149 0.291  0.116 0.229  0.083 0.167  0.050 0.104  0.017 0.042  -0.016 -0.020  -0.049 -0.083  -0.081 -0.145  -0.114 -0.208  -0.147 -0.270  -0.180 -0.332  -0.213 -0.395  -0.246 -0.457  -0.279 -0.520  -0.312 -0.582  -0.345 -0.644  -0.378 -0.707  -0.402 -0.773  -0.426 -0.839  -0.450 -0.906  -0.474 -0.972  -0.498 -1.038  -0.522 -1.105  -0.546 -1.171  -0.569 -1.238  -0.588 -1.305  -0.608 -1.373  -0.628 -1.441  -0.648 -1.509  -0.667 -1.576
2#apb#apb22#app2241/l  0.601 1.564  0.622 1.499  0.616 1.435  0.585 1.373  0.554 1.311  0.523 1.249  0.493 1.186  0.466 1.122  0.439 1.058  0.412 0.994  0.385 0.930  0.358 0.866  0.331 0.802  0.304 0.738  0.276 0.675  0.248 0.611  0.220 0.548  0.192 0.484  0.164 0.421  0.136 0.357  0.108 0.294  0.080 0.230  0.052 0.167  0.024 0.103  -0.004 0.040  -0.032 -0.024  -0.057 -0.089  -0.083 -0.153  -0.108 -0.218  -0.134 -0.282  -0.159 -0.347  -0.185 -0.411  -0.210 -0.476  -0.236 -0.540  -0.262 -0.605  -0.287 -0.669  -0.313 -0.734  -0.338 -0.798  -0.363 -0.863  -0.385 -0.929  -0.406 -0.995  -0.428 -1.061  -0.449 -1.127  -0.471 -1.193  -0.492 -1.259  -0.514 -1.325  -0.535 -1.391  -0.557 -1.457  -0.578 -1.523  -0.600 -1.589
