2#tos#t1#t1081062/\"  -0.525 1.111  -0.684 1.079  -0.740 0.913  -0.740 0.733  -0.740 0.553  -0.740 0.373  -0.740 0.194  -0.740 0.014  -0.740 -0.166  -0.740 -0.345  -0.740 -0.525  -0.740 -0.705  -0.740 -0.884  -0.740 -1.064  -0.668 -1.172  -0.648 -1.332  -0.596 -1.204  -0.515 -1.046  -0.426 -0.890  -0.337 -0.734  -0.248 -0.578  -0.159 -0.422  -0.069 -0.266  0.020 -0.110  0.109 0.046  0.198 0.202  0.287 0.359  0.376 0.515  0.466 0.671  0.555 0.827  0.644 0.983  0.733 1.139  0.822 1.295  0.698 1.327  0.553 1.292  0.553 1.112  0.553 0.933  0.553 0.753  0.553 0.573  0.553 0.393  0.553 0.214  0.553 0.034  0.553 -0.146  0.553 -0.325  0.553 -0.505  0.553 -0.685  0.553 -0.864  0.553 -1.044  0.553 -1.224  0.553 -1.404
2#tos#t1#t1081062/Y  -1.171 0.936  -1.265 0.853  -1.218 0.696  -1.121 0.562  -1.038 0.468  -0.937 0.357  -0.901 0.184  -0.785 0.070  -0.667 -0.036  -0.610 -0.189  -0.484 -0.276  -0.380 -0.412  -0.275 -0.515  -0.212 -0.468  -0.093 -0.374  -0.001 -0.254  0.102 -0.159  0.260 -0.080  0.351 0.049  0.482 0.124  0.514 0.293  0.515 0.469  0.677 0.538  0.839 0.608  0.935 0.689  1.052 0.749  1.122 0.855  1.207 0.983  1.290 1.011  1.164 0.888  1.037 0.765  0.910 0.642  0.784 0.519  0.657 0.396  0.530 0.273  0.404 0.150  0.277 0.027  0.150 -0.096  0.024 -0.219  -0.103 -0.342  -0.230 -0.465  -0.367 -0.562  -0.469 -0.636  -0.422 -0.766  -0.422 -0.943  -0.422 -1.119  -0.422 -1.296  -0.422 -1.472  -0.422 -1.649  -0.422 -1.825
2#tos#t1#t1081062/c  0.514 0.610  0.476 0.579  0.367 0.610  0.307 0.672  0.307 0.794  0.307 0.917  0.224 0.956  0.102 0.956  0.048 1.025  -0.074 1.025  -0.196 1.025  -0.310 0.992  -0.402 0.920  -0.460 0.814  -0.569 0.759  -0.591 0.651  -0.673 0.610  -0.795 0.610  -0.867 0.520  -0.867 0.398  -0.867 0.276  -0.867 0.154  -0.867 0.031  -0.867 -0.091  -0.867 -0.213  -0.867 -0.335  -0.867 -0.457  -0.853 -0.571  -0.743 -0.625  -0.641 -0.691  -0.539 -0.759  -0.421 -0.770  -0.298 -0.770  -0.176 -0.770  -0.054 -0.770  0.068 -0.770  0.190 -0.770  0.312 -0.770  0.435 -0.770  0.557 -0.770  0.679 -0.770  0.797 -0.745  0.913 -0.706  0.987 -0.613  1.055 -0.511  1.162 -0.462  1.278 -0.423  1.392 -0.378  1.505 -0.332  1.619 -0.287
2#tos#t1#t1081062/f  0.755 1.240  0.851 1.331  0.793 1.431  0.638 1.454  0.483 1.479  0.324 1.479  0.180 1.465  0.102 1.383  -0.057 1.383  -0.108 1.276  -0.108 1.117  -0.156 1.006  -0.156 0.847  -0.036 0.808  -0.012 0.673  0.036 0.534  0.036 0.375  0.036 0.216  0.116 0.137  0.132 -0.005  0.132 -0.164  0.132 -0.323  0.132 -0.482  0.132 -0.641  0.132 -0.800  0.103 -0.947  0.084 -1.097  0.083 -1.256  0.036 -1.404  0.014 -1.541  -0.080 -1.427  -0.162 -1.291  -0.244 -1.154  -0.325 -1.018  -0.407 -0.882  -0.489 -0.746  -0.571 -0.610  -0.652 -0.473  -0.731 -0.336  -0.848 -0.294  -0.743 -0.294  -0.584 -0.294  -0.425 -0.294  -0.266 -0.294  -0.107 -0.294  0.052 -0.294  0.209 -0.285  0.361 -0.247  0.520 -0.247  0.659 -0.199
2#tos#t1#t1081062/g  0.330 0.801  0.390 0.650  0.506 0.801  0.547 0.990  0.505 1.210  0.399 1.343  0.169 1.343  -0.059 1.336  -0.243 1.198  -0.467 1.180  -0.626 1.055  -0.782 0.895  -0.863 0.728  -0.863 0.498  -0.700 0.430  -0.534 0.367  -0.358 0.313  -0.128 0.313  0.005 0.410  0.157 0.530  0.276 0.640  0.168 0.731  0.205 0.510  0.222 0.284  0.222 0.054  0.330 -0.109  0.330 -0.339  0.330 -0.569  0.330 -0.799  0.330 -1.029  0.228 -1.186  0.127 -1.355  -0.053 -1.477  -0.274 -1.531  -0.483 -1.510  -0.562 -1.329  -0.620 -1.133  -0.754 -0.974  -0.809 -0.799  -0.772 -0.591  -0.605 -0.501  -0.375 -0.501  -0.149 -0.456  0.057 -0.392  0.287 -0.392  0.517 -0.392  0.747 -0.392  0.977 -0.392  1.131 -0.284  1.252 -0.175
2#tos#t1#t1081062/h  -0.113 1.655  -0.262 1.655  -0.265 1.801  -0.273 1.857  -0.265 1.716  -0.265 1.568  -0.265 1.419  -0.265 1.270  -0.265 1.121  -0.265 0.972  -0.265 0.823  -0.265 0.674  -0.265 0.525  -0.265 0.377  -0.265 0.228  -0.265 0.079  -0.265 -0.070  -0.265 -0.219  -0.266 -0.367  -0.315 -0.496  -0.315 -0.645  -0.315 -0.794  -0.315 -0.943  -0.315 -1.091  -0.330 -1.225  -0.467 -1.213  -0.462 -1.065  -0.416 -0.927  -0.366 -0.829  -0.325 -0.689  -0.265 -0.593  -0.164 -0.516  -0.164 -0.367  -0.164 -0.218  -0.023 -0.179  0.115 -0.126  0.140 0.008  0.259 0.038  0.387 0.089  0.531 0.070  0.645 0.011  0.695 -0.088  0.746 -0.186  0.777 -0.328  0.796 -0.472  0.847 -0.600  0.868 -0.740  0.903 -0.871  0.948 -0.975  0.948 -1.124
2#tos#t1#t1081062/j  0.549 0.790  0.505 0.699  0.505 0.563  0.505 0.428  0.505 0.292  0.505 0.156  0.505 0.020  0.505 -0.115  0.549 -0.207  0.555 -0.342  0.594 -0.471  0.594 -0.607  0.552 -0.725  0.456 -0.821  0.416 -0.940  0.293 -0.975  0.192 -1.029  0.158 -1.136  0.025 -1.163  -0.110 -1.174  -0.246 -1.174  -0.371 -1.129  -0.507 -1.129  -0.611 -1.097  -0.645 -0.995  -0.745 -0.934  -0.790 -0.842  -0.747 -0.715  -0.695 -0.590  -0.643 -0.464  -0.591 -0.339  -0.539 -0.213  -0.487 -0.088  -0.435 0.037  -0.383 0.163  -0.331 0.288  -0.279 0.414  -0.227 0.539  -0.175 0.664  -0.123 0.790  -0.071 0.915  -0.019 1.041  0.033 1.166  0.085 1.291  0.137 1.417  0.190 1.542  0.231 1.549  0.285 1.549  0.150 1.549  0.192 1.549
2#tos#t1#t1081062/l  0.045 1.435  -0.026 1.435  -0.056 1.475  0.004 1.486  0.045 1.456  0.045 1.385  0.045 1.314  0.045 1.243  0.045 1.171  0.025 1.109  -0.005 1.050  -0.005 0.979  -0.005 0.908  -0.005 0.837  -0.005 0.766  -0.005 0.694  -0.005 0.623  -0.005 0.552  -0.005 0.481  -0.005 0.410  -0.005 0.338  -0.005 0.267  -0.005 0.196  -0.005 0.125  -0.005 0.054  -0.005 -0.017  -0.005 -0.089  -0.005 -0.160  -0.005 -0.231  -0.005 -0.302  -0.005 -0.373  -0.005 -0.445  -0.005 -0.516  -0.005 -0.587  -0.005 -0.658  -0.005 -0.729  -0.005 -0.800  -0.005 -0.872  -0.005 -0.943  -0.005 -1.014  -0.005 -1.085  -0.005 -1.156  -0.005 -1.227  -0.005 -1.299  -0.005 -1.370  -0.005 -1.441  -0.005 -1.512  -0.005 -1.583  -0.005 -1.655  -0.005 -1.726
2#tos#t1#t1081062/q  0.349 0.928  0.349 0.985  0.349 1.156  0.178 1.156  0.008 1.156  -0.163 1.156  -0.277 1.099  -0.335 0.987  -0.392 0.840  -0.537 0.814  -0.708 0.814  -0.796 0.695  -0.847 0.546  -0.847 0.375  -0.847 0.205  -0.847 0.034  -0.804 -0.126  -0.665 -0.200  -0.563 -0.316  -0.401 -0.325  -0.230 -0.325  -0.060 -0.325  0.111 -0.325  0.178 -0.221  0.207 -0.055  0.255 0.109  0.303 0.273  0.351 0.437  0.400 0.600  0.448 0.764  0.344 0.814  0.239 0.757  0.292 0.640  0.292 0.469  0.292 0.298  0.292 0.128  0.292 -0.043  0.292 -0.214  0.292 -0.384  0.292 -0.555  0.292 -0.726  0.292 -0.896  0.292 -1.067  0.292 -1.238  0.292 -1.408  0.292 -1.579  0.292 -1.749  0.292 -1.920  0.292 -2.091  0.292 -2.147
2#tos#t1#t1081062/r  -0.729 0.931  -0.729 1.083  -0.674 1.104  -0.653 0.960  -0.653 0.808  -0.653 0.656  -0.653 0.504  -0.618 0.366  -0.577 0.231  -0.577 0.078  -0.502 0.002  -0.502 -0.150  -0.502 -0.302  -0.433 -0.426  -0.426 -0.575  -0.426 -0.728  -0.350 -0.848  -0.350 -1.001  -0.350 -1.153  -0.350 -1.305  -0.426 -1.303  -0.478 -1.163  -0.502 -1.016  -0.502 -0.864  -0.502 -0.712  -0.502 -0.559  -0.476 -0.433  -0.426 -0.331  -0.426 -0.179  -0.398 -0.054  -0.246 -0.054  -0.123 -0.025  -0.123 0.127  -0.101 0.270  0.006 0.378  0.118 0.476  0.270 0.476  0.422 0.476  0.575 0.476  0.700 0.541  0.848 0.552  1.000 0.552  1.121 0.476  1.273 0.476  1.317 0.368  1.414 0.276  1.558 0.242  1.694 0.174  1.771 0.098  1.847 0.022
2#tos#t1#t1081062/s  1.103 0.886  1.043 0.996  0.930 1.059  0.811 1.106  0.673 1.106  0.534 1.106  0.395 1.106  0.257 1.106  0.118 1.106  -0.020 1.106  -0.159 1.106  -0.274 1.031  -0.390 0.954  -0.491 0.869  -0.591 0.831  -0.609 0.704  -0.656 0.577  -0.647 0.446  -0.601 0.355  -0.486 0.327  -0.410 0.227  -0.326 0.172  -0.192 0.145  -0.072 0.083  0.004 0.008  0.085 -0.064  0.221 -0.092  0.358 -0.103  0.444 -0.156  0.499 -0.272  0.577 -0.346  0.638 -0.466  0.664 -0.601  0.664 -0.739  0.621 -0.860  0.494 -0.883  0.417 -0.983  0.279 -0.983  0.181 -1.081  0.047 -1.093  -0.091 -1.093  -0.230 -1.093  -0.368 -1.093  -0.507 -1.093  -0.645 -1.093  -0.729 -1.038  -0.799 -0.950  -0.821 -0.820  -0.902 -0.763  -1.041 -0.763
2#tos#t1#t1081062/w  -1.226 0.481  -1.342 0.514  -1.391 0.596  -1.284 0.554  -1.176 0.481  -1.111 0.397  -1.111 0.248  -1.029 0.168  -0.996 0.033  -0.996 -0.115  -0.996 -0.263  -0.996 -0.411  -0.890 -0.494  -0.824 -0.613  -0.766 -0.703  -0.647 -0.722  -0.593 -0.587  -0.556 -0.444  -0.452 -0.383  -0.420 -0.266  -0.338 -0.186  -0.305 -0.051  -0.251 0.074  -0.190 0.164  -0.071 0.193  0.041 0.155  0.053 0.020  0.098 -0.083  0.219 -0.158  0.323 -0.263  0.444 -0.294  0.503 -0.383  0.616 -0.418  0.626 -0.556  0.717 -0.614  0.766 -0.488  0.885 -0.441  0.904 -0.312  0.904 -0.164  1.020 -0.131  1.020 0.017  1.020 0.166  1.135 0.199  1.135 0.347  1.152 0.493  1.188 0.637  1.192 0.785  1.299 0.826  1.332 0.941  1.365 1.056
2#tos#t1#t1081062/y  -0.464 0.849  -0.582 0.774  -0.677 0.718  -0.590 0.621  -0.525 0.504  -0.436 0.420  -0.349 0.303  -0.249 0.246  -0.197 0.142  -0.112 0.022  -0.031 -0.100  0.045 -0.088  0.124 0.038  0.203 0.165  0.282 0.291  0.361 0.418  0.440 0.544  0.519 0.671  0.598 0.797  0.678 0.924  0.757 1.050  0.836 1.177  0.874 1.161  0.788 1.073  0.788 0.923  0.678 0.870  0.615 0.747  0.590 0.608  0.572 0.467  0.558 0.331  0.444 0.246  0.351 0.130  0.277 0.001  0.175 -0.106  0.054 -0.191  0.054 -0.340  0.013 -0.459  -0.101 -0.539  -0.168 -0.672  -0.241 -0.802  -0.344 -0.903  -0.464 -0.978  -0.519 -1.105  -0.625 -1.210  -0.710 -1.332  -0.723 -1.477  -0.723 -1.627  -0.841 -1.684  -0.973 -1.749  -1.026 -1.870
