2#tos#f1#f1013066/!  0.406 1.323  0.406 1.398  0.406 1.473  0.348 1.489  0.307 1.456  0.307 1.381  0.307 1.306  0.307 1.232  0.277 1.164  0.274 1.090  0.260 1.018  0.233 0.949  0.188 0.889  0.143 0.829  0.119 0.759  0.093 0.689  0.065 0.620  0.041 0.549  0.041 0.475  0.033 0.401  0.009 0.331  0.008 0.256  0.008 0.181  0.008 0.107  -0.002 0.034  -0.025 -0.037  -0.049 -0.108  -0.058 -0.181  -0.058 -0.256  -0.058 -0.331  -0.058 -0.405  -0.058 -0.480  -0.058 -0.555  -0.058 -0.629  -0.075 -0.700  -0.108 -0.767  -0.158 -0.805  -0.158 -0.879  -0.158 -0.954  -0.158 -1.029  -0.225 -1.037  -0.245 -1.109  -0.265 -1.181  -0.284 -1.253  -0.304 -1.325  -0.324 -1.397  -0.332 -1.464  -0.407 -1.464  -0.456 -1.489  -0.456 -1.563
2#tos#f1#f1013066/C  0.735 0.029  0.735 0.132  0.749 0.232  0.795 0.324  0.828 0.422  0.852 0.521  0.852 0.624  0.852 0.728  0.852 0.831  0.839 0.931  0.794 1.023  0.748 1.080  0.645 1.080  0.541 1.080  0.445 1.052  0.353 1.005  0.262 0.957  0.189 0.884  0.116 0.811  0.043 0.738  -0.029 0.665  -0.102 0.593  -0.185 0.532  -0.277 0.486  -0.369 0.440  -0.405 0.345  -0.432 0.247  -0.432 0.143  -0.466 0.054  -0.539 -0.019  -0.611 -0.092  -0.666 -0.172  -0.666 -0.275  -0.666 -0.379  -0.666 -0.482  -0.666 -0.585  -0.666 -0.688  -0.666 -0.791  -0.666 -0.894  -0.666 -0.997  -0.650 -1.092  -0.567 -1.154  -0.485 -1.216  -0.399 -1.272  -0.306 -1.314  -0.202 -1.314  -0.099 -1.314  0.004 -1.314  0.107 -1.314  0.210 -1.314
2#tos#f1#f1013066/E  -1.021 1.067  -0.985 0.942  -0.773 0.982  -0.568 1.019  -0.352 1.046  -0.134 1.067  0.083 1.103  0.289 1.179  0.507 1.192  0.693 1.276  0.719 1.270  0.499 1.258  0.278 1.246  0.060 1.229  -0.079 1.067  -0.102 0.870  -0.121 0.653  -0.183 0.447  -0.228 0.237  -0.260 0.020  -0.311 -0.194  -0.385 -0.385  -0.436 -0.584  -0.543 -0.774  -0.605 -0.980  -0.706 -1.024  -0.595 -0.833  -0.485 -0.642  -0.374 -0.450  -0.258 -0.269  -0.058 -0.222  0.073 -0.102  0.294 -0.102  0.497 -0.061  0.718 -0.061  0.577 -0.196  0.411 -0.341  0.244 -0.486  0.078 -0.631  -0.089 -0.775  -0.228 -0.933  -0.379 -1.059  -0.222 -1.105  -0.001 -1.105  0.206 -1.031  0.425 -1.021  0.645 -1.021  0.844 -0.947  1.062 -0.938  1.276 -0.896
2#tos#f1#f1013066/F  -0.754 1.111  -0.829 0.988  -0.697 0.922  -0.500 0.922  -0.302 0.922  -0.104 0.922  0.093 0.927  0.287 0.960  0.485 0.960  0.674 0.998  0.871 0.998  0.906 1.019  0.714 0.974  0.521 0.930  0.328 0.885  0.135 0.841  -0.053 0.783  -0.110 0.603  -0.183 0.449  -0.238 0.264  -0.302 0.086  -0.371 -0.071  -0.410 -0.258  -0.473 -0.438  -0.552 -0.619  -0.635 -0.798  -0.699 -0.975  -0.792 -1.123  -0.834 -1.300  -0.978 -1.376  -0.943 -1.263  -0.841 -1.123  -0.683 -1.020  -0.528 -0.961  -0.416 -0.830  -0.245 -0.735  -0.065 -0.678  0.128 -0.660  0.274 -0.574  0.440 -0.475  0.630 -0.425  0.801 -0.366  0.863 -0.178  0.926 0.009  0.979 0.139  0.866 0.023  0.753 -0.084  0.659 -0.246  0.638 -0.439  0.565 -0.622
2#tos#f1#f1013066/I  -0.250 1.353  -0.332 1.271  -0.415 1.188  -0.360 1.163  -0.246 1.177  -0.133 1.201  -0.021 1.226  0.093 1.239  0.194 1.277  0.311 1.277  0.427 1.277  0.443 1.215  0.383 1.125  0.291 1.078  0.246 0.975  0.246 0.859  0.208 0.751  0.163 0.673  0.140 0.559  0.109 0.447  0.093 0.333  0.093 0.216  0.061 0.107  0.011 0.002  -0.021 -0.109  -0.021 -0.226  -0.059 -0.333  -0.059 -0.450  -0.090 -0.556  -0.160 -0.649  -0.174 -0.761  -0.174 -0.878  -0.196 -0.972  -0.312 -0.972  -0.429 -0.972  -0.546 -0.972  -0.657 -1.006  -0.604 -1.048  -0.488 -1.048  -0.371 -1.048  -0.254 -1.048  -0.138 -1.048  -0.027 -1.012  0.089 -1.010  0.206 -1.010  0.313 -0.972  0.430 -0.972  0.546 -0.972  0.663 -0.972  0.779 -0.972
2#tos#f1#f1013066/J  -0.053 1.040  -0.162 1.010  -0.115 0.952  0.006 0.952  0.127 0.952  0.247 0.952  0.361 0.981  0.478 0.999  0.595 1.015  0.699 1.069  0.793 1.136  0.692 1.156  0.577 1.144  0.481 1.073  0.382 1.006  0.355 0.892  0.326 0.778  0.326 0.657  0.273 0.552  0.268 0.433  0.268 0.312  0.295 0.198  0.297 0.077  0.297 -0.044  0.314 -0.161  0.326 -0.279  0.355 -0.395  0.355 -0.516  0.355 -0.636  0.355 -0.757  0.311 -0.865  0.268 -0.969  0.199 -1.052  0.116 -1.131  0.024 -1.177  -0.097 -1.177  -0.218 -1.177  -0.337 -1.161  -0.448 -1.119  -0.540 -1.041  -0.645 -0.983  -0.747 -0.919  -0.824 -0.826  -0.891 -0.726  -0.985 -0.653  -0.987 -0.533  -1.012 -0.423  -1.045 -0.316  -1.031 -0.201  -0.987 -0.098
2#tos#f1#f1013066/L  0.079 1.760  -0.020 1.740  -0.020 1.621  -0.020 1.502  -0.066 1.398  -0.096 1.284  -0.152 1.182  -0.155 1.064  -0.218 0.971  -0.218 0.852  -0.230 0.735  -0.251 0.619  -0.274 0.508  -0.346 0.413  -0.368 0.297  -0.390 0.180  -0.416 0.064  -0.416 -0.055  -0.457 -0.166  -0.522 -0.266  -0.575 -0.372  -0.628 -0.474  -0.679 -0.558  -0.743 -0.614  -0.829 -0.647  -0.844 -0.543  -0.819 -0.449  -0.766 -0.383  -0.654 -0.354  -0.541 -0.330  -0.427 -0.307  -0.314 -0.284  -0.195 -0.284  -0.076 -0.284  0.038 -0.315  0.148 -0.353  0.241 -0.416  0.345 -0.451  0.428 -0.520  0.524 -0.572  0.621 -0.628  0.728 -0.676  0.823 -0.717  0.924 -0.746  1.030 -0.779  1.149 -0.779  1.268 -0.779  1.387 -0.779  1.461 -0.697  1.530 -0.614
2#tos#f1#f1013066/N  -1.352 -1.170  -1.255 -1.170  -1.181 -1.030  -1.053 -0.932  -0.980 -0.790  -0.911 -0.646  -0.843 -0.502  -0.761 -0.365  -0.687 -0.226  -0.648 -0.069  -0.597 0.086  -0.553 0.242  -0.490 0.391  -0.438 0.541  -0.424 0.701  -0.373 0.855  -0.307 1.002  -0.307 1.165  -0.242 1.167  -0.180 1.025  -0.144 0.871  -0.144 0.708  -0.116 0.549  -0.112 0.387  -0.112 0.224  -0.086 0.065  -0.079 -0.096  -0.054 -0.256  -0.046 -0.417  0.019 -0.560  0.053 -0.714  0.149 -0.842  0.198 -0.981  0.308 -1.072  0.388 -0.954  0.461 -0.809  0.533 -0.664  0.615 -0.524  0.640 -0.368  0.667 -0.209  0.700 -0.050  0.773 0.093  0.849 0.237  0.916 0.384  1.017 0.511  1.066 0.664  1.129 0.811  1.211 0.915  1.325 0.938  1.456 0.888
2#tos#f1#f1013066/O  -0.342 0.531  -0.227 0.646  -0.085 0.715  -0.033 0.825  -0.162 0.740  -0.248 0.615  -0.367 0.507  -0.444 0.365  -0.516 0.220  -0.560 0.064  -0.619 -0.087  -0.688 -0.234  -0.746 -0.382  -0.751 -0.543  -0.820 -0.689  -0.820 -0.851  -0.820 -1.013  -0.820 -1.175  -0.719 -1.258  -0.558 -1.270  -0.396 -1.270  -0.233 -1.270  -0.080 -1.224  0.058 -1.141  0.185 -1.042  0.324 -0.958  0.445 -0.851  0.553 -0.730  0.654 -0.604  0.758 -0.479  0.865 -0.357  0.954 -0.229  0.981 -0.069  0.981 0.093  0.981 0.255  0.981 0.417  0.981 0.579  0.953 0.735  0.859 0.866  0.721 0.944  0.565 0.972  0.402 0.972  0.240 0.972  0.078 0.972  -0.084 0.972  -0.229 0.908  -0.366 0.822  -0.518 0.789  -0.636 0.694  -0.636 0.531
2#tos#f1#f1013066/P  0.194 1.261  0.194 1.284  0.167 1.067  0.068 0.869  0.029 0.651  -0.077 0.450  -0.169 0.242  -0.222 0.021  -0.351 -0.165  -0.404 -0.386  -0.471 -0.602  -0.585 -0.799  -0.645 -1.013  -0.694 -1.234  -0.729 -1.456  -0.713 -1.583  -0.643 -1.366  -0.573 -1.149  -0.504 -0.932  -0.434 -0.714  -0.364 -0.497  -0.294 -0.280  -0.224 -0.063  -0.154 0.155  -0.085 0.372  -0.015 0.589  0.110 0.727  0.146 0.950  0.281 1.099  0.461 1.177  0.689 1.177  0.902 1.139  1.079 0.999  1.197 0.804  1.242 0.586  1.242 0.358  1.148 0.161  1.085 -0.044  0.906 -0.166  0.724 -0.298  0.571 -0.459  0.343 -0.459  0.126 -0.519  -0.098 -0.542  -0.326 -0.542  -0.534 -0.477  -0.729 -0.361  -0.903 -0.229  -0.981 -0.016  -0.981 0.212
2#tos#f1#f1013066/Q  -0.519 -0.846  -0.603 -0.969  -0.786 -0.969  -0.916 -0.852  -1.023 -0.721  -1.042 -0.543  -1.042 -0.360  -1.042 -0.177  -1.025 0.004  -0.962 0.174  -0.919 0.352  -0.818 0.504  -0.720 0.658  -0.618 0.808  -0.475 0.920  -0.334 1.037  -0.169 1.112  -0.021 1.215  0.158 1.253  0.338 1.275  0.522 1.275  0.699 1.251  0.822 1.170  0.910 1.016  0.926 0.836  0.924 0.653  0.871 0.478  0.814 0.304  0.752 0.133  0.667 -0.029  0.552 -0.166  0.489 -0.331  0.359 -0.460  0.242 -0.600  0.132 -0.747  -0.004 -0.868  -0.136 -0.969  -0.301 -0.909  -0.335 -0.735  -0.335 -0.552  -0.314 -0.374  -0.168 -0.293  0.015 -0.293  0.198 -0.293  0.374 -0.323  0.537 -0.375  0.678 -0.475  0.794 -0.604  0.894 -0.719  0.957 -0.877
2#tos#f1#f1013066/R  0.054 1.018  -0.014 1.209  -0.073 0.981  -0.215 0.788  -0.294 0.562  -0.395 0.344  -0.472 0.130  -0.583 -0.072  -0.670 -0.297  -0.755 -0.521  -0.860 -0.737  -0.906 -0.972  -0.974 -1.199  -0.939 -1.054  -0.848 -0.830  -0.758 -0.606  -0.668 -0.383  -0.578 -0.159  -0.487 0.065  -0.397 0.288  -0.307 0.512  -0.217 0.736  -0.146 0.955  0.039 1.105  0.239 1.228  0.454 1.327  0.695 1.327  0.850 1.216  0.945 1.008  0.945 0.767  0.877 0.542  0.773 0.331  0.614 0.161  0.475 0.037  0.311 -0.063  0.124 -0.193  -0.108 -0.250  -0.350 -0.250  -0.425 -0.044  -0.234 -0.051  -0.014 -0.115  0.160 -0.253  0.332 -0.387  0.397 -0.592  0.489 -0.788  0.603 -0.991  0.659 -1.219  0.729 -1.439  0.876 -1.586  1.048 -1.586
2#tos#f1#f1013066/S  0.718 0.739  0.798 0.797  0.935 0.797  1.005 0.864  1.003 1.001  0.899 1.055  0.823 1.135  0.717 1.218  0.591 1.256  0.454 1.256  0.318 1.242  0.199 1.182  0.081 1.132  0.023 1.012  0.001 0.880  0.009 0.744  0.052 0.614  0.119 0.496  0.173 0.376  0.182 0.243  0.259 0.138  0.307 0.012  0.363 -0.111  0.410 -0.231  0.460 -0.358  0.460 -0.495  0.423 -0.617  0.325 -0.705  0.243 -0.813  0.124 -0.848  0.027 -0.924  -0.111 -0.924  -0.243 -0.903  -0.368 -0.849  -0.439 -0.755  -0.520 -0.651  -0.578 -0.529  -0.602 -0.398  -0.602 -0.261  -0.602 -0.124  -0.602 -0.255  -0.643 -0.362  -0.701 -0.479  -0.744 -0.606  -0.823 -0.716  -0.849 -0.846  -0.948 -0.934  -0.974 -1.068  -1.032 -1.189  -1.118 -1.240
2#tos#f1#f1013066/U  -0.072 1.339  -0.187 1.345  -0.264 1.364  -0.341 1.318  -0.341 1.196  -0.341 1.073  -0.419 1.028  -0.421 0.906  -0.457 0.789  -0.457 0.667  -0.470 0.548  -0.538 0.446  -0.606 0.345  -0.611 0.224  -0.611 0.101  -0.614 -0.021  -0.644 -0.140  -0.650 -0.261  -0.650 -0.384  -0.650 -0.506  -0.650 -0.629  -0.629 -0.748  -0.609 -0.869  -0.585 -0.989  -0.532 -1.093  -0.456 -1.167  -0.333 -1.167  -0.211 -1.167  -0.091 -1.148  0.010 -1.085  0.101 -1.007  0.205 -0.955  0.254 -0.846  0.352 -0.773  0.443 -0.691  0.507 -0.589  0.567 -0.483  0.641 -0.385  0.689 -0.273  0.739 -0.162  0.786 -0.050  0.816 0.069  0.863 0.181  0.893 0.300  0.922 0.419  0.931 0.540  0.931 0.663  0.931 0.785  0.931 0.908  0.931 1.030
2#tos#f1#f1013066/X  -0.802 1.048  -0.967 1.070  -0.999 1.245  -0.968 1.214  -0.818 1.105  -0.685 0.973  -0.575 0.822  -0.476 0.663  -0.372 0.507  -0.283 0.342  -0.236 0.161  -0.107 0.058  0.025 -0.034  0.025 -0.222  0.067 -0.400  0.161 -0.562  0.223 -0.737  0.281 -0.903  0.364 -1.065  0.495 -1.172  0.646 -1.209  0.728 -1.056  0.738 -0.869  0.755 -0.682  0.772 -0.495  0.789 -0.308  0.806 -0.121  0.823 0.066  0.840 0.253  0.852 0.440  0.896 0.620  1.018 0.717  0.995 0.882  0.814 0.842  0.681 0.711  0.544 0.583  0.376 0.499  0.213 0.408  0.080 0.276  -0.052 0.143  -0.185 0.010  -0.318 -0.123  -0.451 -0.255  -0.579 -0.392  -0.696 -0.537  -0.845 -0.651  -0.962 -0.794  -1.123 -0.890  -1.215 -1.039  -1.298 -1.144
2#tos#f1#f1013066/Y  -0.793 0.968  -0.912 1.001  -0.855 1.070  -0.740 0.972  -0.642 0.864  -0.610 0.720  -0.529 0.592  -0.477 0.454  -0.393 0.331  -0.338 0.206  -0.237 0.152  -0.095 0.205  0.046 0.259  0.188 0.313  0.329 0.366  0.471 0.420  0.612 0.473  0.754 0.527  0.895 0.580  1.037 0.634  1.178 0.687  1.097 0.770  0.945 0.770  0.800 0.733  0.673 0.652  0.550 0.568  0.430 0.476  0.292 0.435  0.171 0.344  0.030 0.290  -0.098 0.212  -0.217 0.118  -0.324 0.011  -0.445 -0.062  -0.436 -0.141  -0.334 -0.204  -0.224 -0.289  -0.131 -0.407  -0.073 -0.544  -0.040 -0.681  -0.040 -0.833  -0.040 -0.984  -0.051 -1.134  -0.080 -1.282  -0.125 -1.414  -0.184 -1.548  -0.221 -1.695  -0.239 -1.844  -0.256 -1.990  -0.318 -2.122
2#tos#f1#f1013066/b  -1.717 -0.636  -1.723 -0.782  -1.531 -0.782  -1.352 -0.727  -1.195 -0.619  -1.042 -0.504  -0.922 -0.355  -0.755 -0.264  -0.591 -0.165  -0.439 -0.051  -0.303 0.085  -0.168 0.220  -0.032 0.356  0.103 0.491  0.236 0.629  0.356 0.778  0.471 0.932  0.570 1.096  0.683 1.250  0.764 1.422  0.727 1.528  0.701 1.340  0.574 1.210  0.494 1.036  0.378 0.894  0.277 0.745  0.228 0.563  0.133 0.396  0.062 0.218  -0.012 0.042  -0.118 -0.117  -0.185 -0.294  -0.185 -0.485  -0.258 -0.655  -0.258 -0.846  -0.205 -1.016  -0.023 -1.032  0.093 -0.911  0.107 -0.721  0.076 -0.537  -0.002 -0.419  -0.074 -0.272  0.110 -0.291  0.283 -0.344  0.472 -0.356  0.660 -0.382  0.846 -0.417  1.037 -0.417  1.229 -0.417  1.420 -0.417
2#tos#f1#f1013066/j  -0.051 0.705  -0.002 0.802  0.066 0.706  0.142 0.602  0.181 0.473  0.206 0.337  0.206 0.192  0.206 0.046  0.194 -0.098  0.138 -0.232  0.058 -0.354  -0.021 -0.477  -0.098 -0.600  -0.183 -0.718  -0.245 -0.848  -0.336 -0.962  -0.403 -1.091  -0.539 -1.134  -0.642 -1.237  -0.745 -1.340  -0.872 -1.385  -0.920 -1.287  -0.883 -1.147  -0.821 -1.018  -0.729 -0.905  -0.636 -0.794  -0.559 -0.671  -0.456 -0.568  -0.352 -0.465  -0.240 -0.372  -0.118 -0.293  -0.001 -0.210  0.112 -0.119  0.244 -0.058  0.371 0.011  0.511 0.030  0.623 0.108  0.606 0.252  0.589 0.397  0.572 0.542  0.556 0.687  0.539 0.832  0.522 0.976  0.506 1.121  0.489 1.266  0.472 1.411  0.455 1.556  0.439 1.700  0.416 1.831  0.431 1.799
2#tos#f1#f1013066/k  0.017 2.018  0.063 1.964  0.063 1.801  0.063 1.638  0.000 1.501  -0.028 1.349  -0.063 1.198  -0.161 1.067  -0.215 0.913  -0.271 0.760  -0.344 0.614  -0.396 0.460  -0.455 0.308  -0.546 0.173  -0.633 0.035  -0.706 -0.111  -0.711 -0.273  -0.711 -0.436  -0.800 -0.573  -0.802 -0.735  -0.757 -0.825  -0.612 -0.749  -0.468 -0.674  -0.323 -0.598  -0.178 -0.523  -0.033 -0.447  0.111 -0.372  0.245 -0.289  0.273 -0.138  0.336 -0.001  0.227 0.107  0.064 0.107  -0.100 0.107  -0.263 0.107  -0.347 0.028  -0.347 -0.135  -0.228 -0.225  -0.163 -0.348  -0.029 -0.438  0.076 -0.544  0.235 -0.575  0.372 -0.660  0.534 -0.666  0.688 -0.706  0.836 -0.772  0.988 -0.833  1.147 -0.848  1.299 -0.884  1.446 -0.939  1.609 -0.939
2#tos#f1#f1013066/l  -1.544 -0.839  -1.665 -0.858  -1.536 -0.869  -1.396 -0.869  -1.256 -0.869  -1.117 -0.858  -0.980 -0.839  -0.843 -0.822  -0.718 -0.760  -0.592 -0.697  -0.467 -0.634  -0.341 -0.571  -0.219 -0.502  -0.100 -0.429  0.008 -0.339  0.117 -0.250  0.228 -0.165  0.350 -0.095  0.459 -0.011  0.547 0.099  0.634 0.208  0.701 0.330  0.762 0.456  0.827 0.579  0.852 0.717  0.852 0.857  0.852 0.997  0.852 1.138  0.825 1.274  0.692 1.284  0.560 1.265  0.441 1.197  0.352 1.093  0.232 1.021  0.186 0.894  0.112 0.775  0.052 0.648  0.003 0.517  0.003 0.377  -0.015 0.238  -0.028 0.099  -0.028 -0.042  -0.028 -0.182  -0.022 -0.322  0.009 -0.458  0.074 -0.582  0.152 -0.699  0.258 -0.785  0.383 -0.847  0.518 -0.869
2#tos#f1#f1013066/n  -1.227 -0.354  -1.387 -0.371  -1.528 -0.407  -1.601 -0.407  -1.551 -0.252  -1.425 -0.126  -1.319 0.014  -1.194 0.137  -1.054 0.245  -0.920 0.358  -0.762 0.438  -0.658 0.579  -0.519 0.686  -0.388 0.804  -0.234 0.888  -0.118 0.977  0.053 1.013  0.228 1.030  0.264 0.889  0.264 0.712  0.257 0.537  0.193 0.373  0.157 0.200  0.101 0.040  -0.011 -0.096  -0.109 -0.233  -0.134 -0.404  -0.168 -0.572  -0.213 -0.513  -0.049 -0.451  0.049 -0.303  0.109 -0.138  0.231 -0.027  0.333 0.095  0.423 0.206  0.464 0.358  0.611 0.445  0.690 0.346  0.690 0.169  0.726 -0.000  0.743 -0.173  0.792 -0.301  0.796 -0.474  0.796 -0.651  0.875 -0.805  1.012 -0.914  1.183 -0.940  1.360 -0.940  1.523 -0.905  1.648 -0.780
2#tos#f1#f1013066/r  -0.706 1.030  -0.589 1.040  -0.531 1.069  -0.468 0.968  -0.414 0.864  -0.414 0.737  -0.414 0.610  -0.414 0.483  -0.414 0.356  -0.414 0.229  -0.414 0.102  -0.414 -0.024  -0.414 -0.151  -0.421 -0.277  -0.461 -0.397  -0.513 -0.513  -0.570 -0.626  -0.589 -0.749  -0.598 -0.874  -0.628 -0.998  -0.681 -1.108  -0.706 -1.225  -0.687 -1.270  -0.620 -1.164  -0.530 -1.074  -0.447 -0.979  -0.377 -0.873  -0.303 -0.771  -0.227 -0.669  -0.168 -0.559  -0.137 -0.436  -0.070 -0.339  0.036 -0.268  0.117 -0.172  0.193 -0.071  0.266 0.033  0.336 0.138  0.423 0.230  0.513 0.320  0.624 0.380  0.727 0.454  0.829 0.530  0.943 0.580  1.066 0.611  1.167 0.681  1.265 0.759  1.378 0.816  1.496 0.855  1.623 0.855  1.750 0.855
2#tos#f1#f1013066/s  0.688 0.805  0.786 0.850  0.786 0.993  0.786 1.137  0.723 1.246  0.583 1.253  0.482 1.354  0.354 1.393  0.231 1.442  0.095 1.430  0.019 1.311  0.002 1.174  0.002 1.031  0.002 0.888  0.022 0.748  0.092 0.631  0.198 0.544  0.233 0.407  0.291 0.276  0.296 0.134  0.296 -0.009  0.384 -0.116  0.435 -0.249  0.443 -0.391  0.443 -0.534  0.443 -0.677  0.443 -0.821  0.443 -0.964  0.344 -1.008  0.201 -1.008  0.149 -0.916  0.012 -0.910  -0.107 -0.877  -0.168 -0.763  -0.242 -0.694  -0.289 -0.570  -0.389 -0.468  -0.438 -0.345  -0.523 -0.237  -0.536 -0.099  -0.585 -0.150  -0.637 -0.281  -0.682 -0.417  -0.702 -0.556  -0.756 -0.688  -0.802 -0.824  -0.854 -0.957  -0.951 -1.056  -1.026 -1.159  -1.026 -1.302
2#tos#f1#f1013066/t  -1.751 -1.331  -1.636 -1.424  -1.436 -1.380  -1.246 -1.302  -1.068 -1.198  -0.900 -1.081  -0.753 -0.934  -0.617 -0.779  -0.480 -0.627  -0.300 -0.527  -0.154 -0.381  -0.022 -0.221  0.115 -0.066  0.261 0.080  0.391 0.237  0.467 0.430  0.525 0.628  0.604 0.811  0.604 1.018  0.604 1.225  0.643 1.392  0.604 1.203  0.592 0.999  0.516 0.807  0.465 0.606  0.465 0.399  0.465 0.192  0.443 -0.012  0.419 -0.217  0.419 -0.424  0.419 -0.631  0.419 -0.838  0.487 -0.888  0.353 -0.730  0.219 -0.572  0.085 -0.415  -0.049 -0.257  -0.184 -0.100  -0.318 0.058  -0.452 0.216  -0.606 0.331  -0.643 0.501  -0.464 0.587  -0.260 0.608  -0.055 0.624  0.149 0.654  0.356 0.654  0.561 0.677  0.766 0.700  0.973 0.700
2#tos#f1#f1013066/v  -0.979 -0.553  -1.140 -0.553  -1.185 -0.437  -1.185 -0.275  -1.185 -0.114  -1.185 0.048  -1.105 0.185  -0.979 0.237  -0.979 0.398  -0.877 0.511  -0.737 0.581  -0.583 0.627  -0.443 0.684  -0.335 0.787  -0.205 0.839  -0.154 0.699  -0.154 0.538  -0.154 0.376  -0.179 0.221  -0.251 0.076  -0.304 -0.076  -0.344 -0.233  -0.383 -0.389  -0.411 -0.547  -0.428 -0.706  -0.463 -0.862  -0.463 -1.024  -0.347 -1.069  -0.198 -1.015  -0.048 -0.955  0.082 -0.870  0.180 -0.744  0.313 -0.654  0.428 -0.539  0.552 -0.450  0.662 -0.366  0.723 -0.219  0.723 -0.058  0.805 0.075  0.877 0.220  0.878 0.381  0.878 0.543  0.878 0.704  0.948 0.769  1.070 0.665  1.224 0.633  1.342 0.529  1.453 0.478  1.614 0.478  1.754 0.426
2#tos#f1#f1013066/w  -0.286 0.884  -0.393 0.823  -0.501 0.720  -0.584 0.586  -0.666 0.441  -0.725 0.284  -0.853 0.186  -0.922 0.049  -0.984 -0.096  -1.017 -0.257  -1.037 -0.421  -1.037 -0.589  -1.136 -0.717  -1.145 -0.882  -1.089 -0.887  -0.924 -0.859  -0.762 -0.813  -0.624 -0.729  -0.523 -0.594  -0.428 -0.455  -0.393 -0.297  -0.234 -0.244  -0.206 -0.082  -0.119 0.062  -0.012 0.191  0.036 0.340  0.089 0.239  0.086 0.072  0.036 -0.085  0.036 -0.254  0.004 -0.415  -0.018 -0.578  0.056 -0.672  0.225 -0.672  0.344 -0.593  0.429 -0.454  0.592 -0.413  0.687 -0.285  0.781 -0.145  0.903 -0.046  0.944 0.118  0.948 0.286  1.045 0.422  1.152 0.551  1.271 0.670  1.324 0.817  1.356 0.981  1.409 1.140  1.431 1.305  1.431 1.367
2#tos#f1#f1013066/x  -0.976 0.917  -1.061 1.016  -1.244 1.016  -1.117 1.016  -0.954 0.966  -0.797 0.880  -0.729 0.718  -0.680 0.546  -0.619 0.382  -0.545 0.216  -0.498 0.039  -0.472 -0.140  -0.390 -0.304  -0.325 -0.474  -0.218 -0.617  -0.127 -0.771  0.002 -0.900  0.147 -0.995  0.294 -1.099  0.476 -1.105  0.614 -0.995  0.707 -0.841  0.794 -0.696  0.926 -0.593  0.994 -0.423  1.003 -0.241  1.018 -0.058  1.034 0.125  1.049 0.307  1.064 0.490  1.079 0.672  1.095 0.855  0.925 0.868  0.742 0.868  0.559 0.868  0.488 0.712  0.314 0.670  0.257 0.506  0.137 0.383  0.060 0.239  -0.049 0.123  -0.164 -0.002  -0.237 -0.169  -0.347 -0.308  -0.490 -0.422  -0.605 -0.561  -0.680 -0.727  -0.682 -0.908  -0.845 -0.941  -0.927 -1.105
2#tos#f1#f1013066/z  -1.086 1.092  -1.086 1.168  -0.934 1.236  -0.857 1.381  -0.637 1.381  -0.416 1.381  -0.195 1.381  0.023 1.357  0.238 1.309  0.409 1.188  0.608 1.113  0.650 0.918  0.627 0.707  0.494 0.531  0.354 0.362  0.231 0.181  0.157 -0.026  -0.016 -0.146  -0.170 -0.283  -0.267 -0.476  -0.363 -0.657  -0.477 -0.831  -0.633 -0.987  -0.675 -1.079  -0.454 -1.079  -0.233 -1.079  -0.013 -1.079  0.208 -1.079  0.429 -1.079  0.650 -1.079  0.849 -1.025  0.757 -0.882  0.557 -0.787  0.357 -0.692  0.158 -0.598  -0.042 -0.503  -0.242 -0.409  -0.441 -0.314  -0.640 -0.217  -0.724 -0.076  -0.658 0.079  -0.437 0.079  -0.216 0.079  0.004 0.076  0.208 0.006  0.429 0.006  0.650 0.006  0.770 -0.135  0.936 -0.211  1.157 -0.211
