3#apb#apb38#app3800/4  -0.668 1.056  -0.732 0.929  -0.764 0.759  -0.809 0.591  -0.868 0.428  -0.936 0.268  -1.013 0.113  -1.066 -0.052  -1.112 -0.219  -1.204 -0.366  -1.236 -0.535  -1.238 -0.707  -1.159 -0.804  -0.993 -0.766  -0.835 -0.700  -0.682 -0.617  -0.533 -0.527  -0.376 -0.456  -0.211 -0.401  -0.040 -0.372  0.127 -0.326  0.300 -0.323  0.462 -0.373  0.513 -0.249  0.552 -0.080  0.590 0.090  0.628 0.259  0.667 0.429  0.705 0.598  0.744 0.767  0.782 0.937  0.821 1.106  0.859 1.276  0.807 1.234  0.730 1.079  0.655 0.922  0.601 0.759  0.568 0.588  0.539 0.417  0.534 0.245  0.546 0.071  0.542 -0.102  0.530 -0.275  0.504 -0.447  0.472 -0.618  0.438 -0.788  0.400 -0.957  0.345 -1.122  0.287 -1.286  0.228 -1.450
3#apb#apb38#app3800/B  -0.697 0.365  -0.656 0.192  -0.626 0.005  -0.615 -0.183  -0.611 -0.373  -0.599 -0.563  -0.586 -0.752  -0.565 -0.940  -0.551 -1.020  -0.617 -0.845  -0.673 -0.664  -0.736 -0.485  -0.801 -0.307  -0.813 -0.117  -0.821 0.072  -0.821 0.262  -0.785 0.448  -0.724 0.627  -0.640 0.796  -0.513 0.938  -0.372 1.065  -0.211 1.164  -0.066 1.286  0.120 1.311  0.304 1.272  0.491 1.241  0.648 1.159  0.762 1.010  0.761 0.828  0.669 0.665  0.547 0.521  0.403 0.398  0.236 0.307  0.067 0.220  -0.014 0.138  0.172 0.116  0.350 0.050  0.523 -0.029  0.689 -0.121  0.811 -0.265  0.932 -0.411  1.030 -0.572  1.053 -0.758  0.995 -0.937  0.867 -1.073  0.708 -1.173  0.526 -1.221  0.338 -1.242  0.149 -1.225  -0.037 -1.184
3#apb#apb38#app3800/e  -0.771 0.223  -0.644 0.186  -0.531 0.104  -0.399 0.060  -0.266 0.015  -0.135 0.009  -0.006 0.063  0.123 0.117  0.252 0.171  0.389 0.193  0.528 0.204  0.667 0.216  0.796 0.256  0.907 0.339  1.019 0.423  1.136 0.500  1.256 0.572  1.260 0.709  1.165 0.802  1.043 0.865  0.909 0.903  0.773 0.917  0.635 0.896  0.496 0.875  0.358 0.853  0.228 0.806  0.100 0.749  -0.027 0.692  -0.139 0.609  -0.251 0.525  -0.361 0.438  -0.459 0.340  -0.558 0.241  -0.648 0.135  -0.725 0.018  -0.771 -0.107  -0.771 -0.247  -0.771 -0.387  -0.771 -0.527  -0.771 -0.666  -0.753 -0.805  -0.733 -0.943  -0.673 -1.069  -0.608 -1.192  -0.517 -1.298  -0.426 -1.404  -0.320 -1.493  -0.201 -1.565  -0.076 -1.629  0.049 -1.691
3#apb#apb38#app3800/a  0.617 1.366  0.509 1.271  0.402 1.175  0.294 1.080  0.187 0.984  0.080 0.889  -0.028 0.793  -0.135 0.698  -0.243 0.602  -0.361 0.522  -0.487 0.453  -0.613 0.384  -0.740 0.315  -0.864 0.245  -0.984 0.165  -1.104 0.085  -1.197 -0.021  -1.255 -0.150  -1.283 -0.291  -1.238 -0.414  -1.148 -0.526  -1.046 -0.623  -0.922 -0.697  -0.795 -0.728  -0.661 -0.678  -0.526 -0.627  -0.395 -0.569  -0.272 -0.495  -0.144 -0.433  -0.004 -0.398  0.041 -0.271  0.072 -0.131  0.103 0.009  0.143 0.147  0.129 0.279  0.170 0.354  0.273 0.254  0.388 0.168  0.499 0.076  0.600 -0.025  0.702 -0.127  0.804 -0.229  0.912 -0.323  1.021 -0.417  1.130 -0.510  1.258 -0.567  1.393 -0.611  1.508 -0.698  1.588 -0.808  1.623 -0.947
3#apb#apb38#app3800/v  -0.531 1.019  -0.589 0.929  -0.613 0.820  -0.637 0.711  -0.662 0.601  -0.682 0.492  -0.694 0.381  -0.706 0.269  -0.719 0.158  -0.732 0.048  -0.748 -0.063  -0.764 -0.174  -0.774 -0.285  -0.774 -0.397  -0.774 -0.508  -0.755 -0.618  -0.728 -0.726  -0.701 -0.834  -0.666 -0.937  -0.573 -0.999  -0.487 -1.071  -0.378 -1.076  -0.266 -1.076  -0.156 -1.059  -0.046 -1.037  0.024 -0.971  0.059 -0.865  0.095 -0.759  0.158 -0.668  0.229 -0.583  0.301 -0.497  0.357 -0.403  0.388 -0.295  0.419 -0.188  0.452 -0.082  0.498 0.021  0.543 0.123  0.589 0.225  0.634 0.327  0.678 0.430  0.722 0.532  0.766 0.635  0.814 0.736  0.864 0.836  0.914 0.936  0.983 1.022  1.062 1.101  1.137 1.183  1.199 1.276  1.272 1.360
3#apb#apb38#app3800/e  0.645 0.424  0.700 0.507  0.755 0.589  0.836 0.643  0.919 0.697  0.954 0.782  0.954 0.882  0.908 0.963  0.829 1.002  0.733 0.978  0.636 0.954  0.540 0.967  0.443 0.991  0.349 1.000  0.262 0.950  0.176 0.901  0.101 0.836  0.030 0.766  -0.042 0.698  -0.133 0.659  -0.225 0.620  -0.292 0.550  -0.350 0.469  -0.406 0.387  -0.438 0.293  -0.469 0.199  -0.505 0.107  -0.576 0.036  -0.646 -0.034  -0.689 -0.118  -0.703 -0.217  -0.713 -0.315  -0.713 -0.415  -0.711 -0.514  -0.689 -0.612  -0.667 -0.709  -0.633 -0.799  -0.562 -0.869  -0.495 -0.943  -0.432 -1.019  -0.367 -1.094  -0.287 -1.154  -0.207 -1.214  -0.128 -1.273  -0.028 -1.274  0.071 -1.274  0.171 -1.274  0.271 -1.274  0.365 -1.244  0.460 -1.212
3#apb#apb38#app3800/r  -0.236 0.101  -0.156 0.020  -0.152 -0.092  -0.150 -0.206  -0.125 -0.317  -0.100 -0.428  -0.076 -0.539  -0.068 -0.652  -0.068 -0.765  -0.068 -0.879  -0.069 -0.993  -0.087 -1.105  -0.106 -1.217  -0.083 -1.326  -0.120 -1.411  -0.189 -1.338  -0.240 -1.236  -0.291 -1.134  -0.341 -1.032  -0.392 -0.931  -0.443 -0.829  -0.469 -0.718  -0.494 -0.607  -0.519 -0.496  -0.530 -0.384  -0.530 -0.270  -0.530 -0.156  -0.486 -0.052  -0.440 0.052  -0.394 0.156  -0.348 0.260  -0.303 0.365  -0.258 0.469  -0.198 0.565  -0.124 0.651  -0.050 0.737  0.025 0.822  0.111 0.896  0.198 0.970  0.284 1.044  0.383 1.098  0.488 1.143  0.592 1.187  0.700 1.224  0.808 1.260  0.919 1.276  1.033 1.274  1.143 1.246  1.236 1.188  1.317 1.108
3#apb#apb38#app3800/R  -0.367 -0.106  -0.497 -0.036  -0.592 -0.156  -0.657 -0.300  -0.705 -0.451  -0.674 -0.592  -0.674 -0.750  -0.673 -0.909  -0.627 -1.059  -0.608 -1.210  -0.580 -1.167  -0.639 -1.019  -0.683 -0.868  -0.708 -0.711  -0.745 -0.558  -0.800 -0.409  -0.837 -0.255  -0.862 -0.099  -0.857 0.059  -0.823 0.214  -0.753 0.355  -0.673 0.492  -0.591 0.628  -0.484 0.744  -0.368 0.852  -0.242 0.949  -0.105 1.028  0.027 1.116  0.185 1.120  0.342 1.099  0.492 1.048  0.639 0.988  0.775 0.909  0.900 0.812  0.968 0.674  0.976 0.517  0.902 0.379  0.794 0.269  0.636 0.249  0.489 0.190  0.427 0.152  0.531 0.033  0.624 -0.096  0.730 -0.213  0.838 -0.329  0.940 -0.450  1.035 -0.577  1.106 -0.719  1.184 -0.856  1.283 -0.979
3#apb#apb38#app3800/d  0.150 -0.050  0.052 0.023  -0.065 0.056  -0.186 0.052  -0.302 0.016  -0.411 -0.039  -0.522 -0.090  -0.631 -0.141  -0.718 -0.228  -0.787 -0.328  -0.866 -0.418  -0.928 -0.513  -0.938 -0.634  -0.883 -0.743  -0.808 -0.838  -0.707 -0.902  -0.587 -0.923  -0.479 -0.978  -0.375 -1.041  -0.265 -1.085  -0.143 -1.085  -0.034 -1.031  0.082 -1.005  0.203 -0.995  0.305 -0.944  0.383 -0.851  0.445 -0.746  0.501 -0.638  0.534 -0.521  0.555 -0.401  0.567 -0.280  0.570 -0.158  0.558 -0.037  0.547 0.085  0.525 0.205  0.504 0.325  0.470 0.442  0.428 0.557  0.388 0.671  0.368 0.792  0.347 0.912  0.322 1.031  0.289 1.149  0.271 1.269  0.258 1.391  0.227 1.508  0.203 1.627  0.203 1.749  0.203 1.871  0.176 1.914
3#apb#apb38#app3800/.  -0.417 2.250  -0.367 2.102  -0.318 1.953  -0.268 1.805  -0.219 1.657  -0.169 1.508  -0.120 1.360  -0.070 1.211  -0.021 1.063  0.029 0.915  0.078 0.766  0.095 0.613  0.095 0.456  0.095 0.300  0.095 0.143  0.095 -0.013  0.095 -0.169  0.095 -0.326  0.095 -0.482  0.095 -0.639  0.095 -0.795  0.095 -0.951  0.095 -1.108  0.095 -1.264  0.030 -1.264  -0.081 -1.153  -0.192 -1.042  -0.302 -0.932  -0.413 -0.821  -0.265 -0.817  -0.109 -0.817  0.047 -0.817  0.204 -0.817  0.360 -0.817  0.517 -0.817  0.539 -0.817  0.382 -0.817  0.226 -0.817  0.095 -0.792  0.095 -0.636  0.095 -0.480  0.095 -0.323  0.095 -0.167  0.095 -0.010  0.095 0.146  0.026 0.274  -0.085 0.385  -0.195 0.495  -0.306 0.606  -0.417 0.716
3#apb#apb38#app3800/6  0.510 1.706  0.458 1.723  0.365 1.650  0.262 1.587  0.162 1.521  0.077 1.435  -0.007 1.349  -0.079 1.252  -0.149 1.154  -0.216 1.053  -0.278 0.950  -0.336 0.844  -0.387 0.735  -0.434 0.624  -0.475 0.510  -0.515 0.396  -0.549 0.281  -0.576 0.163  -0.594 0.044  -0.608 -0.076  -0.608 -0.196  -0.608 -0.317  -0.605 -0.437  -0.573 -0.554  -0.535 -0.667  -0.463 -0.764  -0.390 -0.860  -0.318 -0.957  -0.223 -1.030  -0.123 -1.097  -0.015 -1.151  0.093 -1.205  0.193 -1.170  0.289 -1.097  0.374 -1.012  0.460 -0.926  0.545 -0.841  0.622 -0.749  0.697 -0.653  0.755 -0.548  0.809 -0.441  0.763 -0.336  0.666 -0.266  0.562 -0.205  0.452 -0.164  0.331 -0.164  0.223 -0.216  0.114 -0.267  0.001 -0.306  -0.120 -0.306
3#apb#apb38#app3800/3  -1.258 0.628  -1.363 0.609  -1.262 0.671  -1.162 0.733  -1.058 0.789  -0.945 0.821  -0.831 0.854  -0.717 0.884  -0.602 0.913  -0.487 0.938  -0.369 0.947  -0.252 0.956  -0.134 0.958  -0.015 0.958  0.100 0.939  0.213 0.905  0.314 0.847  0.390 0.760  0.432 0.653  0.420 0.535  0.387 0.428  0.304 0.344  0.220 0.261  0.137 0.177  0.053 0.094  -0.030 0.010  -0.114 -0.073  -0.209 -0.141  -0.316 -0.189  -0.377 -0.273  -0.260 -0.280  -0.145 -0.308  -0.030 -0.335  0.085 -0.362  0.200 -0.391  0.313 -0.423  0.422 -0.469  0.524 -0.527  0.618 -0.598  0.677 -0.695  0.727 -0.801  0.783 -0.901  0.763 -1.017  0.763 -1.135  0.718 -1.243  0.646 -1.335  0.566 -1.421  0.488 -1.508  0.392 -1.576  0.280 -1.613
3#apb#apb38#app3800/W  -0.584 1.047  -0.727 1.028  -0.820 0.934  -0.852 0.792  -0.867 0.648  -0.867 0.503  -0.856 0.357  -0.839 0.213  -0.817 0.069  -0.802 -0.076  -0.791 -0.221  -0.791 -0.366  -0.790 -0.512  -0.767 -0.656  -0.754 -0.800  -0.754 -0.946  -0.717 -1.028  -0.609 -0.932  -0.532 -0.809  -0.467 -0.679  -0.408 -0.546  -0.328 -0.425  -0.274 -0.292  -0.198 -0.172  -0.119 -0.054  -0.016 -0.088  0.056 -0.214  0.104 -0.351  0.159 -0.486  0.200 -0.626  0.265 -0.754  0.320 -0.873  0.417 -0.790  0.501 -0.671  0.571 -0.544  0.602 -0.403  0.670 -0.276  0.730 -0.145  0.762 -0.003  0.802 0.137  0.844 0.276  0.896 0.412  0.946 0.549  0.979 0.691  1.020 0.830  1.062 0.967  1.078 1.112  1.113 1.253  1.136 1.397  1.114 1.519
3#apb#apb38#app3800/i  0.104 0.011  0.036 -0.068  -0.032 -0.147  -0.085 -0.233  -0.108 -0.334  -0.130 -0.436  -0.162 -0.534  -0.198 -0.632  -0.232 -0.730  -0.243 -0.833  -0.255 -0.936  -0.261 -1.040  -0.261 -1.144  -0.261 -1.248  -0.212 -1.337  -0.154 -1.423  -0.129 -1.370  -0.116 -1.267  -0.102 -1.164  -0.088 -1.061  -0.075 -0.958  -0.061 -0.855  -0.047 -0.752  -0.034 -0.649  -0.020 -0.546  -0.006 -0.443  0.007 -0.340  0.021 -0.237  0.035 -0.134  0.048 -0.031  0.062 0.072  0.076 0.175  0.089 0.278  0.103 0.381  0.117 0.484  0.130 0.587  0.144 0.690  0.158 0.793  0.171 0.896  0.185 0.999  0.199 1.102  0.212 1.205  0.226 1.308  0.240 1.411  0.253 1.514  0.219 1.610  0.177 1.705  0.135 1.800  0.078 1.886  0.043 1.984
3#apb#apb38#app3800/l  0.274 1.644  0.235 1.585  0.190 1.532  0.140 1.482  0.114 1.417  0.088 1.352  0.070 1.284  0.053 1.216  0.036 1.147  0.019 1.079  0.002 1.011  -0.015 0.943  -0.017 0.873  -0.012 0.803  -0.008 0.733  -0.003 0.663  0.002 0.593  0.006 0.523  0.013 0.453  0.019 0.383  0.025 0.313  0.032 0.243  0.040 0.173  0.050 0.103  0.059 0.034  0.068 -0.036  0.077 -0.106  0.087 -0.175  0.074 -0.244  0.061 -0.313  0.048 -0.382  0.035 -0.452  0.022 -0.521  0.009 -0.590  -0.005 -0.658  -0.020 -0.727  -0.034 -0.796  -0.049 -0.865  -0.064 -0.933  -0.079 -1.002  -0.093 -1.071  -0.108 -1.140  -0.123 -1.208  -0.138 -1.277  -0.152 -1.346  -0.167 -1.414  -0.183 -1.483  -0.198 -1.551  -0.222 -1.616  -0.261 -1.675
3#apb#apb38#app3800/s  0.591 1.490  0.518 1.417  0.445 1.344  0.372 1.271  0.289 1.211  0.199 1.161  0.109 1.111  0.019 1.062  -0.078 1.025  -0.174 0.989  -0.270 0.951  -0.354 0.891  -0.438 0.831  -0.520 0.770  -0.593 0.697  -0.666 0.624  -0.726 0.546  -0.726 0.443  -0.684 0.365  -0.599 0.309  -0.516 0.247  -0.424 0.200  -0.332 0.154  -0.240 0.108  -0.144 0.070  -0.048 0.034  0.049 -0.002  0.142 -0.047  0.234 -0.094  0.324 -0.144  0.412 -0.197  0.497 -0.255  0.579 -0.317  0.591 -0.414  0.572 -0.514  0.534 -0.610  0.499 -0.707  0.467 -0.805  0.421 -0.896  0.359 -0.978  0.298 -1.061  0.236 -1.143  0.152 -1.203  0.068 -1.263  -0.016 -1.323  -0.103 -1.378  -0.191 -1.432  -0.278 -1.487  -0.376 -1.515  -0.477 -1.536
3#apb#apb38#app3800/h  -0.548 1.860  -0.554 1.750  -0.576 1.641  -0.597 1.533  -0.604 1.422  -0.587 1.314  -0.562 1.206  -0.537 1.098  -0.518 0.989  -0.509 0.879  -0.501 0.768  -0.490 0.658  -0.459 0.552  -0.428 0.446  -0.397 0.340  -0.365 0.233  -0.354 0.124  -0.354 0.013  -0.354 -0.097  -0.354 -0.208  -0.340 -0.318  -0.325 -0.427  -0.309 -0.537  -0.307 -0.646  -0.331 -0.754  -0.357 -0.862  -0.354 -0.927  -0.305 -0.836  -0.232 -0.753  -0.163 -0.667  -0.096 -0.578  -0.030 -0.490  0.042 -0.406  0.120 -0.328  0.199 -0.249  0.302 -0.220  0.391 -0.168  0.501 -0.164  0.606 -0.187  0.708 -0.230  0.814 -0.261  0.901 -0.320  0.971 -0.406  1.014 -0.508  1.032 -0.615  1.043 -0.724  1.078 -0.829  1.066 -0.935  1.035 -1.041  0.977 -1.135
3#apb#apb38#app3800/i  -0.026 0.322  -0.057 0.214  -0.088 0.105  -0.111 -0.005  -0.131 -0.116  -0.152 -0.226  -0.172 -0.337  -0.192 -0.448  -0.212 -0.559  -0.232 -0.670  -0.213 -0.779  -0.182 -0.887  -0.167 -0.998  -0.167 -1.110  -0.134 -1.215  -0.081 -1.314  -0.019 -1.408  0.044 -1.502  0.048 -1.389  0.052 -1.276  0.056 -1.164  0.060 -1.051  0.064 -0.939  0.069 -0.826  0.073 -0.713  0.077 -0.601  0.081 -0.488  0.085 -0.376  0.089 -0.263  0.093 -0.150  0.097 -0.038  0.102 0.075  0.106 0.187  0.110 0.300  0.114 0.412  0.118 0.525  0.122 0.638  0.126 0.750  0.130 0.863  0.134 0.975  0.139 1.088  0.143 1.201  0.147 1.313  0.116 1.414  0.044 1.500  -0.028 1.587  -0.090 1.681  -0.096 1.792  -0.062 1.899  -0.026 2.006
3#apb#apb38#app3800/r  -0.129 -0.208  -0.177 -0.305  -0.198 -0.408  -0.198 -0.515  -0.158 -0.611  -0.114 -0.708  -0.084 -0.811  -0.054 -0.915  -0.020 -1.017  0.012 -1.120  0.033 -1.225  0.042 -1.332  0.042 -1.440  0.040 -1.431  0.023 -1.325  0.005 -1.219  -0.015 -1.113  -0.034 -1.007  -0.053 -0.901  -0.088 -0.800  -0.133 -0.702  -0.178 -0.604  -0.223 -0.507  -0.267 -0.408  -0.279 -0.301  -0.291 -0.194  -0.302 -0.087  -0.314 0.020  -0.326 0.127  -0.329 0.234  -0.310 0.340  -0.290 0.445  -0.271 0.551  -0.253 0.658  -0.235 0.764  -0.190 0.860  -0.137 0.954  -0.085 1.049  -0.023 1.136  0.047 1.218  0.117 1.300  0.208 1.348  0.311 1.376  0.414 1.391  0.517 1.366  0.617 1.344  0.701 1.277  0.787 1.212  0.877 1.152  0.966 1.093
3#apb#apb38#app3800/e  -0.570 0.257  -0.570 0.169  -0.479 0.054  -0.349 0.019  -0.202 0.019  -0.056 0.034  0.087 0.068  0.231 0.101  0.358 0.171  0.480 0.253  0.597 0.343  0.708 0.439  0.828 0.524  0.928 0.622  0.969 0.764  0.977 0.910  0.908 1.023  0.785 1.102  0.657 1.175  0.512 1.156  0.367 1.132  0.229 1.088  0.097 1.022  -0.032 0.952  -0.153 0.867  -0.274 0.783  -0.363 0.668  -0.442 0.544  -0.521 0.420  -0.603 0.298  -0.684 0.175  -0.712 0.031  -0.736 -0.114  -0.769 -0.257  -0.811 -0.398  -0.821 -0.539  -0.774 -0.679  -0.723 -0.816  -0.665 -0.952  -0.537 -1.018  -0.402 -1.078  -0.279 -1.158  -0.156 -1.239  -0.016 -1.273  0.130 -1.289  0.277 -1.291  0.425 -1.291  0.572 -1.291  0.717 -1.272  0.858 -1.231
3#apb#apb38#app3800/B  -0.229 0.749  -0.277 0.713  -0.317 0.503  -0.325 0.290  -0.354 0.079  -0.380 -0.133  -0.394 -0.347  -0.409 -0.560  -0.421 -0.774  -0.421 -0.988  -0.402 -1.201  -0.373 -1.404  -0.375 -1.205  -0.377 -0.991  -0.380 -0.777  -0.382 -0.563  -0.384 -0.349  -0.386 -0.135  -0.388 0.079  -0.390 0.293  -0.392 0.507  -0.394 0.721  -0.397 0.935  -0.397 1.122  -0.300 1.302  -0.111 1.397  0.074 1.493  0.288 1.493  0.495 1.461  0.607 1.281  0.682 1.090  0.568 0.920  0.385 0.811  0.212 0.684  0.058 0.629  0.196 0.468  0.356 0.327  0.522 0.199  0.618 0.012  0.728 -0.166  0.807 -0.364  0.875 -0.565  0.838 -0.774  0.716 -0.947  0.564 -1.098  0.368 -1.182  0.169 -1.262  -0.044 -1.267  -0.258 -1.267  -0.469 -1.243
3#apb#apb38#app3800/l  0.191 1.686  0.191 1.616  0.176 1.548  0.159 1.480  0.152 1.411  0.152 1.341  0.152 1.271  0.148 1.202  0.133 1.133  0.118 1.065  0.103 0.997  0.088 0.929  0.076 0.860  0.082 0.791  0.088 0.721  0.095 0.652  0.101 0.582  0.107 0.513  0.113 0.443  0.098 0.375  0.083 0.307  0.068 0.238  0.053 0.170  0.037 0.102  0.019 0.034  0.001 -0.033  -0.017 -0.100  -0.036 -0.168  -0.054 -0.235  -0.073 -0.303  -0.081 -0.371  -0.081 -0.441  -0.081 -0.511  -0.081 -0.581  -0.081 -0.651  -0.084 -0.721  -0.091 -0.790  -0.098 -0.860  -0.105 -0.929  -0.112 -0.999  -0.119 -1.068  -0.133 -1.137  -0.147 -1.205  -0.160 -1.274  -0.174 -1.342  -0.188 -1.411  -0.197 -1.480  -0.197 -1.549  -0.197 -1.619  -0.197 -1.689
3#apb#apb38#app3800/v  -0.739 1.133  -0.739 1.020  -0.739 0.907  -0.739 0.795  -0.789 0.698  -0.841 0.601  -0.841 0.488  -0.841 0.375  -0.827 0.265  -0.796 0.156  -0.765 0.048  -0.734 -0.060  -0.698 -0.167  -0.663 -0.274  -0.625 -0.380  -0.580 -0.483  -0.536 -0.587  -0.492 -0.690  -0.454 -0.796  -0.419 -0.903  -0.383 -1.010  -0.323 -1.105  -0.255 -1.195  -0.176 -1.174  -0.113 -1.080  -0.039 -0.999  0.058 -0.941  0.154 -0.883  0.208 -0.791  0.244 -0.684  0.280 -0.577  0.311 -0.469  0.342 -0.361  0.373 -0.253  0.418 -0.150  0.476 -0.054  0.534 0.043  0.592 0.139  0.650 0.236  0.704 0.334  0.746 0.439  0.788 0.543  0.842 0.642  0.900 0.738  0.958 0.835  1.021 0.928  1.083 1.022  1.146 1.116  1.157 1.225  1.157 1.338
3#apb#apb38#app3800/d  0.060 0.152  -0.057 0.135  -0.172 0.111  -0.286 0.080  -0.398 0.043  -0.502 -0.014  -0.606 -0.070  -0.706 -0.133  -0.806 -0.196  -0.912 -0.249  -0.964 -0.349  -1.009 -0.458  -0.983 -0.551  -0.926 -0.652  -0.870 -0.752  -0.762 -0.798  -0.655 -0.849  -0.550 -0.903  -0.448 -0.964  -0.331 -0.978  -0.225 -1.017  -0.115 -1.036  0.003 -1.036  0.121 -1.036  0.218 -0.972  0.288 -0.877  0.350 -0.777  0.409 -0.675  0.437 -0.561  0.448 -0.444  0.448 -0.325  0.448 -0.207  0.448 -0.089  0.444 0.029  0.432 0.147  0.429 0.264  0.444 0.382  0.454 0.499  0.463 0.617  0.471 0.735  0.482 0.853  0.494 0.971  0.518 1.086  0.545 1.201  0.545 1.320  0.545 1.438  0.545 1.556  0.579 1.668  0.594 1.783  0.618 1.899
3#apb#apb38#app3800/,  0.028 1.577  0.061 1.536  0.069 1.551  0.102 1.487  0.143 1.425  0.166 1.355  0.184 1.282  0.202 1.210  0.220 1.138  0.236 1.065  0.245 0.992  0.254 0.918  0.263 0.844  0.273 0.770  0.274 0.696  0.274 0.621  0.274 0.547  0.274 0.472  0.274 0.398  0.272 0.324  0.263 0.250  0.253 0.176  0.244 0.102  0.235 0.028  0.233 -0.046  0.233 -0.120  0.233 -0.195  0.233 -0.269  0.218 -0.340  0.181 -0.404  0.144 -0.469  0.108 -0.533  0.071 -0.598  0.030 -0.660  -0.012 -0.722  -0.053 -0.784  -0.094 -0.846  -0.147 -0.899  -0.199 -0.951  -0.252 -1.004  -0.305 -1.056  -0.357 -1.109  -0.419 -1.145  -0.491 -1.166  -0.563 -1.186  -0.634 -1.207  -0.705 -1.229  -0.776 -1.252  -0.846 -1.276  -0.917 -1.299
3#apb#apb38#app3800/#  -0.230 1.046  -0.273 0.787  -0.304 0.379  -0.362 -0.027  -0.439 -0.431  -0.552 -0.827  -0.672 -1.221  -0.890 -1.562  -0.659 -1.227  -0.426 -0.887  -0.192 -0.548  0.042 -0.209  0.276 0.130  0.510 0.470  0.743 0.809  0.977 1.148  0.967 0.851  0.809 0.473  0.627 0.111  0.491 -0.271  0.355 -0.651  0.109 -0.840  -0.189 -0.555  -0.487 -0.270  -0.784 0.014  -1.082 0.299  -1.380 0.584  -1.294 0.715  -0.882 0.715  -0.470 0.715  -0.059 0.690  0.352 0.698  0.763 0.715  1.173 0.683  1.585 0.678  1.451 0.463  1.062 0.325  0.674 0.188  0.285 0.051  -0.103 -0.087  -0.492 -0.224  -0.880 -0.362  -1.268 -0.499  -1.065 -0.535  -0.656 -0.498  -0.250 -0.445  0.158 -0.396  0.568 -0.352  0.978 -0.388  1.387 -0.425
3#apb#apb38#app3800/1  -0.070 0.914  -0.045 0.988  0.016 1.094  0.084 1.198  0.156 1.301  0.231 1.402  0.297 1.509  0.391 1.590  0.470 1.583  0.449 1.459  0.435 1.336  0.400 1.215  0.360 1.095  0.355 0.970  0.333 0.848  0.295 0.728  0.260 0.607  0.242 0.483  0.195 0.368  0.138 0.257  0.111 0.134  0.078 0.013  0.036 -0.106  -0.014 -0.221  -0.051 -0.341  -0.079 -0.464  -0.111 -0.584  -0.167 -0.697  -0.224 -0.809  -0.280 -0.922  -0.330 -1.020  -0.405 -1.036  -0.525 -1.021  -0.647 -1.002  -0.771 -0.988  -0.876 -0.927  -0.844 -0.901  -0.726 -0.856  -0.601 -0.856  -0.475 -0.850  -0.351 -0.832  -0.231 -0.792  -0.109 -0.765  0.011 -0.727  0.135 -0.714  0.261 -0.714  0.382 -0.695  0.492 -0.734  0.612 -0.761  0.709 -0.762
