2#apb#apb35#app3562/4  -1.014 0.644  -0.966 0.581  -0.978 0.399  -1.031 0.220  -1.090 0.043  -1.150 -0.133  -1.215 -0.307  -1.282 -0.481  -1.181 -0.544  -1.002 -0.494  -0.818 -0.467  -0.632 -0.456  -0.448 -0.431  -0.263 -0.411  -0.077 -0.403  0.109 -0.399  0.295 -0.399  0.481 -0.410  0.665 -0.436  0.851 -0.442  1.008 -0.421  0.948 -0.244  0.888 -0.068  0.828 0.108  0.768 0.284  0.708 0.460  0.648 0.637  0.588 0.813  0.528 0.989  0.468 1.165  0.408 1.342  0.348 1.518  0.315 1.446  0.297 1.261  0.283 1.075  0.270 0.889  0.258 0.704  0.246 0.518  0.225 0.333  0.200 0.148  0.175 -0.036  0.154 -0.221  0.134 -0.406  0.114 -0.591  0.078 -0.774  0.043 -0.957  0.006 -1.139  -0.032 -1.321  -0.073 -1.503  -0.085 -1.685
2#apb#apb35#app3562/B  -0.334 0.735  -0.426 0.566  -0.491 0.361  -0.551 0.153  -0.602 -0.056  -0.654 -0.266  -0.708 -0.475  -0.761 -0.684  -0.813 -0.893  -0.837 -1.106  -0.806 -0.898  -0.774 -0.685  -0.742 -0.471  -0.710 -0.258  -0.678 -0.044  -0.646 0.169  -0.614 0.382  -0.582 0.596  -0.551 0.809  -0.493 1.011  -0.330 1.148  -0.133 1.232  0.078 1.271  0.292 1.275  0.500 1.219  0.678 1.098  0.777 0.907  0.781 0.694  0.703 0.498  0.543 0.354  0.359 0.244  0.155 0.178  -0.048 0.208  0.097 0.331  0.309 0.368  0.521 0.349  0.720 0.270  0.878 0.126  1.009 -0.044  1.068 -0.246  1.062 -0.460  1.013 -0.667  0.882 -0.838  0.714 -0.974  0.532 -1.087  0.338 -1.181  0.135 -1.253  -0.071 -1.317  -0.286 -1.325  -0.502 -1.325
2#apb#apb35#app3562/e  -0.581 -1.109  -0.477 -1.017  -0.377 -0.923  -0.295 -0.811  -0.213 -0.700  -0.132 -0.588  -0.051 -0.475  0.029 -0.363  0.117 -0.257  0.211 -0.155  0.305 -0.053  0.383 0.060  0.458 0.177  0.529 0.295  0.587 0.420  0.646 0.545  0.700 0.673  0.741 0.805  0.782 0.937  0.794 1.073  0.791 1.211  0.767 1.346  0.662 1.423  0.527 1.398  0.412 1.322  0.304 1.236  0.206 1.139  0.108 1.041  0.024 0.932  -0.047 0.814  -0.119 0.696  -0.191 0.577  -0.254 0.455  -0.301 0.325  -0.348 0.195  -0.395 0.065  -0.439 -0.066  -0.475 -0.200  -0.511 -0.333  -0.547 -0.467  -0.581 -0.601  -0.581 -0.739  -0.581 -0.877  -0.581 -1.016  -0.544 -1.146  -0.485 -1.271  -0.423 -1.393  -0.304 -1.463  -0.184 -1.533  -0.065 -1.603
2#apb#apb35#app3562/a  0.439 1.242  0.311 1.370  0.166 1.313  0.027 1.199  -0.105 1.076  -0.247 0.965  -0.385 0.849  -0.504 0.714  -0.622 0.578  -0.727 0.431  -0.822 0.278  -0.907 0.120  -0.973 -0.048  -1.038 -0.216  -1.102 -0.385  -1.165 -0.554  -1.167 -0.734  -1.104 -0.890  -0.981 -1.022  -0.822 -1.108  -0.655 -1.118  -0.481 -1.072  -0.318 -0.996  -0.161 -0.907  -0.016 -0.802  0.117 -0.681  0.244 -0.553  0.366 -0.420  0.460 -0.268  0.533 -0.103  0.609 0.060  0.693 0.220  0.777 0.380  0.824 0.551  0.849 0.730  0.851 0.910  0.827 1.010  0.729 0.860  0.662 0.693  0.600 0.523  0.537 0.354  0.472 0.186  0.417 0.014  0.369 -0.159  0.341 -0.338  0.331 -0.517  0.332 -0.697  0.364 -0.875  0.463 -1.017  0.591 -1.145
2#apb#apb35#app3562/v  -0.469 0.938  -0.531 0.847  -0.542 0.736  -0.554 0.624  -0.568 0.513  -0.582 0.403  -0.600 0.292  -0.626 0.184  -0.652 0.075  -0.677 -0.034  -0.703 -0.143  -0.729 -0.251  -0.754 -0.360  -0.773 -0.470  -0.773 -0.582  -0.773 -0.693  -0.771 -0.805  -0.760 -0.916  -0.731 -1.021  -0.666 -1.110  -0.556 -1.128  -0.451 -1.093  -0.346 -1.055  -0.262 -0.983  -0.183 -0.904  -0.104 -0.825  -0.017 -0.755  0.071 -0.685  0.158 -0.616  0.231 -0.533  0.292 -0.439  0.353 -0.346  0.414 -0.252  0.473 -0.157  0.525 -0.058  0.577 0.041  0.629 0.140  0.681 0.239  0.716 0.345  0.748 0.452  0.781 0.559  0.814 0.665  0.847 0.772  0.884 0.878  0.921 0.983  0.958 1.088  0.986 1.197  1.009 1.306  1.032 1.415  1.051 1.526
2#apb#apb35#app3562/e  -1.213 -1.202  -1.086 -1.118  -0.958 -1.037  -0.827 -0.961  -0.689 -0.897  -0.560 -0.820  -0.442 -0.724  -0.334 -0.619  -0.234 -0.504  -0.135 -0.389  -0.022 -0.288  0.092 -0.188  0.194 -0.079  0.250 0.061  0.307 0.202  0.372 0.339  0.455 0.466  0.537 0.593  0.604 0.729  0.661 0.870  0.716 1.011  0.757 1.157  0.798 1.304  0.822 1.451  0.736 1.498  0.613 1.420  0.524 1.297  0.417 1.191  0.297 1.098  0.190 0.994  0.104 0.868  0.018 0.743  -0.054 0.610  -0.122 0.474  -0.190 0.338  -0.256 0.201  -0.321 0.064  -0.386 -0.073  -0.427 -0.218  -0.458 -0.367  -0.481 -0.515  -0.448 -0.663  -0.415 -0.811  -0.321 -0.919  -0.198 -1.008  -0.075 -1.097  0.069 -1.121  0.221 -1.121  0.373 -1.121  0.525 -1.121
2#apb#apb35#app3562/r  -1.116 -1.016  -1.082 -0.869  -1.047 -0.723  -0.997 -0.582  -0.925 -0.449  -0.854 -0.317  -0.782 -0.184  -0.706 -0.054  -0.624 0.073  -0.542 0.199  -0.459 0.325  -0.382 0.454  -0.316 0.590  -0.251 0.726  -0.185 0.862  -0.120 0.997  -0.048 1.130  0.026 1.261  0.097 1.394  0.137 1.539  0.173 1.430  0.158 1.283  0.143 1.135  0.165 0.986  0.192 0.838  0.248 0.698  0.345 0.591  0.470 0.507  0.577 0.401  0.695 0.308  0.802 0.239  0.738 0.107  0.617 0.018  0.497 -0.073  0.386 -0.175  0.275 -0.278  0.164 -0.379  0.052 -0.481  -0.042 -0.595  -0.105 -0.732  -0.154 -0.872  -0.148 -1.019  -0.021 -1.099  0.120 -1.149  0.267 -1.182  0.414 -1.214  0.563 -1.197  0.712 -1.174  0.861 -1.151  1.010 -1.128
2#apb#apb35#app3562/R  -0.030 0.789  -0.089 0.646  -0.165 0.460  -0.239 0.273  -0.308 0.084  -0.377 -0.105  -0.449 -0.293  -0.521 -0.480  -0.597 -0.667  -0.672 -0.853  -0.765 -1.032  -0.861 -1.208  -0.925 -1.324  -0.871 -1.132  -0.804 -0.943  -0.733 -0.755  -0.657 -0.569  -0.578 -0.384  -0.499 -0.199  -0.413 -0.017  -0.319 0.161  -0.226 0.339  -0.115 0.506  -0.000 0.672  0.120 0.832  0.262 0.974  0.405 1.116  0.573 1.225  0.745 1.328  0.944 1.356  1.142 1.336  1.231 1.159  1.193 0.974  1.088 0.803  0.982 0.632  0.835 0.498  0.672 0.381  0.494 0.288  0.314 0.197  0.128 0.122  -0.054 0.039  -0.221 -0.073  -0.244 -0.268  -0.222 -0.468  -0.122 -0.641  -0.019 -0.814  0.082 -0.988  0.176 -1.166  0.286 -1.332  0.424 -1.478
2#apb#apb35#app3562/d  1.099 1.647  1.046 1.498  0.991 1.350  0.931 1.205  0.869 1.059  0.802 0.916  0.734 0.774  0.665 0.632  0.594 0.491  0.532 0.347  0.486 0.196  0.440 0.045  0.385 -0.103  0.323 -0.248  0.273 -0.398  0.225 -0.548  0.168 -0.695  0.142 -0.825  0.220 -0.689  0.292 -0.549  0.354 -0.404  0.407 -0.256  0.453 -0.105  0.490 0.049  0.526 0.202  0.514 0.359  0.440 0.494  0.323 0.599  0.187 0.633  0.036 0.587  -0.114 0.538  -0.264 0.488  -0.400 0.412  -0.530 0.321  -0.659 0.231  -0.771 0.121  -0.880 0.006  -0.986 -0.110  -1.065 -0.247  -1.144 -0.383  -1.194 -0.530  -1.216 -0.686  -1.171 -0.835  -1.094 -0.965  -0.955 -1.039  -0.812 -1.101  -0.656 -1.127  -0.501 -1.146  -0.345 -1.120  -0.189 -1.094
2#apb#apb35#app3562/.  1.885 -0.783  1.779 -0.730  1.672 -0.676  1.566 -0.623  1.459 -0.570  1.353 -0.517  1.246 -0.463  1.140 -0.410  1.033 -0.357  0.927 -0.304  0.821 -0.251  0.714 -0.197  0.608 -0.144  0.501 -0.091  0.395 -0.038  0.288 0.016  0.182 0.069  0.075 0.122  -0.031 0.175  -0.138 0.228  -0.244 0.282  -0.351 0.335  -0.457 0.388  -0.563 0.441  -0.670 0.495  -0.776 0.548  -0.883 0.601  -0.989 0.654  -1.096 0.708  -1.202 0.761  -1.309 0.814  -1.228 0.732  -1.143 0.648  -1.059 0.564  -0.975 0.480  -0.891 0.395  -0.807 0.311  -0.723 0.227  -0.639 0.143  -0.554 0.059  -0.470 -0.025  -0.386 -0.110  -0.302 -0.194  -0.218 -0.278  -0.134 -0.362  -0.049 -0.446  0.035 -0.530  0.119 -0.615  0.203 -0.699  0.287 -0.783
2#apb#apb35#app3562/6  0.219 1.368  0.219 1.492  0.143 1.498  0.081 1.391  0.037 1.276  -0.018 1.169  -0.104 1.080  -0.162 0.970  -0.220 0.861  -0.281 0.754  -0.364 0.662  -0.444 0.568  -0.495 0.455  -0.545 0.342  -0.596 0.229  -0.657 0.122  -0.717 0.014  -0.769 -0.098  -0.797 -0.218  -0.826 -0.339  -0.847 -0.460  -0.865 -0.583  -0.863 -0.705  -0.839 -0.826  -0.782 -0.936  -0.704 -1.024  -0.591 -1.075  -0.469 -1.083  -0.346 -1.082  -0.239 -1.019  -0.132 -0.957  -0.026 -0.894  0.083 -0.834  0.191 -0.775  0.300 -0.715  0.402 -0.646  0.499 -0.569  0.595 -0.491  0.692 -0.414  0.770 -0.320  0.836 -0.215  0.902 -0.110  0.965 -0.004  1.017 0.108  1.070 0.220  1.096 0.339  1.068 0.426  0.950 0.404  0.839 0.349  0.728 0.294
2#apb#apb35#app3562/3  -0.731 1.098  -0.860 1.018  -0.776 1.057  -0.653 1.145  -0.511 1.202  -0.363 1.231  -0.212 1.252  -0.060 1.263  0.090 1.260  0.235 1.212  0.331 1.108  0.399 0.972  0.408 0.826  0.386 0.675  0.321 0.538  0.249 0.404  0.154 0.286  0.050 0.175  -0.059 0.069  -0.180 -0.024  -0.305 -0.110  -0.443 -0.174  -0.583 -0.233  -0.731 -0.268  -0.881 -0.285  -0.851 -0.204  -0.726 -0.117  -0.587 -0.058  -0.442 -0.014  -0.290 0.005  -0.139 0.022  0.013 0.022  0.166 0.022  0.315 -0.006  0.464 -0.038  0.576 -0.141  0.680 -0.249  0.735 -0.391  0.768 -0.538  0.768 -0.690  0.752 -0.841  0.730 -0.992  0.636 -1.111  0.540 -1.229  0.432 -1.333  0.302 -1.413  0.172 -1.492  0.038 -1.566  -0.097 -1.637  -0.231 -1.708
2#apb#apb35#app3562/W  -0.778 1.091  -0.800 1.000  -0.843 0.816  -0.894 0.634  -0.934 0.450  -0.963 0.264  -0.995 0.078  -1.037 -0.106  -1.080 -0.290  -1.130 -0.472  -1.172 -0.655  -1.160 -0.843  -1.103 -1.021  -0.932 -1.045  -0.750 -0.997  -0.609 -0.872  -0.468 -0.747  -0.347 -0.603  -0.229 -0.455  -0.123 -0.299  -0.022 -0.140  0.078 0.020  0.174 0.183  0.270 0.345  0.358 0.512  0.434 0.685  0.507 0.858  0.540 1.022  0.408 0.899  0.328 0.729  0.253 0.555  0.180 0.382  0.118 0.204  0.070 0.021  0.026 -0.162  0.008 -0.350  0.021 -0.533  0.121 -0.678  0.300 -0.720  0.477 -0.653  0.634 -0.552  0.780 -0.433  0.920 -0.307  1.050 -0.170  1.176 -0.030  1.265 0.136  1.354 0.303  1.435 0.473  1.506 0.648  1.577 0.822
2#apb#apb35#app3562/i  -1.405 -1.335  -1.305 -1.364  -1.195 -1.291  -1.098 -1.201  -1.004 -1.107  -0.905 -1.020  -0.797 -0.944  -0.688 -0.868  -0.597 -0.773  -0.514 -0.670  -0.432 -0.566  -0.343 -0.468  -0.254 -0.369  -0.165 -0.271  -0.082 -0.168  -0.003 -0.062  0.077 0.044  0.149 0.154  0.208 0.273  0.268 0.391  0.327 0.510  0.383 0.630  0.438 0.750  0.494 0.871  0.549 0.991  0.603 1.112  0.648 1.234  0.648 1.367  0.706 1.360  0.639 1.372  0.560 1.265  0.515 1.141  0.483 1.013  0.431 0.892  0.378 0.771  0.342 0.643  0.293 0.521  0.238 0.400  0.184 0.279  0.161 0.149  0.137 0.018  0.108 -0.111  0.076 -0.240  0.070 -0.371  0.070 -0.504  0.070 -0.636  0.070 -0.769  0.096 -0.895  0.155 -1.014  0.214 -1.132
2#apb#apb35#app3562/l  -0.948 -1.227  -0.814 -1.185  -0.677 -1.154  -0.571 -1.062  -0.466 -0.968  -0.361 -0.874  -0.277 -0.762  -0.204 -0.642  -0.130 -0.522  -0.036 -0.418  0.061 -0.315  0.154 -0.210  0.211 -0.081  0.267 0.048  0.324 0.177  0.393 0.299  0.472 0.415  0.551 0.532  0.628 0.649  0.673 0.783  0.717 0.916  0.763 1.050  0.812 1.182  0.862 1.313  0.835 1.426  0.694 1.426  0.590 1.363  0.521 1.240  0.449 1.119  0.360 1.010  0.271 0.901  0.185 0.789  0.103 0.675  0.020 0.561  -0.054 0.442  -0.122 0.319  -0.191 0.195  -0.259 0.072  -0.314 -0.057  -0.359 -0.190  -0.404 -0.324  -0.448 -0.457  -0.490 -0.592  -0.531 -0.727  -0.573 -0.861  -0.601 -0.998  -0.601 -1.139  -0.590 -1.275  -0.495 -1.379  -0.400 -1.483
2#apb#apb35#app3562/s  -1.166 -1.198  -1.059 -1.107  -0.966 -1.002  -0.877 -0.894  -0.810 -0.770  -0.747 -0.645  -0.678 -0.523  -0.602 -0.405  -0.525 -0.287  -0.448 -0.170  -0.373 -0.051  -0.299 0.068  -0.224 0.187  -0.150 0.306  -0.075 0.425  -0.000 0.544  0.075 0.663  0.150 0.782  0.232 0.896  0.317 1.007  0.402 1.119  0.492 1.227  0.583 1.334  0.673 1.442  0.732 1.453  0.711 1.314  0.689 1.175  0.667 1.036  0.646 0.897  0.617 0.760  0.588 0.622  0.560 0.485  0.532 0.347  0.504 0.209  0.477 0.072  0.451 -0.067  0.426 -0.205  0.401 -0.343  0.360 -0.477  0.318 -0.611  0.251 -0.733  0.168 -0.846  0.068 -0.945  -0.049 -1.023  -0.171 -1.085  -0.311 -1.085  -0.447 -1.057  -0.582 -1.015  -0.705 -0.948  -0.826 -0.878
2#apb#apb35#app3562/h  0.126 1.726  0.005 1.665  -0.044 1.507  -0.097 1.349  -0.152 1.193  -0.205 1.036  -0.241 0.873  -0.277 0.711  -0.313 0.549  -0.356 0.389  -0.402 0.230  -0.449 0.070  -0.494 -0.089  -0.537 -0.250  -0.581 -0.410  -0.634 -0.567  -0.689 -0.724  -0.755 -0.876  -0.826 -1.025  -0.897 -1.162  -0.937 -1.110  -0.874 -0.956  -0.814 -0.801  -0.745 -0.650  -0.671 -0.502  -0.571 -0.370  -0.463 -0.244  -0.357 -0.117  -0.251 0.011  -0.145 0.139  -0.015 0.240  0.123 0.332  0.261 0.424  0.403 0.511  0.544 0.597  0.698 0.642  0.864 0.641  1.012 0.567  1.043 0.411  1.023 0.247  0.992 0.084  0.938 -0.072  0.876 -0.226  0.813 -0.380  0.750 -0.533  0.699 -0.691  0.658 -0.852  0.638 -1.015  0.646 -1.181  0.679 -1.343
2#apb#apb35#app3562/i  -0.872 -1.149  -0.759 -1.024  -0.653 -0.893  -0.555 -0.756  -0.455 -0.620  -0.352 -0.486  -0.250 -0.352  -0.167 -0.205  -0.086 -0.057  -0.002 0.089  0.090 0.230  0.181 0.372  0.251 0.525  0.268 0.581  0.169 0.445  0.079 0.302  0.004 0.152  -0.059 -0.005  -0.112 -0.165  -0.168 -0.324  -0.224 -0.483  -0.270 -0.645  -0.315 -0.808  -0.322 -0.975  -0.293 -1.138  -0.204 -1.276  -0.058 -1.345  0.111 -1.345  0.190 -1.254  0.194 -1.086  0.197 -0.917  0.201 -0.748  0.205 -0.580  0.208 -0.411  0.212 -0.243  0.216 -0.074  0.219 0.095  0.223 0.263  0.227 0.432  0.230 0.600  0.234 0.769  0.237 0.938  0.241 1.106  0.245 1.275  0.248 1.444  0.252 1.612  0.256 1.781  0.259 1.949  0.263 2.118  0.267 2.287
2#apb#apb35#app3562/r  -1.271 -1.177  -1.206 -1.057  -1.140 -0.938  -1.065 -0.825  -0.986 -0.714  -0.907 -0.604  -0.832 -0.491  -0.760 -0.376  -0.687 -0.261  -0.614 -0.146  -0.540 -0.032  -0.465 0.081  -0.389 0.194  -0.314 0.307  -0.239 0.421  -0.168 0.536  -0.107 0.658  -0.046 0.780  0.014 0.901  0.075 1.023  0.150 1.134  0.242 1.235  0.333 1.336  0.397 1.420  0.344 1.295  0.279 1.176  0.209 1.059  0.166 0.932  0.142 0.799  0.149 0.666  0.178 0.533  0.242 0.414  0.323 0.305  0.419 0.209  0.524 0.123  0.638 0.050  0.756 -0.010  0.796 -0.134  0.771 -0.268  0.738 -0.398  0.642 -0.494  0.559 -0.600  0.486 -0.715  0.414 -0.830  0.344 -0.946  0.276 -1.064  0.233 -1.193  0.230 -1.328  0.289 -1.442  0.378 -1.546
2#apb#apb35#app3562/e  -0.893 -0.973  -0.754 -0.899  -0.614 -0.824  -0.486 -0.734  -0.370 -0.626  -0.253 -0.519  -0.127 -0.423  0.000 -0.329  0.128 -0.236  0.247 -0.133  0.356 -0.017  0.464 0.098  0.573 0.213  0.645 0.354  0.715 0.496  0.786 0.637  0.845 0.784  0.898 0.933  0.917 1.086  0.883 1.235  0.764 1.339  0.625 1.354  0.474 1.308  0.329 1.244  0.184 1.181  0.050 1.100  -0.072 0.999  -0.195 0.898  -0.312 0.792  -0.412 0.670  -0.513 0.548  -0.614 0.426  -0.684 0.284  -0.755 0.142  -0.800 -0.005  -0.800 -0.164  -0.800 -0.322  -0.755 -0.472  -0.702 -0.622  -0.633 -0.758  -0.500 -0.844  -0.367 -0.929  -0.219 -0.984  -0.067 -1.028  0.085 -1.072  0.237 -1.111  0.392 -1.076  0.546 -1.042  0.701 -1.008  0.855 -0.973
2#apb#apb35#app3562/B  -0.594 0.194  -0.651 0.003  -0.712 -0.186  -0.782 -0.372  -0.872 -0.549  -0.966 -0.725  -1.061 -0.900  -1.135 -0.974  -1.054 -0.792  -0.974 -0.610  -0.893 -0.428  -0.813 -0.245  -0.732 -0.063  -0.652 0.119  -0.571 0.301  -0.491 0.483  -0.410 0.664  -0.275 0.810  -0.139 0.956  0.006 1.092  0.154 1.225  0.335 1.308  0.524 1.360  0.699 1.305  0.760 1.128  0.758 0.929  0.719 0.736  0.647 0.552  0.538 0.385  0.393 0.250  0.242 0.120  0.064 0.051  0.090 0.130  0.248 0.250  0.427 0.334  0.619 0.384  0.805 0.335  0.929 0.180  0.999 -0.001  0.981 -0.196  0.918 -0.385  0.836 -0.566  0.725 -0.730  0.583 -0.866  0.422 -0.983  0.247 -1.078  0.066 -1.159  -0.123 -1.222  -0.317 -1.263  -0.514 -1.291
2#apb#apb35#app3562/l  -1.009 -1.584  -0.894 -1.515  -0.781 -1.444  -0.700 -1.337  -0.620 -1.230  -0.533 -1.128  -0.445 -1.027  -0.356 -0.926  -0.270 -0.824  -0.188 -0.717  -0.107 -0.611  -0.025 -0.505  0.057 -0.398  0.137 -0.291  0.218 -0.184  0.298 -0.077  0.378 0.031  0.446 0.147  0.513 0.262  0.581 0.378  0.642 0.497  0.683 0.625  0.723 0.752  0.759 0.881  0.794 1.011  0.812 1.143  0.812 1.277  0.752 1.395  0.624 1.380  0.516 1.301  0.414 1.214  0.316 1.122  0.223 1.027  0.137 0.924  0.051 0.821  -0.022 0.709  -0.091 0.594  -0.160 0.479  -0.217 0.358  -0.261 0.232  -0.304 0.105  -0.348 -0.022  -0.386 -0.150  -0.424 -0.279  -0.462 -0.407  -0.477 -0.540  -0.489 -0.674  -0.485 -0.805  -0.439 -0.931  -0.392 -1.057
2#apb#apb35#app3562/v  -0.296 1.013  -0.324 0.979  -0.348 0.868  -0.395 0.763  -0.434 0.656  -0.450 0.542  -0.466 0.429  -0.509 0.322  -0.553 0.216  -0.596 0.109  -0.639 0.003  -0.682 -0.104  -0.725 -0.211  -0.770 -0.316  -0.816 -0.422  -0.841 -0.533  -0.859 -0.647  -0.867 -0.761  -0.867 -0.876  -0.867 -0.991  -0.807 -1.063  -0.698 -1.065  -0.588 -1.032  -0.489 -0.975  -0.393 -0.911  -0.298 -0.848  -0.202 -0.783  -0.108 -0.718  -0.014 -0.652  0.080 -0.586  0.171 -0.516  0.236 -0.421  0.302 -0.327  0.367 -0.233  0.433 -0.138  0.502 -0.047  0.575 0.042  0.648 0.131  0.721 0.220  0.794 0.309  0.855 0.406  0.915 0.504  0.974 0.603  1.033 0.702  1.092 0.800  1.141 0.904  1.190 1.008  1.239 1.112  1.290 1.215  1.342 1.318
2#apb#apb35#app3562/d  0.079 -0.530  0.198 -0.360  0.206 -0.155  0.236 0.050  0.200 0.252  0.104 0.391  -0.103 0.381  -0.287 0.302  -0.459 0.187  -0.646 0.099  -0.763 -0.073  -0.881 -0.244  -0.998 -0.416  -1.115 -0.588  -1.194 -0.780  -1.253 -0.977  -1.245 -1.174  -1.084 -1.295  -0.901 -1.221  -0.714 -1.131  -0.546 -1.017  -0.418 -0.854  -0.283 -0.696  -0.146 -0.540  -0.037 -0.363  0.070 -0.185  0.171 -0.004  0.264 0.182  0.357 0.368  0.455 0.550  0.561 0.730  0.666 0.909  0.767 1.090  0.866 1.273  0.961 1.457  1.019 1.602  0.902 1.431  0.795 1.253  0.687 1.076  0.579 0.898  0.503 0.705  0.431 0.511  0.364 0.314  0.305 0.115  0.246 -0.084  0.211 -0.289  0.178 -0.494  0.170 -0.701  0.193 -0.900  0.332 -1.054
2#apb#apb35#app3562/,  0.421 1.645  0.407 1.578  0.392 1.510  0.378 1.442  0.363 1.374  0.348 1.306  0.334 1.238  0.319 1.170  0.305 1.102  0.290 1.035  0.270 0.968  0.250 0.902  0.230 0.835  0.210 0.769  0.190 0.702  0.170 0.636  0.151 0.569  0.131 0.503  0.111 0.436  0.091 0.370  0.071 0.303  0.051 0.237  0.031 0.170  0.017 0.102  0.003 0.034  -0.011 -0.034  -0.024 -0.102  -0.038 -0.170  -0.051 -0.238  -0.065 -0.306  -0.079 -0.374  -0.092 -0.443  -0.106 -0.511  -0.120 -0.579  -0.133 -0.647  -0.148 -0.714  -0.173 -0.779  -0.197 -0.844  -0.222 -0.909  -0.247 -0.974  -0.272 -1.039  -0.296 -1.104  -0.321 -1.169  -0.346 -1.234  -0.370 -1.298  -0.395 -1.363  -0.420 -1.428  -0.445 -1.493  -0.469 -1.558  -0.494 -1.623
2#apb#apb35#app3562/#  -0.096 0.851  -0.183 0.483  -0.278 0.114  -0.397 -0.249  -0.483 -0.622  -0.541 -0.998  -0.388 -0.857  -0.181 -0.535  0.026 -0.213  0.232 0.109  0.439 0.432  0.645 0.754  0.852 1.076  0.992 1.262  0.867 0.900  0.764 0.532  0.671 0.160  0.582 -0.212  0.515 -0.588  0.498 -0.969  0.272 -0.975  -0.064 -0.793  -0.401 -0.612  -0.738 -0.431  -1.075 -0.249  -1.412 -0.068  -1.596 0.115  -1.229 0.198  -0.857 0.286  -0.484 0.372  -0.110 0.451  0.267 0.516  0.645 0.578  1.025 0.627  1.402 0.687  1.781 0.708  1.563 0.585  1.209 0.440  0.855 0.295  0.500 0.151  0.146 0.006  -0.208 -0.139  -0.562 -0.284  -0.916 -0.429  -1.271 -0.574  -1.407 -0.714  -1.030 -0.653  -0.651 -0.603  -0.280 -0.510  0.090 -0.410
2#apb#apb35#app3562/1  0.550 1.585  0.492 1.550  0.461 1.488  0.430 1.426  0.398 1.364  0.367 1.302  0.349 1.235  0.336 1.167  0.322 1.099  0.308 1.031  0.295 0.963  0.281 0.895  0.264 0.827  0.245 0.761  0.226 0.694  0.208 0.627  0.189 0.560  0.170 0.493  0.151 0.426  0.133 0.359  0.114 0.292  0.095 0.226  0.076 0.159  0.055 0.092  0.035 0.026  0.015 -0.040  -0.005 -0.107  -0.025 -0.173  -0.046 -0.240  -0.066 -0.306  -0.086 -0.373  -0.107 -0.439  -0.132 -0.504  -0.156 -0.569  -0.181 -0.634  -0.206 -0.698  -0.231 -0.763  -0.255 -0.828  -0.280 -0.893  -0.305 -0.958  -0.330 -1.023  -0.356 -1.087  -0.383 -1.151  -0.409 -1.216  -0.435 -1.280  -0.461 -1.344  -0.488 -1.408  -0.514 -1.473  -0.540 -1.537  -0.567 -1.601
