3#apb#apb12#app1244/B  -0.528 0.527  -0.511 0.336  -0.462 0.149  -0.417 -0.040  -0.367 -0.227  -0.311 -0.413  -0.261 -0.574  -0.367 -0.411  -0.472 -0.249  -0.578 -0.086  -0.683 0.076  -0.789 0.239  -0.894 0.401  -1.000 0.564  -1.074 0.739  -1.058 0.930  -0.948 1.030  -0.754 1.035  -0.561 1.041  -0.367 1.047  -0.173 1.053  0.020 1.058  0.214 1.064  0.408 1.070  0.584 1.057  0.584 0.864  0.519 0.687  0.421 0.520  0.301 0.368  0.170 0.226  0.029 0.093  -0.082 0.012  0.111 0.001  0.300 -0.041  0.489 -0.084  0.676 -0.134  0.851 -0.213  1.011 -0.322  1.117 -0.471  1.114 -0.661  1.055 -0.843  0.949 -1.002  0.801 -1.126  0.647 -1.245  0.479 -1.338  0.296 -1.390  0.103 -1.388  -0.088 -1.354  -0.266 -1.281  -0.238 -1.293
3#apb#apb12#app1244/b  -1.276 1.446  -1.222 1.339  -1.176 1.230  -1.134 1.118  -1.092 1.006  -1.049 0.894  -1.006 0.782  -0.962 0.671  -0.918 0.560  -0.873 0.449  -0.831 0.337  -0.789 0.225  -0.750 0.112  -0.716 -0.002  -0.681 -0.117  -0.645 -0.226  -0.552 -0.152  -0.459 -0.077  -0.365 -0.002  -0.272 0.073  -0.173 0.139  -0.071 0.202  0.038 0.250  0.154 0.274  0.273 0.285  0.392 0.272  0.506 0.240  0.614 0.190  0.708 0.117  0.803 0.044  0.899 -0.028  0.990 -0.104  1.076 -0.187  1.154 -0.278  1.218 -0.379  1.236 -0.484  1.177 -0.586  1.105 -0.682  1.001 -0.740  0.895 -0.797  0.782 -0.829  0.664 -0.848  0.545 -0.852  0.426 -0.843  0.310 -0.822  0.201 -0.772  0.093 -0.722  -0.010 -0.661  -0.101 -0.591  -0.134 -0.476
3#apb#apb12#app1244/l  -0.185 1.686  -0.185 1.617  -0.185 1.547  -0.185 1.478  -0.185 1.409  -0.181 1.340  -0.171 1.271  -0.160 1.203  -0.149 1.134  -0.139 1.065  -0.128 0.997  -0.118 0.928  -0.107 0.860  -0.097 0.791  -0.087 0.723  -0.079 0.654  -0.070 0.585  -0.062 0.516  -0.053 0.448  -0.044 0.379  -0.036 0.310  -0.027 0.241  -0.019 0.172  -0.010 0.104  -0.001 0.035  0.006 -0.034  0.013 -0.103  0.021 -0.172  0.028 -0.241  0.035 -0.310  0.042 -0.379  0.050 -0.448  0.057 -0.517  0.064 -0.586  0.071 -0.655  0.079 -0.724  0.086 -0.793  0.094 -0.861  0.105 -0.930  0.117 -0.998  0.128 -1.067  0.139 -1.135  0.151 -1.203  0.162 -1.272  0.174 -1.340  0.185 -1.408  0.196 -1.477  0.208 -1.545  0.219 -1.614  0.231 -1.682
3#apb#apb12#app1244/e  -0.915 -0.004  -0.796 -0.087  -0.645 -0.112  -0.502 -0.167  -0.351 -0.188  -0.232 -0.106  -0.120 -0.002  -0.007 0.102  0.105 0.206  0.217 0.311  0.329 0.415  0.441 0.519  0.553 0.623  0.665 0.727  0.777 0.832  0.788 0.946  0.699 1.071  0.566 1.147  0.426 1.207  0.281 1.256  0.139 1.208  -0.003 1.151  -0.135 1.074  -0.268 0.997  -0.374 0.892  -0.462 0.767  -0.541 0.636  -0.610 0.499  -0.671 0.360  -0.725 0.216  -0.753 0.066  -0.781 -0.085  -0.724 -0.227  -0.670 -0.370  -0.640 -0.520  -0.588 -0.659  -0.487 -0.774  -0.376 -0.879  -0.254 -0.970  -0.128 -1.058  -0.001 -1.142  0.147 -1.160  0.300 -1.160  0.452 -1.148  0.603 -1.125  0.755 -1.104  0.908 -1.093  1.060 -1.082  1.204 -1.034  1.343 -0.972
3#apb#apb12#app1244/s  -0.788 1.493  -0.855 1.427  -0.922 1.360  -0.984 1.290  -1.026 1.206  -1.009 1.122  -0.962 1.042  -0.895 0.975  -0.829 0.908  -0.755 0.853  -0.669 0.813  -0.584 0.774  -0.498 0.734  -0.413 0.695  -0.342 0.635  -0.280 0.565  -0.218 0.494  -0.156 0.423  -0.094 0.352  -0.032 0.282  0.030 0.211  0.092 0.140  0.154 0.069  0.216 -0.001  0.278 -0.072  0.341 -0.143  0.403 -0.214  0.465 -0.284  0.527 -0.355  0.589 -0.426  0.651 -0.497  0.713 -0.568  0.775 -0.638  0.837 -0.709  0.899 -0.780  0.961 -0.851  0.876 -0.885  0.788 -0.919  0.700 -0.952  0.612 -0.986  0.522 -1.002  0.430 -0.985  0.337 -0.968  0.245 -0.951  0.157 -0.918  0.073 -0.876  -0.011 -0.834  -0.070 -0.765  -0.116 -0.683  -0.163 -0.601
3#apb#apb12#app1244/S  -0.191 0.498  -0.146 0.617  -0.088 0.730  -0.065 0.855  -0.065 0.984  -0.134 1.073  -0.245 1.139  -0.355 1.205  -0.465 1.272  -0.575 1.313  -0.669 1.228  -0.735 1.117  -0.789 1.000  -0.815 0.875  -0.835 0.748  -0.839 0.622  -0.795 0.501  -0.722 0.395  -0.638 0.301  -0.525 0.240  -0.409 0.186  -0.282 0.163  -0.155 0.140  -0.031 0.109  0.093 0.074  0.217 0.039  0.342 0.005  0.466 -0.029  0.586 -0.073  0.700 -0.133  0.813 -0.194  0.922 -0.263  0.991 -0.365  1.025 -0.489  1.040 -0.615  0.987 -0.732  0.923 -0.844  0.843 -0.942  0.729 -1.003  0.612 -1.055  0.491 -1.100  0.365 -1.119  0.237 -1.125  0.109 -1.115  -0.017 -1.090  -0.144 -1.066  -0.271 -1.045  -0.398 -1.024  -0.525 -1.005  -0.569 -1.002
3#apb#apb12#app1244/a  -0.110 0.944  -0.017 1.038  0.022 1.158  -0.061 1.242  -0.145 1.324  -0.231 1.224  -0.318 1.124  -0.404 1.023  -0.490 0.923  -0.577 0.822  -0.663 0.722  -0.750 0.621  -0.836 0.521  -0.923 0.420  -1.009 0.320  -1.095 0.220  -1.159 0.112  -1.141 -0.019  -1.105 -0.146  -1.042 -0.258  -0.948 -0.352  -0.854 -0.446  -0.751 -0.527  -0.636 -0.593  -0.508 -0.619  -0.376 -0.634  -0.247 -0.661  -0.117 -0.689  0.013 -0.666  0.143 -0.640  0.268 -0.599  0.393 -0.553  0.516 -0.505  0.637 -0.451  0.752 -0.387  0.853 -0.301  0.898 -0.201  0.851 -0.077  0.805 0.047  0.758 0.172  0.761 0.090  0.775 -0.041  0.821 -0.165  0.871 -0.288  0.920 -0.411  0.969 -0.534  1.022 -0.656  1.082 -0.774  1.164 -0.878  1.220 -0.996
3#apb#apb12#app1244/n  -1.210 -0.346  -1.182 -0.442  -1.155 -0.537  -1.112 -0.627  -1.090 -0.719  -1.081 -0.744  -1.057 -0.669  -1.011 -0.581  -0.965 -0.492  -0.919 -0.404  -0.873 -0.316  -0.828 -0.227  -0.782 -0.139  -0.736 -0.051  -0.690 0.037  -0.645 0.126  -0.599 0.214  -0.553 0.302  -0.507 0.391  -0.461 0.479  -0.416 0.567  -0.370 0.656  -0.324 0.744  -0.254 0.798  -0.155 0.810  -0.057 0.819  0.042 0.808  0.141 0.797  0.224 0.753  0.294 0.683  0.365 0.612  0.435 0.542  0.505 0.471  0.569 0.396  0.619 0.310  0.668 0.224  0.713 0.135  0.757 0.046  0.802 -0.043  0.851 -0.129  0.903 -0.215  0.954 -0.300  1.009 -0.383  1.069 -0.462  1.149 -0.521  1.223 -0.587  1.299 -0.650  1.384 -0.701  1.480 -0.716  1.579 -0.716
3#apb#apb12#app1244/t  -0.465 -0.000  -0.420 -0.194  -0.361 -0.383  -0.293 -0.570  -0.213 -0.750  -0.113 -0.920  -0.094 -0.801  -0.087 -0.603  -0.080 -0.404  -0.073 -0.206  0.028 -0.087  0.222 -0.048  0.399 0.041  0.578 0.126  0.764 0.195  0.929 0.302  1.086 0.424  1.221 0.524  1.038 0.601  0.855 0.678  0.671 0.754  0.488 0.831  0.305 0.907  0.122 0.984  -0.061 1.060  -0.245 1.137  -0.428 1.213  -0.611 1.290  -0.794 1.367  -0.812 1.326  -0.757 1.135  -0.702 0.944  -0.665 0.750  -0.630 0.554  -0.596 0.358  -0.562 0.163  -0.528 -0.033  -0.493 -0.228  -0.459 -0.424  -0.425 -0.619  -0.390 -0.815  -0.321 -1.001  -0.250 -1.185  -0.118 -1.324  0.080 -1.313  0.274 -1.275  0.466 -1.221  0.654 -1.159  0.838 -1.083  1.026 -1.020
3#apb#apb12#app1244/a  -1.263 0.273  -1.183 0.083  -1.120 -0.131  -1.037 -0.336  -0.890 -0.504  -0.913 -0.305  -0.947 -0.084  -0.942 0.137  -0.918 0.359  -0.860 0.573  -0.780 0.781  -0.674 0.978  -0.561 1.169  -0.405 1.318  -0.200 1.321  -0.008 1.208  0.170 1.075  0.336 0.925  0.487 0.762  0.623 0.586  0.723 0.386  0.813 0.183  0.884 -0.029  0.958 -0.239  1.028 -0.451  1.072 -0.670  1.152 -0.878  1.343 -0.944  1.144 -0.875  0.933 -0.804  0.721 -0.732  0.510 -0.661  0.298 -0.590  0.087 -0.519  -0.125 -0.447  -0.336 -0.376  -0.548 -0.305  -0.759 -0.234  -0.971 -0.162  -0.904 -0.260  -0.686 -0.309  -0.466 -0.277  -0.245 -0.243  -0.024 -0.209  0.196 -0.176  0.417 -0.142  0.637 -0.108  0.858 -0.074  1.078 -0.040  1.299 -0.006
3#apb#apb12#app1244/C  0.322 0.233  0.360 0.331  0.398 0.430  0.421 0.533  0.443 0.636  0.461 0.740  0.477 0.844  0.472 0.949  0.451 1.051  0.403 1.146  0.301 1.150  0.195 1.150  0.090 1.150  -0.016 1.150  -0.122 1.150  -0.227 1.150  -0.303 1.102  -0.350 1.008  -0.394 0.912  -0.418 0.809  -0.442 0.706  -0.463 0.603  -0.481 0.499  -0.499 0.395  -0.516 0.291  -0.516 0.185  -0.516 0.080  -0.516 -0.026  -0.516 -0.131  -0.516 -0.237  -0.497 -0.339  -0.460 -0.438  -0.423 -0.537  -0.379 -0.633  -0.334 -0.728  -0.290 -0.824  -0.246 -0.920  -0.192 -1.009  -0.117 -1.083  -0.040 -1.156  0.041 -1.223  0.139 -1.263  0.240 -1.285  0.345 -1.285  0.450 -1.273  0.554 -1.257  0.657 -1.233  0.759 -1.208  0.857 -1.168  0.955 -1.127
3#apb#apb12#app1244/r  -0.929 0.381  -0.879 0.206  -0.829 0.030  -0.779 -0.146  -0.730 -0.321  -0.680 -0.497  -0.630 -0.673  -0.580 -0.848  -0.529 -1.024  -0.484 -1.195  -0.492 -1.046  -0.511 -0.865  -0.531 -0.683  -0.550 -0.502  -0.570 -0.320  -0.589 -0.138  -0.608 0.043  -0.628 0.225  -0.647 0.406  -0.627 0.578  -0.528 0.732  -0.430 0.886  -0.331 1.040  -0.232 1.193  -0.126 1.332  0.057 1.332  0.238 1.308  0.411 1.259  0.572 1.173  0.697 1.045  0.774 0.882  0.793 0.706  0.753 0.528  0.695 0.355  0.606 0.196  0.475 0.073  0.322 -0.026  0.146 -0.053  -0.033 -0.036  0.077 -0.052  0.229 -0.152  0.365 -0.274  0.487 -0.409  0.597 -0.554  0.709 -0.698  0.835 -0.830  0.954 -0.969  1.075 -1.105  1.227 -1.203  1.386 -1.292
3#apb#apb12#app1244/u  -1.240 0.846  -1.240 0.702  -1.240 0.557  -1.240 0.413  -1.240 0.269  -1.240 0.124  -1.240 -0.020  -1.218 -0.162  -1.190 -0.303  -1.161 -0.445  -1.113 -0.559  -0.969 -0.547  -0.825 -0.535  -0.681 -0.522  -0.538 -0.510  -0.394 -0.498  -0.250 -0.486  -0.106 -0.473  0.037 -0.461  0.101 -0.348  0.147 -0.211  0.193 -0.074  0.230 0.066  0.267 0.205  0.295 0.346  0.295 0.490  0.295 0.634  0.295 0.778  0.295 0.923  0.295 1.067  0.295 1.145  0.295 1.001  0.295 0.857  0.296 0.713  0.331 0.573  0.366 0.433  0.412 0.296  0.461 0.161  0.509 0.025  0.559 -0.111  0.611 -0.245  0.685 -0.369  0.761 -0.492  0.849 -0.605  0.939 -0.718  1.065 -0.789  1.201 -0.817  1.345 -0.810  1.485 -0.775  1.625 -0.740
3#apb#apb12#app1244/z  -1.269 1.094  -1.171 1.077  -1.073 1.061  -0.976 1.044  -0.878 1.028  -0.780 1.011  -0.683 0.995  -0.585 0.978  -0.487 0.962  -0.390 0.945  -0.292 0.928  -0.194 0.912  -0.096 0.895  0.001 0.879  0.056 0.819  0.074 0.721  0.091 0.624  0.067 0.528  0.042 0.432  0.018 0.335  -0.013 0.242  -0.063 0.156  -0.112 0.070  -0.161 -0.016  -0.211 -0.101  -0.261 -0.187  -0.310 -0.273  -0.357 -0.360  -0.402 -0.449  -0.422 -0.543  -0.361 -0.617  -0.291 -0.687  -0.193 -0.696  -0.094 -0.703  0.005 -0.710  0.102 -0.726  0.200 -0.745  0.297 -0.763  0.394 -0.782  0.491 -0.806  0.587 -0.830  0.683 -0.854  0.780 -0.868  0.879 -0.868  0.978 -0.868  1.078 -0.868  1.177 -0.863  1.275 -0.857  1.374 -0.851  1.473 -0.846
