2#apb#apb31#app3164/O  -0.280 0.682  -0.394 0.618  -0.462 0.501  -0.521 0.378  -0.575 0.252  -0.640 0.132  -0.694 0.007  -0.731 -0.125  -0.765 -0.257  -0.788 -0.392  -0.810 -0.527  -0.832 -0.662  -0.854 -0.797  -0.861 -0.933  -0.849 -1.069  -0.830 -1.204  -0.768 -1.313  -0.633 -1.297  -0.517 -1.225  -0.404 -1.149  -0.299 -1.060  -0.194 -0.972  -0.103 -0.871  -0.014 -0.767  0.074 -0.662  0.159 -0.555  0.240 -0.445  0.321 -0.334  0.401 -0.224  0.481 -0.113  0.561 -0.002  0.641 0.109  0.721 0.221  0.792 0.338  0.863 0.455  0.934 0.572  0.994 0.694  1.053 0.818  1.071 0.949  1.030 1.068  0.916 1.130  0.782 1.105  0.647 1.080  0.519 1.032  0.391 0.984  0.270 0.922  0.155 0.847  0.042 0.771  -0.066 0.687  -0.174 0.603
2#apb#apb31#app3164/n  -0.308 0.947  -0.311 0.818  -0.344 0.678  -0.367 0.536  -0.393 0.395  -0.428 0.255  -0.463 0.116  -0.501 -0.023  -0.551 -0.158  -0.602 -0.293  -0.652 -0.428  -0.701 -0.563  -0.749 -0.699  -0.805 -0.831  -0.875 -0.957  -0.922 -1.091  -0.931 -1.232  -0.927 -1.268  -0.851 -1.146  -0.755 -1.039  -0.658 -0.932  -0.607 -0.803  -0.581 -0.661  -0.530 -0.528  -0.462 -0.402  -0.394 -0.275  -0.349 -0.138  -0.308 -0.000  -0.237 0.125  -0.165 0.250  -0.092 0.373  0.028 0.453  0.154 0.521  0.283 0.586  0.413 0.648  0.544 0.708  0.674 0.769  0.812 0.807  0.954 0.833  1.097 0.842  1.235 0.827  1.346 0.735  1.364 0.605  1.350 0.462  1.279 0.338  1.203 0.216  1.123 0.096  1.047 -0.026  0.987 -0.157  0.928 -0.288
2#apb#apb31#app3164/d  -0.490 -0.321  -0.555 -0.477  -0.598 -0.642  -0.656 -0.802  -0.698 -0.966  -0.711 -1.135  -0.584 -1.065  -0.493 -0.922  -0.408 -0.774  -0.324 -0.626  -0.242 -0.477  -0.164 -0.326  -0.093 -0.172  -0.022 -0.017  0.047 0.138  0.116 0.294  0.184 0.450  0.231 0.614  0.276 0.778  0.320 0.942  0.354 1.108  0.378 1.277  0.402 1.445  0.424 1.614  0.443 1.783  0.318 1.686  0.245 1.533  0.172 1.379  0.109 1.221  0.055 1.060  0.001 0.899  -0.045 0.735  -0.078 0.568  -0.111 0.401  -0.145 0.234  -0.167 0.066  -0.188 -0.103  -0.208 -0.272  -0.218 -0.441  -0.218 -0.612  -0.218 -0.782  -0.150 -0.934  -0.067 -1.082  0.082 -1.164  0.241 -1.187  0.408 -1.155  0.566 -1.101  0.710 -1.011  0.834 -0.898  0.936 -0.762
2#apb#apb31#app3164/S  0.678 1.317  0.668 1.415  0.560 1.415  0.456 1.401  0.363 1.347  0.269 1.292  0.177 1.236  0.094 1.167  0.011 1.098  -0.072 1.029  -0.152 0.956  -0.228 0.879  -0.305 0.803  -0.381 0.727  -0.452 0.646  -0.512 0.556  -0.572 0.466  -0.632 0.376  -0.678 0.282  -0.648 0.194  -0.548 0.152  -0.449 0.108  -0.350 0.064  -0.249 0.029  -0.142 0.013  -0.035 -0.004  0.070 -0.027  0.171 -0.064  0.273 -0.100  0.373 -0.142  0.471 -0.186  0.548 -0.252  0.592 -0.351  0.623 -0.450  0.589 -0.553  0.535 -0.645  0.473 -0.734  0.411 -0.822  0.327 -0.890  0.242 -0.956  0.154 -1.020  0.063 -1.078  -0.028 -1.136  -0.119 -1.195  -0.209 -1.255  -0.298 -1.315  -0.391 -1.371  -0.484 -1.426  -0.578 -1.478  -0.678 -1.519
2#apb#apb31#app3164/t  0.638 1.724  0.675 1.538  0.678 1.347  0.664 1.157  0.640 0.967  0.566 0.792  0.488 0.618  0.418 0.440  0.353 0.260  0.277 0.086  0.168 -0.071  0.059 -0.228  -0.045 -0.387  -0.141 -0.553  -0.236 -0.718  -0.333 -0.883  -0.432 -1.047  -0.531 -1.210  -0.642 -1.365  -0.681 -1.481  -0.521 -1.379  -0.356 -1.281  -0.196 -1.178  -0.030 -1.083  0.141 -0.998  0.315 -0.920  0.491 -0.845  0.677 -0.802  0.845 -0.717  0.719 -0.596  0.571 -0.475  0.424 -0.353  0.277 -0.231  0.129 -0.110  -0.018 0.012  -0.166 0.133  -0.313 0.255  -0.460 0.376  -0.608 0.498  -0.755 0.619  -0.903 0.741  -1.050 0.863  -0.888 0.873  -0.700 0.840  -0.511 0.814  -0.320 0.814  -0.129 0.814  0.061 0.800  0.251 0.777  0.441 0.754
2#apb#apb31#app3164/.  0.592 1.597  0.565 1.533  0.538 1.468  0.511 1.404  0.485 1.339  0.458 1.274  0.431 1.210  0.404 1.145  0.377 1.081  0.350 1.016  0.323 0.951  0.296 0.887  0.269 0.822  0.242 0.758  0.215 0.693  0.188 0.628  0.162 0.564  0.135 0.499  0.108 0.435  0.081 0.370  0.055 0.305  0.029 0.240  0.003 0.175  -0.023 0.110  -0.049 0.045  -0.075 -0.020  -0.101 -0.085  -0.127 -0.150  -0.153 -0.215  -0.179 -0.280  -0.205 -0.345  -0.231 -0.410  -0.257 -0.475  -0.283 -0.540  -0.309 -0.605  -0.322 -0.672  -0.322 -0.742  -0.322 -0.812  -0.322 -0.882  -0.322 -0.952  -0.322 -1.022  -0.322 -1.092  -0.322 -1.162  -0.322 -1.232  -0.322 -1.302  -0.322 -1.372  -0.322 -1.442  -0.322 -1.512  -0.322 -1.582  -0.322 -1.652
2#apb#apb31#app3164/I  0.870 0.709  0.684 0.656  0.569 0.482  0.480 0.292  0.401 0.097  0.325 -0.099  0.244 -0.294  0.161 -0.487  0.075 -0.679  -0.028 -0.862  -0.138 -1.042  -0.254 -1.217  -0.287 -1.108  -0.299 -0.898  -0.311 -0.688  -0.323 -0.478  -0.335 -0.268  -0.347 -0.058  -0.359 0.152  -0.371 0.363  -0.384 0.573  -0.396 0.783  -0.273 0.919  -0.082 1.006  0.109 1.095  0.298 1.188  0.486 1.282  0.683 1.353  0.885 1.411  0.997 1.407  0.873 1.237  0.749 1.067  0.624 0.898  0.500 0.728  0.376 0.558  0.251 0.388  0.127 0.218  0.003 0.048  -0.121 -0.121  -0.246 -0.291  -0.370 -0.461  -0.494 -0.631  -0.619 -0.801  -0.743 -0.971  -0.867 -1.140  -0.992 -1.310  -0.831 -1.346  -0.630 -1.295  -0.434 -1.220  -0.237 -1.144
2#apb#apb31#app3164/n  -0.622 0.531  -0.664 0.393  -0.705 0.255  -0.743 0.117  -0.779 -0.022  -0.816 -0.162  -0.868 -0.295  -0.921 -0.429  -0.972 -0.563  -1.022 -0.698  -1.072 -0.833  -1.130 -0.965  -1.059 -0.921  -0.985 -0.798  -0.910 -0.675  -0.835 -0.552  -0.760 -0.430  -0.681 -0.310  -0.602 -0.189  -0.528 -0.067  -0.469 0.064  -0.409 0.195  -0.332 0.315  -0.239 0.425  -0.152 0.539  -0.048 0.551  0.005 0.417  0.032 0.276  0.056 0.134  0.074 -0.008  0.100 -0.149  0.140 -0.287  0.221 -0.403  0.319 -0.508  0.453 -0.517  0.571 -0.440  0.683 -0.350  0.793 -0.258  0.881 -0.144  0.967 -0.028  1.043 0.094  1.118 0.216  1.175 0.348  1.231 0.480  1.285 0.614  1.336 0.748  1.388 0.882  1.452 1.011  1.501 1.143  1.501 1.255
2#apb#apb31#app3164/f  0.117 -0.092  0.196 0.019  0.275 0.130  0.360 0.237  0.446 0.343  0.531 0.449  0.612 0.559  0.693 0.669  0.764 0.784  0.834 0.902  0.881 1.028  0.912 1.161  0.894 1.292  0.778 1.340  0.649 1.324  0.522 1.274  0.405 1.205  0.293 1.128  0.187 1.043  0.093 0.944  -0.001 0.846  -0.080 0.736  -0.149 0.618  -0.218 0.500  -0.280 0.379  -0.340 0.257  -0.399 0.134  -0.439 0.005  -0.459 -0.130  -0.479 -0.265  -0.490 -0.400  -0.495 -0.537  -0.499 -0.673  -0.494 -0.809  -0.489 -0.945  -0.476 -1.081  -0.455 -1.216  -0.436 -1.350  -0.490 -1.355  -0.596 -1.268  -0.701 -1.182  -0.714 -1.094  -0.606 -1.011  -0.483 -0.956  -0.353 -0.913  -0.230 -0.855  -0.101 -0.816  0.034 -0.797  0.170 -0.785  0.306 -0.778
2#apb#apb31#app3164/i  0.589 0.788  0.626 0.687  0.619 0.564  0.592 0.442  0.548 0.325  0.503 0.208  0.465 0.089  0.434 -0.032  0.404 -0.153  0.368 -0.273  0.327 -0.391  0.286 -0.509  0.245 -0.627  0.203 -0.745  0.161 -0.863  0.120 -0.980  0.076 -1.097  0.030 -1.213  -0.017 -1.329  -0.075 -1.440  -0.141 -1.546  -0.151 -1.443  -0.154 -1.318  -0.158 -1.193  -0.161 -1.068  -0.165 -0.943  -0.168 -0.818  -0.172 -0.693  -0.175 -0.568  -0.179 -0.443  -0.182 -0.318  -0.186 -0.193  -0.189 -0.068  -0.193 0.057  -0.196 0.182  -0.200 0.307  -0.203 0.432  -0.207 0.557  -0.211 0.681  -0.214 0.806  -0.218 0.931  -0.221 1.056  -0.225 1.181  -0.228 1.306  -0.232 1.431  -0.235 1.556  -0.303 1.626  -0.426 1.648  -0.463 1.676  -0.348 1.726
2#apb#apb31#app3164/n  -0.440 0.396  -0.498 0.275  -0.536 0.144  -0.575 0.013  -0.609 -0.119  -0.642 -0.251  -0.681 -0.381  -0.729 -0.509  -0.777 -0.637  -0.816 -0.767  -0.855 -0.898  -0.898 -1.027  -0.956 -1.150  -0.982 -1.100  -0.979 -0.964  -0.922 -0.840  -0.864 -0.717  -0.807 -0.593  -0.750 -0.469  -0.693 -0.345  -0.635 -0.222  -0.569 -0.103  -0.487 0.006  -0.405 0.115  -0.323 0.224  -0.242 0.333  -0.148 0.432  -0.054 0.531  0.040 0.630  0.134 0.728  0.239 0.815  0.345 0.900  0.454 0.981  0.587 1.012  0.719 1.034  0.848 0.991  0.945 0.901  1.028 0.793  1.098 0.678  1.139 0.548  1.179 0.418  1.178 0.283  1.168 0.147  1.177 0.011  1.149 -0.112  1.066 -0.220  0.980 -0.326  0.894 -0.431  0.801 -0.531  0.704 -0.627
2#apb#apb31#app3164/i  0.319 0.691  0.377 0.807  0.412 0.714  0.399 0.583  0.361 0.457  0.317 0.333  0.272 0.209  0.218 0.089  0.164 -0.031  0.110 -0.151  0.047 -0.267  -0.016 -0.383  -0.079 -0.499  -0.144 -0.614  -0.214 -0.725  -0.285 -0.836  -0.355 -0.948  -0.422 -1.061  -0.489 -1.175  -0.555 -1.289  -0.614 -1.407  -0.632 -1.528  -0.586 -1.417  -0.541 -1.294  -0.495 -1.170  -0.449 -1.047  -0.403 -0.923  -0.358 -0.799  -0.312 -0.676  -0.266 -0.552  -0.221 -0.428  -0.175 -0.305  -0.129 -0.181  -0.083 -0.058  -0.038 0.066  0.008 0.190  0.054 0.313  0.100 0.437  0.145 0.561  0.191 0.684  0.237 0.808  0.283 0.931  0.328 1.055  0.374 1.179  0.420 1.302  0.465 1.426  0.511 1.550  0.557 1.673  0.603 1.797  0.590 1.910
2#apb#apb31#app3164/t  0.448 1.373  0.627 1.453  0.789 1.536  0.835 1.394  0.707 1.259  0.604 1.093  0.500 0.927  0.412 0.752  0.321 0.578  0.229 0.405  0.156 0.223  0.085 0.040  0.005 -0.138  -0.088 -0.311  -0.181 -0.483  -0.267 -0.659  -0.346 -0.839  -0.425 -1.018  -0.504 -1.198  -0.584 -1.377  -0.679 -1.548  -0.596 -1.549  -0.443 -1.427  -0.294 -1.300  -0.145 -1.171  0.021 -1.069  0.194 -0.978  0.364 -0.880  0.529 -0.774  0.704 -0.686  0.721 -0.582  0.572 -0.455  0.423 -0.328  0.274 -0.200  0.125 -0.073  -0.024 0.055  -0.173 0.182  -0.322 0.310  -0.471 0.437  -0.620 0.565  -0.769 0.692  -0.913 0.781  -0.887 0.636  -0.709 0.554  -0.518 0.557  -0.324 0.581  -0.130 0.609  0.063 0.646  0.255 0.684  0.448 0.721
2#apb#apb31#app3164/e  -0.566 -0.330  -0.612 -0.458  -0.447 -0.422  -0.303 -0.331  -0.162 -0.237  -0.033 -0.126  0.096 -0.016  0.227 0.092  0.362 0.196  0.497 0.300  0.615 0.422  0.730 0.547  0.835 0.679  0.901 0.835  0.948 0.999  0.877 1.151  0.759 1.273  0.606 1.305  0.436 1.292  0.279 1.235  0.127 1.159  -0.025 1.083  -0.150 0.967  -0.274 0.851  -0.398 0.735  -0.482 0.589  -0.562 0.438  -0.641 0.288  -0.720 0.137  -0.799 -0.013  -0.878 -0.164  -0.937 -0.321  -0.967 -0.489  -0.996 -0.656  -0.972 -0.822  -0.933 -0.988  -0.795 -1.053  -0.629 -1.092  -0.465 -1.064  -0.302 -1.018  -0.138 -0.971  0.023 -0.918  0.181 -0.857  0.340 -0.796  0.499 -0.734  0.657 -0.672  0.814 -0.606  0.970 -0.540  1.127 -0.473  1.283 -0.407
2#apb#apb31#app3164/L  0.552 1.776  0.542 1.692  0.519 1.611  0.495 1.530  0.461 1.453  0.421 1.379  0.381 1.305  0.341 1.231  0.305 1.155  0.268 1.079  0.231 1.003  0.195 0.927  0.165 0.849  0.136 0.770  0.106 0.691  0.077 0.612  0.047 0.533  0.017 0.455  -0.015 0.377  -0.047 0.299  -0.079 0.221  -0.111 0.143  -0.143 0.065  -0.174 -0.013  -0.200 -0.094  -0.226 -0.174  -0.252 -0.254  -0.278 -0.334  -0.304 -0.414  -0.324 -0.496  -0.338 -0.579  -0.351 -0.662  -0.365 -0.745  -0.379 -0.828  -0.392 -0.911  -0.405 -0.995  -0.417 -1.078  -0.417 -1.162  -0.381 -1.216  -0.326 -1.152  -0.266 -1.096  -0.198 -1.092  -0.130 -1.098  -0.054 -1.061  0.024 -1.028  0.101 -0.995  0.178 -0.961  0.256 -0.928  0.336 -0.904  0.418 -0.885
2#apb#apb31#app3164/o  -0.444 0.639  -0.508 0.550  -0.572 0.460  -0.636 0.370  -0.697 0.278  -0.751 0.182  -0.805 0.085  -0.859 -0.011  -0.896 -0.113  -0.917 -0.222  -0.937 -0.330  -0.956 -0.439  -0.956 -0.549  -0.956 -0.660  -0.956 -0.770  -0.897 -0.852  -0.811 -0.921  -0.725 -0.990  -0.615 -0.991  -0.504 -0.991  -0.401 -0.965  -0.307 -0.908  -0.213 -0.850  -0.119 -0.792  -0.025 -0.735  0.051 -0.655  0.127 -0.575  0.203 -0.495  0.279 -0.414  0.355 -0.334  0.426 -0.250  0.492 -0.161  0.557 -0.072  0.623 0.016  0.689 0.105  0.754 0.194  0.809 0.289  0.851 0.391  0.893 0.493  0.935 0.595  0.976 0.697  1.000 0.803  1.000 0.913  1.000 1.024  0.961 1.116  0.877 1.188  0.780 1.231  0.680 1.225  0.607 1.142  0.535 1.059
2#apb#apb31#app3164/o  0.425 1.275  0.314 1.210  0.203 1.144  0.105 1.060  0.007 0.976  -0.087 0.887  -0.173 0.791  -0.259 0.695  -0.346 0.600  -0.424 0.497  -0.497 0.391  -0.571 0.285  -0.644 0.179  -0.713 0.071  -0.754 -0.052  -0.795 -0.174  -0.836 -0.297  -0.874 -0.420  -0.894 -0.547  -0.914 -0.675  -0.933 -0.803  -0.920 -0.924  -0.855 -1.036  -0.765 -1.114  -0.640 -1.147  -0.518 -1.160  -0.404 -1.100  -0.290 -1.040  -0.177 -0.977  -0.070 -0.905  0.037 -0.832  0.144 -0.760  0.250 -0.687  0.339 -0.594  0.426 -0.498  0.513 -0.403  0.600 -0.307  0.672 -0.201  0.739 -0.091  0.805 0.020  0.871 0.131  0.917 0.250  0.947 0.376  0.977 0.501  0.979 0.627  0.956 0.754  0.920 0.876  0.839 0.977  0.744 1.058  0.626 1.111
2#apb#apb31#app3164/p  -0.238 0.065  -0.326 -0.072  -0.414 -0.209  -0.502 -0.346  -0.585 -0.486  -0.668 -0.626  -0.750 -0.767  -0.825 -0.912  -0.901 -1.056  -0.987 -1.195  -1.047 -1.340  -0.980 -1.273  -0.891 -1.137  -0.821 -0.990  -0.751 -0.843  -0.674 -0.699  -0.598 -0.555  -0.521 -0.411  -0.454 -0.263  -0.389 -0.114  -0.324 0.036  -0.259 0.185  -0.193 0.334  -0.126 0.483  -0.060 0.632  0.014 0.777  0.100 0.915  0.187 1.053  0.306 1.162  0.435 1.260  0.592 1.305  0.750 1.286  0.870 1.190  0.963 1.057  1.017 0.903  1.064 0.747  1.106 0.590  1.116 0.428  1.116 0.265  1.094 0.107  1.025 -0.040  0.899 -0.143  0.749 -0.200  0.590 -0.237  0.431 -0.269  0.272 -0.239  0.116 -0.194  -0.038 -0.140  -0.177 -0.057  -0.311 0.036
