3#apb#apb08#app0866/9  0.388 0.178  0.424 0.334  0.420 0.496  0.362 0.647  0.272 0.777  0.153 0.887  0.018 0.972  -0.132 1.034  -0.284 1.081  -0.446 1.072  -0.607 1.064  -0.746 0.981  -0.885 0.897  -1.007 0.795  -1.102 0.663  -1.196 0.532  -1.236 0.376  -1.271 0.218  -1.217 0.070  -1.148 -0.077  -1.038 -0.193  -0.916 -0.300  -0.783 -0.389  -0.634 -0.453  -0.485 -0.517  -0.325 -0.527  -0.163 -0.527  -0.008 -0.484  0.146 -0.433  0.277 -0.342  0.399 -0.236  0.504 -0.115  0.592 0.021  0.673 0.161  0.731 0.312  0.811 0.452  0.817 0.361  0.772 0.205  0.732 0.048  0.696 -0.110  0.660 -0.268  0.645 -0.429  0.631 -0.591  0.623 -0.752  0.623 -0.914  0.623 -1.076  0.623 -1.238  0.629 -1.400  0.656 -1.560  0.731 -1.702
3#apb#apb08#app0866/v  -0.947 1.004  -0.924 0.901  -0.901 0.799  -0.884 0.695  -0.868 0.591  -0.852 0.487  -0.834 0.383  -0.816 0.280  -0.798 0.176  -0.779 0.072  -0.762 -0.031  -0.746 -0.135  -0.730 -0.239  -0.713 -0.343  -0.695 -0.447  -0.672 -0.549  -0.648 -0.652  -0.619 -0.751  -0.545 -0.826  -0.470 -0.900  -0.396 -0.975  -0.321 -1.049  -0.222 -1.064  -0.130 -1.024  -0.046 -0.961  0.035 -0.894  0.109 -0.820  0.184 -0.746  0.258 -0.671  0.333 -0.597  0.382 -0.504  0.431 -0.411  0.481 -0.318  0.530 -0.225  0.574 -0.130  0.614 -0.033  0.654 0.065  0.694 0.162  0.734 0.260  0.774 0.357  0.805 0.457  0.835 0.558  0.865 0.659  0.895 0.760  0.926 0.860  0.964 0.959  1.001 1.057  1.039 1.155  1.080 1.252  1.121 1.349
3#apb#apb08#app0866/e  -0.683 -0.025  -0.540 -0.009  -0.398 0.016  -0.257 0.046  -0.125 0.097  -0.000 0.169  0.117 0.252  0.222 0.350  0.328 0.448  0.433 0.546  0.539 0.644  0.645 0.741  0.730 0.857  0.812 0.975  0.823 1.101  0.725 1.186  0.581 1.186  0.439 1.166  0.298 1.135  0.158 1.104  0.040 1.024  -0.075 0.936  -0.189 0.849  -0.295 0.752  -0.397 0.650  -0.499 0.548  -0.590 0.439  -0.649 0.308  -0.708 0.176  -0.767 0.045  -0.790 -0.097  -0.811 -0.239  -0.833 -0.382  -0.797 -0.520  -0.756 -0.659  -0.699 -0.786  -0.593 -0.883  -0.486 -0.981  -0.353 -1.029  -0.214 -1.066  -0.075 -1.101  0.066 -1.134  0.206 -1.167  0.349 -1.164  0.493 -1.154  0.634 -1.129  0.774 -1.094  0.914 -1.061  1.056 -1.041  1.199 -1.020
3#apb#apb08#app0866/.  -0.189 -1.682  -0.189 -1.612  -0.189 -1.543  -0.189 -1.473  -0.189 -1.404  -0.189 -1.334  -0.189 -1.264  -0.189 -1.195  -0.189 -1.125  -0.189 -1.056  -0.189 -0.986  -0.189 -0.916  -0.189 -0.847  -0.189 -0.777  -0.189 -0.708  -0.189 -0.638  -0.189 -0.568  -0.173 -0.501  -0.156 -0.433  -0.139 -0.366  -0.122 -0.298  -0.105 -0.231  -0.088 -0.163  -0.071 -0.096  -0.054 -0.028  -0.037 0.039  -0.021 0.107  -0.004 0.174  0.013 0.242  0.030 0.310  0.047 0.377  0.064 0.445  0.081 0.512  0.098 0.580  0.114 0.647  0.131 0.715  0.148 0.782  0.165 0.850  0.182 0.917  0.199 0.985  0.216 1.052  0.233 1.120  0.249 1.187  0.266 1.255  0.283 1.322  0.300 1.390  0.317 1.457  0.334 1.525  0.351 1.592  0.368 1.660
3#apb#apb08#app0866/5  0.839 0.935  0.695 0.935  0.551 0.933  0.407 0.916  0.264 0.899  0.121 0.882  -0.022 0.863  -0.165 0.845  -0.309 0.826  -0.453 0.817  -0.597 0.809  -0.740 0.822  -0.877 0.791  -0.995 0.710  -1.077 0.594  -1.119 0.460  -1.113 0.317  -1.068 0.180  -1.001 0.053  -0.904 -0.012  -0.762 0.000  -0.638 0.074  -0.506 0.131  -0.369 0.175  -0.227 0.202  -0.085 0.228  0.059 0.228  0.203 0.228  0.347 0.228  0.490 0.222  0.621 0.161  0.745 0.090  0.854 -0.005  0.929 -0.128  0.973 -0.261  0.979 -0.405  0.957 -0.547  0.904 -0.679  0.828 -0.801  0.742 -0.917  0.646 -1.023  0.523 -1.098  0.397 -1.168  0.265 -1.225  0.127 -1.258  -0.017 -1.258  -0.161 -1.258  -0.303 -1.242  -0.437 -1.194  -0.521 -1.077
3#apb#apb08#app0866/6  -0.529 1.769  -0.576 1.674  -0.595 1.530  -0.607 1.386  -0.613 1.241  -0.619 1.097  -0.637 0.953  -0.660 0.811  -0.683 0.668  -0.706 0.525  -0.718 0.381  -0.723 0.236  -0.728 0.092  -0.731 -0.053  -0.718 -0.197  -0.706 -0.341  -0.681 -0.482  -0.610 -0.608  -0.539 -0.734  -0.428 -0.824  -0.310 -0.908  -0.177 -0.957  -0.035 -0.987  0.106 -1.006  0.247 -0.974  0.388 -0.942  0.525 -0.898  0.649 -0.824  0.773 -0.749  0.890 -0.666  0.989 -0.560  1.088 -0.455  1.159 -0.333  1.200 -0.194  1.223 -0.056  1.180 0.083  1.096 0.185  0.964 0.245  0.825 0.267  0.680 0.267  0.535 0.267  0.395 0.240  0.259 0.191  0.123 0.142  -0.012 0.091  -0.143 0.028  -0.274 -0.034  -0.401 -0.102  -0.511 -0.195  -0.622 -0.289
3#apb#apb08#app0866/M  -1.192 -0.025  -1.282 -0.123  -1.319 -0.256  -1.342 -0.392  -1.343 -0.530  -1.313 -0.664  -1.204 -0.653  -1.139 -0.534  -1.093 -0.404  -1.047 -0.273  -1.002 -0.142  -0.961 -0.010  -0.920 0.123  -0.860 0.246  -0.784 0.362  -0.686 0.453  -0.561 0.503  -0.428 0.475  -0.311 0.400  -0.236 0.288  -0.172 0.165  -0.134 0.033  -0.106 -0.103  -0.075 -0.238  -0.044 -0.373  -0.022 -0.510  0.013 -0.549  0.087 -0.431  0.155 -0.311  0.217 -0.187  0.279 -0.063  0.339 0.062  0.399 0.187  0.464 0.309  0.536 0.427  0.609 0.545  0.710 0.639  0.823 0.716  0.953 0.730  1.066 0.661  1.145 0.547  1.187 0.415  1.224 0.282  1.249 0.146  1.276 0.010  1.309 -0.125  1.333 -0.261  1.349 -0.398  1.392 -0.529  1.462 -0.641
3#apb#apb08#app0866/a  0.622 0.116  0.738 0.232  0.785 0.383  0.763 0.534  0.674 0.672  0.581 0.806  0.480 0.935  0.364 1.041  0.204 1.077  0.045 1.112  -0.119 1.105  -0.282 1.096  -0.435 1.050  -0.580 0.973  -0.718 0.888  -0.830 0.768  -0.942 0.649  -1.031 0.516  -1.078 0.359  -1.126 0.203  -1.146 0.043  -1.133 -0.120  -1.119 -0.283  -1.075 -0.438  -1.002 -0.584  -0.928 -0.731  -0.815 -0.835  -0.665 -0.899  -0.512 -0.959  -0.359 -1.016  -0.206 -1.007  -0.052 -0.949  0.089 -0.870  0.217 -0.769  0.330 -0.653  0.409 -0.510  0.489 -0.367  0.522 -0.208  0.547 -0.047  0.579 0.114  0.627 0.270  0.641 0.221  0.668 0.059  0.688 -0.103  0.712 -0.265  0.752 -0.424  0.796 -0.581  0.855 -0.734  0.938 -0.873  1.041 -1.000
3#apb#apb08#app0866/i  -0.450 0.314  -0.472 0.218  -0.451 0.103  -0.423 -0.012  -0.394 -0.126  -0.376 -0.243  -0.362 -0.360  -0.348 -0.477  -0.338 -0.594  -0.332 -0.712  -0.325 -0.830  -0.292 -0.940  -0.230 -1.040  -0.169 -1.140  -0.104 -1.239  -0.026 -1.324  0.065 -1.396  0.130 -1.494  0.138 -1.383  0.143 -1.265  0.149 -1.147  0.155 -1.029  0.161 -0.911  0.167 -0.794  0.173 -0.676  0.179 -0.558  0.184 -0.440  0.190 -0.322  0.196 -0.205  0.202 -0.087  0.208 0.031  0.214 0.149  0.220 0.267  0.225 0.385  0.231 0.502  0.237 0.620  0.243 0.738  0.249 0.856  0.255 0.974  0.260 1.091  0.266 1.209  0.272 1.327  0.278 1.445  0.264 1.544  0.146 1.544  0.028 1.544  -0.083 1.505  -0.194 1.464  -0.288 1.457  -0.170 1.457
3#apb#apb08#app0866/n  -1.084 0.252  -1.097 0.149  -1.087 0.044  -1.084 -0.061  -1.084 -0.167  -1.084 -0.273  -1.084 -0.378  -1.084 -0.484  -1.084 -0.590  -1.073 -0.694  -1.037 -0.764  -0.974 -0.680  -0.907 -0.598  -0.842 -0.515  -0.797 -0.420  -0.751 -0.324  -0.706 -0.229  -0.655 -0.137  -0.595 -0.050  -0.536 0.038  -0.476 0.125  -0.406 0.202  -0.321 0.264  -0.235 0.326  -0.149 0.388  -0.062 0.447  0.027 0.503  0.117 0.560  0.206 0.616  0.303 0.654  0.406 0.679  0.508 0.705  0.612 0.696  0.715 0.676  0.816 0.650  0.885 0.570  0.953 0.489  1.018 0.407  1.063 0.311  1.107 0.215  1.128 0.113  1.135 0.008  1.141 -0.098  1.156 -0.202  1.172 -0.307  1.175 -0.412  1.167 -0.517  1.161 -0.622  1.161 -0.728  1.161 -0.834
3#apb#apb08#app0866/S  0.649 0.757  0.511 0.795  0.370 0.821  0.227 0.837  0.085 0.852  -0.058 0.865  -0.199 0.840  -0.340 0.814  -0.481 0.788  -0.623 0.763  -0.764 0.739  -0.906 0.717  -1.048 0.694  -1.183 0.651  -1.313 0.591  -1.283 0.483  -1.148 0.436  -1.012 0.389  -0.872 0.357  -0.732 0.325  -0.592 0.294  -0.452 0.262  -0.311 0.236  -0.169 0.211  -0.028 0.185  0.113 0.159  0.252 0.124  0.390 0.084  0.527 0.044  0.665 0.004  0.797 -0.052  0.924 -0.119  1.051 -0.186  1.140 -0.295  1.195 -0.420  1.181 -0.563  1.094 -0.677  1.006 -0.790  0.877 -0.848  0.743 -0.899  0.608 -0.949  0.469 -0.984  0.330 -1.019  0.189 -1.040  0.045 -1.040  -0.098 -1.040  -0.242 -1.047  -0.385 -1.055  -0.528 -1.052  -0.671 -1.040
3#apb#apb08#app0866/t  0.051 1.623  -0.002 1.465  -0.028 1.299  -0.046 1.131  -0.063 0.964  -0.074 0.796  -0.074 0.627  -0.074 0.459  -0.061 0.291  -0.034 0.125  -0.008 -0.042  0.026 -0.207  0.072 -0.369  0.119 -0.531  0.152 -0.696  0.178 -0.862  0.197 -1.029  0.197 -1.198  0.197 -1.366  0.197 -1.535  0.197 -1.703  0.135 -1.606  0.061 -1.455  -0.013 -1.303  -0.088 -1.152  -0.162 -1.001  -0.236 -0.849  -0.310 -0.698  -0.385 -0.547  -0.459 -0.395  -0.533 -0.244  -0.607 -0.093  -0.682 0.059  -0.756 0.210  -0.830 0.361  -0.904 0.512  -0.756 0.571  -0.594 0.611  -0.426 0.627  -0.258 0.644  -0.090 0.644  0.079 0.644  0.247 0.644  0.416 0.644  0.584 0.644  0.753 0.644  0.921 0.653  1.089 0.661  1.258 0.665  1.426 0.665
3#apb#apb08#app0866/.  1.103 -0.492  0.999 -0.533  0.896 -0.575  0.792 -0.616  0.689 -0.658  0.585 -0.699  0.481 -0.740  0.378 -0.782  0.274 -0.823  0.171 -0.865  0.067 -0.886  -0.036 -0.844  -0.140 -0.803  -0.244 -0.762  -0.347 -0.720  -0.451 -0.679  -0.554 -0.637  -0.658 -0.596  -0.762 -0.554  -0.865 -0.513  -0.973 -0.492  -1.084 -0.492  -1.120 -0.416  -1.120 -0.304  -1.039 -0.236  -0.946 -0.174  -0.853 -0.112  -0.761 -0.050  -0.668 0.012  -0.575 0.073  -0.482 0.135  -0.389 0.197  -0.297 0.259  -0.204 0.321  -0.111 0.383  -0.018 0.445  0.075 0.507  0.156 0.582  0.235 0.661  0.314 0.740  0.393 0.819  0.472 0.898  0.551 0.977  0.630 1.056  0.709 1.134  0.787 1.213  0.866 1.292  0.945 1.371  1.024 1.450  1.103 1.529
3#apb#apb08#app0866/,  0.004 0.889  0.035 0.962  0.066 1.035  0.097 1.107  0.128 1.180  0.160 1.252  0.236 1.272  0.313 1.291  0.384 1.287  0.419 1.223  0.419 1.144  0.419 1.064  0.419 0.985  0.419 0.906  0.419 0.827  0.419 0.748  0.419 0.669  0.404 0.593  0.375 0.519  0.347 0.445  0.318 0.371  0.289 0.298  0.261 0.224  0.232 0.150  0.203 0.076  0.175 0.003  0.146 -0.071  0.117 -0.145  0.089 -0.218  0.060 -0.292  0.021 -0.361  -0.021 -0.428  -0.062 -0.495  -0.104 -0.563  -0.145 -0.630  -0.187 -0.697  -0.228 -0.765  -0.270 -0.832  -0.311 -0.900  -0.353 -0.967  -0.399 -1.031  -0.447 -1.094  -0.494 -1.157  -0.541 -1.221  -0.589 -1.284  -0.636 -1.347  -0.684 -1.411  -0.731 -1.474  -0.779 -1.537  -0.826 -1.600
3#apb#apb08#app0866/S  0.579 0.864  0.503 0.977  0.394 1.045  0.262 1.075  0.127 1.056  -0.008 1.038  -0.142 1.015  -0.273 0.977  -0.404 0.938  -0.535 0.900  -0.649 0.825  -0.763 0.750  -0.874 0.671  -0.970 0.574  -1.023 0.466  -0.952 0.366  -0.825 0.315  -0.696 0.278  -0.559 0.278  -0.423 0.278  -0.286 0.278  -0.150 0.278  -0.013 0.278  0.123 0.278  0.260 0.278  0.396 0.271  0.530 0.251  0.665 0.231  0.793 0.185  0.900 0.107  0.984 -0.001  0.987 -0.136  0.973 -0.270  0.921 -0.396  0.869 -0.522  0.772 -0.616  0.669 -0.706  0.564 -0.792  0.454 -0.873  0.344 -0.954  0.223 -1.017  0.101 -1.078  -0.022 -1.137  -0.147 -1.191  -0.275 -1.234  -0.411 -1.251  -0.546 -1.263  -0.683 -1.254  -0.817 -1.237  -0.947 -1.194
3#apb#apb08#app0866/u  -0.862 1.229  -0.970 1.258  -1.026 1.160  -1.048 1.039  -1.049 0.917  -1.037 0.795  -1.024 0.673  -1.011 0.551  -0.989 0.430  -0.968 0.309  -0.946 0.189  -0.922 0.068  -0.887 -0.050  -0.853 -0.167  -0.818 -0.285  -0.775 -0.400  -0.732 -0.515  -0.689 -0.630  -0.607 -0.721  -0.525 -0.812  -0.417 -0.846  -0.294 -0.845  -0.177 -0.809  -0.060 -0.773  0.042 -0.708  0.134 -0.627  0.227 -0.547  0.314 -0.462  0.369 -0.352  0.424 -0.243  0.479 -0.133  0.533 -0.023  0.582 0.090  0.631 0.202  0.682 0.314  0.744 0.420  0.806 0.526  0.856 0.638  0.852 0.586  0.862 0.463  0.878 0.342  0.903 0.222  0.929 0.102  0.957 -0.018  0.985 -0.137  1.013 -0.257  1.047 -0.375  1.084 -0.492  1.136 -0.601  1.214 -0.695
3#apb#apb08#app0866/i  -0.398 1.465  -0.470 1.465  -0.492 1.415  -0.492 1.343  -0.447 1.295  -0.387 1.255  -0.325 1.218  -0.261 1.186  -0.197 1.154  -0.132 1.122  -0.107 1.060  -0.094 0.989  -0.081 0.918  -0.067 0.848  -0.054 0.777  -0.041 0.706  -0.028 0.635  -0.015 0.565  -0.002 0.494  0.012 0.423  0.025 0.352  0.038 0.281  0.051 0.211  0.064 0.140  0.070 0.069  0.070 -0.003  0.070 -0.075  0.070 -0.147  0.070 -0.219  0.070 -0.291  0.070 -0.363  0.070 -0.435  0.070 -0.507  0.070 -0.579  0.070 -0.651  0.084 -0.722  0.102 -0.792  0.119 -0.861  0.137 -0.931  0.154 -1.001  0.171 -1.071  0.187 -1.141  0.203 -1.211  0.220 -1.281  0.236 -1.352  0.253 -1.421  0.271 -1.491  0.292 -1.560  0.319 -1.627  0.375 -1.650
3#apb#apb08#app0866/t  -0.215 2.075  -0.204 1.908  -0.180 1.743  -0.144 1.579  -0.109 1.416  -0.069 1.253  -0.026 1.092  0.018 0.930  0.059 0.768  0.093 0.604  0.127 0.440  0.161 0.277  0.192 0.112  0.222 -0.052  0.252 -0.217  0.278 -0.382  0.303 -0.548  0.325 -0.714  0.344 -0.880  0.361 -1.046  0.372 -1.213  0.386 -1.380  0.400 -1.546  0.297 -1.471  0.193 -1.340  0.088 -1.210  -0.017 -1.079  -0.122 -0.949  -0.226 -0.818  -0.331 -0.688  -0.436 -0.557  -0.540 -0.427  -0.645 -0.296  -0.750 -0.166  -0.855 -0.035  -0.959 0.095  -0.988 0.189  -0.820 0.189  -0.653 0.186  -0.487 0.172  -0.320 0.157  -0.153 0.153  0.014 0.166  0.181 0.179  0.347 0.190  0.515 0.198  0.682 0.206  0.848 0.222  1.014 0.246  1.179 0.271
3#apb#apb08#app0866/e  -0.481 -0.267  -0.344 -0.246  -0.208 -0.222  -0.079 -0.175  0.048 -0.119  0.170 -0.054  0.291 0.011  0.393 0.104  0.495 0.198  0.586 0.301  0.671 0.410  0.751 0.522  0.791 0.654  0.822 0.787  0.811 0.925  0.756 1.041  0.652 1.132  0.517 1.147  0.379 1.158  0.242 1.174  0.105 1.190  -0.022 1.154  -0.143 1.086  -0.263 1.019  -0.358 0.918  -0.452 0.817  -0.547 0.716  -0.603 0.591  -0.653 0.463  -0.704 0.334  -0.736 0.202  -0.730 0.064  -0.724 -0.074  -0.719 -0.212  -0.679 -0.344  -0.636 -0.475  -0.592 -0.606  -0.541 -0.733  -0.469 -0.851  -0.397 -0.969  -0.313 -1.075  -0.194 -1.145  -0.075 -1.215  0.050 -1.271  0.184 -1.307  0.317 -1.344  0.451 -1.372  0.589 -1.360  0.726 -1.347  0.864 -1.335
3#apb#apb08#app0866/A  -1.137 -0.980  -1.112 -0.878  -1.055 -0.688  -0.983 -0.503  -0.911 -0.318  -0.840 -0.133  -0.770 0.053  -0.700 0.239  -0.635 0.426  -0.570 0.614  -0.503 0.801  -0.436 0.987  -0.355 1.168  -0.255 1.337  -0.102 1.461  0.085 1.449  0.263 1.361  0.379 1.200  0.495 1.039  0.570 0.856  0.645 0.672  0.695 0.480  0.741 0.287  0.794 0.096  0.852 -0.094  0.909 -0.284  0.965 -0.475  0.984 -0.672  1.000 -0.869  0.993 -1.066  0.932 -1.242  0.794 -1.163  0.631 -1.049  0.468 -0.936  0.306 -0.822  0.143 -0.708  -0.020 -0.595  -0.182 -0.481  -0.345 -0.367  -0.508 -0.253  -0.670 -0.140  -0.833 -0.026  -0.782 -0.001  -0.585 0.006  -0.387 -0.004  -0.189 0.008  0.009 0.022  0.206 0.040  0.404 0.062  0.601 0.084
3#apb#apb08#app0866/7  -1.441 0.152  -1.531 0.163  -1.622 0.171  -1.561 0.212  -1.473 0.236  -1.385 0.259  -1.297 0.283  -1.206 0.294  -1.115 0.304  -1.025 0.314  -0.934 0.324  -0.843 0.334  -0.753 0.344  -0.662 0.354  -0.571 0.364  -0.481 0.373  -0.390 0.383  -0.299 0.393  -0.208 0.400  -0.117 0.404  -0.026 0.407  0.065 0.410  0.156 0.414  0.248 0.417  0.339 0.415  0.430 0.410  0.521 0.404  0.612 0.399  0.702 0.382  0.791 0.364  0.870 0.328  0.906 0.245  0.913 0.157  0.899 0.067  0.885 -0.023  0.868 -0.113  0.849 -0.202  0.830 -0.291  0.811 -0.381  0.780 -0.466  0.745 -0.550  0.711 -0.635  0.676 -0.719  0.648 -0.806  0.622 -0.893  0.597 -0.981  0.597 -1.072  0.597 -1.163  0.619 -1.250  0.654 -1.334
3#apb#apb08#app0866/U  -1.064 0.933  -1.111 0.991  -1.124 0.842  -1.117 0.692  -1.110 0.542  -1.103 0.392  -1.096 0.243  -1.081 0.094  -1.061 -0.055  -1.037 -0.203  -1.005 -0.350  -0.973 -0.496  -0.916 -0.635  -0.851 -0.768  -0.745 -0.874  -0.629 -0.965  -0.491 -1.025  -0.346 -1.013  -0.204 -0.972  -0.075 -0.894  0.044 -0.805  0.154 -0.702  0.250 -0.589  0.331 -0.463  0.411 -0.336  0.460 -0.195  0.503 -0.051  0.545 0.093  0.556 0.242  0.566 0.392  0.576 0.542  0.582 0.691  0.587 0.841  0.596 0.991  0.605 1.141  0.580 1.121  0.541 0.977  0.524 0.828  0.506 0.679  0.513 0.530  0.532 0.381  0.557 0.234  0.600 0.090  0.644 -0.053  0.703 -0.191  0.766 -0.327  0.840 -0.457  0.930 -0.577  1.022 -0.695  1.117 -0.811
3#apb#apb08#app0866/n  -0.882 0.368  -0.985 0.344  -1.021 0.235  -1.028 0.118  -1.035 0.001  -1.040 -0.115  -1.040 -0.232  -1.040 -0.349  -1.017 -0.463  -0.986 -0.576  -0.946 -0.685  -0.899 -0.792  -0.827 -0.832  -0.781 -0.725  -0.748 -0.613  -0.713 -0.501  -0.676 -0.390  -0.639 -0.279  -0.602 -0.168  -0.550 -0.065  -0.489 0.035  -0.428 0.135  -0.367 0.235  -0.297 0.328  -0.220 0.416  -0.143 0.504  -0.066 0.592  0.023 0.666  0.124 0.725  0.225 0.784  0.336 0.816  0.450 0.841  0.563 0.809  0.659 0.749  0.746 0.671  0.832 0.592  0.888 0.492  0.933 0.384  0.977 0.276  1.022 0.167  1.065 0.059  1.108 -0.050  1.149 -0.159  1.149 -0.276  1.149 -0.393  1.159 -0.508  1.188 -0.622  1.216 -0.735  1.239 -0.850  1.262 -0.964
3#apb#apb08#app0866/i  0.388 1.120  0.303 1.092  0.219 1.064  0.134 1.041  0.047 1.021  -0.040 1.001  -0.127 0.983  -0.215 0.983  -0.304 0.983  -0.393 0.983  -0.482 0.975  -0.570 0.966  -0.654 0.942  -0.586 0.957  -0.500 0.978  -0.446 0.924  -0.402 0.847  -0.358 0.769  -0.314 0.692  -0.270 0.615  -0.226 0.538  -0.182 0.461  -0.138 0.384  -0.094 0.306  -0.049 0.229  -0.005 0.152  0.039 0.075  0.083 -0.002  0.127 -0.080  0.171 -0.157  0.215 -0.234  0.245 -0.312  0.217 -0.397  0.189 -0.481  0.170 -0.568  0.154 -0.655  0.138 -0.743  0.147 -0.831  0.159 -0.919  0.170 -1.007  0.182 -1.095  0.201 -1.182  0.219 -1.269  0.238 -1.356  0.261 -1.441  0.294 -1.524  0.327 -1.606  0.376 -1.678  0.439 -1.741  0.502 -1.804
3#apb#apb08#app0866/v  -0.727 1.073  -0.820 1.077  -0.840 0.978  -0.853 0.875  -0.866 0.772  -0.878 0.669  -0.872 0.565  -0.867 0.461  -0.862 0.357  -0.856 0.253  -0.846 0.149  -0.828 0.047  -0.811 -0.056  -0.794 -0.159  -0.776 -0.261  -0.727 -0.352  -0.677 -0.444  -0.628 -0.536  -0.575 -0.625  -0.517 -0.712  -0.459 -0.798  -0.402 -0.885  -0.307 -0.928  -0.212 -0.970  -0.112 -0.979  -0.008 -0.968  0.087 -0.935  0.170 -0.872  0.253 -0.810  0.312 -0.724  0.371 -0.638  0.430 -0.552  0.489 -0.467  0.545 -0.379  0.595 -0.288  0.645 -0.197  0.695 -0.106  0.745 -0.014  0.796 0.077  0.834 0.173  0.869 0.271  0.905 0.369  0.941 0.467  0.976 0.565  1.009 0.663  1.028 0.765  1.046 0.868  1.083 0.963  1.141 1.050  1.157 1.149
3#apb#apb08#app0866/e  -0.389 -0.380  -0.312 -0.273  -0.233 -0.168  -0.134 -0.081  -0.035 0.006  0.051 0.106  0.134 0.209  0.216 0.312  0.314 0.401  0.411 0.490  0.509 0.578  0.603 0.670  0.697 0.764  0.790 0.857  0.829 0.982  0.864 1.109  0.827 1.202  0.703 1.228  0.576 1.193  0.448 1.159  0.327 1.108  0.207 1.052  0.088 0.996  -0.026 0.933  -0.105 0.827  -0.184 0.722  -0.263 0.616  -0.342 0.510  -0.402 0.393  -0.455 0.273  -0.509 0.152  -0.562 0.032  -0.601 -0.093  -0.621 -0.224  -0.642 -0.354  -0.663 -0.484  -0.668 -0.613  -0.626 -0.739  -0.584 -0.864  -0.542 -0.989  -0.464 -1.093  -0.376 -1.191  -0.287 -1.289  -0.171 -1.348  -0.050 -1.400  0.071 -1.452  0.198 -1.473  0.329 -1.465  0.461 -1.457  0.593 -1.449
3#apb#apb08#app0866/r  -0.649 0.393  -0.684 0.297  -0.719 0.200  -0.754 0.104  -0.757 0.002  -0.757 -0.100  -0.757 -0.203  -0.745 -0.304  -0.732 -0.406  -0.720 -0.508  -0.707 -0.609  -0.689 -0.710  -0.669 -0.810  -0.649 -0.911  -0.621 -1.009  -0.592 -1.108  -0.532 -1.187  -0.463 -1.136  -0.421 -1.042  -0.379 -0.949  -0.355 -0.849  -0.331 -0.750  -0.308 -0.650  -0.284 -0.550  -0.254 -0.453  -0.206 -0.363  -0.159 -0.272  -0.111 -0.181  -0.063 -0.091  -0.015 0.000  0.040 0.086  0.102 0.168  0.163 0.250  0.225 0.332  0.286 0.414  0.347 0.495  0.409 0.577  0.494 0.634  0.581 0.688  0.668 0.742  0.755 0.797  0.841 0.851  0.936 0.890  1.031 0.928  1.126 0.966  1.221 1.005  1.318 1.038  1.416 1.068  1.514 1.098  1.612 1.128
3#apb#apb08#app0866/s  0.797 0.966  0.665 0.966  0.533 0.966  0.402 0.982  0.272 1.002  0.141 1.022  0.011 1.034  -0.118 1.008  -0.248 0.982  -0.377 0.956  -0.504 0.922  -0.628 0.878  -0.753 0.834  -0.875 0.785  -0.984 0.712  -1.069 0.626  -1.069 0.494  -0.965 0.418  -0.855 0.345  -0.740 0.281  -0.616 0.236  -0.492 0.191  -0.368 0.146  -0.244 0.103  -0.113 0.086  0.018 0.069  0.149 0.052  0.280 0.035  0.397 -0.024  0.512 -0.088  0.627 -0.152  0.740 -0.220  0.839 -0.307  0.937 -0.395  0.981 -0.519  0.954 -0.644  0.906 -0.765  0.802 -0.846  0.697 -0.926  0.578 -0.982  0.458 -1.037  0.338 -1.092  0.207 -1.109  0.077 -1.127  -0.054 -1.139  -0.186 -1.139  -0.318 -1.139  -0.450 -1.149  -0.581 -1.162  -0.710 -1.139
3#apb#apb08#app0866/i  -0.623 1.350  -0.686 1.308  -0.678 1.281  -0.603 1.281  -0.528 1.281  -0.452 1.281  -0.377 1.281  -0.338 1.219  -0.301 1.153  -0.265 1.087  -0.228 1.021  -0.192 0.955  -0.155 0.889  -0.119 0.823  -0.082 0.757  -0.046 0.691  -0.009 0.625  0.028 0.559  0.064 0.493  0.101 0.427  0.137 0.361  0.174 0.295  0.210 0.229  0.247 0.163  0.283 0.097  0.320 0.031  0.318 -0.037  0.289 -0.107  0.260 -0.176  0.231 -0.246  0.203 -0.316  0.176 -0.386  0.164 -0.461  0.153 -0.535  0.141 -0.610  0.130 -0.685  0.120 -0.759  0.110 -0.834  0.100 -0.909  0.090 -0.984  0.090 -1.058  0.104 -1.133  0.117 -1.207  0.131 -1.281  0.146 -1.355  0.161 -1.429  0.175 -1.503  0.206 -1.572  0.236 -1.641  0.267 -1.710
3#apb#apb08#app0866/t  0.007 1.949  -0.114 1.827  -0.159 1.666  -0.182 1.496  -0.174 1.325  -0.166 1.153  -0.155 0.982  -0.133 0.811  -0.112 0.641  -0.091 0.470  -0.069 0.300  -0.046 0.129  -0.024 -0.041  0.004 -0.211  0.034 -0.380  0.065 -0.549  0.085 -0.719  0.095 -0.891  0.093 -1.061  0.067 -1.231  0.055 -1.402  0.045 -1.573  0.026 -1.575  -0.039 -1.417  -0.105 -1.258  -0.170 -1.099  -0.236 -0.940  -0.301 -0.781  -0.366 -0.622  -0.432 -0.463  -0.497 -0.304  -0.563 -0.145  -0.628 0.013  -0.694 0.172  -0.759 0.331  -0.818 0.315  -0.651 0.274  -0.483 0.238  -0.312 0.229  -0.140 0.222  0.031 0.215  0.203 0.211  0.375 0.211  0.547 0.211  0.719 0.211  0.890 0.211  1.062 0.211  1.234 0.211  1.406 0.211  1.578 0.211
