2#tos#t1#t1002062/\"  -1.116 0.714  -1.008 0.714  -1.088 0.714  -1.116 0.634  -1.116 0.526  -1.116 0.418  -1.116 0.310  -1.116 0.202  -1.116 0.094  -1.116 -0.014  -1.116 -0.122  -1.116 -0.230  -1.062 -0.315  -0.989 -0.394  -0.941 -0.490  -0.892 -0.587  -0.818 -0.595  -0.726 -0.540  -0.633 -0.484  -0.540 -0.429  -0.448 -0.373  -0.355 -0.317  -0.263 -0.262  -0.170 -0.206  -0.077 -0.151  0.015 -0.095  0.108 -0.040  0.200 0.016  0.293 0.072  0.386 0.127  0.478 0.183  0.571 0.238  0.663 0.294  0.756 0.349  0.849 0.405  0.941 0.461  1.047 0.470  1.155 0.470  1.202 0.410  1.202 0.302  1.202 0.194  1.202 0.086  1.202 -0.022  1.202 -0.130  1.202 -0.238  1.202 -0.346  1.139 -0.415  1.042 -0.463  0.958 -0.520  0.958 -0.628
2#tos#t1#t1002062/W  -1.226 0.923  -1.313 1.006  -1.233 0.981  -1.172 0.840  -1.096 0.736  -1.034 0.580  -0.994 0.418  -0.950 0.256  -0.936 0.089  -0.878 -0.063  -0.848 -0.224  -0.817 -0.385  -0.773 -0.527  -0.704 -0.627  -0.675 -0.785  -0.588 -0.806  -0.501 -0.722  -0.443 -0.576  -0.394 -0.419  -0.330 -0.271  -0.269 -0.115  -0.267 0.054  -0.153 0.170  -0.086 0.303  -0.008 0.410  0.079 0.367  0.105 0.203  0.137 0.040  0.146 -0.129  0.168 -0.295  0.267 -0.418  0.352 -0.559  0.398 -0.695  0.456 -0.841  0.543 -0.946  0.572 -0.835  0.668 -0.731  0.707 -0.585  0.764 -0.431  0.803 -0.293  0.829 -0.129  0.890 0.029  0.948 0.182  0.981 0.344  1.075 0.452  1.180 0.582  1.252 0.720  1.368 0.821  1.445 0.923  1.557 0.981
2#tos#t1#t1002062/X  1.107 1.154  0.990 1.045  0.849 0.930  0.746 0.762  0.632 0.644  0.498 0.518  0.369 0.376  0.254 0.216  0.145 0.071  0.050 -0.079  -0.093 -0.212  -0.170 -0.377  -0.248 -0.527  -0.390 -0.631  -0.526 -0.744  -0.616 -0.883  -0.719 -0.999  -0.782 -0.928  -0.763 -0.730  -0.745 -0.533  -0.726 -0.336  -0.708 -0.138  -0.689 0.059  -0.671 0.257  -0.652 0.454  -0.634 0.651  -0.615 0.849  -0.597 1.046  -0.578 1.243  -0.682 1.268  -0.650 1.154  -0.546 0.990  -0.385 0.893  -0.251 0.789  -0.190 0.607  -0.086 0.448  -0.025 0.268  0.084 0.149  0.135 -0.028  0.267 -0.172  0.340 -0.297  0.420 -0.463  0.536 -0.603  0.595 -0.761  0.747 -0.862  0.818 -1.036  0.924 -1.159  0.983 -1.337  1.070 -1.459  1.180 -1.548
2#tos#t1#t1002062/Y  -0.894 0.956  -1.058 0.956  -1.219 0.957  -1.091 0.992  -1.003 0.916  -0.898 0.805  -0.778 0.695  -0.727 0.549  -0.605 0.497  -0.529 0.407  -0.446 0.266  -0.352 0.154  -0.247 0.055  -0.171 -0.062  -0.171 -0.225  -0.049 -0.234  0.079 -0.131  0.207 -0.029  0.334 0.073  0.462 0.175  0.589 0.277  0.717 0.379  0.845 0.481  0.972 0.583  1.100 0.685  1.088 0.739  0.961 0.775  0.849 0.702  0.769 0.619  0.667 0.558  0.530 0.514  0.423 0.393  0.335 0.308  0.223 0.226  0.148 0.082  0.042 -0.021  -0.035 -0.129  -0.135 -0.192  -0.099 -0.340  -0.099 -0.504  -0.099 -0.667  -0.099 -0.831  -0.099 -0.994  -0.099 -1.158  -0.063 -1.315  -0.063 -1.479  -0.063 -1.642  -0.063 -1.805  -0.063 -1.969  -0.026 -2.045
2#tos#t1#t1002062/Z  -0.344 1.126  -0.489 1.126  -0.609 1.063  -0.718 1.032  -0.573 1.032  -0.427 1.032  -0.282 1.032  -0.136 1.032  0.009 1.032  0.155 1.032  0.300 1.032  0.445 1.030  0.583 1.000  0.698 0.969  0.755 0.881  0.684 0.784  0.575 0.702  0.487 0.591  0.386 0.511  0.278 0.448  0.182 0.346  0.112 0.242  0.011 0.162  -0.085 0.054  -0.196 -0.028  -0.281 -0.119  -0.332 -0.243  -0.409 -0.318  -0.460 -0.412  -0.532 -0.523  -0.615 -0.621  -0.706 -0.719  -0.800 -0.813  -0.849 -0.915  -0.886 -0.915  -0.740 -0.915  -0.595 -0.915  -0.449 -0.915  -0.304 -0.915  -0.158 -0.915  -0.013 -0.915  0.133 -0.915  0.278 -0.915  0.424 -0.915  0.569 -0.915  0.714 -0.915  0.860 -0.915  1.005 -0.915  1.151 -0.915  1.195 -0.852
2#tos#t1#t1002062/c  0.434 0.649  0.377 0.580  0.377 0.616  0.377 0.742  0.377 0.869  0.377 0.995  0.361 1.105  0.263 1.133  0.206 1.202  0.097 1.219  -0.023 1.181  -0.127 1.115  -0.237 1.055  -0.343 0.986  -0.439 0.908  -0.509 0.803  -0.570 0.693  -0.592 0.572  -0.656 0.472  -0.745 0.383  -0.763 0.264  -0.763 0.138  -0.763 0.012  -0.779 -0.113  -0.804 -0.237  -0.820 -0.361  -0.820 -0.487  -0.820 -0.613  -0.786 -0.731  -0.701 -0.819  -0.596 -0.889  -0.494 -0.948  -0.367 -0.948  -0.241 -0.948  -0.115 -0.948  0.011 -0.948  0.137 -0.948  0.263 -0.948  0.390 -0.948  0.479 -0.880  0.550 -0.775  0.639 -0.686  0.753 -0.640  0.875 -0.609  0.890 -0.495  0.899 -0.377  1.025 -0.377  1.151 -0.377  1.220 -0.320  1.346 -0.320
2#tos#t1#t1002062/e  -0.945 0.076  -1.138 0.076  -1.282 -0.002  -1.400 -0.122  -1.391 -0.262  -1.208 -0.271  -1.015 -0.271  -0.823 -0.271  -0.650 -0.224  -0.459 -0.222  -0.266 -0.222  -0.115 -0.115  0.073 -0.077  0.158 0.076  0.278 0.176  0.429 0.269  0.472 0.423  0.543 0.545  0.543 0.737  0.494 0.918  0.394 1.011  0.245 1.055  0.115 1.117  -0.026 1.050  -0.196 0.974  -0.326 0.856  -0.461 0.734  -0.499 0.548  -0.598 0.417  -0.598 0.224  -0.598 0.032  -0.598 -0.161  -0.598 -0.353  -0.583 -0.541  -0.470 -0.696  -0.330 -0.827  -0.158 -0.913  0.034 -0.916  0.227 -0.916  0.419 -0.916  0.583 -0.823  0.701 -0.671  0.858 -0.571  1.026 -0.482  1.162 -0.346  1.323 -0.271  1.458 -0.163  1.586 -0.021  1.727 0.109  1.881 0.225
2#tos#t1#t1002062/i  -0.115 0.684  -0.190 0.619  -0.090 0.560  0.033 0.533  0.074 0.433  0.051 0.298  -0.063 0.229  -0.152 0.149  -0.218 0.030  -0.309 -0.076  -0.408 -0.176  -0.454 -0.297  -0.499 -0.418  -0.599 -0.518  -0.662 -0.637  -0.681 -0.775  -0.681 -0.916  -0.681 -1.056  -0.681 -1.196  -0.643 -1.328  -0.545 -1.392  -0.405 -1.389  -0.269 -1.355  -0.143 -1.293  -0.066 -1.182  0.017 -1.072  0.128 -0.988  0.222 -0.887  0.263 -0.759  0.329 -0.646  0.345 -0.511  0.393 -0.381  0.413 -0.243  0.411 -0.102  0.408 0.038  0.405 0.178  0.402 0.318  0.400 0.459  0.397 0.599  0.394 0.739  0.391 0.880  0.389 1.020  0.386 1.160  0.383 1.301  0.380 1.441  0.378 1.581  0.319 1.665  0.192 1.632  0.277 1.575  0.376 1.476
2#tos#t1#t1002062/j  -0.235 0.714  -0.418 0.704  -0.483 0.537  -0.473 0.354  -0.306 0.289  -0.117 0.289  0.049 0.343  0.221 0.360  0.306 0.511  0.368 0.536  0.262 0.453  0.164 0.341  0.070 0.178  -0.032 0.021  -0.093 -0.154  -0.163 -0.314  -0.270 -0.458  -0.300 -0.644  -0.412 -0.788  -0.442 -0.972  -0.483 -1.151  -0.582 -1.300  -0.696 -1.433  -0.860 -1.471  -0.944 -1.365  -0.944 -1.176  -0.919 -0.998  -0.856 -0.829  -0.752 -0.674  -0.630 -0.532  -0.470 -0.432  -0.292 -0.385  -0.139 -0.350  0.050 -0.350  0.235 -0.359  0.413 -0.385  0.581 -0.364  0.563 -0.212  0.595 -0.026  0.627 0.161  0.659 0.347  0.691 0.533  0.724 0.719  0.756 0.905  0.788 1.092  0.820 1.278  0.852 1.464  0.884 1.650  0.805 1.743  0.829 1.601
2#tos#t1#t1002062/k  -0.194 1.682  -0.215 1.636  -0.159 1.443  -0.226 1.225  -0.331 0.996  -0.442 0.756  -0.539 0.510  -0.568 0.252  -0.732 0.046  -0.743 -0.214  -0.835 -0.451  -0.894 -0.707  -0.926 -0.967  -1.018 -1.194  -0.944 -1.145  -0.789 -0.931  -0.627 -0.722  -0.466 -0.512  -0.304 -0.303  -0.143 -0.093  0.019 0.117  0.180 0.326  0.342 0.536  0.503 0.745  0.665 0.955  0.859 1.081  0.791 0.837  0.629 0.629  0.435 0.515  0.250 0.360  0.072 0.239  -0.103 0.080  -0.292 -0.096  -0.484 -0.194  -0.606 -0.337  -0.688 -0.403  -0.519 -0.248  -0.305 -0.194  -0.059 -0.149  0.049 -0.332  0.174 -0.473  0.264 -0.681  0.406 -0.846  0.621 -0.927  0.858 -0.813  1.042 -0.652  1.211 -0.497  1.407 -0.401  1.601 -0.286  1.774 -0.194
2#tos#t1#t1002062/l  -0.957 -0.789  -0.994 -0.931  -1.002 -0.972  -0.846 -0.899  -0.727 -0.786  -0.595 -0.686  -0.494 -0.591  -0.348 -0.521  -0.292 -0.359  -0.190 -0.217  -0.063 -0.096  0.014 0.061  0.084 0.224  0.218 0.306  0.284 0.450  0.384 0.577  0.431 0.749  0.504 0.897  0.541 1.069  0.577 1.239  0.577 1.418  0.566 1.585  0.388 1.585  0.248 1.518  0.132 1.406  0.029 1.279  -0.054 1.127  -0.119 0.961  -0.190 0.804  -0.248 0.637  -0.324 0.476  -0.337 0.300  -0.372 0.125  -0.373 -0.053  -0.373 -0.232  -0.373 -0.410  -0.373 -0.589  -0.373 -0.767  -0.340 -0.932  -0.291 -1.090  -0.124 -1.118  0.053 -1.110  0.212 -1.033  0.369 -0.948  0.519 -0.853  0.668 -0.754  0.790 -0.627  0.940 -0.570  1.082 -0.511  1.162 -0.351
2#tos#t1#t1002062/m  -0.996 0.716  -1.180 0.645  -1.070 0.635  -0.881 0.687  -0.670 0.757  -0.438 0.757  -0.264 0.699  -0.351 0.502  -0.448 0.296  -0.644 0.174  -0.755 -0.008  -0.913 -0.157  -1.077 -0.312  -1.177 -0.458  -1.279 -0.544  -1.099 -0.453  -0.932 -0.341  -0.835 -0.142  -0.661 -0.046  -0.463 0.033  -0.332 0.188  -0.183 0.301  0.031 0.350  0.142 0.230  0.088 0.025  -0.035 -0.141  -0.183 -0.258  -0.386 -0.352  -0.498 -0.503  -0.466 -0.544  -0.346 -0.402  -0.218 -0.285  -0.063 -0.140  0.118 0.001  0.290 0.106  0.471 0.188  0.659 0.243  0.844 0.228  0.874 0.026  0.833 -0.201  0.713 -0.376  0.735 -0.585  0.963 -0.565  1.180 -0.483  1.369 -0.356  1.557 -0.252  1.745 -0.143  1.902 -0.016  2.073 0.086  2.256 0.188
2#tos#t1#t1002062/o  0.454 0.809  0.307 0.760  0.215 0.809  0.059 0.809  -0.086 0.777  -0.216 0.690  -0.366 0.659  -0.483 0.579  -0.538 0.441  -0.652 0.399  -0.718 0.285  -0.788 0.167  -0.871 0.037  -0.959 -0.082  -0.959 -0.237  -0.959 -0.393  -0.959 -0.548  -0.959 -0.703  -0.936 -0.855  -0.897 -1.004  -0.777 -1.073  -0.674 -1.173  -0.546 -1.218  -0.391 -1.218  -0.235 -1.218  -0.083 -1.207  0.047 -1.121  0.162 -1.050  0.214 -0.905  0.324 -0.795  0.441 -0.694  0.571 -0.608  0.641 -0.470  0.679 -0.319  0.705 -0.169  0.815 -0.059  0.823 0.093  0.904 0.215  0.946 0.353  0.946 0.509  0.946 0.664  0.938 0.817  0.867 0.932  0.711 0.932  0.556 0.932  0.400 0.932  0.245 0.932  0.089 0.932  0.024 0.842  0.024 0.809
2#tos#t1#t1002062/q  0.456 0.344  0.434 0.277  0.504 0.483  0.592 0.671  0.592 0.896  0.592 1.120  0.592 1.345  0.546 1.550  0.339 1.567  0.115 1.567  0.033 1.401  -0.111 1.234  -0.138 1.019  -0.178 0.811  -0.178 0.587  -0.159 0.370  0.055 0.344  0.278 0.347  0.428 0.488  0.457 0.707  0.462 0.633  0.320 0.502  0.253 0.344  0.061 0.266  -0.068 0.163  -0.152 0.014  -0.329 -0.123  -0.360 -0.335  -0.530 -0.479  -0.636 -0.665  -0.744 -0.855  -0.767 -1.070  -0.798 -1.289  -0.813 -1.511  -0.730 -1.668  -0.512 -1.694  -0.317 -1.605  -0.178 -1.480  -0.042 -1.312  0.037 -1.138  0.048 -0.916  0.093 -0.710  0.093 -0.486  0.003 -0.317  -0.149 -0.245  -0.346 -0.245  -0.121 -0.245  0.103 -0.245  0.325 -0.221  0.546 -0.199
2#tos#t1#t1002062/s  0.881 1.046  0.934 0.897  0.967 0.745  1.010 0.627  0.924 0.619  0.924 0.779  0.858 0.874  0.746 0.926  0.666 1.063  0.547 1.140  0.400 1.183  0.254 1.217  0.093 1.217  -0.030 1.127  -0.136 1.031  -0.279 0.959  -0.344 0.831  -0.408 0.734  -0.408 0.574  -0.365 0.420  -0.356 0.263  -0.298 0.131  -0.145 0.100  -0.020 0.014  0.117 -0.061  0.241 -0.158  0.358 -0.201  0.408 -0.336  0.408 -0.497  0.408 -0.657  0.376 -0.813  0.323 -0.961  0.185 -1.017  0.151 -1.143  -0.000 -1.189  -0.118 -1.232  -0.279 -1.232  -0.322 -1.082  -0.408 -0.974  -0.508 -0.903  -0.537 -0.749  -0.537 -0.589  -0.580 -0.471  -0.599 -0.329  -0.718 -0.407  -0.806 -0.509  -0.924 -0.606  -0.995 -0.745  -1.095 -0.813  -0.967 -0.845
2#tos#t1#t1002062/t  -0.581 0.430  -0.757 0.430  -0.897 0.351  -0.721 0.351  -0.562 0.390  -0.386 0.390  -0.210 0.390  -0.034 0.390  0.141 0.390  0.317 0.390  0.493 0.390  0.669 0.390  0.768 0.388  0.702 0.551  0.636 0.714  0.570 0.877  0.503 1.039  0.437 1.202  0.371 1.365  0.260 1.462  0.252 1.373  0.222 1.204  0.137 1.051  0.093 0.888  -0.015 0.768  -0.063 0.599  -0.139 0.441  -0.236 0.295  -0.342 0.154  -0.376 -0.017  -0.463 -0.168  -0.526 -0.332  -0.581 -0.495  -0.581 -0.670  -0.581 -0.846  -0.581 -1.022  -0.581 -1.198  -0.581 -1.374  -0.474 -1.468  -0.340 -1.514  -0.181 -1.464  -0.026 -1.395  0.099 -1.271  0.223 -1.146  0.364 -1.042  0.506 -0.942  0.590 -0.798  0.728 -0.715  0.807 -0.619  0.926 -0.562
2#tos#t1#t1002062/v  -0.586 0.723  -0.741 0.723  -0.850 0.770  -0.805 0.881  -0.715 1.003  -0.632 1.092  -0.479 1.110  -0.329 1.145  -0.174 1.145  -0.058 1.105  -0.058 0.949  -0.082 0.804  -0.117 0.662  -0.210 0.538  -0.269 0.402  -0.270 0.247  -0.356 0.117  -0.420 -0.024  -0.478 -0.168  -0.504 -0.321  -0.533 -0.473  -0.533 -0.628  -0.601 -0.760  -0.744 -0.813  -0.744 -0.968  -0.744 -1.124  -0.612 -1.178  -0.469 -1.230  -0.313 -1.230  -0.157 -1.230  -0.034 -1.153  0.076 -1.043  0.222 -1.019  0.343 -0.935  0.382 -0.800  0.521 -0.730  0.618 -0.618  0.647 -0.473  0.715 -0.337  0.777 -0.195  0.799 -0.044  0.839 0.102  0.839 0.257  0.839 0.413  0.839 0.568  0.787 0.669  0.869 0.564  1.020 0.539  1.171 0.511  1.314 0.459
2#tos#t1#t1002062/w  -1.130 0.968  -0.951 1.024  -0.749 1.024  -0.547 1.024  -0.517 0.853  -0.572 0.660  -0.617 0.477  -0.710 0.305  -0.815 0.161  -0.940 0.031  -1.004 -0.160  -1.019 -0.360  -1.054 -0.554  -1.130 -0.738  -1.121 -0.930  -0.919 -0.930  -0.717 -0.930  -0.628 -0.817  -0.480 -0.763  -0.334 -0.657  -0.198 -0.536  -0.075 -0.377  -0.014 -0.190  0.109 -0.059  0.154 0.136  0.194 0.298  0.209 0.224  0.074 0.139  0.001 -0.049  -0.014 -0.249  -0.014 -0.451  -0.014 -0.652  0.065 -0.818  0.267 -0.818  0.469 -0.818  0.552 -0.675  0.712 -0.615  0.782 -0.434  0.823 -0.244  0.879 -0.056  0.930 0.125  0.991 0.302  0.991 0.504  0.991 0.706  0.991 0.908  0.854 0.912  1.033 0.856  1.203 0.752  1.403 0.745  1.605 0.745
2#tos#t1#t1002062/y  -0.159 1.513  -0.159 1.590  -0.159 1.405  -0.159 1.220  -0.159 1.035  -0.159 0.850  -0.159 0.664  -0.099 0.506  0.085 0.515  0.212 0.615  0.370 0.681  0.486 0.777  0.621 0.895  0.723 1.045  0.716 1.147  0.672 1.006  0.549 0.944  0.454 0.854  0.441 0.681  0.410 0.528  0.278 0.413  0.278 0.227  0.148 0.112  0.064 -0.053  0.021 -0.228  -0.028 -0.402  -0.069 -0.580  -0.115 -0.760  -0.168 -0.929  -0.203 -1.104  -0.281 -1.241  -0.291 -1.420  -0.334 -1.595  -0.519 -1.595  -0.685 -1.576  -0.728 -1.434  -0.728 -1.249  -0.728 -1.064  -0.728 -0.878  -0.665 -0.712  -0.595 -0.542  -0.483 -0.396  -0.331 -0.323  -0.199 -0.194  -0.024 -0.151  0.161 -0.151  0.346 -0.151  0.531 -0.151  0.706 -0.194  0.848 -0.151
