2#tos#t3#t3021066/\"  -0.960 -0.205  -0.996 -0.065  -0.873 -0.240  -0.821 -0.470  -0.803 -0.534  -0.756 -0.296  -0.708 -0.058  -0.660 0.180  -0.613 0.418  -0.473 0.522  -0.606 0.631  -0.779 0.561  -0.821 0.360  -0.725 0.213  -0.542 0.314  -0.608 0.492  -0.682 0.270  -0.640 0.053  -0.473 -0.060  -0.334 -0.217  -0.334 -0.460  -0.334 -0.702  -0.463 -0.891  -0.473 -1.130  -0.576 -1.336  -0.610 -1.287  -0.470 -1.088  -0.331 -0.889  -0.191 -0.691  -0.052 -0.492  0.088 -0.293  0.227 -0.095  0.367 0.104  0.507 0.303  0.646 0.501  0.786 0.700  0.925 0.898  1.065 1.097  1.136 1.188  0.920 1.162  0.920 0.919  1.014 0.770  1.117 0.631  1.221 0.492  1.268 0.296  1.253 0.059  1.198 -0.161  1.069 -0.274  1.059 -0.507  0.920 -0.692
2#tos#t3#t3021066/b  -0.585 1.884  -0.573 1.928  -0.474 1.785  -0.447 1.607  -0.418 1.429  -0.418 1.245  -0.362 1.074  -0.362 0.889  -0.334 0.712  -0.306 0.534  -0.306 0.349  -0.306 0.165  -0.306 -0.019  -0.306 -0.204  -0.349 -0.378  -0.362 -0.559  -0.362 -0.744  -0.362 -0.928  -0.362 -1.112  -0.362 -1.077  -0.330 -0.900  -0.306 -0.721  -0.306 -0.537  -0.306 -0.353  -0.362 -0.191  -0.362 -0.007  -0.362 0.177  -0.288 0.321  -0.130 0.385  0.022 0.485  0.182 0.544  0.367 0.544  0.551 0.544  0.712 0.488  0.818 0.377  0.866 0.241  0.978 0.135  0.978 -0.049  0.978 -0.234  0.922 -0.362  0.866 -0.491  0.794 -0.645  0.737 -0.796  0.563 -0.820  0.433 -0.950  0.271 -1.038  0.106 -1.120  -0.070 -1.153  -0.241 -1.210  -0.418 -1.243
2#tos#t3#t3021066/c  0.808 0.631  0.808 0.743  0.760 0.825  0.667 0.885  0.626 0.976  0.526 1.026  0.468 1.081  0.359 1.083  0.271 1.140  0.159 1.140  0.048 1.140  -0.057 1.123  -0.136 1.044  -0.181 0.957  -0.274 0.900  -0.324 0.800  -0.424 0.750  -0.436 0.646  -0.511 0.595  -0.549 0.493  -0.549 0.381  -0.605 0.293  -0.655 0.193  -0.663 0.083  -0.663 -0.028  -0.692 -0.135  -0.719 -0.243  -0.719 -0.354  -0.719 -0.466  -0.719 -0.578  -0.685 -0.681  -0.619 -0.770  -0.570 -0.839  -0.509 -0.921  -0.416 -0.953  -0.305 -0.953  -0.193 -0.953  -0.081 -0.953  0.030 -0.953  0.142 -0.953  0.254 -0.953  0.364 -0.948  0.464 -0.898  0.573 -0.875  0.683 -0.853  0.789 -0.821  0.888 -0.771  0.989 -0.723  1.095 -0.687  1.204 -0.670
2#tos#t3#t3021066/d  0.030 -0.386  -0.026 -0.245  -0.161 -0.173  -0.351 -0.173  -0.541 -0.173  -0.609 -0.295  -0.695 -0.424  -0.777 -0.555  -0.822 -0.733  -0.822 -0.923  -0.737 -1.028  -0.685 -1.173  -0.609 -1.312  -0.434 -1.319  -0.312 -1.197  -0.226 -1.060  -0.146 -0.904  -0.055 -0.744  -0.027 -0.559  0.036 -0.381  0.073 -0.206  0.073 -0.016  0.151 0.155  0.179 0.338  0.245 0.515  0.286 0.699  0.325 0.882  0.384 1.059  0.413 1.244  0.413 1.434  0.413 1.623  0.413 1.813  0.339 1.797  0.272 1.632  0.243 1.450  0.200 1.270  0.200 1.080  0.200 0.891  0.200 0.701  0.200 0.511  0.200 0.321  0.200 0.132  0.200 -0.058  0.243 -0.238  0.243 -0.428  0.286 -0.600  0.305 -0.786  0.328 -0.972  0.328 -1.162  0.413 -1.324
2#tos#t3#t3021066/f  0.388 0.971  0.467 1.065  0.467 1.214  0.467 1.363  0.448 1.504  0.363 1.603  0.230 1.642  0.090 1.621  0.033 1.488  -0.006 1.349  -0.046 1.216  -0.046 1.067  -0.046 0.918  -0.006 0.778  -0.006 0.629  0.033 0.489  0.072 0.357  0.112 0.217  0.137 0.078  0.151 -0.065  0.151 -0.214  0.151 -0.363  0.151 -0.512  0.151 -0.661  0.112 -0.801  0.065 -0.939  0.033 -1.080  -0.046 -1.204  -0.104 -1.318  -0.196 -1.425  -0.250 -1.558  -0.363 -1.566  -0.372 -1.417  -0.381 -1.268  -0.390 -1.120  -0.398 -0.971  -0.407 -0.822  -0.416 -0.673  -0.425 -0.524  -0.433 -0.376  -0.466 -0.252  -0.505 -0.166  -0.363 -0.134  -0.214 -0.134  -0.067 -0.125  0.058 -0.046  0.184 0.024  0.333 0.024  0.478 0.054  0.625 0.064
2#tos#t3#t3021066/i  -0.269 0.648  -0.139 0.648  -0.117 0.642  -0.117 0.512  -0.137 0.385  -0.167 0.259  -0.171 0.130  -0.212 0.006  -0.218 -0.123  -0.218 -0.254  -0.218 -0.384  -0.218 -0.514  -0.218 -0.645  -0.218 -0.775  -0.218 -0.906  -0.171 -1.025  -0.167 -1.154  -0.096 -1.255  0.012 -1.325  0.118 -1.388  0.249 -1.388  0.379 -1.388  0.491 -1.373  0.461 -1.246  0.432 -1.119  0.402 -0.992  0.372 -0.865  0.343 -0.738  0.313 -0.611  0.284 -0.484  0.254 -0.357  0.224 -0.230  0.195 -0.104  0.165 0.023  0.135 0.150  0.106 0.277  0.076 0.404  0.047 0.531  0.017 0.658  -0.013 0.785  -0.042 0.912  -0.072 1.039  -0.102 1.166  -0.131 1.293  -0.161 1.420  -0.190 1.547  -0.218 1.674  -0.244 1.794  -0.342 1.870  -0.269 1.870
2#tos#t3#t3021066/k  -0.332 1.897  -0.389 2.073  -0.391 1.998  -0.391 1.799  -0.391 1.599  -0.391 1.399  -0.391 1.199  -0.407 1.001  -0.451 0.807  -0.451 0.607  -0.451 0.407  -0.451 0.207  -0.451 0.007  -0.451 -0.192  -0.451 -0.392  -0.451 -0.592  -0.451 -0.792  -0.451 -0.992  -0.451 -1.192  -0.444 -1.372  -0.314 -1.220  -0.185 -1.068  -0.055 -0.916  0.074 -0.764  0.204 -0.612  0.334 -0.459  0.463 -0.307  0.593 -0.155  0.722 -0.003  0.852 0.149  0.938 0.322  0.978 0.518  0.820 0.420  0.658 0.324  0.505 0.200  0.326 0.110  0.140 0.066  -0.019 -0.055  -0.178 -0.171  -0.356 -0.261  -0.545 -0.308  -0.461 -0.392  -0.287 -0.471  -0.103 -0.543  0.096 -0.546  0.271 -0.606  0.469 -0.627  0.664 -0.665  0.845 -0.710  1.039 -0.725
2#tos#t3#t3021066/o  0.317 0.426  0.387 0.562  0.317 0.697  0.188 0.767  0.051 0.833  -0.106 0.850  -0.200 0.920  -0.365 0.920  -0.491 0.858  -0.606 0.779  -0.672 0.680  -0.723 0.567  -0.807 0.437  -0.813 0.274  -0.813 0.110  -0.883 -0.026  -0.883 -0.190  -0.883 -0.355  -0.883 -0.519  -0.883 -0.683  -0.850 -0.840  -0.756 -0.972  -0.738 -1.127  -0.647 -1.209  -0.496 -1.268  -0.332 -1.268  -0.167 -1.268  -0.014 -1.221  0.115 -1.123  0.271 -1.071  0.317 -0.939  0.415 -0.816  0.530 -0.699  0.607 -0.554  0.723 -0.438  0.790 -0.301  0.897 -0.178  0.981 -0.039  1.022 0.109  1.022 0.273  1.088 0.366  1.004 0.497  0.869 0.567  0.736 0.642  0.619 0.759  0.470 0.808  0.316 0.850  0.151 0.850  -0.013 0.850  -0.178 0.850
2#tos#t3#t3021066/p  -0.314 1.199  -0.348 1.324  -0.269 1.162  -0.224 0.985  -0.178 0.801  -0.178 0.606  -0.178 0.411  -0.178 0.216  -0.178 0.021  -0.178 -0.174  -0.199 -0.367  -0.235 -0.559  -0.269 -0.750  -0.301 -0.937  -0.395 -1.108  -0.449 -1.286  -0.476 -1.478  -0.518 -1.667  -0.539 -1.858  -0.494 -1.694  -0.449 -1.518  -0.385 -1.335  -0.341 -1.146  -0.296 -0.956  -0.251 -0.766  -0.207 -0.576  -0.162 -0.386  -0.117 -0.197  -0.073 -0.007  -0.028 0.183  0.017 0.373  0.061 0.563  0.106 0.753  0.080 0.903  -0.020 0.974  0.164 1.019  0.357 1.032  0.547 1.064  0.742 1.064  0.937 1.064  1.038 0.936  1.032 0.743  0.916 0.588  0.807 0.428  0.672 0.288  0.545 0.149  0.366 0.074  0.204 -0.029  0.017 -0.062  -0.178 -0.062
2#tos#t3#t3021066/q  0.164 0.580  0.158 0.589  0.270 0.746  0.318 0.938  0.357 1.130  0.262 1.273  0.136 1.382  -0.062 1.392  -0.213 1.325  -0.388 1.227  -0.482 1.070  -0.571 0.906  -0.571 0.704  -0.543 0.513  -0.400 0.409  -0.208 0.387  -0.048 0.467  0.086 0.549  0.168 0.701  0.241 0.774  0.113 0.622  0.031 0.439  -0.041 0.260  -0.155 0.097  -0.199 -0.096  -0.243 -0.293  -0.301 -0.485  -0.384 -0.670  -0.474 -0.850  -0.507 -1.045  -0.533 -1.243  -0.533 -1.445  -0.533 -1.647  -0.369 -1.726  -0.170 -1.740  -0.043 -1.598  0.100 -1.456  0.222 -1.314  0.326 -1.149  0.438 -0.981  0.550 -0.813  0.624 -0.626  0.705 -0.443  0.705 -0.241  0.678 -0.051  0.607 0.128  0.451 0.232  0.285 0.333  0.086 0.348  -0.107 0.387
2#tos#t3#t3021066/r  -0.450 1.113  -0.515 1.235  -0.578 1.172  -0.515 1.038  -0.433 0.941  -0.384 0.822  -0.384 0.674  -0.384 0.525  -0.327 0.400  -0.318 0.255  -0.318 0.106  -0.318 -0.042  -0.318 -0.191  -0.318 -0.339  -0.318 -0.488  -0.318 -0.637  -0.318 -0.785  -0.318 -0.934  -0.318 -1.083  -0.318 -1.231  -0.318 -1.380  -0.333 -1.513  -0.384 -1.547  -0.362 -1.403  -0.318 -1.265  -0.318 -1.116  -0.318 -0.968  -0.318 -0.819  -0.279 -0.687  -0.203 -0.561  -0.187 -0.416  -0.129 -0.281  -0.121 -0.134  -0.063 -0.010  -0.050 0.134  0.010 0.257  0.021 0.401  0.146 0.457  0.229 0.522  0.273 0.627  0.389 0.679  0.528 0.719  0.677 0.719  0.826 0.719  0.974 0.719  1.123 0.719  1.271 0.719  1.420 0.719  1.569 0.719  1.717 0.719
2#tos#t3#t3021066/s  0.618 0.940  0.675 1.049  0.732 1.192  0.788 1.301  0.737 1.445  0.573 1.451  0.408 1.451  0.242 1.451  0.118 1.348  0.030 1.214  -0.091 1.111  -0.191 0.982  -0.233 0.834  -0.233 0.668  -0.233 0.502  -0.155 0.363  -0.019 0.272  0.061 0.141  0.200 0.054  0.343 -0.024  0.444 -0.130  0.592 -0.168  0.724 -0.251  0.845 -0.339  0.845 -0.505  0.788 -0.614  0.732 -0.756  0.642 -0.851  0.509 -0.932  0.354 -0.978  0.204 -1.045  0.039 -1.045  -0.127 -1.045  -0.275 -1.003  -0.353 -0.869  -0.488 -0.776  -0.531 -0.634  -0.630 -0.509  -0.699 -0.386  -0.800 -0.305  -0.745 -0.194  -0.695 -0.041  -0.630 -0.001  -0.630 -0.167  -0.630 -0.332  -0.630 -0.498  -0.702 -0.638  -0.743 -0.797  -0.865 -0.891  -0.914 -1.045
2#tos#t3#t3021066/t  0.109 1.027  0.004 1.192  -0.049 1.246  -0.049 1.048  -0.092 0.856  -0.102 0.660  -0.149 0.468  -0.172 0.274  -0.208 0.081  -0.208 -0.117  -0.208 -0.314  -0.208 -0.511  -0.208 -0.709  -0.208 -0.906  -0.102 -1.060  -0.006 -1.192  0.169 -1.245  0.367 -1.245  0.564 -1.245  0.756 -1.232  0.937 -1.192  1.110 -1.123  1.293 -1.065  1.201 -0.944  1.041 -0.829  0.881 -0.714  0.721 -0.598  0.560 -0.483  0.400 -0.367  0.240 -0.252  0.080 -0.136  -0.080 -0.021  -0.240 0.094  -0.400 0.210  -0.560 0.325  -0.720 0.441  -0.880 0.556  -1.062 0.604  -1.260 0.604  -1.283 0.710  -1.086 0.710  -0.889 0.710  -0.691 0.710  -0.494 0.710  -0.296 0.710  -0.099 0.710  0.098 0.710  0.296 0.710  0.493 0.710  0.690 0.710
2#tos#t3#t3021066/u  -0.752 0.827  -0.906 0.930  -1.014 1.030  -1.022 0.852  -1.022 0.667  -1.022 0.482  -1.022 0.297  -1.022 0.111  -1.022 -0.074  -1.022 -0.259  -1.022 -0.444  -1.022 -0.630  -0.927 -0.780  -0.887 -0.956  -0.749 -1.030  -0.571 -1.063  -0.386 -1.063  -0.224 -1.007  -0.093 -0.876  0.038 -0.745  0.169 -0.614  0.193 -0.439  0.304 -0.314  0.396 -0.177  0.396 0.008  0.472 0.161  0.598 0.295  0.598 0.480  0.598 0.665  0.648 0.842  0.666 1.025  0.666 1.210  0.570 1.300  0.531 1.154  0.531 0.969  0.431 0.813  0.396 0.639  0.328 0.470  0.328 0.284  0.311 0.102  0.261 -0.075  0.261 -0.260  0.261 -0.445  0.289 -0.619  0.458 -0.658  0.643 -0.658  0.829 -0.658  1.013 -0.653  1.183 -0.590  1.340 -0.523
2#tos#t3#t3021066/v  -1.223 0.285  -1.353 0.285  -1.372 0.285  -1.255 0.337  -1.156 0.420  -1.027 0.421  -0.897 0.421  -0.814 0.334  -0.757 0.228  -0.746 0.102  -0.746 -0.027  -0.746 -0.157  -0.746 -0.287  -0.746 -0.417  -0.746 -0.547  -0.738 -0.669  -0.678 -0.739  -0.678 -0.869  -0.610 -0.930  -0.492 -0.942  -0.362 -0.942  -0.243 -0.916  -0.162 -0.815  -0.089 -0.707  -0.050 -0.594  0.067 -0.536  0.160 -0.445  0.208 -0.336  0.208 -0.206  0.285 -0.106  0.343 0.010  0.401 0.126  0.413 0.254  0.413 0.384  0.413 0.513  0.413 0.643  0.423 0.757  0.539 0.699  0.594 0.603  0.713 0.557  0.822 0.536  0.837 0.421  0.967 0.421  1.089 0.390  1.205 0.331  1.324 0.285  1.454 0.285  1.584 0.285  1.714 0.285  1.844 0.285
2#tos#t3#t3021066/x  -1.125 1.022  -1.209 1.129  -1.145 0.988  -1.044 0.831  -0.927 0.692  -0.808 0.550  -0.708 0.389  -0.582 0.248  -0.535 0.062  -0.432 -0.099  -0.317 -0.253  -0.231 -0.422  -0.090 -0.516  0.057 -0.618  0.164 -0.777  0.270 -0.937  0.406 -1.063  0.563 -1.169  0.630 -1.326  0.610 -1.300  0.603 -1.115  0.616 -0.924  0.629 -0.733  0.642 -0.541  0.655 -0.350  0.668 -0.159  0.681 0.033  0.694 0.224  0.707 0.415  0.720 0.607  0.733 0.798  0.746 0.989  0.759 1.181  0.691 1.345  0.575 1.214  0.439 1.079  0.367 0.902  0.289 0.727  0.196 0.560  0.076 0.410  -0.010 0.244  -0.048 0.056  -0.181 -0.080  -0.317 -0.216  -0.423 -0.373  -0.540 -0.510  -0.718 -0.582  -0.837 -0.726  -0.942 -0.879  -1.018 -1.025
2#tos#t3#t3021066/z  -0.439 1.086  -0.566 1.118  -0.694 1.149  -0.573 1.151  -0.442 1.151  -0.311 1.151  -0.180 1.151  -0.048 1.151  0.083 1.151  0.214 1.151  0.345 1.151  0.474 1.146  0.502 1.053  0.409 0.960  0.349 0.844  0.290 0.727  0.221 0.616  0.148 0.507  0.089 0.390  0.031 0.273  -0.053 0.173  -0.134 0.072  -0.201 -0.039  -0.294 -0.132  -0.387 -0.225  -0.479 -0.317  -0.547 -0.428  -0.569 -0.554  -0.634 -0.620  -0.654 -0.732  -0.760 -0.793  -0.764 -0.922  -0.767 -0.926  -0.636 -0.926  -0.504 -0.926  -0.373 -0.926  -0.242 -0.926  -0.118 -0.896  0.005 -0.861  0.136 -0.861  0.267 -0.861  0.381 -0.820  0.476 -0.732  0.607 -0.732  0.738 -0.732  0.869 -0.732  0.992 -0.698  1.116 -0.667  1.247 -0.667  1.378 -0.667
