2#app#app11#app1169/I  -0.021 1.709  -0.021 1.639  -0.021 1.569  -0.021 1.499  -0.021 1.428  -0.021 1.358  -0.021 1.288  -0.021 1.218  -0.021 1.148  -0.021 1.078  -0.021 1.008  -0.021 0.938  -0.021 0.868  -0.021 0.797  -0.021 0.727  -0.021 0.657  -0.021 0.587  -0.021 0.517  -0.021 0.447  -0.021 0.377  -0.021 0.307  -0.021 0.237  -0.021 0.166  -0.021 0.096  -0.021 0.026  -0.021 -0.044  -0.021 -0.114  -0.021 -0.184  -0.021 -0.254  -0.021 -0.324  -0.021 -0.394  -0.021 -0.465  -0.021 -0.535  -0.021 -0.605  -0.021 -0.675  -0.021 -0.745  -0.021 -0.815  -0.021 -0.885  -0.021 -0.955  -0.021 -1.026  -0.021 -1.096  -0.021 -1.166  0.019 -1.219  0.068 -1.269  0.118 -1.318  0.139 -1.380  0.139 -1.450  0.139 -1.520  0.139 -1.590  0.139 -1.660
2#ced#rgzu9771_s_jn/I  0.082 1.151  0.082 1.226  0.045 1.264  0.045 1.339  0.038 1.406  0.009 1.434  0.045 1.396  0.040 1.322  0.009 1.255  0.009 1.180  0.009 1.105  -0.012 1.036  -0.028 0.964  -0.030 0.890  -0.053 0.819  -0.064 0.746  -0.064 0.671  -0.064 0.597  -0.064 0.522  -0.064 0.447  -0.064 0.373  -0.064 0.298  -0.064 0.223  -0.064 0.148  -0.069 0.074  -0.087 0.002  -0.101 -0.071  -0.101 -0.146  -0.095 -0.220  -0.077 -0.293  -0.064 -0.366  -0.064 -0.440  -0.059 -0.515  -0.045 -0.588  -0.030 -0.661  -0.028 -0.736  -0.021 -0.810  -0.003 -0.882  0.009 -0.955  0.009 -1.030  0.023 -1.102  0.053 -1.170  0.076 -1.241  0.082 -1.314  0.092 -1.387  0.118 -1.455  0.126 -1.528  0.163 -1.593  0.191 -1.656  0.191 -1.730
2#ced#rgzu9771_s_jn/I  -0.239 0.953  -0.183 1.008  -0.128 1.064  -0.087 1.125  -0.049 1.187  -0.016 1.251  -0.012 1.327  -0.037 1.395  -0.087 1.362  -0.087 1.284  -0.087 1.206  -0.087 1.128  -0.087 1.050  -0.087 0.972  -0.087 0.894  -0.087 0.816  -0.087 0.738  -0.087 0.660  -0.087 0.582  -0.087 0.504  -0.079 0.427  -0.060 0.352  -0.049 0.275  -0.049 0.197  -0.049 0.119  -0.049 0.041  -0.048 -0.037  -0.029 -0.112  -0.012 -0.188  -0.012 -0.266  -0.012 -0.344  0.001 -0.421  0.020 -0.496  0.026 -0.574  0.026 -0.652  0.031 -0.729  0.050 -0.805  0.064 -0.881  0.064 -0.959  0.079 -1.035  0.098 -1.111  0.117 -1.186  0.136 -1.262  0.140 -1.340  0.154 -1.413  0.197 -1.478  0.236 -1.546  0.253 -1.620  0.266 -1.696  0.291 -1.769
2#ced#rgzu9771_s_jn/I  -1.207 -0.995  -1.100 -0.914  -0.990 -0.837  -0.887 -0.753  -0.793 -0.658  -0.699 -0.562  -0.618 -0.455  -0.529 -0.356  -0.438 -0.258  -0.350 -0.157  -0.256 -0.062  -0.196 0.058  -0.126 0.172  -0.052 0.283  0.023 0.395  0.078 0.516  0.120 0.643  0.162 0.770  0.220 0.891  0.246 1.019  0.305 1.138  0.323 1.268  0.323 1.402  0.323 1.536  0.271 1.496  0.246 1.368  0.238 1.236  0.207 1.109  0.207 0.975  0.207 0.841  0.207 0.707  0.231 0.576  0.246 0.444  0.246 0.310  0.246 0.176  0.246 0.042  0.246 -0.092  0.229 -0.224  0.207 -0.356  0.207 -0.490  0.207 -0.623  0.225 -0.755  0.246 -0.887  0.246 -1.021  0.246 -1.155  0.246 -1.288  0.246 -1.422  0.246 -1.556  0.246 -1.690  0.284 -1.808
3#app#app32#app3283/I  0.215 1.662  0.165 1.612  0.115 1.562  0.103 1.496  0.103 1.425  0.103 1.355  0.103 1.284  0.103 1.214  0.103 1.143  0.103 1.072  0.103 1.002  0.084 0.934  0.062 0.867  0.040 0.800  0.017 0.733  -0.005 0.666  -0.008 0.596  -0.008 0.526  -0.008 0.455  -0.008 0.384  -0.008 0.314  -0.008 0.243  -0.008 0.173  -0.008 0.102  -0.008 0.031  -0.008 -0.039  -0.008 -0.110  -0.008 -0.180  -0.008 -0.251  -0.008 -0.322  -0.008 -0.392  -0.008 -0.463  -0.008 -0.534  -0.008 -0.604  -0.008 -0.675  -0.008 -0.745  -0.008 -0.816  -0.008 -0.887  -0.044 -0.942  -0.094 -0.992  -0.120 -1.052  -0.120 -1.123  -0.120 -1.193  -0.120 -1.264  -0.120 -1.335  -0.120 -1.405  -0.120 -1.476  -0.120 -1.546  -0.120 -1.617  -0.120 -1.688
3#app#app32#app3283/I  0.701 1.489  0.701 1.413  0.701 1.337  0.648 1.313  0.571 1.313  0.524 1.284  0.524 1.208  0.524 1.131  0.524 1.055  0.524 0.979  0.483 0.920  0.429 0.866  0.375 0.812  0.348 0.746  0.348 0.670  0.338 0.598  0.284 0.544  0.230 0.490  0.176 0.436  0.150 0.365  0.126 0.293  0.101 0.220  0.077 0.148  0.053 0.076  0.029 0.003  0.005 -0.069  -0.038 -0.130  -0.092 -0.184  -0.146 -0.238  -0.180 -0.300  -0.180 -0.376  -0.183 -0.451  -0.237 -0.505  -0.291 -0.559  -0.345 -0.613  -0.356 -0.685  -0.356 -0.761  -0.356 -0.838  -0.356 -0.914  -0.370 -0.976  -0.447 -0.976  -0.523 -0.976  -0.532 -1.043  -0.532 -1.119  -0.563 -1.183  -0.617 -1.237  -0.671 -1.291  -0.708 -1.352  -0.708 -1.428  -0.708 -1.504
2#ibm#ibm0#r0116/I  0.333 1.464  0.324 1.237  0.252 1.020  0.157 0.812  0.054 0.607  -0.048 0.403  -0.150 0.198  -0.213 -0.021  -0.266 -0.244  -0.266 -0.473  -0.266 -0.701  -0.196 -0.901  -0.021 -1.031  0.204 -1.008  0.421 -0.935  0.626 -0.835  0.819 -0.745  0.854 -0.654  0.676 -0.732  0.447 -0.732  0.225 -0.784  0.002 -0.832  -0.227 -0.832  -0.453 -0.854  -0.675 -0.909  -0.901 -0.931  -1.130 -0.931  -1.359 -0.931  -1.192 -0.788  -1.017 -0.640  -0.842 -0.493  -0.667 -0.346  -0.492 -0.199  -0.316 -0.052  -0.141 0.096  0.034 0.243  0.209 0.390  0.384 0.537  0.560 0.684  0.735 0.831  0.910 0.979  1.085 1.126  0.972 1.111  0.751 1.065  0.522 1.065  0.294 1.057  0.069 1.012  -0.155 0.967  -0.361 0.868  -0.565 0.765
2#ibm#ibm0#r0116/I  0.092 1.026  -0.011 0.820  -0.088 0.604  -0.167 0.388  -0.270 0.183  -0.372 -0.023  -0.387 -0.250  -0.387 -0.480  -0.387 -0.710  -0.337 -0.890  -0.107 -0.890  0.123 -0.890  0.353 -0.890  0.569 -0.831  0.784 -0.770  1.014 -0.770  0.877 -0.857  0.654 -0.890  0.424 -0.890  0.194 -0.890  -0.035 -0.888  -0.258 -0.832  -0.481 -0.776  -0.711 -0.770  -0.941 -0.770  -1.171 -0.770  -1.340 -0.647  -1.150 -0.517  -0.960 -0.388  -0.770 -0.258  -0.580 -0.129  -0.390 0.001  -0.200 0.130  -0.010 0.260  0.180 0.389  0.370 0.519  0.560 0.649  0.750 0.778  0.940 0.908  1.130 1.037  1.252 1.146  1.022 1.146  0.792 1.146  0.562 1.146  0.345 1.093  0.139 0.990  -0.070 0.896  -0.293 0.840  -0.516 0.787  -0.746 0.787
2#ibm#ibm0#r0116/I  0.249 1.114  0.080 0.945  -0.029 0.739  -0.109 0.514  -0.215 0.300  -0.322 0.086  -0.399 -0.140  -0.474 -0.367  -0.550 -0.594  -0.554 -0.832  -0.368 -0.952  -0.128 -0.952  0.111 -0.952  0.345 -0.920  0.571 -0.844  0.809 -0.837  1.016 -0.759  1.095 -0.722  0.856 -0.722  0.616 -0.722  0.377 -0.722  0.138 -0.722  -0.101 -0.722  -0.339 -0.726  -0.571 -0.784  -0.804 -0.837  -1.043 -0.837  -1.214 -0.812  -1.032 -0.656  -0.850 -0.500  -0.669 -0.345  -0.487 -0.189  -0.306 -0.034  -0.124 0.122  0.057 0.278  0.239 0.433  0.420 0.589  0.602 0.744  0.783 0.900  0.965 1.056  1.146 1.211  0.956 1.229  0.721 1.186  0.486 1.139  0.253 1.087  0.021 1.029  -0.211 0.971  -0.443 0.913  -0.672 0.846  -0.899 0.770
2#ibm#ibm0#r0116/I  0.320 0.814  0.145 0.639  -0.006 0.444  -0.143 0.239  -0.213 0.003  -0.273 -0.237  -0.349 -0.472  -0.438 -0.703  -0.480 -0.913  -0.385 -1.111  -0.138 -1.111  0.106 -1.098  0.328 -0.989  0.563 -0.910  0.791 -0.816  0.922 -0.650  0.718 -0.528  0.475 -0.510  0.234 -0.562  -0.006 -0.622  -0.253 -0.630  -0.497 -0.654  -0.737 -0.714  -0.970 -0.794  -1.199 -0.871  -1.084 -0.747  -0.888 -0.596  -0.692 -0.445  -0.497 -0.293  -0.301 -0.142  -0.105 0.009  0.091 0.161  0.287 0.312  0.482 0.463  0.678 0.614  0.874 0.766  1.070 0.917  1.265 1.068  1.329 1.174  1.082 1.174  0.835 1.174  0.590 1.152  0.350 1.092  0.117 1.013  -0.104 0.902  -0.326 0.791  -0.547 0.681  -0.768 0.571  -1.003 0.493  -1.244 0.453
2#ibm#ibm0#r0116/I  0.240 1.175  0.095 0.992  0.005 0.775  -0.053 0.545  -0.118 0.318  -0.192 0.094  -0.267 -0.130  -0.342 -0.355  -0.409 -0.580  -0.377 -0.803  -0.173 -0.880  0.064 -0.880  0.300 -0.880  0.533 -0.855  0.757 -0.780  0.992 -0.772  1.027 -0.664  0.801 -0.729  0.572 -0.772  0.335 -0.772  0.099 -0.772  -0.138 -0.772  -0.374 -0.772  -0.610 -0.772  -0.847 -0.772  -1.081 -0.783  -1.294 -0.880  -1.266 -0.788  -1.081 -0.641  -0.895 -0.494  -0.710 -0.348  -0.525 -0.201  -0.339 -0.054  -0.154 0.093  0.032 0.239  0.217 0.386  0.402 0.533  0.588 0.680  0.773 0.826  0.958 0.973  1.144 1.120  1.066 1.175  0.834 1.134  0.605 1.077  0.370 1.067  0.134 1.067  -0.099 1.036  -0.328 0.979  -0.537 0.873  -0.733 0.742
2#ibm#ibm0#r0116/I  0.289 0.888  0.185 0.680  0.028 0.510  -0.121 0.332  -0.251 0.138  -0.299 -0.081  -0.311 -0.311  -0.415 -0.519  -0.416 -0.752  -0.237 -0.875  -0.004 -0.875  0.229 -0.875  0.462 -0.875  0.686 -0.821  0.900 -0.734  1.093 -0.640  0.919 -0.736  0.691 -0.757  0.458 -0.757  0.225 -0.757  -0.008 -0.757  -0.241 -0.757  -0.474 -0.757  -0.698 -0.812  -0.921 -0.875  -1.145 -0.898  -1.169 -0.922  -1.004 -0.757  -0.839 -0.592  -0.675 -0.428  -0.510 -0.263  -0.345 -0.098  -0.180 0.067  -0.015 0.232  0.149 0.396  0.314 0.561  0.479 0.726  0.644 0.891  0.809 1.056  0.973 1.220  1.075 1.351  0.846 1.305  0.618 1.260  0.390 1.208  0.164 1.151  -0.053 1.070  -0.261 0.966  -0.470 0.862  -0.678 0.757  -0.887 0.653
2#ibm#ibm0#r0116/I  0.347 1.171  0.242 0.961  0.167 0.740  0.078 0.524  -0.026 0.315  -0.120 0.101  -0.194 -0.121  -0.202 -0.354  -0.272 -0.576  -0.204 -0.696  0.030 -0.696  0.264 -0.696  0.498 -0.696  0.732 -0.696  0.966 -0.696  0.811 -0.696  0.577 -0.696  0.343 -0.696  0.113 -0.727  -0.114 -0.784  -0.338 -0.851  -0.560 -0.925  -0.782 -0.999  -0.996 -1.093  -1.220 -1.135  -1.190 -1.091  -1.066 -0.912  -0.893 -0.754  -0.719 -0.597  -0.546 -0.440  -0.373 -0.282  -0.200 -0.125  -0.027 0.033  0.146 0.190  0.319 0.347  0.493 0.505  0.666 0.662  0.839 0.820  1.012 0.977  1.185 1.134  1.045 1.171  0.813 1.154  0.584 1.108  0.354 1.062  0.125 1.016  -0.105 0.971  -0.327 0.901  -0.544 0.814  -0.761 0.726  -0.971 0.622
2#ibm#ibm0#r0116/I  0.259 1.013  0.197 0.784  0.088 0.566  0.012 0.336  -0.047 0.099  -0.176 -0.107  -0.261 -0.325  -0.271 -0.566  -0.365 -0.788  -0.365 -1.032  -0.157 -1.068  0.072 -1.005  0.306 -0.963  0.495 -0.832  0.707 -0.755  0.859 -0.651  0.615 -0.651  0.371 -0.651  0.127 -0.651  -0.117 -0.651  -0.356 -0.691  -0.596 -0.739  -0.830 -0.806  -1.065 -0.859  -1.309 -0.859  -1.286 -0.775  -1.086 -0.635  -0.887 -0.494  -0.687 -0.354  -0.488 -0.214  -0.289 -0.073  -0.089 0.067  0.110 0.207  0.310 0.348  0.509 0.488  0.709 0.628  0.908 0.769  1.107 0.909  1.307 1.049  1.315 1.206  1.084 1.168  0.847 1.111  0.607 1.071  0.366 1.031  0.133 0.963  -0.093 0.873  -0.317 0.777  -0.535 0.668  -0.758 0.570  -0.989 0.493
2#ibm#ibm0#r0116/I  0.048 1.027  0.044 0.798  -0.059 0.592  -0.133 0.374  -0.205 0.156  -0.278 -0.063  -0.285 -0.292  -0.285 -0.522  -0.283 -0.751  -0.106 -0.894  0.105 -0.971  0.329 -0.942  0.534 -0.839  0.743 -0.749  0.973 -0.749  0.891 -0.749  0.660 -0.749  0.430 -0.749  0.200 -0.749  -0.030 -0.749  -0.260 -0.749  -0.484 -0.799  -0.707 -0.855  -0.937 -0.860  -1.167 -0.860  -1.394 -0.859  -1.213 -0.717  -1.033 -0.574  -0.853 -0.431  -0.672 -0.288  -0.492 -0.145  -0.311 -0.002  -0.131 0.140  0.049 0.283  0.230 0.426  0.410 0.569  0.591 0.712  0.771 0.855  0.951 0.997  1.132 1.140  1.215 1.238  0.989 1.193  0.764 1.148  0.544 1.081  0.326 1.008  0.107 0.936  -0.115 0.875  -0.338 0.819  -0.538 0.710  -0.729 0.583
2#ibm#ibm0#r0116/I  0.030 0.803  -0.068 0.608  -0.187 0.426  -0.308 0.245  -0.429 0.064  -0.488 -0.136  -0.488 -0.354  -0.547 -0.558  -0.592 -0.765  -0.501 -0.946  -0.289 -0.959  -0.071 -0.959  0.146 -0.955  0.353 -0.886  0.566 -0.855  0.727 -0.855  0.509 -0.855  0.292 -0.855  0.074 -0.855  -0.144 -0.855  -0.362 -0.855  -0.580 -0.855  -0.798 -0.855  -0.983 -0.935  -1.081 -0.832  -0.910 -0.697  -0.739 -0.561  -0.568 -0.426  -0.397 -0.291  -0.227 -0.156  -0.056 -0.020  0.115 0.115  0.286 0.250  0.457 0.385  0.628 0.521  0.798 0.656  0.969 0.791  1.140 0.926  1.311 1.062  1.246 1.124  1.039 1.192  0.825 1.218  0.607 1.218  0.416 1.130  0.235 1.010  0.023 0.957  -0.189 0.907  -0.406 0.907  -0.585 0.811  -0.799 0.803
2#ibm#ibm0#r0116/I  0.071 0.902  0.018 0.694  -0.066 0.491  -0.135 0.281  -0.188 0.068  -0.244 -0.145  -0.314 -0.354  -0.335 -0.571  -0.335 -0.791  -0.335 -1.012  -0.144 -0.985  0.063 -0.928  0.282 -0.924  0.480 -0.827  0.700 -0.827  0.884 -0.862  0.730 -0.928  0.510 -0.928  0.289 -0.928  0.069 -0.928  -0.151 -0.928  -0.371 -0.928  -0.589 -0.912  -0.798 -0.842  -1.016 -0.827  -1.083 -0.769  -0.916 -0.625  -0.750 -0.480  -0.584 -0.336  -0.418 -0.191  -0.251 -0.046  -0.085 0.098  0.081 0.243  0.247 0.387  0.413 0.532  0.580 0.676  0.746 0.821  0.912 0.965  1.078 1.110  1.124 1.239  0.920 1.308  0.700 1.308  0.501 1.218  0.304 1.119  0.092 1.059  -0.121 1.006  -0.331 0.937  -0.540 0.867  -0.748 0.797  -0.945 0.698
2#ibm#ibm0#r0116/I  0.286 1.046  0.201 0.832  0.116 0.617  0.032 0.402  -0.054 0.188  -0.135 -0.028  -0.199 -0.250  -0.258 -0.473  -0.279 -0.703  -0.182 -0.890  0.009 -0.994  0.237 -0.988  0.460 -0.929  0.681 -0.865  0.899 -0.787  0.880 -0.788  0.649 -0.795  0.419 -0.807  0.188 -0.817  -0.043 -0.821  -0.274 -0.825  -0.504 -0.839  -0.735 -0.850  -0.965 -0.864  -1.194 -0.889  -1.245 -0.832  -1.065 -0.687  -0.886 -0.542  -0.706 -0.397  -0.527 -0.252  -0.347 -0.107  -0.167 0.038  0.012 0.183  0.192 0.328  0.371 0.474  0.551 0.619  0.731 0.764  0.910 0.909  1.090 1.054  1.208 1.175  0.978 1.150  0.749 1.120  0.521 1.085  0.294 1.046  0.067 1.002  -0.154 0.937  -0.372 0.861  -0.595 0.802  -0.816 0.736  -1.032 0.654
2#ibm#ibm0#r0116/I  0.348 2.020  0.294 1.886  0.240 1.752  0.187 1.617  0.134 1.482  0.081 1.348  0.029 1.213  -0.024 1.078  -0.078 0.944  -0.134 0.810  -0.187 0.676  -0.227 0.536  -0.267 0.397  -0.306 0.258  -0.344 0.118  -0.373 -0.023  -0.386 -0.167  -0.399 -0.312  -0.361 -0.437  -0.259 -0.539  -0.156 -0.642  -0.018 -0.667  0.126 -0.678  0.268 -0.663  0.408 -0.626  0.548 -0.589  0.688 -0.553  0.826 -0.511  0.964 -0.464  1.100 -0.415  1.236 -0.365  1.092 -0.379  0.948 -0.393  0.804 -0.406  0.659 -0.414  0.515 -0.421  0.370 -0.429  0.226 -0.433  0.081 -0.436  -0.064 -0.439  -0.209 -0.441  -0.353 -0.444  -0.498 -0.451  -0.642 -0.460  -0.787 -0.469  -0.932 -0.475  -1.076 -0.480  -1.221 -0.485  -1.364 -0.505  -1.508 -0.524
2#ibm#ibm0#r0116/I  1.674 0.282  1.605 0.275  1.536 0.268  1.467 0.261  1.397 0.253  1.328 0.246  1.259 0.239  1.190 0.232  1.121 0.225  1.052 0.217  0.983 0.208  0.915 0.197  0.846 0.187  0.777 0.176  0.709 0.166  0.640 0.155  0.571 0.145  0.503 0.135  0.434 0.124  0.365 0.114  0.297 0.103  0.228 0.092  0.160 0.078  0.092 0.065  0.024 0.052  -0.044 0.038  -0.113 0.025  -0.181 0.012  -0.249 -0.002  -0.317 -0.015  -0.385 -0.028  -0.453 -0.044  -0.518 -0.068  -0.584 -0.091  -0.649 -0.114  -0.715 -0.137  -0.780 -0.160  -0.846 -0.183  -0.911 -0.206  -0.977 -0.229  -1.043 -0.250  -1.110 -0.267  -1.177 -0.285  -1.244 -0.303  -1.312 -0.320  -1.379 -0.338  -1.446 -0.356  -1.513 -0.373  -1.580 -0.391  -1.647 -0.409
2#apb#apb40#app4073/I  -1.262 0.563  -1.128 0.516  -0.975 0.514  -0.820 0.541  -0.665 0.573  -0.514 0.622  -0.364 0.671  -0.214 0.720  -0.067 0.778  0.079 0.839  0.225 0.900  0.371 0.960  0.504 1.047  0.636 1.134  0.768 1.221  0.841 1.272  0.705 1.191  0.568 1.111  0.432 1.031  0.296 0.950  0.160 0.870  0.023 0.790  -0.003 0.653  0.012 0.496  0.022 0.338  0.025 0.180  0.029 0.022  0.024 -0.136  0.008 -0.293  -0.009 -0.451  -0.018 -0.608  -0.023 -0.766  -0.019 -0.924  -0.006 -1.082  -0.015 -1.239  -0.070 -1.311  -0.199 -1.219  -0.328 -1.128  -0.456 -1.036  -0.585 -0.944  -0.500 -0.961  -0.345 -0.991  -0.188 -1.002  -0.030 -1.002  0.127 -0.990  0.282 -0.959  0.437 -0.928  0.591 -0.890  0.742 -0.844  0.893 -0.798
2#kai#kai1#kclee6/I  -1.036 0.033  -0.889 0.038  -0.742 0.043  -0.596 0.048  -0.449 0.053  -0.303 0.058  -0.156 0.063  -0.009 0.067  0.137 0.072  0.164 0.149  0.104 0.282  0.062 0.423  0.036 0.566  0.036 0.713  0.036 0.860  0.057 1.003  0.114 1.138  0.185 1.266  0.278 1.376  0.405 1.448  0.537 1.444  0.613 1.338  0.613 1.192  0.613 1.045  0.613 0.898  0.609 0.752  0.580 0.608  0.572 0.462  0.544 0.320  0.498 0.181  0.490 0.035  0.444 -0.104  0.398 -0.243  0.351 -0.382  0.305 -0.521  0.243 -0.653  0.167 -0.779  0.111 -0.914  0.043 -1.043  -0.045 -1.161  -0.127 -1.283  -0.240 -1.375  -0.360 -1.451  -0.507 -1.451  -0.645 -1.429  -0.748 -1.325  -0.783 -1.183  -0.788 -1.037  -0.788 -0.890  -0.747 -0.750
2#kai#kai1#kclee6/I  -0.309 1.121  -0.218 1.098  -0.127 1.080  -0.034 1.080  0.060 1.080  0.153 1.080  0.247 1.080  0.340 1.080  0.431 1.096  0.520 1.116  0.608 1.086  0.571 1.115  0.484 1.082  0.396 1.049  0.309 1.017  0.261 0.956  0.256 0.864  0.227 0.775  0.203 0.685  0.180 0.594  0.151 0.505  0.125 0.415  0.102 0.325  0.074 0.236  0.048 0.146  0.025 0.055  -0.010 -0.031  -0.052 -0.114  -0.080 -0.203  -0.103 -0.293  -0.126 -0.384  -0.149 -0.475  -0.179 -0.563  -0.208 -0.652  -0.235 -0.741  -0.258 -0.832  -0.268 -0.924  -0.268 -1.018  -0.268 -1.111  -0.336 -1.155  -0.390 -1.231  -0.444 -1.308  -0.499 -1.384  -0.443 -1.403  -0.352 -1.390  -0.263 -1.361  -0.174 -1.331  -0.082 -1.322  0.009 -1.311  0.098 -1.281
2#kai#kai1#kclee6/I  0.090 0.006  -0.025 0.007  -0.061 0.116  -0.098 0.225  -0.159 0.322  -0.193 0.430  -0.214 0.543  -0.214 0.659  -0.214 0.774  -0.212 0.889  -0.184 1.000  -0.150 1.110  -0.096 1.210  -0.017 1.291  0.085 1.337  0.200 1.337  0.309 1.317  0.397 1.248  0.425 1.136  0.459 1.026  0.470 0.913  0.470 0.797  0.470 0.682  0.458 0.568  0.442 0.454  0.432 0.340  0.420 0.226  0.394 0.114  0.392 -0.001  0.370 -0.114  0.340 -0.225  0.297 -0.331  0.280 -0.443  0.254 -0.553  0.211 -0.660  0.155 -0.760  0.095 -0.859  0.027 -0.952  -0.037 -1.047  -0.089 -1.150  -0.164 -1.236  -0.253 -1.306  -0.356 -1.358  -0.465 -1.396  -0.579 -1.401  -0.694 -1.401  -0.799 -1.366  -0.871 -1.285  -0.899 -1.174  -0.899 -1.059
2#kai#kai1#kclee6/I  -0.453 1.095  -0.356 1.095  -0.261 1.113  -0.167 1.136  -0.070 1.136  0.027 1.136  0.124 1.136  0.221 1.136  0.318 1.136  0.415 1.136  0.513 1.136  0.528 1.120  0.438 1.084  0.348 1.048  0.258 1.012  0.167 0.976  0.131 0.889  0.118 0.794  0.118 0.697  0.107 0.602  0.084 0.507  0.078 0.411  0.068 0.315  0.049 0.220  0.037 0.124  0.035 0.027  0.016 -0.068  -0.003 -0.163  -0.022 -0.258  -0.041 -0.354  -0.069 -0.446  -0.086 -0.541  -0.086 -0.638  -0.127 -0.722  -0.173 -0.806  -0.197 -0.900  -0.224 -0.994  -0.255 -1.086  -0.286 -1.178  -0.365 -1.228  -0.457 -1.259  -0.438 -1.286  -0.343 -1.309  -0.247 -1.312  -0.150 -1.312  -0.053 -1.312  0.040 -1.284  0.135 -1.272  0.230 -1.261  0.322 -1.231
2#kai#kai1#kclee6/I  -0.162 -0.149  -0.271 -0.113  -0.314 -0.009  -0.321 0.105  -0.337 0.218  -0.360 0.329  -0.351 0.444  -0.323 0.556  -0.295 0.668  -0.263 0.778  -0.224 0.887  -0.181 0.994  -0.142 1.103  -0.079 1.193  0.013 1.263  0.120 1.301  0.234 1.320  0.343 1.300  0.437 1.235  0.501 1.139  0.513 1.027  0.513 0.911  0.513 0.796  0.512 0.681  0.475 0.571  0.473 0.456  0.440 0.346  0.415 0.233  0.391 0.120  0.354 0.011  0.354 -0.104  0.319 -0.214  0.283 -0.324  0.246 -0.433  0.210 -0.543  0.178 -0.654  0.149 -0.765  0.109 -0.873  0.045 -0.969  0.005 -1.077  -0.060 -1.170  -0.134 -1.259  -0.209 -1.347  -0.291 -1.429  -0.390 -1.482  -0.502 -1.499  -0.618 -1.499  -0.709 -1.453  -0.773 -1.357  -0.837 -1.260
2#kai#kai1#kclee6/I  -0.040 0.059  -0.133 0.121  -0.200 0.209  -0.239 0.312  -0.257 0.421  -0.257 0.533  -0.257 0.644  -0.257 0.756  -0.257 0.867  -0.253 0.978  -0.226 1.087  -0.167 1.179  -0.095 1.263  -0.001 1.324  0.110 1.324  0.220 1.318  0.313 1.257  0.353 1.154  0.394 1.051  0.434 0.947  0.465 0.840  0.465 0.729  0.465 0.617  0.465 0.505  0.465 0.394  0.465 0.282  0.432 0.176  0.429 0.065  0.412 -0.045  0.394 -0.155  0.359 -0.261  0.331 -0.369  0.299 -0.476  0.269 -0.583  0.228 -0.684  0.149 -0.763  0.109 -0.866  0.036 -0.948  -0.034 -1.034  -0.095 -1.128  -0.152 -1.223  -0.222 -1.308  -0.309 -1.378  -0.403 -1.435  -0.511 -1.459  -0.616 -1.436  -0.700 -1.367  -0.750 -1.267  -0.794 -1.165  -0.835 -1.061
2#kai#kai1#kclee6/I  0.080 0.111  -0.033 0.073  -0.149 0.079  -0.233 0.163  -0.304 0.258  -0.330 0.370  -0.330 0.489  -0.330 0.608  -0.330 0.726  -0.298 0.840  -0.268 0.955  -0.207 1.053  -0.119 1.132  -0.018 1.194  0.097 1.223  0.215 1.228  0.334 1.228  0.447 1.264  0.533 1.185  0.564 1.079  0.564 0.960  0.564 0.841  0.564 0.722  0.559 0.604  0.535 0.487  0.527 0.369  0.500 0.255  0.473 0.139  0.448 0.023  0.410 -0.090  0.373 -0.203  0.335 -0.316  0.298 -0.429  0.260 -0.541  0.222 -0.654  0.180 -0.765  0.119 -0.867  0.056 -0.968  -0.011 -1.066  -0.082 -1.161  -0.162 -1.249  -0.251 -1.327  -0.354 -1.379  -0.473 -1.379  -0.592 -1.378  -0.691 -1.312  -0.802 -1.272  -0.889 -1.192  -0.966 -1.102  -1.037 -1.007
2#kai#kai1#kclee6/I  0.168 -0.399  0.039 -0.399  -0.039 -0.297  -0.121 -0.197  -0.212 -0.106  -0.259 0.013  -0.314 0.130  -0.363 0.248  -0.395 0.373  -0.435 0.496  -0.440 0.624  -0.440 0.754  -0.440 0.883  -0.381 0.994  -0.309 1.101  -0.223 1.194  -0.112 1.260  0.011 1.298  0.138 1.319  0.266 1.339  0.391 1.331  0.462 1.223  0.499 1.101  0.516 0.973  0.516 0.844  0.516 0.715  0.508 0.586  0.492 0.458  0.476 0.330  0.454 0.203  0.428 0.076  0.397 -0.049  0.365 -0.174  0.334 -0.299  0.303 -0.425  0.298 -0.553  0.264 -0.677  0.223 -0.799  0.182 -0.922  0.121 -1.035  0.056 -1.146  -0.002 -1.261  -0.091 -1.354  -0.195 -1.428  -0.311 -1.486  -0.440 -1.486  -0.562 -1.445  -0.678 -1.388  -0.784 -1.316  -0.875 -1.225
