2#tos#f2#f2067064/\"  -1.003 0.012  -1.003 0.092  -1.003 -0.083  -1.003 -0.259  -1.003 -0.435  -1.003 -0.611  -0.874 -0.658  -0.874 -0.834  -0.750 -0.885  -0.618 -0.929  -0.618 -1.105  -0.614 -1.260  -0.556 -1.094  -0.498 -0.928  -0.440 -0.762  -0.382 -0.596  -0.324 -0.430  -0.266 -0.265  -0.208 -0.099  -0.150 0.067  -0.092 0.233  -0.034 0.399  0.024 0.565  0.082 0.731  0.140 0.897  0.198 1.063  0.257 1.229  0.172 1.294  0.023 1.320  0.023 1.348  0.023 1.172  0.151 1.125  0.151 0.949  0.287 0.909  0.407 0.854  0.407 0.678  0.536 0.630  0.536 0.455  0.536 0.279  0.573 0.140  0.664 0.055  0.792 0.008  0.792 -0.168  0.891 -0.245  0.920 -0.391  0.920 -0.567  0.920 -0.743  0.920 -0.918  0.920 -1.094  1.048 -1.142
2#tos#f2#f2067064/H  -0.765 1.150  -0.846 1.052  -0.782 0.813  -0.765 0.561  -0.765 0.302  -0.757 0.046  -0.725 -0.204  -0.725 -0.463  -0.725 -0.721  -0.765 -0.962  -0.866 -1.182  -0.966 -1.386  -0.876 -1.309  -0.747 -1.086  -0.618 -0.862  -0.488 -0.639  -0.359 -0.415  -0.230 -0.192  -0.100 0.031  0.029 0.255  0.158 0.478  0.288 0.702  0.417 0.925  0.546 1.148  0.676 1.372  0.800 1.592  0.723 1.411  0.723 1.153  0.723 0.895  0.723 0.636  0.723 0.378  0.723 0.120  0.683 -0.129  0.683 -0.387  0.683 -0.645  0.683 -0.903  0.723 -1.121  0.692 -1.214  0.555 -0.995  0.418 -0.776  0.281 -0.557  0.144 -0.338  0.008 -0.119  -0.129 0.100  -0.266 0.319  -0.402 0.265  -0.153 0.225  0.105 0.225  0.354 0.265  0.562 0.184
2#tos#f2#f2067064/J  -1.008 0.761  -1.024 0.671  -0.890 0.671  -0.756 0.671  -0.636 0.693  -0.526 0.731  -0.392 0.731  -0.258 0.731  -0.124 0.731  -0.003 0.761  0.131 0.761  0.265 0.761  0.369 0.792  0.503 0.792  0.637 0.792  0.771 0.792  0.905 0.792  0.973 0.786  0.841 0.763  0.709 0.740  0.578 0.718  0.446 0.695  0.314 0.672  0.182 0.649  0.049 0.641  0.044 0.512  0.074 0.390  0.074 0.257  0.074 0.123  0.134 0.026  0.134 -0.108  0.146 -0.230  0.164 -0.346  0.224 -0.419  0.224 -0.553  0.224 -0.687  0.254 -0.809  0.254 -0.943  0.252 -1.076  0.187 -1.180  0.088 -1.254  -0.025 -1.291  -0.146 -1.335  -0.249 -1.372  -0.382 -1.372  -0.516 -1.372  -0.650 -1.372  -0.777 -1.342  -0.887 -1.296  -0.978 -1.252
2#tos#f2#f2067064/Q  0.185 -0.763  0.042 -0.905  -0.171 -0.905  -0.384 -0.903  -0.589 -0.869  -0.714 -0.742  -0.834 -0.600  -0.917 -0.434  -0.947 -0.228  -0.982 -0.023  -0.982 0.190  -0.982 0.403  -0.982 0.616  -0.947 0.821  -0.876 0.984  -0.779 1.160  -0.593 1.264  -0.404 1.358  -0.191 1.358  0.022 1.358  0.216 1.292  0.385 1.166  0.580 1.097  0.697 0.952  0.857 0.841  0.963 0.664  0.998 0.459  0.963 0.260  0.892 0.070  0.792 -0.109  0.649 -0.264  0.533 -0.430  0.397 -0.587  0.254 -0.657  0.120 -0.786  -0.055 -0.869  -0.233 -0.905  -0.346 -0.804  -0.416 -0.662  -0.416 -0.449  -0.343 -0.267  -0.182 -0.175  0.005 -0.092  0.218 -0.091  0.376 -0.176  0.526 -0.327  0.699 -0.374  0.821 -0.516  0.971 -0.643  1.104 -0.763
2#tos#f2#f2067064/U  -0.770 1.148  -0.872 1.127  -0.928 1.012  -0.940 0.852  -0.974 0.715  -0.974 0.543  -1.008 0.380  -1.008 0.209  -1.008 0.037  -1.008 -0.134  -1.008 -0.306  -0.989 -0.469  -0.940 -0.600  -0.872 -0.724  -0.812 -0.850  -0.720 -0.960  -0.548 -0.960  -0.377 -0.960  -0.205 -0.960  -0.074 -0.911  0.057 -0.813  0.142 -0.666  0.270 -0.567  0.359 -0.430  0.420 -0.298  0.420 -0.126  0.544 -0.017  0.573 0.146  0.598 0.313  0.624 0.478  0.624 0.649  0.624 0.821  0.624 0.992  0.631 1.162  0.658 1.242  0.615 1.083  0.556 0.933  0.556 0.762  0.556 0.591  0.556 0.419  0.556 0.248  0.544 0.078  0.522 -0.091  0.522 -0.262  0.522 -0.433  0.556 -0.597  0.590 -0.760  0.690 -0.890  0.692 -1.061  0.828 -1.096
2#tos#f2#f2067064/V  -1.310 0.474  -1.266 0.444  -1.069 0.444  -0.873 0.444  -0.677 0.444  -0.481 0.444  -0.309 0.505  -0.113 0.505  0.083 0.505  0.276 0.535  0.472 0.535  0.668 0.535  0.834 0.565  1.031 0.565  1.220 0.595  1.416 0.595  1.587 0.656  1.556 0.664  1.366 0.617  1.175 0.574  0.983 0.532  0.792 0.489  0.600 0.446  0.409 0.403  0.217 0.360  0.025 0.317  -0.166 0.275  -0.358 0.232  -0.549 0.189  -0.741 0.146  -0.734 -0.001  -0.734 -0.197  -0.704 -0.381  -0.695 -0.575  -0.643 -0.759  -0.643 -0.955  -0.643 -1.152  -0.583 -1.336  -0.529 -1.497  -0.431 -1.497  -0.357 -1.331  -0.277 -1.154  -0.189 -0.982  -0.158 -0.791  -0.098 -0.620  -0.037 -0.466  0.040 -0.311  0.115 -0.143  0.236 -0.025  0.266 0.141
2#tos#f2#f2067064/W  -1.018 1.117  -1.126 1.002  -1.126 0.810  -1.126 0.618  -1.090 0.431  -1.054 0.244  -1.054 0.052  -1.018 -0.135  -0.983 -0.323  -0.910 -0.492  -0.838 -0.654  -0.752 -0.821  -0.693 -1.000  -0.660 -0.909  -0.534 -0.801  -0.487 -0.624  -0.369 -0.494  -0.327 -0.319  -0.267 -0.152  -0.207 0.016  -0.159 0.196  -0.152 0.387  -0.018 0.489  -0.008 0.678  0.076 0.828  0.100 0.660  0.100 0.467  0.100 0.275  0.100 0.082  0.123 -0.106  0.136 -0.297  0.172 -0.474  0.235 -0.641  0.297 -0.791  0.352 -0.945  0.471 -1.047  0.543 -0.919  0.634 -0.750  0.702 -0.575  0.717 -0.385  0.814 -0.224  0.879 -0.044  0.895 0.145  1.024 0.281  1.068 0.457  1.110 0.642  1.216 0.791  1.316 0.949  1.362 1.113  1.434 1.189
2#tos#f2#f2067064/Y  -1.004 0.870  -1.046 0.759  -1.046 0.605  -0.949 0.498  -0.828 0.404  -0.752 0.297  -0.668 0.179  -0.622 0.070  -0.482 0.012  -0.426 -0.112  -0.321 -0.181  -0.178 -0.223  -0.053 -0.154  0.056 -0.045  0.165 0.063  0.273 0.172  0.382 0.280  0.490 0.389  0.599 0.497  0.707 0.606  0.816 0.715  0.924 0.823  1.033 0.932  1.137 1.038  0.983 1.038  0.839 1.006  0.705 0.935  0.599 0.840  0.477 0.750  0.379 0.656  0.263 0.558  0.167 0.450  0.035 0.396  -0.073 0.288  -0.130 0.181  -0.163 0.035  -0.163 -0.118  -0.163 -0.272  -0.163 -0.425  -0.163 -0.579  -0.163 -0.732  -0.163 -0.886  -0.163 -1.039  -0.163 -1.193  -0.163 -1.346  -0.163 -1.500  -0.163 -1.654  -0.163 -1.807  -0.163 -1.961  -0.163 -2.114
2#tos#f2#f2067064/b  -0.027 2.089  -0.171 2.012  -0.218 1.850  -0.218 1.669  -0.271 1.510  -0.314 1.347  -0.314 1.166  -0.314 0.985  -0.314 0.804  -0.314 0.623  -0.314 0.442  -0.314 0.260  -0.314 0.079  -0.362 -0.090  -0.362 -0.271  -0.362 -0.452  -0.362 -0.634  -0.395 -0.781  -0.410 -0.948  -0.458 -1.081  -0.458 -1.066  -0.458 -0.885  -0.458 -0.703  -0.401 -0.572  -0.320 -0.410  -0.314 -0.231  -0.260 -0.099  -0.218 0.072  -0.218 0.253  -0.075 0.331  0.069 0.368  0.192 0.463  0.373 0.463  0.538 0.424  0.675 0.350  0.827 0.275  0.930 0.138  0.978 0.005  0.978 -0.176  0.930 -0.310  0.865 -0.464  0.770 -0.606  0.642 -0.734  0.500 -0.828  0.356 -0.932  0.235 -1.020  0.086 -1.098  -0.048 -1.212  -0.229 -1.212  -0.362 -1.164
2#tos#f2#f2067064/c  0.941 0.965  0.841 0.913  0.784 0.849  0.703 0.809  0.582 0.809  0.568 0.921  0.465 0.965  0.344 0.965  0.275 1.017  0.159 1.043  0.044 1.069  -0.077 1.069  -0.146 1.017  -0.234 0.938  -0.311 0.848  -0.341 0.757  -0.462 0.757  -0.519 0.662  -0.561 0.558  -0.574 0.443  -0.689 0.405  -0.728 0.312  -0.728 0.190  -0.780 0.121  -0.780 -0.000  -0.780 -0.121  -0.780 -0.243  -0.780 -0.364  -0.780 -0.485  -0.676 -0.502  -0.652 -0.599  -0.624 -0.692  -0.514 -0.704  -0.444 -0.756  -0.345 -0.808  -0.234 -0.833  -0.146 -0.912  -0.024 -0.912  0.097 -0.912  0.166 -0.964  0.287 -0.964  0.409 -0.964  0.530 -0.964  0.650 -0.957  0.765 -0.919  0.829 -0.822  0.942 -0.808  1.045 -0.790  1.132 -0.756  1.149 -0.651
2#tos#f2#f2067064/g  0.219 0.532  0.291 0.660  0.363 0.815  0.341 0.985  0.327 1.158  0.241 1.250  0.148 1.363  0.036 1.430  -0.107 1.466  -0.285 1.465  -0.428 1.358  -0.463 1.194  -0.463 1.015  -0.463 0.836  -0.463 0.657  -0.374 0.568  -0.217 0.496  -0.038 0.496  0.126 0.532  0.232 0.604  0.363 0.652  0.255 0.628  0.223 0.463  0.183 0.301  0.183 0.122  0.183 -0.057  0.183 -0.236  0.183 -0.414  0.183 -0.593  0.183 -0.772  0.183 -0.951  0.203 -1.125  0.219 -1.300  0.164 -1.444  0.148 -1.606  -0.014 -1.624  -0.191 -1.616  -0.284 -1.509  -0.390 -1.374  -0.463 -1.247  -0.463 -1.068  -0.463 -0.889  -0.427 -0.726  -0.320 -0.583  -0.199 -0.469  -0.104 -0.370  0.051 -0.295  0.221 -0.259  0.400 -0.259  0.579 -0.259
2#tos#f2#f2067064/h  -0.470 2.251  -0.556 2.205  -0.556 1.985  -0.556 1.766  -0.556 1.546  -0.556 1.327  -0.556 1.108  -0.556 0.888  -0.556 0.669  -0.556 0.449  -0.556 0.230  -0.556 0.011  -0.556 -0.209  -0.556 -0.428  -0.556 -0.648  -0.556 -0.867  -0.556 -1.086  -0.599 -1.154  -0.556 -0.945  -0.549 -0.733  -0.399 -0.592  -0.314 -0.405  -0.234 -0.248  -0.153 -0.084  -0.023 0.046  0.120 0.175  0.292 0.289  0.417 0.166  0.510 -0.032  0.602 -0.231  0.695 -0.430  0.788 -0.629  0.881 -0.828  0.935 -0.962  0.802 -0.787  0.670 -0.613  0.537 -0.438  0.404 -0.263  0.272 -0.088  0.139 0.087  0.006 0.261  0.139 0.262  0.315 0.219  0.395 0.080  0.482 -0.053  0.497 -0.257  0.525 -0.449  0.540 -0.662  0.575 -0.863  0.655 -1.036
2#tos#f2#f2067064/i  -0.615 -1.200  -0.529 -1.099  -0.456 -0.966  -0.424 -0.817  -0.360 -0.674  -0.258 -0.600  -0.258 -0.443  -0.258 -0.286  -0.189 -0.168  -0.178 -0.021  -0.178 0.136  -0.139 0.047  -0.139 -0.110  -0.139 -0.267  -0.139 -0.424  -0.139 -0.581  -0.079 -0.723  -0.059 -0.876  0.035 -0.962  0.175 -1.002  0.252 -1.081  0.404 -1.116  0.537 -1.098  0.643 -1.027  0.763 -0.930  0.854 -0.859  0.825 -0.709  0.750 -0.571  0.676 -0.433  0.601 -0.295  0.526 -0.157  0.452 -0.019  0.377 0.119  0.302 0.257  0.228 0.395  0.153 0.533  0.078 0.671  0.004 0.809  -0.071 0.947  -0.146 1.085  -0.220 1.223  -0.295 1.361  -0.370 1.499  -0.444 1.637  -0.584 1.650  -0.603 1.568  -0.497 1.500  -0.391 1.435  -0.258 1.379  -0.218 1.262
2#tos#f2#f2067064/j  0.387 0.864  0.280 0.825  0.253 0.706  0.253 0.561  0.242 0.419  0.200 0.286  0.200 0.141  0.253 0.008  0.280 -0.126  0.280 -0.272  0.307 -0.406  0.307 -0.552  0.307 -0.697  0.307 -0.842  0.242 -0.955  0.227 -1.084  0.120 -1.146  0.040 -1.248  -0.045 -1.329  -0.128 -1.397  -0.250 -1.436  -0.388 -1.429  -0.454 -1.329  -0.488 -1.209  -0.549 -1.095  -0.549 -0.950  -0.495 -0.827  -0.415 -0.715  -0.327 -0.653  -0.265 -0.543  -0.240 -0.400  -0.214 -0.257  -0.188 -0.114  -0.163 0.030  -0.137 0.173  -0.112 0.316  -0.086 0.459  -0.061 0.602  -0.035 0.745  -0.009 0.889  0.016 1.032  0.042 1.175  0.067 1.318  0.093 1.461  0.118 1.604  -0.018 1.612  0.051 1.566  0.173 1.500  0.237 1.398  0.334 1.318
2#tos#f2#f2067064/k  -0.283 2.182  -0.428 2.198  -0.428 1.973  -0.428 1.748  -0.428 1.523  -0.428 1.298  -0.428 1.073  -0.428 0.848  -0.428 0.623  -0.428 0.398  -0.476 0.181  -0.476 -0.044  -0.476 -0.269  -0.476 -0.494  -0.476 -0.719  -0.476 -0.944  -0.465 -1.166  -0.428 -1.290  -0.335 -1.092  -0.214 -0.902  -0.094 -0.712  0.026 -0.522  0.146 -0.332  0.266 -0.141  0.386 0.049  0.506 0.239  0.626 0.429  0.696 0.591  0.586 0.545  0.413 0.420  0.297 0.278  0.104 0.175  0.006 0.002  -0.155 -0.100  -0.334 -0.233  -0.488 -0.348  -0.620 -0.469  -0.415 -0.378  -0.210 -0.286  -0.004 -0.195  0.201 -0.104  0.151 -0.162  0.325 -0.258  0.423 -0.436  0.582 -0.562  0.728 -0.709  0.856 -0.806  1.004 -0.943  1.114 -1.063  1.307 -1.095
2#tos#f2#f2067064/p  -0.090 1.195  -0.250 1.230  -0.268 1.054  -0.268 0.859  -0.268 0.665  -0.268 0.470  -0.268 0.275  -0.268 0.080  -0.268 -0.114  -0.233 -0.303  -0.233 -0.498  -0.233 -0.693  -0.233 -0.888  -0.206 -1.079  -0.197 -1.273  -0.197 -1.467  -0.175 -1.657  -0.162 -1.848  -0.162 -1.893  -0.157 -1.699  -0.147 -1.504  -0.138 -1.310  -0.128 -1.115  -0.119 -0.920  -0.109 -0.726  -0.099 -0.531  -0.090 -0.337  -0.080 -0.142  -0.071 0.052  -0.061 0.247  -0.051 0.441  -0.042 0.636  -0.032 0.830  -0.023 1.025  -0.143 1.071  -0.078 1.159  0.081 1.217  0.267 1.230  0.462 1.230  0.628 1.138  0.727 1.004  0.798 0.853  0.774 0.662  0.748 0.479  0.604 0.372  0.460 0.271  0.325 0.153  0.155 0.091  -0.017 0.022  -0.197 -0.013
2#tos#f2#f2067064/r  -0.077 1.502  -0.225 1.502  -0.295 1.425  -0.295 1.278  -0.295 1.130  -0.295 0.983  -0.265 0.843  -0.241 0.701  -0.241 0.554  -0.241 0.407  -0.241 0.259  -0.241 0.112  -0.241 -0.035  -0.241 -0.182  -0.241 -0.330  -0.241 -0.477  -0.241 -0.624  -0.241 -0.772  -0.241 -0.919  -0.241 -1.066  -0.241 -1.214  -0.241 -1.361  -0.241 -1.508  -0.241 -1.552  -0.350 -1.514  -0.350 -1.367  -0.350 -1.219  -0.350 -1.072  -0.332 -0.932  -0.295 -0.800  -0.295 -0.653  -0.295 -0.505  -0.295 -0.358  -0.219 -0.258  -0.087 -0.192  -0.034 -0.058  0.018 0.071  0.086 0.190  0.110 0.327  0.222 0.412  0.303 0.519  0.373 0.630  0.509 0.678  0.642 0.739  0.789 0.739  0.914 0.793  1.061 0.793  1.208 0.793  1.356 0.793  1.503 0.793
2#tos#f2#f2067064/s  0.879 0.642  0.982 0.686  0.982 0.832  0.851 0.847  0.760 0.921  0.635 0.989  0.495 1.009  0.359 1.060  0.231 1.103  0.085 1.103  -0.061 1.103  -0.207 1.103  -0.342 1.056  -0.487 1.052  -0.570 0.949  -0.657 0.890  -0.708 0.796  -0.759 0.701  -0.759 0.555  -0.759 0.409  -0.635 0.386  -0.605 0.270  -0.497 0.233  -0.372 0.181  -0.349 0.058  -0.234 0.028  -0.147 -0.069  -0.009 -0.091  0.122 -0.157  0.239 -0.241  0.373 -0.298  0.470 -0.374  0.583 -0.443  0.640 -0.569  0.675 -0.707  0.670 -0.851  0.586 -0.964  0.499 -1.047  0.361 -1.060  0.270 -1.150  0.124 -1.150  -0.000 -1.201  -0.146 -1.201  -0.292 -1.201  -0.387 -1.150  -0.503 -1.119  -0.503 -0.973  -0.569 -0.894  -0.605 -1.004  -0.708 -1.047
2#tos#f2#f2067064/u  -0.802 1.095  -0.943 1.033  -1.051 0.985  -1.051 0.829  -1.051 0.673  -1.051 0.517  -1.051 0.361  -1.051 0.205  -1.051 0.049  -1.051 -0.107  -1.051 -0.263  -1.051 -0.418  -1.000 -0.562  -0.984 -0.713  -0.864 -0.794  -0.748 -0.835  -0.607 -0.897  -0.451 -0.897  -0.298 -0.891  -0.188 -0.781  -0.051 -0.707  0.059 -0.597  0.132 -0.471  0.197 -0.331  0.273 -0.196  0.348 -0.063  0.381 0.087  0.446 0.228  0.515 0.367  0.568 0.511  0.568 0.667  0.568 0.822  0.568 0.978  0.529 1.095  0.506 0.962  0.506 0.806  0.506 0.650  0.506 0.494  0.556 0.359  0.568 0.208  0.617 0.064  0.630 -0.089  0.653 -0.235  0.724 -0.370  0.814 -0.461  0.954 -0.487  1.024 -0.626  1.128 -0.710  1.221 -0.773  1.377 -0.773
2#tos#f2#f2067064/v  -1.266 -0.010  -1.376 -0.120  -1.260 -0.063  -1.181 0.066  -1.147 0.215  -1.088 0.345  -1.053 0.466  -0.969 0.571  -0.946 0.704  -0.791 0.704  -0.731 0.798  -0.612 0.811  -0.552 0.716  -0.493 0.585  -0.493 0.430  -0.484 0.279  -0.433 0.145  -0.433 -0.010  -0.433 -0.165  -0.433 -0.320  -0.326 -0.367  -0.314 -0.511  -0.314 -0.666  -0.314 -0.821  -0.300 -0.962  -0.255 -1.071  -0.109 -1.081  0.027 -1.036  0.137 -0.927  0.161 -0.782  0.182 -0.633  0.268 -0.504  0.383 -0.405  0.459 -0.296  0.492 -0.155  0.578 -0.036  0.578 0.119  0.652 0.213  0.697 0.360  0.746 0.466  0.782 0.585  0.936 0.583  1.053 0.511  1.151 0.417  1.231 0.289  1.351 0.253  1.410 0.158  1.457 0.050  1.612 0.050  1.767 0.050
2#tos#f2#f2067064/w  -1.416 0.251  -1.535 0.160  -1.458 0.254  -1.391 0.387  -1.255 0.481  -1.162 0.615  -1.007 0.594  -1.007 0.418  -1.007 0.243  -1.007 0.067  -1.007 -0.109  -0.961 -0.274  -0.942 -0.431  -0.870 -0.573  -0.798 -0.704  -0.622 -0.704  -0.471 -0.623  -0.372 -0.480  -0.316 -0.326  -0.206 -0.204  -0.092 -0.102  -0.052 0.064  -0.017 0.206  0.039 0.325  0.084 0.456  0.101 0.524  0.175 0.422  0.175 0.246  0.175 0.070  0.175 -0.106  0.175 -0.282  0.194 -0.450  0.266 -0.604  0.382 -0.697  0.511 -0.749  0.632 -0.672  0.731 -0.546  0.812 -0.397  0.824 -0.224  0.857 -0.056  0.902 0.092  0.948 0.240  0.948 0.416  1.039 0.535  1.181 0.569  1.332 0.529  1.415 0.407  1.493 0.285  1.636 0.251  1.766 0.206
2#tos#f2#f2067064/x  -1.032 0.210  -1.246 0.203  -1.352 0.225  -1.224 0.317  -1.118 0.444  -0.933 0.530  -0.819 0.637  -0.652 0.690  -0.485 0.637  -0.339 0.561  -0.315 0.354  -0.180 0.206  -0.150 -0.008  0.032 -0.109  0.034 -0.328  0.103 -0.494  0.194 -0.656  0.262 -0.817  0.354 -0.969  0.461 -1.123  0.620 -1.184  0.732 -1.161  0.751 -0.941  0.769 -0.721  0.787 -0.501  0.806 -0.281  0.824 -0.061  0.842 0.158  0.861 0.378  0.879 0.598  0.897 0.818  0.916 1.038  0.934 1.257  0.887 1.235  0.777 1.085  0.609 0.988  0.478 0.814  0.398 0.627  0.222 0.495  0.062 0.345  0.016 0.145  -0.171 0.028  -0.354 -0.085  -0.467 -0.274  -0.553 -0.472  -0.663 -0.647  -0.782 -0.818  -0.824 -1.021  -0.919 -1.176  -0.926 -1.176
2#tos#f2#f2067064/y  -0.473 1.219  -0.589 1.147  -0.589 0.982  -0.589 0.816  -0.589 0.651  -0.439 0.636  -0.275 0.640  -0.174 0.768  -0.048 0.868  0.100 0.942  0.147 1.063  0.248 1.164  0.291 1.296  0.339 1.413  0.303 1.444  0.236 1.307  0.193 1.153  0.187 0.990  0.187 0.824  0.187 0.659  0.187 0.494  0.187 0.328  0.187 0.163  0.187 -0.002  0.187 -0.167  0.187 -0.333  0.226 -0.492  0.226 -0.657  0.226 -0.822  0.226 -0.987  0.226 -1.153  0.226 -1.318  0.209 -1.476  0.108 -1.576  -0.058 -1.576  -0.210 -1.528  -0.331 -1.433  -0.383 -1.291  -0.442 -1.158  -0.473 -0.996  -0.446 -0.835  -0.387 -0.714  -0.297 -0.581  -0.185 -0.473  -0.056 -0.371  0.082 -0.310  0.214 -0.256  0.354 -0.179  0.520 -0.179  0.653 -0.101
