2#tos#f2#f2061066/\"  -0.380 1.040  -0.488 0.993  -0.582 0.932  -0.737 0.932  -0.812 0.852  -0.812 0.696  -0.812 0.541  -0.812 0.386  -0.812 0.231  -0.812 0.076  -0.812 -0.079  -0.812 -0.234  -0.812 -0.390  -0.812 -0.545  -0.812 -0.700  -0.812 -0.855  -0.812 -1.010  -0.812 -1.165  -0.758 -1.153  -0.668 -1.027  -0.578 -0.900  -0.488 -0.774  -0.398 -0.648  -0.308 -0.522  -0.217 -0.395  -0.127 -0.269  -0.037 -0.143  0.053 -0.017  0.143 0.110  0.234 0.236  0.324 0.362  0.414 0.488  0.504 0.615  0.594 0.741  0.684 0.867  0.775 0.993  0.808 0.943  0.808 0.787  0.867 0.657  0.916 0.522  0.916 0.367  0.939 0.215  0.988 0.068  1.024 -0.081  1.024 -0.236  1.024 -0.391  1.024 -0.547  1.024 -0.702  1.024 -0.857  1.024 -1.012
2#tos#f2#f2061066/M  -0.556 0.968  -0.651 0.819  -0.651 0.602  -0.651 0.384  -0.683 0.169  -0.683 -0.048  -0.683 -0.266  -0.651 -0.480  -0.651 -0.698  -0.651 -0.915  -0.556 -1.101  -0.524 -1.313  -0.493 -1.312  -0.496 -1.094  -0.499 -0.877  -0.502 -0.659  -0.505 -0.442  -0.508 -0.224  -0.511 -0.007  -0.514 0.211  -0.517 0.428  -0.519 0.646  -0.522 0.863  -0.635 0.984  -0.778 0.991  -0.648 0.839  -0.568 0.672  -0.442 0.504  -0.349 0.316  -0.225 0.156  -0.086 -0.011  0.046 -0.146  0.200 -0.210  0.338 -0.046  0.489 0.105  0.590 0.293  0.744 0.424  0.866 0.603  0.999 0.762  1.131 0.895  1.131 0.696  1.131 0.478  1.131 0.261  1.131 0.043  1.131 -0.174  1.131 -0.392  1.131 -0.610  1.131 -0.827  1.195 -1.030  1.258 -1.228
2#tos#f2#f2061066/N  -0.538 1.162  -0.654 1.068  -0.711 0.908  -0.711 0.708  -0.711 0.508  -0.711 0.308  -0.711 0.108  -0.712 -0.092  -0.745 -0.289  -0.745 -0.489  -0.745 -0.689  -0.745 -0.889  -0.745 -1.089  -0.727 -1.022  -0.700 -0.824  -0.672 -0.626  -0.645 -0.427  -0.618 -0.229  -0.590 -0.031  -0.563 0.167  -0.536 0.365  -0.508 0.563  -0.481 0.762  -0.475 0.954  -0.606 1.023  -0.487 0.891  -0.378 0.738  -0.262 0.575  -0.134 0.424  0.013 0.292  0.118 0.126  0.266 -0.008  0.432 -0.120  0.534 -0.291  0.644 -0.449  0.796 -0.571  0.911 -0.735  1.057 -0.867  1.190 -1.015  1.260 -1.026  1.191 -0.847  1.191 -0.647  1.122 -0.476  1.078 -0.284  1.053 -0.089  1.024 0.107  0.992 0.304  0.922 0.489  0.892 0.686  0.880 0.885
2#tos#f2#f2061066/P  -0.216 1.261  -0.249 1.067  -0.249 0.860  -0.249 0.652  -0.249 0.445  -0.249 0.238  -0.249 0.030  -0.292 -0.169  -0.316 -0.372  -0.316 -0.580  -0.316 -0.787  -0.316 -0.994  -0.316 -1.202  -0.316 -1.409  -0.316 -1.617  -0.183 -1.757  -0.118 -1.776  -0.130 -1.569  -0.142 -1.361  -0.154 -1.154  -0.166 -0.947  -0.178 -0.740  -0.190 -0.533  -0.202 -0.326  -0.214 -0.119  -0.226 0.088  -0.238 0.295  -0.250 0.503  -0.262 0.710  -0.274 0.917  -0.344 1.063  -0.518 1.096  -0.410 1.162  -0.202 1.162  0.005 1.162  0.213 1.162  0.415 1.120  0.575 1.014  0.768 0.945  0.902 0.812  1.008 0.661  0.997 0.454  0.975 0.249  0.920 0.075  0.740 -0.027  0.581 -0.159  0.406 -0.271  0.231 -0.382  0.030 -0.424  -0.150 -0.526
2#tos#f2#f2061066/Q  -0.006 1.213  -0.219 1.213  -0.305 1.050  -0.460 0.930  -0.513 0.739  -0.612 0.553  -0.707 0.366  -0.786 0.169  -0.863 -0.029  -0.892 -0.236  -0.892 -0.449  -0.892 -0.662  -0.867 -0.872  -0.732 -1.021  -0.535 -1.093  -0.339 -1.150  -0.127 -1.150  0.086 -1.150  0.266 -1.042  0.425 -0.903  0.596 -0.777  0.746 -0.631  0.857 -0.450  0.886 -0.244  0.953 -0.043  0.953 0.170  0.953 0.382  0.881 0.581  0.853 0.791  0.746 0.966  0.611 1.122  0.440 1.213  0.227 1.213  0.026 1.171  -0.117 1.026  -0.221 0.867  -0.329 0.683  -0.436 0.500  -0.544 0.317  -0.659 0.179  -0.533 0.059  -0.379 -0.058  -0.232 -0.209  -0.065 -0.323  0.057 -0.497  0.225 -0.620  0.361 -0.779  0.531 -0.906  0.705 -1.028  0.880 -1.150
2#tos#f2#f2061066/R  -0.568 1.249  -0.705 1.143  -0.520 1.178  -0.300 1.178  -0.080 1.178  0.140 1.178  0.361 1.178  0.581 1.178  0.780 1.108  0.950 1.004  0.937 0.786  0.844 0.640  0.688 0.498  0.518 0.360  0.331 0.261  0.144 0.160  -0.071 0.132  -0.289 0.119  -0.443 0.200  -0.486 0.416  -0.529 0.632  -0.591 0.825  -0.541 0.693  -0.519 0.480  -0.497 0.265  -0.497 0.045  -0.497 -0.176  -0.497 -0.396  -0.497 -0.616  -0.497 -0.836  -0.497 -1.056  -0.497 -1.276  -0.497 -1.497  -0.461 -1.368  -0.385 -1.161  -0.310 -0.954  -0.235 -0.748  -0.160 -0.541  -0.084 -0.334  -0.009 -0.127  0.066 0.080  0.085 -0.127  0.179 -0.324  0.292 -0.512  0.409 -0.681  0.568 -0.812  0.707 -0.979  0.863 -1.135  1.048 -1.253  1.267 -1.257
2#tos#f2#f2061066/S  0.739 0.857  0.651 0.787  0.596 0.893  0.483 0.948  0.396 1.030  0.287 1.099  0.156 1.099  0.026 1.099  -0.105 1.099  -0.235 1.099  -0.362 1.084  -0.480 1.030  -0.610 1.030  -0.671 0.960  -0.780 0.917  -0.852 0.811  -0.852 0.680  -0.852 0.550  -0.726 0.545  -0.640 0.471  -0.562 0.367  -0.456 0.296  -0.340 0.238  -0.235 0.160  -0.138 0.074  -0.040 -0.012  0.068 -0.084  0.189 -0.131  0.303 -0.194  0.395 -0.286  0.487 -0.378  0.553 -0.487  0.650 -0.555  0.774 -0.567  0.774 -0.697  0.816 -0.810  0.820 -0.907  0.714 -0.966  0.610 -1.041  0.480 -1.045  0.351 -1.049  0.234 -1.108  0.109 -1.142  -0.021 -1.149  -0.151 -1.149  -0.282 -1.149  -0.412 -1.149  -0.496 -1.075  -0.617 -1.045  -0.748 -1.045
2#tos#f2#f2061066/T  -1.397 0.493  -1.540 0.493  -1.411 0.493  -1.268 0.493  -1.125 0.502  -0.985 0.530  -0.841 0.531  -0.698 0.531  -0.555 0.531  -0.411 0.531  -0.268 0.531  -0.126 0.507  0.016 0.493  0.159 0.493  0.303 0.493  0.438 0.452  0.575 0.418  0.717 0.414  0.839 0.343  0.982 0.343  1.107 0.280  1.239 0.275  1.142 0.354  1.002 0.382  0.861 0.411  0.720 0.439  0.580 0.467  0.439 0.495  0.299 0.523  0.156 0.531  0.031 0.475  -0.086 0.391  -0.214 0.343  -0.180 0.230  -0.154 0.094  -0.154 -0.049  -0.154 -0.193  -0.154 -0.336  -0.100 -0.464  -0.034 -0.591  -0.004 -0.730  -0.004 -0.874  -0.004 -1.017  -0.004 -1.160  -0.004 -1.304  -0.004 -1.447  0.024 -1.582  0.072 -1.711  0.072 -1.855  0.109 -1.992
2#tos#f2#f2061066/Y  -1.093 1.044  -1.132 0.960  -1.056 0.854  -1.035 0.710  -0.910 0.647  -0.873 0.496  -0.834 0.344  -0.757 0.218  -0.654 0.122  -0.611 -0.028  -0.505 -0.129  -0.364 -0.143  -0.226 -0.062  -0.087 0.020  0.051 0.101  0.190 0.182  0.328 0.263  0.466 0.344  0.605 0.426  0.743 0.507  0.881 0.588  1.020 0.669  1.158 0.750  1.284 0.811  1.184 0.752  1.023 0.752  0.920 0.644  0.765 0.605  0.631 0.527  0.499 0.435  0.362 0.352  0.238 0.253  0.090 0.195  -0.054 0.127  -0.204 0.093  -0.291 0.020  -0.251 -0.034  -0.177 -0.164  -0.142 -0.309  -0.142 -0.470  -0.142 -0.630  -0.142 -0.790  -0.131 -0.950  -0.105 -1.108  -0.105 -1.268  -0.105 -1.429  -0.105 -1.589  -0.069 -1.743  -0.069 -1.904  -0.069 -2.064
2#tos#f2#f2061066/Z  -0.571 0.950  -0.689 0.900  -0.802 0.819  -0.878 0.815  -0.739 0.815  -0.602 0.833  -0.465 0.849  -0.326 0.849  -0.188 0.858  -0.053 0.889  0.072 0.950  0.211 0.950  0.347 0.972  0.485 0.984  0.624 0.984  0.763 0.984  0.725 0.984  0.681 0.861  0.579 0.772  0.490 0.668  0.404 0.562  0.358 0.438  0.238 0.375  0.129 0.295  0.046 0.202  0.000 0.071  -0.124 0.009  -0.210 -0.099  -0.289 -0.213  -0.341 -0.341  -0.413 -0.460  -0.464 -0.589  -0.581 -0.658  -0.667 -0.763  -0.730 -0.887  -0.740 -1.024  -0.633 -1.076  -0.494 -1.076  -0.355 -1.076  -0.216 -1.076  -0.077 -1.076  0.062 -1.076  0.201 -1.076  0.340 -1.076  0.479 -1.071  0.617 -1.054  0.751 -1.025  0.879 -0.970  1.012 -0.941  1.151 -0.941
2#tos#f2#f2061066/a  0.257 0.970  0.126 0.877  -0.024 0.941  -0.114 1.076  -0.204 1.155  -0.373 1.155  -0.538 1.119  -0.625 0.990  -0.670 0.829  -0.693 0.669  -0.812 0.550  -0.902 0.417  -0.918 0.253  -1.019 0.118  -1.041 -0.044  -1.041 -0.213  -1.041 -0.383  -1.041 -0.552  -1.041 -0.721  -1.018 -0.885  -0.880 -0.960  -0.713 -0.977  -0.544 -0.977  -0.375 -0.977  -0.205 -0.977  -0.054 -0.901  0.073 -0.791  0.186 -0.666  0.287 -0.531  0.403 -0.408  0.478 -0.257  0.554 -0.106  0.616 0.052  0.669 0.212  0.721 0.373  0.721 0.543  0.721 0.712  0.721 0.873  0.721 0.704  0.721 0.535  0.721 0.365  0.721 0.196  0.721 0.027  0.721 -0.143  0.751 -0.308  0.767 -0.476  0.788 -0.642  0.814 -0.808  0.912 -0.937  0.999 -1.070
2#tos#f2#f2061066/c  0.599 1.286  0.599 1.177  0.547 1.121  0.438 1.121  0.329 1.121  0.220 1.121  0.111 1.121  0.002 1.121  -0.087 1.067  -0.185 1.019  -0.271 0.955  -0.348 0.877  -0.432 0.809  -0.525 0.753  -0.611 0.689  -0.660 0.592  -0.698 0.490  -0.724 0.384  -0.751 0.279  -0.768 0.172  -0.768 0.063  -0.768 -0.046  -0.768 -0.155  -0.768 -0.264  -0.743 -0.366  -0.685 -0.457  -0.685 -0.566  -0.635 -0.644  -0.537 -0.693  -0.480 -0.782  -0.419 -0.872  -0.330 -0.909  -0.221 -0.909  -0.112 -0.909  -0.003 -0.909  0.106 -0.909  0.215 -0.909  0.321 -0.900  0.406 -0.832  0.491 -0.764  0.593 -0.743  0.696 -0.729  0.773 -0.652  0.851 -0.576  0.936 -0.507  1.021 -0.439  1.094 -0.360  1.160 -0.273  1.213 -0.178  1.262 -0.081
2#tos#f2#f2061066/d  0.645 1.946  0.469 1.937  0.299 1.896  0.295 1.723  0.295 1.546  0.295 1.370  0.295 1.193  0.295 1.016  0.295 0.840  0.295 0.663  0.295 0.486  0.295 0.310  0.295 0.133  0.295 -0.044  0.295 -0.220  0.295 -0.397  0.295 -0.574  0.295 -0.750  0.331 -0.919  0.395 -0.852  0.395 -0.676  0.395 -0.499  0.295 -0.364  0.295 -0.187  0.281 -0.013  0.215 0.151  0.171 0.300  0.100 0.422  -0.070 0.449  -0.247 0.449  -0.424 0.449  -0.453 0.302  -0.602 0.275  -0.652 0.148  -0.731 0.050  -0.801 -0.098  -0.842 -0.268  -0.902 -0.422  -0.902 -0.599  -0.902 -0.776  -0.847 -0.897  -0.679 -0.920  -0.555 -1.045  -0.399 -1.097  -0.223 -1.097  -0.046 -1.097  0.131 -1.097  0.307 -1.097  0.477 -1.053  0.645 -0.997
2#tos#f2#f2061066/f  -1.364 0.099  -1.445 -0.024  -1.450 -0.067  -1.280 -0.098  -1.108 -0.108  -0.954 -0.167  -0.802 -0.232  -0.633 -0.255  -0.462 -0.273  -0.289 -0.273  -0.116 -0.273  0.058 -0.273  0.231 -0.273  0.405 -0.273  0.544 -0.356  0.717 -0.356  0.890 -0.356  1.064 -0.356  1.229 -0.320  1.233 -0.154  1.201 0.017  1.169 0.187  1.137 0.358  1.098 0.512  0.945 0.559  0.792 0.633  0.668 0.753  0.587 0.884  0.441 0.975  0.318 1.088  0.206 1.173  0.074 1.214  -0.052 1.147  -0.155 1.039  -0.165 0.867  -0.248 0.719  -0.312 0.558  -0.355 0.390  -0.372 0.219  -0.372 0.045  -0.372 -0.128  -0.372 -0.301  -0.372 -0.475  -0.372 -0.648  -0.372 -0.822  -0.331 -0.988  -0.321 -1.160  -0.244 -1.315  -0.188 -1.476  -0.124 -1.637
2#tos#f2#f2061066/i  0.042 1.440  -0.034 1.440  -0.102 1.426  -0.136 1.358  -0.093 1.303  -0.049 1.271  -0.049 1.194  -0.004 1.163  -0.037 1.121  -0.114 1.121  -0.186 1.117  -0.186 1.040  -0.186 0.964  -0.173 0.889  -0.152 0.816  -0.131 0.742  -0.111 0.668  -0.090 0.595  -0.070 0.521  -0.049 0.448  -0.028 0.374  -0.008 0.300  0.013 0.227  0.033 0.153  0.054 0.079  0.075 0.006  0.095 -0.068  0.116 -0.141  0.133 -0.215  0.133 -0.292  0.082 -0.347  0.042 -0.407  0.042 -0.483  0.042 -0.560  0.042 -0.636  0.042 -0.713  0.042 -0.789  0.042 -0.866  0.042 -0.942  0.042 -1.018  0.042 -1.095  0.042 -1.171  0.054 -1.246  0.079 -1.318  0.088 -1.393  0.088 -1.470  0.088 -1.546  0.090 -1.622  0.133 -1.680  0.133 -1.757
2#tos#f2#f2061066/j  -0.014 1.483  -0.061 1.445  -0.137 1.420  -0.139 1.352  -0.065 1.337  0.008 1.319  0.052 1.282  0.101 1.245  0.176 1.220  0.211 1.161  0.197 1.082  0.183 1.003  0.169 0.924  0.155 0.844  0.141 0.765  0.127 0.686  0.117 0.607  0.090 0.538  0.052 0.473  0.011 0.405  -0.039 0.343  -0.063 0.302  -0.016 0.239  0.019 0.173  0.019 0.092  0.019 0.012  0.019 -0.068  0.019 -0.149  0.059 -0.217  0.084 -0.290  0.084 -0.370  0.084 -0.450  0.084 -0.531  0.084 -0.611  0.084 -0.691  0.084 -0.772  0.084 -0.852  0.046 -0.916  -0.011 -0.973  -0.014 -1.052  -0.014 -1.133  -0.027 -1.211  -0.056 -1.285  -0.101 -1.352  -0.139 -1.422  -0.212 -1.435  -0.278 -1.469  -0.345 -1.500  -0.425 -1.500  -0.506 -1.500
2#tos#f2#f2061066/k  -0.434 1.874  -0.652 1.874  -0.685 1.689  -0.621 1.481  -0.584 1.269  -0.584 1.051  -0.584 0.833  -0.584 0.616  -0.584 0.398  -0.584 0.180  -0.584 -0.038  -0.579 -0.255  -0.534 -0.468  -0.534 -0.686  -0.534 -0.904  -0.534 -1.122  -0.501 -1.247  -0.362 -1.079  -0.222 -0.912  -0.083 -0.744  0.056 -0.576  0.195 -0.408  0.334 -0.241  0.473 -0.073  0.612 0.095  0.751 0.263  0.890 0.430  1.029 0.598  1.169 0.766  1.222 0.569  1.034 0.469  0.824 0.420  0.628 0.369  0.413 0.337  0.210 0.264  0.002 0.218  -0.153 0.118  -0.367 0.101  -0.526 -0.016  -0.584 -0.182  -0.538 -0.381  -0.434 -0.497  -0.304 -0.585  -0.128 -0.685  0.078 -0.725  0.276 -0.804  0.489 -0.846  0.686 -0.936  0.904 -0.936  1.122 -0.936
2#tos#f2#f2061066/l  -0.388 0.871  -0.470 0.871  -0.469 0.940  -0.431 1.013  -0.367 1.055  -0.296 1.067  -0.263 1.135  -0.187 1.147  -0.134 1.195  -0.080 1.239  0.002 1.239  0.072 1.227  0.072 1.145  0.072 1.064  0.091 0.990  0.118 0.919  0.118 0.837  0.118 0.755  0.118 0.673  0.118 0.592  0.118 0.510  0.118 0.428  0.118 0.346  0.118 0.264  0.118 0.183  0.118 0.101  0.118 0.019  0.118 -0.063  0.118 -0.145  0.118 -0.227  0.118 -0.308  0.111 -0.389  0.085 -0.467  0.060 -0.544  0.034 -0.622  0.026 -0.703  0.026 -0.784  0.026 -0.866  0.026 -0.948  0.026 -1.030  0.026 -1.112  0.026 -1.194  0.026 -1.275  0.026 -1.357  0.026 -1.439  0.037 -1.519  0.057 -1.599  0.072 -1.679  0.072 -1.761  0.118 -1.797
2#tos#f2#f2061066/o  -0.023 1.013  -0.171 1.013  -0.314 1.004  -0.419 0.899  -0.540 0.835  -0.644 0.730  -0.722 0.619  -0.756 0.505  -0.803 0.365  -0.812 0.219  -0.812 0.071  -0.812 -0.077  -0.812 -0.224  -0.812 -0.372  -0.812 -0.519  -0.780 -0.662  -0.738 -0.803  -0.703 -0.946  -0.569 -0.992  -0.474 -1.065  -0.333 -1.072  -0.186 -1.072  -0.038 -1.072  0.109 -1.072  0.257 -1.072  0.392 -1.026  0.518 -0.950  0.651 -0.889  0.795 -0.854  0.876 -0.740  0.940 -0.608  0.986 -0.468  0.991 -0.321  0.991 -0.173  0.991 -0.026  0.991 0.122  0.991 0.270  0.943 0.401  0.855 0.519  0.744 0.614  0.615 0.675  0.482 0.719  0.364 0.807  0.229 0.844  0.081 0.844  -0.066 0.844  -0.214 0.844  -0.362 0.844  -0.482 0.779  -0.587 0.675
2#tos#f2#f2061066/q  0.393 0.874  0.305 0.826  0.276 1.050  0.173 1.199  0.039 1.348  -0.213 1.358  -0.378 1.270  -0.552 1.119  -0.641 0.962  -0.753 0.828  -0.808 0.598  -0.885 0.366  -0.929 0.157  -0.885 -0.052  -0.632 -0.052  -0.379 -0.052  -0.181 0.036  -0.029 0.214  0.158 0.379  0.309 0.533  0.437 0.685  0.525 0.850  0.481 0.953  0.450 0.703  0.261 0.590  0.160 0.380  0.041 0.191  -0.050 -0.008  -0.092 -0.220  -0.256 -0.399  -0.353 -0.622  -0.469 -0.842  -0.488 -1.092  -0.574 -1.325  -0.577 -1.577  -0.478 -1.717  -0.356 -1.515  -0.169 -1.353  -0.076 -1.119  0.039 -0.913  0.163 -0.709  0.300 -0.499  0.349 -0.292  0.430 -0.063  0.488 -0.279  0.632 -0.485  0.844 -0.586  1.088 -0.625  1.322 -0.578  1.539 -0.493
2#tos#f2#f2061066/r  -0.147 1.569  -0.275 1.536  -0.336 1.419  -0.336 1.278  -0.336 1.136  -0.336 0.995  -0.336 0.853  -0.336 0.712  -0.336 0.570  -0.336 0.429  -0.336 0.287  -0.336 0.146  -0.336 0.004  -0.336 -0.137  -0.336 -0.279  -0.336 -0.420  -0.336 -0.562  -0.336 -0.703  -0.336 -0.845  -0.331 -0.985  -0.252 -1.103  -0.242 -1.241  -0.242 -1.383  -0.242 -1.524  -0.166 -1.590  -0.147 -1.468  -0.147 -1.326  -0.147 -1.185  -0.147 -1.043  -0.147 -0.902  -0.142 -0.761  -0.114 -0.622  -0.100 -0.482  -0.100 -0.340  -0.077 -0.201  -0.041 -0.066  0.044 0.048  0.125 0.163  0.192 0.286  0.226 0.423  0.320 0.527  0.434 0.594  0.552 0.669  0.602 0.799  0.732 0.815  0.873 0.815  1.015 0.815  1.156 0.815  1.289 0.793  1.361 0.673
2#tos#f2#f2061066/s  0.695 0.864  0.611 0.818  0.603 0.941  0.580 1.049  0.449 1.049  0.371 1.119  0.245 1.141  0.115 1.141  -0.016 1.141  -0.144 1.123  -0.269 1.085  -0.395 1.053  -0.520 1.013  -0.601 0.919  -0.669 0.807  -0.690 0.682  -0.771 0.634  -0.782 0.513  -0.762 0.403  -0.736 0.298  -0.639 0.264  -0.508 0.264  -0.378 0.264  -0.367 0.145  -0.308 0.050  -0.191 -0.008  -0.062 -0.013  0.065 -0.025  0.167 -0.107  0.269 -0.188  0.390 -0.234  0.509 -0.289  0.639 -0.290  0.734 -0.375  0.741 -0.503  0.730 -0.630  0.657 -0.739  0.649 -0.867  0.544 -0.916  0.449 -0.981  0.385 -1.074  0.255 -1.074  0.143 -1.119  0.038 -1.195  -0.070 -1.267  -0.175 -1.346  -0.302 -1.358  -0.429 -1.390  -0.559 -1.397  -0.690 -1.397
2#tos#f2#f2061066/v  -0.521 1.392  -0.607 1.354  -0.724 1.320  -0.779 1.239  -0.723 1.149  -0.693 1.043  -0.693 0.918  -0.693 0.793  -0.693 0.669  -0.611 0.578  -0.553 0.474  -0.528 0.352  -0.468 0.246  -0.393 0.146  -0.372 0.023  -0.351 -0.100  -0.349 -0.224  -0.349 -0.349  -0.349 -0.473  -0.349 -0.598  -0.349 -0.722  -0.296 -0.829  -0.222 -0.929  -0.220 -1.053  -0.220 -1.178  -0.189 -1.295  -0.168 -1.396  -0.080 -1.308  0.008 -1.220  0.075 -1.116  0.131 -1.005  0.189 -0.895  0.253 -0.788  0.311 -0.678  0.354 -0.561  0.398 -0.444  0.443 -0.328  0.489 -0.212  0.545 -0.101  0.609 0.006  0.649 0.121  0.667 0.244  0.686 0.367  0.726 0.486  0.812 0.574  0.901 0.663  0.963 0.767  1.024 0.872  1.112 0.960  1.200 1.048
2#tos#f2#f2061066/w  -0.753 1.311  -0.832 1.181  -0.904 1.049  -0.904 0.857  -0.904 0.665  -0.904 0.473  -0.904 0.280  -0.869 0.094  -0.854 -0.096  -0.854 -0.288  -0.844 -0.477  -0.753 -0.639  -0.753 -0.831  -0.718 -0.806  -0.702 -0.617  -0.644 -0.449  -0.601 -0.275  -0.584 -0.091  -0.431 0.024  -0.399 0.201  -0.334 0.366  -0.298 0.543  -0.189 0.677  -0.083 0.831  0.005 0.820  0.075 0.650  0.106 0.467  0.106 0.275  0.106 0.083  0.106 -0.110  0.106 -0.302  0.106 -0.494  0.114 -0.684  0.157 -0.870  0.178 -1.057  0.335 -1.114  0.527 -1.114  0.579 -0.958  0.662 -0.793  0.759 -0.661  0.931 -0.575  0.965 -0.404  0.965 -0.212  1.059 -0.046  1.167 0.110  1.215 0.294  1.328 0.442  1.419 0.585  1.419 0.777  1.521 0.907
