2#tos#t1#t1007061/$  0.978 0.873  0.753 0.924  0.476 0.924  0.214 0.886  -0.057 0.873  -0.316 0.796  -0.534 0.714  -0.774 0.586  -1.016 0.458  -1.095 0.260  -0.933 0.141  -0.680 0.090  -0.462 -0.008  -0.216 -0.112  0.055 -0.150  0.329 -0.172  0.599 -0.216  0.870 -0.239  1.082 -0.326  0.965 -0.527  0.772 -0.682  0.515 -0.785  0.268 -0.889  0.012 -0.941  -0.265 -0.941  -0.472 -0.812  -0.596 -0.676  -0.516 -0.410  -0.437 -0.145  -0.358 0.121  -0.279 0.386  -0.200 0.652  -0.121 0.918  -0.042 1.183  0.037 1.449  0.082 1.598  0.045 1.357  0.045 1.080  0.097 0.812  0.097 0.534  0.097 0.257  0.097 -0.020  0.097 -0.297  0.097 -0.574  0.097 -0.851  0.097 -1.128  0.097 -1.405  0.149 -1.630  0.149 -1.908  0.097 -2.029
2#tos#t1#t1007061/R  -0.478 1.092  -0.592 0.966  -0.480 0.844  -0.430 0.627  -0.353 0.387  -0.353 0.126  -0.353 -0.136  -0.353 -0.397  -0.353 -0.658  -0.353 -0.920  -0.394 -1.171  -0.394 -1.433  -0.436 -1.254  -0.461 -0.994  -0.487 -0.734  -0.513 -0.473  -0.539 -0.213  -0.565 0.047  -0.591 0.307  -0.617 0.567  -0.643 0.827  -0.892 0.841  -0.776 1.002  -0.552 1.092  -0.291 1.092  -0.047 1.133  0.215 1.133  0.398 1.055  0.652 1.046  0.815 0.925  0.892 0.716  0.941 0.503  0.857 0.325  0.705 0.215  0.527 0.132  0.315 0.034  0.123 -0.035  -0.139 -0.035  -0.359 -0.077  -0.252 -0.077  -0.061 -0.171  0.127 -0.306  0.286 -0.452  0.433 -0.636  0.562 -0.819  0.749 -0.953  0.899 -1.064  1.022 -1.203  1.231 -1.328  1.358 -1.495
2#tos#t1#t1007061/S  0.740 0.736  0.697 0.856  0.670 0.992  0.525 1.036  0.464 1.164  0.344 1.206  0.181 1.206  0.027 1.249  -0.136 1.249  -0.299 1.249  -0.415 1.202  -0.497 1.121  -0.558 1.007  -0.629 0.893  -0.629 0.730  -0.629 0.567  -0.544 0.489  -0.408 0.436  -0.287 0.393  -0.177 0.308  -0.073 0.249  0.055 0.214  0.184 0.179  0.295 0.094  0.416 0.051  0.526 -0.052  0.578 -0.163  0.697 -0.207  0.768 -0.327  0.826 -0.438  0.826 -0.602  0.780 -0.719  0.740 -0.843  0.627 -0.904  0.526 -1.013  0.386 -1.061  0.233 -1.104  0.069 -1.104  -0.076 -1.147  -0.240 -1.147  -0.351 -1.082  -0.492 -1.027  -0.566 -0.933  -0.672 -0.843  -0.715 -0.723  -0.715 -0.559  -0.758 -0.486  -0.758 -0.649  -0.758 -0.812  -0.800 -0.933
2#tos#t1#t1007061/T  -1.526 0.495  -1.425 0.451  -1.281 0.451  -1.137 0.451  -0.993 0.451  -0.849 0.451  -0.707 0.462  -0.567 0.495  -0.423 0.495  -0.279 0.495  -0.135 0.495  0.008 0.500  0.148 0.535  0.292 0.538  0.435 0.538  0.579 0.538  0.723 0.538  0.867 0.538  1.011 0.538  1.155 0.538  1.299 0.538  1.205 0.519  1.063 0.497  0.921 0.474  0.779 0.452  0.637 0.429  0.495 0.407  0.352 0.384  0.210 0.362  0.068 0.340  -0.074 0.317  -0.216 0.295  -0.275 0.279  -0.217 0.192  -0.187 0.078  -0.187 -0.065  -0.187 -0.209  -0.187 -0.353  -0.187 -0.497  -0.178 -0.637  -0.121 -0.762  -0.101 -0.901  -0.101 -1.045  -0.101 -1.189  -0.101 -1.333  -0.101 -1.477  -0.101 -1.620  -0.101 -1.678  -0.101 -1.822  -0.101 -1.966
2#tos#t1#t1007061/V  -0.855 0.575  -0.801 0.399  -0.679 0.257  -0.661 0.038  -0.547 -0.131  -0.503 -0.317  -0.437 -0.482  -0.327 -0.669  -0.281 -0.880  -0.239 -1.092  -0.151 -1.268  -0.033 -1.406  0.025 -1.604  0.069 -1.462  0.145 -1.274  0.231 -1.112  0.289 -0.899  0.377 -0.705  0.382 -0.477  0.496 -0.319  0.598 -0.124  0.688 0.052  0.730 0.272  0.849 0.443  0.865 0.574  0.635 0.569  0.404 0.565  0.174 0.561  -0.056 0.556  -0.286 0.552  -0.516 0.547  -0.746 0.543  -0.976 0.538  -1.206 0.534  -1.421 0.493  -1.338 0.443  -1.108 0.443  -0.877 0.443  -0.647 0.443  -0.417 0.443  -0.187 0.443  0.043 0.443  0.273 0.443  0.493 0.399  0.723 0.399  0.909 0.355  1.139 0.355  1.370 0.355  1.600 0.355  1.786 0.399
2#tos#t1#t1007061/X  0.869 1.382  0.846 1.297  0.701 1.218  0.605 1.050  0.503 0.888  0.356 0.780  0.307 0.607  0.185 0.464  0.094 0.308  0.017 0.146  -0.095 -0.009  -0.242 -0.126  -0.242 -0.319  -0.350 -0.455  -0.440 -0.610  -0.455 -0.797  -0.564 -0.882  -0.626 -1.046  -0.671 -1.080  -0.678 -0.887  -0.686 -0.693  -0.693 -0.500  -0.700 -0.307  -0.708 -0.113  -0.715 0.080  -0.722 0.274  -0.730 0.467  -0.737 0.660  -0.744 0.854  -0.751 1.047  -0.682 1.083  -0.584 0.955  -0.457 0.830  -0.358 0.714  -0.272 0.564  -0.120 0.449  -0.013 0.299  0.087 0.140  0.156 -0.032  0.294 -0.139  0.381 -0.309  0.476 -0.472  0.602 -0.604  0.770 -0.655  0.912 -0.764  0.978 -0.905  1.092 -1.028  1.191 -1.162  1.274 -1.309  1.339 -1.352
2#tos#t1#t1007061/Y  -1.467 0.974  -1.331 0.948  -1.241 0.876  -1.135 0.808  -1.021 0.706  -0.925 0.603  -0.835 0.497  -0.707 0.414  -0.608 0.296  -0.463 0.224  -0.326 0.143  -0.226 0.026  -0.112 -0.022  0.007 -0.065  0.063 -0.194  0.005 -0.200  -0.034 -0.125  0.085 -0.015  0.204 0.095  0.323 0.205  0.442 0.314  0.561 0.424  0.680 0.534  0.799 0.644  0.918 0.754  1.037 0.864  1.132 0.929  1.021 0.847  0.932 0.714  0.810 0.610  0.682 0.513  0.532 0.451  0.403 0.360  0.287 0.248  0.181 0.161  0.071 0.076  0.022 -0.065  -0.022 -0.183  -0.022 -0.345  -0.022 -0.507  -0.022 -0.669  -0.022 -0.831  -0.022 -0.993  -0.067 -1.136  -0.067 -1.298  -0.067 -1.460  -0.097 -1.615  -0.112 -1.773  -0.112 -1.935  -0.112 -1.826
2#tos#t1#t1007061/a  0.700 0.646  0.700 0.468  0.700 0.680  0.635 0.827  0.529 0.971  0.447 1.101  0.235 1.101  0.024 1.101  -0.188 1.101  -0.400 1.101  -0.539 1.002  -0.702 0.869  -0.730 0.669  -0.827 0.516  -0.925 0.402  -0.990 0.217  -0.990 0.006  -0.990 -0.206  -1.055 -0.353  -1.120 -0.550  -1.120 -0.762  -1.077 -0.956  -0.875 -0.979  -0.795 -0.847  -0.646 -0.784  -0.510 -0.693  -0.340 -0.628  -0.244 -0.476  -0.087 -0.336  -0.015 -0.166  0.174 -0.072  0.190 0.126  0.245 0.284  0.419 0.321  0.501 0.451  0.560 0.636  0.505 0.513  0.375 0.382  0.314 0.195  0.245 0.012  0.245 -0.200  0.258 -0.407  0.316 -0.595  0.468 -0.710  0.608 -0.849  0.790 -0.898  0.951 -0.979  1.149 -1.041  1.333 -1.109  1.545 -1.109
2#tos#t1#t1007061/d  0.392 2.070  0.308 1.950  0.350 1.819  0.350 1.647  0.392 1.492  0.392 1.320  0.392 1.148  0.392 0.975  0.392 0.803  0.392 0.631  0.392 0.458  0.405 0.289  0.460 0.127  0.476 -0.043  0.476 -0.216  0.476 -0.388  0.476 -0.560  0.517 -0.722  0.489 -0.883  0.476 -0.912  0.476 -0.739  0.476 -0.567  0.476 -0.395  0.476 -0.223  0.392 -0.134  0.350 -0.003  0.210 0.050  0.083 0.164  -0.037 0.231  -0.193 0.248  -0.298 0.315  -0.470 0.315  -0.643 0.315  -0.731 0.231  -0.853 0.124  -0.939 0.001  -0.946 -0.170  -0.946 -0.342  -1.029 -0.431  -0.992 -0.595  -0.955 -0.746  -0.848 -0.855  -0.702 -0.935  -0.573 -0.981  -0.442 -1.022  -0.270 -1.022  -0.098 -1.022  0.065 -0.981  0.220 -0.939  0.350 -0.897
2#tos#t1#t1007061/f  0.910 1.485  0.786 1.514  0.688 1.568  0.536 1.568  0.383 1.568  0.233 1.559  0.125 1.489  0.050 1.368  0.043 1.218  -0.005 1.113  -0.040 0.996  -0.040 0.844  -0.040 0.691  -0.040 0.539  -0.040 0.386  -0.040 0.234  0.006 0.095  0.043 -0.046  0.043 -0.198  0.084 -0.334  0.125 -0.469  0.125 -0.621  0.125 -0.774  0.167 -0.885  0.167 -1.037  0.167 -1.190  0.153 -1.337  0.095 -1.447  0.043 -1.548  -0.012 -1.569  -0.056 -1.423  -0.100 -1.277  -0.144 -1.131  -0.188 -0.985  -0.232 -0.839  -0.276 -0.693  -0.321 -0.547  -0.365 -0.401  -0.409 -0.255  -0.453 -0.110  -0.497 0.036  -0.555 0.163  -0.659 0.115  -0.541 0.081  -0.389 0.081  -0.236 0.081  -0.084 0.081  0.068 0.081  0.221 0.081  0.373 0.081
2#tos#t1#t1007061/g  0.366 0.683  0.502 0.591  0.731 0.591  0.777 0.773  0.823 0.956  0.782 1.174  0.580 1.231  0.371 1.277  0.143 1.277  -0.085 1.277  -0.313 1.277  -0.488 1.134  -0.626 0.970  -0.704 0.788  -0.720 0.581  -0.602 0.436  -0.381 0.409  -0.152 0.409  0.046 0.379  0.258 0.363  0.440 0.409  0.623 0.454  0.474 0.500  0.271 0.430  0.229 0.228  0.183 0.046  0.183 -0.182  0.274 -0.354  0.320 -0.563  0.366 -0.746  0.320 -0.928  0.229 -1.065  0.129 -1.253  -0.034 -1.373  -0.195 -1.484  -0.419 -1.510  -0.647 -1.510  -0.776 -1.377  -0.868 -1.240  -0.914 -1.058  -0.914 -0.830  -0.789 -0.688  -0.628 -0.573  -0.499 -0.456  -0.307 -0.368  -0.110 -0.295  0.103 -0.231  0.321 -0.185  0.549 -0.185  0.777 -0.185
2#tos#t1#t1007061/h  -0.409 2.035  -0.455 1.912  -0.445 1.748  -0.363 1.612  -0.363 1.443  -0.317 1.293  -0.281 1.132  -0.271 0.965  -0.271 0.796  -0.271 0.627  -0.271 0.458  -0.271 0.289  -0.271 0.119  -0.271 -0.050  -0.271 -0.219  -0.271 -0.388  -0.271 -0.558  -0.298 -0.722  -0.317 -0.889  -0.317 -1.058  -0.409 -1.135  -0.409 -1.088  -0.409 -0.919  -0.409 -0.750  -0.409 -0.581  -0.409 -0.411  -0.317 -0.299  -0.317 -0.130  -0.317 0.039  -0.317 0.208  -0.267 0.327  -0.178 0.408  -0.067 0.466  0.056 0.512  0.226 0.512  0.338 0.420  0.422 0.334  0.550 0.245  0.606 0.127  0.606 -0.043  0.641 -0.204  0.653 -0.370  0.653 -0.539  0.653 -0.709  0.653 -0.878  0.699 -1.028  0.745 -1.151  0.848 -1.265  1.000 -1.313  1.160 -1.334
2#tos#t1#t1007061/i  -0.228 0.083  -0.169 0.028  -0.126 -0.033  -0.220 -0.081  -0.228 -0.188  -0.228 -0.302  -0.228 -0.416  -0.228 -0.531  -0.228 -0.645  -0.228 -0.760  -0.228 -0.874  -0.228 -0.989  -0.228 -1.103  -0.228 -1.217  -0.183 -1.321  -0.119 -1.379  -0.021 -1.395  0.093 -1.395  0.124 -1.294  0.187 -1.200  0.205 -1.095  0.199 -0.981  0.192 -0.866  0.186 -0.752  0.179 -0.638  0.173 -0.524  0.166 -0.409  0.160 -0.295  0.153 -0.181  0.147 -0.067  0.141 0.047  0.134 0.162  0.128 0.276  0.121 0.390  0.115 0.504  0.108 0.619  0.102 0.733  0.095 0.847  0.089 0.961  0.082 1.076  0.076 1.190  0.069 1.304  0.063 1.418  0.056 1.533  0.050 1.647  0.010 1.726  -0.064 1.686  -0.119 1.626  -0.064 1.567  -0.009 1.507
2#tos#t1#t1007061/j  0.420 0.819  0.348 0.751  0.318 0.641  0.313 0.506  0.348 0.381  0.384 0.277  0.384 0.137  0.384 -0.003  0.384 -0.144  0.456 -0.254  0.456 -0.394  0.456 -0.534  0.456 -0.674  0.420 -0.806  0.384 -0.910  0.384 -1.050  0.305 -1.111  0.241 -1.218  0.146 -1.290  0.006 -1.290  -0.134 -1.290  -0.274 -1.290  -0.354 -1.195  -0.461 -1.137  -0.567 -1.053  -0.630 -0.968  -0.679 -0.854  -0.724 -0.752  -0.683 -0.620  -0.629 -0.491  -0.575 -0.361  -0.521 -0.232  -0.467 -0.103  -0.413 0.027  -0.359 0.156  -0.305 0.285  -0.251 0.414  -0.197 0.544  -0.143 0.673  -0.089 0.802  -0.035 0.931  0.019 1.061  0.073 1.190  0.127 1.319  0.181 1.448  0.235 1.578  0.248 1.663  0.170 1.585  0.205 1.481  0.241 1.356
2#tos#t1#t1007061/k  -0.434 2.256  -0.517 2.152  -0.486 1.993  -0.486 1.804  -0.486 1.614  -0.486 1.425  -0.434 1.247  -0.434 1.058  -0.434 0.868  -0.434 0.678  -0.434 0.489  -0.408 0.304  -0.382 0.118  -0.382 -0.072  -0.373 -0.259  -0.330 -0.438  -0.330 -0.628  -0.330 -0.818  -0.330 -1.007  -0.330 -1.197  -0.330 -1.074  -0.233 -0.925  -0.099 -0.791  0.035 -0.657  0.169 -0.523  0.304 -0.389  0.438 -0.254  0.572 -0.120  0.706 0.014  0.840 0.148  0.841 0.227  0.669 0.185  0.483 0.175  0.309 0.137  0.230 0.019  0.040 0.019  -0.128 -0.033  -0.226 -0.125  -0.382 -0.158  -0.328 -0.294  -0.278 -0.434  -0.120 -0.520  0.064 -0.554  0.252 -0.560  0.408 -0.667  0.558 -0.762  0.696 -0.814  0.865 -0.864  0.989 -0.970  0.919 -1.022
2#tos#t1#t1007061/m  -1.130 0.792  -1.097 0.733  -1.025 0.568  -1.005 0.365  -0.953 0.167  -0.953 -0.043  -0.953 -0.253  -0.953 -0.463  -1.000 -0.627  -0.991 -0.804  -0.953 -0.750  -0.894 -0.599  -0.894 -0.389  -0.894 -0.179  -0.789 -0.004  -0.774 0.201  -0.657 0.295  -0.657 0.505  -0.557 0.614  -0.465 0.733  -0.255 0.733  -0.126 0.617  -0.046 0.456  -0.007 0.270  -0.007 0.060  0.052 -0.091  0.052 -0.301  0.052 -0.511  0.052 -0.721  0.052 -0.795  0.102 -0.593  0.117 -0.390  0.273 -0.302  0.347 -0.110  0.347 0.100  0.441 0.246  0.571 0.394  0.702 0.510  0.748 0.674  0.958 0.674  1.168 0.674  1.234 0.529  1.234 0.319  1.234 0.109  1.322 -0.065  1.352 -0.263  1.352 -0.473  1.352 -0.683  1.392 -0.884  1.529 -1.040
2#tos#t1#t1007061/p  -0.140 1.221  -0.140 1.014  -0.095 0.817  -0.095 0.610  -0.095 0.402  -0.073 0.199  -0.049 -0.005  -0.049 -0.212  -0.049 -0.420  -0.049 -0.627  -0.049 -0.835  -0.084 -1.034  -0.095 -1.239  -0.095 -1.446  -0.095 -1.653  -0.118 -1.851  -0.140 -1.790  -0.231 -1.673  -0.243 -1.466  -0.257 -1.260  -0.271 -1.053  -0.285 -0.846  -0.298 -0.639  -0.312 -0.432  -0.326 -0.225  -0.340 -0.018  -0.354 0.189  -0.367 0.396  -0.478 0.493  -0.590 0.619  -0.641 0.780  -0.602 0.948  -0.430 1.006  -0.254 1.085  -0.057 1.130  0.150 1.130  0.357 1.130  0.565 1.130  0.726 1.083  0.824 0.948  0.952 0.815  0.998 0.654  0.900 0.487  0.770 0.333  0.676 0.220  0.489 0.169  0.355 0.033  0.183 -0.053  0.042 -0.119  -0.140 -0.144
2#tos#t1#t1007061/q  0.223 0.724  0.349 0.706  0.349 0.898  0.433 1.006  0.395 1.182  0.307 1.320  0.166 1.395  -0.025 1.386  -0.213 1.353  -0.334 1.222  -0.512 1.150  -0.601 0.991  -0.616 0.806  -0.616 0.614  -0.608 0.430  -0.416 0.430  -0.224 0.430  -0.067 0.514  0.077 0.591  0.223 0.678  0.223 0.722  0.223 0.530  0.097 0.415  0.058 0.229  0.013 0.080  -0.071 -0.077  -0.113 -0.262  -0.155 -0.444  -0.274 -0.572  -0.322 -0.751  -0.322 -0.942  -0.384 -1.120  -0.406 -1.306  -0.406 -1.498  -0.364 -1.648  -0.234 -1.709  -0.051 -1.689  0.068 -1.571  0.180 -1.418  0.237 -1.262  0.281 -1.091  0.357 -0.920  0.396 -0.741  0.517 -0.614  0.517 -0.422  0.517 -0.230  0.433 -0.073  0.378 0.101  0.223 0.197  0.097 0.263
2#tos#t1#t1007061/w  -1.081 0.815  -1.081 0.864  -1.081 0.667  -1.081 0.469  -1.081 0.272  -1.109 0.081  -1.143 -0.108  -1.143 -0.306  -1.143 -0.503  -1.143 -0.700  -1.095 -0.850  -0.897 -0.850  -0.714 -0.790  -0.590 -0.670  -0.539 -0.493  -0.400 -0.354  -0.267 -0.209  -0.218 -0.023  -0.156 0.113  -0.106 0.260  -0.095 0.444  -0.156 0.309  -0.156 0.111  -0.156 -0.086  -0.156 -0.284  -0.155 -0.481  -0.016 -0.620  0.124 -0.760  0.233 -0.912  0.369 -0.973  0.566 -0.973  0.631 -0.818  0.791 -0.704  0.954 -0.599  0.954 -0.402  1.015 -0.219  1.015 -0.022  0.954 0.150  0.915 0.338  0.769 0.454  0.707 0.590  0.673 0.753  0.540 0.830  0.399 0.926  0.398 0.877  0.596 0.877  0.793 0.877  0.991 0.877  1.188 0.877  1.385 0.877
2#tos#t1#t1007061/x  -0.982 0.803  -1.158 0.761  -1.114 0.921  -1.028 1.039  -0.825 1.039  -0.621 1.039  -0.417 1.039  -0.215 1.037  -0.083 0.921  0.020 0.785  0.020 0.582  0.020 0.378  0.020 0.174  0.020 -0.030  -0.028 -0.225  -0.039 -0.427  0.020 -0.607  0.138 -0.692  0.302 -0.762  0.499 -0.796  0.682 -0.847  0.827 -0.906  0.972 -0.965  1.017 -0.929  0.991 -0.727  0.965 -0.525  0.939 -0.323  0.913 -0.121  0.887 0.081  0.861 0.283  0.835 0.485  0.809 0.687  0.759 0.862  0.609 0.808  0.543 0.622  0.397 0.495  0.229 0.401  0.145 0.273  0.020 0.194  -0.074 0.049  -0.225 -0.086  -0.400 -0.191  -0.510 -0.332  -0.615 -0.496  -0.738 -0.659  -0.805 -0.801  -0.938 -0.911  -1.100 -0.998  -1.206 -1.136  -1.335 -1.259
2#tos#t1#t1007061/y  -0.454 1.014  -0.536 0.973  -0.477 0.895  -0.403 0.798  -0.310 0.725  -0.239 0.667  -0.157 0.597  -0.054 0.532  0.047 0.478  0.165 0.473  0.198 0.363  0.279 0.292  0.355 0.347  0.437 0.439  0.519 0.531  0.600 0.624  0.682 0.716  0.763 0.809  0.845 0.901  0.880 0.973  0.784 0.945  0.723 0.860  0.619 0.800  0.613 0.681  0.537 0.605  0.481 0.505  0.394 0.417  0.330 0.320  0.297 0.205  0.231 0.101  0.140 0.021  0.083 -0.072  0.053 -0.190  -0.011 -0.294  -0.086 -0.392  -0.189 -0.460  -0.251 -0.564  -0.297 -0.678  -0.330 -0.795  -0.412 -0.884  -0.454 -0.998  -0.479 -1.107  -0.581 -1.177  -0.650 -1.277  -0.660 -1.398  -0.660 -1.521  -0.751 -1.585  -0.799 -1.673  -0.867 -1.750  -0.949 -1.792
