3#apb#apb02#app0272/S  0.160 0.718  0.228 0.820  0.284 0.929  0.350 1.032  0.372 1.148  0.342 1.266  0.267 1.344  0.151 1.331  0.041 1.276  -0.067 1.219  -0.172 1.156  -0.278 1.093  -0.374 1.018  -0.464 0.935  -0.555 0.852  -0.629 0.755  -0.700 0.655  -0.732 0.537  -0.723 0.423  -0.657 0.321  -0.560 0.246  -0.463 0.171  -0.355 0.116  -0.239 0.075  -0.123 0.035  -0.008 -0.006  0.108 -0.047  0.224 -0.087  0.338 -0.131  0.451 -0.180  0.564 -0.228  0.635 -0.328  0.702 -0.429  0.726 -0.550  0.728 -0.670  0.704 -0.790  0.639 -0.893  0.560 -0.986  0.474 -1.073  0.369 -1.134  0.258 -1.186  0.143 -1.227  0.024 -1.257  -0.097 -1.277  -0.219 -1.288  -0.340 -1.272  -0.454 -1.237  -0.540 -1.149  -0.593 -1.044  -0.497 -1.001
3#apb#apb02#app0272/T  -1.423 0.148  -1.506 0.271  -1.519 0.344  -1.372 0.355  -1.224 0.355  -1.077 0.370  -0.932 0.398  -0.786 0.425  -0.639 0.441  -0.491 0.447  -0.343 0.453  -0.195 0.459  -0.048 0.470  0.100 0.481  0.248 0.492  0.395 0.505  0.542 0.523  0.689 0.542  0.836 0.560  0.984 0.562  1.132 0.562  1.274 0.599  1.360 0.580  1.235 0.509  1.126 0.412  0.983 0.373  0.841 0.334  0.698 0.294  0.555 0.255  0.412 0.216  0.270 0.176  0.127 0.137  -0.016 0.097  -0.151 0.133  -0.275 0.210  -0.323 0.077  -0.315 -0.070  -0.300 -0.217  -0.274 -0.363  -0.248 -0.509  -0.220 -0.654  -0.191 -0.799  -0.162 -0.944  -0.118 -1.086  -0.074 -1.227  -0.016 -1.363  0.052 -1.494  0.132 -1.618  0.159 -1.677  0.088 -1.549
3#apb#apb02#app0272/&  0.320 0.400  0.390 0.655  0.217 0.800  -0.042 0.739  -0.300 0.659  -0.526 0.524  -0.616 0.282  -0.385 0.159  -0.121 0.104  0.143 0.047  0.403 0.006  0.251 -0.006  -0.014 -0.049  -0.244 -0.181  -0.451 -0.350  -0.580 -0.586  -0.634 -0.848  -0.545 -1.093  -0.348 -1.251  -0.081 -1.277  0.185 -1.244  0.414 -1.112  0.496 -0.867  0.486 -0.598  0.346 -0.384  0.284 -0.123  0.229 0.141  0.174 0.405  0.118 0.670  0.063 0.934  0.008 1.198  -0.048 1.462  -0.103 1.727  -0.178 1.960  -0.210 1.694  -0.199 1.428  -0.043 1.249  -0.017 0.980  0.008 0.711  0.034 0.443  0.059 0.174  0.085 -0.095  0.110 -0.364  0.136 -0.632  0.161 -0.901  0.183 -1.012  0.111 -1.253  0.090 -1.521  0.040 -1.784  0.143 -2.019
3#apb#apb02#app0272/T  -1.237 0.591  -1.372 0.641  -1.489 0.611  -1.370 0.554  -1.236 0.507  -1.094 0.489  -0.951 0.474  -0.808 0.486  -0.665 0.497  -0.522 0.509  -0.379 0.516  -0.236 0.521  -0.093 0.526  0.051 0.531  0.194 0.532  0.337 0.532  0.481 0.532  0.624 0.532  0.768 0.532  0.911 0.532  1.054 0.532  1.198 0.532  1.308 0.504  1.182 0.436  1.050 0.381  0.917 0.326  0.785 0.271  0.652 0.216  0.520 0.161  0.387 0.106  0.255 0.052  0.122 -0.003  -0.010 -0.058  -0.143 -0.113  -0.160 0.011  -0.233 0.050  -0.216 -0.092  -0.194 -0.233  -0.177 -0.376  -0.161 -0.518  -0.145 -0.661  -0.131 -0.804  -0.117 -0.946  -0.086 -1.086  -0.054 -1.226  -0.018 -1.365  0.022 -1.502  0.086 -1.627  0.173 -1.741  0.220 -1.870
3#apb#apb02#app0272/P  -0.249 0.613  -0.257 0.834  -0.213 0.982  -0.195 0.760  -0.188 0.537  -0.181 0.314  -0.181 0.091  -0.181 -0.132  -0.181 -0.356  -0.181 -0.579  -0.163 -0.801  -0.130 -1.021  -0.091 -1.241  -0.044 -1.459  0.031 -1.669  0.162 -1.846  0.132 -1.641  0.067 -1.427  0.002 -1.214  -0.064 -1.001  -0.129 -0.787  -0.195 -0.574  -0.261 -0.361  -0.326 -0.147  -0.392 0.066  -0.457 0.279  -0.523 0.493  -0.588 0.706  -0.654 0.919  -0.785 1.067  -0.672 1.164  -0.453 1.204  -0.231 1.227  -0.008 1.237  0.212 1.215  0.432 1.175  0.642 1.100  0.831 0.991  0.979 0.827  1.042 0.613  1.026 0.395  0.948 0.189  0.827 0.003  0.682 -0.167  0.492 -0.282  0.299 -0.394  0.106 -0.507  -0.112 -0.553  -0.327 -0.506  -0.300 -0.337
3#apb#apb02#app0272/a  0.285 0.613  0.364 0.765  0.336 0.935  0.236 1.067  0.071 1.112  -0.102 1.116  -0.263 1.070  -0.410 0.977  -0.550 0.875  -0.683 0.763  -0.812 0.648  -0.911 0.504  -1.010 0.361  -1.100 0.214  -1.152 0.048  -1.204 -0.118  -1.223 -0.289  -1.223 -0.463  -1.156 -0.620  -1.073 -0.773  -0.913 -0.824  -0.743 -0.863  -0.571 -0.848  -0.399 -0.825  -0.236 -0.771  -0.080 -0.694  0.068 -0.606  0.184 -0.477  0.293 -0.343  0.351 -0.179  0.410 -0.016  0.442 0.155  0.469 0.327  0.438 0.498  0.386 0.660  0.315 0.747  0.311 0.575  0.322 0.402  0.342 0.229  0.392 0.063  0.453 -0.100  0.526 -0.258  0.617 -0.403  0.745 -0.520  0.875 -0.636  1.017 -0.735  1.165 -0.822  1.336 -0.856  1.509 -0.868  1.555 -0.815
3#apb#apb02#app0272/c  0.735 0.560  0.719 0.673  0.709 0.788  0.709 0.903  0.735 1.013  0.664 1.100  0.558 1.143  0.447 1.121  0.335 1.093  0.232 1.042  0.130 0.990  0.027 0.939  -0.073 0.882  -0.166 0.815  -0.260 0.748  -0.353 0.681  -0.442 0.609  -0.523 0.528  -0.604 0.447  -0.686 0.365  -0.767 0.284  -0.823 0.185  -0.871 0.081  -0.920 -0.023  -0.968 -0.127  -0.981 -0.241  -0.992 -0.356  -0.971 -0.461  -0.899 -0.551  -0.827 -0.640  -0.741 -0.710  -0.634 -0.752  -0.527 -0.793  -0.418 -0.828  -0.303 -0.835  -0.189 -0.842  -0.074 -0.848  0.041 -0.851  0.155 -0.837  0.269 -0.824  0.383 -0.810  0.496 -0.792  0.606 -0.757  0.715 -0.723  0.825 -0.689  0.932 -0.648  1.035 -0.597  1.136 -0.542  1.234 -0.484  1.189 -0.427
3#apb#apb02#app0272/i  -0.133 -0.129  -0.081 -0.012  -0.029 0.105  -0.006 0.230  0.028 0.353  0.029 0.232  0.029 0.104  0.029 -0.023  0.029 -0.151  0.029 -0.279  0.029 -0.407  0.029 -0.535  0.029 -0.663  0.033 -0.791  0.070 -0.913  0.106 -1.036  0.135 -1.161  0.163 -1.286  0.251 -1.377  0.316 -1.486  0.389 -1.457  0.434 -1.337  0.434 -1.209  0.434 -1.081  0.403 -0.958  0.362 -0.837  0.320 -0.716  0.279 -0.595  0.237 -0.474  0.196 -0.353  0.154 -0.232  0.113 -0.111  0.071 0.010  0.030 0.131  -0.012 0.252  -0.053 0.373  -0.095 0.494  -0.136 0.616  -0.178 0.737  -0.219 0.858  -0.261 0.979  -0.302 1.100  -0.344 1.221  -0.385 1.342  -0.427 1.463  -0.468 1.584  -0.510 1.705  -0.525 1.826  -0.485 1.948  -0.538 1.950
3#apb#apb02#app0272/f  0.456 1.299  0.431 1.447  0.401 1.593  0.313 1.710  0.184 1.726  0.054 1.658  -0.058 1.558  -0.147 1.438  -0.237 1.319  -0.279 1.176  -0.315 1.031  -0.302 0.882  -0.289 0.734  -0.248 0.591  -0.197 0.450  -0.140 0.313  -0.070 0.181  -0.001 0.048  0.062 -0.088  0.124 -0.223  0.184 -0.360  0.241 -0.498  0.298 -0.637  0.338 -0.780  0.376 -0.925  0.408 -1.071  0.413 -1.217  0.371 -1.360  0.298 -1.486  0.151 -1.470  0.010 -1.421  -0.102 -1.333  -0.174 -1.204  -0.207 -1.058  -0.241 -0.913  -0.275 -0.767  -0.309 -0.622  -0.343 -0.476  -0.376 -0.331  -0.422 -0.199  -0.571 -0.199  -0.549 -0.184  -0.403 -0.153  -0.259 -0.113  -0.115 -0.074  0.031 -0.041  0.177 -0.010  0.323 0.021  0.470 0.043  0.516 -0.003
3#apb#apb02#app0272/i  -0.226 -0.348  -0.226 -0.215  -0.226 -0.081  -0.199 0.042  -0.124 0.140  -0.173 0.264  -0.121 0.288  -0.153 0.158  -0.127 0.027  -0.110 -0.106  -0.099 -0.239  -0.088 -0.372  -0.077 -0.506  -0.065 -0.639  -0.054 -0.772  -0.039 -0.904  0.021 -1.024  0.081 -1.143  0.129 -1.268  0.171 -1.395  0.257 -1.495  0.318 -1.504  0.318 -1.370  0.283 -1.244  0.230 -1.121  0.201 -0.992  0.186 -0.859  0.171 -0.726  0.157 -0.593  0.142 -0.460  0.128 -0.327  0.113 -0.194  0.098 -0.061  0.084 0.071  0.069 0.204  0.055 0.337  0.040 0.470  0.026 0.603  0.011 0.736  -0.004 0.869  -0.018 1.002  -0.033 1.135  -0.047 1.268  -0.062 1.401  -0.077 1.534  -0.091 1.667  -0.106 1.800  -0.139 1.923  -0.237 2.010  -0.371 2.010
3#apb#apb02#app0272/c  0.606 0.868  0.589 0.972  0.527 1.045  0.456 1.118  0.362 1.165  0.260 1.152  0.158 1.130  0.062 1.087  -0.032 1.040  -0.124 0.988  -0.209 0.927  -0.295 0.866  -0.381 0.805  -0.457 0.733  -0.522 0.651  -0.588 0.569  -0.654 0.487  -0.714 0.401  -0.755 0.304  -0.796 0.207  -0.836 0.110  -0.877 0.013  -0.897 -0.089  -0.904 -0.194  -0.912 -0.299  -0.878 -0.390  -0.808 -0.469  -0.737 -0.547  -0.651 -0.601  -0.551 -0.634  -0.452 -0.668  -0.352 -0.701  -0.252 -0.734  -0.149 -0.747  -0.043 -0.747  0.062 -0.747  0.167 -0.747  0.272 -0.747  0.378 -0.747  0.482 -0.735  0.586 -0.720  0.691 -0.705  0.795 -0.690  0.898 -0.673  0.998 -0.638  1.097 -0.603  1.196 -0.568  1.296 -0.533  1.395 -0.500  1.495 -0.466
3#apb#apb02#app0272/B  -0.348 0.625  -0.282 0.625  -0.282 0.378  -0.289 0.130  -0.296 -0.117  -0.285 -0.364  -0.282 -0.612  -0.267 -0.857  -0.213 -1.098  -0.160 -0.919  -0.239 -0.688  -0.342 -0.463  -0.445 -0.238  -0.548 -0.013  -0.651 0.212  -0.754 0.437  -0.857 0.662  -0.960 0.887  -1.063 1.019  -0.867 1.143  -0.633 1.225  -0.389 1.263  -0.144 1.293  0.101 1.326  0.346 1.310  0.574 1.227  0.758 1.069  0.811 0.838  0.747 0.600  0.582 0.417  0.405 0.244  0.213 0.089  0.004 -0.043  -0.220 -0.147  -0.447 -0.172  -0.249 -0.063  -0.008 -0.010  0.238 0.004  0.476 -0.054  0.697 -0.165  0.870 -0.332  0.962 -0.559  0.993 -0.803  0.950 -1.041  0.820 -1.247  0.630 -1.405  0.413 -1.520  0.178 -1.505  -0.033 -1.375  -0.215 -1.213
3#apb#apb02#app0272/e  -0.773 -0.110  -0.694 -0.086  -0.551 -0.057  -0.395 -0.050  -0.241 -0.020  -0.087 0.009  0.062 0.050  0.207 0.110  0.355 0.159  0.495 0.227  0.628 0.310  0.748 0.410  0.859 0.519  0.939 0.650  0.944 0.804  0.887 0.947  0.772 1.041  0.626 1.099  0.476 1.144  0.326 1.149  0.174 1.111  0.026 1.061  -0.114 0.991  -0.252 0.919  -0.374 0.821  -0.496 0.723  -0.598 0.605  -0.699 0.485  -0.792 0.360  -0.867 0.223  -0.936 0.083  -0.959 -0.071  -0.983 -0.226  -0.936 -0.373  -0.880 -0.519  -0.791 -0.643  -0.674 -0.746  -0.537 -0.819  -0.393 -0.881  -0.250 -0.943  -0.108 -1.009  0.034 -1.074  0.186 -1.095  0.343 -1.095  0.499 -1.095  0.655 -1.077  0.810 -1.055  0.964 -1.033  1.114 -0.997  1.250 -0.935
3#apb#apb02#app0272/l  -0.449 1.394  -0.449 1.471  -0.432 1.540  -0.367 1.526  -0.306 1.480  -0.276 1.413  -0.254 1.340  -0.232 1.267  -0.209 1.194  -0.188 1.121  -0.170 1.047  -0.153 0.973  -0.135 0.899  -0.118 0.824  -0.100 0.750  -0.085 0.676  -0.074 0.600  -0.062 0.525  -0.051 0.450  -0.040 0.374  -0.028 0.299  -0.017 0.223  -0.011 0.148  -0.011 0.071  -0.011 -0.005  -0.011 -0.081  -0.011 -0.157  -0.011 -0.233  -0.010 -0.310  0.008 -0.383  0.027 -0.457  0.045 -0.531  0.064 -0.605  0.082 -0.679  0.102 -0.753  0.122 -0.826  0.142 -0.900  0.162 -0.974  0.187 -1.045  0.215 -1.116  0.244 -1.187  0.272 -1.258  0.300 -1.328  0.336 -1.393  0.354 -1.407  0.366 -1.341  0.351 -1.266  0.326 -1.194  0.299 -1.123  0.272 -1.052
3#apb#apb02#app0272/l  -0.467 1.325  -0.467 1.396  -0.467 1.468  -0.444 1.469  -0.401 1.412  -0.379 1.345  -0.363 1.276  -0.347 1.206  -0.331 1.136  -0.314 1.067  -0.294 0.999  -0.274 0.930  -0.254 0.862  -0.234 0.793  -0.214 0.725  -0.194 0.656  -0.173 0.588  -0.153 0.519  -0.133 0.451  -0.113 0.382  -0.093 0.314  -0.073 0.245  -0.049 0.178  -0.023 0.112  0.003 0.045  0.029 -0.021  0.055 -0.088  0.081 -0.154  0.106 -0.221  0.124 -0.290  0.140 -0.360  0.156 -0.429  0.173 -0.499  0.189 -0.568  0.206 -0.638  0.222 -0.707  0.238 -0.777  0.254 -0.846  0.270 -0.916  0.286 -0.985  0.300 -1.055  0.314 -1.125  0.328 -1.195  0.346 -1.264  0.369 -1.332  0.385 -1.401  0.385 -1.472  0.420 -1.533  0.420 -1.540  0.460 -1.480
