2#apb#apb02#app0271/E  -0.544 0.765  -0.500 1.018  -0.543 0.749  -0.529 0.475  -0.516 0.202  -0.502 -0.072  -0.472 -0.344  -0.430 -0.615  -0.378 -0.884  -0.331 -1.154  -0.283 -1.143  -0.315 -0.871  -0.350 -0.599  -0.385 -0.327  -0.420 -0.056  -0.455 0.216  -0.490 0.488  -0.525 0.760  -0.560 1.031  -0.647 1.244  -0.456 1.320  -0.183 1.331  0.089 1.354  0.361 1.385  0.620 1.331  0.609 1.200  0.445 0.980  0.282 0.760  0.119 0.539  -0.044 0.319  -0.207 0.099  -0.374 -0.018  -0.298 0.047  -0.029 0.084  0.242 0.113  0.516 0.113  0.783 0.158  0.957 0.091  0.810 -0.140  0.658 -0.368  0.506 -0.596  0.354 -0.824  0.202 -1.052  0.050 -1.280  -0.114 -1.323  0.121 -1.324  0.395 -1.323  0.669 -1.321  0.939 -1.281  1.153 -1.257
2#apb#apb02#app0271/L  -0.303 1.100  -0.359 1.172  -0.429 1.231  -0.446 1.320  -0.458 1.411  -0.467 1.474  -0.467 1.382  -0.464 1.290  -0.450 1.198  -0.436 1.107  -0.424 1.015  -0.418 0.923  -0.412 0.831  -0.406 0.739  -0.390 0.648  -0.373 0.557  -0.356 0.466  -0.346 0.375  -0.351 0.283  -0.356 0.191  -0.361 0.098  -0.359 0.007  -0.344 -0.085  -0.329 -0.176  -0.314 -0.267  -0.300 -0.358  -0.287 -0.450  -0.275 -0.541  -0.263 -0.633  -0.223 -0.716  -0.182 -0.799  -0.152 -0.886  -0.088 -0.925  -0.020 -0.866  0.046 -0.803  0.133 -0.817  0.225 -0.807  0.317 -0.802  0.410 -0.802  0.502 -0.800  0.594 -0.792  0.686 -0.784  0.777 -0.770  0.868 -0.752  0.959 -0.741  1.051 -0.741  1.143 -0.733  1.234 -0.718  1.308 -0.662  1.353 -0.597
2#apb#apb02#app0271/o  -0.576 0.426  -0.551 0.552  -0.595 0.656  -0.723 0.651  -0.850 0.630  -0.919 0.527  -0.981 0.415  -1.031 0.297  -1.071 0.176  -1.112 0.054  -1.122 -0.073  -1.122 -0.201  -1.098 -0.321  -1.018 -0.421  -0.938 -0.521  -0.846 -0.608  -0.738 -0.677  -0.629 -0.746  -0.512 -0.792  -0.387 -0.818  -0.261 -0.843  -0.135 -0.864  -0.009 -0.840  0.117 -0.817  0.243 -0.793  0.368 -0.763  0.490 -0.725  0.613 -0.688  0.728 -0.635  0.830 -0.558  0.930 -0.478  1.015 -0.382  1.100 -0.286  1.147 -0.176  1.147 -0.047  1.140 0.080  1.109 0.205  1.068 0.325  1.011 0.440  0.953 0.555  0.853 0.632  0.746 0.703  0.634 0.762  0.514 0.807  0.389 0.828  0.261 0.828  0.136 0.843  0.018 0.894  -0.105 0.900  -0.232 0.886
2#apb#apb02#app0271/c  0.069 0.463  0.121 0.565  0.190 0.656  0.259 0.745  0.322 0.828  0.286 0.929  0.205 1.010  0.104 1.045  -0.011 1.045  -0.125 1.038  -0.231 0.993  -0.332 0.938  -0.426 0.872  -0.521 0.805  -0.605 0.727  -0.686 0.645  -0.768 0.564  -0.832 0.468  -0.896 0.372  -0.960 0.276  -1.004 0.170  -1.045 0.062  -1.027 -0.051  -1.006 -0.165  -0.955 -0.262  -0.873 -0.344  -0.792 -0.425  -0.693 -0.482  -0.588 -0.528  -0.482 -0.574  -0.377 -0.621  -0.264 -0.643  -0.150 -0.660  -0.036 -0.678  0.078 -0.696  0.193 -0.703  0.308 -0.703  0.423 -0.703  0.539 -0.703  0.654 -0.703  0.769 -0.703  0.885 -0.703  1.000 -0.703  1.111 -0.676  1.220 -0.640  1.328 -0.599  1.434 -0.553  1.433 -0.440  1.390 -0.333  1.361 -0.222
2#apb#apb02#app0271/k  -0.819 1.397  -0.819 1.615  -0.819 1.665  -0.857 1.451  -0.830 1.239  -0.777 1.027  -0.717 0.817  -0.655 0.608  -0.607 0.395  -0.562 0.181  -0.508 -0.030  -0.446 -0.239  -0.391 -0.451  -0.342 -0.663  -0.245 -0.859  -0.174 -1.064  -0.121 -1.228  -0.190 -1.021  -0.206 -0.803  -0.178 -0.591  -0.105 -0.386  0.024 -0.213  0.168 -0.048  0.312 0.116  0.456 0.280  0.600 0.444  0.744 0.608  0.888 0.772  0.991 0.907  0.832 0.787  0.635 0.694  0.450 0.582  0.288 0.436  0.114 0.305  -0.064 0.178  -0.243 0.053  -0.421 -0.074  -0.589 -0.212  -0.671 -0.313  -0.483 -0.421  -0.291 -0.524  -0.093 -0.614  0.117 -0.674  0.330 -0.722  0.544 -0.765  0.757 -0.813  0.967 -0.870  1.175 -0.939  1.384 -1.000  1.448 -1.021
2#apb#apb02#app0271/C  0.352 0.677  0.390 0.772  0.394 0.873  0.420 0.967  0.398 1.067  0.340 1.141  0.248 1.182  0.145 1.182  0.047 1.160  -0.049 1.125  -0.139 1.078  -0.223 1.020  -0.308 0.962  -0.388 0.898  -0.466 0.832  -0.544 0.766  -0.608 0.688  -0.656 0.598  -0.704 0.508  -0.738 0.413  -0.750 0.311  -0.762 0.210  -0.769 0.108  -0.758 0.006  -0.747 -0.096  -0.736 -0.197  -0.686 -0.283  -0.623 -0.364  -0.560 -0.444  -0.490 -0.519  -0.415 -0.589  -0.340 -0.659  -0.265 -0.728  -0.169 -0.762  -0.072 -0.796  0.024 -0.830  0.121 -0.862  0.222 -0.883  0.322 -0.904  0.422 -0.925  0.523 -0.938  0.625 -0.944  0.728 -0.950  0.829 -0.944  0.930 -0.926  1.031 -0.915  1.119 -0.889  1.167 -0.812  1.104 -0.732  1.064 -0.653
2#apb#apb02#app0271/o  -0.088 0.172  -0.020 0.307  -0.104 0.416  -0.252 0.426  -0.402 0.417  -0.551 0.396  -0.675 0.319  -0.788 0.220  -0.895 0.115  -0.968 -0.016  -1.042 -0.148  -1.079 -0.292  -1.100 -0.441  -1.028 -0.573  -0.955 -0.705  -0.865 -0.823  -0.758 -0.930  -0.646 -1.023  -0.495 -1.035  -0.345 -1.046  -0.195 -1.057  -0.047 -1.030  0.101 -1.003  0.245 -0.963  0.380 -0.896  0.515 -0.829  0.647 -0.758  0.760 -0.658  0.872 -0.558  0.969 -0.448  1.006 -0.302  1.037 -0.155  1.048 -0.005  1.060 0.145  1.066 0.295  1.023 0.439  0.979 0.584  0.904 0.710  0.806 0.825  0.691 0.914  0.548 0.962  0.404 1.005  0.253 1.005  0.103 1.005  -0.044 0.989  -0.175 0.916  -0.307 0.842  -0.451 0.846  -0.546 0.786  -0.594 0.643
2#apb#apb02#app0271/.  1.039 1.375  0.987 1.323  0.935 1.271  0.883 1.219  0.831 1.167  0.779 1.115  0.727 1.063  0.675 1.011  0.623 0.959  0.571 0.907  0.519 0.855  0.467 0.803  0.415 0.751  0.363 0.699  0.311 0.647  0.259 0.595  0.207 0.543  0.155 0.491  0.103 0.439  0.051 0.387  -0.001 0.335  -0.050 0.280  -0.091 0.219  -0.132 0.158  -0.172 0.097  -0.213 0.035  -0.254 -0.026  -0.295 -0.087  -0.336 -0.148  -0.376 -0.209  -0.417 -0.271  -0.458 -0.332  -0.499 -0.393  -0.540 -0.454  -0.575 -0.516  -0.557 -0.588  -0.539 -0.659  -0.521 -0.730  -0.504 -0.802  -0.486 -0.873  -0.468 -0.944  -0.450 -1.016  -0.432 -1.087  -0.414 -1.158  -0.397 -1.230  -0.379 -1.301  -0.361 -1.372  -0.343 -1.444  -0.325 -1.515  -0.307 -1.586
2#apb#apb02#app0271/B  -0.541 0.872  -0.489 1.000  -0.489 0.766  -0.489 0.533  -0.460 0.301  -0.416 0.072  -0.352 -0.152  -0.293 -0.378  -0.231 -0.603  -0.156 -0.824  -0.124 -0.861  -0.185 -0.636  -0.267 -0.417  -0.349 -0.199  -0.431 0.020  -0.513 0.239  -0.595 0.457  -0.677 0.676  -0.759 0.895  -0.936 1.006  -0.868 1.061  -0.646 1.114  -0.417 1.147  -0.192 1.206  0.036 1.259  0.258 1.246  0.419 1.086  0.503 0.872  0.481 0.643  0.369 0.440  0.216 0.264  0.051 0.099  -0.130 -0.048  -0.337 -0.147  -0.320 -0.189  -0.090 -0.167  0.141 -0.147  0.371 -0.182  0.597 -0.238  0.820 -0.307  1.011 -0.438  1.144 -0.623  1.170 -0.852  1.111 -1.077  1.002 -1.283  0.843 -1.449  0.623 -1.528  0.394 -1.563  0.165 -1.523  0.029 -1.443
2#apb#apb02#app0271/u  -1.092 0.639  -1.162 0.763  -1.155 0.900  -1.178 0.874  -1.178 0.731  -1.166 0.589  -1.150 0.448  -1.110 0.311  -1.069 0.174  -1.021 0.040  -0.973 -0.094  -0.913 -0.223  -0.844 -0.347  -0.759 -0.460  -0.658 -0.561  -0.540 -0.633  -0.405 -0.678  -0.274 -0.735  -0.142 -0.781  -0.020 -0.731  0.067 -0.620  0.129 -0.493  0.145 -0.351  0.154 -0.209  0.140 -0.067  0.129 0.075  0.129 0.217  0.128 0.360  0.100 0.499  0.072 0.639  0.072 0.782  0.019 0.895  0.088 0.778  0.151 0.651  0.220 0.526  0.289 0.401  0.374 0.287  0.462 0.175  0.550 0.063  0.639 -0.048  0.729 -0.159  0.848 -0.238  0.967 -0.317  1.084 -0.398  1.200 -0.480  1.327 -0.539  1.466 -0.570  1.598 -0.621  1.726 -0.684  1.804 -0.781
2#apb#apb02#app0271/d  0.070 -0.141  0.188 0.021  0.037 0.153  -0.160 0.172  -0.355 0.143  -0.531 0.026  -0.704 -0.095  -0.846 -0.241  -0.914 -0.441  -0.961 -0.640  -0.923 -0.848  -0.755 -0.975  -0.579 -1.090  -0.389 -1.174  -0.182 -1.215  0.027 -1.228  0.238 -1.214  0.420 -1.128  0.543 -0.960  0.582 -0.756  0.570 -0.547  0.537 -0.339  0.461 -0.143  0.367 0.045  0.257 0.225  0.077 0.320  0.014 0.507  -0.023 0.714  -0.060 0.922  -0.098 1.129  -0.135 1.337  -0.177 1.543  -0.237 1.745  -0.267 1.856  -0.209 1.653  -0.149 1.451  -0.086 1.250  -0.026 1.048  0.034 0.846  0.083 0.641  0.130 0.435  0.179 0.230  0.236 0.027  0.297 -0.175  0.381 -0.368  0.461 -0.563  0.523 -0.764  0.596 -0.962  0.677 -1.157  0.778 -1.275
2#apb#apb02#app0271/g  -0.280 1.047  -0.299 1.181  -0.410 1.241  -0.532 1.194  -0.616 1.085  -0.688 0.968  -0.717 0.833  -0.717 0.695  -0.641 0.581  -0.538 0.496  -0.414 0.434  -0.277 0.432  -0.140 0.441  -0.011 0.488  0.098 0.571  0.182 0.679  0.232 0.804  0.214 0.939  0.176 1.071  0.075 1.093  0.008 0.977  -0.002 0.840  0.029 0.706  0.064 0.572  0.102 0.439  0.167 0.318  0.238 0.200  0.316 0.086  0.396 -0.026  0.463 -0.147  0.524 -0.270  0.576 -0.398  0.623 -0.528  0.650 -0.663  0.676 -0.799  0.667 -0.937  0.656 -1.074  0.629 -1.209  0.553 -1.324  0.440 -1.400  0.305 -1.430  0.171 -1.398  0.044 -1.347  -0.077 -1.282  -0.195 -1.210  -0.312 -1.137  -0.427 -1.061  -0.541 -0.982  -0.659 -0.911  -0.782 -0.880
2#apb#apb02#app0271/e  -0.286 0.238  -0.343 0.322  -0.318 0.238  -0.178 0.238  -0.047 0.282  0.090 0.306  0.227 0.330  0.350 0.393  0.457 0.481  0.531 0.597  0.546 0.735  0.520 0.868  0.451 0.988  0.348 1.083  0.241 1.169  0.103 1.145  -0.036 1.145  -0.157 1.090  -0.269 1.006  -0.394 0.945  -0.519 0.885  -0.606 0.776  -0.693 0.667  -0.758 0.544  -0.816 0.417  -0.854 0.283  -0.876 0.146  -0.881 0.008  -0.857 -0.129  -0.833 -0.267  -0.794 -0.399  -0.717 -0.515  -0.639 -0.631  -0.548 -0.736  -0.449 -0.834  -0.346 -0.926  -0.211 -0.962  -0.076 -0.998  0.060 -1.023  0.200 -1.023  0.339 -1.023  0.479 -1.021  0.618 -1.004  0.756 -0.987  0.893 -0.964  1.024 -0.914  1.154 -0.864  1.275 -0.797  1.386 -0.712  1.453 -0.594
2#apb#apb02#app0271/t  -0.355 1.411  -0.336 1.582  -0.310 1.751  -0.331 1.823  -0.287 1.662  -0.210 1.509  -0.163 1.345  -0.129 1.178  -0.096 1.010  -0.066 0.841  -0.038 0.672  -0.010 0.503  0.024 0.336  0.067 0.170  0.111 0.004  0.159 -0.160  0.211 -0.323  0.262 -0.486  0.319 -0.648  0.376 -0.809  0.419 -0.975  0.455 -1.142  0.503 -1.306  0.565 -1.466  0.587 -1.534  0.543 -1.377  0.444 -1.237  0.344 -1.098  0.212 -0.990  0.079 -0.881  -0.053 -0.772  -0.185 -0.663  -0.317 -0.555  -0.450 -0.446  -0.582 -0.337  -0.714 -0.229  -0.830 -0.104  -0.968 -0.042  -0.868 0.011  -0.698 0.031  -0.529 0.061  -0.361 0.091  -0.193 0.123  -0.025 0.155  0.144 0.183  0.315 0.198  0.485 0.212  0.656 0.226  0.827 0.239  0.997 0.252
