2#tos#f3#f3011063/#  -0.572 0.285  -1.016 0.285  -1.212 0.086  -0.784 0.152  -0.409 0.261  0.030 0.324  0.399 0.526  0.833 0.551  1.249 0.617  1.177 0.492  0.783 0.288  0.389 0.085  -0.006 -0.119  -0.400 -0.322  -0.720 -0.601  -0.966 -0.970  -1.369 -1.014  -0.971 -0.976  -0.662 -0.800  -0.232 -0.702  0.132 -0.458  0.559 -0.345  0.969 -0.176  1.094 0.020  0.787 0.341  0.481 0.662  0.174 0.983  -0.132 1.304  -0.506 1.296  -0.506 0.853  -0.506 0.409  -0.506 -0.035  -0.506 -0.479  -0.506 -0.923  -0.485 -1.254  -0.330 -0.839  -0.174 -0.423  -0.018 -0.008  0.138 0.408  0.294 0.823  0.450 1.239  0.362 1.547  0.358 1.107  0.358 0.664  0.358 0.220  0.358 -0.224  0.358 -0.668  0.358 -1.112  0.424 -1.540  0.623 -1.840
2#tos#f3#f3011063/W  -0.944 0.858  -0.878 0.969  -0.859 0.755  -0.845 0.540  -0.845 0.321  -0.845 0.102  -0.845 -0.117  -0.851 -0.335  -0.878 -0.552  -0.878 -0.771  -0.878 -0.990  -0.845 -1.195  -0.723 -1.292  -0.653 -1.100  -0.547 -0.924  -0.460 -0.732  -0.354 -0.541  -0.301 -0.330  -0.249 -0.121  -0.181 0.079  -0.055 0.258  0.007 0.467  0.029 0.683  0.078 0.887  0.147 1.088  0.147 1.307  0.213 1.182  0.213 0.963  0.210 0.745  0.180 0.529  0.180 0.311  0.180 0.092  0.180 -0.127  0.180 -0.346  0.180 -0.565  0.213 -0.778  0.213 -0.997  0.316 -1.159  0.456 -1.016  0.548 -0.825  0.633 -0.630  0.739 -0.439  0.809 -0.233  0.892 -0.031  0.965 0.174  1.074 0.364  1.144 0.570  1.205 0.778  1.271 0.969  1.305 1.155
2#tos#f3#f3011063/X  -0.631 1.299  -0.631 1.493  -0.611 1.404  -0.570 1.218  -0.483 1.044  -0.451 0.857  -0.370 0.681  -0.317 0.494  -0.270 0.306  -0.223 0.117  -0.176 -0.071  -0.140 -0.261  -0.123 -0.451  -0.065 -0.636  -0.059 -0.829  -0.050 -1.022  -0.018 -1.213  0.023 -1.390  0.121 -1.262  0.196 -1.083  0.271 -0.904  0.347 -0.725  0.422 -0.546  0.498 -0.367  0.573 -0.188  0.648 -0.009  0.724 0.170  0.799 0.349  0.874 0.528  0.950 0.708  1.025 0.887  1.016 1.074  0.881 1.095  0.739 0.996  0.612 0.861  0.493 0.711  0.341 0.589  0.217 0.441  0.085 0.299  -0.039 0.150  -0.168 0.005  -0.294 -0.141  -0.395 -0.307  -0.512 -0.462  -0.650 -0.599  -0.745 -0.767  -0.835 -0.935  -0.892 -1.084  -1.058 -1.171  -1.080 -1.356
2#tos#f3#f3011063/Y  -0.545 1.009  -0.564 1.075  -0.516 0.985  -0.446 0.919  -0.420 0.817  -0.340 0.737  -0.290 0.638  -0.233 0.556  -0.163 0.481  -0.061 0.518  0.033 0.581  0.127 0.644  0.221 0.707  0.316 0.769  0.410 0.832  0.504 0.895  0.603 0.943  0.568 1.009  0.455 1.009  0.412 0.912  0.310 0.870  0.268 0.767  0.193 0.682  0.119 0.604  0.027 0.548  -0.051 0.481  -0.090 0.376  -0.084 0.306  -0.040 0.229  -0.018 0.121  -0.018 0.008  -0.018 -0.106  -0.018 -0.219  -0.018 -0.332  -0.018 -0.445  -0.018 -0.558  -0.018 -0.671  -0.018 -0.785  -0.018 -0.898  -0.018 -1.011  -0.018 -1.124  -0.018 -1.237  -0.018 -1.351  -0.018 -1.464  -0.018 -1.577  -0.018 -1.690  -0.051 -1.798  -0.051 -1.911  -0.135 -1.959  -0.183 -1.893
2#tos#f3#f3011063/Z  -0.850 1.208  -1.015 1.169  -0.912 1.093  -0.709 1.093  -0.506 1.093  -0.304 1.093  -0.103 1.108  0.094 1.157  0.295 1.169  0.498 1.169  0.701 1.169  0.829 1.095  0.753 0.946  0.620 0.808  0.522 0.634  0.367 0.507  0.265 0.338  0.152 0.172  0.039 0.004  -0.113 -0.126  -0.219 -0.296  -0.337 -0.455  -0.449 -0.623  -0.572 -0.772  -0.689 -0.914  -0.774 -1.090  -0.717 -1.159  -0.552 -1.197  -0.350 -1.197  -0.147 -1.197  0.056 -1.197  0.259 -1.197  0.460 -1.204  0.655 -1.236  0.791 -1.169  0.829 -0.982  0.753 -0.808  0.617 -0.658  0.481 -0.508  0.345 -0.358  0.209 -0.207  0.073 -0.057  -0.064 0.093  -0.200 0.243  -0.364 0.330  -0.446 0.406  -0.309 0.285  -0.141 0.182  -0.004 0.056  0.180 -0.014
2#tos#f3#f3011063/a  0.211 0.323  0.373 0.323  0.446 0.413  0.446 0.575  0.446 0.738  0.446 0.900  0.446 1.062  0.374 1.180  0.217 1.203  0.055 1.203  -0.106 1.195  -0.260 1.144  -0.405 1.071  -0.521 0.970  -0.581 0.831  -0.716 0.741  -0.810 0.610  -0.915 0.487  -1.005 0.354  -1.077 0.209  -1.079 0.048  -1.079 -0.115  -1.079 -0.277  -1.079 -0.439  -1.020 -0.543  -0.872 -0.556  -0.710 -0.556  -0.547 -0.556  -0.385 -0.556  -0.253 -0.488  -0.162 -0.361  -0.017 -0.289  0.122 -0.205  0.250 -0.107  0.328 0.023  0.328 0.110  0.328 -0.052  0.328 -0.214  0.328 -0.377  0.347 -0.534  0.397 -0.683  0.487 -0.815  0.563 -0.949  0.680 -0.994  0.752 -1.084  0.915 -1.084  1.077 -1.084  1.196 -0.979  1.353 -0.967  1.442 -0.849
2#tos#f3#f3011063/d  -0.250 -0.321  -0.136 -0.194  -0.013 -0.020  0.065 0.180  0.065 0.404  -0.077 0.555  -0.287 0.586  -0.451 0.451  -0.551 0.257  -0.671 0.071  -0.816 -0.088  -0.944 -0.271  -1.089 -0.438  -1.158 -0.634  -1.185 -0.854  -1.194 -1.077  -1.018 -1.125  -0.798 -1.098  -0.600 -0.999  -0.435 -0.860  -0.264 -0.716  -0.115 -0.549  0.060 -0.414  0.172 -0.229  0.279 -0.032  0.379 0.169  0.465 0.376  0.552 0.582  0.615 0.798  0.702 1.003  0.756 1.221  0.855 1.420  0.869 1.642  0.791 1.594  0.727 1.390  0.589 1.216  0.589 0.992  0.459 0.817  0.390 0.605  0.298 0.405  0.228 0.192  0.144 -0.016  0.116 -0.236  0.100 -0.458  0.100 -0.682  0.100 -0.907  0.139 -1.094  0.266 -1.230  0.490 -1.226  0.694 -1.160
2#tos#f3#f3011063/e  -0.997 0.020  -1.014 -0.088  -0.943 -0.225  -0.798 -0.267  -0.635 -0.267  -0.472 -0.267  -0.309 -0.267  -0.147 -0.267  0.013 -0.248  0.169 -0.202  0.321 -0.149  0.451 -0.052  0.585 0.040  0.677 0.169  0.772 0.296  0.902 0.394  1.019 0.508  1.134 0.623  1.151 0.779  1.199 0.930  1.199 1.093  1.080 1.165  0.917 1.165  0.755 1.165  0.606 1.120  0.498 1.005  0.376 0.903  0.226 0.841  0.079 0.772  -0.014 0.658  -0.075 0.512  -0.200 0.408  -0.335 0.318  -0.449 0.209  -0.523 0.064  -0.615 -0.061  -0.686 -0.194  -0.785 -0.321  -0.813 -0.478  -0.854 -0.634  -0.852 -0.796  -0.806 -0.952  -0.729 -1.088  -0.590 -1.126  -0.480 -1.203  -0.320 -1.221  -0.157 -1.221  0.006 -1.221  0.169 -1.221  0.292 -1.126
2#tos#f3#f3011063/f  0.678 0.961  0.761 1.072  0.853 1.155  0.873 1.289  0.838 1.406  0.744 1.466  0.605 1.466  0.484 1.450  0.379 1.400  0.309 1.291  0.218 1.207  0.173 1.080  0.173 0.942  0.173 0.804  0.138 0.676  0.095 0.551  0.095 0.412  0.095 0.274  0.095 0.136  0.095 -0.002  0.064 -0.137  0.056 -0.274  0.056 -0.412  0.004 -0.529  -0.021 -0.657  -0.026 -0.793  -0.124 -0.890  -0.138 -1.023  -0.170 -1.156  -0.177 -1.293  -0.238 -1.370  -0.360 -1.409  -0.489 -1.399  -0.512 -1.262  -0.535 -1.126  -0.557 -0.990  -0.580 -0.853  -0.603 -0.717  -0.626 -0.581  -0.648 -0.444  -0.671 -0.308  -0.682 -0.170  -0.589 -0.134  -0.458 -0.166  -0.320 -0.166  -0.182 -0.166  -0.044 -0.166  0.095 -0.166  0.232 -0.154  0.367 -0.127
2#tos#f3#f3011063/h  0.431 1.501  0.418 1.660  0.392 1.818  0.339 1.816  0.307 1.664  0.252 1.517  0.223 1.364  0.170 1.222  0.086 1.088  0.035 0.936  -0.004 0.781  -0.050 0.630  -0.132 0.493  -0.214 0.356  -0.275 0.213  -0.275 0.053  -0.333 -0.090  -0.407 -0.231  -0.445 -0.386  -0.486 -0.540  -0.577 -0.669  -0.607 -0.817  -0.638 -0.969  -0.703 -1.072  -0.731 -0.941  -0.731 -0.781  -0.690 -0.631  -0.648 -0.481  -0.587 -0.346  -0.492 -0.220  -0.367 -0.124  -0.347 0.028  -0.252 0.154  -0.110 0.215  0.040 0.256  0.182 0.214  0.221 0.059  0.348 0.024  0.375 -0.130  0.390 -0.286  0.390 -0.446  0.390 -0.606  0.390 -0.765  0.390 -0.925  0.390 -1.085  0.479 -1.155  0.639 -1.155  0.791 -1.120  0.938 -1.062  1.095 -1.030
2#tos#f3#f3011063/j  0.389 0.651  0.369 0.778  0.252 0.705  0.184 0.577  0.138 0.438  0.103 0.295  0.091 0.151  0.026 0.019  -0.025 -0.116  -0.045 -0.259  -0.096 -0.396  -0.140 -0.535  -0.152 -0.680  -0.178 -0.823  -0.184 -0.970  -0.286 -1.074  -0.311 -1.211  -0.375 -1.332  -0.422 -1.449  -0.536 -1.406  -0.643 -1.318  -0.739 -1.222  -0.788 -1.085  -0.788 -0.939  -0.788 -0.792  -0.714 -0.675  -0.647 -0.551  -0.521 -0.476  -0.391 -0.407  -0.261 -0.372  -0.150 -0.304  -0.003 -0.304  0.136 -0.295  0.169 -0.151  0.201 -0.008  0.234 0.135  0.266 0.279  0.299 0.422  0.331 0.565  0.364 0.709  0.396 0.852  0.429 0.995  0.461 1.139  0.493 1.282  0.516 1.426  0.516 1.573  0.600 1.637  0.703 1.641  0.713 1.497  0.803 1.382
2#tos#f3#f3011063/k  0.060 2.295  0.060 2.082  0.060 1.870  0.060 1.658  0.042 1.451  -0.042 1.264  -0.042 1.052  -0.052 0.841  -0.130 0.644  -0.223 0.453  -0.297 0.258  -0.298 0.046  -0.348 -0.160  -0.400 -0.347  -0.557 -0.482  -0.609 -0.688  -0.679 -0.877  -0.826 -0.995  -0.929 -1.159  -0.972 -1.240  -0.818 -1.094  -0.664 -0.948  -0.510 -0.802  -0.356 -0.656  -0.202 -0.510  -0.047 -0.364  0.107 -0.218  0.261 -0.072  0.415 0.074  0.569 0.220  0.723 0.366  0.877 0.512  0.979 0.652  0.851 0.534  0.694 0.392  0.508 0.293  0.347 0.155  0.184 0.020  -0.010 -0.059  -0.194 -0.154  -0.375 -0.245  -0.387 -0.359  -0.175 -0.359  -0.016 -0.487  0.173 -0.568  0.363 -0.663  0.537 -0.717  0.671 -0.852  0.835 -0.980  0.775 -1.073
2#tos#f3#f3011063/n  -1.292 -0.110  -1.452 -0.211  -1.561 -0.350  -1.541 -0.230  -1.360 -0.179  -1.216 -0.039  -1.053 0.075  -0.980 0.237  -0.812 0.349  -0.667 0.481  -0.577 0.661  -0.401 0.754  -0.228 0.858  -0.042 0.907  0.025 0.738  0.025 0.537  -0.027 0.351  -0.138 0.183  -0.235 0.008  -0.317 -0.174  -0.409 -0.350  -0.454 -0.546  -0.488 -0.726  -0.574 -0.875  -0.503 -0.723  -0.381 -0.564  -0.334 -0.374  -0.334 -0.172  -0.163 -0.068  0.014 0.026  0.160 0.131  0.222 0.314  0.384 0.399  0.421 0.585  0.564 0.728  0.684 0.816  0.684 0.614  0.684 0.413  0.646 0.216  0.624 0.018  0.624 -0.184  0.624 -0.385  0.714 -0.560  0.903 -0.589  1.105 -0.589  1.306 -0.589  1.505 -0.564  1.692 -0.496  1.866 -0.399  2.061 -0.350
2#tos#f3#f3011063/o  0.080 0.963  0.003 1.018  -0.117 0.987  -0.215 0.901  -0.341 0.859  -0.392 0.752  -0.466 0.642  -0.557 0.547  -0.626 0.435  -0.685 0.317  -0.757 0.206  -0.819 0.090  -0.862 -0.035  -0.921 -0.154  -0.971 -0.274  -0.971 -0.406  -0.971 -0.539  -0.971 -0.671  -0.971 -0.803  -0.958 -0.930  -0.847 -0.996  -0.720 -1.028  -0.587 -1.028  -0.455 -1.028  -0.323 -1.028  -0.201 -0.994  -0.091 -0.920  0.015 -0.841  0.121 -0.762  0.227 -0.682  0.333 -0.603  0.445 -0.532  0.558 -0.464  0.665 -0.387  0.759 -0.294  0.844 -0.193  0.923 -0.087  0.993 0.024  1.043 0.147  1.075 0.274  1.075 0.406  1.075 0.538  1.075 0.671  1.023 0.791  0.907 0.852  0.775 0.852  0.643 0.852  0.510 0.852  0.378 0.852  0.246 0.852
2#tos#f3#f3011063/q  0.324 0.440  0.452 0.513  0.578 0.653  0.631 0.841  0.666 1.034  0.684 1.228  0.708 1.419  0.511 1.423  0.315 1.392  0.145 1.289  -0.032 1.209  -0.183 1.087  -0.286 0.949  -0.438 0.840  -0.552 0.676  -0.574 0.483  -0.486 0.312  -0.327 0.269  -0.129 0.289  0.008 0.398  0.200 0.411  0.310 0.561  0.369 0.654  0.237 0.525  0.145 0.355  0.067 0.232  -0.060 0.099  -0.179 -0.063  -0.291 -0.223  -0.372 -0.402  -0.502 -0.556  -0.602 -0.728  -0.658 -0.921  -0.702 -1.116  -0.702 -1.317  -0.702 -1.518  -0.568 -1.611  -0.367 -1.611  -0.171 -1.576  -0.057 -1.480  0.072 -1.347  0.153 -1.170  0.153 -0.969  0.153 -0.768  0.153 -0.566  0.153 -0.365  0.147 -0.329  0.348 -0.329  0.550 -0.329  0.708 -0.286
2#tos#f3#f3011063/r  -0.620 1.588  -0.476 1.588  -0.384 1.515  -0.339 1.378  -0.339 1.234  -0.339 1.089  -0.294 0.958  -0.214 0.838  -0.198 0.699  -0.198 0.554  -0.198 0.410  -0.198 0.266  -0.198 0.121  -0.198 -0.023  -0.198 -0.167  -0.198 -0.312  -0.199 -0.456  -0.263 -0.585  -0.328 -0.714  -0.339 -0.856  -0.426 -0.964  -0.479 -1.087  -0.479 -1.231  -0.479 -1.375  -0.479 -1.502  -0.479 -1.358  -0.479 -1.213  -0.471 -1.071  -0.409 -0.941  -0.409 -0.797  -0.363 -0.666  -0.282 -0.546  -0.231 -0.412  -0.198 -0.273  -0.100 -0.184  0.024 -0.110  0.148 -0.036  0.198 0.098  0.266 0.221  0.389 0.273  0.491 0.375  0.597 0.471  0.727 0.532  0.872 0.532  1.016 0.532  1.155 0.518  1.257 0.416  1.356 0.312  1.421 0.183  1.563 0.180
2#tos#f3#f3011063/s  0.329 0.239  0.473 0.320  0.634 0.374  0.726 0.464  0.794 0.605  0.874 0.742  0.874 0.911  0.874 1.081  0.825 1.201  0.736 1.282  0.566 1.282  0.396 1.282  0.247 1.232  0.103 1.148  -0.019 1.051  -0.135 0.984  -0.179 0.824  -0.217 0.670  -0.156 0.526  -0.068 0.392  0.080 0.314  0.199 0.201  0.314 0.083  0.378 -0.052  0.436 -0.186  0.500 -0.314  0.626 -0.393  0.626 -0.562  0.598 -0.704  0.533 -0.825  0.401 -0.929  0.247 -0.973  0.101 -1.051  -0.069 -1.051  -0.238 -1.051  -0.408 -1.051  -0.531 -0.953  -0.600 -0.799  -0.688 -0.655  -0.714 -0.491  -0.714 -0.321  -0.714 -0.152  -0.763 -0.085  -0.785 -0.250  -0.888 -0.382  -0.983 -0.519  -1.111 -0.620  -1.138 -0.785  -1.160 -0.951  -1.210 -1.101
2#tos#f3#f3011063/t  0.304 1.109  0.454 1.212  0.492 1.390  0.490 1.390  0.398 1.235  0.345 1.067  0.194 0.946  0.071 0.799  -0.001 0.624  -0.058 0.442  -0.158 0.277  -0.210 0.091  -0.292 -0.083  -0.387 -0.251  -0.498 -0.408  -0.500 -0.601  -0.538 -0.790  -0.545 -0.983  -0.545 -1.176  -0.545 -1.370  -0.498 -1.516  -0.319 -1.531  -0.126 -1.531  0.067 -1.531  0.232 -1.461  0.366 -1.322  0.482 -1.168  0.600 -1.016  0.728 -0.871  0.728 -0.678  0.620 -0.531  0.480 -0.398  0.340 -0.264  0.201 -0.131  0.061 0.003  -0.079 0.137  -0.219 0.270  -0.359 0.402  -0.552 0.402  -0.708 0.492  -0.733 0.680  -0.734 0.685  -0.540 0.685  -0.347 0.685  -0.154 0.685  0.020 0.731  0.214 0.732  0.396 0.788  0.582 0.826  0.775 0.826
2#tos#f3#f3011063/u  -0.331 0.921  -0.215 1.049  -0.189 1.118  -0.353 1.053  -0.505 0.939  -0.593 0.776  -0.686 0.616  -0.803 0.470  -0.894 0.304  -1.013 0.156  -1.101 -0.009  -1.213 -0.157  -1.303 -0.318  -1.316 -0.506  -1.316 -0.696  -1.194 -0.801  -1.005 -0.801  -0.815 -0.801  -0.634 -0.773  -0.474 -0.670  -0.312 -0.573  -0.135 -0.506  0.028 -0.408  0.167 -0.285  0.275 -0.129  0.390 0.019  0.524 0.153  0.638 0.301  0.656 0.487  0.733 0.657  0.801 0.827  0.801 1.017  0.751 0.981  0.635 0.836  0.519 0.689  0.493 0.509  0.388 0.351  0.294 0.188  0.259 0.004  0.220 -0.180  0.210 -0.368  0.211 -0.557  0.292 -0.719  0.462 -0.801  0.652 -0.801  0.841 -0.801  1.031 -0.801  1.211 -0.744  1.380 -0.659  1.539 -0.555
2#tos#f3#f3011063/z  -0.106 1.336  -0.241 1.336  -0.100 1.336  0.038 1.354  0.174 1.382  0.316 1.382  0.457 1.382  0.598 1.382  0.626 1.275  0.577 1.144  0.511 1.023  0.410 0.968  0.307 0.875  0.189 0.802  0.089 0.702  -0.014 0.622  0.104 0.599  0.245 0.599  0.262 0.475  0.262 0.334  0.262 0.193  0.262 0.052  0.262 -0.089  0.248 -0.228  0.206 -0.363  0.172 -0.500  0.128 -0.634  0.078 -0.760  0.018 -0.886  -0.014 -1.023  -0.088 -1.133  -0.161 -1.252  -0.233 -1.359  -0.354 -1.428  -0.495 -1.428  -0.613 -1.405  -0.659 -1.283  -0.659 -1.142  -0.659 -1.000  -0.613 -0.878  -0.567 -0.756  -0.546 -0.624  -0.433 -0.540  -0.367 -0.430  -0.284 -0.319  -0.153 -0.276  -0.058 -0.230  0.083 -0.230  0.220 -0.223  0.309 -0.138
