2#tos#f3#f3036063/!  0.412 1.528  0.337 1.528  0.262 1.528  0.188 1.528  0.176 1.465  0.176 1.390  0.176 1.315  0.176 1.241  0.176 1.166  0.176 1.091  0.176 1.016  0.176 0.941  0.176 0.866  0.176 0.791  0.176 0.716  0.176 0.642  0.176 0.567  0.176 0.492  0.176 0.417  0.176 0.342  0.176 0.267  0.176 0.192  0.140 0.133  0.087 0.080  0.058 0.017  0.058 -0.058  0.058 -0.133  0.058 -0.208  0.058 -0.283  0.037 -0.353  0.008 -0.422  -0.021 -0.492  -0.049 -0.561  -0.078 -0.630  -0.107 -0.699  -0.136 -0.768  -0.165 -0.837  -0.193 -0.906  -0.222 -0.975  -0.272 -1.013  -0.341 -1.035  -0.408 -1.069  -0.415 -1.139  -0.415 -1.214  -0.376 -1.250  -0.356 -1.305  -0.356 -1.380  -0.356 -1.455  -0.356 -1.529  -0.297 -1.545
2#tos#f3#f3036063/T  -0.509 0.857  -0.625 0.799  -0.741 0.741  -0.842 0.662  -0.933 0.570  -1.049 0.537  -1.121 0.537  -0.991 0.537  -0.861 0.537  -0.732 0.537  -0.602 0.537  -0.473 0.537  -0.347 0.566  -0.219 0.582  -0.090 0.582  0.040 0.582  0.169 0.582  0.299 0.582  0.428 0.582  0.558 0.582  0.682 0.606  0.806 0.628  0.936 0.628  1.045 0.608  0.949 0.545  0.828 0.498  0.707 0.451  0.586 0.404  0.466 0.357  0.345 0.310  0.224 0.263  0.117 0.197  0.039 0.123  0.039 -0.006  0.039 -0.136  0.039 -0.265  0.039 -0.395  0.048 -0.524  0.070 -0.652  0.085 -0.780  0.085 -0.909  0.085 -1.039  0.085 -1.168  0.061 -1.295  0.039 -1.422  0.039 -1.551  0.039 -1.681  0.039 -1.811  0.039 -1.940  0.039 -2.070
2#tos#f3#f3036063/X  0.768 1.148  0.806 1.302  0.756 1.245  0.606 1.133  0.520 0.961  0.460 0.792  0.388 0.639  0.254 0.506  0.141 0.352  0.021 0.202  -0.032 0.021  -0.114 -0.144  -0.234 -0.291  -0.324 -0.461  -0.439 -0.614  -0.520 -0.787  -0.566 -0.970  -0.640 -1.132  -0.720 -1.300  -0.709 -1.137  -0.697 -0.945  -0.684 -0.754  -0.672 -0.562  -0.660 -0.371  -0.648 -0.179  -0.635 0.013  -0.623 0.204  -0.611 0.396  -0.599 0.588  -0.586 0.779  -0.574 0.971  -0.632 1.097  -0.641 1.032  -0.479 0.929  -0.322 0.821  -0.220 0.674  -0.116 0.514  0.008 0.369  0.144 0.233  0.274 0.093  0.368 -0.073  0.425 -0.253  0.560 -0.389  0.647 -0.560  0.749 -0.722  0.904 -0.832  1.061 -0.940  1.186 -1.082  1.269 -1.251  1.383 -1.263
2#tos#f3#f3036063/Y  -0.893 0.818  -1.060 0.818  -1.227 0.818  -1.075 0.818  -0.987 0.684  -0.914 0.539  -0.797 0.445  -0.660 0.358  -0.552 0.236  -0.552 0.069  -0.432 0.022  -0.330 -0.082  -0.268 -0.224  -0.216 -0.269  -0.096 -0.154  0.024 -0.038  0.145 0.077  0.265 0.192  0.385 0.308  0.506 0.423  0.626 0.538  0.746 0.654  0.867 0.769  0.987 0.884  1.079 0.988  0.913 0.988  0.746 0.988  0.698 0.870  0.589 0.782  0.527 0.659  0.527 0.493  0.384 0.429  0.313 0.289  0.235 0.171  0.091 0.097  -0.027 -0.021  -0.105 -0.155  -0.211 -0.278  -0.150 -0.406  -0.098 -0.541  -0.098 -0.708  -0.041 -0.851  -0.041 -1.017  0.008 -1.164  0.016 -1.327  0.016 -1.494  0.016 -1.661  0.016 -1.827  0.035 -1.986  0.073 -2.024
2#tos#f3#f3036063/Z  -0.398 0.995  -0.548 0.995  -0.698 0.995  -0.848 0.995  -0.786 0.995  -0.636 0.995  -0.486 0.995  -0.336 0.995  -0.189 0.975  -0.044 0.946  0.106 0.946  0.256 0.946  0.405 0.946  0.555 0.946  0.705 0.946  0.770 0.888  0.647 0.806  0.576 0.685  0.540 0.550  0.415 0.467  0.296 0.379  0.179 0.288  0.073 0.182  0.005 0.051  -0.051 -0.088  -0.174 -0.172  -0.284 -0.274  -0.376 -0.392  -0.474 -0.504  -0.599 -0.585  -0.694 -0.640  -0.753 -0.772  -0.828 -0.901  -0.939 -0.980  -0.793 -0.980  -0.643 -0.980  -0.493 -0.980  -0.349 -0.956  -0.215 -0.889  -0.067 -0.881  0.083 -0.881  0.233 -0.881  0.357 -0.818  0.492 -0.782  0.642 -0.782  0.792 -0.782  0.936 -0.758  1.080 -0.733  1.230 -0.733  1.330 -0.782
2#tos#f3#f3036063/b  0.038 1.867  -0.158 1.867  -0.221 1.734  -0.221 1.538  -0.221 1.342  -0.221 1.146  -0.221 0.950  -0.221 0.754  -0.221 0.558  -0.221 0.362  -0.323 0.209  -0.394 0.042  -0.408 -0.151  -0.481 -0.330  -0.481 -0.526  -0.506 -0.717  -0.567 -0.903  -0.654 -1.013  -0.703 -1.160  -0.654 -1.088  -0.654 -0.892  -0.622 -0.727  -0.567 -0.586  -0.567 -0.390  -0.416 -0.295  -0.280 -0.212  -0.221 -0.025  -0.191 0.152  -0.048 0.260  -0.048 0.456  0.103 0.559  0.249 0.646  0.385 0.743  0.581 0.743  0.730 0.696  0.793 0.538  0.903 0.410  0.910 0.217  0.989 0.054  0.989 -0.142  0.989 -0.338  0.927 -0.489  0.741 -0.551  0.588 -0.669  0.435 -0.781  0.326 -0.944  0.185 -1.039  0.097 -1.214  -0.025 -1.333  -0.221 -1.333
2#tos#f3#f3036063/e  -0.241 0.128  -0.403 0.047  -0.556 -0.050  -0.707 -0.150  -0.770 -0.165  -0.589 -0.165  -0.408 -0.165  -0.227 -0.165  -0.046 -0.165  0.111 -0.106  0.270 -0.027  0.442 0.030  0.614 0.067  0.781 0.128  0.953 0.150  1.081 0.278  1.209 0.406  1.224 0.581  1.224 0.762  1.106 0.870  0.944 0.951  0.776 1.007  0.692 1.104  0.511 1.104  0.330 1.104  0.149 1.104  -0.008 1.044  -0.165 0.985  -0.314 0.909  -0.339 0.752  -0.466 0.650  -0.534 0.511  -0.534 0.330  -0.611 0.225  -0.729 0.163  -0.729 -0.019  -0.729 -0.200  -0.729 -0.381  -0.729 -0.562  -0.729 -0.743  -0.729 -0.924  -0.604 -1.001  -0.510 -1.142  -0.388 -1.238  -0.268 -1.337  -0.087 -1.337  0.094 -1.337  0.276 -1.337  0.457 -1.337  0.638 -1.337
2#tos#f3#f3036063/f  0.994 1.218  0.994 1.370  0.920 1.458  0.794 1.538  0.645 1.548  0.493 1.548  0.342 1.548  0.281 1.458  0.281 1.307  0.261 1.159  0.226 1.013  0.226 0.862  0.171 0.724  0.107 0.587  0.061 0.443  0.061 0.292  0.061 0.140  0.037 -0.007  0.006 -0.153  0.006 -0.304  0.006 -0.456  0.006 -0.607  0.006 -0.758  0.006 -0.909  0.006 -1.061  0.006 -1.212  -0.075 -1.175  -0.185 -1.071  -0.295 -0.968  -0.405 -0.864  -0.516 -0.760  -0.626 -0.657  -0.736 -0.553  -0.846 -0.449  -0.967 -0.373  -1.110 -0.410  -1.052 -0.389  -0.908 -0.373  -0.756 -0.373  -0.605 -0.373  -0.454 -0.373  -0.303 -0.373  -0.151 -0.373  -0.000 -0.373  0.151 -0.373  0.302 -0.373  0.454 -0.373  0.550 -0.428  0.701 -0.428  0.830 -0.483
2#tos#f3#f3036063/h  -0.330 1.725  -0.486 1.725  -0.487 1.570  -0.487 1.415  -0.487 1.259  -0.487 1.103  -0.487 0.948  -0.487 0.792  -0.487 0.636  -0.487 0.481  -0.487 0.325  -0.487 0.170  -0.487 0.014  -0.521 -0.138  -0.559 -0.289  -0.588 -0.438  -0.644 -0.580  -0.644 -0.736  -0.644 -0.892  -0.644 -1.047  -0.626 -1.161  -0.565 -1.030  -0.565 -0.875  -0.519 -0.726  -0.449 -0.592  -0.339 -0.482  -0.251 -0.354  -0.173 -0.222  -0.173 -0.066  -0.109 0.063  0.001 0.173  0.111 0.283  0.221 0.393  0.319 0.512  0.404 0.626  0.529 0.552  0.650 0.469  0.690 0.353  0.690 0.198  0.804 0.156  0.882 0.049  0.925 -0.100  0.925 -0.255  0.949 -0.408  0.986 -0.559  1.004 -0.713  1.004 -0.868  1.004 -1.024  1.004 -1.180  1.082 -1.257
2#tos#f3#f3036063/i  0.188 0.098  0.133 0.166  0.053 0.124  0.053 0.002  0.053 -0.120  0.085 -0.235  0.120 -0.348  0.120 -0.470  0.120 -0.592  0.120 -0.714  0.120 -0.836  0.120 -0.958  0.120 -1.080  0.120 -1.202  0.120 -1.324  0.120 -1.446  0.156 -1.553  0.187 -1.508  0.174 -1.387  0.160 -1.266  0.147 -1.144  0.134 -1.023  0.121 -0.902  0.108 -0.781  0.094 -0.659  0.081 -0.538  0.068 -0.417  0.055 -0.296  0.042 -0.175  0.029 -0.053  0.015 0.068  0.002 0.189  -0.011 0.310  -0.024 0.432  -0.037 0.553  -0.050 0.674  -0.064 0.795  -0.077 0.917  -0.090 1.038  -0.103 1.159  -0.116 1.280  -0.130 1.402  -0.143 1.523  -0.214 1.580  -0.336 1.580  -0.458 1.580  -0.418 1.553  -0.418 1.431  -0.370 1.329  -0.284 1.243
2#tos#f3#f3036063/l  -0.450 -0.802  -0.563 -0.891  -0.619 -1.004  -0.645 -1.085  -0.580 -0.972  -0.693 -1.029  -0.718 -1.024  -0.563 -0.966  -0.510 -0.810  -0.378 -0.715  -0.267 -0.598  -0.185 -0.462  -0.057 -0.406  -0.053 -0.240  -0.007 -0.100  0.102 0.018  0.117 0.184  0.249 0.250  0.343 0.345  0.343 0.515  0.393 0.663  0.400 0.830  0.472 0.969  0.563 1.109  0.606 1.254  0.683 1.376  0.739 1.522  0.624 1.576  0.472 1.535  0.323 1.462  0.272 1.335  0.181 1.195  0.060 1.098  0.052 0.930  0.003 0.769  -0.053 0.613  -0.053 0.444  -0.110 0.288  -0.110 0.119  -0.110 -0.051  -0.110 -0.220  -0.110 -0.389  -0.110 -0.558  -0.110 -0.727  -0.110 -0.897  -0.110 -1.066  -0.080 -1.219  0.060 -1.313  0.117 -1.425  0.286 -1.425
2#tos#f3#f3036063/m  -1.403 -0.107  -1.625 -0.160  -1.580 -0.029  -1.492 0.183  -1.319 0.263  -1.164 0.383  -0.949 0.448  -0.842 0.572  -0.674 0.633  -0.567 0.510  -0.540 0.307  -0.540 0.077  -0.574 -0.148  -0.703 -0.332  -0.725 -0.553  -0.766 -0.766  -0.786 -0.830  -0.786 -0.600  -0.725 -0.380  -0.657 -0.162  -0.540 -0.017  -0.416 0.090  -0.329 0.253  -0.169 0.387  -0.000 0.448  0.201 0.383  0.201 0.153  0.159 -0.068  0.139 -0.293  0.091 -0.512  0.060 -0.618  0.139 -0.405  0.244 -0.240  0.348 -0.107  0.472 0.066  0.637 0.210  0.756 0.365  0.903 0.448  1.064 0.517  1.064 0.520  1.064 0.290  1.207 0.202  1.249 0.014  1.326 -0.152  1.373 -0.375  1.435 -0.543  1.435 -0.427  1.435 -0.197  1.435 0.033  1.435 0.263
2#tos#f3#f3036063/n  -0.361 1.300  -0.460 1.223  -0.592 1.179  -0.592 1.003  -0.657 0.916  -0.542 0.817  -0.515 0.647  -0.515 0.472  -0.515 0.296  -0.515 0.120  -0.515 -0.056  -0.515 -0.232  -0.515 -0.408  -0.515 -0.584  -0.577 -0.745  -0.592 -0.917  -0.644 -1.085  -0.746 -1.140  -0.746 -0.964  -0.746 -0.788  -0.746 -0.612  -0.746 -0.437  -0.746 -0.261  -0.601 -0.189  -0.455 -0.100  -0.286 -0.084  -0.284 0.091  -0.200 0.232  -0.130 0.379  -0.005 0.503  0.119 0.627  0.243 0.752  0.368 0.876  0.527 0.916  0.638 0.851  0.802 0.839  0.869 0.730  0.869 0.554  0.869 0.378  0.869 0.202  0.869 0.026  0.869 -0.150  0.869 -0.326  0.869 -0.501  0.911 -0.671  0.946 -0.841  0.946 -1.017  0.946 -1.192  1.077 -1.237  1.099 -1.390
2#tos#f3#f3036063/o  0.226 0.527  0.138 0.599  0.050 0.671  -0.105 0.693  -0.253 0.744  -0.341 0.816  -0.493 0.781  -0.568 0.668  -0.582 0.513  -0.675 0.385  -0.746 0.242  -0.784 0.091  -0.784 -0.069  -0.832 -0.218  -0.856 -0.372  -0.856 -0.532  -0.856 -0.692  -0.856 -0.852  -0.856 -1.013  -0.763 -1.123  -0.628 -1.205  -0.468 -1.205  -0.308 -1.205  -0.151 -1.187  0.001 -1.136  0.135 -1.049  0.249 -0.943  0.348 -0.844  0.508 -0.844  0.665 -0.838  0.779 -0.725  0.876 -0.605  0.876 -0.445  0.916 -0.291  0.948 -0.137  0.948 0.024  0.948 0.184  0.948 0.344  0.948 0.504  0.826 0.588  0.743 0.721  0.680 0.850  0.547 0.939  0.393 0.960  0.233 0.960  0.073 0.960  -0.087 0.960  -0.248 0.960  -0.408 0.960  -0.496 0.888
2#tos#f3#f3036063/p  -0.056 1.304  -0.194 1.375  -0.194 1.302  -0.194 1.093  -0.194 0.884  -0.194 0.675  -0.194 0.466  -0.260 0.273  -0.333 0.081  -0.344 -0.126  -0.395 -0.329  -0.482 -0.518  -0.540 -0.713  -0.544 -0.922  -0.610 -1.120  -0.661 -1.323  -0.679 -1.529  -0.679 -1.738  -0.701 -1.616  -0.627 -1.420  -0.554 -1.224  -0.481 -1.029  -0.407 -0.833  -0.334 -0.638  -0.260 -0.442  -0.187 -0.246  -0.114 -0.051  -0.040 0.145  0.033 0.341  0.106 0.536  0.180 0.732  0.253 0.928  0.188 1.027  0.014 0.993  0.187 0.958  0.396 0.958  0.605 0.958  0.814 0.958  0.893 0.791  1.052 0.672  1.052 0.464  1.052 0.255  1.041 0.054  0.843 -0.013  0.695 -0.161  0.510 -0.219  0.399 -0.387  0.236 -0.496  0.027 -0.496  -0.125 -0.635
2#tos#f3#f3036063/r  -0.159 1.528  -0.305 1.528  -0.420 1.498  -0.357 1.378  -0.254 1.275  -0.246 1.133  -0.246 0.987  -0.246 0.841  -0.170 0.718  -0.089 0.597  -0.072 0.456  -0.072 0.311  -0.072 0.165  -0.072 0.019  -0.072 -0.127  -0.072 -0.273  -0.110 -0.412  -0.156 -0.551  -0.159 -0.696  -0.159 -0.842  -0.159 -0.988  -0.159 -1.133  -0.159 -1.279  -0.159 -1.425  -0.159 -1.571  -0.271 -1.605  -0.333 -1.522  -0.333 -1.376  -0.333 -1.230  -0.333 -1.084  -0.333 -0.938  -0.333 -0.792  -0.280 -0.664  -0.193 -0.548  -0.105 -0.431  -0.050 -0.299  -0.015 -0.158  0.025 -0.018  0.091 0.113  0.156 0.243  0.239 0.360  0.343 0.463  0.467 0.536  0.537 0.639  0.565 0.773  0.686 0.832  0.832 0.832  0.951 0.898  1.088 0.919  1.234 0.919
2#tos#f3#f3036063/s  0.831 0.226  0.831 0.366  0.831 0.506  0.699 0.551  0.620 0.634  0.595 0.768  0.511 0.860  0.371 0.860  0.251 0.892  0.178 1.000  0.038 1.000  -0.093 1.040  -0.218 1.102  -0.349 1.141  -0.489 1.141  -0.629 1.141  -0.718 1.091  -0.718 0.950  -0.718 0.810  -0.718 0.670  -0.613 0.596  -0.552 0.491  -0.436 0.413  -0.341 0.316  -0.257 0.226  -0.128 0.199  -0.010 0.130  0.123 0.086  0.186 -0.015  0.289 -0.099  0.338 -0.228  0.367 -0.347  0.500 -0.391  0.549 -0.496  0.549 -0.636  0.549 -0.776  0.549 -0.916  0.535 -1.042  0.399 -1.051  0.300 -1.150  0.201 -1.249  0.062 -1.253  -0.078 -1.253  -0.218 -1.253  -0.358 -1.253  -0.498 -1.253  -0.638 -1.253  -0.761 -1.211  -0.859 -1.111  -0.859 -0.971
2#tos#f3#f3036063/t  -0.333 0.252  -0.493 0.252  -0.654 0.252  -0.815 0.252  -0.975 0.252  -1.125 0.278  -1.268 0.322  -1.258 0.391  -1.097 0.391  -0.941 0.421  -0.787 0.461  -0.626 0.461  -0.466 0.461  -0.305 0.461  -0.144 0.461  0.016 0.461  0.177 0.461  0.338 0.461  0.498 0.461  0.659 0.461  0.819 0.461  0.980 0.461  1.141 0.461  1.291 0.416  1.238 0.423  1.085 0.470  0.931 0.517  0.778 0.564  0.624 0.612  0.471 0.659  0.312 0.670  0.159 0.637  0.085 0.522  0.085 0.361  0.085 0.200  0.016 0.109  0.016 -0.051  0.016 -0.212  0.016 -0.372  0.016 -0.533  0.016 -0.694  -0.004 -0.851  -0.054 -1.004  -0.054 -1.164  -0.054 -1.325  -0.054 -1.486  -0.054 -1.646  -0.066 -1.805  -0.117 -1.957  -0.124 -2.117
2#tos#f3#f3036063/u  -0.343 1.044  -0.501 1.044  -0.602 1.101  -0.732 1.130  -0.775 1.188  -0.847 1.059  -0.862 0.906  -0.862 0.748  -0.862 0.589  -0.862 0.430  -0.862 0.272  -0.930 0.129  -0.948 -0.025  -0.948 -0.184  -0.948 -0.342  -0.948 -0.501  -0.948 -0.660  -0.890 -0.805  -0.765 -0.860  -0.607 -0.860  -0.448 -0.860  -0.296 -0.816  -0.149 -0.760  -0.017 -0.672  0.104 -0.573  0.175 -0.431  0.314 -0.358  0.403 -0.234  0.436 -0.083  0.486 0.055  0.598 0.167  0.609 0.321  0.609 0.480  0.629 0.630  0.696 0.761  0.745 0.871  0.782 0.749  0.782 0.591  0.782 0.432  0.782 0.273  0.782 0.115  0.782 -0.044  0.782 -0.203  0.782 -0.361  0.782 -0.520  0.782 -0.678  0.782 -0.837  0.804 -0.991  0.869 -1.134  0.869 -1.293
2#tos#f3#f3036063/w  -1.110 0.656  -1.271 0.689  -1.271 0.884  -1.431 0.978  -1.270 0.896  -1.110 0.815  -1.085 0.630  -1.029 0.459  -0.980 0.284  -0.852 0.140  -0.788 -0.040  -0.788 -0.234  -0.788 -0.429  -0.724 -0.584  -0.588 -0.710  -0.546 -0.895  -0.412 -0.955  -0.378 -1.116  -0.250 -1.008  -0.224 -0.819  -0.148 -0.642  -0.143 -0.449  -0.103 -0.271  0.018 -0.126  0.018 0.069  0.113 0.235  0.179 0.409  0.179 0.604  0.207 0.792  0.259 0.820  0.340 0.706  0.340 0.511  0.340 0.316  0.420 0.202  0.420 0.008  0.458 -0.150  0.501 -0.301  0.588 -0.449  0.742 -0.561  0.742 -0.756  0.823 -0.718  0.921 -0.584  0.984 -0.428  1.062 -0.311  1.114 -0.131  1.202 0.044  1.226 0.233  1.319 0.333  1.387 0.461  1.387 0.495
2#tos#f3#f3036063/y  -0.691 1.093  -0.845 1.093  -0.879 1.093  -0.877 0.942  -0.774 0.867  -0.666 0.759  -0.611 0.624  -0.537 0.491  -0.452 0.363  -0.382 0.227  -0.303 0.105  -0.182 0.028  -0.096 -0.097  -0.001 -0.215  0.070 -0.327  0.201 -0.285  0.286 -0.157  0.371 -0.030  0.456 0.098  0.541 0.226  0.626 0.353  0.711 0.481  0.796 0.608  0.881 0.736  0.966 0.864  1.011 0.970  0.858 0.970  0.828 0.846  0.687 0.794  0.645 0.657  0.593 0.513  0.524 0.376  0.441 0.249  0.349 0.131  0.312 -0.017  0.233 -0.143  0.132 -0.258  0.040 -0.380  -0.049 -0.505  -0.134 -0.633  -0.213 -0.764  -0.292 -0.896  -0.321 -1.041  -0.323 -1.193  -0.432 -1.302  -0.540 -1.410  -0.642 -1.524  -0.710 -1.661  -0.794 -1.787  -0.815 -1.932
