2#tos#f3#f3047059/$  0.895 0.698  0.767 0.723  0.582 0.826  0.318 0.826  0.093 0.921  -0.170 0.923  -0.433 0.919  -0.671 0.826  -0.725 0.606  -0.744 0.347  -0.640 0.116  -0.449 -0.052  -0.262 -0.194  -0.071 -0.266  0.156 -0.395  0.329 -0.561  0.574 -0.620  0.644 -0.816  0.698 -1.042  0.569 -1.231  0.369 -1.352  0.129 -1.391  -0.135 -1.391  -0.376 -1.309  -0.561 -1.189  -0.539 -0.942  -0.453 -0.692  -0.367 -0.443  -0.281 -0.194  -0.195 0.056  -0.109 0.305  -0.023 0.554  0.063 0.804  0.149 1.053  0.235 1.303  0.321 1.552  0.317 1.711  0.305 1.451  0.253 1.203  0.218 0.942  0.160 0.686  0.092 0.435  0.072 0.176  -0.031 -0.066  -0.103 -0.320  -0.132 -0.582  -0.165 -0.843  -0.182 -1.103  -0.230 -1.355  -0.262 -1.616
2#tos#f3#f3047059/T  -1.779 0.402  -1.647 0.402  -1.515 0.402  -1.383 0.402  -1.252 0.402  -1.120 0.402  -0.988 0.402  -0.856 0.402  -0.724 0.402  -0.593 0.402  -0.461 0.402  -0.329 0.402  -0.197 0.402  -0.066 0.402  0.066 0.402  0.198 0.402  0.330 0.402  0.461 0.402  0.593 0.402  0.725 0.404  0.846 0.453  0.969 0.493  1.090 0.519  1.095 0.556  0.964 0.550  0.832 0.545  0.700 0.539  0.569 0.534  0.437 0.528  0.305 0.523  0.174 0.519  0.093 0.436  0.057 0.312  0.057 0.181  0.057 0.049  0.057 -0.083  0.091 -0.209  0.096 -0.340  0.096 -0.472  0.113 -0.602  0.135 -0.731  0.135 -0.862  0.161 -0.991  0.174 -1.121  0.174 -1.253  0.174 -1.385  0.174 -1.517  0.213 -1.609  0.246 -1.733  0.252 -1.864
2#tos#f3#f3047059/V  -0.740 1.094  -0.859 1.094  -0.979 1.094  -1.005 1.088  -0.940 0.989  -0.875 0.889  -0.818 0.784  -0.768 0.675  -0.740 0.560  -0.740 0.440  -0.740 0.320  -0.670 0.224  -0.594 0.132  -0.509 0.047  -0.468 -0.055  -0.468 -0.175  -0.468 -0.295  -0.419 -0.403  -0.365 -0.510  -0.351 -0.626  -0.275 -0.706  -0.234 -0.803  -0.195 -0.907  -0.195 -1.027  -0.139 -1.111  -0.099 -1.200  -0.018 -1.239  0.031 -1.142  0.120 -1.067  0.179 -0.970  0.193 -0.852  0.218 -0.736  0.266 -0.627  0.323 -0.522  0.395 -0.426  0.456 -0.324  0.511 -0.217  0.572 -0.115  0.634 -0.012  0.696 0.091  0.760 0.191  0.832 0.287  0.891 0.390  0.939 0.500  0.968 0.616  1.031 0.717  1.110 0.806  1.127 0.919  1.175 1.026  1.243 1.094
2#tos#f3#f3047059/W  -0.789 1.009  -0.945 1.009  -1.102 1.009  -1.151 1.034  -1.151 0.877  -1.090 0.737  -1.052 0.592  -1.044 0.438  -0.963 0.305  -0.906 0.161  -0.872 0.008  -0.855 -0.147  -0.835 -0.300  -0.789 -0.449  -0.751 -0.594  -0.647 -0.699  -0.606 -0.833  -0.523 -0.743  -0.460 -0.621  -0.394 -0.505  -0.337 -0.406  -0.299 -0.261  -0.218 -0.131  -0.197 0.016  -0.131 0.145  -0.131 0.302  -0.051 0.417  0.035 0.334  0.123 0.218  0.200 0.082  0.257 -0.063  0.339 -0.194  0.395 -0.337  0.423 -0.489  0.494 -0.617  0.583 -0.713  0.635 -0.833  0.757 -0.780  0.825 -0.665  0.903 -0.537  0.949 -0.403  1.001 -0.257  1.095 -0.132  1.186 -0.006  1.218 0.147  1.261 0.291  1.332 0.430  1.381 0.578  1.415 0.729  1.481 0.845
2#tos#f3#f3047059/Y  -1.219 1.009  -1.261 0.899  -1.261 0.747  -1.261 0.596  -1.179 0.471  -1.136 0.337  -1.053 0.220  -0.985 0.085  -0.870 0.013  -0.775 -0.093  -0.640 -0.153  -0.489 -0.153  -0.337 -0.153  -0.186 -0.153  -0.050 -0.088  0.076 -0.009  0.217 0.047  0.348 0.123  0.460 0.217  0.533 0.345  0.665 0.376  0.733 0.511  0.874 0.564  0.997 0.652  1.104 0.759  1.246 0.801  1.237 0.859  1.115 0.768  0.994 0.678  0.872 0.588  0.750 0.498  0.629 0.407  0.507 0.317  0.385 0.227  0.264 0.137  0.142 0.046  0.021 -0.044  -0.122 -0.070  -0.140 -0.204  -0.140 -0.356  -0.140 -0.507  -0.140 -0.658  -0.140 -0.810  -0.140 -0.961  -0.138 -1.112  -0.098 -1.254  -0.097 -1.406  -0.060 -1.553  -0.057 -1.704  -0.057 -1.855
2#tos#f3#f3047059/b  -0.063 1.895  -0.257 1.895  -0.377 1.820  -0.377 1.626  -0.377 1.432  -0.377 1.238  -0.377 1.044  -0.377 0.850  -0.377 0.656  -0.346 0.466  -0.324 0.274  -0.324 0.080  -0.324 -0.114  -0.322 -0.307  -0.275 -0.496  -0.272 -0.689  -0.272 -0.883  -0.272 -1.077  -0.272 -1.271  -0.268 -1.220  -0.262 -1.026  -0.255 -0.832  -0.249 -0.638  -0.242 -0.444  -0.236 -0.250  -0.229 -0.056  -0.223 0.138  -0.316 0.272  -0.457 0.328  -0.452 0.491  -0.286 0.537  -0.092 0.537  0.102 0.537  0.296 0.537  0.490 0.537  0.679 0.526  0.824 0.453  0.855 0.266  0.929 0.089  0.929 -0.105  0.929 -0.299  0.929 -0.493  0.802 -0.634  0.729 -0.789  0.579 -0.909  0.438 -1.040  0.270 -1.137  0.102 -1.234  -0.078 -1.290  -0.272 -1.290
2#tos#f3#f3047059/c  -0.088 1.226  -0.153 1.161  -0.217 1.097  -0.309 1.097  -0.400 1.097  -0.491 1.097  -0.540 1.054  -0.589 0.983  -0.636 0.905  -0.669 0.821  -0.669 0.730  -0.732 0.678  -0.798 0.627  -0.798 0.536  -0.798 0.444  -0.798 0.353  -0.783 0.263  -0.761 0.175  -0.739 0.086  -0.733 -0.005  -0.733 -0.096  -0.692 -0.171  -0.628 -0.235  -0.604 -0.317  -0.525 -0.338  -0.460 -0.402  -0.391 -0.459  -0.304 -0.488  -0.217 -0.516  -0.126 -0.517  -0.035 -0.517  0.053 -0.542  0.139 -0.571  0.229 -0.581  0.320 -0.581  0.412 -0.581  0.503 -0.581  0.595 -0.581  0.686 -0.581  0.777 -0.581  0.869 -0.581  0.960 -0.581  1.051 -0.581  1.142 -0.568  1.231 -0.550  1.321 -0.532  1.409 -0.510  1.491 -0.469  1.573 -0.428  1.654 -0.388
2#tos#f3#f3047059/d  -0.031 0.411  -0.149 0.356  -0.324 0.371  -0.514 0.371  -0.697 0.325  -0.871 0.269  -0.955 0.105  -1.098 0.016  -1.242 -0.087  -1.287 -0.259  -1.287 -0.450  -1.261 -0.623  -1.170 -0.772  -1.040 -0.842  -0.919 -0.960  -0.742 -1.002  -0.561 -1.042  -0.371 -1.042  -0.236 -0.942  -0.065 -0.879  0.047 -0.729  0.210 -0.637  0.308 -0.480  0.448 -0.357  0.482 -0.176  0.596 -0.047  0.587 0.143  0.572 0.332  0.557 0.522  0.542 0.711  0.527 0.901  0.512 1.090  0.497 1.280  0.482 1.469  0.329 1.509  0.322 1.327  0.322 1.137  0.322 0.946  0.322 0.756  0.322 0.566  0.400 0.395  0.405 0.206  0.479 0.033  0.512 -0.153  0.545 -0.338  0.639 -0.502  0.743 -0.644  0.812 -0.776  0.917 -0.885  1.067 -0.924
2#tos#f3#f3047059/e  -0.716 -0.131  -0.568 -0.131  -0.419 -0.131  -0.271 -0.131  -0.153 -0.059  -0.043 0.032  0.102 0.036  0.171 0.156  0.231 0.281  0.313 0.404  0.374 0.496  0.374 0.644  0.374 0.792  0.320 0.886  0.190 0.904  0.102 0.996  0.033 1.102  -0.105 1.144  -0.246 1.177  -0.394 1.177  -0.537 1.157  -0.618 1.057  -0.716 0.981  -0.723 0.834  -0.770 0.697  -0.770 0.549  -0.770 0.401  -0.770 0.253  -0.770 0.105  -0.770 -0.044  -0.770 -0.192  -0.700 -0.311  -0.593 -0.413  -0.470 -0.495  -0.361 -0.595  -0.248 -0.687  -0.116 -0.740  -0.019 -0.818  0.120 -0.869  0.258 -0.924  0.393 -0.985  0.537 -1.003  0.685 -1.003  0.833 -1.003  0.981 -1.003  1.129 -1.003  1.272 -0.986  1.395 -0.904  1.537 -0.862  1.682 -0.840
2#tos#f3#f3047059/f  -1.201 -0.043  -1.374 -0.043  -1.324 -0.043  -1.151 -0.043  -0.978 -0.043  -0.854 -0.121  -0.681 -0.121  -0.509 -0.134  -0.339 -0.160  -0.169 -0.178  0.001 -0.199  0.174 -0.199  0.347 -0.199  0.520 -0.199  0.693 -0.199  0.866 -0.199  1.039 -0.199  1.117 -0.141  1.040 0.014  0.962 0.168  0.885 0.323  0.808 0.478  0.730 0.632  0.653 0.787  0.576 0.942  0.498 1.096  0.421 1.251  0.271 1.284  0.101 1.250  -0.072 1.248  -0.209 1.157  -0.301 1.056  -0.340 0.922  -0.340 0.749  -0.338 0.576  -0.301 0.409  -0.279 0.238  -0.262 0.067  -0.239 -0.101  -0.184 -0.264  -0.174 -0.435  -0.132 -0.603  -0.105 -0.773  -0.105 -0.946  -0.073 -1.109  -0.027 -1.268  0.032 -1.423  0.070 -1.587  0.129 -1.748  0.129 -1.921
2#tos#f3#f3047059/g  0.110 0.442  0.148 0.481  0.225 0.657  0.224 0.865  0.110 1.019  0.089 1.205  -0.068 1.301  -0.218 1.434  -0.426 1.434  -0.627 1.409  -0.730 1.243  -0.768 1.050  -0.768 0.843  -0.768 0.635  -0.729 0.433  -0.604 0.278  -0.407 0.251  -0.237 0.213  -0.045 0.262  0.092 0.411  0.209 0.541  0.257 0.735  0.263 0.783  0.263 0.575  0.263 0.367  0.263 0.160  0.263 -0.048  0.263 -0.256  0.263 -0.463  0.263 -0.671  0.263 -0.879  0.263 -1.086  0.263 -1.294  0.263 -1.502  0.225 -1.694  0.019 -1.696  -0.189 -1.696  -0.282 -1.581  -0.339 -1.408  -0.348 -1.202  -0.331 -0.997  -0.224 -0.823  -0.124 -0.654  0.025 -0.526  0.187 -0.397  0.313 -0.233  0.487 -0.147  0.660 -0.031  0.745 0.119  0.950 0.137
2#tos#f3#f3047059/i  -0.191 1.392  -0.271 1.381  -0.348 1.355  -0.355 1.300  -0.304 1.252  -0.227 1.241  -0.163 1.191  -0.090 1.158  -0.008 1.158  0.039 1.094  0.084 1.026  0.161 1.018  0.229 1.005  0.223 0.924  0.216 0.842  0.210 0.761  0.204 0.680  0.198 0.598  0.191 0.517  0.185 0.436  0.183 0.354  0.183 0.273  0.116 0.229  0.046 0.188  -0.024 0.146  -0.051 0.079  -0.068 0.002  -0.097 -0.073  -0.097 -0.155  -0.097 -0.236  -0.097 -0.318  -0.097 -0.399  -0.097 -0.481  -0.097 -0.562  -0.065 -0.636  -0.051 -0.714  -0.051 -0.796  -0.051 -0.878  -0.051 -0.959  -0.051 -1.041  -0.051 -1.122  -0.033 -1.197  0.024 -1.254  0.043 -1.328  0.043 -1.410  0.043 -1.491  0.102 -1.536  0.136 -1.597  0.136 -1.678  0.183 -1.740
2#tos#f3#f3047059/j  -0.065 1.753  -0.201 1.753  -0.219 1.753  -0.109 1.690  -0.002 1.619  0.113 1.563  0.104 1.427  0.088 1.291  0.072 1.156  0.056 1.021  0.042 0.885  -0.001 0.785  -0.023 0.650  -0.029 0.515  -0.029 0.378  -0.029 0.242  -0.029 0.106  0.006 -0.025  0.047 -0.155  0.078 -0.287  0.078 -0.424  0.078 -0.560  0.078 -0.697  0.088 -0.830  0.113 -0.961  0.112 -1.097  0.078 -1.225  0.006 -1.290  -0.005 -1.416  -0.141 -1.416  -0.277 -1.416  -0.354 -1.306  -0.421 -1.211  -0.452 -1.078  -0.456 -0.943  -0.456 -0.806  -0.446 -0.672  -0.369 -0.571  -0.344 -0.449  -0.248 -0.353  -0.159 -0.251  -0.065 -0.158  0.045 -0.078  0.163 -0.015  0.294 0.024  0.420 0.074  0.520 0.166  0.630 0.240  0.762 0.273  0.861 0.329
2#tos#f3#f3047059/l  -0.025 1.483  -0.097 1.483  -0.168 1.483  -0.199 1.483  -0.151 1.444  -0.122 1.380  -0.122 1.309  -0.122 1.237  -0.122 1.166  -0.122 1.095  -0.122 1.023  -0.122 0.952  -0.122 0.881  -0.122 0.809  -0.092 0.745  -0.060 0.681  -0.028 0.618  -0.025 0.547  -0.025 0.476  -0.025 0.404  -0.025 0.333  -0.025 0.262  -0.025 0.190  -0.025 0.119  -0.025 0.048  -0.025 -0.024  -0.025 -0.095  -0.013 -0.165  0.005 -0.234  0.022 -0.303  0.036 -0.373  0.050 -0.443  0.064 -0.513  0.071 -0.583  0.071 -0.655  0.071 -0.726  0.071 -0.797  0.071 -0.869  0.071 -0.940  0.078 -1.010  0.095 -1.080  0.112 -1.149  0.133 -1.217  0.155 -1.285  0.168 -1.354  0.168 -1.425  0.168 -1.497  0.168 -1.568  0.168 -1.639  0.168 -1.711
2#tos#f3#f3047059/m  -1.412 0.665  -1.404 0.608  -1.336 0.506  -1.292 0.393  -1.279 0.273  -1.230 0.172  -1.185 0.066  -1.155 -0.052  -1.128 -0.169  -1.102 -0.285  -1.059 -0.397  -0.983 -0.445  -0.863 -0.436  -0.768 -0.366  -0.700 -0.264  -0.613 -0.178  -0.584 -0.060  -0.526 0.043  -0.407 0.073  -0.347 0.148  -0.343 0.268  -0.258 0.337  -0.197 0.399  -0.090 0.363  -0.035 0.264  0.008 0.160  0.008 0.037  0.026 -0.081  0.087 -0.186  0.141 -0.292  0.185 -0.403  0.266 -0.445  0.381 -0.427  0.471 -0.346  0.581 -0.291  0.677 -0.219  0.718 -0.114  0.762 -0.002  0.851 0.065  0.903 0.150  1.021 0.177  1.132 0.221  1.250 0.217  1.288 0.132  1.365 0.082  1.483 0.052  1.556 -0.035  1.605 -0.112  1.705 -0.134  1.827 -0.134
2#tos#f3#f3047059/o  -0.101 0.713  -0.192 0.768  -0.339 0.768  -0.486 0.768  -0.633 0.768  -0.757 0.713  -0.820 0.629  -0.820 0.482  -0.820 0.335  -0.820 0.188  -0.820 0.041  -0.820 -0.105  -0.820 -0.252  -0.820 -0.399  -0.789 -0.541  -0.716 -0.664  -0.654 -0.785  -0.621 -0.914  -0.499 -0.996  -0.393 -1.098  -0.253 -1.113  -0.106 -1.113  0.041 -1.113  0.188 -1.113  0.335 -1.113  0.457 -1.054  0.561 -0.950  0.665 -0.846  0.769 -0.742  0.873 -0.638  0.976 -0.534  1.039 -0.405  1.061 -0.262  1.061 -0.115  1.044 0.028  1.006 0.166  0.971 0.294  0.849 0.375  0.764 0.494  0.670 0.606  0.566 0.710  0.445 0.784  0.303 0.819  0.214 0.897  0.071 0.933  -0.075 0.934  -0.222 0.934  -0.369 0.934  -0.512 0.908  -0.654 0.879
2#tos#f3#f3047059/q  0.489 0.685  0.358 0.675  0.317 0.817  0.201 0.955  0.041 0.992  -0.124 1.036  -0.307 1.036  -0.490 1.036  -0.622 0.962  -0.737 0.850  -0.832 0.725  -0.914 0.592  -0.956 0.416  -0.956 0.233  -0.956 0.050  -0.912 -0.126  -0.798 -0.261  -0.692 -0.410  -0.519 -0.454  -0.336 -0.454  -0.155 -0.440  -0.017 -0.352  0.109 -0.253  0.197 -0.133  0.345 -0.029  0.434 0.125  0.489 0.296  0.489 0.479  0.489 0.662  0.489 0.845  0.489 1.028  0.402 1.002  0.372 0.831  0.319 0.659  0.314 0.476  0.314 0.293  0.314 0.110  0.314 -0.073  0.309 -0.255  0.270 -0.433  0.270 -0.616  0.244 -0.795  0.227 -0.975  0.227 -1.158  0.227 -1.341  0.227 -1.524  0.227 -1.708  0.227 -1.891  0.270 -2.066  0.314 -2.118
2#tos#f3#f3047059/t  -1.059 0.574  -1.180 0.488  -1.322 0.433  -1.459 0.360  -1.360 0.360  -1.203 0.360  -1.046 0.360  -0.888 0.360  -0.731 0.360  -0.574 0.360  -0.417 0.360  -0.260 0.348  -0.105 0.322  0.052 0.317  0.209 0.317  0.366 0.317  0.523 0.317  0.681 0.317  0.838 0.317  0.995 0.317  1.115 0.326  0.976 0.398  0.836 0.470  0.697 0.543  0.557 0.615  0.417 0.688  0.278 0.760  0.138 0.832  -0.001 0.905  -0.108 0.842  -0.113 0.686  -0.113 0.529  -0.113 0.371  -0.113 0.214  -0.113 0.057  -0.113 -0.100  -0.113 -0.258  -0.113 -0.415  -0.113 -0.572  -0.049 -0.714  -0.001 -0.863  0.044 -1.014  0.093 -1.163  0.199 -1.264  0.278 -1.391  0.409 -1.478  0.544 -1.544  0.689 -1.574  0.847 -1.574  1.004 -1.574
2#tos#f3#f3047059/u  -0.850 0.944  -0.968 0.944  -1.077 0.908  -1.129 0.818  -1.157 0.713  -1.157 0.595  -1.157 0.478  -1.157 0.361  -1.095 0.269  -1.055 0.168  -1.055 0.051  -1.055 -0.066  -0.980 -0.153  -0.899 -0.237  -0.862 -0.349  -0.850 -0.464  -0.765 -0.529  -0.650 -0.537  -0.595 -0.600  -0.517 -0.639  -0.400 -0.639  -0.285 -0.634  -0.220 -0.537  -0.130 -0.486  -0.025 -0.446  0.069 -0.379  0.132 -0.301  0.237 -0.249  0.273 -0.154  0.356 -0.087  0.461 -0.035  0.478 0.072  0.506 0.183  0.575 0.276  0.658 0.359  0.733 0.445  0.760 0.536  0.835 0.494  0.835 0.377  0.900 0.299  0.938 0.205  0.955 0.092  1.019 -0.005  1.098 -0.091  1.142 -0.198  1.212 -0.278  1.311 -0.341  1.418 -0.384  1.535 -0.384  1.653 -0.384
2#tos#f3#f3047059/v  -1.121 0.797  -1.220 0.797  -1.308 0.766  -1.378 0.696  -1.340 0.630  -1.243 0.606  -1.153 0.569  -1.083 0.498  -1.033 0.412  -0.964 0.344  -0.881 0.289  -0.860 0.200  -0.810 0.121  -0.739 0.050  -0.660 -0.008  -0.570 -0.052  -0.494 -0.105  -0.474 -0.202  -0.443 -0.297  -0.398 -0.386  -0.312 -0.423  -0.215 -0.447  -0.152 -0.514  -0.129 -0.609  -0.076 -0.687  -0.007 -0.717  0.080 -0.730  0.141 -0.769  0.241 -0.769  0.305 -0.720  0.337 -0.625  0.422 -0.594  0.505 -0.538  0.550 -0.462  0.602 -0.378  0.657 -0.295  0.701 -0.205  0.735 -0.111  0.781 -0.031  0.876 0.001  0.948 0.062  1.003 0.145  1.082 0.202  1.153 0.267  1.209 0.350  1.229 0.444  1.282 0.510  1.333 0.579  1.400 0.648  1.490 0.693
