2#app#app11#app1169/L  -0.459 1.835  -0.388 1.765  -0.324 1.691  -0.324 1.591  -0.324 1.491  -0.324 1.391  -0.324 1.292  -0.324 1.192  -0.324 1.092  -0.324 0.992  -0.324 0.892  -0.324 0.792  -0.324 0.692  -0.324 0.593  -0.324 0.493  -0.324 0.393  -0.324 0.293  -0.324 0.193  -0.324 0.093  -0.324 -0.007  -0.324 -0.107  -0.324 -0.206  -0.324 -0.306  -0.324 -0.406  -0.324 -0.506  -0.324 -0.606  -0.324 -0.706  -0.324 -0.806  -0.324 -0.905  -0.301 -0.982  -0.201 -0.982  -0.190 -0.893  -0.135 -0.848  -0.036 -0.848  0.064 -0.848  0.164 -0.848  0.212 -0.796  0.230 -0.714  0.330 -0.714  0.430 -0.714  0.515 -0.679  0.586 -0.608  0.674 -0.579  0.771 -0.568  0.860 -0.524  0.949 -0.479  1.041 -0.445  1.141 -0.445  1.215 -0.382  1.285 -0.311
3#ced#risn4711_s_1i/L  -0.430 0.875  -0.430 0.971  -0.430 1.067  -0.410 1.159  -0.404 1.255  -0.385 1.349  -0.385 1.426  -0.385 1.330  -0.385 1.234  -0.385 1.139  -0.392 1.043  -0.408 0.949  -0.408 0.853  -0.408 0.757  -0.419 0.662  -0.430 0.567  -0.430 0.471  -0.430 0.375  -0.430 0.279  -0.430 0.183  -0.430 0.087  -0.430 -0.009  -0.430 -0.105  -0.430 -0.201  -0.430 -0.297  -0.430 -0.393  -0.414 -0.486  -0.408 -0.581  -0.401 -0.675  -0.354 -0.758  -0.277 -0.815  -0.186 -0.796  -0.092 -0.808  0.002 -0.808  0.096 -0.789  0.190 -0.771  0.284 -0.752  0.380 -0.751  0.475 -0.736  0.569 -0.719  0.664 -0.706  0.760 -0.706  0.856 -0.706  0.951 -0.700  1.046 -0.685  1.141 -0.669  1.236 -0.661  1.332 -0.661  1.426 -0.646  1.521 -0.639
3#ced#risn4711_s_1i/L  0.043 0.949  0.065 1.052  0.058 1.157  0.043 1.261  0.043 1.366  0.065 1.468  0.043 1.494  0.020 1.392  0.005 1.288  -0.016 1.185  -0.042 1.083  -0.075 0.983  -0.108 0.882  -0.147 0.785  -0.194 0.690  -0.236 0.593  -0.276 0.496  -0.318 0.399  -0.365 0.305  -0.381 0.201  -0.411 0.101  -0.456 0.005  -0.503 -0.089  -0.544 -0.186  -0.592 -0.279  -0.636 -0.374  -0.673 -0.472  -0.720 -0.567  -0.748 -0.667  -0.706 -0.752  -0.609 -0.784  -0.506 -0.808  -0.401 -0.810  -0.296 -0.810  -0.190 -0.810  -0.085 -0.810  0.021 -0.810  0.126 -0.810  0.232 -0.810  0.337 -0.806  0.441 -0.791  0.546 -0.789  0.652 -0.789  0.757 -0.789  0.861 -0.771  0.966 -0.767  1.072 -0.767  1.175 -0.746  1.280 -0.746  1.382 -0.724
1b#app#app13#app1315/L  0.041 1.849  0.041 1.750  0.041 1.652  0.041 1.553  -0.013 1.477  -0.083 1.408  -0.117 1.323  -0.117 1.225  -0.117 1.126  -0.117 1.028  -0.117 0.929  -0.165 0.850  -0.235 0.781  -0.275 0.699  -0.275 0.600  -0.275 0.502  -0.275 0.403  -0.275 0.305  -0.275 0.206  -0.275 0.108  -0.344 0.038  -0.414 -0.032  -0.434 -0.122  -0.434 -0.221  -0.434 -0.319  -0.434 -0.418  -0.434 -0.517  -0.434 -0.615  -0.434 -0.714  -0.434 -0.812  -0.367 -0.844  -0.275 -0.851  -0.275 -0.949  -0.230 -1.002  -0.131 -1.002  -0.057 -0.943  0.012 -0.873  0.099 -0.844  0.197 -0.844  0.296 -0.844  0.395 -0.844  0.493 -0.844  0.570 -0.791  0.639 -0.721  0.723 -0.686  0.822 -0.686  0.920 -0.686  1.011 -0.667  1.081 -0.597  1.150 -0.527
1b#tos#t2#t2016065/L  -0.302 1.374  -0.392 1.374  -0.482 1.375  -0.526 1.447  -0.526 1.390  -0.526 1.299  -0.526 1.209  -0.504 1.128  -0.440 1.064  -0.436 0.975  -0.436 0.884  -0.436 0.794  -0.436 0.704  -0.436 0.613  -0.436 0.523  -0.436 0.433  -0.436 0.342  -0.436 0.252  -0.436 0.161  -0.436 0.071  -0.436 -0.019  -0.436 -0.110  -0.436 -0.200  -0.436 -0.291  -0.436 -0.381  -0.436 -0.471  -0.428 -0.553  -0.391 -0.607  -0.347 -0.653  -0.291 -0.687  -0.201 -0.687  -0.110 -0.687  -0.020 -0.687  0.071 -0.687  0.161 -0.687  0.251 -0.687  0.342 -0.687  0.432 -0.687  0.522 -0.687  0.613 -0.687  0.703 -0.687  0.794 -0.687  0.884 -0.687  0.973 -0.681  1.059 -0.652  1.148 -0.643  1.238 -0.643  1.329 -0.643  1.419 -0.643  1.491 -0.598
1b#ibm#ibm0#r0211/L  0.011 1.523  0.011 1.628  0.011 1.732  0.011 1.668  0.011 1.563  -0.018 1.466  -0.064 1.372  -0.103 1.277  -0.103 1.173  -0.103 1.069  -0.103 0.964  -0.103 0.860  -0.133 0.762  -0.172 0.665  -0.211 0.568  -0.250 0.471  -0.288 0.374  -0.327 0.277  -0.332 0.174  -0.332 0.070  -0.332 -0.035  -0.332 -0.139  -0.344 -0.242  -0.370 -0.343  -0.395 -0.444  -0.420 -0.545  -0.446 -0.647  -0.446 -0.751  -0.446 -0.855  -0.446 -0.959  -0.446 -1.064  -0.446 -1.043  -0.409 -0.954  -0.335 -0.880  -0.237 -0.845  -0.138 -0.812  -0.039 -0.779  0.062 -0.763  0.167 -0.763  0.271 -0.763  0.373 -0.753  0.466 -0.707  0.560 -0.660  0.657 -0.624  0.756 -0.591  0.855 -0.558  0.955 -0.534  1.060 -0.534  1.164 -0.534  1.268 -0.534
1b#ibm#ibm0#r0211/L  -0.033 1.662  -0.136 1.662  -0.164 1.586  -0.164 1.483  -0.164 1.380  -0.164 1.276  -0.164 1.173  -0.164 1.070  -0.181 0.971  -0.227 0.878  -0.274 0.786  -0.313 0.690  -0.345 0.592  -0.378 0.494  -0.411 0.396  -0.443 0.298  -0.476 0.200  -0.509 0.102  -0.541 0.004  -0.574 -0.094  -0.607 -0.192  -0.639 -0.290  -0.672 -0.388  -0.690 -0.488  -0.690 -0.591  -0.690 -0.695  -0.690 -0.798  -0.624 -0.835  -0.525 -0.818  -0.432 -0.772  -0.340 -0.726  -0.242 -0.704  -0.140 -0.696  -0.042 -0.663  0.056 -0.630  0.154 -0.598  0.252 -0.565  0.350 -0.532  0.448 -0.500  0.546 -0.467  0.645 -0.441  0.749 -0.441  0.852 -0.441  0.955 -0.441  1.059 -0.441  1.162 -0.441  1.265 -0.441  1.359 -0.480  1.452 -0.526  1.544 -0.572
1b#ibm#ibm0#r0211/L  -0.181 1.347  -0.252 1.417  -0.283 1.504  -0.283 1.603  -0.283 1.599  -0.283 1.500  -0.283 1.401  -0.283 1.302  -0.283 1.203  -0.283 1.104  -0.283 1.005  -0.283 0.905  -0.283 0.806  -0.283 0.707  -0.283 0.608  -0.283 0.509  -0.288 0.410  -0.307 0.313  -0.327 0.216  -0.346 0.119  -0.366 0.022  -0.384 -0.076  -0.384 -0.175  -0.384 -0.274  -0.384 -0.373  -0.384 -0.472  -0.384 -0.571  -0.341 -0.660  -0.296 -0.749  -0.283 -0.845  -0.283 -0.944  -0.283 -0.914  -0.223 -0.857  -0.129 -0.826  -0.035 -0.795  0.061 -0.776  0.160 -0.776  0.259 -0.776  0.358 -0.776  0.458 -0.776  0.556 -0.769  0.652 -0.745  0.748 -0.721  0.844 -0.697  0.941 -0.675  1.032 -0.683  1.032 -0.770  1.032 -0.679  1.032 -0.774  1.032 -0.675
1b#ibm#ibm0#r0211/L  -0.227 1.666  -0.227 1.765  -0.227 1.713  -0.227 1.614  -0.227 1.515  -0.227 1.416  -0.227 1.317  -0.227 1.218  -0.227 1.118  -0.227 1.019  -0.227 0.920  -0.227 0.821  -0.227 0.722  -0.227 0.623  -0.227 0.523  -0.230 0.425  -0.254 0.328  -0.278 0.232  -0.302 0.136  -0.326 0.040  -0.350 -0.056  -0.350 -0.156  -0.350 -0.255  -0.350 -0.354  -0.350 -0.453  -0.352 -0.552  -0.397 -0.640  -0.441 -0.729  -0.473 -0.821  -0.469 -0.916  -0.370 -0.916  -0.350 -0.837  -0.297 -0.776  -0.203 -0.744  -0.109 -0.713  -0.015 -0.682  0.082 -0.670  0.181 -0.670  0.280 -0.670  0.380 -0.670  0.479 -0.670  0.578 -0.670  0.677 -0.670  0.776 -0.670  0.875 -0.670  0.975 -0.670  1.074 -0.670  1.173 -0.670  1.248 -0.694  1.248 -0.793
1b#ibm#ibm0#r0211/L  0.066 1.796  -0.036 1.796  -0.086 1.743  -0.086 1.641  -0.086 1.538  -0.086 1.435  -0.086 1.333  -0.086 1.230  -0.086 1.127  -0.089 1.025  -0.121 0.928  -0.154 0.830  -0.186 0.733  -0.219 0.636  -0.239 0.536  -0.239 0.434  -0.239 0.331  -0.239 0.228  -0.239 0.126  -0.281 0.033  -0.327 -0.059  -0.373 -0.150  -0.391 -0.249  -0.391 -0.351  -0.391 -0.454  -0.391 -0.557  -0.391 -0.659  -0.391 -0.762  -0.391 -0.865  -0.409 -0.949  -0.512 -0.949  -0.473 -0.949  -0.377 -0.935  -0.304 -0.862  -0.229 -0.794  -0.132 -0.761  -0.034 -0.729  0.063 -0.696  0.161 -0.664  0.260 -0.644  0.363 -0.644  0.465 -0.644  0.568 -0.644  0.671 -0.644  0.773 -0.644  0.876 -0.644  0.978 -0.644  1.081 -0.644  1.184 -0.644  1.286 -0.644
1b#ibm#ibm0#r0211/L  -0.087 2.021  -0.087 1.914  -0.087 1.806  -0.087 1.699  -0.087 1.592  -0.087 1.484  -0.087 1.377  -0.087 1.270  -0.087 1.163  -0.087 1.055  -0.087 0.948  -0.087 0.841  -0.087 0.733  -0.087 0.626  -0.087 0.519  -0.087 0.411  -0.087 0.304  -0.087 0.197  -0.093 0.090  -0.127 -0.012  -0.161 -0.113  -0.195 -0.215  -0.229 -0.317  -0.247 -0.421  -0.247 -0.529  -0.247 -0.636  -0.285 -0.727  -0.361 -0.803  -0.406 -0.892  -0.406 -0.999  -0.406 -0.908  -0.406 -0.801  -0.406 -0.694  -0.406 -0.791  -0.371 -0.813  -0.295 -0.737  -0.207 -0.689  -0.100 -0.689  0.007 -0.689  0.115 -0.689  0.222 -0.689  0.329 -0.689  0.437 -0.689  0.544 -0.689  0.651 -0.689  0.759 -0.689  0.866 -0.689  0.973 -0.689  1.081 -0.689  1.188 -0.689
1b#ibm#ibm0#r0211/L  -0.352 1.911  -0.352 1.799  -0.352 1.686  -0.352 1.574  -0.352 1.462  -0.352 1.349  -0.352 1.237  -0.352 1.125  -0.352 1.013  -0.352 0.900  -0.352 0.788  -0.352 0.676  -0.352 0.564  -0.352 0.451  -0.357 0.340  -0.393 0.233  -0.428 0.127  -0.464 0.020  -0.482 -0.089  -0.482 -0.201  -0.482 -0.314  -0.482 -0.426  -0.482 -0.538  -0.482 -0.650  -0.482 -0.763  -0.547 -0.810  -0.611 -0.762  -0.581 -0.680  -0.468 -0.680  -0.356 -0.680  -0.244 -0.680  -0.141 -0.640  -0.041 -0.589  0.063 -0.551  0.175 -0.551  0.287 -0.551  0.399 -0.551  0.512 -0.551  0.617 -0.520  0.717 -0.470  0.818 -0.421  0.930 -0.421  1.013 -0.491  1.093 -0.531  1.172 -0.452  1.203 -0.490  1.151 -0.551  1.039 -0.551  0.926 -0.551  0.814 -0.551
1b#ibm#ibm0#r0211/L  -0.087 2.021  -0.087 1.914  -0.087 1.806  -0.087 1.699  -0.087 1.592  -0.087 1.484  -0.087 1.377  -0.087 1.270  -0.087 1.163  -0.087 1.055  -0.087 0.948  -0.087 0.841  -0.087 0.733  -0.087 0.626  -0.087 0.519  -0.087 0.411  -0.087 0.304  -0.087 0.197  -0.093 0.090  -0.127 -0.012  -0.161 -0.113  -0.195 -0.215  -0.229 -0.317  -0.247 -0.421  -0.247 -0.529  -0.247 -0.636  -0.285 -0.727  -0.361 -0.803  -0.406 -0.892  -0.406 -0.999  -0.406 -0.908  -0.406 -0.801  -0.406 -0.694  -0.406 -0.791  -0.371 -0.813  -0.295 -0.737  -0.207 -0.689  -0.100 -0.689  0.007 -0.689  0.115 -0.689  0.222 -0.689  0.329 -0.689  0.437 -0.689  0.544 -0.689  0.651 -0.689  0.759 -0.689  0.866 -0.689  0.973 -0.689  1.081 -0.689  1.188 -0.689
1b#ibm#ibm0#r0211/L  -0.029 1.460  -0.037 1.549  -0.045 1.639  -0.049 1.647  -0.049 1.557  -0.049 1.468  -0.049 1.378  -0.052 1.288  -0.056 1.199  -0.060 1.109  -0.063 1.019  -0.067 0.930  -0.075 0.841  -0.100 0.754  -0.125 0.668  -0.149 0.582  -0.174 0.496  -0.199 0.409  -0.223 0.323  -0.241 0.235  -0.252 0.146  -0.263 0.057  -0.275 -0.032  -0.286 -0.121  -0.297 -0.210  -0.313 -0.298  -0.329 -0.386  -0.345 -0.475  -0.362 -0.563  -0.378 -0.651  -0.394 -0.739  -0.391 -0.827  -0.374 -0.915  -0.341 -0.990  -0.255 -1.014  -0.168 -1.017  -0.079 -1.000  0.009 -0.984  0.097 -0.967  0.185 -0.949  0.272 -0.930  0.360 -0.911  0.448 -0.895  0.537 -0.881  0.626 -0.868  0.714 -0.854  0.803 -0.840  0.892 -0.826  0.980 -0.812  1.069 -0.798
1b#ibm#ibm0#r0211/L  -0.226 1.823  -0.226 1.729  -0.226 1.635  -0.226 1.541  -0.226 1.448  -0.237 1.354  -0.249 1.261  -0.260 1.168  -0.272 1.075  -0.283 0.982  -0.294 0.888  -0.302 0.795  -0.311 0.701  -0.319 0.608  -0.328 0.514  -0.336 0.421  -0.345 0.327  -0.353 0.233  -0.363 0.140  -0.374 0.047  -0.384 -0.047  -0.395 -0.140  -0.405 -0.233  -0.416 -0.327  -0.418 -0.420  -0.418 -0.514  -0.418 -0.608  -0.418 -0.702  -0.418 -0.796  -0.418 -0.890  -0.361 -0.892  -0.277 -0.850  -0.193 -0.808  -0.106 -0.774  -0.017 -0.744  0.072 -0.714  0.161 -0.685  0.252 -0.665  0.346 -0.665  0.440 -0.665  0.534 -0.665  0.628 -0.665  0.722 -0.665  0.816 -0.665  0.909 -0.665  1.003 -0.665  1.097 -0.665  1.190 -0.661  1.280 -0.631  1.369 -0.601
3#app#app32#app3242/L  -0.194 1.932  -0.194 1.837  -0.194 1.741  -0.194 1.646  -0.194 1.551  -0.194 1.455  -0.194 1.360  -0.194 1.265  -0.194 1.169  -0.194 1.074  -0.194 0.979  -0.194 0.883  -0.194 0.788  -0.194 0.693  -0.194 0.597  -0.194 0.502  -0.194 0.406  -0.194 0.311  -0.194 0.216  -0.194 0.120  -0.194 0.025  -0.194 -0.070  -0.194 -0.166  -0.194 -0.261  -0.194 -0.356  -0.194 -0.452  -0.194 -0.547  -0.194 -0.642  -0.194 -0.738  -0.194 -0.833  -0.194 -0.928  -0.194 -1.024  -0.194 -1.119  -0.194 -1.139  -0.194 -1.043  -0.106 -1.035  -0.023 -1.006  0.044 -0.939  0.118 -0.880  0.203 -0.837  0.288 -0.794  0.374 -0.753  0.469 -0.753  0.549 -0.716  0.617 -0.649  0.697 -0.611  0.792 -0.611  0.887 -0.611  0.937 -0.565  0.937 -0.470
3#app#app32#app3242/L  0.168 1.611  0.223 1.556  0.278 1.501  0.333 1.446  0.388 1.391  0.391 1.315  0.391 1.238  0.391 1.160  0.391 1.083  0.391 1.005  0.380 0.932  0.325 0.877  0.271 0.823  0.216 0.768  0.168 0.710  0.168 0.633  0.168 0.555  0.168 0.478  0.168 0.400  0.168 0.323  0.168 0.245  0.168 0.168  0.168 0.090  0.132 0.035  0.063 0.000  -0.006 -0.034  -0.076 -0.069  -0.145 -0.104  -0.214 -0.138  -0.277 -0.177  -0.277 -0.255  -0.277 -0.332  -0.277 -0.410  -0.277 -0.487  -0.277 -0.565  -0.277 -0.642  -0.277 -0.720  -0.277 -0.797  -0.277 -0.875  -0.277 -0.952  -0.277 -1.030  -0.277 -1.107  -0.277 -1.185  -0.277 -1.262  -0.277 -1.340  -0.277 -1.417  -0.277 -1.495  -0.277 -1.572  -0.277 -1.650  -0.277 -1.727
3#app#app35#app3521/L  -0.324 1.681  -0.242 1.681  -0.179 1.662  -0.179 1.579  -0.179 1.497  -0.179 1.415  -0.179 1.332  -0.179 1.250  -0.179 1.168  -0.179 1.086  -0.179 1.003  -0.179 0.921  -0.179 0.839  -0.179 0.756  -0.179 0.674  -0.179 0.592  -0.179 0.509  -0.179 0.427  -0.179 0.345  -0.179 0.262  -0.179 0.180  -0.179 0.098  -0.179 0.015  -0.179 -0.067  -0.179 -0.149  -0.179 -0.231  -0.179 -0.314  -0.179 -0.396  -0.179 -0.478  -0.179 -0.561  -0.179 -0.643  -0.179 -0.725  -0.179 -0.808  -0.179 -0.890  -0.148 -0.959  -0.089 -1.017  -0.030 -1.072  0.052 -1.072  0.135 -1.072  0.217 -1.072  0.287 -1.041  0.345 -0.983  0.404 -0.927  0.486 -0.927  0.569 -0.927  0.651 -0.927  0.733 -0.927  0.816 -0.927  0.898 -0.927  0.980 -0.927
2#kai#kai0#scoh1/L  0.175 1.837  0.175 1.752  0.173 1.667  0.156 1.583  0.139 1.500  0.123 1.416  0.097 1.335  0.070 1.254  0.067 1.169  0.067 1.084  0.040 1.003  0.013 0.922  -0.008 0.840  -0.028 0.757  -0.052 0.675  -0.079 0.594  -0.106 0.513  -0.133 0.432  -0.147 0.350  -0.147 0.264  -0.147 0.179  -0.154 0.095  -0.174 0.012  -0.195 -0.071  -0.201 -0.155  -0.201 -0.241  -0.240 -0.314  -0.287 -0.385  -0.309 -0.464  -0.309 -0.549  -0.326 -0.631  -0.353 -0.712  -0.376 -0.794  -0.397 -0.877  -0.411 -0.957  -0.340 -1.005  -0.269 -1.052  -0.187 -1.062  -0.102 -1.062  -0.016 -1.062  0.066 -1.044  0.147 -1.017  0.231 -1.008  0.316 -1.008  0.398 -0.987  0.479 -0.960  0.563 -0.954  0.648 -0.954  0.734 -0.954  0.819 -0.954
3#app#app06#app0637/L  -0.229 1.715  -0.229 1.641  -0.229 1.567  -0.229 1.494  -0.229 1.420  -0.215 1.350  -0.182 1.284  -0.149 1.218  -0.116 1.152  -0.116 1.078  -0.116 1.004  -0.116 0.931  -0.116 0.857  -0.116 0.783  -0.116 0.710  -0.116 0.636  -0.097 0.570  -0.045 0.518  -0.003 0.462  -0.003 0.388  -0.003 0.314  -0.003 0.240  -0.003 0.167  -0.003 0.093  -0.003 0.019  -0.003 -0.054  -0.003 -0.128  -0.003 -0.202  -0.003 -0.275  -0.003 -0.349  -0.003 -0.423  -0.003 -0.496  -0.003 -0.570  -0.003 -0.644  0.044 -0.698  0.096 -0.750  0.109 -0.818  0.109 -0.892  0.109 -0.966  0.109 -1.039  0.109 -1.113  0.109 -1.187  0.156 -1.213  0.222 -1.222  0.222 -1.295  0.222 -1.369  0.226 -1.438  0.300 -1.438  0.334 -1.477  0.334 -1.551
1b#apb#apb38#app3855/L  -0.094 1.005  -0.041 1.084  -0.007 1.173  0.023 1.263  0.054 1.354  0.063 1.448  0.053 1.474  0.027 1.382  0.001 1.290  -0.029 1.200  -0.059 1.109  -0.101 1.023  -0.144 0.938  -0.186 0.852  -0.224 0.765  -0.243 0.671  -0.261 0.578  -0.280 0.484  -0.312 0.394  -0.346 0.305  -0.381 0.216  -0.415 0.127  -0.445 0.037  -0.464 -0.057  -0.483 -0.151  -0.501 -0.244  -0.530 -0.335  -0.561 -0.426  -0.544 -0.517  -0.518 -0.609  -0.481 -0.696  -0.419 -0.765  -0.331 -0.803  -0.244 -0.841  -0.159 -0.885  -0.077 -0.933  0.007 -0.977  0.103 -0.977  0.198 -0.977  0.294 -0.977  0.389 -0.977  0.485 -0.977  0.578 -0.961  0.667 -0.928  0.757 -0.896  0.847 -0.863  0.940 -0.851  1.036 -0.851  1.131 -0.851  1.227 -0.851
3#apa#apa01#app0158/L  -0.347 1.820  -0.347 1.722  -0.347 1.624  -0.347 1.526  -0.334 1.434  -0.264 1.364  -0.223 1.284  -0.223 1.186  -0.223 1.088  -0.261 0.999  -0.305 0.911  -0.347 0.823  -0.347 0.725  -0.347 0.627  -0.347 0.529  -0.347 0.431  -0.347 0.333  -0.347 0.235  -0.347 0.137  -0.347 0.039  -0.347 -0.059  -0.347 -0.157  -0.347 -0.255  -0.347 -0.353  -0.347 -0.451  -0.347 -0.549  -0.347 -0.647  -0.347 -0.745  -0.347 -0.843  -0.347 -0.885  -0.346 -0.789  -0.248 -0.789  -0.150 -0.789  -0.052 -0.789  0.025 -0.768  0.025 -0.670  0.118 -0.664  0.216 -0.664  0.314 -0.664  0.412 -0.664  0.510 -0.664  0.608 -0.664  0.706 -0.664  0.804 -0.664  0.902 -0.664  1.000 -0.664  1.098 -0.664  1.196 -0.664  1.294 -0.664  1.392 -0.664
3#ced#gyen4328_s_2c/L  0.157 1.688  0.082 1.744  0.041 1.704  -0.007 1.624  -0.043 1.538  -0.071 1.446  -0.100 1.355  -0.115 1.260  -0.121 1.165  -0.121 1.069  -0.143 0.976  -0.144 0.880  -0.167 0.787  -0.188 0.693  -0.191 0.598  -0.191 0.502  -0.208 0.408  -0.214 0.313  -0.228 0.218  -0.249 0.125  -0.270 0.031  -0.290 -0.062  -0.313 -0.155  -0.336 -0.248  -0.368 -0.338  -0.399 -0.424  -0.413 -0.518  -0.438 -0.610  -0.445 -0.705  -0.445 -0.801  -0.445 -0.897  -0.427 -0.990  -0.358 -1.051  -0.263 -1.055  -0.184 -1.002  -0.115 -0.935  -0.034 -0.886  0.055 -0.850  0.141 -0.808  0.228 -0.769  0.317 -0.732  0.405 -0.694  0.499 -0.685  0.595 -0.685  0.687 -0.662  0.780 -0.684  0.874 -0.692  0.968 -0.708  1.061 -0.724  1.152 -0.754
3#ced#gyen4328_s_2c/L  -0.210 1.451  -0.210 1.532  -0.170 1.600  -0.137 1.585  -0.121 1.507  -0.121 1.427  -0.145 1.350  -0.151 1.270  -0.151 1.190  -0.165 1.111  -0.181 1.033  -0.181 0.953  -0.181 0.872  -0.161 0.794  -0.151 0.715  -0.159 0.635  -0.178 0.557  -0.181 0.476  -0.181 0.396  -0.181 0.315  -0.181 0.235  -0.181 0.154  -0.181 0.073  -0.169 -0.006  -0.151 -0.084  -0.151 -0.165  -0.151 -0.245  -0.151 -0.326  -0.151 -0.406  -0.151 -0.487  -0.151 -0.568  -0.151 -0.648  -0.151 -0.729  -0.151 -0.809  -0.148 -0.890  -0.128 -0.968  -0.085 -1.032  -0.026 -1.085  0.055 -1.085  0.135 -1.085  0.215 -1.081  0.292 -1.056  0.372 -1.055  0.453 -1.055  0.533 -1.055  0.614 -1.055  0.695 -1.055  0.775 -1.055  0.855 -1.059  0.932 -1.085
3#ced#gyen4328_s_2c/L  -0.169 1.327  -0.231 1.401  -0.219 1.491  -0.138 1.541  -0.112 1.524  -0.157 1.439  -0.193 1.348  -0.220 1.254  -0.244 1.160  -0.268 1.068  -0.284 0.973  -0.317 0.882  -0.340 0.787  -0.355 0.691  -0.369 0.594  -0.381 0.497  -0.383 0.400  -0.391 0.303  -0.403 0.206  -0.416 0.109  -0.404 0.012  -0.411 -0.084  -0.417 -0.181  -0.417 -0.279  -0.417 -0.377  -0.417 -0.474  -0.417 -0.572  -0.403 -0.668  -0.400 -0.765  -0.383 -0.860  -0.364 -0.934  -0.304 -0.864  -0.240 -0.791  -0.154 -0.747  -0.060 -0.730  0.037 -0.715  0.134 -0.713  0.232 -0.713  0.329 -0.713  0.427 -0.713  0.525 -0.713  0.622 -0.713  0.720 -0.713  0.817 -0.713  0.915 -0.713  1.013 -0.713  1.110 -0.713  1.208 -0.713  1.306 -0.713  1.401 -0.697
3#apa#apa02#app0258/L  0.222 1.731  0.222 1.637  0.171 1.565  0.106 1.498  0.106 1.405  0.055 1.333  -0.009 1.266  -0.009 1.172  -0.009 1.079  -0.009 0.986  -0.040 0.923  -0.125 0.914  -0.125 0.821  -0.181 0.751  -0.240 0.682  -0.240 0.588  -0.240 0.495  -0.240 0.402  -0.266 0.319  -0.332 0.253  -0.356 0.169  -0.383 0.087  -0.449 0.021  -0.471 -0.063  -0.471 -0.157  -0.471 -0.250  -0.471 -0.343  -0.471 -0.437  -0.471 -0.530  -0.471 -0.624  -0.471 -0.717  -0.470 -0.810  -0.404 -0.876  -0.331 -0.924  -0.237 -0.924  -0.144 -0.924  -0.050 -0.924  0.043 -0.924  0.136 -0.924  0.230 -0.924  0.323 -0.924  0.417 -0.924  0.510 -0.924  0.603 -0.924  0.696 -0.920  0.785 -0.891  0.873 -0.861  0.962 -0.832  1.052 -0.809  1.145 -0.809
3#apa#apa02#app0258/L  0.008 1.216  0.105 1.216  0.128 1.290  0.128 1.386  0.102 1.456  0.008 1.453  0.008 1.356  -0.046 1.282  -0.115 1.213  -0.183 1.145  -0.232 1.068  -0.232 0.971  -0.232 0.874  -0.287 0.800  -0.352 0.730  -0.352 0.633  -0.352 0.537  -0.352 0.440  -0.352 0.343  -0.352 0.246  -0.352 0.149  -0.434 0.134  -0.473 0.075  -0.473 -0.021  -0.473 -0.118  -0.473 -0.215  -0.473 -0.312  -0.429 -0.391  -0.360 -0.459  -0.352 -0.553  -0.352 -0.650  -0.325 -0.735  -0.256 -0.804  -0.232 -0.891  -0.193 -0.948  -0.096 -0.948  0.001 -0.948  0.098 -0.948  0.195 -0.948  0.292 -0.948  0.388 -0.948  0.485 -0.948  0.582 -0.948  0.679 -0.948  0.776 -0.948  0.873 -0.948  0.970 -0.948  1.038 -0.880  1.114 -0.828  1.211 -0.828
1b#app#app13#app1329/L  -0.092 1.941  -0.092 1.832  -0.092 1.723  -0.092 1.614  -0.092 1.505  -0.092 1.396  -0.092 1.287  -0.093 1.179  -0.171 1.102  -0.201 1.005  -0.201 0.896  -0.201 0.787  -0.201 0.678  -0.201 0.569  -0.231 0.467  -0.280 0.370  -0.309 0.268  -0.309 0.159  -0.329 0.055  -0.377 -0.043  -0.418 -0.142  -0.418 -0.251  -0.418 -0.360  -0.418 -0.469  -0.432 -0.573  -0.509 -0.650  -0.527 -0.751  -0.527 -0.860  -0.527 -0.969  -0.442 -0.994  -0.418 -0.909  -0.333 -0.885  -0.224 -0.885  -0.201 -0.800  -0.115 -0.776  -0.006 -0.776  0.078 -0.715  0.167 -0.668  0.276 -0.668  0.385 -0.668  0.481 -0.638  0.559 -0.561  0.667 -0.559  0.776 -0.559  0.778 -0.452  0.885 -0.450  0.994 -0.450  1.103 -0.450  1.212 -0.450  1.321 -0.450
1b#aga#nikkshmn/L  -0.532 1.430  -0.432 1.430  -0.452 1.404  -0.452 1.304  -0.452 1.204  -0.452 1.104  -0.452 1.004  -0.454 0.905  -0.494 0.813  -0.512 0.717  -0.522 0.619  -0.552 0.523  -0.552 0.424  -0.577 0.328  -0.592 0.231  -0.592 0.132  -0.612 0.037  -0.659 -0.050  -0.712 -0.124  -0.712 -0.223  -0.771 -0.234  -0.731 -0.243  -0.707 -0.253  -0.745 -0.229  -0.685 -0.274  -0.603 -0.331  -0.506 -0.354  -0.408 -0.372  -0.309 -0.388  -0.210 -0.388  -0.112 -0.408  -0.015 -0.430  0.085 -0.440  0.184 -0.450  0.283 -0.460  0.383 -0.470  0.482 -0.479  0.582 -0.489  0.681 -0.498  0.780 -0.508  0.879 -0.521  0.979 -0.528  1.079 -0.528  1.179 -0.528  1.278 -0.528  1.377 -0.532  1.470 -0.568  1.568 -0.582  1.667 -0.588  1.627 -0.608
