2#tos#f1#f1020059/#  -0.760 0.880  -1.123 0.684  -1.280 0.631  -0.857 0.631  -0.435 0.631  -0.017 0.672  0.405 0.681  0.827 0.681  1.249 0.681  1.031 0.533  0.652 0.348  0.273 0.163  -0.107 -0.023  -0.486 -0.208  -0.810 -0.427  -1.162 -0.617  -1.156 -0.715  -0.734 -0.715  -0.312 -0.715  0.091 -0.616  0.513 -0.616  0.927 -0.665  1.245 -0.613  0.992 -0.276  0.739 0.062  0.485 0.400  0.232 0.738  -0.021 1.075  -0.354 1.230  -0.511 1.163  -0.511 0.741  -0.511 0.319  -0.511 -0.103  -0.511 -0.525  -0.511 -0.947  -0.490 -1.262  -0.335 -0.869  -0.180 -0.477  -0.024 -0.085  0.131 0.308  0.286 0.700  0.437 1.094  0.387 0.893  0.387 0.471  0.387 0.049  0.387 -0.373  0.387 -0.795  0.387 -1.217  0.387 -1.640  0.486 -1.962
2#tos#f1#f1020059/M  -0.477 1.073  -0.609 1.000  -0.658 0.845  -0.658 0.640  -0.658 0.436  -0.730 0.253  -0.730 0.049  -0.730 -0.156  -0.730 -0.360  -0.716 -0.563  -0.694 -0.764  -0.694 -0.968  -0.730 -1.164  -0.706 -0.978  -0.682 -0.775  -0.657 -0.572  -0.632 -0.369  -0.607 -0.166  -0.582 0.037  -0.557 0.240  -0.532 0.443  -0.513 0.646  -0.644 0.758  -0.798 0.855  -0.658 0.751  -0.513 0.636  -0.469 0.450  -0.382 0.268  -0.323 0.078  -0.232 -0.105  -0.129 -0.282  0.026 -0.410  0.185 -0.485  0.371 -0.438  0.516 -0.299  0.621 -0.124  0.731 0.048  0.836 0.221  0.941 0.394  1.020 0.578  1.189 0.649  1.241 0.535  1.262 0.335  1.298 0.137  1.298 -0.068  1.311 -0.270  1.334 -0.471  1.370 -0.669  1.402 -0.869  1.479 -1.028
2#tos#f1#f1020059/Q  -0.030 1.171  -0.156 1.259  -0.322 1.201  -0.439 1.042  -0.601 0.908  -0.772 0.780  -0.892 0.604  -0.979 0.412  -1.031 0.204  -1.083 -0.003  -1.086 -0.216  -1.055 -0.421  -0.938 -0.597  -0.771 -0.726  -0.600 -0.854  -0.406 -0.940  -0.206 -0.985  0.008 -0.985  0.221 -0.985  0.389 -0.874  0.572 -0.780  0.716 -0.637  0.827 -0.463  0.902 -0.265  0.938 -0.060  0.938 0.154  0.938 0.368  0.938 0.581  0.797 0.700  0.718 0.860  0.523 0.939  0.348 1.039  0.135 1.039  -0.079 1.039  -0.234 0.931  -0.368 0.831  -0.286 0.633  -0.204 0.436  -0.122 0.239  -0.040 0.042  0.043 -0.156  -0.021 -0.313  -0.162 -0.431  0.009 -0.496  0.128 -0.667  0.277 -0.808  0.424 -0.962  0.555 -1.130  0.686 -1.274  0.850 -1.381
2#tos#f1#f1020059/U  -0.352 1.264  -0.469 1.264  -0.586 1.264  -0.629 1.177  -0.663 1.068  -0.663 0.951  -0.663 0.834  -0.663 0.718  -0.663 0.601  -0.663 0.484  -0.663 0.368  -0.663 0.251  -0.663 0.134  -0.663 0.017  -0.663 -0.099  -0.663 -0.216  -0.663 -0.333  -0.644 -0.447  -0.606 -0.557  -0.554 -0.661  -0.507 -0.767  -0.507 -0.884  -0.466 -0.991  -0.390 -1.078  -0.289 -1.116  -0.172 -1.116  -0.055 -1.116  0.061 -1.116  0.166 -1.063  0.248 -0.981  0.308 -0.882  0.360 -0.777  0.436 -0.690  0.518 -0.607  0.552 -0.497  0.581 -0.384  0.609 -0.271  0.650 -0.165  0.733 -0.082  0.777 0.026  0.820 0.134  0.838 0.247  0.838 0.364  0.868 0.476  0.889 0.589  0.889 0.706  0.889 0.823  0.929 0.930  0.941 1.044  0.941 1.161
2#tos#f1#f1020059/W  -0.948 0.646  -0.960 0.830  -1.119 0.902  -1.161 0.841  -1.161 0.652  -1.128 0.474  -1.033 0.317  -1.011 0.131  -0.946 -0.045  -0.909 -0.231  -0.829 -0.401  -0.777 -0.578  -0.734 -0.761  -0.691 -0.940  -0.631 -1.031  -0.506 -0.896  -0.436 -0.720  -0.398 -0.535  -0.333 -0.358  -0.279 -0.178  -0.206 -0.005  -0.154 0.176  -0.105 0.357  -0.094 0.545  -0.094 0.733  -0.051 0.905  -0.007 0.986  0.077 0.832  0.077 0.643  0.136 0.472  0.162 0.291  0.248 0.128  0.269 -0.058  0.344 -0.230  0.376 -0.412  0.428 -0.589  0.500 -0.758  0.589 -0.917  0.720 -0.976  0.884 -0.893  0.934 -0.713  1.016 -0.543  1.028 -0.358  1.125 -0.196  1.198 -0.023  1.236 0.161  1.272 0.346  1.322 0.490  1.358 0.671  1.400 0.817
2#tos#f1#f1020059/X  -0.688 1.525  -0.802 1.408  -0.953 1.318  -1.012 1.207  -0.957 1.039  -0.895 0.880  -0.798 0.734  -0.739 0.569  -0.620 0.445  -0.491 0.324  -0.384 0.181  -0.277 0.039  -0.151 -0.087  -0.014 -0.201  0.103 -0.331  0.195 -0.483  0.297 -0.629  0.406 -0.769  0.525 -0.901  0.595 -1.062  0.663 -1.199  0.683 -1.294  0.708 -1.118  0.733 -0.941  0.759 -0.765  0.784 -0.589  0.809 -0.412  0.834 -0.236  0.859 -0.060  0.885 0.117  0.910 0.293  0.935 0.469  0.960 0.646  0.841 0.697  0.663 0.697  0.503 0.734  0.362 0.630  0.261 0.485  0.136 0.379  0.065 0.232  -0.060 0.113  -0.209 0.016  -0.354 -0.086  -0.480 -0.212  -0.606 -0.338  -0.732 -0.464  -0.874 -0.570  -0.986 -0.708  -1.130 -0.807  -1.267 -0.917
2#tos#f1#f1020059/Z  -0.416 1.032  -0.553 1.032  -0.573 1.149  -0.477 1.190  -0.340 1.190  -0.203 1.190  -0.067 1.178  0.065 1.150  0.195 1.111  0.324 1.071  0.447 1.036  0.566 0.992  0.639 0.903  0.688 0.784  0.666 0.655  0.598 0.537  0.498 0.462  0.385 0.401  0.291 0.312  0.163 0.271  0.066 0.174  -0.044 0.095  -0.168 0.035  -0.295 -0.015  -0.402 -0.097  -0.499 -0.194  -0.596 -0.291  -0.694 -0.387  -0.827 -0.421  -0.930 -0.507  -1.005 -0.620  -1.071 -0.663  -0.945 -0.713  -0.815 -0.741  -0.678 -0.741  -0.541 -0.741  -0.413 -0.782  -0.285 -0.820  -0.148 -0.820  -0.010 -0.820  0.125 -0.834  0.260 -0.860  0.397 -0.860  0.534 -0.860  0.672 -0.860  0.809 -0.860  0.946 -0.860  1.083 -0.860  1.220 -0.860  1.358 -0.860
2#tos#f1#f1020059/a  -0.102 0.188  -0.102 0.012  -0.102 -0.163  -0.073 -0.004  0.073 0.094  0.143 0.240  0.240 0.386  0.319 0.488  0.319 0.664  0.319 0.839  0.224 0.960  0.049 0.960  -0.057 1.031  -0.232 1.031  -0.408 1.031  -0.573 0.998  -0.719 0.900  -0.821 0.759  -0.938 0.632  -1.078 0.527  -1.211 0.413  -1.226 0.243  -1.226 0.068  -1.226 -0.108  -1.226 -0.283  -1.216 -0.454  -1.075 -0.555  -0.906 -0.585  -0.731 -0.585  -0.555 -0.585  -0.380 -0.584  -0.207 -0.555  -0.034 -0.526  0.135 -0.482  0.295 -0.413  0.441 -0.316  0.587 -0.219  0.670 -0.088  0.741 0.017  0.746 0.188  0.823 0.080  0.879 -0.087  0.881 -0.262  0.941 -0.423  1.019 -0.580  1.099 -0.736  1.196 -0.882  1.314 -1.006  1.457 -1.050  1.513 -1.217
2#tos#f1#f1020059/c  0.836 0.583  0.790 0.640  0.755 0.722  0.682 0.795  0.650 0.884  0.577 0.957  0.504 1.030  0.406 1.045  0.303 1.045  0.200 1.045  0.097 1.045  -0.005 1.034  -0.103 1.001  -0.199 0.965  -0.295 0.927  -0.391 0.889  -0.466 0.824  -0.523 0.738  -0.580 0.652  -0.638 0.567  -0.682 0.474  -0.715 0.377  -0.723 0.275  -0.723 0.171  -0.723 0.068  -0.723 -0.035  -0.723 -0.138  -0.723 -0.241  -0.723 -0.345  -0.696 -0.440  -0.639 -0.525  -0.568 -0.598  -0.482 -0.655  -0.402 -0.720  -0.329 -0.793  -0.235 -0.831  -0.137 -0.864  -0.039 -0.896  0.057 -0.933  0.150 -0.976  0.253 -0.976  0.357 -0.976  0.460 -0.976  0.563 -0.976  0.666 -0.976  0.769 -0.976  0.873 -0.976  0.976 -0.976  1.079 -0.976  1.182 -0.976
2#tos#f1#f1020059/h  -0.333 1.559  -0.409 1.607  -0.532 1.602  -0.595 1.498  -0.623 1.378  -0.623 1.254  -0.623 1.129  -0.623 1.004  -0.623 0.879  -0.623 0.755  -0.623 0.630  -0.623 0.505  -0.623 0.381  -0.623 0.256  -0.623 0.131  -0.623 0.007  -0.623 -0.118  -0.623 -0.243  -0.623 -0.367  -0.572 -0.480  -0.527 -0.594  -0.527 -0.719  -0.496 -0.813  -0.381 -0.803  -0.359 -0.686  -0.284 -0.586  -0.211 -0.485  -0.142 -0.381  -0.073 -0.277  -0.043 -0.162  0.056 -0.135  0.127 -0.061  0.198 0.026  0.311 0.073  0.422 0.107  0.547 0.107  0.603 0.026  0.635 -0.091  0.671 -0.207  0.684 -0.329  0.772 -0.417  0.829 -0.527  0.829 -0.652  0.856 -0.770  0.925 -0.841  1.030 -0.861  1.155 -0.861  1.280 -0.861  1.395 -0.820  1.506 -0.764
2#tos#f1#f1020059/l  -0.945 -0.359  -0.948 -0.516  -1.060 -0.628  -1.150 -0.749  -1.201 -0.856  -1.110 -0.923  -0.952 -0.923  -0.794 -0.923  -0.638 -0.892  -0.483 -0.861  -0.328 -0.830  -0.173 -0.799  -0.019 -0.766  0.093 -0.654  0.211 -0.550  0.352 -0.479  0.448 -0.360  0.530 -0.224  0.617 -0.092  0.643 0.058  0.667 0.212  0.726 0.359  0.746 0.513  0.746 0.671  0.746 0.830  0.742 0.987  0.704 1.141  0.687 1.296  0.585 1.402  0.449 1.475  0.295 1.486  0.150 1.454  0.075 1.316  0.023 1.167  -0.048 1.025  -0.090 0.875  -0.116 0.719  -0.125 0.561  -0.125 0.403  -0.125 0.245  -0.125 0.086  -0.125 -0.072  -0.120 -0.230  -0.089 -0.385  -0.055 -0.539  -0.014 -0.692  0.039 -0.841  0.109 -0.982  0.241 -1.026  0.336 -1.128
2#tos#f1#f1020059/n  -1.064 -0.340  -1.165 -0.364  -1.185 -0.483  -1.204 -0.603  -1.209 -0.633  -1.209 -0.513  -1.209 -0.392  -1.200 -0.273  -1.146 -0.165  -1.092 -0.057  -1.016 0.009  -1.016 0.130  -0.919 0.191  -0.858 0.287  -0.775 0.324  -0.765 0.441  -0.661 0.480  -0.540 0.480  -0.425 0.444  -0.340 0.398  -0.340 0.277  -0.325 0.160  -0.245 0.094  -0.244 -0.026  -0.244 -0.147  -0.124 -0.147  -0.099 -0.243  0.021 -0.244  0.121 -0.204  0.188 -0.103  0.244 0.003  0.330 0.088  0.335 0.207  0.412 0.210  0.505 0.142  0.559 0.050  0.623 -0.049  0.743 -0.051  0.812 -0.135  0.925 -0.147  1.046 -0.147  1.166 -0.147  1.280 -0.126  1.377 -0.054  1.461 0.029  1.515 0.137  1.600 0.210  1.711 0.255  1.811 0.322  1.831 0.432
2#tos#f1#f1020059/o  0.012 0.746  -0.134 0.746  -0.280 0.746  -0.349 0.824  -0.495 0.824  -0.641 0.824  -0.720 0.731  -0.766 0.592  -0.845 0.524  -0.845 0.377  -0.845 0.231  -0.845 0.085  -0.845 -0.061  -0.845 -0.208  -0.767 -0.276  -0.767 -0.422  -0.767 -0.569  -0.767 -0.715  -0.680 -0.826  -0.598 -0.948  -0.513 -1.066  -0.391 -1.123  -0.244 -1.123  -0.098 -1.123  0.048 -1.123  0.194 -1.123  0.325 -1.071  0.446 -0.990  0.580 -0.934  0.717 -0.885  0.798 -0.763  0.882 -0.643  0.947 -0.524  0.947 -0.378  0.947 -0.232  0.947 -0.085  0.947 0.061  0.900 0.193  0.819 0.315  0.761 0.447  0.715 0.586  0.713 0.732  0.581 0.746  0.448 0.801  0.349 0.903  0.268 1.025  0.139 1.058  -0.007 1.058  -0.153 1.058  -0.222 0.980
2#tos#f1#f1020059/u  -0.473 0.818  -0.576 0.818  -0.678 0.818  -0.780 0.818  -0.883 0.818  -0.985 0.818  -1.058 0.749  -1.063 0.648  -1.063 0.546  -1.063 0.443  -1.063 0.341  -1.063 0.239  -1.063 0.136  -1.063 0.034  -1.029 -0.060  -0.983 -0.152  -0.937 -0.243  -0.867 -0.311  -0.776 -0.356  -0.702 -0.426  -0.630 -0.499  -0.531 -0.508  -0.429 -0.508  -0.326 -0.508  -0.224 -0.508  -0.122 -0.508  -0.019 -0.508  0.079 -0.490  0.170 -0.444  0.264 -0.404  0.359 -0.366  0.454 -0.328  0.549 -0.290  0.624 -0.221  0.696 -0.149  0.785 -0.100  0.864 -0.042  0.910 0.050  0.956 0.141  1.000 0.233  1.000 0.269  1.000 0.167  1.064 0.091  1.136 0.019  1.225 -0.031  1.312 -0.083  1.388 -0.150  1.480 -0.195  1.543 -0.269  1.589 -0.360
2#tos#f1#f1020059/x  -0.822 1.235  -0.971 1.192  -1.037 1.027  -1.085 0.859  -0.989 0.776  -0.909 0.642  -0.809 0.500  -0.710 0.355  -0.583 0.236  -0.441 0.130  -0.314 0.006  -0.174 -0.103  -0.034 -0.212  0.022 -0.380  0.114 -0.531  0.203 -0.684  0.282 -0.843  0.431 -0.886  0.487 -1.055  0.653 -1.113  0.698 -1.255  0.771 -1.132  0.800 -0.957  0.829 -0.782  0.858 -0.606  0.888 -0.431  0.917 -0.256  0.946 -0.081  0.975 0.094  1.004 0.270  1.034 0.445  1.063 0.620  0.993 0.711  0.815 0.711  0.665 0.776  0.487 0.776  0.357 0.729  0.214 0.639  0.064 0.548  -0.062 0.423  -0.190 0.300  -0.332 0.194  -0.469 0.081  -0.595 -0.044  -0.714 -0.175  -0.813 -0.323  -0.935 -0.451  -1.075 -0.553  -1.225 -0.628  -1.281 -0.796
2#tos#f1#f1020059/y  -0.263 1.324  -0.263 1.189  -0.315 1.098  -0.448 1.075  -0.524 1.004  -0.524 0.869  -0.446 0.767  -0.366 0.660  -0.350 0.528  -0.300 0.420  -0.198 0.334  -0.127 0.220  -0.077 0.097  0.035 0.022  0.152 0.082  0.269 0.151  0.385 0.219  0.502 0.287  0.619 0.355  0.736 0.423  0.852 0.491  0.969 0.559  1.086 0.627  0.995 0.671  0.869 0.680  0.768 0.715  0.651 0.663  0.581 0.557  0.502 0.448  0.427 0.335  0.342 0.231  0.252 0.132  0.202 0.006  0.134 -0.107  0.038 -0.203  -0.033 -0.315  -0.086 -0.439  -0.141 -0.562  -0.211 -0.678  -0.287 -0.789  -0.382 -0.884  -0.447 -0.996  -0.469 -1.129  -0.513 -1.255  -0.583 -1.370  -0.668 -1.474  -0.739 -1.587  -0.808 -1.702  -0.883 -1.809  -0.916 -1.940
2#tos#f1#f1020059/z  0.094 0.905  -0.058 0.905  -0.210 0.905  -0.362 0.905  -0.514 0.905  -0.667 0.905  -0.722 0.964  -0.570 0.964  -0.418 0.964  -0.266 0.964  -0.114 0.964  0.038 0.964  0.190 0.964  0.342 0.964  0.494 0.964  0.638 0.930  0.765 0.873  0.863 0.785  0.869 0.639  0.809 0.547  0.657 0.547  0.600 0.425  0.543 0.292  0.413 0.214  0.282 0.136  0.197 0.040  0.056 -0.016  -0.061 -0.102  -0.146 -0.229  -0.267 -0.320  -0.385 -0.414  -0.422 -0.561  -0.508 -0.645  -0.632 -0.715  -0.739 -0.822  -0.860 -0.900  -0.909 -1.003  -0.837 -1.062  -0.685 -1.062  -0.533 -1.062  -0.381 -1.062  -0.229 -1.062  -0.077 -1.062  0.075 -1.062  0.227 -1.062  0.380 -1.062  0.532 -1.062  0.684 -1.062  0.836 -1.062  0.988 -1.062
