2#tos#f3#f3050060/!  0.106 1.276  0.106 1.350  0.085 1.404  0.011 1.404  -0.022 1.445  -0.022 1.459  -0.022 1.385  -0.022 1.310  -0.022 1.236  -0.022 1.162  -0.022 1.088  -0.022 1.014  -0.022 0.939  -0.022 0.865  -0.022 0.791  -0.022 0.717  -0.022 0.643  -0.022 0.568  -0.022 0.494  -0.022 0.420  -0.022 0.346  -0.022 0.271  -0.022 0.197  -0.022 0.123  -0.022 0.049  -0.022 -0.025  -0.022 -0.100  -0.022 -0.174  -0.022 -0.248  -0.018 -0.322  -0.005 -0.395  0.008 -0.468  0.021 -0.541  0.034 -0.614  0.047 -0.687  0.059 -0.761  0.072 -0.834  0.085 -0.907  0.098 -0.980  0.106 -1.053  0.101 -1.127  0.083 -1.199  0.065 -1.271  0.001 -1.300  -0.068 -1.326  -0.107 -1.384  -0.107 -1.458  -0.107 -1.532  -0.064 -1.589  -0.064 -1.663
2#tos#f3#f3050060/Q  0.003 -0.727  -0.136 -0.851  -0.286 -0.933  -0.488 -0.933  -0.664 -0.843  -0.788 -0.702  -0.903 -0.542  -0.959 -0.355  -0.985 -0.156  -0.985 0.046  -0.985 0.248  -0.903 0.431  -0.902 0.634  -0.789 0.802  -0.660 0.957  -0.517 1.100  -0.417 1.274  -0.243 1.333  -0.058 1.380  0.139 1.414  0.342 1.414  0.530 1.380  0.674 1.237  0.744 1.064  0.744 0.861  0.744 0.659  0.744 0.456  0.729 0.256  0.703 0.058  0.608 -0.113  0.542 -0.301  0.425 -0.465  0.351 -0.652  0.268 -0.833  0.113 -0.960  -0.027 -1.092  -0.203 -1.073  -0.285 -0.890  -0.285 -0.688  -0.285 -0.485  -0.285 -0.283  -0.193 -0.130  0.004 -0.110  0.206 -0.110  0.374 -0.193  0.546 -0.299  0.705 -0.420  0.850 -0.533  1.032 -0.607  1.114 -0.727
2#tos#f3#f3050060/R  -0.072 1.321  -0.271 1.360  -0.318 1.244  -0.365 1.012  -0.390 0.777  -0.390 0.539  -0.390 0.302  -0.390 0.065  -0.406 -0.171  -0.430 -0.405  -0.430 -0.643  -0.430 -0.880  -0.430 -1.118  -0.430 -1.355  -0.430 -1.592  -0.411 -1.412  -0.390 -1.175  -0.368 -0.939  -0.347 -0.702  -0.325 -0.466  -0.304 -0.229  -0.282 0.007  -0.261 0.243  -0.239 0.480  -0.218 0.716  -0.196 0.953  -0.271 1.110  -0.104 1.233  0.119 1.281  0.356 1.281  0.587 1.242  0.723 1.063  0.691 0.830  0.583 0.626  0.442 0.439  0.305 0.261  0.134 0.097  -0.041 -0.062  -0.264 -0.110  -0.430 -0.039  -0.252 -0.119  -0.049 -0.241  0.134 -0.380  0.311 -0.533  0.499 -0.674  0.701 -0.798  0.895 -0.934  1.095 -1.060  1.313 -1.143  1.438 -1.302
2#tos#f3#f3050060/S  1.027 0.433  0.882 0.433  0.752 0.478  0.752 0.622  0.677 0.743  0.575 0.845  0.471 0.942  0.348 0.994  0.253 1.103  0.165 1.216  0.046 1.296  -0.083 1.334  -0.211 1.373  -0.345 1.363  -0.345 1.218  -0.345 1.073  -0.306 0.938  -0.243 0.832  -0.186 0.705  -0.084 0.602  -0.032 0.469  -0.005 0.341  0.124 0.277  0.179 0.162  0.243 0.051  0.321 -0.045  0.388 -0.149  0.478 -0.238  0.478 -0.382  0.478 -0.527  0.478 -0.671  0.445 -0.808  0.389 -0.916  0.298 -1.002  0.176 -1.056  0.047 -1.095  -0.097 -1.095  -0.242 -1.095  -0.347 -1.055  -0.473 -0.996  -0.568 -0.894  -0.694 -0.823  -0.698 -0.681  -0.705 -0.539  -0.737 -0.608  -0.737 -0.752  -0.737 -0.897  -0.737 -1.041  -0.737 -1.186  -0.776 -1.291
2#tos#f3#f3050060/T  -0.941 0.592  -1.061 0.538  -1.184 0.491  -1.301 0.432  -1.294 0.391  -1.163 0.391  -1.031 0.391  -0.900 0.391  -0.790 0.464  -0.661 0.471  -0.536 0.512  -0.411 0.551  -0.279 0.551  -0.148 0.551  -0.018 0.561  0.110 0.592  0.242 0.592  0.373 0.592  0.505 0.592  0.636 0.592  0.768 0.592  0.899 0.592  1.031 0.592  0.974 0.585  0.843 0.577  0.712 0.568  0.580 0.559  0.449 0.551  0.337 0.504  0.244 0.411  0.161 0.350  0.063 0.317  0.063 0.185  0.063 0.054  0.063 -0.078  0.092 -0.206  0.104 -0.336  0.104 -0.467  0.113 -0.597  0.162 -0.719  0.184 -0.847  0.184 -0.978  0.184 -1.110  0.184 -1.241  0.184 -1.373  0.184 -1.504  0.184 -1.636  0.209 -1.752  0.264 -1.849  0.264 -1.981
2#tos#f3#f3050060/U  -0.519 1.222  -0.635 1.222  -0.711 1.181  -0.721 1.076  -0.721 0.960  -0.721 0.844  -0.721 0.728  -0.721 0.611  -0.721 0.495  -0.721 0.379  -0.721 0.263  -0.717 0.147  -0.695 0.034  -0.681 -0.081  -0.681 -0.197  -0.653 -0.310  -0.624 -0.423  -0.600 -0.536  -0.593 -0.649  -0.511 -0.731  -0.456 -0.830  -0.438 -0.943  -0.350 -0.996  -0.280 -1.079  -0.169 -1.088  -0.053 -1.088  0.063 -1.088  0.178 -1.083  0.274 -1.019  0.359 -0.940  0.403 -0.834  0.457 -0.732  0.517 -0.632  0.580 -0.535  0.626 -0.431  0.649 -0.317  0.675 -0.204  0.703 -0.091  0.731 0.022  0.778 0.127  0.819 0.234  0.819 0.350  0.819 0.466  0.819 0.582  0.819 0.698  0.819 0.815  0.819 0.931  0.819 1.047  0.819 1.163  0.778 1.262
2#tos#f3#f3050060/Z  -0.909 1.155  -1.092 1.134  -1.003 1.018  -0.827 1.109  -0.626 1.128  -0.427 1.155  -0.223 1.155  -0.019 1.155  0.184 1.155  0.388 1.155  0.592 1.155  0.711 1.010  0.863 0.927  0.914 0.736  0.777 0.669  0.641 0.563  0.473 0.451  0.299 0.346  0.150 0.209  -0.029 0.114  -0.156 -0.043  -0.281 -0.204  -0.415 -0.356  -0.559 -0.500  -0.684 -0.654  -0.809 -0.795  -0.850 -0.905  -0.671 -0.987  -0.468 -0.987  -0.303 -1.085  -0.109 -1.124  0.095 -1.124  0.288 -1.169  0.492 -1.169  0.695 -1.169  0.899 -1.169  0.863 -1.063  0.727 -0.911  0.591 -0.760  0.454 -0.608  0.318 -0.457  0.182 -0.305  0.045 -0.154  -0.091 -0.002  -0.227 0.149  -0.409 0.198  -0.332 0.107  -0.225 -0.008  -0.038 -0.079  0.139 -0.167
2#tos#f3#f3050060/b  -0.940 0.209  -1.135 0.154  -1.328 0.097  -1.165 0.043  -0.947 0.043  -0.730 0.043  -0.538 0.127  -0.334 0.195  -0.140 0.290  0.045 0.404  0.223 0.528  0.396 0.660  0.550 0.813  0.721 0.937  0.721 1.155  0.671 1.361  0.460 1.372  0.243 1.372  0.039 1.346  -0.100 1.190  -0.261 1.069  -0.358 0.875  -0.459 0.682  -0.557 0.493  -0.577 0.277  -0.597 0.060  -0.608 -0.157  -0.608 -0.374  -0.608 -0.591  -0.608 -0.809  -0.534 -1.010  -0.396 -1.120  -0.250 -1.243  -0.043 -1.286  0.175 -1.286  0.365 -1.214  0.485 -1.052  0.591 -0.898  0.610 -0.684  0.610 -0.466  0.581 -0.261  0.444 -0.123  0.290 0.031  0.306 -0.153  0.426 -0.327  0.600 -0.413  0.765 -0.511  0.953 -0.607  1.168 -0.621  1.385 -0.621
2#tos#f3#f3050060/e  -1.186 -0.043  -1.345 -0.081  -1.396 -0.252  -1.352 -0.392  -1.169 -0.392  -0.986 -0.392  -0.803 -0.392  -0.620 -0.392  -0.452 -0.356  -0.323 -0.226  -0.158 -0.182  0.025 -0.182  0.185 -0.106  0.337 -0.005  0.489 0.097  0.663 0.155  0.763 0.296  0.890 0.428  1.019 0.557  1.118 0.700  1.056 0.857  0.945 1.000  0.808 1.074  0.625 1.074  0.442 1.074  0.260 1.074  0.077 1.074  -0.037 1.005  -0.216 0.997  -0.346 0.868  -0.429 0.705  -0.488 0.536  -0.579 0.380  -0.628 0.212  -0.628 0.029  -0.628 -0.154  -0.628 -0.336  -0.587 -0.502  -0.458 -0.632  -0.361 -0.785  -0.202 -0.859  -0.023 -0.880  0.160 -0.880  0.343 -0.880  0.526 -0.880  0.709 -0.880  0.892 -0.880  1.067 -0.828  1.233 -0.753  1.397 -0.671
2#tos#f3#f3050060/f  -0.413 0.601  -0.589 0.535  -0.678 0.383  -0.498 0.391  -0.316 0.434  -0.138 0.480  -0.025 0.630  0.143 0.705  0.299 0.809  0.445 0.926  0.577 1.059  0.688 1.210  0.740 1.385  0.700 1.532  0.512 1.532  0.350 1.449  0.261 1.303  0.077 1.266  0.072 1.081  0.002 0.907  -0.094 0.747  -0.180 0.580  -0.264 0.412  -0.310 0.231  -0.355 0.050  -0.407 -0.131  -0.440 -0.315  -0.458 -0.501  -0.458 -0.689  -0.458 -0.876  -0.458 -1.064  -0.458 -1.252  -0.458 -1.439  -0.308 -1.529  -0.120 -1.529  0.042 -1.453  0.184 -1.331  0.254 -1.172  0.341 -1.021  0.429 -0.860  0.417 -0.680  0.328 -0.553  0.140 -0.553  -0.048 -0.553  -0.235 -0.553  -0.138 -0.551  0.044 -0.509  0.232 -0.509  0.419 -0.509  0.607 -0.509
2#tos#f3#f3050060/g  0.417 1.512  0.236 1.512  0.056 1.512  -0.080 1.468  -0.161 1.368  -0.250 1.242  -0.250 1.062  -0.250 0.881  -0.239 0.712  -0.058 0.712  0.088 0.766  0.218 0.848  0.328 0.969  0.290 0.934  0.328 0.805  0.269 0.638  0.239 0.465  0.191 0.295  0.156 0.118  0.150 -0.062  0.065 -0.217  0.061 -0.396  0.061 -0.577  -0.003 -0.731  -0.072 -0.883  -0.140 -1.029  -0.259 -1.154  -0.294 -1.331  -0.407 -1.469  -0.472 -1.634  -0.642 -1.645  -0.695 -1.491  -0.668 -1.314  -0.629 -1.137  -0.590 -0.961  -0.534 -0.790  -0.454 -0.629  -0.382 -0.463  -0.323 -0.293  -0.267 -0.122  -0.175 0.031  -0.047 0.159  0.107 0.223  0.287 0.223  0.468 0.221  0.641 0.175  0.751 0.037  0.882 -0.060  0.969 -0.190  1.084 -0.311
2#tos#f3#f3050060/h  -1.225 -0.048  -1.128 -0.182  -0.935 -0.182  -0.741 -0.182  -0.561 -0.113  -0.399 -0.010  -0.228 0.076  -0.068 0.182  0.099 0.279  0.268 0.373  0.432 0.475  0.593 0.582  0.754 0.690  0.885 0.803  0.925 0.958  0.889 1.143  0.782 1.300  0.621 1.403  0.452 1.475  0.263 1.449  0.138 1.316  0.049 1.152  -0.021 0.973  -0.119 0.806  -0.177 0.625  -0.227 0.438  -0.308 0.263  -0.365 0.079  -0.374 -0.114  -0.477 -0.268  -0.508 -0.456  -0.586 -0.618  -0.704 -0.741  -0.732 -0.931  -0.824 -1.033  -0.725 -1.018  -0.598 -0.888  -0.536 -0.733  -0.380 -0.636  -0.241 -0.541  -0.048 -0.540  0.138 -0.559  0.292 -0.672  0.367 -0.833  0.522 -0.945  0.627 -1.033  0.821 -1.033  1.001 -1.001  1.125 -0.855  1.193 -0.675
2#tos#f3#f3050060/i  -1.127 -0.999  -1.063 -1.098  -0.929 -1.069  -0.818 -0.959  -0.690 -0.858  -0.573 -0.744  -0.443 -0.647  -0.321 -0.539  -0.205 -0.424  -0.143 -0.276  -0.073 -0.129  0.021 0.001  0.062 0.147  -0.037 0.170  -0.111 0.030  -0.173 -0.120  -0.185 -0.281  -0.185 -0.444  -0.185 -0.606  -0.185 -0.769  -0.185 -0.932  -0.082 -1.053  0.008 -1.186  0.164 -1.197  0.327 -1.197  0.360 -1.066  0.360 -0.903  0.360 -0.740  0.360 -0.577  0.360 -0.414  0.360 -0.251  0.360 -0.088  0.360 0.075  0.360 0.238  0.360 0.401  0.360 0.564  0.360 0.727  0.360 0.890  0.360 1.053  0.360 1.216  0.360 1.379  0.360 1.542  0.360 1.705  0.219 1.727  0.072 1.687  0.062 1.528  0.062 1.365  0.062 1.202  0.062 1.039  0.112 0.884
2#tos#f3#f3050060/k  -0.183 0.739  -0.226 0.762  -0.060 0.866  0.060 1.021  0.199 1.160  0.351 1.264  0.438 1.427  0.516 1.592  0.397 1.671  0.200 1.671  0.016 1.637  -0.042 1.466  -0.183 1.339  -0.191 1.143  -0.222 0.951  -0.234 0.755  -0.261 0.560  -0.290 0.370  -0.377 0.194  -0.385 -0.003  -0.416 -0.197  -0.443 -0.390  -0.494 -0.579  -0.494 -0.776  -0.524 -0.961  -0.610 -1.123  -0.649 -1.304  -0.533 -1.223  -0.436 -1.066  -0.298 -0.926  -0.193 -0.773  -0.055 -0.649  0.020 -0.470  0.174 -0.351  0.353 -0.273  0.488 -0.154  0.669 -0.115  0.621 -0.292  0.497 -0.424  0.391 -0.589  0.238 -0.708  0.103 -0.843  -0.073 -0.930  -0.106 -0.766  -0.032 -0.620  0.165 -0.620  0.294 -0.747  0.477 -0.788  0.593 -0.921  0.749 -1.008
2#tos#f3#f3050060/l  -0.979 -0.829  -0.827 -0.829  -0.681 -0.815  -0.584 -0.700  -0.473 -0.617  -0.327 -0.575  -0.189 -0.519  -0.067 -0.428  -0.000 -0.298  0.101 -0.192  0.219 -0.097  0.311 0.022  0.410 0.136  0.517 0.243  0.577 0.370  0.586 0.520  0.624 0.665  0.624 0.817  0.624 0.968  0.617 1.118  0.549 1.254  0.483 1.381  0.394 1.478  0.290 1.528  0.156 1.484  0.034 1.398  -0.019 1.264  -0.062 1.119  -0.110 0.975  -0.175 0.839  -0.253 0.710  -0.300 0.566  -0.328 0.418  -0.347 0.267  -0.365 0.117  -0.366 -0.034  -0.366 -0.186  -0.366 -0.338  -0.366 -0.489  -0.366 -0.641  -0.361 -0.791  -0.293 -0.927  -0.199 -1.043  -0.130 -1.166  -0.069 -1.273  0.075 -1.321  0.220 -1.364  0.368 -1.394  0.520 -1.394  0.671 -1.394
2#tos#f3#f3050060/m  -0.836 0.189  -0.983 0.189  -1.131 0.189  -1.141 0.327  -1.119 0.465  -1.039 0.439  -1.039 0.292  -1.039 0.144  -1.039 -0.003  -1.039 -0.151  -1.039 -0.298  -1.039 -0.446  -1.039 -0.593  -1.026 -0.720  -0.903 -0.641  -0.799 -0.537  -0.703 -0.426  -0.623 -0.302  -0.552 -0.173  -0.467 -0.053  -0.363 0.052  -0.327 0.184  -0.225 0.211  -0.225 0.064  -0.225 -0.084  -0.225 -0.231  -0.166 -0.319  -0.058 -0.239  0.038 -0.137  0.151 -0.045  0.240 0.073  0.332 0.187  0.436 0.291  0.538 0.397  0.538 0.544  0.631 0.631  0.718 0.698  0.793 0.595  0.843 0.468  0.917 0.347  0.945 0.206  1.037 0.097  1.112 -0.029  1.199 -0.140  1.307 -0.221  1.443 -0.269  1.579 -0.319  1.726 -0.319  1.873 -0.315  2.013 -0.269
2#tos#f3#f3050060/o  -0.042 1.007  -0.242 1.006  -0.410 0.895  -0.604 0.874  -0.775 0.803  -0.839 0.618  -0.839 0.417  -0.896 0.229  -0.905 0.031  -0.905 -0.170  -0.905 -0.371  -0.905 -0.571  -0.905 -0.772  -0.846 -0.963  -0.757 -1.142  -0.645 -1.309  -0.476 -1.384  -0.276 -1.384  -0.085 -1.339  0.042 -1.191  0.185 -1.055  0.343 -0.933  0.485 -0.791  0.489 -0.592  0.551 -0.401  0.659 -0.232  0.689 -0.040  0.689 0.160  0.689 0.361  0.680 0.560  0.562 0.715  0.408 0.838  0.273 0.961  0.082 1.016  -0.095 1.073  -0.296 1.073  -0.374 0.950  -0.374 0.750  -0.321 0.582  -0.179 0.449  -0.076 0.277  0.062 0.140  0.241 0.056  0.432 0.001  0.582 -0.127  0.779 -0.167  0.977 -0.189  1.171 -0.206  1.351 -0.255  1.552 -0.255
2#tos#f3#f3050060/s  -1.104 -0.638  -1.206 -0.719  -1.274 -0.856  -1.172 -0.845  -1.047 -0.765  -0.911 -0.695  -0.774 -0.627  -0.655 -0.541  -0.587 -0.404  -0.500 -0.280  -0.397 -0.168  -0.305 -0.045  -0.221 0.082  -0.152 0.218  -0.049 0.320  0.088 0.389  0.176 0.506  0.244 0.643  0.328 0.771  0.396 0.906  0.442 1.052  0.479 1.200  0.497 1.351  0.497 1.504  0.427 1.562  0.373 1.422  0.373 1.269  0.373 1.116  0.373 0.963  0.442 0.826  0.497 0.686  0.497 0.533  0.544 0.388  0.558 0.237  0.593 0.093  0.620 -0.054  0.620 -0.207  0.620 -0.360  0.577 -0.495  0.469 -0.603  0.435 -0.742  0.383 -0.874  0.275 -0.982  0.158 -1.068  0.005 -1.068  -0.148 -1.068  -0.301 -1.068  -0.454 -1.068  -0.550 -0.975  -0.550 -0.822
2#tos#f3#f3050060/u  -0.552 0.940  -0.655 0.837  -0.794 0.804  -0.905 0.727  -0.991 0.611  -1.037 0.473  -1.046 0.329  -1.057 0.184  -1.092 0.043  -1.101 -0.102  -1.101 -0.248  -1.101 -0.393  -1.101 -0.539  -1.086 -0.681  -1.005 -0.801  -0.902 -0.904  -0.788 -0.980  -0.642 -0.980  -0.513 -0.941  -0.398 -0.859  -0.256 -0.824  -0.173 -0.715  -0.107 -0.586  -0.026 -0.465  0.084 -0.373  0.206 -0.292  0.326 -0.210  0.372 -0.072  0.425 0.064  0.479 0.199  0.554 0.323  0.635 0.445  0.713 0.567  0.759 0.706  0.796 0.847  0.819 0.990  0.792 0.968  0.738 0.833  0.709 0.694  0.709 0.548  0.709 0.402  0.709 0.257  0.709 0.111  0.709 -0.035  0.771 -0.165  0.875 -0.267  1.001 -0.339  1.131 -0.377  1.276 -0.377  1.422 -0.377
2#tos#f3#f3050060/v  -0.680 0.805  -0.817 0.805  -0.722 0.855  -0.585 0.855  -0.448 0.855  -0.311 0.855  -0.287 0.742  -0.359 0.635  -0.385 0.508  -0.448 0.397  -0.511 0.279  -0.590 0.177  -0.700 0.096  -0.795 -0.003  -0.877 -0.113  -0.957 -0.224  -1.025 -0.341  -1.025 -0.478  -1.025 -0.615  -1.025 -0.752  -1.006 -0.877  -0.878 -0.917  -0.741 -0.917  -0.604 -0.917  -0.467 -0.917  -0.330 -0.917  -0.198 -0.888  -0.069 -0.840  0.058 -0.789  0.182 -0.732  0.305 -0.670  0.392 -0.565  0.480 -0.460  0.570 -0.356  0.664 -0.257  0.746 -0.147  0.820 -0.033  0.871 0.094  0.895 0.228  0.895 0.365  0.895 0.502  0.895 0.639  0.797 0.707  0.895 0.669  0.949 0.554  1.046 0.459  1.172 0.412  1.309 0.412  1.447 0.412  1.584 0.412
2#tos#f3#f3050060/z  -0.728 1.046  -0.840 0.985  -0.988 0.960  -0.888 1.024  -0.791 1.166  -0.640 1.249  -0.519 1.360  -0.357 1.381  -0.200 1.358  -0.171 1.189  -0.171 1.016  -0.186 0.851  -0.294 0.730  -0.332 0.562  -0.357 0.393  -0.431 0.244  -0.315 0.213  -0.161 0.266  0.012 0.266  0.186 0.266  0.339 0.202  0.389 0.038  0.424 -0.127  0.424 -0.300  0.424 -0.473  0.424 -0.646  0.417 -0.816  0.273 -0.912  0.201 -1.046  0.109 -1.170  -0.017 -1.289  -0.151 -1.395  -0.279 -1.480  -0.431 -1.460  -0.431 -1.286  -0.416 -1.117  -0.339 -0.962  -0.258 -0.809  -0.169 -0.661  -0.048 -0.537  0.060 -0.402  0.203 -0.309  0.345 -0.211  0.504 -0.150  0.656 -0.070  0.809 0.013  0.944 0.117  1.108 0.172  1.267 0.218  1.390 0.340
