1b#ced#cypl9614_s_jd/F  -0.327 0.775  -0.228 0.991  -0.195 1.180  -0.161 0.935  -0.124 0.690  -0.096 0.442  -0.058 0.195  -0.033 -0.054  -0.030 -0.304  -0.030 -0.555  -0.030 -0.805  -0.063 -1.053  -0.085 -1.302  -0.101 -1.551  -0.129 -1.798  -0.167 -1.880  -0.183 -1.630  -0.199 -1.380  -0.214 -1.130  -0.230 -0.880  -0.245 -0.630  -0.261 -0.380  -0.277 -0.130  -0.292 0.120  -0.308 0.370  -0.324 0.620  -0.426 0.841  -0.586 1.030  -0.622 1.171  -0.380 1.204  -0.131 1.220  0.117 1.237  0.368 1.237  0.618 1.241  0.866 1.270  0.837 1.101  0.719 0.880  0.602 0.659  0.485 0.437  0.368 0.216  0.209 0.025  0.017 -0.134  -0.189 -0.276  -0.316 -0.488  -0.307 -0.623  -0.070 -0.642  0.180 -0.642  0.430 -0.636  0.678 -0.609  0.926 -0.576
2#apb#apb36#app3664/F  -0.120 0.769  -0.229 0.824  -0.243 0.589  -0.243 0.354  -0.276 0.121  -0.313 -0.112  -0.349 -0.345  -0.384 -0.578  -0.419 -0.811  -0.461 -1.042  -0.513 -1.272  -0.562 -1.502  -0.579 -1.737  -0.593 -1.825  -0.599 -1.590  -0.572 -1.356  -0.537 -1.124  -0.496 -0.891  -0.456 -0.659  -0.415 -0.427  -0.375 -0.195  -0.349 0.039  -0.328 0.274  -0.276 0.501  -0.189 0.720  -0.071 0.917  0.117 0.965  0.335 1.047  0.564 1.098  0.799 1.112  1.025 1.159  1.251 1.209  1.328 1.153  1.145 1.004  0.962 0.855  0.780 0.706  0.597 0.558  0.414 0.409  0.232 0.260  0.049 0.111  -0.134 -0.038  -0.316 -0.187  -0.499 -0.335  -0.476 -0.347  -0.268 -0.235  -0.043 -0.166  0.183 -0.098  0.408 -0.029  0.633 0.040  0.859 0.108
2#apb#apb36#app3664/F  0.085 0.660  -0.011 0.612  -0.024 0.392  -0.056 0.174  -0.113 -0.040  -0.171 -0.253  -0.225 -0.468  -0.277 -0.683  -0.329 -0.898  -0.383 -1.112  -0.438 -1.326  -0.494 -1.540  -0.568 -1.749  -0.643 -1.840  -0.656 -1.620  -0.654 -1.399  -0.631 -1.179  -0.608 -0.959  -0.580 -0.740  -0.542 -0.522  -0.503 -0.304  -0.465 -0.086  -0.412 0.128  -0.354 0.342  -0.295 0.555  -0.245 0.770  -0.204 0.988  -0.079 1.152  0.058 1.090  0.257 1.001  0.473 0.964  0.694 0.964  0.915 0.980  1.128 1.028  1.344 1.058  1.211 0.949  1.027 0.826  0.844 0.702  0.661 0.578  0.477 0.454  0.294 0.330  0.111 0.207  -0.073 0.083  -0.256 -0.041  -0.417 -0.158  -0.199 -0.136  0.016 -0.082  0.229 -0.024  0.438 0.049  0.646 0.123
3#apb#apb32#app3258/F  -0.335 0.905  -0.319 1.018  -0.324 0.803  -0.354 0.589  -0.383 0.375  -0.398 0.160  -0.413 -0.056  -0.416 -0.271  -0.416 -0.487  -0.406 -0.703  -0.387 -0.918  -0.383 -1.133  -0.383 -1.349  -0.383 -1.565  -0.324 -1.759  -0.243 -1.703  -0.288 -1.492  -0.334 -1.281  -0.379 -1.070  -0.424 -0.859  -0.469 -0.648  -0.514 -0.437  -0.559 -0.226  -0.604 -0.015  -0.649 0.197  -0.695 0.408  -0.688 0.614  -0.505 0.710  -0.298 0.768  -0.087 0.812  0.125 0.851  0.339 0.883  0.552 0.916  0.765 0.951  0.979 0.963  1.195 0.958  1.401 0.931  1.322 0.817  1.143 0.696  0.964 0.576  0.785 0.455  0.606 0.334  0.427 0.214  0.248 0.093  0.069 -0.027  -0.110 -0.148  0.065 -0.207  0.281 -0.219  0.496 -0.216  0.712 -0.207
3#apb#apb32#app3258/F  -0.330 0.277  -0.344 0.500  -0.344 0.538  -0.344 0.313  -0.356 0.089  -0.385 -0.135  -0.398 -0.359  -0.409 -0.584  -0.418 -0.809  -0.418 -1.034  -0.393 -1.258  -0.345 -1.478  -0.244 -1.616  -0.182 -1.402  -0.206 -1.193  -0.293 -0.985  -0.380 -0.778  -0.467 -0.570  -0.554 -0.362  -0.642 -0.155  -0.729 0.053  -0.816 0.260  -0.897 0.470  -0.792 0.653  -0.609 0.783  -0.411 0.884  -0.192 0.935  0.028 0.985  0.248 1.030  0.469 1.075  0.694 1.068  0.919 1.057  1.140 1.018  1.355 0.955  1.547 0.841  1.514 0.711  1.325 0.589  1.135 0.468  0.946 0.346  0.756 0.224  0.566 0.103  0.377 -0.019  0.187 -0.140  -0.002 -0.262  -0.192 -0.383  -0.381 -0.505  -0.509 -0.635  -0.292 -0.576  -0.073 -0.524  0.143 -0.462
2#apb#apb12#app1224/F  -0.893 0.540  -0.710 0.425  -0.607 0.182  -0.512 -0.063  -0.442 -0.318  -0.399 -0.579  -0.355 -0.839  -0.312 -1.100  -0.268 -1.361  -0.225 -1.622  -0.259 -1.490  -0.335 -1.237  -0.407 -0.983  -0.473 -0.727  -0.514 -0.466  -0.560 -0.206  -0.609 0.054  -0.651 0.315  -0.693 0.576  -0.732 0.837  -0.777 1.097  -0.645 1.154  -0.385 1.105  -0.125 1.061  0.139 1.043  0.402 1.017  0.661 0.965  0.919 0.909  1.176 0.845  1.428 0.769  1.473 0.786  1.244 0.667  1.016 0.533  0.789 0.399  0.561 0.265  0.333 0.131  0.105 -0.003  -0.123 -0.136  -0.352 -0.267  -0.564 -0.359  -0.373 -0.396  -0.623 -0.414  -0.428 -0.413  -0.164 -0.403  0.100 -0.392  0.364 -0.382  0.629 -0.371  0.893 -0.360  1.156 -0.365  1.127 -0.422
1b#apb#apb35#app3585/F  0.078 0.687  0.135 0.672  0.054 0.491  -0.080 0.348  -0.185 0.443  -0.144 0.634  -0.020 0.787  0.123 0.922  0.308 0.983  0.470 0.875  0.537 0.694  0.550 0.495  0.508 0.301  0.437 0.115  0.343 -0.059  0.224 -0.218  0.087 -0.362  -0.053 -0.504  -0.202 -0.635  -0.369 -0.744  -0.562 -0.790  -0.754 -0.845  -0.950 -0.866  -1.148 -0.884  -1.346 -0.897  -1.540 -0.861  -1.701 -0.813  -1.527 -0.783  -1.335 -0.749  -1.157 -0.660  -0.970 -0.590  -0.787 -0.513  -0.605 -0.431  -0.424 -0.348  -0.243 -0.265  -0.062 -0.182  0.119 -0.099  0.289 0.005  0.456 0.113  0.622 0.223  0.786 0.335  0.924 0.479  1.063 0.621  1.208 0.758  1.313 0.819  1.248 0.631  1.177 0.445  1.104 0.260  1.030 0.075  0.973 -0.116
3#apa#apa00#app0039/F  -0.354 0.859  -0.249 0.675  -0.249 0.448  -0.249 0.221  -0.249 -0.006  -0.249 -0.233  -0.249 -0.459  -0.249 -0.686  -0.249 -0.913  -0.144 -1.097  -0.106 -1.315  -0.039 -1.526  -0.039 -1.753  -0.113 -1.559  -0.190 -1.346  -0.266 -1.132  -0.343 -0.919  -0.420 -0.705  -0.497 -0.492  -0.574 -0.278  -0.651 -0.065  -0.728 0.149  -0.804 0.362  -0.881 0.576  -0.958 0.789  -0.830 0.859  -0.646 0.963  -0.419 0.963  -0.192 0.963  0.034 0.963  0.261 0.963  0.488 0.963  0.713 0.954  0.917 0.859  1.144 0.859  1.357 0.825  1.516 0.743  1.322 0.624  1.128 0.506  0.935 0.388  0.741 0.269  0.548 0.151  0.354 0.033  0.160 -0.085  -0.033 -0.204  -0.227 -0.322  -0.354 -0.478  -0.154 -0.505  0.061 -0.454  0.275 -0.400
3#apb#apb34#app3464/F  -0.081 1.201  -0.051 1.017  -0.149 0.794  -0.250 0.572  -0.318 0.339  -0.380 0.104  -0.450 -0.130  -0.533 -0.359  -0.592 -0.594  -0.625 -0.835  -0.694 -1.068  -0.732 -1.309  -0.773 -1.549  -0.771 -1.676  -0.667 -1.458  -0.585 -1.229  -0.535 -0.991  -0.506 -0.749  -0.478 -0.507  -0.450 -0.265  -0.422 -0.023  -0.394 0.219  -0.365 0.461  -0.356 0.686  -0.359 0.683  -0.115 0.683  0.124 0.721  0.358 0.787  0.594 0.847  0.831 0.907  1.070 0.955  1.308 1.004  1.533 1.028  1.296 0.987  1.071 0.892  0.850 0.791  0.632 0.681  0.435 0.541  0.332 0.328  0.173 0.143  0.015 -0.042  -0.144 -0.227  -0.302 -0.412  -0.454 -0.585  -0.235 -0.639  0.008 -0.628  0.250 -0.610  0.487 -0.556  0.721 -0.488  0.678 -0.438
2#uqb#pe/F  -0.533 0.517  -0.462 0.646  -0.474 0.414  -0.540 0.192  -0.559 -0.039  -0.506 -0.263  -0.515 -0.495  -0.534 -0.727  -0.558 -0.958  -0.595 -1.187  -0.623 -1.418  -0.639 -1.649  -0.631 -1.565  -0.621 -1.333  -0.590 -1.103  -0.561 -0.873  -0.561 -0.641  -0.561 -0.408  -0.561 -0.176  -0.561 0.057  -0.547 0.288  -0.499 0.510  -0.433 0.722  -0.209 0.784  0.015 0.842  0.245 0.876  0.463 0.956  0.684 1.028  0.912 1.067  1.142 1.101  1.369 1.140  1.449 1.065  1.263 0.925  1.078 0.784  0.893 0.644  0.707 0.504  0.522 0.364  0.337 0.223  0.151 0.083  -0.034 -0.057  -0.219 -0.198  -0.404 -0.338  -0.511 -0.419  -0.283 -0.395  -0.053 -0.364  0.176 -0.326  0.402 -0.272  0.630 -0.227  0.857 -0.178  1.084 -0.127
2#uqb#pe/F  -0.542 0.414  -0.606 0.501  -0.572 0.269  -0.591 0.036  -0.609 -0.198  -0.621 -0.432  -0.631 -0.666  -0.656 -0.899  -0.662 -1.133  -0.666 -1.368  -0.677 -1.602  -0.688 -1.576  -0.676 -1.342  -0.667 -1.108  -0.635 -0.877  -0.580 -0.649  -0.553 -0.416  -0.553 -0.183  -0.572 0.050  -0.572 0.285  -0.593 0.518  -0.532 0.719  -0.310 0.797  -0.082 0.847  0.149 0.890  0.380 0.929  0.613 0.956  0.842 1.004  1.075 1.018  1.309 1.018  1.307 0.950  1.113 0.818  0.919 0.686  0.726 0.554  0.532 0.422  0.338 0.290  0.144 0.159  -0.049 0.027  -0.243 -0.105  -0.451 -0.208  -0.524 -0.309  -0.291 -0.279  -0.060 -0.243  0.171 -0.201  0.403 -0.166  0.635 -0.139  0.869 -0.119  1.095 -0.062  1.318 0.010  1.527 0.112
2#uqb#pe/F  -0.444 0.387  -0.480 0.263  -0.466 0.025  -0.470 -0.212  -0.490 -0.450  -0.488 -0.686  -0.511 -0.922  -0.536 -1.158  -0.467 -1.385  -0.412 -1.617  -0.441 -1.438  -0.483 -1.203  -0.527 -0.969  -0.569 -0.735  -0.603 -0.499  -0.646 -0.265  -0.698 -0.032  -0.768 0.195  -0.812 0.425  -0.753 0.653  -0.658 0.870  -0.475 1.022  -0.270 1.141  -0.041 1.169  0.195 1.141  0.429 1.097  0.649 1.011  0.872 0.936  1.108 0.910  1.344 0.911  1.383 0.864  1.183 0.735  0.982 0.605  0.782 0.476  0.582 0.347  0.382 0.218  0.182 0.089  -0.019 -0.040  -0.219 -0.169  -0.419 -0.298  -0.619 -0.428  -0.526 -0.474  -0.288 -0.465  -0.054 -0.425  0.180 -0.381  0.416 -0.345  0.651 -0.308  0.886 -0.269  1.113 -0.203  1.335 -0.116
2#uqb#pe/F  -0.742 0.134  -0.832 0.373  -0.786 0.587  -0.651 0.749  -0.604 0.497  -0.588 0.239  -0.506 -0.005  -0.452 -0.257  -0.414 -0.513  -0.388 -0.770  -0.388 -1.029  -0.418 -1.283  -0.487 -1.533  -0.543 -1.679  -0.582 -1.424  -0.622 -1.168  -0.670 -0.914  -0.698 -0.658  -0.698 -0.399  -0.698 -0.141  -0.698 0.118  -0.698 0.377  -0.676 0.630  -0.573 0.792  -0.316 0.762  -0.058 0.743  0.200 0.732  0.459 0.732  0.718 0.732  0.976 0.734  1.233 0.769  1.490 0.799  1.479 0.834  1.248 0.718  1.020 0.595  0.792 0.473  0.564 0.351  0.336 0.229  0.108 0.106  -0.120 -0.016  -0.348 -0.138  -0.505 -0.246  -0.251 -0.291  0.007 -0.310  0.264 -0.289  0.522 -0.269  0.777 -0.228  1.027 -0.160  1.275 -0.086  1.519 0.001
2#uqb#pe/F  -0.546 0.576  -0.433 0.575  -0.397 0.349  -0.361 0.124  -0.358 -0.104  -0.353 -0.332  -0.324 -0.559  -0.307 -0.786  -0.334 -1.012  -0.348 -1.240  -0.361 -1.468  -0.384 -1.695  -0.396 -1.922  -0.438 -1.714  -0.448 -1.486  -0.445 -1.258  -0.432 -1.030  -0.408 -0.803  -0.384 -0.575  -0.377 -0.347  -0.377 -0.119  -0.388 0.109  -0.410 0.336  -0.425 0.564  -0.444 0.790  -0.392 0.943  -0.165 0.944  0.063 0.945  0.290 0.964  0.514 0.934  0.736 0.907  0.961 0.946  1.178 1.015  1.394 1.089  1.227 0.999  1.029 0.885  0.831 0.772  0.632 0.658  0.434 0.545  0.236 0.431  0.038 0.317  -0.160 0.204  -0.331 0.059  -0.473 -0.081  -0.254 -0.125  -0.029 -0.150  0.194 -0.102  0.420 -0.079  0.641 -0.024  0.863 0.032
2#uqb#pe/F  -0.572 0.305  -0.609 0.528  -0.566 0.283  -0.514 0.039  -0.516 -0.207  -0.541 -0.455  -0.573 -0.702  -0.607 -0.948  -0.585 -1.196  -0.566 -1.444  -0.572 -1.675  -0.593 -1.427  -0.603 -1.179  -0.577 -0.931  -0.566 -0.683  -0.558 -0.434  -0.560 -0.185  -0.572 0.064  -0.559 0.313  -0.599 0.551  -0.683 0.786  -0.515 0.911  -0.268 0.887  -0.023 0.874  0.224 0.909  0.472 0.926  0.721 0.938  0.968 0.970  1.211 1.025  1.410 1.064  1.205 0.922  1.000 0.781  0.795 0.640  0.590 0.498  0.385 0.357  0.180 0.216  -0.025 0.074  -0.230 -0.067  -0.435 -0.208  -0.620 -0.374  -0.576 -0.474  -0.328 -0.458  -0.079 -0.464  0.170 -0.474  0.400 -0.379  0.630 -0.284  0.859 -0.185  1.087 -0.085  1.322 -0.005  1.561 0.064
2#uqb#pe/F  -0.517 0.190  -0.534 0.328  -0.599 0.100  -0.663 -0.129  -0.728 -0.357  -0.767 -0.590  -0.791 -0.826  -0.851 -1.055  -0.891 -1.282  -0.892 -1.160  -0.876 -0.924  -0.841 -0.689  -0.780 -0.462  -0.708 -0.235  -0.662 -0.004  -0.641 0.232  -0.602 0.466  -0.436 0.575  -0.218 0.670  0.009 0.735  0.239 0.789  0.468 0.854  0.698 0.912  0.915 1.000  1.128 1.098  1.335 1.206  1.360 1.096  1.272 0.876  1.109 0.719  0.907 0.593  0.706 0.468  0.505 0.342  0.303 0.216  0.102 0.091  -0.099 -0.035  -0.300 -0.160  -0.502 -0.286  -0.705 -0.406  -0.936 -0.460  -0.738 -0.559  -0.512 -0.563  -0.294 -0.479  -0.057 -0.479  0.180 -0.479  0.415 -0.465  0.644 -0.402  0.873 -0.339  1.106 -0.298  1.340 -0.259  1.529 -0.173
2#uqb#pe/F  -0.191 0.735  -0.239 0.628  -0.328 0.427  -0.398 0.220  -0.464 0.011  -0.533 -0.197  -0.600 -0.406  -0.658 -0.617  -0.738 -0.820  -0.829 -1.020  -0.877 -1.230  -0.898 -1.448  -0.908 -1.654  -0.874 -1.457  -0.852 -1.239  -0.809 -1.024  -0.763 -0.810  -0.699 -0.601  -0.634 -0.391  -0.589 -0.177  -0.548 0.038  -0.445 0.231  -0.378 0.438  -0.325 0.651  -0.229 0.842  -0.043 0.948  0.173 0.956  0.392 0.943  0.607 0.980  0.821 0.970  1.036 0.927  1.246 0.960  1.172 0.819  1.009 0.673  0.845 0.527  0.682 0.380  0.519 0.234  0.356 0.088  0.190 -0.054  -0.021 -0.112  -0.233 -0.165  -0.178 -0.196  0.041 -0.183  0.257 -0.160  0.468 -0.100  0.673 -0.025  0.882 0.040  1.090 0.104  1.308 0.125  1.511 0.193
2#uqb#pe/F  -0.412 0.247  -0.493 0.478  -0.426 0.713  -0.423 0.562  -0.401 0.316  -0.365 0.072  -0.317 -0.170  -0.287 -0.414  -0.275 -0.661  -0.290 -0.906  -0.327 -1.150  -0.331 -1.396  -0.356 -1.641  -0.412 -1.880  -0.423 -1.687  -0.446 -1.442  -0.488 -1.199  -0.531 -0.956  -0.574 -0.713  -0.575 -0.466  -0.594 -0.223  -0.656 0.014  -0.644 0.260  -0.624 0.506  -0.625 0.752  -0.514 0.921  -0.276 0.977  -0.029 0.964  0.216 0.976  0.461 1.003  0.707 1.020  0.952 1.052  1.182 1.136  1.173 1.091  1.019 0.898  0.849 0.720  0.671 0.549  0.493 0.377  0.316 0.206  0.138 0.035  -0.040 -0.136  -0.236 -0.280  -0.299 -0.298  -0.070 -0.216  0.171 -0.162  0.413 -0.119  0.645 -0.036  0.879 0.040  1.119 0.098  1.356 0.166
2#uqb#pe/F  -0.295 0.483  -0.479 0.513  -0.466 0.276  -0.489 0.042  -0.533 -0.191  -0.571 -0.425  -0.603 -0.660  -0.649 -0.893  -0.708 -1.122  -0.783 -1.347  -0.861 -1.567  -0.877 -1.563  -0.847 -1.328  -0.786 -1.098  -0.718 -0.871  -0.626 -0.653  -0.534 -0.434  -0.485 -0.202  -0.439 0.030  -0.416 0.266  -0.443 0.497  -0.458 0.733  -0.348 0.934  -0.134 0.963  0.102 0.942  0.339 0.942  0.576 0.954  0.813 0.960  1.049 0.974  1.283 1.015  1.229 0.943  1.036 0.805  0.843 0.667  0.650 0.530  0.457 0.392  0.263 0.254  0.070 0.116  -0.123 -0.021  -0.316 -0.159  -0.512 -0.288  -0.465 -0.288  -0.229 -0.277  0.002 -0.222  0.238 -0.225  0.470 -0.206  0.699 -0.148  0.933 -0.112  1.166 -0.074  1.379 0.031  1.595 0.116
2#uqb#pe/F  -0.426 0.904  -0.306 0.982  -0.298 0.756  -0.271 0.530  -0.250 0.305  -0.292 0.081  -0.326 -0.143  -0.326 -0.370  -0.313 -0.596  -0.267 -0.818  -0.322 -1.039  -0.313 -1.258  -0.257 -1.479  -0.246 -1.705  -0.229 -1.875  -0.246 -1.649  -0.246 -1.422  -0.246 -1.195  -0.255 -0.968  -0.269 -0.741  -0.286 -0.514  -0.304 -0.288  -0.306 -0.061  -0.306 0.167  -0.306 0.394  -0.306 0.621  -0.276 0.846  -0.270 1.072  -0.149 1.203  0.061 1.290  0.284 1.324  0.510 1.346  0.735 1.381  0.960 1.403  0.850 1.227  0.720 1.041  0.590 0.854  0.460 0.668  0.330 0.481  0.201 0.295  0.071 0.108  -0.059 -0.078  -0.189 -0.265  -0.278 -0.435  -0.051 -0.435  0.176 -0.435  0.404 -0.435  0.620 -0.386  0.845 -0.375  0.973 -0.315
2#uqb#pe/F  -0.603 0.360  -0.526 0.530  -0.508 0.345  -0.546 0.098  -0.530 -0.151  -0.548 -0.400  -0.592 -0.645  -0.644 -0.890  -0.675 -1.138  -0.651 -1.385  -0.556 -1.415  -0.542 -1.169  -0.564 -0.921  -0.584 -0.679  -0.584 -0.429  -0.564 -0.182  -0.509 0.059  -0.509 0.309  -0.502 0.554  -0.376 0.707  -0.138 0.786  0.104 0.842  0.351 0.885  0.597 0.926  0.843 0.969  1.073 1.066  1.299 1.173  1.475 1.279  1.390 1.151  1.200 0.989  1.010 0.827  0.820 0.665  0.629 0.503  0.439 0.340  0.249 0.178  0.059 0.016  -0.131 -0.146  -0.321 -0.308  -0.517 -0.458  -0.762 -0.509  -0.955 -0.509  -0.712 -0.566  -0.466 -0.568  -0.217 -0.582  0.029 -0.543  0.274 -0.492  0.514 -0.425  0.762 -0.400  1.005 -0.348  1.211 -0.301
2#uqb#pe/F  -0.405 0.461  -0.358 0.391  -0.380 0.162  -0.438 -0.062  -0.449 -0.293  -0.486 -0.522  -0.535 -0.749  -0.584 -0.976  -0.624 -1.204  -0.683 -1.429  -0.754 -1.649  -0.769 -1.484  -0.742 -1.253  -0.709 -1.023  -0.669 -0.795  -0.623 -0.567  -0.623 -0.336  -0.590 -0.109  -0.538 0.118  -0.492 0.345  -0.403 0.552  -0.333 0.773  -0.246 0.986  -0.035 1.020  0.196 1.032  0.429 1.032  0.658 1.069  0.886 1.054  1.111 1.065  1.329 1.143  1.278 1.056  1.096 0.912  0.914 0.768  0.732 0.623  0.550 0.479  0.368 0.335  0.186 0.191  0.004 0.047  -0.178 -0.097  -0.360 -0.241  -0.542 -0.385  -0.491 -0.392  -0.261 -0.374  -0.032 -0.334  0.200 -0.323  0.430 -0.300  0.659 -0.263  0.887 -0.217  1.115 -0.174  1.309 -0.063
2#apb#apb31#app3176/F  0.093 0.651  -0.037 0.736  -0.106 0.528  -0.170 0.315  -0.228 0.101  -0.279 -0.115  -0.325 -0.332  -0.383 -0.545  -0.449 -0.757  -0.522 -0.967  -0.621 -1.163  -0.725 -1.358  -0.813 -1.561  -0.831 -1.587  -0.759 -1.377  -0.688 -1.167  -0.617 -0.957  -0.545 -0.747  -0.474 -0.537  -0.403 -0.327  -0.331 -0.117  -0.260 0.094  -0.188 0.304  -0.117 0.514  -0.046 0.724  0.026 0.934  0.165 1.086  0.374 1.158  0.585 1.227  0.796 1.297  1.013 1.340  1.230 1.388  1.183 1.281  1.036 1.114  0.890 0.948  0.744 0.781  0.597 0.614  0.451 0.448  0.304 0.281  0.158 0.114  0.012 -0.052  -0.135 -0.219  -0.281 -0.386  -0.427 -0.552  -0.352 -0.657  -0.133 -0.624  0.083 -0.576  0.299 -0.522  0.501 -0.433  0.704 -0.341
2#apb#apb31#app3176/F  0.186 0.815  0.063 0.757  -0.043 0.545  -0.099 0.317  -0.151 0.087  -0.226 -0.138  -0.250 -0.372  -0.265 -0.608  -0.281 -0.844  -0.295 -1.081  -0.295 -1.317  -0.295 -1.554  -0.295 -1.778  -0.311 -1.542  -0.328 -1.306  -0.344 -1.070  -0.360 -0.834  -0.376 -0.597  -0.393 -0.361  -0.409 -0.125  -0.425 0.111  -0.442 0.347  -0.458 0.583  -0.355 0.767  -0.131 0.846  0.090 0.931  0.316 0.996  0.550 1.026  0.783 1.066  1.015 1.115  1.247 1.161  1.480 1.204  1.345 1.098  1.149 0.966  0.952 0.835  0.755 0.703  0.558 0.572  0.362 0.440  0.165 0.308  -0.032 0.177  -0.229 0.045  -0.425 -0.086  -0.622 -0.218  -0.777 -0.383  -0.839 -0.607  -0.701 -0.733  -0.472 -0.695  -0.248 -0.618  -0.031 -0.523  0.186 -0.428
2#apb#apb38#app3831/F  0.029 -1.880  0.023 -1.880  -0.020 -1.787  -0.052 -1.657  -0.104 -1.531  -0.147 -1.401  -0.190 -1.271  -0.231 -1.141  -0.271 -1.010  -0.310 -0.880  -0.347 -0.748  -0.385 -0.617  -0.407 -0.482  -0.424 -0.347  -0.441 -0.211  -0.460 -0.076  -0.479 0.059  -0.496 0.195  -0.506 0.331  -0.517 0.467  -0.493 0.601  -0.464 0.734  -0.444 0.869  -0.444 1.006  -0.394 1.093  -0.274 1.122  -0.140 1.124  -0.004 1.107  0.132 1.107  0.260 1.062  0.390 1.032  0.527 1.032  0.662 1.027  0.786 0.971  0.891 0.920  0.809 0.811  0.727 0.701  0.645 0.592  0.563 0.483  0.481 0.374  0.399 0.264  0.317 0.155  0.235 0.046  0.153 -0.063  0.071 -0.173  -0.011 -0.282  -0.087 -0.370  0.018 -0.456  0.142 -0.511  0.278 -0.511
2#app#app11#app1190/F  0.601 1.313  0.660 1.211  0.805 1.195  0.805 1.184  0.703 1.179  0.612 1.108  0.451 1.108  0.289 1.108  0.128 1.108  0.003 1.021  -0.142 0.979  -0.272 0.904  -0.430 0.896  -0.552 0.802  -0.626 0.714  -0.760 0.668  -0.830 0.536  -0.830 0.375  -0.830 0.213  -0.830 0.052  -0.830 -0.110  -0.795 -0.256  -0.728 -0.390  -0.639 -0.514  -0.626 -0.670  -0.526 -0.732  -0.483 -0.874  -0.421 -1.010  -0.328 -1.132  -0.272 -1.243  -0.214 -1.348  -0.103 -1.430  -0.009 -1.299  0.085 -1.168  0.179 -1.036  0.273 -0.905  0.367 -0.774  0.460 -0.642  0.554 -0.511  0.648 -0.380  0.742 -0.248  0.836 -0.117  0.870 -0.016  0.709 -0.016  0.563 -0.054  0.429 -0.118  0.267 -0.118  0.106 -0.118  0.047 -0.221  -0.115 -0.221
3#apa#apa03#app0380/F  -0.053 0.658  -0.053 0.429  -0.187 0.333  -0.200 0.110  -0.362 -0.052  -0.523 -0.214  -0.591 -0.415  -0.753 -0.577  -0.856 -0.764  -0.900 -0.949  -0.990 -1.088  -1.061 -1.287  -1.118 -1.484  -0.958 -1.388  -0.886 -1.171  -0.813 -0.954  -0.741 -0.736  -0.669 -0.519  -0.596 -0.302  -0.524 -0.085  -0.451 0.133  -0.379 0.350  -0.275 0.524  -0.048 0.529  0.123 0.679  0.328 0.781  0.533 0.842  0.728 0.925  0.957 0.925  1.186 0.925  1.415 0.925  1.644 0.925  1.523 0.839  1.321 0.731  1.118 0.624  0.916 0.517  0.713 0.410  0.511 0.303  0.309 0.196  0.106 0.088  -0.096 -0.019  -0.299 -0.126  -0.501 -0.233  -0.459 -0.279  -0.230 -0.279  -0.020 -0.196  0.197 -0.146  0.426 -0.146  0.655 -0.146  0.884 -0.146
2#app#app06#app0617/F  -0.561 0.561  -0.496 0.431  -0.414 0.267  -0.338 0.087  -0.276 -0.098  -0.236 -0.287  -0.194 -0.475  -0.115 -0.654  -0.051 -0.838  -0.026 -1.028  0.023 -1.212  0.062 -1.398  0.139 -1.566  0.208 -1.747  0.218 -1.868  0.201 -1.676  0.143 -1.495  0.088 -1.312  0.026 -1.132  -0.003 -0.943  -0.042 -0.757  -0.091 -0.573  -0.174 -0.397  -0.213 -0.206  -0.241 -0.014  -0.301 0.167  -0.357 0.349  -0.366 0.542  -0.431 0.711  -0.431 0.906  -0.431 1.101  -0.366 1.232  -0.214 1.275  -0.046 1.210  0.150 1.210  0.338 1.238  0.520 1.296  0.705 1.340  0.741 1.262  0.621 1.108  0.501 0.954  0.381 0.800  0.261 0.645  0.142 0.491  0.022 0.337  -0.098 0.183  -0.017 0.042  0.151 -0.023  0.347 -0.023  0.542 -0.023
3#apa#apa19#app1994/F  -0.396 0.649  -0.488 0.854  -0.488 0.750  -0.488 0.507  -0.479 0.266  -0.396 0.043  -0.385 -0.197  -0.305 -0.421  -0.290 -0.661  -0.182 -0.878  -0.122 -1.107  -0.122 -1.350  -0.030 -1.555  0.037 -1.730  0.053 -1.878  -0.002 -1.642  -0.057 -1.405  -0.113 -1.169  -0.168 -0.932  -0.223 -0.695  -0.278 -0.459  -0.333 -0.222  -0.389 0.015  -0.444 0.251  -0.499 0.488  -0.554 0.724  -0.579 0.964  -0.388 1.019  -0.166 1.107  0.074 1.133  0.310 1.192  0.552 1.198  0.795 1.198  1.038 1.198  1.229 1.179  1.048 1.017  0.867 0.855  0.686 0.693  0.505 0.530  0.324 0.368  0.143 0.206  -0.039 0.044  -0.220 -0.118  -0.401 -0.280  -0.362 -0.358  -0.119 -0.358  0.117 -0.329  0.345 -0.266  0.588 -0.266  0.793 -0.175
