2#tos#f3#f3042066/!  0.334 1.434  0.287 1.462  0.287 1.537  0.287 1.540  0.287 1.465  0.273 1.392  0.249 1.321  0.240 1.247  0.230 1.174  0.202 1.104  0.174 1.034  0.146 0.965  0.145 0.890  0.129 0.817  0.105 0.746  0.097 0.672  0.097 0.597  0.097 0.522  0.085 0.449  0.061 0.377  0.050 0.304  0.050 0.229  0.049 0.154  -0.004 0.101  -0.045 0.042  -0.045 -0.033  -0.045 -0.108  -0.046 -0.183  -0.057 -0.257  -0.068 -0.332  -0.079 -0.406  -0.090 -0.480  -0.101 -0.555  -0.113 -0.629  -0.124 -0.703  -0.135 -0.778  -0.146 -0.852  -0.157 -0.926  -0.168 -1.001  -0.180 -1.075  -0.187 -1.150  -0.187 -1.225  -0.187 -1.300  -0.201 -1.361  -0.277 -1.361  -0.211 -1.361  -0.189 -1.316  -0.242 -1.369  -0.301 -1.408  -0.376 -1.408
2#tos#f3#f3042066/M  -0.731 -1.060  -0.806 -1.176  -0.820 -1.311  -0.781 -1.172  -0.767 -1.015  -0.767 -0.856  -0.767 -0.698  -0.767 -0.539  -0.767 -0.380  -0.767 -0.221  -0.803 -0.068  -0.803 0.091  -0.803 0.250  -0.839 0.403  -0.839 0.562  -0.839 0.720  -0.839 0.879  -0.831 0.932  -0.772 0.785  -0.708 0.645  -0.675 0.498  -0.588 0.369  -0.562 0.216  -0.450 0.114  -0.338 0.017  -0.209 -0.056  -0.086 -0.091  0.073 -0.091  0.220 -0.055  0.356 0.027  0.482 0.121  0.583 0.235  0.703 0.339  0.749 0.469  0.847 0.568  0.918 0.655  0.924 0.811  0.990 0.883  0.990 0.724  0.990 0.565  0.990 0.406  0.990 0.247  0.990 0.088  0.990 -0.071  0.990 -0.229  0.990 -0.388  0.990 -0.547  0.990 -0.706  0.990 -0.865  0.990 -1.024
2#tos#f3#f3042066/Q  0.283 -0.622  0.148 -0.690  -0.056 -0.690  -0.260 -0.690  -0.464 -0.690  -0.668 -0.690  -0.832 -0.622  -0.998 -0.518  -1.117 -0.373  -1.117 -0.169  -1.115 0.034  -1.033 0.214  -0.980 0.396  -0.841 0.542  -0.697 0.686  -0.537 0.812  -0.377 0.938  -0.201 1.035  -0.034 1.143  0.153 1.225  0.347 1.283  0.549 1.297  0.750 1.325  0.951 1.315  1.067 1.157  1.137 0.982  1.137 0.778  1.119 0.580  1.027 0.399  0.964 0.211  0.830 0.060  0.744 -0.099  0.632 -0.266  0.500 -0.411  0.354 -0.536  0.177 -0.626  -0.009 -0.690  -0.185 -0.759  -0.389 -0.759  -0.555 -0.687  -0.605 -0.520  -0.523 -0.370  -0.371 -0.281  -0.167 -0.281  0.010 -0.328  0.078 -0.489  0.190 -0.641  0.267 -0.829  0.328 -1.019  0.386 -1.066
2#tos#f3#f3042066/R  0.123 1.263  0.077 1.160  0.046 0.923  -0.067 0.722  -0.123 0.489  -0.212 0.266  -0.294 0.041  -0.354 -0.190  -0.461 -0.405  -0.492 -0.637  -0.560 -0.856  -0.605 -1.089  -0.605 -1.329  -0.605 -1.182  -0.583 -0.943  -0.550 -0.705  -0.516 -0.468  -0.483 -0.230  -0.450 0.008  -0.416 0.246  -0.383 0.484  -0.350 0.722  -0.316 0.960  -0.287 1.198  -0.287 1.438  -0.054 1.445  0.186 1.445  0.378 1.327  0.552 1.208  0.728 1.053  0.760 0.820  0.760 0.580  0.727 0.345  0.631 0.134  0.442 -0.010  0.301 -0.147  0.071 -0.193  -0.169 -0.193  -0.390 -0.147  -0.405 -0.074  -0.267 -0.193  -0.150 -0.379  -0.001 -0.550  0.183 -0.704  0.360 -0.859  0.486 -1.056  0.669 -1.209  0.846 -1.370  0.985 -1.512  1.124 -1.649
2#tos#f3#f3042066/T  -1.309 0.275  -1.330 0.285  -1.203 0.311  -1.074 0.316  -0.953 0.360  -0.837 0.417  -0.709 0.424  -0.583 0.445  -0.463 0.494  -0.334 0.499  -0.208 0.522  -0.081 0.548  0.047 0.569  0.169 0.612  0.292 0.648  0.421 0.648  0.547 0.669  0.672 0.705  0.799 0.723  0.929 0.723  1.044 0.772  0.998 0.798  0.875 0.769  0.783 0.696  0.683 0.625  0.562 0.580  0.440 0.536  0.319 0.491  0.197 0.446  0.075 0.401  -0.002 0.411  -0.002 0.282  -0.002 0.152  -0.002 0.023  -0.002 -0.107  -0.002 -0.237  -0.002 -0.366  -0.016 -0.494  -0.039 -0.621  -0.039 -0.750  -0.039 -0.880  -0.039 -1.010  -0.047 -1.138  -0.077 -1.264  -0.077 -1.394  -0.077 -1.523  -0.077 -1.653  -0.077 -1.783  -0.077 -1.912  -0.077 -2.042
2#tos#f3#f3042066/X  -1.018 0.940  -1.121 1.080  -1.245 1.168  -1.101 1.061  -0.980 0.928  -0.927 0.758  -0.811 0.620  -0.705 0.472  -0.594 0.327  -0.470 0.194  -0.345 0.067  -0.201 -0.040  -0.086 -0.181  0.050 -0.302  0.198 -0.408  0.336 -0.527  0.452 -0.661  0.602 -0.756  0.725 -0.888  0.821 -1.034  0.914 -1.106  0.823 -0.966  0.763 -0.806  0.775 -0.624  0.788 -0.441  0.801 -0.259  0.813 -0.077  0.826 0.105  0.839 0.287  0.851 0.469  0.864 0.651  0.879 0.833  0.885 0.978  0.713 0.945  0.574 0.827  0.429 0.718  0.319 0.573  0.195 0.439  0.081 0.297  -0.048 0.168  -0.163 0.029  -0.240 -0.134  -0.382 -0.246  -0.498 -0.384  -0.631 -0.506  -0.737 -0.655  -0.867 -0.773  -0.947 -0.923  -1.066 -1.054  -1.132 -1.182
2#tos#f3#f3042066/c  1.241 0.182  1.241 0.289  1.241 0.396  1.241 0.503  1.240 0.609  1.180 0.691  1.119 0.760  1.019 0.790  0.912 0.790  0.805 0.790  0.698 0.790  0.591 0.790  0.484 0.790  0.377 0.790  0.270 0.790  0.168 0.771  0.073 0.722  -0.016 0.663  -0.106 0.605  -0.207 0.572  -0.305 0.531  -0.394 0.471  -0.480 0.408  -0.556 0.333  -0.647 0.283  -0.749 0.249  -0.768 0.156  -0.832 0.089  -0.900 0.018  -0.926 -0.085  -0.951 -0.189  -0.951 -0.296  -0.951 -0.403  -0.951 -0.510  -0.890 -0.579  -0.801 -0.637  -0.726 -0.713  -0.650 -0.789  -0.574 -0.864  -0.488 -0.914  -0.381 -0.914  -0.278 -0.935  -0.176 -0.969  -0.070 -0.975  0.037 -0.975  0.144 -0.975  0.250 -0.975  0.357 -0.975  0.464 -0.975  0.571 -0.975
2#tos#f3#f3042066/d  0.863 1.700  0.763 1.801  0.630 1.834  0.616 1.715  0.616 1.573  0.616 1.431  0.590 1.296  0.545 1.164  0.542 1.023  0.469 0.902  0.439 0.768  0.435 0.627  0.396 0.490  0.359 0.354  0.334 0.215  0.334 0.073  0.312 -0.067  0.298 -0.207  0.298 -0.349  0.298 -0.491  0.298 -0.633  0.327 -0.763  0.334 -0.850  0.334 -0.708  0.298 -0.581  0.228 -0.482  0.194 -0.349  0.097 -0.276  -0.029 -0.222  -0.116 -0.135  -0.251 -0.107  -0.391 -0.099  -0.533 -0.099  -0.645 -0.176  -0.776 -0.221  -0.896 -0.276  -0.937 -0.377  -1.054 -0.429  -1.113 -0.552  -1.113 -0.694  -1.027 -0.775  -0.890 -0.805  -0.749 -0.805  -0.607 -0.805  -0.465 -0.805  -0.323 -0.805  -0.186 -0.783  -0.048 -0.770  0.094 -0.770  0.192 -0.699
2#tos#f3#f3042066/e  -0.205 -0.206  -0.384 -0.237  -0.546 -0.334  -0.594 -0.399  -0.406 -0.399  -0.223 -0.376  -0.055 -0.292  0.125 -0.243  0.309 -0.206  0.413 -0.058  0.581 0.026  0.749 0.110  0.911 0.203  1.017 0.310  1.080 0.483  1.080 0.671  1.080 0.859  0.935 0.950  0.762 1.013  0.574 1.015  0.386 1.015  0.198 1.015  0.010 1.015  -0.169 0.962  -0.340 0.883  -0.508 0.799  -0.633 0.672  -0.787 0.585  -0.936 0.477  -1.093 0.378  -1.228 0.248  -1.290 0.071  -1.297 -0.115  -1.274 -0.294  -1.175 -0.451  -1.027 -0.541  -0.860 -0.592  -0.733 -0.692  -0.563 -0.720  -0.375 -0.720  -0.187 -0.720  0.001 -0.720  0.189 -0.720  0.377 -0.720  0.565 -0.720  0.753 -0.720  0.941 -0.720  1.110 -0.658  1.278 -0.592  1.466 -0.592
2#tos#f3#f3042066/f  0.540 1.722  0.425 1.740  0.348 1.798  0.214 1.799  0.121 1.732  0.041 1.645  0.010 1.517  0.001 1.384  0.001 1.249  0.001 1.115  0.040 0.987  0.086 0.861  0.155 0.748  0.162 0.614  0.195 0.484  0.256 0.364  0.271 0.233  0.271 0.099  0.271 -0.036  0.271 -0.170  0.271 -0.305  0.234 -0.433  0.160 -0.545  0.115 -0.672  0.067 -0.795  -0.028 -0.890  -0.092 -1.008  -0.115 -1.137  -0.211 -1.202  -0.257 -1.312  -0.309 -1.215  -0.355 -1.088  -0.401 -0.962  -0.447 -0.836  -0.493 -0.709  -0.539 -0.583  -0.598 -0.476  -0.732 -0.477  -0.713 -0.515  -0.578 -0.515  -0.447 -0.504  -0.333 -0.437  -0.198 -0.437  -0.064 -0.437  0.061 -0.399  0.196 -0.399  0.330 -0.399  0.464 -0.399  0.599 -0.399  0.733 -0.399
2#tos#f3#f3042066/g  0.325 0.819  0.455 0.771  0.551 0.902  0.550 1.070  0.515 1.233  0.363 1.304  0.204 1.366  0.031 1.387  -0.140 1.342  -0.264 1.257  -0.364 1.129  -0.436 0.981  -0.484 0.823  -0.429 0.668  -0.287 0.581  -0.109 0.581  0.069 0.581  0.241 0.616  0.369 0.676  0.467 0.756  0.430 0.620  0.372 0.460  0.353 0.285  0.325 0.112  0.286 -0.060  0.230 -0.225  0.207 -0.394  0.101 -0.534  0.039 -0.697  -0.029 -0.854  -0.114 -1.010  -0.204 -1.163  -0.318 -1.299  -0.405 -1.442  -0.484 -1.596  -0.627 -1.556  -0.714 -1.465  -0.722 -1.295  -0.722 -1.117  -0.687 -0.954  -0.589 -0.808  -0.445 -0.708  -0.289 -0.622  -0.137 -0.530  0.013 -0.443  0.158 -0.347  0.326 -0.323  0.504 -0.323  0.670 -0.276  0.848 -0.276
2#tos#f3#f3042066/i  -1.231 -0.885  -1.268 -0.939  -1.161 -0.908  -1.090 -0.809  -0.985 -0.739  -0.889 -0.660  -0.788 -0.593  -0.724 -0.486  -0.635 -0.397  -0.537 -0.321  -0.473 -0.236  -0.353 -0.250  -0.258 -0.304  -0.244 -0.427  -0.204 -0.543  -0.112 -0.599  -0.015 -0.669  0.056 -0.757  0.169 -0.777  0.258 -0.836  0.354 -0.885  0.480 -0.885  0.605 -0.885  0.623 -0.777  0.723 -0.715  0.769 -0.609  0.769 -0.483  0.769 -0.357  0.748 -0.236  0.702 -0.119  0.656 -0.002  0.610 0.115  0.564 0.232  0.517 0.349  0.471 0.466  0.425 0.582  0.379 0.699  0.333 0.816  0.287 0.933  0.241 1.050  0.195 1.167  0.149 1.284  0.103 1.401  0.041 1.494  -0.042 1.451  -0.102 1.386  -0.167 1.315  -0.204 1.205  -0.204 1.079  -0.312 1.061
2#tos#f3#f3042066/l  -1.032 -1.193  -1.007 -1.263  -0.872 -1.219  -0.749 -1.149  -0.666 -1.087  -0.557 -1.000  -0.437 -0.924  -0.340 -0.825  -0.220 -0.746  -0.107 -0.656  -0.010 -0.548  0.080 -0.434  0.180 -0.328  0.259 -0.206  0.334 -0.082  0.400 0.048  0.457 0.182  0.526 0.308  0.608 0.428  0.673 0.558  0.733 0.689  0.733 0.835  0.768 0.966  0.768 1.111  0.768 1.256  0.728 1.393  0.656 1.489  0.524 1.457  0.411 1.372  0.354 1.239  0.264 1.126  0.189 1.007  0.131 0.878  0.040 0.764  0.027 0.623  -0.054 0.506  -0.130 0.384  -0.176 0.246  -0.255 0.126  -0.291 -0.008  -0.329 -0.137  -0.397 -0.255  -0.403 -0.400  -0.432 -0.540  -0.432 -0.686  -0.432 -0.831  -0.432 -0.977  -0.407 -1.112  -0.295 -1.193  -0.150 -1.193
2#tos#f3#f3042066/m  -1.348 -0.457  -1.550 -0.457  -1.585 -0.291  -1.576 -0.093  -1.433 0.050  -1.275 0.171  -1.087 0.241  -1.007 0.383  -0.811 0.431  -0.697 0.518  -0.541 0.608  -0.345 0.647  -0.169 0.722  -0.105 0.591  -0.218 0.436  -0.247 0.241  -0.323 0.055  -0.493 -0.034  -0.608 -0.190  -0.666 -0.367  -0.772 -0.516  -0.739 -0.422  -0.620 -0.262  -0.460 -0.141  -0.309 -0.009  -0.145 0.108  0.003 0.243  0.146 0.386  0.304 0.490  0.496 0.549  0.546 0.397  0.546 0.195  0.380 0.087  0.263 -0.075  0.250 -0.273  0.135 -0.398  0.294 -0.295  0.410 -0.153  0.584 -0.053  0.778 0.000  0.924 0.122  1.082 0.194  1.176 0.057  1.256 -0.125  1.256 -0.327  1.397 -0.457  1.433 -0.622  1.622 -0.635  1.824 -0.635  2.025 -0.635
2#tos#f3#f3042066/n  -0.874 -0.677  -1.046 -0.706  -1.219 -0.729  -1.349 -0.684  -1.349 -0.508  -1.329 -0.340  -1.243 -0.200  -1.204 -0.031  -1.096 0.104  -1.034 0.267  -0.892 0.367  -0.788 0.507  -0.670 0.636  -0.569 0.777  -0.433 0.884  -0.286 0.960  -0.135 0.936  -0.135 0.760  -0.099 0.590  -0.082 0.417  -0.082 0.242  -0.167 0.111  -0.268 -0.021  -0.336 -0.182  -0.346 -0.356  -0.346 -0.294  -0.332 -0.121  -0.231 0.019  -0.085 0.114  -0.028 0.275  0.103 0.388  0.251 0.465  0.382 0.538  0.558 0.538  0.720 0.480  0.816 0.363  0.816 0.187  0.816 0.012  0.763 -0.152  0.763 -0.328  0.763 -0.503  0.763 -0.679  0.835 -0.777  1.005 -0.735  1.128 -0.677  1.196 -0.555  1.367 -0.518  1.516 -0.452  1.673 -0.405  1.819 -0.307
2#tos#f3#f3042066/o  0.682 0.337  0.519 0.401  0.483 0.591  0.386 0.732  0.167 0.781  -0.057 0.767  -0.254 0.668  -0.449 0.591  -0.579 0.410  -0.777 0.305  -0.950 0.162  -1.079 -0.023  -1.134 -0.233  -1.219 -0.434  -1.219 -0.660  -1.219 -0.886  -1.219 -1.112  -1.026 -1.184  -0.815 -1.247  -0.588 -1.247  -0.362 -1.247  -0.136 -1.245  0.074 -1.161  0.175 -1.003  0.389 -0.958  0.581 -0.878  0.746 -0.739  0.816 -0.542  0.936 -0.354  0.936 -0.128  0.936 0.098  0.936 0.325  0.778 0.479  0.632 0.616  0.478 0.717  0.252 0.717  0.026 0.717  -0.201 0.717  -0.427 0.717  -0.648 0.712  -0.544 0.591  -0.381 0.527  -0.233 0.401  -0.007 0.401  0.215 0.381  0.431 0.337  0.655 0.325  0.874 0.274  1.100 0.274  1.316 0.210
2#tos#f3#f3042066/x  -1.052 0.444  -1.309 0.444  -1.335 0.675  -1.189 0.869  -0.944 0.938  -0.717 1.009  -0.490 1.079  -0.234 1.079  -0.051 1.000  0.155 0.851  0.217 0.610  0.211 0.354  0.147 0.109  0.131 -0.143  -0.008 -0.358  -0.155 -0.563  -0.315 -0.760  -0.488 -0.922  -0.629 -1.037  -0.798 -1.178  -0.932 -1.125  -0.757 -0.938  -0.582 -0.751  -0.407 -0.564  -0.231 -0.378  -0.056 -0.191  0.119 -0.004  0.294 0.183  0.470 0.370  0.645 0.557  0.820 0.744  0.995 0.931  1.082 1.079  0.854 1.011  0.698 0.868  0.500 0.727  0.358 0.530  0.238 0.324  0.147 0.092  -0.011 -0.093  -0.065 -0.316  -0.148 -0.543  -0.206 -0.741  -0.050 -0.896  0.206 -0.896  0.462 -0.896  0.718 -0.896  0.975 -0.896  1.231 -0.896  1.487 -0.896
2#tos#f3#f3042066/y  -0.904 1.076  -0.719 1.076  -0.653 0.958  -0.513 0.885  -0.416 0.781  -0.238 0.736  -0.101 0.793  0.056 0.840  0.177 0.924  0.333 1.014  0.395 1.173  0.468 1.327  0.513 1.367  0.513 1.182  0.478 1.006  0.454 0.827  0.454 0.643  0.454 0.458  0.395 0.287  0.395 0.103  0.395 -0.082  0.395 -0.266  0.275 -0.401  0.218 -0.562  0.159 -0.722  0.129 -0.902  0.035 -1.055  -0.067 -1.205  -0.166 -1.344  -0.267 -1.462  -0.452 -1.462  -0.632 -1.434  -0.752 -1.344  -0.845 -1.217  -0.845 -1.033  -0.845 -0.848  -0.781 -0.690  -0.668 -0.552  -0.542 -0.459  -0.449 -0.333  -0.301 -0.278  -0.127 -0.218  0.045 -0.164  0.181 -0.097  0.286 0.013  0.467 0.038  0.646 0.072  0.822 0.109  0.987 0.191  1.162 0.249
