2#app#app25#app2545/b  0.575 1.633  0.575 1.832  0.575 1.791  0.575 1.592  0.575 1.393  0.414 1.355  0.297 1.274  0.297 1.075  0.297 0.876  0.175 0.800  0.020 0.757  0.020 0.558  -0.144 0.523  -0.258 0.438  -0.258 0.240  -0.258 0.041  -0.347 -0.121  -0.487 -0.261  -0.627 -0.402  -0.768 -0.542  -0.813 -0.722  -0.813 -0.809  -0.813 -0.610  -0.813 -0.412  -0.716 -0.310  -0.523 -0.297  -0.382 -0.157  -0.235 -0.032  -0.036 -0.032  0.020 0.110  0.020 0.309  0.020 0.508  0.149 0.393  0.290 0.253  0.485 0.245  0.575 0.136  0.575 -0.063  0.575 -0.261  0.575 -0.460  0.524 -0.638  0.384 -0.778  0.297 -0.941  0.297 -1.140  0.297 -1.338  0.180 -1.420  -0.018 -1.420  -0.217 -1.420  -0.258 -1.262  -0.337 -1.142  -0.535 -1.142
1c#lav#lav2#jlb_0006/b  0.459 1.923  0.365 1.798  0.271 1.673  0.177 1.548  0.102 1.412  0.033 1.272  -0.037 1.132  -0.106 0.992  -0.174 0.852  -0.242 0.711  -0.310 0.571  -0.379 0.430  -0.451 0.292  -0.523 0.154  -0.595 0.015  -0.666 -0.124  -0.735 -0.264  -0.805 -0.404  -0.848 -0.554  -0.814 -0.579  -0.701 -0.471  -0.588 -0.364  -0.475 -0.256  -0.357 -0.154  -0.237 -0.053  -0.118 0.048  0.015 0.127  0.158 0.188  0.302 0.250  0.452 0.287  0.607 0.309  0.744 0.250  0.878 0.169  1.002 0.082  1.002 -0.074  1.002 -0.230  0.923 -0.362  0.827 -0.484  0.716 -0.595  0.606 -0.705  0.475 -0.788  0.338 -0.863  0.201 -0.938  0.064 -1.013  -0.072 -1.088  -0.209 -1.163  -0.350 -1.230  -0.495 -1.290  -0.641 -1.247  -0.788 -1.194
1c#lav#lav2#jlb_0006/b  0.638 1.860  0.569 1.740  0.500 1.619  0.432 1.499  0.363 1.379  0.283 1.266  0.198 1.157  0.113 1.048  0.028 0.939  -0.054 0.828  -0.135 0.715  -0.216 0.603  -0.297 0.491  -0.368 0.373  -0.433 0.250  -0.497 0.128  -0.561 0.005  -0.648 -0.102  -0.740 -0.205  -0.759 -0.243  -0.645 -0.164  -0.531 -0.085  -0.426 0.004  -0.328 0.102  -0.222 0.187  -0.092 0.234  0.039 0.271  0.175 0.246  0.305 0.198  0.434 0.149  0.564 0.100  0.631 -0.021  0.699 -0.141  0.767 -0.262  0.739 -0.383  0.672 -0.504  0.602 -0.624  0.528 -0.740  0.451 -0.855  0.360 -0.960  0.262 -1.056  0.144 -1.127  0.025 -1.198  -0.096 -1.262  -0.234 -1.262  -0.372 -1.256  -0.511 -1.250  -0.649 -1.243  -0.787 -1.235  -0.923 -1.212
1c#lav#lav2#jlb_0006/b  0.391 1.818  0.303 1.710  0.216 1.602  0.129 1.494  0.058 1.374  -0.012 1.254  -0.081 1.133  -0.143 1.008  -0.205 0.884  -0.267 0.760  -0.336 0.639  -0.408 0.520  -0.479 0.400  -0.550 0.280  -0.618 0.159  -0.686 0.038  -0.759 -0.080  -0.834 -0.198  -0.730 -0.154  -0.606 -0.092  -0.487 -0.020  -0.371 0.057  -0.256 0.134  -0.129 0.186  0.006 0.218  0.142 0.251  0.279 0.267  0.416 0.254  0.549 0.215  0.683 0.176  0.778 0.080  0.856 -0.034  0.900 -0.166  0.906 -0.296  0.847 -0.422  0.789 -0.548  0.723 -0.670  0.657 -0.793  0.547 -0.875  0.431 -0.952  0.315 -1.029  0.186 -1.080  0.055 -1.124  -0.077 -1.168  -0.209 -1.212  -0.341 -1.256  -0.478 -1.280  -0.615 -1.265  -0.700 -1.157  -0.782 -1.045
3#app#app36#app3693/b  -0.591 1.724  -0.591 1.514  -0.591 1.304  -0.591 1.094  -0.591 0.885  -0.591 0.675  -0.571 0.470  -0.477 0.283  -0.470 0.075  -0.470 -0.135  -0.470 -0.345  -0.470 -0.554  -0.470 -0.764  -0.470 -0.974  -0.470 -1.184  -0.349 -1.102  -0.349 -0.892  -0.349 -0.683  -0.349 -0.473  -0.349 -0.263  -0.349 -0.053  -0.342 0.154  -0.180 0.268  -0.010 0.364  0.189 0.390  0.275 0.530  0.301 0.738  0.327 0.946  0.353 1.154  0.381 1.358  0.518 1.202  0.612 1.015  0.622 0.807  0.622 0.598  0.677 0.401  0.786 0.225  0.909 0.058  0.985 -0.134  0.985 -0.343  0.985 -0.553  0.925 -0.702  0.759 -0.807  0.607 -0.952  0.420 -1.045  0.215 -1.066  0.005 -1.066  -0.205 -1.066  -0.414 -1.066  -0.624 -1.066  -0.712 -0.944
2#apa#apa15#app1567/b  -0.549 2.092  -0.549 1.930  -0.549 1.769  -0.549 1.608  -0.549 1.446  -0.549 1.285  -0.549 1.124  -0.549 0.962  -0.536 0.802  -0.510 0.643  -0.483 0.484  -0.457 0.325  -0.430 0.166  -0.404 0.007  -0.377 -0.153  -0.375 -0.314  -0.375 -0.475  -0.375 -0.636  -0.375 -0.798  -0.375 -0.959  -0.375 -0.945  -0.342 -0.792  -0.270 -0.648  -0.199 -0.503  -0.148 -0.350  -0.097 -0.197  -0.046 -0.044  -0.028 0.115  -0.028 0.276  0.029 0.413  0.143 0.527  0.304 0.529  0.422 0.426  0.493 0.294  0.528 0.147  0.642 0.033  0.756 -0.081  0.859 -0.203  0.931 -0.347  1.003 -0.492  1.013 -0.651  1.013 -0.812  0.905 -0.895  0.752 -0.946  0.599 -0.997  0.443 -1.033  0.282 -1.033  0.121 -1.033  -0.040 -1.033  -0.202 -1.033
3#app#app33#app3311/b  -1.055 1.648  -0.956 1.524  -0.892 1.386  -0.845 1.240  -0.758 1.111  -0.751 0.948  -0.659 0.821  -0.659 0.656  -0.629 0.498  -0.556 0.350  -0.504 0.193  -0.461 0.035  -0.461 -0.130  -0.362 -0.254  -0.362 -0.419  -0.362 -0.584  -0.384 -0.728  -0.461 -0.640  -0.461 -0.475  -0.451 -0.312  -0.377 -0.164  -0.340 -0.012  -0.223 0.105  -0.164 0.246  -0.129 0.396  0.009 0.460  0.133 0.560  0.250 0.676  0.382 0.757  0.547 0.757  0.687 0.698  0.804 0.581  0.921 0.464  0.925 0.301  0.925 0.136  0.925 -0.029  0.925 -0.195  0.925 -0.360  0.925 -0.525  0.897 -0.683  0.826 -0.832  0.762 -0.957  0.628 -1.040  0.570 -1.181  0.422 -1.222  0.257 -1.222  0.092 -1.222  -0.065 -1.215  -0.139 -1.123  -0.263 -1.024
1c#syn#syn0#lvh/b  -0.037 1.704  -0.081 1.514  -0.133 1.322  -0.181 1.128  -0.227 0.934  -0.271 0.739  -0.315 0.544  -0.363 0.351  -0.412 0.158  -0.462 -0.036  -0.509 -0.229  -0.559 -0.422  -0.615 -0.614  -0.672 -0.805  -0.733 -0.995  -0.831 -1.158  -0.776 -0.967  -0.719 -0.776  -0.658 -0.586  -0.573 -0.405  -0.488 -0.225  -0.393 -0.050  -0.293 0.123  -0.187 0.291  -0.059 0.444  0.070 0.597  0.239 0.703  0.409 0.807  0.598 0.868  0.792 0.905  0.989 0.901  1.167 0.809  1.280 0.650  1.296 0.458  1.281 0.259  1.223 0.070  1.110 -0.094  0.996 -0.258  0.862 -0.403  0.698 -0.516  0.529 -0.622  0.359 -0.727  0.173 -0.797  -0.016 -0.859  -0.213 -0.892  -0.411 -0.910  -0.609 -0.906  -0.788 -0.830  -0.823 -0.652  -0.663 -0.541
1c#syn#syn0#lvh/b  -0.415 1.780  -0.471 1.706  -0.468 1.525  -0.461 1.343  -0.452 1.161  -0.447 0.980  -0.447 0.798  -0.449 0.616  -0.455 0.434  -0.461 0.253  -0.471 0.071  -0.481 -0.110  -0.498 -0.291  -0.521 -0.472  -0.541 -0.652  -0.557 -0.833  -0.569 -1.015  -0.600 -1.006  -0.565 -0.827  -0.519 -0.652  -0.465 -0.478  -0.411 -0.305  -0.343 -0.136  -0.267 0.029  -0.184 0.191  -0.092 0.347  0.025 0.485  0.154 0.613  0.307 0.711  0.476 0.777  0.654 0.809  0.833 0.796  0.987 0.709  1.087 0.562  1.124 0.386  1.118 0.206  1.085 0.027  1.011 -0.138  0.928 -0.300  0.826 -0.450  0.722 -0.599  0.598 -0.732  0.470 -0.860  0.325 -0.969  0.175 -1.071  0.014 -1.157  -0.156 -1.217  -0.325 -1.180  -0.396 -1.022  -0.431 -0.844
2#aga#jhnshrly/b  -0.264 0.981  -0.264 1.144  -0.230 1.302  -0.227 1.464  -0.322 1.520  -0.446 1.423  -0.556 1.303  -0.640 1.165  -0.705 1.016  -0.739 0.856  -0.759 0.696  -0.734 0.538  -0.677 0.386  -0.612 0.237  -0.543 0.090  -0.480 -0.060  -0.429 -0.214  -0.429 -0.377  -0.447 -0.535  -0.523 -0.678  -0.577 -0.830  -0.658 -0.971  -0.683 -1.029  -0.564 -0.917  -0.439 -0.814  -0.315 -0.709  -0.228 -0.581  -0.188 -0.423  -0.151 -0.265  -0.115 -0.106  -0.060 0.043  0.004 0.177  0.124 0.287  0.278 0.321  0.441 0.321  0.597 0.278  0.754 0.235  0.899 0.163  1.032 0.071  1.135 -0.054  1.204 -0.196  1.204 -0.359  1.204 -0.521  1.133 -0.665  1.030 -0.789  0.897 -0.876  0.749 -0.943  0.591 -0.978  0.439 -1.037  0.286 -1.092
2#aga#jhnshrly/b  -0.255 1.465  -0.161 1.606  -0.117 1.645  -0.190 1.492  -0.255 1.335  -0.323 1.179  -0.382 1.019  -0.436 0.857  -0.483 0.694  -0.532 0.530  -0.582 0.368  -0.631 0.205  -0.648 0.037  -0.655 -0.133  -0.649 -0.302  -0.622 -0.470  -0.594 -0.638  -0.567 -0.805  -0.567 -0.976  -0.554 -0.890  -0.514 -0.724  -0.439 -0.572  -0.367 -0.418  -0.298 -0.262  -0.219 -0.111  -0.139 0.039  -0.060 0.190  0.023 0.339  0.113 0.482  0.223 0.612  0.337 0.739  0.487 0.816  0.621 0.765  0.708 0.622  0.766 0.461  0.807 0.298  0.818 0.128  0.847 -0.040  0.864 -0.209  0.863 -0.378  0.839 -0.547  0.804 -0.714  0.724 -0.864  0.630 -1.005  0.502 -1.116  0.360 -1.210  0.212 -1.293  0.062 -1.373  -0.101 -1.422  -0.269 -1.451
2#aga#jhnshrly/b  -0.526 1.368  -0.490 1.537  -0.447 1.705  -0.517 1.661  -0.559 1.490  -0.591 1.318  -0.586 1.142  -0.561 0.969  -0.522 0.797  -0.474 0.628  -0.419 0.461  -0.373 0.292  -0.326 0.122  -0.286 -0.049  -0.246 -0.220  -0.238 -0.395  -0.238 -0.571  -0.275 -0.742  -0.323 -0.911  -0.449 -0.983  -0.513 -0.821  -0.503 -0.646  -0.460 -0.477  -0.403 -0.310  -0.338 -0.147  -0.243 0.000  -0.155 0.153  -0.035 0.279  0.096 0.396  0.228 0.512  0.359 0.629  0.495 0.740  0.628 0.636  0.715 0.484  0.768 0.317  0.822 0.149  0.878 -0.017  0.944 -0.181  1.004 -0.346  1.012 -0.519  0.983 -0.692  0.876 -0.825  0.740 -0.936  0.584 -1.017  0.419 -1.078  0.255 -1.139  0.081 -1.166  -0.092 -1.198  -0.267 -1.217  -0.434 -1.182
3#apa#apa03#app0327/b  -0.819 1.874  -0.819 1.702  -0.819 1.530  -0.819 1.358  -0.819 1.186  -0.819 1.014  -0.815 0.843  -0.738 0.690  -0.674 0.533  -0.674 0.361  -0.674 0.189  -0.674 0.018  -0.674 -0.154  -0.562 -0.280  -0.528 -0.438  -0.526 -0.609  -0.404 -0.730  -0.382 -0.893  -0.382 -1.065  -0.382 -1.144  -0.382 -0.972  -0.312 -0.829  -0.236 -0.689  -0.236 -0.517  -0.236 -0.345  -0.136 -0.215  -0.090 -0.062  -0.090 0.110  0.023 0.235  0.144 0.357  0.202 0.505  0.318 0.561  0.490 0.561  0.662 0.561  0.785 0.512  0.785 0.341  0.885 0.269  0.931 0.143  1.077 0.117  1.077 -0.055  1.077 -0.227  1.077 -0.399  0.967 -0.461  0.931 -0.597  0.785 -0.623  0.743 -0.752  0.639 -0.820  0.545 -0.898  0.374 -0.898  0.202 -0.898
1c#apa#apa00#app0082/b  -0.558 1.829  -0.508 1.939  -0.448 1.840  -0.448 1.679  -0.448 1.519  -0.448 1.359  -0.448 1.199  -0.448 1.039  -0.448 0.879  -0.448 0.718  -0.448 0.558  -0.448 0.398  -0.448 0.238  -0.448 0.078  -0.448 -0.083  -0.448 -0.243  -0.448 -0.403  -0.448 -0.563  -0.394 -0.711  -0.337 -0.858  -0.337 -1.018  -0.337 -1.178  -0.337 -1.194  -0.337 -1.033  -0.337 -0.873  -0.337 -0.713  -0.227 -0.599  -0.227 -0.438  -0.180 -0.289  -0.116 -0.144  -0.050 -0.050  0.076 0.032  0.114 0.171  0.257 0.213  0.389 0.281  0.549 0.281  0.709 0.281  0.840 0.210  0.953 0.096  1.066 -0.017  1.100 -0.163  1.062 -0.308  0.989 -0.438  0.914 -0.567  0.801 -0.681  0.655 -0.716  0.540 -0.824  0.396 -0.864  0.265 -0.934  0.105 -0.934
1c#pri#pri0#150/b  -0.675 1.729  -0.697 1.731  -0.697 1.590  -0.697 1.449  -0.697 1.309  -0.697 1.168  -0.694 1.027  -0.683 0.887  -0.675 0.746  -0.675 0.606  -0.675 0.465  -0.652 0.326  -0.629 0.187  -0.619 0.047  -0.607 -0.093  -0.580 -0.231  -0.557 -0.370  -0.542 -0.510  -0.519 -0.649  -0.502 -0.787  -0.404 -0.747  -0.341 -0.621  -0.303 -0.486  -0.259 -0.352  -0.205 -0.222  -0.145 -0.095  -0.072 0.025  0.010 0.139  0.118 0.222  0.251 0.270  0.388 0.287  0.529 0.287  0.667 0.265  0.794 0.208  0.908 0.126  1.016 0.037  1.103 -0.074  1.158 -0.203  1.166 -0.342  1.137 -0.479  1.059 -0.596  0.954 -0.689  0.843 -0.775  0.727 -0.854  0.601 -0.917  0.472 -0.975  0.340 -1.021  0.202 -1.045  0.062 -1.045  -0.009 -0.956
1c#apb#apb07#app0710/b  -0.268 1.669  -0.399 1.589  -0.487 1.447  -0.546 1.288  -0.576 1.121  -0.604 0.954  -0.598 0.784  -0.593 0.615  -0.576 0.446  -0.557 0.277  -0.537 0.109  -0.512 -0.059  -0.488 -0.226  -0.471 -0.395  -0.455 -0.564  -0.454 -0.734  -0.464 -0.902  -0.503 -1.045  -0.554 -0.890  -0.542 -0.721  -0.515 -0.553  -0.489 -0.386  -0.448 -0.221  -0.406 -0.057  -0.361 0.107  -0.306 0.267  -0.251 0.428  -0.195 0.587  -0.102 0.729  0.003 0.851  0.171 0.875  0.326 0.824  0.475 0.743  0.583 0.618  0.674 0.475  0.753 0.327  0.804 0.165  0.855 0.003  0.909 -0.158  0.965 -0.318  1.022 -0.478  1.033 -0.646  1.039 -0.816  0.951 -0.957  0.853 -1.095  0.698 -1.157  0.537 -1.211  0.372 -1.237  0.202 -1.237  0.032 -1.237
2#kai#kai2#yslee4/b  -0.252 2.289  -0.251 2.136  -0.213 1.988  -0.202 1.836  -0.202 1.683  -0.202 1.530  -0.202 1.377  -0.202 1.224  -0.202 1.071  -0.202 0.918  -0.202 0.765  -0.202 0.612  -0.202 0.459  -0.202 0.306  -0.202 0.153  -0.202 -0.001  -0.202 -0.154  -0.202 -0.307  -0.202 -0.460  -0.184 -0.610  -0.152 -0.760  -0.152 -0.913  -0.152 -1.066  -0.152 -1.219  -0.152 -1.372  -0.182 -1.341  -0.184 -1.193  -0.154 -1.042  -0.107 -0.897  -0.069 -0.749  -0.041 -0.599  -0.019 -0.447  0.021 -0.302  0.101 -0.173  0.149 -0.027  0.186 0.121  0.292 0.221  0.429 0.284  0.540 0.233  0.611 0.099  0.641 -0.049  0.626 -0.201  0.587 -0.348  0.518 -0.485  0.440 -0.616  0.345 -0.735  0.234 -0.839  0.088 -0.882  -0.054 -0.832  -0.103 -0.686
2#kai#kai2#yslee4/b  -0.259 2.275  -0.216 2.102  -0.208 1.925  -0.208 1.746  -0.218 1.569  -0.259 1.395  -0.259 1.217  -0.259 1.038  -0.276 0.861  -0.311 0.686  -0.330 0.508  -0.350 0.331  -0.362 0.153  -0.362 -0.026  -0.362 -0.204  -0.362 -0.383  -0.340 -0.558  -0.310 -0.732  -0.310 -0.910  -0.337 -1.084  -0.362 -1.056  -0.362 -0.878  -0.362 -0.699  -0.313 -0.531  -0.242 -0.367  -0.179 -0.200  -0.097 -0.043  0.009 0.100  0.121 0.240  0.256 0.356  0.406 0.448  0.579 0.482  0.737 0.445  0.829 0.291  0.868 0.124  0.868 -0.055  0.868 -0.233  0.863 -0.411  0.819 -0.584  0.712 -0.726  0.596 -0.861  0.446 -0.956  0.272 -0.999  0.094 -1.004  -0.084 -1.004  -0.262 -1.002  -0.411 -0.903  -0.397 -0.732  -0.271 -0.606  -0.105 -0.543
2#kai#kai2#yslee4/b  -0.387 2.123  -0.387 1.920  -0.387 1.717  -0.387 1.514  -0.387 1.311  -0.387 1.108  -0.366 0.907  -0.332 0.707  -0.332 0.504  -0.332 0.301  -0.332 0.098  -0.332 -0.105  -0.320 -0.307  -0.277 -0.504  -0.277 -0.707  -0.266 -0.909  -0.221 -1.107  -0.221 -1.310  -0.396 -1.341  -0.456 -1.147  -0.498 -0.950  -0.498 -0.747  -0.473 -0.547  -0.418 -0.351  -0.362 -0.156  -0.290 0.031  -0.182 0.203  -0.074 0.375  0.020 0.555  0.123 0.729  0.271 0.863  0.461 0.904  0.659 0.869  0.797 0.734  0.910 0.565  0.942 0.372  0.942 0.169  0.929 -0.033  0.881 -0.230  0.841 -0.429  0.753 -0.610  0.643 -0.779  0.499 -0.923  0.318 -1.014  0.120 -1.034  -0.069 -0.988  -0.193 -0.841  -0.221 -0.642  -0.103 -0.496  0.056 -0.370
2#kai#kai2#yslee4/b  -0.330 1.765  -0.330 1.931  -0.330 1.995  -0.330 1.830  -0.330 1.665  -0.330 1.499  -0.330 1.334  -0.330 1.169  -0.330 1.004  -0.330 0.838  -0.330 0.673  -0.308 0.510  -0.284 0.346  -0.284 0.181  -0.284 0.016  -0.284 -0.149  -0.284 -0.315  -0.260 -0.477  -0.237 -0.639  -0.237 -0.805  -0.222 -0.968  -0.190 -1.131  -0.217 -1.269  -0.347 -1.220  -0.377 -1.059  -0.377 -0.894  -0.361 -0.731  -0.325 -0.569  -0.289 -0.408  -0.207 -0.267  -0.130 -0.121  -0.046 0.021  0.059 0.148  0.192 0.236  0.354 0.268  0.519 0.272  0.681 0.252  0.822 0.182  0.921 0.050  0.930 -0.112  0.930 -0.278  0.882 -0.435  0.842 -0.595  0.717 -0.696  0.597 -0.809  0.454 -0.883  0.290 -0.896  0.125 -0.896  -0.034 -0.855  -0.097 -0.709
1c#apa#apa02#app0213/b  -0.901 1.708  -0.901 1.598  -0.901 1.633  -0.901 1.447  -0.794 1.305  -0.752 1.137  -0.752 0.951  -0.714 0.781  -0.604 0.641  -0.604 0.455  -0.529 0.300  -0.456 0.145  -0.456 -0.041  -0.446 -0.217  -0.308 -0.265  -0.308 -0.450  -0.308 -0.636  -0.308 -0.822  -0.308 -0.906  -0.308 -0.720  -0.308 -0.534  -0.456 -0.497  -0.456 -0.311  -0.365 -0.217  -0.308 -0.087  -0.289 0.080  -0.160 0.136  -0.066 0.228  0.081 0.321  0.212 0.452  0.369 0.524  0.554 0.524  0.740 0.524  0.876 0.474  0.876 0.288  1.001 0.228  1.024 0.065  1.024 -0.121  1.024 -0.307  1.024 -0.493  1.024 -0.679  0.968 -0.809  0.876 -0.902  0.745 -0.957  0.609 -1.076  0.435 -1.105  0.284 -1.070  0.211 -0.957  0.025 -0.957  -0.012 -0.809
2#tos#f1#f1053060/b  -0.736 2.041  -0.684 1.901  -0.595 1.757  -0.535 1.576  -0.383 1.474  -0.297 1.303  -0.248 1.124  -0.248 0.933  -0.248 0.742  -0.248 0.551  -0.248 0.360  -0.248 0.169  -0.248 -0.022  -0.248 -0.213  -0.248 -0.404  -0.248 -0.595  -0.258 -0.785  -0.305 -0.970  -0.318 -1.159  -0.366 -1.302  -0.441 -1.203  -0.409 -1.015  -0.378 -0.826  -0.347 -0.638  -0.315 -0.449  -0.284 -0.261  -0.252 -0.073  -0.415 -0.048  -0.388 0.030  -0.295 0.183  -0.153 0.300  0.038 0.300  0.158 0.415  0.329 0.469  0.514 0.509  0.705 0.509  0.866 0.479  0.878 0.300  0.935 0.167  0.935 -0.024  0.935 -0.215  0.935 -0.406  0.935 -0.597  0.822 -0.675  0.674 -0.754  0.556 -0.900  0.385 -0.985  0.203 -1.023  0.012 -1.023  -0.179 -1.023
2#sie#char#oaba#oaba4623/b  -1.285 -1.192  -1.145 -1.094  -1.011 -0.978  -0.885 -0.855  -0.760 -0.730  -0.633 -0.606  -0.499 -0.490  -0.374 -0.365  -0.250 -0.240  -0.132 -0.107  -0.020 0.029  0.104 0.155  0.222 0.287  0.336 0.422  0.447 0.561  0.558 0.698  0.661 0.842  0.756 0.989  0.831 1.149  0.886 1.315  0.893 1.490  0.786 1.584  0.629 1.516  0.504 1.391  0.402 1.247  0.296 1.106  0.199 0.958  0.108 0.806  0.037 0.645  -0.047 0.490  -0.117 0.327  -0.201 0.173  -0.265 0.008  -0.339 -0.153  -0.374 -0.326  -0.425 -0.494  -0.450 -0.668  -0.471 -0.843  -0.462 -1.019  -0.410 -1.187  -0.271 -1.273  -0.125 -1.190  -0.001 -1.065  0.084 -0.912  0.185 -0.771  0.252 -0.607  0.306 -0.441  0.362 -0.273  0.471 -0.180  0.639 -0.129
3#apb#apb16#app1671/b  0.609 1.300  0.637 1.484  0.666 1.644  0.561 1.490  0.454 1.337  0.347 1.184  0.239 1.031  0.121 0.887  -0.005 0.750  -0.132 0.613  -0.256 0.474  -0.374 0.329  -0.492 0.185  -0.610 0.040  -0.727 -0.106  -0.842 -0.252  -0.957 -0.399  -1.056 -0.557  -1.144 -0.721  -1.226 -0.887  -1.226 -1.073  -1.106 -1.195  -0.919 -1.195  -0.750 -1.123  -0.584 -1.037  -0.421 -0.948  -0.266 -0.844  -0.110 -0.741  0.022 -0.611  0.145 -0.471  0.243 -0.313  0.333 -0.150  0.387 0.028  0.431 0.209  0.379 0.388  0.264 0.534  0.121 0.443  0.021 0.286  -0.054 0.116  -0.105 -0.063  -0.062 -0.232  0.099 -0.326  0.285 -0.326  0.471 -0.309  0.656 -0.282  0.837 -0.239  1.016 -0.187  1.182 -0.103  1.358 -0.044  1.542 -0.020
3#apb#apb02#app0268/b  -0.536 0.927  -0.552 1.075  -0.570 1.222  -0.588 1.370  -0.627 1.513  -0.640 1.552  -0.627 1.404  -0.608 1.257  -0.584 1.110  -0.561 0.964  -0.551 0.815  -0.541 0.667  -0.536 0.519  -0.536 0.371  -0.536 0.222  -0.529 0.074  -0.517 -0.074  -0.498 -0.221  -0.466 -0.366  -0.442 -0.512  -0.413 -0.658  -0.406 -0.625  -0.365 -0.484  -0.322 -0.343  -0.264 -0.207  -0.187 -0.081  -0.074 0.016  0.043 0.106  0.167 0.188  0.290 0.270  0.427 0.327  0.568 0.281  0.677 0.183  0.794 0.093  0.901 -0.006  0.980 -0.131  1.044 -0.265  1.065 -0.404  1.024 -0.546  0.984 -0.689  0.927 -0.826  0.864 -0.960  0.766 -1.068  0.633 -1.133  0.489 -1.169  0.342 -1.184  0.196 -1.168  0.054 -1.132  -0.092 -1.115  -0.067 -1.158
1c#apa#apa04#app0446/b  -0.023 2.115  0.105 2.069  0.105 1.894  0.105 1.720  0.086 1.548  0.031 1.383  -0.023 1.218  -0.023 1.043  -0.066 0.879  -0.143 0.723  -0.221 0.567  -0.294 0.408  -0.349 0.243  -0.404 0.078  -0.459 -0.088  -0.514 -0.253  -0.535 -0.424  -0.535 -0.598  -0.586 -0.752  -0.663 -0.894  -0.663 -1.069  -0.634 -1.213  -0.482 -1.159  -0.407 -1.016  -0.407 -0.842  -0.293 -0.715  -0.279 -0.546  -0.227 -0.393  -0.121 -0.257  -0.043 -0.101  0.035 0.055  0.105 0.213  0.150 0.368  0.290 0.451  0.464 0.451  0.639 0.451  0.745 0.382  0.745 0.208  0.745 0.034  0.745 -0.141  0.745 -0.315  0.713 -0.476  0.617 -0.611  0.533 -0.701  0.486 -0.829  0.326 -0.864  0.203 -0.987  0.069 -1.085  -0.105 -1.085  -0.279 -1.085
1c#app#app32#app3225/b  -0.542 1.786  -0.542 1.635  -0.542 1.483  -0.542 1.332  -0.542 1.180  -0.542 1.029  -0.542 0.877  -0.542 0.726  -0.542 0.574  -0.542 0.423  -0.542 0.271  -0.542 0.120  -0.542 -0.032  -0.542 -0.183  -0.542 -0.335  -0.542 -0.486  -0.542 -0.574  -0.542 -0.422  -0.542 -0.271  -0.482 -0.133  -0.415 0.002  -0.364 0.142  -0.292 0.264  -0.219 0.395  -0.114 0.494  0.021 0.561  0.157 0.629  0.307 0.634  0.458 0.634  0.584 0.572  0.699 0.520  0.738 0.378  0.787 0.238  0.862 0.117  0.876 -0.029  0.876 -0.180  0.876 -0.331  0.876 -0.483  0.876 -0.634  0.811 -0.759  0.766 -0.892  0.659 -0.999  0.552 -1.106  0.445 -1.213  0.335 -1.314  0.184 -1.314  0.037 -1.335  -0.098 -1.403  -0.231 -1.359  -0.276 -1.226
2#lav#lav2#pc_0009/b  -1.297 -1.307  -1.171 -1.173  -1.047 -1.038  -0.924 -0.901  -0.794 -0.772  -0.657 -0.650  -0.520 -0.529  -0.394 -0.395  -0.269 -0.261  -0.152 -0.119  -0.038 0.025  0.058 0.180  0.150 0.339  0.235 0.501  0.304 0.671  0.372 0.842  0.432 1.015  0.497 1.187  0.570 1.355  0.627 1.530  0.649 1.677  0.510 1.559  0.406 1.408  0.310 1.252  0.219 1.092  0.142 0.926  0.070 0.757  0.001 0.587  -0.058 0.414  -0.117 0.240  -0.184 0.069  -0.254 -0.101  -0.324 -0.270  -0.395 -0.439  -0.461 -0.610  -0.509 -0.787  -0.520 -0.969  -0.448 -1.125  -0.309 -1.153  -0.152 -1.057  -0.011 -0.943  0.116 -0.810  0.232 -0.668  0.346 -0.524  0.453 -0.376  0.539 -0.214  0.673 -0.151  0.851 -0.130  1.031 -0.091  1.212 -0.062
2#lav#lav2#pc_0009/b  -1.398 -1.471  -1.245 -1.330  -1.090 -1.190  -0.949 -1.037  -0.816 -0.877  -0.688 -0.712  -0.562 -0.547  -0.438 -0.379  -0.321 -0.207  -0.210 -0.031  -0.117 0.155  -0.029 0.344  0.041 0.540  0.110 0.737  0.171 0.936  0.232 1.135  0.298 1.333  0.359 1.532  0.400 1.694  0.282 1.531  0.201 1.339  0.119 1.148  0.053 0.951  0.012 0.747  -0.053 0.550  -0.130 0.356  -0.205 0.162  -0.277 -0.034  -0.348 -0.230  -0.416 -0.426  -0.454 -0.630  -0.474 -0.837  -0.442 -1.043  -0.323 -1.166  -0.148 -1.076  -0.018 -0.914  0.091 -0.737  0.193 -0.555  0.294 -0.373  0.386 -0.187  0.445 0.013  0.468 0.212  0.372 0.242  0.392 0.049  0.549 -0.077  0.754 -0.075  0.956 -0.024  1.152 0.041  1.337 0.136  1.484 0.283
