1c#ced#hrts4205_s_i8/j  -0.068 1.132  -0.039 1.205  -0.020 1.277  -0.020 1.356  -0.036 1.429  -0.036 1.501  -0.025 1.423  -0.005 1.346  0.014 1.269  0.027 1.191  0.048 1.114  0.069 1.038  0.091 0.962  0.101 0.883  0.111 0.805  0.128 0.727  0.145 0.650  0.160 0.572  0.175 0.494  0.184 0.415  0.193 0.336  0.201 0.257  0.208 0.178  0.216 0.099  0.223 0.021  0.215 -0.059  0.208 -0.138  0.207 -0.217  0.207 -0.296  0.199 -0.375  0.191 -0.454  0.183 -0.533  0.175 -0.612  0.157 -0.689  0.137 -0.766  0.116 -0.842  0.089 -0.917  0.062 -0.991  0.012 -1.053  -0.037 -1.115  -0.091 -1.173  -0.154 -1.221  -0.225 -1.257  -0.298 -1.288  -0.374 -1.308  -0.452 -1.312  -0.531 -1.298  -0.608 -1.283  -0.686 -1.267  -0.749 -1.219
1c#ced#hrts4205_s_i8/r  0.005 1.175  -0.084 1.082  -0.142 0.968  -0.189 0.849  -0.230 0.727  -0.266 0.604  -0.298 0.479  -0.337 0.357  -0.337 0.229  -0.347 0.101  -0.372 -0.024  -0.401 -0.149  -0.430 -0.274  -0.455 -0.400  -0.484 -0.525  -0.514 -0.650  -0.539 -0.776  -0.573 -0.900  -0.593 -1.025  -0.587 -1.153  -0.556 -1.277  -0.550 -1.405  -0.464 -1.471  -0.377 -1.378  -0.336 -1.256  -0.288 -1.137  -0.241 -1.018  -0.193 -0.899  -0.137 -0.783  -0.071 -0.673  -0.018 -0.557  0.023 -0.435  0.067 -0.315  0.118 -0.197  0.169 -0.079  0.237 0.029  0.308 0.136  0.370 0.248  0.420 0.366  0.471 0.484  0.534 0.596  0.598 0.708  0.658 0.821  0.708 0.939  0.759 1.057  0.831 1.162  0.911 1.262  0.993 1.361  1.075 1.460  1.157 1.559
1c#ced#hrts4205_s_i8/s  0.372 1.169  0.467 1.209  0.572 1.225  0.514 1.252  0.402 1.252  0.293 1.241  0.187 1.218  0.081 1.183  -0.025 1.148  -0.130 1.112  -0.230 1.062  -0.324 1.001  -0.413 0.937  -0.513 0.892  -0.573 0.798  -0.595 0.692  -0.584 0.582  -0.540 0.480  -0.476 0.390  -0.384 0.327  -0.295 0.260  -0.205 0.193  -0.116 0.126  -0.020 0.072  0.082 0.028  0.178 -0.029  0.277 -0.081  0.370 -0.142  0.456 -0.213  0.529 -0.296  0.598 -0.383  0.658 -0.472  0.676 -0.582  0.676 -0.693  0.623 -0.787  0.557 -0.874  0.466 -0.938  0.367 -0.988  0.267 -1.038  0.158 -1.061  0.048 -1.081  -0.061 -1.102  -0.167 -1.137  -0.275 -1.162  -0.385 -1.177  -0.495 -1.159  -0.606 -1.151  -0.715 -1.137  -0.818 -1.095  -0.927 -1.068
1c#ced#hrts4205_s_i8/q  0.347 1.118  0.445 1.075  0.520 1.126  0.507 1.231  0.469 1.328  0.395 1.402  0.292 1.412  0.186 1.396  0.084 1.362  -0.015 1.319  -0.110 1.267  -0.186 1.190  -0.246 1.100  -0.273 0.998  -0.259 0.891  -0.209 0.797  -0.147 0.708  -0.088 0.618  -0.030 0.526  0.035 0.439  0.090 0.346  0.120 0.243  0.138 0.136  0.145 0.028  0.135 -0.080  0.108 -0.185  0.079 -0.289  0.042 -0.391  -0.011 -0.485  -0.059 -0.581  -0.107 -0.678  -0.156 -0.775  -0.197 -0.875  -0.251 -0.969  -0.305 -1.063  -0.356 -1.159  -0.400 -1.258  -0.431 -1.361  -0.365 -1.425  -0.265 -1.386  -0.175 -1.328  -0.105 -1.245  -0.038 -1.160  0.022 -1.070  0.072 -0.975  0.106 -0.872  0.129 -0.766  0.143 -0.659  0.119 -0.554  0.059 -0.467
1c#ced#hrts4205_s_i8/u  -0.879 0.362  -0.813 0.496  -0.750 0.636  -0.700 0.780  -0.679 0.930  -0.624 1.073  -0.546 1.182  -0.513 1.072  -0.534 0.921  -0.546 0.769  -0.575 0.619  -0.605 0.469  -0.648 0.322  -0.679 0.174  -0.686 0.022  -0.711 -0.129  -0.741 -0.279  -0.767 -0.430  -0.779 -0.582  -0.799 -0.731  -0.813 -0.882  -0.803 -1.034  -0.719 -1.152  -0.584 -1.119  -0.453 -1.042  -0.323 -0.962  -0.210 -0.860  -0.115 -0.741  -0.007 -0.632  0.088 -0.512  0.192 -0.400  0.295 -0.287  0.391 -0.168  0.499 -0.060  0.584 0.066  0.678 0.185  0.781 0.298  0.868 0.423  0.946 0.553  1.054 0.662  1.088 0.652  1.055 0.505  1.055 0.352  1.029 0.206  1.055 0.057  1.055 -0.096  1.090 -0.245  1.152 -0.384  1.261 -0.487  1.388 -0.571
1c#ced#hrts4205_s_i8/a  0.408 1.200  0.367 0.996  0.299 0.786  0.239 0.574  0.203 0.359  0.133 0.152  0.094 -0.060  0.219 0.007  0.379 0.157  0.517 0.328  0.634 0.515  0.733 0.713  0.800 0.922  0.800 1.143  0.668 1.306  0.450 1.318  0.240 1.249  0.054 1.131  -0.130 1.010  -0.282 0.861  -0.417 0.689  -0.556 0.518  -0.679 0.334  -0.802 0.150  -0.917 -0.038  -1.014 -0.236  -1.090 -0.443  -1.143 -0.657  -1.201 -0.867  -1.197 -1.088  -1.084 -1.271  -0.879 -1.350  -0.676 -1.288  -0.482 -1.184  -0.309 -1.047  -0.153 -0.891  -0.006 -0.726  0.139 -0.560  0.273 -0.386  0.396 -0.202  0.522 -0.021  0.643 0.159  0.585 0.181  0.476 -0.008  0.408 -0.218  0.382 -0.436  0.369 -0.656  0.393 -0.873  0.509 -1.058  0.683 -1.193
1c#ced#hrts4205_s_i8/n  0.177 1.119  0.018 1.096  -0.143 1.086  -0.303 1.079  -0.463 1.056  -0.624 1.053  -0.781 1.021  -0.936 0.994  -0.906 0.907  -0.791 0.793  -0.696 0.664  -0.621 0.526  -0.563 0.376  -0.504 0.227  -0.465 0.071  -0.453 -0.089  -0.453 -0.251  -0.453 -0.412  -0.466 -0.572  -0.500 -0.729  -0.546 -0.884  -0.610 -1.029  -0.684 -1.167  -0.752 -1.241  -0.681 -1.101  -0.567 -0.987  -0.490 -0.846  -0.394 -0.717  -0.298 -0.588  -0.185 -0.472  -0.094 -0.340  0.005 -0.215  0.108 -0.092  0.196 0.042  0.310 0.156  0.424 0.270  0.538 0.385  0.656 0.493  0.792 0.572  0.938 0.555  1.011 0.412  1.041 0.256  1.041 0.095  1.041 -0.066  1.041 -0.228  1.063 -0.387  1.107 -0.541  1.183 -0.683  1.297 -0.797  1.439 -0.873
1c#ced#hrts4205_s_i8/d  -0.444 -0.124  -0.374 -0.333  -0.150 -0.385  0.057 -0.305  0.238 -0.162  0.383 0.021  0.455 0.239  0.381 0.442  0.169 0.505  -0.057 0.443  -0.258 0.331  -0.453 0.204  -0.637 0.057  -0.788 -0.121  -0.945 -0.295  -1.104 -0.466  -1.210 -0.673  -1.320 -0.878  -1.347 -1.099  -1.189 -1.168  -0.977 -1.087  -0.773 -0.971  -0.606 -0.808  -0.440 -0.642  -0.285 -0.467  -0.158 -0.270  -0.028 -0.076  0.108 0.115  0.253 0.300  0.375 0.498  0.492 0.700  0.607 0.904  0.712 1.114  0.799 1.331  0.886 1.549  0.908 1.651  0.811 1.438  0.731 1.218  0.639 1.002  0.572 0.778  0.501 0.554  0.441 0.328  0.374 0.103  0.328 -0.126  0.299 -0.359  0.266 -0.591  0.273 -0.823  0.332 -1.049  0.468 -1.232  0.687 -1.313
1c#ced#hrts4205_s_i8/e  -0.447 0.032  -0.553 -0.100  -0.643 -0.242  -0.712 -0.397  -0.778 -0.552  -0.851 -0.705  -0.913 -0.862  -0.957 -1.025  -1.024 -1.177  -0.936 -1.297  -0.794 -1.281  -0.674 -1.162  -0.555 -1.042  -0.443 -0.916  -0.336 -0.785  -0.216 -0.665  -0.119 -0.527  -0.009 -0.399  0.098 -0.270  0.173 -0.119  0.263 0.025  0.355 0.167  0.430 0.318  0.506 0.470  0.569 0.626  0.624 0.786  0.687 0.943  0.730 1.107  0.771 1.271  0.741 1.435  0.656 1.578  0.488 1.573  0.355 1.473  0.259 1.334  0.170 1.190  0.105 1.035  0.072 0.869  0.039 0.703  0.005 0.537  -0.003 0.369  -0.003 0.199  -0.003 0.030  0.011 -0.137  0.065 -0.297  0.141 -0.448  0.237 -0.582  0.373 -0.682  0.520 -0.765  0.679 -0.819  0.848 -0.819
1c#ced#hrts4205_s_i8/r  0.402 1.155  0.318 1.206  0.248 1.103  0.169 0.996  0.109 0.876  0.063 0.750  0.010 0.627  -0.050 0.507  -0.110 0.387  -0.184 0.276  -0.249 0.158  -0.309 0.038  -0.383 -0.073  -0.449 -0.190  -0.509 -0.310  -0.553 -0.437  -0.596 -0.564  -0.633 -0.693  -0.666 -0.823  -0.722 -0.945  -0.754 -1.075  -0.770 -1.207  -0.842 -1.311  -0.893 -1.311  -0.848 -1.191  -0.769 -1.085  -0.683 -0.982  -0.607 -0.872  -0.512 -0.777  -0.424 -0.676  -0.344 -0.569  -0.255 -0.469  -0.160 -0.374  -0.065 -0.279  0.030 -0.184  0.121 -0.086  0.201 0.022  0.292 0.120  0.396 0.203  0.501 0.287  0.596 0.382  0.691 0.477  0.786 0.572  0.881 0.667  0.977 0.760  1.082 0.844  1.187 0.927  1.304 0.991  1.426 1.048  1.547 1.104
1c#ced#hrts4205_s_i8/x  1.228 0.678  1.376 0.767  1.511 0.871  1.535 0.896  1.399 0.793  1.266 0.686  1.144 0.564  0.996 0.474  0.873 0.353  0.751 0.230  0.628 0.108  0.506 -0.014  0.385 -0.138  0.274 -0.271  0.147 -0.387  0.016 -0.500  -0.107 -0.620  -0.203 -0.764  -0.335 -0.875  -0.473 -0.980  -0.596 -1.101  -0.705 -1.234  -0.796 -1.380  -0.769 -1.401  -0.727 -1.233  -0.685 -1.065  -0.643 -0.898  -0.601 -0.730  -0.559 -0.562  -0.517 -0.394  -0.475 -0.226  -0.434 -0.059  -0.392 0.109  -0.350 0.277  -0.350 0.446  -0.361 0.618  -0.390 0.787  -0.416 0.957  -0.449 1.122  -0.533 1.159  -0.539 0.988  -0.504 0.821  -0.414 0.677  -0.342 0.520  -0.276 0.361  -0.211 0.200  -0.122 0.052  -0.033 -0.096  0.083 -0.225  0.189 -0.362
1c#ced#hrts4205_s_i8/p  0.464 0.598  0.399 0.747  0.259 0.705  0.169 0.567  0.113 0.410  0.043 0.257  -0.006 0.096  -0.072 -0.059  -0.137 -0.215  -0.197 -0.372  -0.262 -0.528  -0.318 -0.686  -0.362 -0.849  -0.430 -1.003  -0.498 -1.157  -0.569 -1.309  -0.647 -1.458  -0.749 -1.590  -0.846 -1.528  -0.846 -1.359  -0.837 -1.191  -0.809 -1.025  -0.766 -0.862  -0.743 -0.696  -0.693 -0.535  -0.635 -0.377  -0.565 -0.224  -0.490 -0.073  -0.410 0.076  -0.320 0.218  -0.227 0.358  -0.133 0.499  -0.025 0.628  0.092 0.749  0.218 0.861  0.347 0.969  0.478 1.075  0.625 1.157  0.786 1.203  0.951 1.184  1.085 1.097  1.114 0.934  1.057 0.777  0.977 0.628  0.881 0.490  0.773 0.361  0.651 0.245  0.524 0.135  0.373 0.060  0.213 0.011
1c#ced#hrts4205_s_i8/m  -0.738 0.639  -0.769 0.668  -0.816 0.499  -0.874 0.329  -0.949 0.161  -1.034 -0.001  -1.088 -0.177  -1.160 -0.344  -1.226 -0.517  -1.306 -0.679  -1.320 -0.775  -1.232 -0.619  -1.115 -0.477  -1.012 -0.323  -0.924 -0.161  -0.811 -0.015  -0.680 0.116  -0.559 0.255  -0.435 0.392  -0.277 0.487  -0.118 0.581  0.057 0.639  0.224 0.595  0.324 0.442  0.329 0.259  0.302 0.078  0.250 -0.099  0.159 -0.259  0.089 -0.429  0.019 -0.600  -0.106 -0.727  -0.167 -0.696  -0.060 -0.549  0.048 -0.399  0.151 -0.246  0.276 -0.110  0.405 0.020  0.553 0.131  0.701 0.242  0.842 0.358  1.001 0.452  1.168 0.530  1.351 0.547  1.522 0.488  1.587 0.326  1.587 0.141  1.534 -0.034  1.492 -0.208  1.430 -0.379  1.373 -0.554
1c#ced#hrts4205_s_i8/p  -0.069 0.182  0.008 0.358  0.123 0.519  0.223 0.691  0.195 0.625  0.122 0.440  0.017 0.272  -0.020 0.079  -0.081 -0.110  -0.144 -0.299  -0.211 -0.485  -0.269 -0.674  -0.348 -0.857  -0.415 -1.043  -0.474 -1.233  -0.520 -1.426  -0.575 -1.616  -0.641 -1.803  -0.639 -1.630  -0.611 -1.433  -0.583 -1.237  -0.554 -1.040  -0.526 -0.843  -0.497 -0.646  -0.469 -0.450  -0.441 -0.253  -0.412 -0.056  -0.384 0.140  -0.355 0.337  -0.309 0.529  -0.252 0.720  -0.204 0.912  -0.106 1.083  -0.027 1.262  0.135 1.375  0.326 1.423  0.513 1.382  0.675 1.268  0.812 1.125  0.908 0.952  0.989 0.770  1.023 0.576  0.990 0.381  0.929 0.193  0.806 0.040  0.643 -0.070  0.457 -0.135  0.264 -0.150  0.068 -0.125  -0.094 -0.017
1c#ced#hrts4205_s_i8/m  -0.972 0.586  -1.144 0.695  -1.146 0.874  -0.966 0.935  -0.766 0.888  -0.612 0.753  -0.544 0.555  -0.485 0.352  -0.493 0.143  -0.539 -0.063  -0.587 -0.269  -0.656 -0.468  -0.740 -0.660  -0.849 -0.839  -0.971 -1.006  -1.127 -1.128  -1.074 -0.944  -1.004 -0.747  -0.883 -0.575  -0.756 -0.406  -0.629 -0.237  -0.517 -0.058  -0.387 0.108  -0.231 0.249  -0.087 0.401  0.073 0.536  0.256 0.631  0.450 0.650  0.536 0.476  0.536 0.265  0.478 0.063  0.420 -0.140  0.359 -0.343  0.253 -0.521  0.159 -0.708  0.123 -0.634  0.200 -0.451  0.283 -0.259  0.393 -0.080  0.537 0.072  0.688 0.217  0.848 0.350  1.032 0.454  1.237 0.491  1.438 0.446  1.558 0.274  1.615 0.076  1.615 -0.135  1.591 -0.343  1.488 -0.525
