2#tos#t2#t2025064/#  -0.482 0.418  -0.832 0.351  -0.660 0.351  -0.243 0.351  0.174 0.351  0.581 0.418  0.827 0.530  0.463 0.326  0.099 0.122  -0.266 -0.081  -0.630 -0.285  -1.013 -0.434  -0.889 -0.594  -0.476 -0.570  -0.076 -0.459  0.339 -0.452  0.717 -0.324  0.846 -0.062  0.606 0.279  0.366 0.620  0.125 0.962  -0.115 1.303  -0.361 1.633  -0.482 1.338  -0.482 0.920  -0.424 0.512  -0.347 0.112  -0.347 -0.305  -0.347 -0.722  -0.347 -1.140  -0.347 -1.557  -0.250 -1.877  -0.172 -1.501  -0.103 -1.089  -0.035 -0.678  0.034 -0.266  0.102 0.146  0.171 0.558  0.240 0.969  0.308 1.381  0.097 1.566  0.193 1.271  0.298 0.875  0.328 0.461  0.328 0.043  0.328 -0.374  0.395 -0.775  0.456 -1.183  0.575 -1.561  0.733 -1.877
2#tos#t2#t2025064/O  0.279 0.814  0.133 0.814  -0.013 0.814  -0.079 0.894  -0.186 0.933  -0.332 0.933  -0.471 0.910  -0.593 0.829  -0.668 0.707  -0.707 0.566  -0.752 0.429  -0.833 0.308  -0.902 0.179  -0.913 0.036  -0.913 -0.110  -0.913 -0.256  -0.913 -0.402  -0.900 -0.547  -0.865 -0.688  -0.853 -0.833  -0.798 -0.966  -0.657 -0.974  -0.541 -1.048  -0.414 -1.093  -0.268 -1.093  -0.122 -1.093  0.024 -1.093  0.158 -1.054  0.280 -0.974  0.426 -0.974  0.539 -0.893  0.659 -0.814  0.717 -0.692  0.745 -0.549  0.815 -0.429  0.835 -0.289  0.916 -0.167  0.934 -0.027  0.934 0.119  0.934 0.265  0.934 0.411  0.934 0.557  0.844 0.666  0.768 0.789  0.637 0.814  0.505 0.873  0.359 0.873  0.213 0.873  0.100 0.840  -0.019 0.814
2#tos#t2#t2025064/P  -0.157 1.292  -0.370 1.292  -0.371 1.188  -0.371 0.975  -0.371 0.762  -0.371 0.549  -0.331 0.340  -0.318 0.128  -0.318 -0.085  -0.318 -0.298  -0.318 -0.511  -0.318 -0.725  -0.233 -0.918  -0.210 -1.125  -0.210 -1.339  -0.210 -1.552  -0.210 -1.765  -0.103 -1.871  -0.049 -1.826  -0.053 -1.613  -0.057 -1.400  -0.061 -1.186  -0.065 -0.973  -0.069 -0.760  -0.073 -0.547  -0.077 -0.334  -0.081 -0.121  -0.085 0.092  -0.089 0.305  -0.094 0.518  -0.098 0.731  -0.102 0.944  -0.236 1.024  -0.293 1.024  -0.080 1.024  0.133 1.024  0.346 1.024  0.556 1.001  0.764 0.970  0.950 0.883  1.024 0.691  0.970 0.532  0.876 0.353  0.695 0.242  0.531 0.112  0.326 0.069  0.126 0.004  -0.087 0.004  -0.278 -0.049  -0.157 -0.103
2#tos#t2#t2025064/T  -0.503 0.624  -0.627 0.624  -0.752 0.624  -0.877 0.624  -1.002 0.624  -1.096 0.624  -0.971 0.624  -0.846 0.624  -0.722 0.624  -0.597 0.624  -0.472 0.624  -0.347 0.624  -0.223 0.624  -0.098 0.624  0.027 0.624  0.151 0.625  0.272 0.655  0.396 0.665  0.521 0.665  0.646 0.665  0.769 0.671  0.885 0.705  0.830 0.676  0.711 0.636  0.593 0.597  0.475 0.558  0.356 0.518  0.238 0.479  0.116 0.462  0.066 0.387  0.066 0.263  0.066 0.138  0.066 0.013  0.066 -0.112  0.081 -0.234  0.106 -0.355  0.106 -0.479  0.106 -0.604  0.106 -0.729  0.106 -0.854  0.106 -0.978  0.106 -1.103  0.106 -1.228  0.106 -1.353  0.106 -1.477  0.106 -1.602  0.131 -1.723  0.147 -1.845  0.147 -1.970  0.147 -2.094
2#tos#t2#t2025064/X  0.715 1.221  0.766 1.391  0.669 1.425  0.562 1.269  0.427 1.135  0.382 0.958  0.301 0.786  0.241 0.605  0.154 0.439  0.039 0.287  -0.075 0.134  -0.164 -0.033  -0.223 -0.213  -0.304 -0.382  -0.409 -0.541  -0.545 -0.620  -0.545 -0.810  -0.595 -0.988  -0.595 -1.179  -0.595 -1.128  -0.548 -0.989  -0.554 -0.798  -0.560 -0.608  -0.566 -0.418  -0.572 -0.228  -0.578 -0.038  -0.584 0.153  -0.590 0.343  -0.595 0.533  -0.629 0.712  -0.743 0.864  -0.780 1.020  -0.653 0.926  -0.498 0.820  -0.449 0.637  -0.304 0.523  -0.195 0.368  -0.081 0.216  0.047 0.075  0.177 -0.063  0.288 -0.217  0.423 -0.351  0.557 -0.486  0.705 -0.605  0.850 -0.728  0.967 -0.878  1.121 -0.950  1.232 -1.102  1.390 -1.187  1.522 -1.299
2#tos#t2#t2025064/Y  -0.755 0.949  -0.919 0.949  -1.083 0.949  -1.193 0.899  -1.072 0.800  -0.942 0.718  -0.787 0.666  -0.755 0.525  -0.650 0.404  -0.521 0.304  -0.396 0.199  -0.269 0.102  -0.127 0.027  -0.050 -0.117  0.029 -0.225  0.145 -0.133  0.241 -0.001  0.338 0.132  0.434 0.265  0.531 0.398  0.628 0.530  0.724 0.663  0.821 0.796  0.904 0.937  0.858 1.047  0.763 0.978  0.634 0.906  0.570 0.763  0.498 0.615  0.425 0.469  0.311 0.351  0.224 0.214  0.126 0.092  -0.020 0.018  -0.057 -0.140  -0.164 -0.220  -0.057 -0.128  -0.020 -0.256  -0.020 -0.420  -0.020 -0.584  -0.020 -0.748  -0.020 -0.912  0.077 -1.036  0.077 -1.200  0.077 -1.364  0.077 -1.528  0.077 -1.692  0.077 -1.856  0.126 -1.971  0.126 -2.136
2#tos#t2#t2025064/Z  -0.106 1.195  -0.245 1.149  -0.394 1.149  -0.533 1.130  -0.605 1.011  -0.456 1.011  -0.306 1.011  -0.157 1.011  -0.007 1.011  0.142 1.011  0.291 1.011  0.441 1.011  0.590 1.011  0.630 0.966  0.590 0.834  0.517 0.715  0.419 0.603  0.336 0.479  0.248 0.360  0.120 0.283  -0.012 0.215  -0.129 0.139  -0.196 0.005  -0.298 -0.103  -0.388 -0.222  -0.494 -0.325  -0.614 -0.414  -0.721 -0.498  -0.813 -0.615  -0.888 -0.707  -0.934 -0.810  -1.020 -0.874  -0.928 -0.920  -0.779 -0.920  -0.630 -0.920  -0.491 -0.874  -0.342 -0.874  -0.198 -0.850  -0.064 -0.784  0.074 -0.736  0.223 -0.736  0.327 -0.690  0.476 -0.690  0.625 -0.690  0.772 -0.673  0.917 -0.644  1.066 -0.644  1.169 -0.690  1.319 -0.690  1.457 -0.736
2#tos#t2#t2025064/b  -0.330 1.330  -0.330 1.494  -0.330 1.658  -0.330 1.822  -0.439 1.872  -0.439 1.708  -0.438 1.544  -0.398 1.385  -0.384 1.223  -0.384 1.059  -0.384 0.895  -0.384 0.731  -0.324 0.579  -0.275 0.424  -0.275 0.260  -0.275 0.096  -0.258 -0.066  -0.226 -0.227  -0.221 -0.391  -0.221 -0.555  -0.213 -0.718  -0.173 -0.877  -0.139 -1.013  -0.112 -0.876  -0.112 -0.712  -0.112 -0.548  -0.141 -0.414  -0.297 -0.392  -0.330 -0.242  -0.267 -0.141  -0.106 -0.113  0.055 -0.087  0.217 -0.068  0.379 -0.041  0.542 -0.032  0.706 -0.032  0.870 -0.032  0.978 -0.121  0.978 -0.285  0.962 -0.445  0.889 -0.592  0.762 -0.685  0.611 -0.741  0.485 -0.817  0.387 -0.948  0.236 -1.006  0.114 -1.114  -0.020 -1.200  -0.172 -1.261  -0.330 -1.286
2#tos#t2#t2025064/e  -0.488 0.655  -0.624 0.585  -0.740 0.469  -0.611 0.454  -0.447 0.454  -0.282 0.454  -0.118 0.454  0.047 0.454  0.211 0.454  0.376 0.454  0.540 0.454  0.705 0.454  0.869 0.454  0.913 0.575  0.913 0.739  0.870 0.877  0.716 0.921  0.551 0.921  0.387 0.921  0.249 0.857  0.085 0.855  -0.079 0.855  -0.174 0.725  -0.301 0.655  -0.461 0.635  -0.608 0.561  -0.688 0.446  -0.688 0.282  -0.751 0.156  -0.860 0.044  -0.888 -0.113  -0.888 -0.278  -0.888 -0.442  -0.888 -0.607  -0.837 -0.756  -0.744 -0.891  -0.628 -1.007  -0.469 -1.044  -0.307 -1.076  -0.143 -1.080  0.021 -1.080  0.186 -1.080  0.350 -1.080  0.515 -1.080  0.679 -1.080  0.843 -1.080  0.925 -0.947  1.088 -0.933  1.244 -0.881  1.314 -0.746
2#tos#t2#t2025064/g  0.282 0.518  0.282 0.707  0.148 0.836  0.037 0.966  0.015 1.150  -0.053 1.326  -0.213 1.399  -0.402 1.399  -0.550 1.358  -0.550 1.169  -0.550 0.980  -0.550 0.791  -0.506 0.620  -0.339 0.567  -0.150 0.567  0.010 0.637  0.144 0.771  0.261 0.916  0.380 1.052  0.380 0.863  0.380 0.674  0.380 0.485  0.368 0.297  0.337 0.110  0.331 -0.078  0.331 -0.267  0.331 -0.457  0.331 -0.646  0.275 -0.812  0.197 -0.978  0.146 -1.160  0.086 -1.336  0.061 -1.515  -0.083 -1.636  -0.257 -1.686  -0.446 -1.686  -0.501 -1.514  -0.501 -1.325  -0.501 -1.136  -0.417 -0.973  -0.403 -0.788  -0.394 -0.605  -0.220 -0.530  -0.061 -0.446  -0.053 -0.261  0.101 -0.153  0.262 -0.056  0.443 -0.021  0.632 -0.021  0.772 -0.070
2#tos#t2#t2025064/i  -0.125 -0.503  -0.087 -0.349  -0.073 -0.192  -0.073 -0.033  -0.073 0.126  -0.125 0.104  -0.125 -0.055  -0.125 -0.214  -0.125 -0.373  -0.125 -0.532  -0.125 -0.691  -0.091 -0.846  -0.073 -1.003  -0.073 -1.162  -0.027 -1.313  -0.022 -1.471  0.082 -1.566  0.145 -1.692  0.185 -1.572  0.237 -1.435  0.307 -1.293  0.340 -1.141  0.326 -0.983  0.302 -0.826  0.278 -0.669  0.254 -0.512  0.230 -0.355  0.206 -0.198  0.181 -0.041  0.157 0.117  0.133 0.274  0.109 0.431  0.085 0.588  0.061 0.745  0.036 0.902  0.030 1.061  0.013 1.207  -0.141 1.245  -0.206 1.373  -0.245 1.527  -0.280 1.682  -0.332 1.650  -0.332 1.491  -0.322 1.334  -0.263 1.186  -0.192 1.045  -0.091 0.927  -0.002 0.813  0.045 0.663  0.133 0.531
2#tos#t2#t2025064/j  0.345 0.332  0.345 0.362  0.345 0.230  0.345 0.099  0.332 -0.032  0.317 -0.162  0.298 -0.292  0.256 -0.417  0.225 -0.543  0.225 -0.674  0.205 -0.802  0.156 -0.924  0.085 -1.034  0.014 -1.143  -0.044 -1.255  -0.146 -1.334  -0.236 -1.416  -0.364 -1.437  -0.495 -1.437  -0.540 -1.351  -0.540 -1.219  -0.509 -1.092  -0.471 -0.966  -0.434 -0.840  -0.397 -0.714  -0.359 -0.588  -0.322 -0.462  -0.284 -0.336  -0.247 -0.210  -0.210 -0.084  -0.172 0.042  -0.135 0.168  -0.097 0.294  -0.060 0.420  -0.023 0.546  0.015 0.672  0.052 0.798  0.090 0.924  0.127 1.050  0.165 1.176  0.202 1.302  0.225 1.430  0.172 1.533  0.104 1.628  0.128 1.562  0.144 1.433  0.213 1.344  0.265 1.229  0.304 1.137  0.385 1.056
2#tos#t2#t2025064/m  -1.033 1.094  -1.067 1.170  -0.983 1.021  -0.958 0.833  -0.958 0.642  -0.958 0.450  -0.958 0.259  -0.958 0.067  -0.958 -0.124  -0.958 -0.316  -0.958 -0.507  -0.958 -0.699  -0.883 -0.760  -0.821 -0.606  -0.732 -0.470  -0.673 -0.292  -0.587 -0.121  -0.455 0.017  -0.356 0.167  -0.356 0.359  -0.356 0.550  -0.280 0.619  -0.280 0.428  -0.280 0.236  -0.280 0.045  -0.221 -0.137  -0.205 -0.326  -0.183 -0.508  -0.014 -0.561  0.027 -0.411  0.219 -0.411  0.322 -0.322  0.380 -0.144  0.505 -0.002  0.640 0.134  0.796 0.240  0.849 0.400  0.931 0.547  1.074 0.662  1.150 0.658  1.150 0.467  1.150 0.275  1.150 0.084  1.150 -0.108  1.150 -0.299  1.150 -0.491  1.204 -0.669  1.225 -0.856  1.225 -1.047  1.225 -1.239
2#tos#t2#t2025064/o  0.305 0.590  0.305 0.740  0.305 0.891  0.192 0.929  0.051 0.938  -0.025 1.013  -0.175 1.013  -0.326 1.013  -0.468 0.997  -0.551 0.872  -0.633 0.746  -0.701 0.611  -0.711 0.463  -0.711 0.312  -0.711 0.161  -0.711 0.011  -0.711 -0.140  -0.711 -0.291  -0.711 -0.441  -0.711 -0.592  -0.711 -0.742  -0.711 -0.893  -0.711 -1.044  -0.647 -1.168  -0.540 -1.273  -0.390 -1.273  -0.239 -1.273  -0.088 -1.273  0.062 -1.273  0.200 -1.231  0.325 -1.147  0.442 -1.052  0.548 -0.946  0.559 -0.800  0.559 -0.649  0.603 -0.509  0.670 -0.374  0.729 -0.237  0.729 -0.087  0.729 0.064  0.729 0.215  0.729 0.365  0.729 0.516  0.729 0.666  0.729 0.817  0.611 0.883  0.468 0.929  0.317 0.929  0.202 1.013  0.051 1.013
2#tos#t2#t2025064/r  -0.295 0.386  -0.295 0.546  -0.351 0.682  -0.455 0.798  -0.455 0.958  -0.455 1.117  -0.455 1.277  -0.443 1.424  -0.369 1.335  -0.281 1.202  -0.216 1.063  -0.216 0.903  -0.216 0.744  -0.216 0.585  -0.196 0.427  -0.169 0.270  -0.143 0.112  -0.136 -0.046  -0.136 -0.206  -0.136 -0.365  -0.136 -0.525  -0.136 -0.684  -0.136 -0.843  -0.136 -1.003  -0.136 -1.162  -0.150 -1.318  -0.216 -1.462  -0.216 -1.621  -0.295 -1.678  -0.295 -1.518  -0.292 -1.360  -0.242 -1.208  -0.197 -1.056  -0.158 -0.901  -0.076 -0.781  0.042 -0.687  0.101 -0.539  0.160 -0.391  0.207 -0.239  0.246 -0.084  0.315 0.056  0.410 0.183  0.507 0.310  0.619 0.423  0.717 0.548  0.805 0.681  0.894 0.813  0.983 0.945  1.142 0.945  1.301 0.945
2#tos#t2#t2025064/s  0.409 1.216  0.509 1.216  0.534 1.291  0.534 1.391  0.448 1.395  0.353 1.364  0.265 1.321  0.195 1.251  0.118 1.188  0.035 1.133  -0.045 1.074  -0.116 1.003  -0.174 0.923  -0.219 0.835  -0.275 0.752  -0.330 0.669  -0.376 0.581  -0.401 0.487  -0.401 0.387  -0.401 0.287  -0.401 0.187  -0.371 0.095  -0.310 0.032  -0.210 0.032  -0.110 0.032  -0.011 0.032  0.073 -0.006  0.156 -0.060  0.245 -0.105  0.335 -0.149  0.347 -0.241  0.347 -0.341  0.347 -0.441  0.347 -0.541  0.347 -0.640  0.347 -0.740  0.319 -0.833  0.275 -0.923  0.230 -1.012  0.154 -1.073  0.071 -1.129  -0.015 -1.178  -0.105 -1.223  -0.194 -1.267  -0.290 -1.284  -0.379 -1.328  -0.476 -1.340  -0.526 -1.390  -0.551 -1.464  -0.651 -1.464
2#tos#t2#t2025064/t  -0.300 0.336  -0.465 0.336  -0.630 0.336  -0.795 0.336  -0.961 0.336  -1.126 0.336  -1.239 0.419  -1.207 0.475  -1.050 0.422  -0.886 0.417  -0.720 0.417  -0.555 0.417  -0.390 0.417  -0.225 0.417  -0.060 0.417  0.105 0.417  0.270 0.417  0.435 0.417  0.601 0.417  0.766 0.417  0.931 0.417  1.077 0.417  0.917 0.447  0.760 0.499  0.604 0.551  0.483 0.645  0.379 0.744  0.214 0.744  0.108 0.803  0.108 0.968  0.108 0.844  0.108 0.678  0.108 0.513  0.108 0.348  0.108 0.183  0.108 0.018  0.108 -0.147  0.108 -0.312  0.108 -0.477  0.108 -0.643  0.108 -0.808  0.108 -0.973  0.108 -1.138  0.108 -1.303  0.148 -1.459  0.189 -1.614  0.189 -1.779  0.271 -1.863  0.271 -2.028  0.271 -2.193
2#tos#t2#t2025064/u  -1.103 0.504  -1.103 0.675  -1.103 0.845  -1.103 1.016  -1.103 0.933  -1.103 0.762  -1.103 0.592  -1.044 0.446  -0.944 0.317  -0.944 0.146  -0.944 -0.024  -0.944 -0.194  -0.944 -0.365  -0.826 -0.486  -0.735 -0.628  -0.706 -0.792  -0.621 -0.923  -0.450 -0.923  -0.280 -0.923  -0.116 -0.900  0.026 -0.806  0.093 -0.669  0.146 -0.507  0.192 -0.343  0.234 -0.178  0.367 -0.130  0.404 0.003  0.404 0.173  0.459 0.321  0.563 0.448  0.563 0.619  0.563 0.789  0.589 0.953  0.679 1.096  0.722 1.029  0.722 0.858  0.691 0.697  0.597 0.555  0.563 0.395  0.563 0.224  0.563 0.054  0.563 -0.116  0.563 -0.287  0.612 -0.442  0.707 -0.584  0.801 -0.717  0.924 -0.765  0.959 -0.900  1.106 -0.923  1.277 -0.923
2#tos#t2#t2025064/y  -0.209 0.863  -0.209 1.026  -0.311 1.087  -0.433 1.128  -0.397 1.068  -0.388 0.907  -0.298 0.773  -0.242 0.621  -0.141 0.505  -0.023 0.460  0.096 0.532  0.181 0.643  0.239 0.793  0.239 0.956  0.271 1.087  0.284 1.237  0.284 1.400  0.329 1.373  0.329 1.210  0.329 1.047  0.329 0.884  0.329 0.721  0.323 0.559  0.296 0.398  0.266 0.238  0.239 0.077  0.239 -0.085  0.239 -0.248  0.190 -0.403  0.145 -0.559  0.122 -0.721  0.100 -0.882  0.084 -1.044  0.068 -1.206  0.060 -1.369  -0.010 -1.516  -0.095 -1.654  -0.228 -1.735  -0.343 -1.687  -0.343 -1.524  -0.343 -1.361  -0.343 -1.198  -0.343 -1.035  -0.343 -0.873  -0.319 -0.718  -0.222 -0.587  -0.180 -0.437  -0.071 -0.322  0.031 -0.212  0.194 -0.212
2#tos#t2#t2025064/z  0.151 1.110  0.004 1.102  -0.137 1.055  -0.278 1.008  -0.411 0.973  -0.314 0.922  -0.165 0.922  -0.017 0.922  0.132 0.922  0.281 0.922  0.429 0.922  0.578 0.922  0.650 1.045  0.714 0.964  0.606 0.922  0.540 0.811  0.435 0.706  0.309 0.649  0.193 0.556  0.077 0.463  0.026 0.339  -0.059 0.233  -0.178 0.144  -0.300 0.059  -0.420 -0.028  -0.502 -0.151  -0.598 -0.264  -0.703 -0.369  -0.808 -0.474  -0.878 -0.601  -0.941 -0.732  -1.013 -0.828  -1.099 -0.891  -0.950 -0.891  -0.802 -0.891  -0.655 -0.885  -0.530 -0.828  -0.382 -0.828  -0.233 -0.828  -0.084 -0.828  0.064 -0.828  0.213 -0.828  0.361 -0.828  0.510 -0.828  0.659 -0.828  0.807 -0.828  0.956 -0.828  1.104 -0.828  1.253 -0.828  1.402 -0.828
