1b#ced#rigi0287_s_jc/P  0.299 1.243  0.263 1.411  0.228 1.578  0.184 1.543  0.184 1.370  0.184 1.197  0.184 1.023  0.160 0.853  0.120 0.685  0.099 0.514  0.080 0.341  0.064 0.169  0.052 -0.003  0.030 -0.175  0.010 -0.347  -0.009 -0.519  -0.034 -0.690  -0.065 -0.860  -0.085 -1.032  -0.108 -1.204  -0.143 -1.373  -0.171 -1.544  -0.201 -1.714  -0.235 -1.797  -0.266 -1.627  -0.297 -1.457  -0.329 -1.286  -0.360 -1.116  -0.391 -0.946  -0.422 -0.776  -0.452 -0.605  -0.470 -0.433  -0.463 -0.261  -0.458 -0.088  -0.443 0.085  -0.405 0.253  -0.365 0.422  -0.317 0.588  -0.244 0.745  -0.133 0.874  0.024 0.944  0.194 0.926  0.348 0.847  0.494 0.756  0.617 0.636  0.696 0.483  0.715 0.313  0.651 0.153  0.560 0.008  0.427 -0.103
1b#ced#rigi0287_s_jc/U  -0.752 0.276  -0.771 0.387  -0.771 0.501  -0.788 0.612  -0.791 0.725  -0.791 0.839  -0.810 0.948  -0.869 0.914  -0.888 0.803  -0.888 0.690  -0.888 0.576  -0.887 0.462  -0.866 0.351  -0.849 0.238  -0.818 0.129  -0.777 0.024  -0.738 -0.083  -0.702 -0.190  -0.646 -0.289  -0.590 -0.387  -0.536 -0.487  -0.479 -0.585  -0.411 -0.676  -0.346 -0.768  -0.257 -0.838  -0.159 -0.895  -0.052 -0.933  0.060 -0.949  0.173 -0.944  0.284 -0.919  0.387 -0.872  0.484 -0.814  0.576 -0.748  0.655 -0.667  0.726 -0.578  0.782 -0.480  0.826 -0.375  0.867 -0.269  0.911 -0.165  0.957 -0.061  0.992 0.047  1.023 0.156  1.050 0.266  1.064 0.379  1.065 0.493  1.065 0.606  1.065 0.720  1.063 0.833  1.039 0.944  1.007 1.053
1b#ced#rigi0287_s_jc/A  -0.277 0.503  -0.071 0.621  0.009 0.701  -0.109 0.494  -0.177 0.264  -0.233 0.029  -0.306 -0.202  -0.378 -0.433  -0.426 -0.670  -0.503 -0.900  -0.596 -1.123  -0.730 -1.311  -0.837 -1.140  -0.835 -0.900  -0.803 -0.660  -0.752 -0.425  -0.687 -0.192  -0.591 0.029  -0.520 0.260  -0.430 0.485  -0.313 0.697  -0.196 0.909  -0.063 1.111  0.095 1.294  0.269 1.462  0.486 1.561  0.700 1.466  0.840 1.272  0.936 1.051  0.993 0.816  1.052 0.582  1.087 0.342  1.119 0.102  1.134 -0.139  1.134 -0.381  1.156 -0.622  1.025 -0.758  0.783 -0.766  0.541 -0.774  0.299 -0.782  0.057 -0.790  -0.182 -0.787  -0.372 -0.640  -0.573 -0.506  -0.792 -0.406  -0.855 -0.287  -0.627 -0.211  -0.395 -0.142  -0.161 -0.080  0.075 -0.026
1b#ced#rigi0287_s_jc/R  -0.011 0.313  -0.060 0.547  -0.086 0.785  -0.123 1.021  -0.231 0.983  -0.258 0.744  -0.280 0.504  -0.295 0.262  -0.308 0.021  -0.340 -0.219  -0.372 -0.459  -0.406 -0.699  -0.442 -0.939  -0.494 -1.174  -0.574 -1.402  -0.707 -1.355  -0.742 -1.116  -0.728 -0.877  -0.703 -0.638  -0.657 -0.401  -0.599 -0.166  -0.559 0.073  -0.476 0.298  -0.377 0.520  -0.259 0.731  -0.128 0.933  0.013 1.129  0.185 1.300  0.392 1.416  0.633 1.426  0.849 1.333  0.954 1.122  0.954 0.879  0.876 0.653  0.730 0.459  0.556 0.299  0.351 0.170  0.146 0.041  -0.070 -0.066  -0.287 -0.160  -0.499 -0.278  -0.342 -0.412  -0.121 -0.510  0.094 -0.621  0.311 -0.727  0.512 -0.862  0.716 -0.993  0.896 -1.152  1.089 -1.292  1.276 -1.444
1b#ced#rigi0287_s_jc/T  -0.002 -0.294  -0.002 -0.135  0.020 0.020  0.020 0.179  0.066 0.166  0.119 0.017  0.162 -0.136  0.216 -0.284  0.247 -0.440  0.273 -0.596  0.299 -0.753  0.325 -0.910  0.329 -1.068  0.352 -1.225  0.314 -1.297  0.199 -1.188  0.084 -1.078  -0.031 -0.969  -0.147 -0.859  -0.262 -0.750  -0.377 -0.641  -0.492 -0.531  -0.607 -0.422  -0.722 -0.312  -0.838 -0.203  -0.953 -0.094  -1.067 0.015  -1.222 0.037  -1.361 0.087  -1.265 0.197  -1.139 0.290  -0.991 0.348  -0.839 0.395  -0.687 0.438  -0.533 0.479  -0.379 0.516  -0.224 0.552  -0.073 0.603  0.080 0.643  0.235 0.679  0.390 0.714  0.545 0.748  0.700 0.782  0.854 0.820  1.011 0.848  1.165 0.885  1.322 0.899  1.470 0.943  1.629 0.943  1.788 0.943
1b#ced#rigi0287_s_jc/Z  -0.783 0.483  -0.916 0.483  -1.042 0.510  -1.168 0.537  -1.255 0.601  -1.149 0.664  -1.024 0.699  -0.894 0.718  -0.766 0.750  -0.633 0.753  -0.503 0.776  -0.373 0.802  -0.243 0.828  -0.111 0.834  0.020 0.849  0.151 0.860  0.282 0.879  0.413 0.887  0.546 0.887  0.675 0.869  0.786 0.801  0.807 0.677  0.759 0.554  0.672 0.456  0.589 0.353  0.499 0.256  0.417 0.152  0.326 0.056  0.243 -0.047  0.153 -0.144  0.071 -0.247  -0.009 -0.353  -0.088 -0.459  -0.178 -0.556  -0.259 -0.659  -0.355 -0.748  -0.419 -0.864  -0.415 -0.982  -0.291 -1.029  -0.163 -1.053  -0.032 -1.073  0.099 -1.080  0.232 -1.080  0.364 -1.080  0.497 -1.080  0.629 -1.080  0.762 -1.080  0.894 -1.080  1.026 -1.093  1.158 -1.107
1b#ced#rigi0287_s_jc/F  -0.295 0.350  -0.369 0.566  -0.442 0.780  -0.409 0.662  -0.409 0.427  -0.416 0.193  -0.432 -0.040  -0.432 -0.275  -0.410 -0.508  -0.414 -0.742  -0.429 -0.976  -0.432 -1.211  -0.432 -1.445  -0.424 -1.679  -0.409 -1.570  -0.409 -1.335  -0.409 -1.101  -0.409 -0.866  -0.409 -0.632  -0.409 -0.397  -0.409 -0.163  -0.445 0.050  -0.671 0.089  -0.865 0.192  -0.787 0.381  -0.607 0.530  -0.414 0.661  -0.198 0.752  0.018 0.844  0.238 0.924  0.463 0.989  0.685 1.061  0.918 1.094  1.143 1.159  1.370 1.213  1.417 1.122  1.271 0.938  1.126 0.753  0.981 0.569  0.836 0.385  0.691 0.200  0.546 0.016  0.401 -0.169  0.249 -0.344  0.065 -0.485  -0.124 -0.615  -0.244 -0.718  -0.043 -0.604  0.178 -0.533  0.409 -0.491
1b#ced#rigi0287_s_jc/I  1.047 -0.307  0.934 -0.269  0.828 -0.218  0.724 -0.162  0.625 -0.097  0.558 -0.000  0.471 0.077  0.382 0.153  0.311 0.247  0.234 0.336  0.166 0.431  0.113 0.537  0.074 0.649  0.044 0.763  0.012 0.877  -0.025 0.989  -0.062 1.101  -0.073 1.218  -0.105 1.331  -0.105 1.449  -0.105 1.403  -0.105 1.284  -0.105 1.166  -0.105 1.048  -0.114 0.930  -0.137 0.814  -0.148 0.697  -0.148 0.579  -0.165 0.462  -0.188 0.346  -0.190 0.228  -0.190 0.110  -0.202 -0.007  -0.219 -0.124  -0.233 -0.242  -0.233 -0.360  -0.233 -0.478  -0.233 -0.597  -0.233 -0.715  -0.233 -0.833  -0.233 -0.951  -0.233 -1.070  -0.249 -1.187  -0.266 -1.304  -0.276 -1.421  -0.276 -1.540  -0.276 -1.658  -0.276 -1.776  -0.276 -1.895  -0.276 -2.013
1b#ced#rigi0287_s_jc/N  -0.525 0.269  -0.435 0.518  -0.389 0.779  -0.433 0.945  -0.514 0.692  -0.560 0.428  -0.599 0.162  -0.637 -0.103  -0.668 -0.370  -0.698 -0.636  -0.720 -0.903  -0.740 -1.170  -0.763 -1.437  -0.781 -1.518  -0.769 -1.250  -0.758 -0.982  -0.747 -0.714  -0.741 -0.446  -0.741 -0.178  -0.720 0.089  -0.698 0.355  -0.655 0.618  -0.590 0.742  -0.448 0.520  -0.306 0.293  -0.163 0.067  0.014 -0.135  0.177 -0.347  0.335 -0.562  0.502 -0.772  0.657 -0.809  0.763 -0.563  0.869 -0.316  0.974 -0.070  0.977 0.189  0.933 0.453  0.889 0.718  0.839 0.981  0.771 1.240  0.663 1.481  0.598 1.378  0.598 1.110  0.606 0.842  0.620 0.575  0.620 0.307  0.641 0.040  0.663 -0.227  0.675 -0.494  0.690 -0.762  0.728 -1.027
1b#ced#rigi0287_s_jc/K  -0.004 0.854  -0.053 1.074  -0.120 1.292  -0.224 1.493  -0.370 1.504  -0.466 1.302  -0.498 1.077  -0.530 0.851  -0.547 0.624  -0.567 0.396  -0.572 0.167  -0.572 -0.061  -0.577 -0.290  -0.596 -0.517  -0.596 -0.746  -0.581 -0.974  -0.572 -1.202  -0.564 -1.404  -0.442 -1.211  -0.320 -1.017  -0.197 -0.824  -0.075 -0.630  0.047 -0.437  0.169 -0.243  0.291 -0.050  0.414 0.144  0.536 0.337  0.651 0.535  0.773 0.723  0.900 0.910  0.959 1.127  0.791 1.106  0.618 0.958  0.461 0.796  0.325 0.613  0.176 0.442  0.014 0.280  -0.130 0.102  -0.278 -0.071  -0.426 -0.242  -0.572 -0.407  -0.450 -0.552  -0.232 -0.612  -0.020 -0.693  0.187 -0.792  0.389 -0.897  0.583 -1.018  0.775 -1.134  0.961 -1.264  1.131 -1.417
1b#ced#rigi0287_s_jc/J  0.255 0.498  0.271 0.657  0.284 0.816  0.255 0.936  0.268 0.787  0.255 0.628  0.255 0.466  0.271 0.305  0.301 0.148  0.326 -0.012  0.337 -0.174  0.357 -0.334  0.378 -0.495  0.386 -0.656  0.403 -0.817  0.419 -0.977  0.419 -1.139  0.397 -1.299  0.317 -1.438  0.178 -1.520  0.020 -1.549  -0.140 -1.534  -0.294 -1.501  -0.353 -1.382  -0.356 -1.220  -0.359 -1.058  -0.361 -0.896  -0.364 -0.734  -0.367 -0.572  -0.370 -0.410  -0.373 -0.248  -0.376 -0.086  -0.378 0.076  -0.381 0.238  -0.384 0.400  -0.535 0.450  -0.685 0.502  -0.821 0.574  -0.767 0.700  -0.634 0.786  -0.488 0.855  -0.339 0.920  -0.189 0.981  -0.036 1.034  0.116 1.089  0.269 1.142  0.422 1.197  0.577 1.243  0.730 1.293  0.886 1.334
1b#ced#rigi0287_s_jc/O  0.079 0.681  0.048 0.815  -0.002 0.945  -0.044 1.076  -0.070 1.211  -0.110 1.342  -0.222 1.379  -0.296 1.265  -0.346 1.136  -0.394 1.006  -0.438 0.873  -0.476 0.739  -0.514 0.606  -0.548 0.470  -0.570 0.333  -0.587 0.195  -0.598 0.056  -0.598 -0.083  -0.598 -0.222  -0.598 -0.361  -0.598 -0.501  -0.591 -0.639  -0.558 -0.774  -0.538 -0.912  -0.486 -1.041  -0.423 -1.165  -0.343 -1.278  -0.236 -1.366  -0.101 -1.399  0.031 -1.383  0.156 -1.322  0.270 -1.243  0.363 -1.140  0.433 -1.021  0.497 -0.898  0.556 -0.772  0.601 -0.641  0.634 -0.506  0.665 -0.370  0.685 -0.232  0.695 -0.093  0.695 0.046  0.695 0.185  0.672 0.322  0.638 0.457  0.604 0.592  0.569 0.726  0.500 0.847  0.429 0.967  0.367 1.091
1b#ced#rigi0287_s_jc/C  0.586 -0.263  0.641 -0.179  0.702 -0.102  0.729 -0.006  0.761 0.089  0.766 0.191  0.790 0.290  0.803 0.390  0.819 0.490  0.819 0.592  0.807 0.693  0.775 0.790  0.744 0.887  0.715 0.985  0.652 1.058  0.553 1.080  0.451 1.080  0.352 1.066  0.261 1.019  0.179 0.958  0.097 0.896  0.017 0.833  -0.056 0.760  -0.128 0.688  -0.201 0.615  -0.258 0.532  -0.304 0.440  -0.357 0.353  -0.414 0.268  -0.464 0.179  -0.510 0.087  -0.549 -0.007  -0.585 -0.103  -0.619 -0.200  -0.647 -0.298  -0.670 -0.397  -0.670 -0.500  -0.670 -0.602  -0.670 -0.705  -0.668 -0.807  -0.655 -0.909  -0.643 -1.010  -0.601 -1.103  -0.555 -1.195  -0.509 -1.286  -0.462 -1.377  -0.397 -1.456  -0.331 -1.535  -0.254 -1.601  -0.174 -1.665
1b#ced#rigi0287_s_jc/K  -0.665 0.610  -0.634 0.840  -0.596 1.069  -0.575 1.299  -0.561 1.461  -0.569 1.229  -0.593 0.998  -0.635 0.768  -0.639 0.535  -0.639 0.301  -0.658 0.069  -0.665 -0.164  -0.665 -0.398  -0.665 -0.632  -0.665 -0.865  -0.654 -1.098  -0.550 -1.078  -0.402 -0.896  -0.255 -0.715  -0.107 -0.534  0.040 -0.353  0.188 -0.172  0.335 0.010  0.482 0.191  0.632 0.370  0.775 0.552  0.879 0.755  0.980 0.957  0.985 1.131  0.866 0.943  0.701 0.778  0.529 0.620  0.358 0.461  0.176 0.318  -0.010 0.177  -0.204 0.048  -0.382 -0.102  -0.588 -0.211  -0.770 -0.343  -0.553 -0.382  -0.326 -0.424  -0.100 -0.483  0.128 -0.533  0.349 -0.608  0.552 -0.720  0.757 -0.822  0.938 -0.968  1.089 -1.145  1.245 -1.318  1.341 -1.527
1b#ced#rigi0287_s_jc/E  -0.413 0.546  -0.301 0.745  -0.272 0.981  -0.326 0.970  -0.366 0.728  -0.389 0.483  -0.402 0.237  -0.413 -0.009  -0.413 -0.256  -0.409 -0.503  -0.388 -0.749  -0.335 -0.990  -0.219 -1.208  -0.034 -1.368  0.202 -1.420  0.449 -1.420  0.697 -1.420  0.941 -1.382  1.177 -1.313  1.080 -1.170  0.898 -1.003  0.715 -0.837  0.532 -0.670  0.350 -0.503  0.167 -0.336  -0.015 -0.170  -0.198 -0.003  -0.381 0.164  -0.554 0.339  -0.647 0.550  -0.623 0.781  -0.442 0.941  -0.223 1.052  0.009 1.139  0.243 1.213  0.482 1.276  0.726 1.317  0.811 1.269  0.648 1.084  0.485 0.898  0.322 0.712  0.159 0.526  -0.004 0.340  -0.167 0.154  -0.340 -0.019  -0.543 -0.161  -0.735 -0.315  -0.758 -0.437  -0.513 -0.414  -0.272 -0.367
1b#ced#rigi0287_s_jc/Y  -0.041 -1.117  0.037 -0.942  0.117 -0.765  0.189 -0.587  0.232 -0.399  0.279 -0.223  0.259 -0.413  0.239 -0.605  0.219 -0.798  0.219 -0.992  0.214 -1.186  0.199 -1.380  0.149 -1.393  0.050 -1.226  -0.049 -1.058  -0.148 -0.891  -0.248 -0.723  -0.347 -0.556  -0.446 -0.389  -0.545 -0.221  -0.644 -0.054  -0.743 0.114  -0.843 0.281  -0.910 0.461  -1.015 0.623  -1.090 0.800  -1.192 0.962  -1.143 0.940  -1.039 0.781  -0.929 0.626  -0.804 0.477  -0.663 0.343  -0.522 0.210  -0.378 0.081  -0.187 0.121  0.003 0.160  0.194 0.200  0.384 0.239  0.575 0.279  0.765 0.319  0.956 0.358  1.147 0.398  1.194 0.580  1.216 0.772  1.202 0.964  1.111 1.119  0.936 1.078  0.757 1.006  0.605 0.887  0.478 0.739
