3#apb#apb22#app2207/O  0.072 0.914  -0.061 0.929  -0.193 0.923  -0.320 0.883  -0.424 0.804  -0.500 0.696  -0.559 0.577  -0.611 0.454  -0.653 0.327  -0.695 0.201  -0.735 0.074  -0.767 -0.056  -0.798 -0.186  -0.830 -0.315  -0.858 -0.446  -0.876 -0.578  -0.895 -0.710  -0.914 -0.842  -0.869 -0.968  -0.825 -1.093  -0.705 -1.144  -0.580 -1.188  -0.459 -1.147  -0.338 -1.089  -0.218 -1.031  -0.103 -0.965  0.005 -0.887  0.113 -0.808  0.221 -0.730  0.329 -0.651  0.425 -0.560  0.516 -0.462  0.607 -0.364  0.698 -0.267  0.782 -0.164  0.846 -0.047  0.911 0.069  0.976 0.186  1.008 0.313  1.026 0.446  1.036 0.577  0.991 0.703  0.944 0.826  0.839 0.909  0.734 0.991  0.601 1.004  0.469 1.016  0.339 1.003  0.213 0.959  0.087 0.914
3#apb#apb22#app2207/d  0.620 1.582  0.671 1.657  0.671 1.569  0.671 1.478  0.671 1.387  0.665 1.297  0.648 1.208  0.630 1.119  0.614 1.030  0.602 0.940  0.589 0.850  0.576 0.761  0.553 0.673  0.520 0.589  0.487 0.504  0.455 0.420  0.422 0.335  0.389 0.251  0.354 0.167  0.320 0.083  0.285 -0.001  0.251 -0.085  0.216 -0.169  0.180 -0.252  0.144 -0.335  0.107 -0.418  0.071 -0.501  0.034 -0.584  -0.017 -0.658  -0.069 -0.733  -0.121 -0.807  -0.180 -0.876  -0.244 -0.940  -0.309 -1.004  -0.393 -1.018  -0.484 -1.018  -0.575 -1.018  -0.661 -1.009  -0.719 -0.940  -0.777 -0.870  -0.831 -0.796  -0.883 -0.723  -0.909 -0.640  -0.909 -0.549  -0.875 -0.467  -0.829 -0.389  -0.779 -0.313  -0.707 -0.273  -0.617 -0.263  -0.527 -0.253
3#apb#apb22#app2207/S  0.477 0.815  0.574 0.871  0.641 0.961  0.699 1.056  0.734 1.163  0.736 1.258  0.636 1.288  0.529 1.265  0.429 1.214  0.328 1.164  0.232 1.105  0.139 1.042  0.046 0.979  -0.048 0.915  -0.133 0.842  -0.216 0.766  -0.298 0.690  -0.381 0.613  -0.460 0.533  -0.534 0.449  -0.609 0.364  -0.654 0.263  -0.690 0.156  -0.674 0.049  -0.616 -0.044  -0.536 -0.123  -0.433 -0.167  -0.328 -0.207  -0.219 -0.235  -0.109 -0.260  -0.002 -0.291  0.103 -0.334  0.206 -0.377  0.301 -0.438  0.387 -0.508  0.456 -0.597  0.454 -0.707  0.433 -0.815  0.372 -0.910  0.307 -1.002  0.220 -1.073  0.133 -1.144  0.039 -1.205  -0.061 -1.258  -0.160 -1.310  -0.268 -1.339  -0.378 -1.361  -0.489 -1.379  -0.602 -1.372  -0.714 -1.365
3#apb#apb22#app2207/t  0.943 1.631  1.031 1.555  1.018 1.427  0.986 1.297  0.953 1.167  0.896 1.046  0.830 0.929  0.763 0.812  0.697 0.696  0.632 0.578  0.570 0.459  0.507 0.340  0.444 0.222  0.381 0.103  0.316 -0.015  0.251 -0.132  0.186 -0.250  0.120 -0.367  0.055 -0.484  -0.008 -0.603  -0.069 -0.723  -0.131 -0.842  -0.193 -0.961  -0.252 -1.082  -0.309 -1.203  -0.368 -1.324  -0.455 -1.426  -0.495 -1.392  -0.516 -1.260  -0.538 -1.127  -0.559 -0.994  -0.580 -0.862  -0.601 -0.729  -0.623 -0.596  -0.644 -0.464  -0.665 -0.331  -0.687 -0.198  -0.708 -0.066  -0.729 0.067  -0.750 0.199  -0.743 0.318  -0.623 0.378  -0.501 0.431  -0.371 0.465  -0.241 0.499  -0.111 0.532  0.022 0.551  0.156 0.564  0.290 0.577  0.423 0.591
3#apb#apb22#app2207/.  1.519 0.759  1.457 0.728  1.394 0.697  1.333 0.666  1.271 0.635  1.209 0.604  1.147 0.573  1.085 0.542  1.023 0.511  0.961 0.480  0.899 0.449  0.837 0.418  0.775 0.387  0.713 0.356  0.651 0.325  0.589 0.294  0.527 0.263  0.465 0.232  0.403 0.201  0.341 0.170  0.279 0.139  0.217 0.108  0.155 0.077  0.093 0.047  0.031 0.015  -0.031 -0.015  -0.093 -0.047  -0.155 -0.077  -0.217 -0.108  -0.279 -0.139  -0.341 -0.170  -0.403 -0.201  -0.465 -0.232  -0.527 -0.263  -0.589 -0.294  -0.651 -0.325  -0.713 -0.356  -0.775 -0.387  -0.837 -0.418  -0.899 -0.449  -0.961 -0.480  -1.023 -0.511  -1.085 -0.542  -1.147 -0.573  -1.209 -0.604  -1.271 -0.635  -1.333 -0.666  -1.394 -0.697  -1.457 -0.728  -1.519 -0.759
3#apb#apb22#app2207/I  0.208 0.977  0.162 0.742  0.121 0.505  0.079 0.268  0.043 0.030  0.015 -0.209  -0.023 -0.446  -0.075 -0.681  -0.117 -0.918  -0.190 -0.952  -0.300 -0.738  -0.410 -0.524  -0.520 -0.310  -0.630 -0.096  -0.740 0.118  -0.849 0.332  -0.967 0.538  -0.840 0.642  -0.618 0.733  -0.393 0.819  -0.168 0.904  0.060 0.980  0.290 1.051  0.522 1.114  0.758 1.158  0.995 1.201  1.236 1.201  1.363 1.152  1.195 0.979  1.028 0.806  0.861 0.633  0.694 0.460  0.527 0.287  0.360 0.114  0.193 -0.059  0.026 -0.232  -0.141 -0.405  -0.309 -0.578  -0.476 -0.751  -0.643 -0.924  -0.810 -1.097  -0.982 -1.262  -0.856 -1.231  -0.637 -1.133  -0.412 -1.051  -0.182 -0.980  0.041 -0.889  0.269 -0.814  0.502 -0.754  0.739 -0.713
3#apb#apb22#app2207/n  -0.226 1.329  -0.249 1.242  -0.305 1.091  -0.361 0.941  -0.418 0.791  -0.474 0.640  -0.529 0.489  -0.585 0.339  -0.640 0.188  -0.705 0.041  -0.770 -0.106  -0.835 -0.252  -0.900 -0.399  -0.964 -0.546  -1.029 -0.694  -1.106 -0.834  -1.193 -0.948  -1.071 -0.844  -0.962 -0.727  -0.866 -0.598  -0.769 -0.470  -0.666 -0.348  -0.542 -0.246  -0.418 -0.144  -0.294 -0.042  -0.170 0.060  -0.045 0.161  0.079 0.262  0.207 0.359  0.343 0.444  0.480 0.529  0.617 0.611  0.761 0.683  0.905 0.754  1.061 0.792  1.179 0.719  1.215 0.571  1.215 0.410  1.160 0.261  1.096 0.114  1.031 -0.033  0.957 -0.175  0.882 -0.317  0.807 -0.459  0.726 -0.598  0.640 -0.733  0.553 -0.868  0.469 -1.005  0.387 -1.143  0.324 -1.290
3#apb#apb22#app2207/f  -0.790 -1.787  -0.747 -1.767  -0.687 -1.610  -0.629 -1.451  -0.573 -1.292  -0.502 -1.140  -0.427 -0.989  -0.353 -0.838  -0.286 -0.683  -0.219 -0.529  -0.156 -0.373  -0.096 -0.215  -0.043 -0.056  -0.020 0.111  0.003 0.278  0.006 0.446  0.003 0.614  -0.051 0.774  -0.065 0.940  0.001 1.010  0.170 1.011  0.337 1.031  0.504 1.048  0.673 1.056  0.841 1.064  1.009 1.064  1.176 1.046  1.297 0.997  1.160 0.899  1.022 0.801  0.885 0.703  0.748 0.606  0.611 0.508  0.473 0.410  0.336 0.313  0.199 0.215  0.062 0.117  -0.076 0.019  -0.213 -0.078  -0.350 -0.176  -0.487 -0.274  -0.625 -0.371  -0.762 -0.469  -0.899 -0.566  -0.806 -0.545  -0.648 -0.486  -0.489 -0.429  -0.330 -0.374  -0.171 -0.319  -0.012 -0.264
3#apb#apb22#app2207/i  0.792 1.502  0.757 1.441  0.723 1.379  0.689 1.318  0.655 1.256  0.621 1.195  0.587 1.134  0.553 1.072  0.519 1.011  0.484 0.949  0.445 0.892  0.401 0.837  0.357 0.782  0.313 0.727  0.269 0.672  0.225 0.617  0.181 0.562  0.137 0.507  0.094 0.453  0.050 0.398  0.006 0.343  -0.038 0.288  -0.059 0.222  -0.076 0.154  -0.093 0.085  -0.110 0.017  -0.127 -0.051  -0.144 -0.119  -0.162 -0.187  -0.179 -0.255  -0.196 -0.324  -0.213 -0.392  -0.230 -0.460  -0.247 -0.528  -0.264 -0.596  -0.281 -0.664  -0.298 -0.733  -0.321 -0.799  -0.346 -0.864  -0.371 -0.930  -0.397 -0.996  -0.422 -1.061  -0.447 -1.127  -0.472 -1.192  -0.498 -1.258  -0.523 -1.324  -0.548 -1.389  -0.573 -1.455  -0.599 -1.520  -0.624 -1.586
3#apb#apb22#app2207/n  -0.396 0.986  -0.446 0.844  -0.471 0.690  -0.502 0.537  -0.545 0.388  -0.588 0.238  -0.638 0.090  -0.699 -0.053  -0.761 -0.196  -0.830 -0.336  -0.912 -0.469  -0.993 -0.601  -1.073 -0.735  -1.149 -0.872  -1.226 -0.957  -1.139 -0.827  -1.045 -0.703  -0.946 -0.583  -0.847 -0.462  -0.739 -0.350  -0.629 -0.240  -0.518 -0.129  -0.407 -0.020  -0.289 0.082  -0.171 0.184  -0.053 0.286  0.067 0.385  0.195 0.474  0.323 0.563  0.451 0.652  0.571 0.752  0.691 0.852  0.810 0.952  0.964 0.976  1.093 0.923  1.162 0.793  1.177 0.638  1.174 0.483  1.146 0.330  1.110 0.179  1.048 0.036  0.985 -0.107  0.923 -0.250  0.848 -0.387  0.770 -0.521  0.691 -0.656  0.594 -0.778  0.497 -0.900  0.404 -1.025  0.317 -1.155
3#apb#apb22#app2207/i  0.762 1.486  0.713 1.436  0.663 1.387  0.614 1.338  0.565 1.288  0.515 1.239  0.466 1.189  0.416 1.140  0.367 1.091  0.318 1.041  0.290 0.978  0.268 0.912  0.246 0.846  0.224 0.779  0.202 0.713  0.180 0.647  0.158 0.581  0.135 0.514  0.113 0.448  0.091 0.382  0.069 0.315  0.047 0.249  0.025 0.183  0.003 0.117  -0.019 0.050  -0.041 -0.016  -0.063 -0.082  -0.085 -0.148  -0.108 -0.215  -0.130 -0.281  -0.152 -0.347  -0.174 -0.414  -0.196 -0.480  -0.218 -0.546  -0.240 -0.612  -0.262 -0.679  -0.284 -0.745  -0.306 -0.811  -0.329 -0.878  -0.351 -0.944  -0.373 -1.010  -0.390 -1.078  -0.407 -1.146  -0.424 -1.213  -0.441 -1.281  -0.458 -1.349  -0.475 -1.417  -0.492 -1.484  -0.509 -1.552  -0.525 -1.620
3#apb#apb22#app2207/t  0.507 1.744  0.620 1.791  0.681 1.712  0.696 1.594  0.688 1.472  0.679 1.350  0.640 1.233  0.601 1.117  0.563 1.001  0.523 0.885  0.477 0.772  0.430 0.658  0.383 0.545  0.336 0.432  0.290 0.318  0.254 0.201  0.217 0.085  0.181 -0.032  0.144 -0.149  0.108 -0.266  0.067 -0.382  0.026 -0.498  -0.015 -0.613  -0.055 -0.728  -0.096 -0.844  -0.135 -0.960  -0.172 -1.077  -0.209 -1.194  -0.247 -1.310  -0.274 -1.430  -0.313 -1.447  -0.334 -1.327  -0.355 -1.206  -0.376 -1.085  -0.397 -0.964  -0.417 -0.844  -0.438 -0.723  -0.459 -0.602  -0.480 -0.481  -0.501 -0.361  -0.521 -0.240  -0.542 -0.119  -0.563 0.002  -0.584 0.122  -0.549 0.207  -0.442 0.263  -0.339 0.329  -0.222 0.350  -0.099 0.350  0.023 0.350
3#apb#apb22#app2207/e  -0.964 -0.512  -0.844 -0.439  -0.724 -0.367  -0.604 -0.295  -0.477 -0.236  -0.350 -0.176  -0.223 -0.117  -0.096 -0.058  0.028 0.008  0.150 0.076  0.273 0.144  0.395 0.212  0.518 0.280  0.637 0.353  0.751 0.435  0.865 0.516  0.979 0.598  1.093 0.679  1.164 0.799  1.232 0.922  1.241 1.010  1.101 1.010  0.961 1.010  0.821 1.010  0.684 0.998  0.569 0.918  0.454 0.838  0.338 0.758  0.224 0.677  0.121 0.582  0.019 0.487  -0.084 0.391  -0.187 0.296  -0.287 0.198  -0.368 0.084  -0.450 -0.030  -0.531 -0.144  -0.613 -0.258  -0.676 -0.382  -0.731 -0.511  -0.787 -0.640  -0.842 -0.769  -0.832 -0.903  -0.801 -1.040  -0.769 -1.176  -0.712 -1.295  -0.594 -1.371  -0.476 -1.446  -0.358 -1.522  -0.240 -1.598
3#apb#apb22#app2207/L  0.569 1.784  0.537 1.740  0.508 1.657  0.478 1.576  0.447 1.494  0.417 1.412  0.394 1.328  0.370 1.244  0.347 1.160  0.322 1.076  0.295 0.993  0.269 0.910  0.242 0.827  0.216 0.744  0.188 0.661  0.160 0.578  0.131 0.496  0.103 0.413  0.075 0.331  0.046 0.248  0.018 0.166  -0.014 0.085  -0.046 0.003  -0.078 -0.078  -0.110 -0.159  -0.142 -0.240  -0.174 -0.321  -0.208 -0.402  -0.246 -0.480  -0.284 -0.559  -0.322 -0.638  -0.360 -0.716  -0.398 -0.795  -0.432 -0.875  -0.465 -0.956  -0.497 -1.037  -0.541 -1.111  -0.570 -1.184  -0.522 -1.161  -0.465 -1.095  -0.390 -1.050  -0.315 -1.006  -0.237 -0.967  -0.154 -0.941  -0.071 -0.915  0.013 -0.888  0.097 -0.866  0.182 -0.847  0.267 -0.828  0.352 -0.809
3#apb#apb22#app2207/o  -0.137 0.865  -0.137 1.038  -0.259 0.939  -0.347 0.790  -0.435 0.641  -0.539 0.504  -0.648 0.370  -0.747 0.229  -0.833 0.079  -0.918 -0.072  -1.001 -0.223  -1.081 -0.376  -1.161 -0.530  -1.193 -0.695  -1.193 -0.868  -1.095 -0.997  -0.965 -1.109  -0.794 -1.139  -0.624 -1.164  -0.458 -1.119  -0.291 -1.074  -0.124 -1.029  0.025 -0.941  0.173 -0.852  0.320 -0.762  0.463 -0.666  0.582 -0.541  0.702 -0.416  0.821 -0.291  0.920 -0.150  1.010 -0.002  1.100 0.145  1.166 0.304  1.215 0.469  1.189 0.625  1.098 0.772  0.946 0.831  0.776 0.864  0.610 0.818  0.443 0.771  0.450 0.619  0.484 0.449  0.518 0.280  0.416 0.362  0.335 0.347  0.182 0.406  0.009 0.407  -0.164 0.407  -0.332 0.378  -0.476 0.307
3#apb#apb22#app2207/o  -0.083 0.943  -0.053 0.877  -0.133 0.788  -0.214 0.699  -0.291 0.607  -0.366 0.513  -0.441 0.419  -0.516 0.325  -0.586 0.228  -0.654 0.128  -0.721 0.029  -0.789 -0.070  -0.853 -0.171  -0.905 -0.280  -0.956 -0.388  -1.008 -0.497  -1.054 -0.606  -1.030 -0.724  -1.003 -0.839  -0.901 -0.903  -0.800 -0.968  -0.690 -0.997  -0.570 -0.989  -0.450 -0.981  -0.337 -0.949  -0.231 -0.893  -0.124 -0.837  -0.018 -0.781  0.084 -0.718  0.174 -0.638  0.263 -0.559  0.353 -0.479  0.443 -0.399  0.522 -0.310  0.592 -0.212  0.662 -0.114  0.732 -0.016  0.802 0.081  0.860 0.185  0.903 0.298  0.945 0.410  0.988 0.522  1.031 0.634  1.014 0.753  0.997 0.872  0.980 0.991  0.963 1.110  0.899 1.208  0.823 1.301  0.747 1.394
3#apb#apb22#app2207/p  0.058 0.967  -0.040 0.816  -0.120 0.655  -0.197 0.492  -0.274 0.329  -0.352 0.167  -0.425 0.002  -0.490 -0.166  -0.554 -0.334  -0.624 -0.500  -0.694 -0.666  -0.759 -0.834  -0.817 -1.004  -0.875 -1.175  -0.927 -1.347  -0.981 -1.519  -0.911 -1.407  -0.814 -1.255  -0.722 -1.100  -0.635 -0.942  -0.554 -0.781  -0.474 -0.620  -0.392 -0.460  -0.301 -0.304  -0.210 -0.149  -0.119 0.007  -0.022 0.159  0.080 0.307  0.181 0.456  0.283 0.604  0.404 0.738  0.526 0.870  0.648 1.003  0.776 1.130  0.907 1.252  1.071 1.316  1.155 1.182  1.148 1.004  1.119 0.826  1.036 0.667  0.953 0.507  0.844 0.364  0.729 0.225  0.614 0.086  0.498 -0.052  0.378 -0.184  0.225 -0.279  0.060 -0.344  -0.117 -0.367  -0.295 -0.341
