2#tos#t2#t2061062/\"  -0.850 0.315  -0.892 0.229  -1.021 0.229  -1.109 0.187  -1.109 0.059  -1.109 -0.070  -1.109 -0.199  -1.082 -0.317  -1.023 -0.421  -1.023 -0.550  -1.023 -0.679  -1.023 -0.808  -0.993 -0.924  -0.936 -1.030  -0.873 -1.001  -0.784 -0.908  -0.694 -0.815  -0.605 -0.722  -0.516 -0.629  -0.427 -0.536  -0.338 -0.442  -0.248 -0.349  -0.159 -0.256  -0.070 -0.163  0.019 -0.070  0.108 0.023  0.197 0.116  0.287 0.209  0.376 0.302  0.465 0.395  0.554 0.488  0.643 0.581  0.733 0.674  0.822 0.767  0.911 0.861  1.000 0.954  0.994 1.006  0.876 0.962  0.791 0.885  0.791 0.756  0.802 0.629  0.843 0.507  0.890 0.389  0.964 0.291  0.964 0.162  0.964 0.033  0.964 -0.096  0.974 -0.223  1.032 -0.338  1.051 -0.462
2#tos#t2#t2061062/V  -0.843 1.249  -0.928 1.206  -0.928 1.164  -0.886 1.054  -0.868 0.934  -0.778 0.844  -0.752 0.727  -0.701 0.611  -0.674 0.488  -0.632 0.371  -0.610 0.253  -0.585 0.135  -0.547 0.014  -0.525 -0.108  -0.505 -0.230  -0.420 -0.305  -0.390 -0.402  -0.355 -0.513  -0.336 -0.637  -0.336 -0.764  -0.314 -0.878  -0.251 -0.966  -0.251 -1.093  -0.251 -1.220  -0.194 -1.291  -0.121 -1.203  -0.055 -1.108  0.023 -1.037  0.092 -0.944  0.172 -0.868  0.212 -0.747  0.257 -0.663  0.312 -0.558  0.384 -0.461  0.430 -0.352  0.469 -0.234  0.509 -0.148  0.553 -0.065  0.616 0.041  0.680 0.148  0.699 0.270  0.756 0.384  0.780 0.502  0.863 0.598  0.934 0.700  0.966 0.814  1.019 0.927  1.061 1.037  1.103 1.121  1.146 1.206
2#tos#t2#t2061062/Z  -0.840 0.982  -0.950 0.902  -0.833 0.872  -0.686 0.872  -0.562 0.929  -0.422 0.945  -0.274 0.945  -0.127 0.945  0.020 0.945  0.168 0.945  0.315 0.945  0.463 0.945  0.610 0.945  0.757 0.945  0.888 0.928  0.888 0.855  0.760 0.835  0.686 0.761  0.576 0.709  0.509 0.580  0.389 0.512  0.288 0.408  0.219 0.280  0.153 0.174  0.054 0.087  -0.049 0.009  -0.146 -0.086  -0.215 -0.191  -0.289 -0.308  -0.397 -0.378  -0.464 -0.508  -0.551 -0.606  -0.643 -0.709  -0.711 -0.819  -0.776 -0.924  -0.864 -1.027  -0.785 -1.077  -0.639 -1.068  -0.499 -1.040  -0.351 -1.040  -0.204 -1.040  -0.057 -1.040  0.090 -1.036  0.225 -0.979  0.357 -0.930  0.504 -0.930  0.642 -0.897  0.777 -0.856  0.924 -0.856  1.072 -0.856
2#tos#t2#t2061062/a  0.774 0.754  0.674 0.656  0.605 0.722  0.477 0.847  0.422 1.024  0.255 1.056  0.113 1.136  -0.082 1.157  -0.281 1.157  -0.418 1.056  -0.484 0.923  -0.629 0.796  -0.771 0.684  -0.822 0.499  -0.924 0.328  -1.006 0.146  -1.088 -0.027  -1.088 -0.226  -1.088 -0.426  -1.088 -0.625  -1.088 -0.824  -1.072 -1.008  -0.937 -1.072  -0.774 -1.108  -0.592 -1.066  -0.458 -0.957  -0.333 -0.883  -0.166 -0.815  -0.077 -0.652  0.078 -0.527  0.228 -0.396  0.348 -0.238  0.447 -0.077  0.535 0.050  0.573 0.211  0.599 0.404  0.623 0.597  0.581 0.754  0.573 0.563  0.506 0.418  0.461 0.229  0.422 0.039  0.422 -0.160  0.472 -0.339  0.573 -0.476  0.631 -0.658  0.796 -0.749  0.859 -0.907  1.044 -0.934  1.177 -1.058
2#tos#t2#t2061062/b  -0.257 1.996  -0.297 1.827  -0.353 1.739  -0.353 1.549  -0.353 1.358  -0.353 1.168  -0.353 0.977  -0.353 0.786  -0.353 0.596  -0.353 0.405  -0.353 0.214  -0.353 0.024  -0.353 -0.167  -0.353 -0.358  -0.353 -0.548  -0.353 -0.739  -0.353 -0.929  -0.353 -1.120  -0.353 -1.311  -0.353 -1.184  -0.353 -0.993  -0.353 -0.803  -0.397 -0.630  -0.400 -0.441  -0.400 -0.251  -0.400 -0.060  -0.305 0.091  -0.305 0.282  -0.257 0.453  -0.199 0.613  -0.056 0.661  0.135 0.661  0.325 0.661  0.508 0.613  0.684 0.578  0.813 0.497  0.895 0.368  0.983 0.214  0.983 0.023  0.983 -0.168  0.870 -0.311  0.840 -0.490  0.750 -0.625  0.665 -0.762  0.552 -0.913  0.425 -1.026  0.261 -1.104  0.072 -1.117  -0.114 -1.152  -0.305 -1.152
2#tos#t2#t2061062/c  0.896 0.756  0.856 0.830  0.775 0.895  0.763 0.997  0.649 1.000  0.543 1.037  0.429 1.037  0.354 1.078  0.240 1.078  0.125 1.078  0.051 1.037  -0.064 1.037  -0.138 0.997  -0.231 0.975  -0.270 0.877  -0.358 0.805  -0.432 0.730  -0.472 0.624  -0.543 0.548  -0.593 0.460  -0.593 0.345  -0.671 0.287  -0.714 0.203  -0.714 0.089  -0.714 -0.026  -0.714 -0.140  -0.714 -0.255  -0.714 -0.370  -0.714 -0.484  -0.673 -0.558  -0.619 -0.639  -0.590 -0.736  -0.553 -0.836  -0.466 -0.894  -0.374 -0.930  -0.286 -0.974  -0.175 -0.993  -0.064 -1.015  0.051 -1.015  0.162 -0.987  0.274 -0.964  0.387 -0.945  0.501 -0.934  0.599 -0.901  0.668 -0.809  0.762 -0.756  0.874 -0.733  0.961 -0.668  1.065 -0.623  1.177 -0.612
2#tos#t2#t2061062/f  -1.315 -0.109  -1.473 -0.121  -1.473 -0.212  -1.329 -0.253  -1.174 -0.289  -1.011 -0.307  -0.840 -0.307  -0.670 -0.307  -0.504 -0.341  -0.337 -0.371  -0.168 -0.386  0.003 -0.386  0.173 -0.386  0.343 -0.386  0.513 -0.386  0.684 -0.386  0.854 -0.386  0.895 -0.262  0.889 -0.092  0.882 0.078  0.875 0.248  0.868 0.418  0.861 0.588  0.849 0.757  0.779 0.882  0.663 0.990  0.584 1.111  0.462 1.171  0.312 1.236  0.230 1.355  0.100 1.315  -0.009 1.231  -0.054 1.072  -0.128 0.933  -0.168 0.779  -0.168 0.609  -0.168 0.438  -0.168 0.268  -0.168 0.098  -0.131 -0.064  -0.128 -0.233  -0.128 -0.404  -0.128 -0.574  -0.083 -0.737  -0.055 -0.905  -0.009 -1.066  -0.003 -1.235  0.030 -1.400  0.070 -1.561  0.070 -1.731
2#tos#t2#t2061062/h  -0.243 1.917  -0.358 1.876  -0.391 1.753  -0.407 1.613  -0.407 1.457  -0.407 1.302  -0.407 1.146  -0.407 0.990  -0.407 0.835  -0.407 0.679  -0.407 0.523  -0.407 0.368  -0.407 0.212  -0.407 0.056  -0.407 -0.099  -0.407 -0.255  -0.407 -0.411  -0.407 -0.567  -0.407 -0.722  -0.373 -0.874  -0.366 -1.029  -0.366 -1.184  -0.366 -1.283  -0.366 -1.128  -0.366 -0.972  -0.366 -0.816  -0.284 -0.742  -0.284 -0.587  -0.284 -0.431  -0.216 -0.304  -0.162 -0.194  -0.162 -0.039  -0.095 0.081  -0.034 0.205  0.049 0.323  0.204 0.323  0.360 0.323  0.499 0.364  0.643 0.336  0.776 0.282  0.826 0.147  0.860 -0.001  0.892 -0.149  0.901 -0.302  0.901 -0.458  0.901 -0.614  0.910 -0.768  0.942 -0.919  0.942 -1.074  0.983 -1.189
2#tos#t2#t2061062/i  0.074 1.001  0.002 0.946  -0.059 0.888  -0.059 0.865  -0.158 0.878  -0.192 0.971  -0.160 1.045  -0.054 1.045  0.030 1.023  -0.054 1.001  -0.103 0.944  -0.089 0.912  -0.069 0.990  0.030 1.003  0.074 1.026  0.048 0.930  -0.006 0.868  -0.068 0.912  -0.098 0.930  -0.078 0.826  -0.058 0.722  -0.038 0.618  -0.019 0.514  0.001 0.409  0.021 0.305  0.041 0.201  0.061 0.097  0.041 0.026  -0.059 0.019  -0.059 -0.087  -0.017 -0.151  -0.014 -0.255  -0.014 -0.361  -0.014 -0.467  -0.014 -0.573  -0.014 -0.679  -0.001 -0.772  0.030 -0.847  0.030 -0.953  0.074 -1.015  0.074 -1.121  0.074 -1.227  0.074 -1.333  0.074 -1.439  0.074 -1.545  0.119 -1.633  0.119 -1.739  0.119 -1.845  0.119 -1.951  0.163 -1.924
2#tos#t2#t2061062/l  -0.430 0.977  -0.466 0.913  -0.540 0.923  -0.456 0.941  -0.428 1.015  -0.357 1.087  -0.292 1.124  -0.244 1.200  -0.194 1.270  -0.100 1.278  -0.043 1.344  0.054 1.335  0.083 1.246  0.097 1.153  0.156 1.089  0.156 0.988  0.156 0.887  0.156 0.786  0.156 0.684  0.156 0.583  0.137 0.501  0.120 0.418  0.120 0.316  0.120 0.215  0.120 0.114  0.083 0.028  0.083 -0.073  0.083 -0.174  0.083 -0.275  0.083 -0.376  0.083 -0.478  0.083 -0.579  0.083 -0.680  0.083 -0.781  0.083 -0.882  0.083 -0.983  0.083 -1.084  0.083 -1.186  0.083 -1.287  0.001 -1.243  -0.086 -1.191  -0.137 -1.258  -0.204 -1.293  -0.152 -1.256  -0.053 -1.240  0.044 -1.219  0.146 -1.219  0.247 -1.219  0.348 -1.219  0.449 -1.219
2#tos#t2#t2061062/o  0.188 1.002  0.040 0.953  -0.020 0.814  -0.104 0.743  -0.261 0.743  -0.417 0.743  -0.469 0.639  -0.625 0.639  -0.695 0.552  -0.747 0.448  -0.799 0.314  -0.799 0.157  -0.865 0.021  -0.903 -0.124  -0.903 -0.280  -0.903 -0.436  -0.903 -0.592  -0.825 -0.725  -0.736 -0.850  -0.675 -0.991  -0.538 -1.058  -0.407 -1.134  -0.255 -1.172  -0.100 -1.179  0.056 -1.179  0.205 -1.162  0.339 -1.087  0.484 -1.029  0.620 -0.954  0.731 -0.844  0.823 -0.719  0.923 -0.600  0.997 -0.466  1.019 -0.314  1.019 -0.158  1.019 -0.002  0.998 0.152  0.967 0.304  0.940 0.444  0.801 0.514  0.710 0.633  0.570 0.691  0.432 0.721  0.329 0.828  0.177 0.847  0.021 0.847  -0.135 0.847  -0.291 0.847  -0.441 0.818  -0.591 0.795
2#tos#t2#t2061062/p  -0.010 0.936  -0.127 0.799  -0.166 0.608  -0.166 0.407  -0.166 0.206  -0.166 0.005  -0.166 -0.196  -0.240 -0.372  -0.283 -0.559  -0.283 -0.760  -0.289 -0.960  -0.322 -1.157  -0.322 -1.357  -0.258 -1.539  -0.235 -1.734  -0.208 -1.818  -0.218 -1.617  -0.228 -1.416  -0.238 -1.216  -0.248 -1.015  -0.258 -0.815  -0.269 -0.614  -0.279 -0.413  -0.289 -0.213  -0.299 -0.012  -0.309 0.189  -0.319 0.389  -0.330 0.590  -0.340 0.791  -0.350 0.991  -0.360 1.192  -0.478 1.112  -0.379 1.112  -0.188 1.159  0.011 1.170  0.212 1.170  0.413 1.170  0.613 1.170  0.762 1.076  0.897 0.955  0.935 0.763  0.965 0.569  0.950 0.375  0.867 0.207  0.742 0.050  0.633 -0.119  0.472 -0.227  0.291 -0.279  0.109 -0.364  -0.088 -0.390
2#tos#t2#t2061062/r  -0.237 1.574  -0.332 1.464  -0.332 1.316  -0.285 1.186  -0.285 1.037  -0.285 0.888  -0.285 0.740  -0.260 0.595  -0.237 0.449  -0.237 0.301  -0.237 0.152  -0.237 0.003  -0.237 -0.146  -0.237 -0.295  -0.237 -0.444  -0.237 -0.593  -0.237 -0.742  -0.237 -0.891  -0.237 -1.040  -0.202 -1.182  -0.147 -1.320  -0.142 -1.468  -0.097 -1.610  -0.094 -1.672  -0.137 -1.533  -0.142 -1.385  -0.142 -1.237  -0.142 -1.088  -0.142 -0.939  -0.142 -0.790  -0.142 -0.641  -0.134 -0.493  -0.098 -0.348  -0.094 -0.200  -0.094 -0.051  -0.051 0.088  0.024 0.215  0.049 0.353  0.049 0.502  0.097 0.604  0.097 0.753  0.192 0.843  0.316 0.897  0.462 0.907  0.611 0.907  0.760 0.907  0.909 0.907  1.056 0.901  1.139 0.811  1.288 0.811
2#tos#t2#t2061062/t  -0.908 0.395  -1.073 0.390  -0.950 0.312  -0.814 0.230  -0.645 0.230  -0.475 0.230  -0.321 0.297  -0.156 0.312  0.014 0.312  0.184 0.312  0.353 0.312  0.523 0.312  0.692 0.312  0.801 0.343  0.700 0.479  0.599 0.616  0.498 0.752  0.397 0.888  0.297 1.024  0.196 1.160  0.095 1.297  -0.010 1.426  -0.125 1.371  -0.166 1.243  -0.207 1.090  -0.207 0.921  -0.207 0.751  -0.207 0.581  -0.248 0.419  -0.248 0.249  -0.309 0.098  -0.331 -0.065  -0.331 -0.235  -0.331 -0.404  -0.331 -0.574  -0.331 -0.743  -0.331 -0.913  -0.331 -1.082  -0.331 -1.252  -0.289 -1.404  -0.176 -1.460  -0.016 -1.419  0.143 -1.371  0.289 -1.294  0.432 -1.213  0.582 -1.166  0.737 -1.131  0.856 -1.048  0.943 -0.966  1.071 -0.924
2#tos#t2#t2061062/u  -0.415 1.425  -0.603 1.421  -0.603 1.228  -0.603 1.034  -0.603 0.841  -0.687 0.683  -0.698 0.494  -0.698 0.301  -0.698 0.108  -0.698 -0.085  -0.698 -0.279  -0.698 -0.472  -0.698 -0.665  -0.698 -0.858  -0.685 -1.048  -0.650 -1.233  -0.556 -1.332  -0.385 -1.353  -0.286 -1.259  -0.115 -1.185  0.009 -1.066  0.049 -0.889  0.150 -0.757  0.209 -0.588  0.245 -0.410  0.339 -0.248  0.391 -0.076  0.433 0.100  0.498 0.266  0.527 0.447  0.527 0.640  0.527 0.833  0.527 1.026  0.527 1.220  0.480 1.366  0.433 1.339  0.433 1.146  0.433 0.953  0.433 0.760  0.374 0.584  0.339 0.402  0.381 0.216  0.386 0.023  0.386 -0.170  0.433 -0.352  0.433 -0.545  0.433 -0.738  0.480 -0.920  0.480 -1.113  0.480 -1.212
2#tos#t2#t2061062/w  -0.957 1.216  -0.875 1.090  -0.875 0.882  -0.875 0.674  -0.875 0.467  -0.833 0.268  -0.833 0.061  -0.833 -0.147  -0.833 -0.355  -0.833 -0.563  -0.833 -0.771  -0.833 -0.979  -0.710 -1.135  -0.613 -1.034  -0.584 -0.838  -0.545 -0.639  -0.505 -0.435  -0.436 -0.239  -0.362 -0.045  -0.288 0.149  -0.218 0.345  -0.143 0.538  -0.114 0.741  -0.092 0.945  0.009 0.929  0.072 0.768  0.072 0.560  0.072 0.352  0.146 0.162  0.155 -0.044  0.155 -0.252  0.155 -0.460  0.155 -0.668  0.196 -0.858  0.248 -1.034  0.361 -1.172  0.439 -1.014  0.476 -0.830  0.654 -0.739  0.690 -0.536  0.770 -0.352  0.800 -0.156  0.937 -0.005  0.946 0.200  1.064 0.370  1.177 0.544  1.184 0.750  1.307 0.892  1.311 1.099  1.348 1.298
2#tos#t2#t2061062/x  -0.770 1.419  -0.830 1.265  -0.893 1.180  -0.761 1.089  -0.616 0.989  -0.549 0.813  -0.444 0.654  -0.375 0.488  -0.240 0.353  -0.198 0.176  -0.096 0.016  -0.030 -0.163  0.073 -0.316  0.190 -0.454  0.249 -0.630  0.325 -0.797  0.424 -0.943  0.529 -1.097  0.594 -1.264  0.673 -1.421  0.676 -1.230  0.679 -1.039  0.682 -0.848  0.685 -0.656  0.689 -0.465  0.692 -0.274  0.695 -0.083  0.698 0.109  0.701 0.300  0.705 0.491  0.708 0.682  0.711 0.873  0.714 1.065  0.591 1.015  0.425 0.965  0.276 0.871  0.137 0.759  -0.010 0.653  -0.084 0.491  -0.199 0.338  -0.305 0.179  -0.381 0.006  -0.469 -0.159  -0.568 -0.322  -0.682 -0.473  -0.818 -0.608  -0.887 -0.780  -1.009 -0.923  -1.125 -1.075  -1.182 -1.220
2#tos#t2#t2061062/z  -0.751 1.123  -0.849 1.079  -0.882 0.970  -0.762 0.948  -0.630 0.909  -0.489 0.904  -0.348 0.904  -0.206 0.904  -0.064 0.904  0.077 0.904  0.219 0.904  0.361 0.904  0.502 0.904  0.644 0.904  0.786 0.904  0.908 0.885  0.887 0.840  0.787 0.740  0.658 0.692  0.556 0.616  0.477 0.498  0.384 0.395  0.285 0.302  0.217 0.188  0.128 0.086  0.015 0.004  -0.032 -0.111  -0.159 -0.174  -0.264 -0.267  -0.364 -0.368  -0.464 -0.468  -0.576 -0.545  -0.590 -0.681  -0.620 -0.810  -0.716 -0.894  -0.800 -0.972  -0.778 -1.016  -0.644 -1.048  -0.505 -1.060  -0.363 -1.060  -0.222 -1.060  -0.080 -1.060  0.062 -1.060  0.199 -1.034  0.338 -1.016  0.480 -1.016  0.609 -0.979  0.722 -0.894  0.861 -0.885  0.995 -0.841
