1b#ced#risn4711_s_1i/M  -0.418 -0.079  -0.418 0.163  -0.459 0.398  -0.479 0.638  -0.560 0.494  -0.620 0.260  -0.672 0.025  -0.723 -0.211  -0.767 -0.448  -0.832 -0.681  -0.878 -0.918  -0.928 -1.155  -0.920 -1.228  -0.860 -0.994  -0.812 -0.758  -0.754 -0.523  -0.723 -0.283  -0.665 -0.049  -0.599 0.184  -0.547 0.420  -0.507 0.658  -0.445 0.892  -0.382 1.125  -0.261 1.252  -0.191 1.022  -0.148 0.784  -0.104 0.546  -0.066 0.307  -0.021 0.070  0.073 -0.152  0.198 -0.345  0.382 -0.211  0.512 -0.008  0.628 0.204  0.726 0.425  0.808 0.652  0.877 0.883  0.984 1.098  1.005 0.950  0.984 0.711  0.962 0.470  0.930 0.230  0.902 -0.010  0.883 -0.251  0.870 -0.492  0.843 -0.732  0.813 -0.972  0.801 -1.214  0.797 -1.455  0.781 -1.695
1b#ced#risn4711_s_1i/F  -0.414 0.128  -0.393 0.310  -0.381 0.398  -0.428 0.219  -0.474 0.039  -0.523 -0.139  -0.568 -0.319  -0.592 -0.504  -0.604 -0.689  -0.634 -0.871  -0.666 -1.054  -0.692 -1.238  -0.710 -1.422  -0.714 -1.607  -0.689 -1.538  -0.636 -1.366  -0.608 -1.182  -0.561 -1.003  -0.509 -0.824  -0.452 -0.648  -0.404 -0.468  -0.342 -0.293  -0.283 -0.117  -0.208 0.053  -0.125 0.219  -0.042 0.386  0.045 0.550  0.133 0.714  0.239 0.865  0.364 1.001  0.514 1.110  0.682 1.188  0.863 1.229  1.046 1.254  1.230 1.269  1.258 1.180  1.134 1.041  1.010 0.903  0.885 0.765  0.761 0.627  0.637 0.489  0.512 0.351  0.388 0.213  0.264 0.076  0.122 -0.042  -0.018 -0.157  -0.108 -0.304  0.047 -0.293  0.228 -0.266  0.411 -0.232
1b#ced#risn4711_s_1i/O  -0.271 0.638  -0.228 0.761  -0.161 0.880  -0.100 1.003  -0.088 1.133  -0.190 1.103  -0.271 0.993  -0.357 0.886  -0.412 0.761  -0.488 0.648  -0.546 0.523  -0.589 0.393  -0.636 0.264  -0.696 0.140  -0.739 0.010  -0.777 -0.122  -0.797 -0.258  -0.804 -0.395  -0.804 -0.532  -0.795 -0.669  -0.770 -0.804  -0.723 -0.931  -0.643 -1.042  -0.530 -1.119  -0.407 -1.180  -0.274 -1.214  -0.137 -1.215  -0.000 -1.207  0.130 -1.170  0.249 -1.101  0.356 -1.015  0.461 -0.927  0.556 -0.829  0.632 -0.714  0.688 -0.589  0.742 -0.463  0.787 -0.334  0.816 -0.200  0.816 -0.062  0.816 0.075  0.810 0.212  0.794 0.348  0.761 0.482  0.730 0.615  0.694 0.747  0.626 0.866  0.558 0.985  0.489 1.105  0.412 1.216  0.306 1.304
1b#ced#risn4711_s_1i/X  -0.658 0.394  -0.785 0.528  -0.889 0.681  -1.016 0.815  -1.137 0.956  -1.217 0.995  -1.105 0.848  -1.012 0.688  -0.901 0.540  -0.799 0.386  -0.692 0.234  -0.598 0.075  -0.496 -0.080  -0.383 -0.227  -0.267 -0.371  -0.163 -0.524  -0.072 -0.686  0.006 -0.854  0.084 -1.021  0.176 -1.183  0.271 -1.341  0.349 -1.509  0.410 -1.414  0.472 -1.239  0.533 -1.065  0.595 -0.890  0.657 -0.715  0.718 -0.540  0.780 -0.365  0.842 -0.191  0.903 -0.016  0.956 0.161  0.977 0.345  0.968 0.530  0.949 0.713  0.922 0.895  0.852 1.063  0.701 1.084  0.542 0.993  0.411 0.862  0.280 0.731  0.159 0.591  0.054 0.439  -0.050 0.286  -0.154 0.132  -0.252 -0.025  -0.335 -0.191  -0.434 -0.347  -0.533 -0.503  -0.616 -0.669
1b#ced#risn4711_s_1i/T  0.326 0.348  0.326 0.535  0.351 0.614  0.399 0.435  0.405 0.249  0.405 0.062  0.405 -0.125  0.381 -0.310  0.352 -0.495  0.352 -0.682  0.334 -0.867  0.326 -1.053  0.320 -1.239  0.295 -1.422  0.246 -1.601  0.205 -1.512  0.151 -1.333  0.097 -1.154  0.042 -0.975  -0.012 -0.796  -0.066 -0.617  -0.121 -0.438  -0.175 -0.259  -0.229 -0.080  -0.284 0.099  -0.344 0.272  -0.525 0.273  -0.709 0.295  -0.896 0.295  -1.083 0.295  -1.270 0.295  -1.457 0.295  -1.484 0.361  -1.303 0.374  -1.118 0.392  -0.933 0.421  -0.747 0.445  -0.564 0.482  -0.381 0.517  -0.195 0.540  -0.010 0.561  0.172 0.607  0.357 0.633  0.542 0.656  0.726 0.689  0.910 0.725  1.095 0.749  1.279 0.780  1.464 0.811  1.647 0.850
1b#ced#risn4711_s_1i/H  -0.431 0.529  -0.399 0.716  -0.399 0.907  -0.434 1.087  -0.558 1.030  -0.589 0.842  -0.589 0.652  -0.589 0.461  -0.612 0.273  -0.620 0.083  -0.652 -0.103  -0.662 -0.293  -0.702 -0.479  -0.718 -0.667  -0.770 -0.851  -0.845 -1.024  -0.982 -1.025  -1.031 -0.842  -1.055 -0.655  -1.085 -0.470  -1.015 -0.297  -0.847 -0.209  -0.664 -0.159  -0.477 -0.134  -0.296 -0.074  -0.114 -0.024  0.073 0.007  0.258 0.037  0.439 0.097  0.592 0.209  0.716 0.353  0.792 0.524  0.833 0.709  0.833 0.900  0.804 1.087  0.775 1.113  0.774 0.924  0.802 0.737  0.802 0.546  0.802 0.356  0.791 0.166  0.770 -0.023  0.770 -0.213  0.775 -0.403  0.802 -0.591  0.802 -0.782  0.802 -0.972  0.789 -1.162  0.770 -1.350  0.770 -1.541
1b#ced#risn4711_s_1i/R  -0.706 0.052  -0.621 0.246  -0.567 0.452  -0.517 0.661  -0.422 0.541  -0.406 0.328  -0.394 0.113  -0.378 -0.101  -0.365 -0.316  -0.365 -0.532  -0.365 -0.747  -0.371 -0.962  -0.396 -1.175  -0.502 -1.360  -0.666 -1.350  -0.746 -1.151  -0.785 -0.941  -0.763 -0.728  -0.739 -0.514  -0.702 -0.301  -0.641 -0.094  -0.565 0.107  -0.475 0.303  -0.382 0.496  -0.262 0.676  -0.135 0.850  -0.001 1.019  0.154 1.168  0.311 1.315  0.496 1.426  0.707 1.454  0.892 1.348  0.999 1.166  0.992 0.954  0.920 0.753  0.814 0.565  0.703 0.381  0.559 0.231  0.383 0.106  0.190 0.013  -0.014 -0.053  -0.077 -0.151  0.094 -0.280  0.247 -0.433  0.412 -0.570  0.584 -0.693  0.726 -0.855  0.892 -0.992  1.044 -1.145  1.210 -1.282
1b#ced#risn4711_s_1i/O  -0.267 0.563  -0.267 0.695  -0.267 0.827  -0.289 0.957  -0.352 1.072  -0.466 1.028  -0.574 0.954  -0.621 0.831  -0.680 0.712  -0.739 0.594  -0.772 0.467  -0.800 0.338  -0.827 0.209  -0.846 0.078  -0.846 -0.054  -0.846 -0.186  -0.826 -0.317  -0.816 -0.448  -0.793 -0.576  -0.742 -0.697  -0.683 -0.816  -0.616 -0.927  -0.504 -0.996  -0.383 -1.050  -0.256 -1.087  -0.126 -1.099  0.006 -1.099  0.131 -1.068  0.255 -1.025  0.377 -0.982  0.483 -0.903  0.588 -0.824  0.682 -0.730  0.765 -0.628  0.828 -0.513  0.875 -0.389  0.917 -0.264  0.945 -0.135  0.953 -0.003  0.953 0.129  0.951 0.261  0.930 0.392  0.886 0.514  0.815 0.625  0.736 0.731  0.648 0.828  0.540 0.904  0.432 0.980  0.318 1.048  0.191 1.082
1b#ced#risn4711_s_1i/W  -0.617 0.667  -0.656 0.822  -0.682 0.979  -0.729 1.133  -0.748 1.092  -0.789 0.936  -0.801 0.776  -0.801 0.615  -0.809 0.455  -0.813 0.297  -0.801 0.137  -0.817 -0.023  -0.810 -0.182  -0.801 -0.342  -0.801 -0.503  -0.801 -0.664  -0.783 -0.824  -0.760 -0.910  -0.704 -0.759  -0.657 -0.605  -0.617 -0.449  -0.578 -0.293  -0.533 -0.138  -0.494 0.018  -0.423 0.160  -0.329 0.286  -0.172 0.313  -0.076 0.198  0.034 0.081  0.124 -0.052  0.214 -0.186  0.304 -0.320  0.410 -0.440  0.499 -0.575  0.588 -0.709  0.677 -0.838  0.797 -0.944  0.922 -0.879  0.960 -0.723  1.000 -0.568  1.039 -0.411  1.092 -0.260  1.119 -0.101  1.146 0.058  1.176 0.216  1.202 0.375  1.228 0.534  1.255 0.693  1.290 0.850  1.323 1.008
1b#ced#risn4711_s_1i/D  -0.568 0.237  -0.505 0.415  -0.483 0.602  -0.457 0.788  -0.495 0.673  -0.495 0.484  -0.520 0.298  -0.529 0.109  -0.544 -0.079  -0.569 -0.266  -0.592 -0.454  -0.592 -0.644  -0.626 -0.830  -0.635 -0.904  -0.616 -0.716  -0.597 -0.527  -0.578 -0.338  -0.585 -0.151  -0.568 0.034  -0.592 0.220  -0.634 0.404  -0.640 0.592  -0.609 0.776  -0.466 0.900  -0.287 0.956  -0.100 0.987  0.089 0.987  0.279 0.987  0.466 0.959  0.652 0.926  0.832 0.867  0.994 0.771  1.146 0.657  1.278 0.524  1.367 0.357  1.374 0.173  1.300 -0.001  1.202 -0.163  1.079 -0.306  0.946 -0.441  0.823 -0.585  0.684 -0.714  0.531 -0.825  0.369 -0.923  0.195 -0.997  0.015 -1.056  -0.163 -1.121  -0.338 -1.190  -0.523 -1.227  -0.713 -1.227
1b#ced#risn4711_s_1i/O  -0.002 0.583  -0.016 0.723  -0.027 0.864  -0.068 0.994  -0.096 1.127  -0.215 1.184  -0.339 1.120  -0.428 1.008  -0.520 0.901  -0.570 0.768  -0.626 0.637  -0.660 0.499  -0.693 0.360  -0.732 0.223  -0.754 0.082  -0.754 -0.060  -0.754 -0.203  -0.754 -0.346  -0.754 -0.489  -0.733 -0.630  -0.686 -0.764  -0.633 -0.896  -0.539 -1.002  -0.441 -1.102  -0.327 -1.184  -0.198 -1.236  -0.066 -1.279  0.076 -1.263  0.215 -1.235  0.348 -1.183  0.452 -1.086  0.562 -0.995  0.657 -0.889  0.736 -0.771  0.785 -0.639  0.818 -0.501  0.849 -0.363  0.849 -0.220  0.849 -0.078  0.829 0.063  0.783 0.198  0.724 0.328  0.662 0.456  0.589 0.579  0.510 0.697  0.423 0.809  0.330 0.916  0.226 1.013  0.112 1.098  -0.002 1.184
1b#ced#risn4711_s_1i/G  -0.427 1.022  -0.346 1.169  -0.288 1.326  -0.250 1.487  -0.332 1.537  -0.407 1.395  -0.511 1.263  -0.604 1.123  -0.663 0.966  -0.723 0.810  -0.782 0.653  -0.792 0.486  -0.820 0.320  -0.832 0.153  -0.855 -0.014  -0.832 -0.180  -0.824 -0.347  -0.794 -0.513  -0.740 -0.670  -0.655 -0.815  -0.564 -0.956  -0.435 -1.063  -0.287 -1.140  -0.125 -1.115  0.030 -1.051  0.138 -0.927  0.228 -0.786  0.306 -0.640  0.365 -0.484  0.406 -0.320  0.397 -0.157  0.396 0.011  0.347 0.171  0.240 0.300  0.094 0.376  0.129 0.351  0.297 0.351  0.463 0.325  0.631 0.325  0.794 0.304  0.939 0.229  0.960 0.072  0.949 -0.095  0.920 -0.258  0.878 -0.421  0.853 -0.586  0.807 -0.748  0.802 -0.915  0.767 -1.079  0.751 -1.245
1b#ced#risn4711_s_1i/S  0.433 0.734  0.535 0.802  0.637 0.870  0.715 0.951  0.715 1.074  0.667 1.167  0.554 1.198  0.433 1.174  0.317 1.135  0.199 1.100  0.086 1.058  -0.017 0.989  -0.119 0.921  -0.221 0.853  -0.323 0.785  -0.415 0.704  -0.511 0.628  -0.589 0.536  -0.650 0.430  -0.708 0.321  -0.759 0.212  -0.685 0.126  -0.567 0.153  -0.445 0.161  -0.326 0.191  -0.206 0.215  -0.083 0.215  0.037 0.201  0.143 0.142  0.238 0.064  0.321 -0.026  0.381 -0.132  0.434 -0.242  0.464 -0.355  0.464 -0.478  0.464 -0.601  0.427 -0.718  0.396 -0.837  0.348 -0.949  0.272 -1.045  0.182 -1.128  0.083 -1.201  -0.027 -1.255  -0.126 -1.327  -0.234 -1.384  -0.350 -1.424  -0.470 -1.448  -0.585 -1.492  -0.703 -1.524  -0.824 -1.544
1b#ced#risn4711_s_1i/Q  0.037 1.309  0.073 1.499  -0.082 1.422  -0.167 1.239  -0.265 1.062  -0.350 0.878  -0.419 0.687  -0.489 0.496  -0.571 0.311  -0.639 0.120  -0.701 -0.074  -0.756 -0.270  -0.788 -0.472  -0.823 -0.672  -0.813 -0.875  -0.733 -1.059  -0.624 -1.228  -0.450 -1.332  -0.261 -1.353  -0.068 -1.289  0.101 -1.176  0.254 -1.043  0.392 -0.893  0.494 -0.718  0.580 -0.534  0.636 -0.338  0.677 -0.139  0.688 0.064  0.688 0.268  0.657 0.469  0.586 0.660  0.501 0.845  0.387 1.013  0.234 1.141  0.052 1.230  -0.141 1.202  -0.249 1.036  -0.289 0.838  -0.278 0.635  -0.209 0.445  -0.139 0.254  -0.047 0.072  0.052 -0.105  0.143 -0.288  0.253 -0.459  0.352 -0.637  0.467 -0.804  0.561 -0.983  0.680 -1.148  0.804 -1.308
1b#ced#risn4711_s_1i/U  -0.857 0.401  -0.835 0.520  -0.830 0.640  -0.830 0.761  -0.813 0.878  -0.773 0.992  -0.763 1.112  -0.736 0.995  -0.729 0.875  -0.712 0.755  -0.709 0.634  -0.688 0.515  -0.682 0.394  -0.670 0.274  -0.655 0.154  -0.655 0.033  -0.620 -0.082  -0.591 -0.199  -0.568 -0.318  -0.530 -0.433  -0.503 -0.551  -0.454 -0.660  -0.390 -0.762  -0.320 -0.861  -0.242 -0.953  -0.156 -1.039  -0.053 -1.093  0.065 -1.122  0.180 -1.103  0.296 -1.069  0.399 -1.006  0.496 -0.938  0.571 -0.844  0.646 -0.751  0.692 -0.639  0.754 -0.535  0.784 -0.420  0.804 -0.300  0.823 -0.181  0.840 -0.061  0.859 0.059  0.879 0.178  0.899 0.298  0.902 0.418  0.905 0.539  0.925 0.659  0.929 0.779  0.909 0.898  0.902 1.018  0.902 1.139
1b#ced#risn4711_s_1i/A  -0.744 0.383  -0.654 0.618  -0.579 0.864  -0.445 1.083  -0.317 0.945  -0.359 0.686  -0.411 0.427  -0.482 0.173  -0.529 -0.087  -0.602 -0.340  -0.673 -0.593  -0.760 -0.842  -0.844 -1.092  -0.951 -1.333  -0.844 -1.114  -0.757 -0.866  -0.679 -0.614  -0.555 -0.381  -0.467 -0.133  -0.364 0.109  -0.273 0.357  -0.222 0.614  -0.086 0.841  0.050 1.067  0.209 1.276  0.404 1.433  0.633 1.339  0.769 1.116  0.878 0.876  0.978 0.631  1.018 0.370  1.057 0.109  1.098 -0.152  1.071 -0.414  1.071 -0.678  1.041 -0.939  0.999 -1.198  0.847 -1.276  0.649 -1.101  0.452 -0.926  0.254 -0.751  0.056 -0.575  -0.142 -0.400  -0.288 -0.194  -0.448 0.013  -0.536 0.158  -0.276 0.128  -0.012 0.128  0.252 0.128  0.516 0.128
1b#ced#risn4711_s_1i/R  -0.565 -0.097  -0.502 0.121  -0.482 0.354  -0.454 0.585  -0.482 0.714  -0.593 0.516  -0.618 0.281  -0.636 0.047  -0.654 -0.188  -0.693 -0.421  -0.732 -0.654  -0.778 -0.885  -0.788 -1.120  -0.843 -1.293  -0.821 -1.061  -0.750 -0.836  -0.705 -0.605  -0.634 -0.380  -0.554 -0.159  -0.456 0.056  -0.367 0.274  -0.247 0.477  -0.116 0.673  0.028 0.860  0.189 1.033  0.375 1.178  0.581 1.290  0.815 1.306  1.034 1.227  1.193 1.063  1.263 0.842  1.180 0.625  1.013 0.461  0.804 0.351  0.595 0.241  0.373 0.174  0.138 0.153  -0.094 0.125  -0.330 0.130  -0.480 0.109  -0.308 -0.049  -0.129 -0.202  0.052 -0.353  0.237 -0.500  0.412 -0.657  0.578 -0.825  0.737 -0.998  0.898 -1.169  1.072 -1.326  1.242 -1.487
1b#ced#risn4711_s_1i/T  0.264 0.145  0.334 0.304  0.359 0.475  0.413 0.496  0.414 0.322  0.389 0.152  0.386 -0.023  0.364 -0.195  0.355 -0.369  0.339 -0.542  0.328 -0.716  0.302 -0.888  0.289 -1.061  0.269 -1.234  0.234 -1.405  0.206 -1.573  0.115 -1.605  0.047 -1.445  -0.022 -1.284  -0.090 -1.124  -0.158 -0.963  -0.227 -0.803  -0.295 -0.643  -0.363 -0.482  -0.432 -0.322  -0.500 -0.161  -0.568 -0.001  -0.637 0.160  -0.712 0.317  -0.796 0.469  -0.899 0.609  -1.033 0.719  -1.166 0.826  -1.234 0.753  -1.072 0.709  -0.899 0.693  -0.725 0.693  -0.550 0.693  -0.376 0.693  -0.202 0.693  -0.027 0.689  0.146 0.668  0.320 0.668  0.494 0.668  0.669 0.675  0.843 0.686  1.017 0.693  1.190 0.706  1.364 0.718  1.536 0.743
1b#ced#risn4711_s_1i/Z  -0.976 0.635  -1.094 0.712  -1.171 0.788  -1.041 0.762  -0.899 0.773  -0.757 0.780  -0.616 0.796  -0.475 0.808  -0.334 0.819  -0.193 0.842  -0.051 0.843  0.090 0.866  0.231 0.886  0.371 0.913  0.511 0.933  0.652 0.950  0.793 0.956  0.911 0.897  0.903 0.763  0.807 0.664  0.728 0.547  0.628 0.447  0.516 0.358  0.405 0.270  0.303 0.170  0.192 0.080  0.086 -0.015  -0.015 -0.115  -0.115 -0.216  -0.225 -0.307  -0.328 -0.405  -0.428 -0.507  -0.520 -0.614  -0.619 -0.714  -0.721 -0.809  -0.768 -0.941  -0.681 -1.031  -0.543 -1.043  -0.402 -1.031  -0.262 -1.053  -0.122 -1.031  0.020 -1.031  0.162 -1.017  0.302 -0.994  0.442 -0.967  0.583 -0.943  0.722 -0.916  0.862 -0.887  0.999 -0.847  1.137 -0.824
1b#ced#risn4711_s_1i/G  -0.230 0.935  -0.178 1.122  -0.133 1.308  -0.120 1.501  -0.133 1.690  -0.226 1.585  -0.291 1.402  -0.350 1.219  -0.424 1.040  -0.507 0.865  -0.575 0.684  -0.630 0.498  -0.672 0.308  -0.723 0.121  -0.760 -0.069  -0.791 -0.261  -0.800 -0.455  -0.798 -0.645  -0.771 -0.834  -0.682 -1.006  -0.541 -1.136  -0.350 -1.157  -0.163 -1.111  -0.004 -1.001  0.108 -0.843  0.218 -0.686  0.235 -0.494  0.226 -0.301  0.140 -0.133  0.014 0.014  -0.150 0.112  -0.331 0.176  -0.431 0.137  -0.242 0.152  -0.050 0.176  0.142 0.190  0.331 0.237  0.520 0.274  0.707 0.325  0.895 0.372  0.955 0.233  0.914 0.043  0.895 -0.150  0.877 -0.342  0.861 -0.535  0.825 -0.725  0.797 -0.917  0.797 -1.111  0.797 -1.306  0.797 -1.500
1b#ced#risn4711_s_1i/L  -0.430 0.875  -0.430 0.971  -0.430 1.067  -0.410 1.159  -0.404 1.255  -0.385 1.349  -0.385 1.426  -0.385 1.330  -0.385 1.234  -0.385 1.139  -0.392 1.043  -0.408 0.949  -0.408 0.853  -0.408 0.757  -0.419 0.662  -0.430 0.567  -0.430 0.471  -0.430 0.375  -0.430 0.279  -0.430 0.183  -0.430 0.087  -0.430 -0.009  -0.430 -0.105  -0.430 -0.201  -0.430 -0.297  -0.430 -0.393  -0.414 -0.486  -0.408 -0.581  -0.401 -0.675  -0.354 -0.758  -0.277 -0.815  -0.186 -0.796  -0.092 -0.808  0.002 -0.808  0.096 -0.789  0.190 -0.771  0.284 -0.752  0.380 -0.751  0.475 -0.736  0.569 -0.719  0.664 -0.706  0.760 -0.706  0.856 -0.706  0.951 -0.700  1.046 -0.685  1.141 -0.669  1.236 -0.661  1.332 -0.661  1.426 -0.646  1.521 -0.639
1b#ced#risn4711_s_1i/Y  -0.863 0.560  -0.880 0.714  -0.915 0.867  -0.939 1.020  -0.959 1.026  -0.926 0.876  -0.884 0.725  -0.841 0.575  -0.796 0.425  -0.732 0.282  -0.666 0.140  -0.606 -0.005  -0.511 -0.129  -0.436 -0.267  -0.331 -0.379  -0.191 -0.446  -0.048 -0.400  0.067 -0.295  0.153 -0.165  0.230 -0.028  0.307 0.108  0.372 0.251  0.430 0.396  0.500 0.537  0.566 0.678  0.604 0.830  0.667 0.974  0.745 1.109  0.815 1.106  0.787 0.955  0.737 0.807  0.707 0.653  0.664 0.502  0.621 0.352  0.577 0.201  0.526 0.053  0.470 -0.094  0.408 -0.238  0.361 -0.387  0.311 -0.536  0.256 -0.683  0.206 -0.832  0.151 -0.978  0.090 -1.123  0.035 -1.270  -0.031 -1.412  -0.093 -1.555  -0.162 -1.696  -0.239 -1.833  -0.311 -1.970
1b#ced#risn4711_s_1i/P  -0.210 -0.145  -0.210 0.047  -0.210 0.238  -0.210 0.430  -0.183 0.619  -0.156 0.565  -0.183 0.377  -0.192 0.186  -0.229 -0.002  -0.259 -0.191  -0.284 -0.381  -0.314 -0.570  -0.342 -0.759  -0.392 -0.944  -0.426 -1.132  -0.457 -1.321  -0.508 -1.504  -0.571 -1.684  -0.666 -1.649  -0.656 -1.458  -0.639 -1.269  -0.613 -1.079  -0.583 -0.890  -0.559 -0.700  -0.535 -0.510  -0.490 -0.324  -0.427 -0.143  -0.364 0.038  -0.286 0.212  -0.205 0.386  -0.122 0.558  -0.025 0.723  0.088 0.877  0.224 1.012  0.359 1.148  0.513 1.259  0.686 1.339  0.875 1.352  1.053 1.283  1.119 1.121  1.157 0.936  1.119 0.749  1.046 0.573  0.924 0.426  0.779 0.302  0.640 0.171  0.486 0.056  0.313 -0.017  0.147 -0.112  -0.022 -0.198
1b#ced#risn4711_s_1i/H  -0.597 0.913  -0.564 1.120  -0.445 1.269  -0.405 1.098  -0.405 0.887  -0.433 0.679  -0.439 0.469  -0.481 0.262  -0.489 0.052  -0.521 -0.157  -0.552 -0.366  -0.587 -0.574  -0.622 -0.782  -0.663 -0.989  -0.704 -1.196  -0.748 -1.402  -0.733 -1.296  -0.733 -1.085  -0.706 -0.878  -0.706 -0.667  -0.706 -0.456  -0.706 -0.245  -0.583 -0.107  -0.378 -0.057  -0.167 -0.057  0.042 -0.041  0.250 -0.017  0.457 0.011  0.643 0.108  0.790 0.258  0.880 0.445  0.853 0.653  0.808 0.857  0.750 1.059  0.701 1.264  0.652 1.397  0.634 1.188  0.625 0.978  0.607 0.769  0.607 0.558  0.568 0.350  0.552 0.141  0.534 -0.069  0.525 -0.279  0.505 -0.489  0.473 -0.697  0.439 -0.906  0.406 -1.114  0.388 -1.323  0.388 -1.534
1b#ced#risn4711_s_1i/V  -0.397 0.240  -0.475 0.338  -0.550 0.437  -0.625 0.537  -0.699 0.638  -0.779 0.733  -0.859 0.829  -0.915 0.938  -0.994 1.035  -1.036 1.013  -1.002 0.894  -0.953 0.779  -0.897 0.667  -0.838 0.557  -0.774 0.450  -0.714 0.341  -0.665 0.226  -0.618 0.110  -0.564 -0.002  -0.502 -0.111  -0.440 -0.219  -0.378 -0.328  -0.313 -0.435  -0.241 -0.536  -0.180 -0.645  -0.124 -0.757  -0.061 -0.865  0.014 -0.965  0.097 -1.058  0.185 -1.146  0.297 -1.199  0.408 -1.152  0.489 -1.062  0.545 -0.950  0.609 -0.843  0.651 -0.726  0.687 -0.606  0.728 -0.488  0.775 -0.372  0.805 -0.251  0.849 -0.134  0.896 -0.019  0.940 0.098  0.971 0.219  1.001 0.341  1.036 0.461  1.100 0.568  1.135 0.688  1.163 0.809  1.212 0.924
1b#ced#risn4711_s_1i/E  -0.265 0.593  -0.197 0.764  -0.242 0.837  -0.340 0.689  -0.466 0.562  -0.544 0.396  -0.594 0.218  -0.655 0.044  -0.703 -0.133  -0.736 -0.315  -0.736 -0.499  -0.720 -0.682  -0.654 -0.852  -0.562 -1.012  -0.440 -1.145  -0.291 -1.253  -0.133 -1.346  0.047 -1.384  0.229 -1.407  0.413 -1.407  0.591 -1.361  0.649 -1.247  0.597 -1.070  0.546 -0.892  0.495 -0.715  0.443 -0.538  0.392 -0.361  0.257 -0.274  0.079 -0.230  -0.105 -0.230  -0.289 -0.230  -0.398 -0.188  -0.221 -0.137  -0.043 -0.089  0.134 -0.038  0.293 0.052  0.385 0.193  0.411 0.375  0.437 0.558  0.462 0.741  0.488 0.923  0.470 1.083  0.301 1.155  0.130 1.224  -0.049 1.270  -0.110 1.335  0.055 1.412  0.221 1.488  0.394 1.550  0.575 1.568
1b#ced#risn4711_s_1i/X  -1.190 0.215  -1.313 0.352  -1.396 0.518  -1.479 0.684  -1.316 0.606  -1.144 0.537  -0.972 0.468  -0.823 0.358  -0.663 0.267  -0.531 0.137  -0.383 0.025  -0.238 -0.090  -0.084 -0.193  0.059 -0.310  0.200 -0.428  0.354 -0.532  0.485 -0.663  0.629 -0.780  0.751 -0.918  0.876 -1.054  1.000 -1.174  0.946 -0.997  0.891 -0.819  0.840 -0.641  0.804 -0.459  0.785 -0.276  0.785 -0.090  0.780 0.095  0.749 0.277  0.762 0.461  0.785 0.644  0.785 0.830  0.785 1.015  0.760 1.197  0.614 1.163  0.483 1.033  0.372 0.884  0.263 0.734  0.167 0.575  0.064 0.421  -0.051 0.277  -0.171 0.135  -0.278 -0.016  -0.374 -0.174  -0.461 -0.338  -0.578 -0.482  -0.688 -0.630  -0.786 -0.788  -0.881 -0.947  -0.973 -1.108
1b#ced#risn4711_s_1i/E  -0.271 1.076  -0.428 1.191  -0.567 1.091  -0.617 0.892  -0.667 0.693  -0.719 0.494  -0.732 0.290  -0.767 0.087  -0.779 -0.117  -0.805 -0.321  -0.805 -0.526  -0.778 -0.729  -0.690 -0.914  -0.538 -1.049  -0.362 -1.146  -0.168 -1.209  0.036 -1.222  0.241 -1.236  0.444 -1.206  0.646 -1.172  0.848 -1.135  1.043 -1.069  1.223 -0.993  1.068 -0.858  0.913 -0.723  0.758 -0.588  0.603 -0.453  0.448 -0.318  0.266 -0.230  0.067 -0.181  -0.133 -0.132  -0.332 -0.093  -0.483 -0.012  -0.285 -0.003  -0.086 0.047  0.116 0.074  0.312 0.127  0.515 0.151  0.531 0.343  0.531 0.548  0.531 0.754  0.364 0.839  0.186 0.941  -0.008 1.008  -0.210 1.034  -0.400 1.110  -0.318 1.167  -0.118 1.210  0.086 1.229  0.291 1.236
1b#ced#risn4711_s_1i/D  -0.339 0.511  -0.405 0.665  -0.492 0.811  -0.507 0.772  -0.527 0.603  -0.556 0.436  -0.602 0.272  -0.626 0.104  -0.649 -0.065  -0.674 -0.234  -0.696 -0.402  -0.722 -0.571  -0.731 -0.741  -0.746 -0.723  -0.746 -0.552  -0.746 -0.381  -0.746 -0.210  -0.746 -0.039  -0.756 0.131  -0.790 0.299  -0.796 0.469  -0.818 0.638  -0.812 0.807  -0.678 0.893  -0.508 0.882  -0.341 0.846  -0.181 0.786  -0.017 0.738  0.146 0.684  0.306 0.624  0.463 0.556  0.620 0.489  0.776 0.419  0.929 0.343  1.080 0.262  1.204 0.148  1.300 0.007  1.389 -0.139  1.430 -0.302  1.368 -0.458  1.269 -0.596  1.134 -0.698  0.990 -0.792  0.848 -0.886  0.692 -0.956  0.529 -1.006  0.365 -1.055  0.203 -1.104  0.033 -1.108  -0.124 -1.176
