2#tos#t2#t2024062/!  0.658 1.568  0.658 1.496  0.614 1.439  0.569 1.382  0.524 1.326  0.509 1.259  0.509 1.187  0.506 1.115  0.470 1.053  0.434 0.990  0.398 0.927  0.362 0.865  0.320 0.806  0.276 0.749  0.243 0.686  0.229 0.615  0.215 0.545  0.184 0.480  0.147 0.418  0.110 0.356  0.099 0.287  0.077 0.220  0.045 0.155  0.012 0.091  -0.024 0.029  -0.075 -0.022  -0.087 -0.089  -0.087 -0.161  -0.093 -0.232  -0.125 -0.297  -0.158 -0.362  -0.207 -0.414  -0.236 -0.474  -0.236 -0.546  -0.293 -0.584  -0.327 -0.642  -0.350 -0.711  -0.373 -0.779  -0.396 -0.848  -0.419 -0.916  -0.441 -0.985  -0.460 -1.054  -0.465 -1.125  -0.497 -1.190  -0.497 -1.262  -0.497 -1.334  -0.483 -1.403  -0.460 -1.470  -0.460 -1.542  -0.423 -1.599
2#tos#t2#t2024062/L  -0.388 1.549  -0.476 1.549  -0.508 1.472  -0.514 1.385  -0.514 1.297  -0.514 1.209  -0.514 1.121  -0.514 1.033  -0.514 0.944  -0.514 0.856  -0.514 0.768  -0.514 0.680  -0.514 0.592  -0.514 0.504  -0.514 0.416  -0.514 0.328  -0.514 0.240  -0.514 0.152  -0.514 0.064  -0.514 -0.024  -0.514 -0.112  -0.514 -0.200  -0.514 -0.288  -0.514 -0.376  -0.514 -0.464  -0.514 -0.552  -0.463 -0.589  -0.375 -0.589  -0.287 -0.589  -0.199 -0.589  -0.111 -0.589  -0.023 -0.589  0.065 -0.589  0.153 -0.589  0.241 -0.589  0.329 -0.589  0.417 -0.589  0.506 -0.589  0.594 -0.589  0.682 -0.589  0.770 -0.589  0.858 -0.589  0.946 -0.589  1.034 -0.589  1.122 -0.589  1.210 -0.589  1.298 -0.589  1.386 -0.589  1.474 -0.589  1.562 -0.589
2#tos#t2#t2024062/N  -0.985 -0.907  -0.980 -1.022  -0.951 -0.873  -0.934 -0.722  -0.893 -0.574  -0.856 -0.425  -0.851 -0.273  -0.851 -0.119  -0.851 0.034  -0.851 0.187  -0.829 0.339  -0.781 0.484  -0.721 0.625  -0.716 0.777  -0.716 0.930  -0.716 1.084  -0.651 1.172  -0.552 1.074  -0.448 0.963  -0.412 0.822  -0.333 0.693  -0.301 0.543  -0.272 0.396  -0.181 0.286  -0.110 0.151  -0.046 0.019  -0.009 -0.123  0.080 -0.248  0.159 -0.379  0.256 -0.484  0.282 -0.623  0.402 -0.718  0.474 -0.840  0.557 -0.938  0.613 -1.052  0.745 -1.055  0.764 -0.908  0.789 -0.757  0.862 -0.623  0.911 -0.480  0.926 -0.328  0.926 -0.174  0.945 -0.023  0.971 0.129  0.993 0.280  0.993 0.434  0.998 0.586  1.027 0.736  1.061 0.884  1.061 1.038
2#tos#t2#t2024062/O  0.031 0.677  0.110 0.743  0.096 0.874  -0.049 0.874  -0.194 0.874  -0.333 0.849  -0.442 0.771  -0.485 0.651  -0.610 0.576  -0.731 0.497  -0.808 0.378  -0.910 0.285  -0.992 0.166  -1.011 0.029  -1.033 -0.107  -1.033 -0.252  -1.033 -0.397  -0.996 -0.536  -0.933 -0.666  -0.863 -0.793  -0.761 -0.896  -0.635 -0.942  -0.521 -1.018  -0.378 -1.026  -0.238 -1.057  -0.093 -1.057  0.052 -1.057  0.183 -1.023  0.309 -0.978  0.447 -0.932  0.578 -0.874  0.694 -0.787  0.716 -0.653  0.823 -0.564  0.852 -0.421  0.894 -0.283  0.898 -0.138  0.918 0.005  0.938 0.148  0.938 0.293  0.938 0.438  0.938 0.583  0.909 0.720  0.804 0.795  0.667 0.820  0.551 0.907  0.408 0.913  0.264 0.911  0.134 0.846  -0.008 0.834
2#tos#t2#t2024062/P  -0.124 1.048  -0.195 1.033  -0.195 0.833  -0.195 0.632  -0.195 0.431  -0.195 0.231  -0.217 0.032  -0.231 -0.168  -0.231 -0.368  -0.282 -0.560  -0.302 -0.758  -0.302 -0.958  -0.302 -1.159  -0.302 -1.360  -0.272 -1.557  -0.266 -1.757  -0.230 -1.853  -0.227 -1.653  -0.224 -1.452  -0.222 -1.252  -0.219 -1.051  -0.216 -0.850  -0.213 -0.650  -0.210 -0.449  -0.207 -0.248  -0.205 -0.048  -0.202 0.153  -0.199 0.353  -0.196 0.554  -0.268 0.731  -0.373 0.888  -0.373 1.089  -0.303 1.260  -0.102 1.261  0.063 1.297  0.263 1.297  0.443 1.226  0.622 1.154  0.787 1.048  0.868 0.873  0.920 0.704  0.941 0.516  0.899 0.332  0.826 0.167  0.647 0.082  0.490 -0.043  0.324 -0.156  0.161 -0.273  -0.030 -0.301  -0.231 -0.301
2#tos#t2#t2024062/Q  0.385 -0.046  0.489 -0.204  0.558 -0.388  0.431 -0.556  0.242 -0.644  0.031 -0.727  -0.191 -0.775  -0.424 -0.775  -0.654 -0.750  -0.873 -0.677  -1.078 -0.566  -1.212 -0.437  -1.323 -0.255  -1.351 -0.027  -1.351 0.206  -1.327 0.429  -1.218 0.631  -1.043 0.774  -0.849 0.888  -0.686 1.026  -0.468 1.107  -0.241 1.134  -0.014 1.169  0.219 1.169  0.452 1.162  0.664 1.080  0.837 0.925  1.009 0.789  1.097 0.576  1.114 0.347  1.114 0.114  0.978 -0.067  0.899 -0.259  0.688 -0.346  0.564 -0.518  0.360 -0.595  0.164 -0.710  -0.065 -0.740  -0.298 -0.740  -0.470 -0.614  -0.483 -0.386  -0.483 -0.153  -0.299 -0.052  -0.066 -0.046  0.167 -0.046  0.391 -0.084  0.585 -0.212  0.796 -0.308  1.014 -0.359  1.218 -0.463
2#tos#t2#t2024062/R  -0.004 1.485  -0.183 1.397  -0.212 1.132  -0.218 0.866  -0.290 0.620  -0.306 0.354  -0.326 0.088  -0.398 -0.162  -0.436 -0.420  -0.505 -0.678  -0.518 -0.944  -0.540 -1.209  -0.540 -1.476  -0.540 -1.724  -0.530 -1.457  -0.521 -1.190  -0.511 -0.923  -0.501 -0.656  -0.491 -0.389  -0.482 -0.122  -0.472 0.145  -0.605 0.349  -0.755 0.507  -0.713 0.762  -0.530 0.923  -0.326 1.092  -0.064 1.142  0.202 1.163  0.469 1.163  0.727 1.117  0.893 0.944  0.998 0.714  0.997 0.447  0.927 0.199  0.713 0.046  0.494 -0.091  0.252 -0.183  0.022 -0.314  -0.195 -0.430  -0.461 -0.446  -0.373 -0.362  -0.133 -0.243  0.106 -0.123  0.282 -0.006  0.510 -0.030  0.714 -0.199  0.896 -0.394  1.031 -0.605  1.160 -0.823  1.284 -1.054
2#tos#t2#t2024062/T  -1.332 0.395  -1.391 0.294  -1.519 0.252  -1.442 0.278  -1.310 0.319  -1.174 0.328  -1.042 0.369  -0.908 0.400  -0.772 0.423  -0.634 0.431  -0.496 0.431  -0.358 0.431  -0.221 0.431  -0.083 0.431  0.051 0.463  0.185 0.496  0.322 0.503  0.460 0.503  0.598 0.503  0.736 0.503  0.874 0.503  1.012 0.503  1.150 0.503  1.153 0.503  1.016 0.503  0.878 0.503  0.740 0.503  0.602 0.503  0.464 0.503  0.326 0.503  0.191 0.492  0.067 0.431  -0.002 0.362  -0.002 0.224  -0.002 0.087  -0.002 -0.051  0.022 -0.183  0.093 -0.301  0.106 -0.435  0.106 -0.573  0.106 -0.711  0.113 -0.848  0.130 -0.985  0.142 -1.123  0.142 -1.260  0.150 -1.397  0.178 -1.532  0.178 -1.670  0.181 -1.807  0.214 -1.941
2#tos#t2#t2024062/V  -0.923 1.096  -1.042 1.096  -1.000 1.070  -0.915 0.994  -0.878 0.881  -0.846 0.767  -0.813 0.653  -0.763 0.546  -0.732 0.434  -0.732 0.316  -0.683 0.211  -0.622 0.109  -0.596 -0.006  -0.579 -0.123  -0.579 -0.242  -0.549 -0.355  -0.505 -0.465  -0.436 -0.561  -0.371 -0.660  -0.318 -0.766  -0.265 -0.872  -0.206 -0.975  -0.135 -1.069  -0.051 -1.153  0.049 -1.215  0.158 -1.237  0.253 -1.194  0.301 -1.089  0.301 -0.971  0.374 -0.878  0.448 -0.785  0.467 -0.669  0.482 -0.552  0.500 -0.434  0.523 -0.318  0.530 -0.200  0.530 -0.082  0.539 0.033  0.623 0.117  0.707 0.201  0.721 0.314  0.721 0.432  0.734 0.548  0.787 0.654  0.798 0.770  0.798 0.889  0.798 1.007  0.798 1.126  0.798 1.245  0.798 1.363
2#tos#t2#t2024062/X  -1.034 1.030  -1.225 1.030  -1.159 1.069  -1.032 0.949  -0.918 0.797  -0.769 0.678  -0.613 0.567  -0.538 0.394  -0.428 0.239  -0.310 0.088  -0.209 -0.073  -0.111 -0.230  0.064 -0.304  0.178 -0.458  0.263 -0.629  0.358 -0.792  0.522 -0.881  0.609 -1.050  0.700 -1.212  0.732 -1.153  0.746 -0.963  0.761 -0.772  0.776 -0.582  0.790 -0.391  0.805 -0.201  0.820 -0.010  0.834 0.180  0.849 0.371  0.864 0.561  0.878 0.752  0.733 0.820  0.559 0.873  0.488 0.993  0.451 1.147  0.324 1.024  0.198 0.894  0.146 0.710  0.135 0.521  -0.014 0.401  -0.108 0.241  -0.200 0.075  -0.308 -0.083  -0.427 -0.232  -0.474 -0.413  -0.554 -0.581  -0.660 -0.740  -0.753 -0.907  -0.848 -1.072  -0.933 -1.242  -0.956 -1.430
2#tos#t2#t2024062/Y  -1.133 1.105  -1.255 1.047  -1.177 0.912  -1.069 0.804  -0.985 0.685  -0.921 0.548  -0.811 0.438  -0.789 0.291  -0.738 0.148  -0.645 0.023  -0.580 -0.113  -0.530 -0.254  -0.404 -0.316  -0.248 -0.316  -0.094 -0.311  0.024 -0.212  0.162 -0.140  0.249 -0.010  0.346 0.111  0.427 0.241  0.477 0.385  0.602 0.479  0.656 0.617  0.719 0.750  0.843 0.843  0.848 0.997  0.845 1.144  0.752 1.019  0.660 0.893  0.567 0.768  0.474 0.642  0.381 0.517  0.289 0.391  0.196 0.266  0.116 0.136  0.073 0.023  -0.002 -0.058  0.024 -0.195  0.073 -0.342  0.096 -0.495  0.116 -0.649  0.116 -0.805  0.116 -0.961  0.116 -1.117  0.117 -1.273  0.143 -1.427  0.159 -1.581  0.202 -1.727  0.202 -1.883  0.202 -2.039
2#tos#t2#t2024062/b  -0.896 0.377  -1.054 0.247  -1.132 0.161  -1.058 -0.018  -0.869 -0.112  -0.664 -0.142  -0.453 -0.132  -0.245 -0.099  -0.042 -0.052  0.152 0.004  0.265 0.174  0.462 0.252  0.627 0.366  0.767 0.524  0.837 0.707  0.837 0.919  0.837 1.130  0.794 1.332  0.710 1.460  0.498 1.460  0.296 1.417  0.139 1.284  -0.030 1.156  -0.170 1.015  -0.214 0.808  -0.291 0.613  -0.408 0.437  -0.423 0.229  -0.462 0.021  -0.480 -0.188  -0.554 -0.386  -0.592 -0.591  -0.592 -0.803  -0.592 -1.015  -0.592 -1.227  -0.515 -1.415  -0.365 -1.485  -0.181 -1.441  -0.043 -1.282  0.057 -1.096  0.183 -0.930  0.279 -0.741  0.405 -0.571  0.447 -0.364  0.476 -0.156  0.541 -0.034  0.621 -0.230  0.736 -0.402  0.898 -0.520  1.053 -0.662
2#tos#t2#t2024062/c  0.608 0.729  0.608 0.827  0.608 0.925  0.608 1.023  0.608 1.121  0.608 1.220  0.512 1.218  0.417 1.194  0.320 1.180  0.225 1.171  0.143 1.116  0.061 1.062  -0.007 1.000  -0.007 0.902  -0.050 0.830  -0.138 0.786  -0.226 0.743  -0.288 0.671  -0.339 0.587  -0.391 0.504  -0.450 0.426  -0.508 0.347  -0.563 0.265  -0.594 0.174  -0.613 0.077  -0.623 -0.020  -0.623 -0.118  -0.623 -0.216  -0.623 -0.314  -0.623 -0.413  -0.617 -0.508  -0.547 -0.578  -0.508 -0.667  -0.471 -0.758  -0.401 -0.818  -0.313 -0.862  -0.252 -0.936  -0.187 -1.005  -0.096 -1.041  -0.004 -1.077  0.094 -1.077  0.192 -1.077  0.290 -1.077  0.388 -1.077  0.487 -1.077  0.585 -1.077  0.683 -1.077  0.781 -1.077  0.879 -1.077  0.977 -1.077
2#tos#t2#t2024062/g  0.058 0.523  0.172 0.446  0.298 0.578  0.357 0.755  0.494 0.892  0.526 1.073  0.526 1.266  0.393 1.346  0.245 1.392  0.051 1.392  -0.098 1.281  -0.262 1.219  -0.386 1.082  -0.443 0.905  -0.443 0.712  -0.324 0.590  -0.130 0.590  0.063 0.590  0.213 0.679  0.345 0.768  0.327 0.760  0.259 0.582  0.259 0.389  0.259 0.195  0.247 0.005  0.134 -0.153  0.092 -0.333  0.063 -0.524  -0.005 -0.705  -0.009 -0.898  -0.109 -1.059  -0.109 -1.253  -0.190 -1.403  -0.268 -1.555  -0.420 -1.617  -0.614 -1.617  -0.744 -1.534  -0.777 -1.354  -0.744 -1.168  -0.623 -1.042  -0.478 -0.916  -0.445 -0.725  -0.270 -0.656  -0.101 -0.564  0.060 -0.455  0.217 -0.342  0.348 -0.201  0.497 -0.081  0.661 0.022  0.827 0.122
2#tos#t2#t2024062/h  -0.585 0.726  -0.742 0.691  -0.585 0.628  -0.390 0.623  -0.194 0.650  -0.003 0.691  0.176 0.780  0.330 0.901  0.482 1.012  0.651 1.089  0.765 1.253  0.888 1.410  0.835 1.514  0.668 1.448  0.565 1.277  0.441 1.133  0.355 0.952  0.250 0.791  0.168 0.620  0.091 0.442  -0.046 0.298  -0.146 0.124  -0.230 -0.057  -0.300 -0.245  -0.367 -0.431  -0.495 -0.585  -0.616 -0.744  -0.727 -0.908  -0.779 -1.100  -0.894 -1.195  -0.825 -1.198  -0.735 -1.035  -0.655 -0.853  -0.553 -0.702  -0.422 -0.554  -0.305 -0.391  -0.177 -0.238  -0.068 -0.095  0.088 0.028  0.237 -0.006  0.214 -0.204  0.169 -0.390  0.169 -0.590  0.169 -0.790  0.171 -0.988  0.236 -1.153  0.402 -1.228  0.596 -1.212  0.771 -1.129  0.957 -1.057
2#tos#t2#t2024062/i  -1.102 -1.018  -1.176 -1.135  -1.136 -1.114  -1.044 -0.996  -0.922 -0.896  -0.820 -0.797  -0.722 -0.674  -0.576 -0.619  -0.490 -0.494  -0.405 -0.359  -0.293 -0.245  -0.196 -0.119  -0.087 -0.003  -0.012 0.132  0.004 0.290  0.078 0.419  0.014 0.377  -0.027 0.223  -0.129 0.103  -0.143 -0.051  -0.207 -0.191  -0.217 -0.348  -0.217 -0.508  -0.217 -0.668  -0.217 -0.828  -0.155 -0.969  -0.037 -1.018  0.122 -1.018  0.266 -0.978  0.344 -0.847  0.364 -0.689  0.384 -0.530  0.404 -0.372  0.424 -0.213  0.444 -0.054  0.464 0.104  0.485 0.263  0.505 0.422  0.525 0.580  0.545 0.739  0.565 0.897  0.585 1.056  0.605 1.215  0.625 1.373  0.645 1.532  0.665 1.690  0.529 1.711  0.392 1.638  0.336 1.533  0.226 1.453
2#tos#t2#t2024062/j  -0.281 1.618  -0.217 1.656  -0.152 1.618  -0.051 1.616  0.031 1.557  0.122 1.511  0.213 1.465  0.286 1.393  0.277 1.292  0.267 1.190  0.256 1.089  0.245 0.987  0.235 0.885  0.224 0.784  0.213 0.682  0.136 0.656  0.136 0.553  0.136 0.451  0.136 0.349  0.136 0.247  0.136 0.145  0.136 0.042  0.136 -0.060  0.129 -0.161  0.109 -0.262  0.098 -0.363  0.098 -0.465  0.086 -0.566  0.066 -0.666  0.027 -0.760  -0.042 -0.834  -0.091 -0.916  -0.111 -1.004  -0.205 -1.039  -0.205 -1.141  -0.271 -1.216  -0.369 -1.225  -0.434 -1.263  -0.470 -1.198  -0.470 -1.095  -0.394 -1.048  -0.337 -0.976  -0.287 -0.890  -0.215 -0.818  -0.138 -0.751  -0.053 -0.694  0.038 -0.649  0.132 -0.608  0.229 -0.575  0.326 -0.543
2#tos#t2#t2024062/k  -0.309 1.936  -0.305 2.112  -0.222 2.014  -0.222 1.834  -0.222 1.653  -0.222 1.473  -0.222 1.293  -0.222 1.112  -0.222 0.932  -0.222 0.752  -0.222 0.571  -0.241 0.392  -0.265 0.213  -0.265 0.033  -0.265 -0.147  -0.265 -0.328  -0.288 -0.506  -0.319 -0.684  -0.353 -0.859  -0.353 -1.039  -0.353 -1.219  -0.397 -1.382  -0.382 -1.511  -0.282 -1.361  -0.182 -1.211  -0.082 -1.061  0.018 -0.911  0.118 -0.761  0.218 -0.611  0.319 -0.461  0.419 -0.311  0.519 -0.161  0.619 -0.010  0.719 0.140  0.819 0.290  0.919 0.440  0.831 0.353  0.687 0.267  0.514 0.227  0.348 0.156  0.192 0.067  0.074 -0.045  -0.094 -0.109  -0.260 -0.173  -0.266 -0.260  -0.262 -0.438  -0.117 -0.541  0.035 -0.636  0.185 -0.736  0.350 -0.788
2#tos#t2#t2024062/l  -1.375 -1.129  -1.369 -1.220  -1.231 -1.209  -1.095 -1.180  -0.973 -1.122  -0.859 -1.044  -0.739 -0.972  -0.617 -0.907  -0.484 -0.862  -0.373 -0.780  -0.264 -0.694  -0.145 -0.622  -0.052 -0.519  0.038 -0.412  0.127 -0.305  0.221 -0.202  0.318 -0.102  0.409 0.003  0.501 0.108  0.544 0.240  0.595 0.368  0.673 0.484  0.706 0.617  0.735 0.752  0.798 0.876  0.813 1.012  0.813 1.152  0.813 1.291  0.744 1.362  0.605 1.362  0.488 1.288  0.400 1.188  0.299 1.106  0.200 1.010  0.112 0.903  0.049 0.778  -0.023 0.659  -0.042 0.524  -0.070 0.387  -0.132 0.263  -0.194 0.138  -0.220 0.005  -0.220 -0.135  -0.220 -0.274  -0.216 -0.413  -0.176 -0.546  -0.117 -0.670  -0.021 -0.769  0.053 -0.872  0.175 -0.916
2#tos#t2#t2024062/s  -1.560 -0.709  -1.671 -0.815  -1.592 -0.815  -1.467 -0.733  -1.378 -0.585  -1.238 -0.480  -1.121 -0.352  -1.007 -0.222  -0.851 -0.143  -0.707 -0.043  -0.568 0.063  -0.431 0.173  -0.287 0.270  -0.131 0.350  0.009 0.455  0.133 0.577  0.243 0.714  0.388 0.797  0.556 0.845  0.688 0.938  0.765 1.096  0.832 1.252  0.937 1.331  0.972 1.171  0.972 0.995  0.972 0.820  0.968 0.645  0.925 0.475  0.919 0.301  0.856 0.145  0.754 0.002  0.650 -0.139  0.581 -0.299  0.516 -0.461  0.399 -0.566  0.273 -0.657  0.097 -0.657  -0.078 -0.657  -0.253 -0.657  -0.420 -0.636  -0.453 -0.474  -0.505 -0.321  -0.417 -0.234  -0.244 -0.251  -0.085 -0.321  0.066 -0.407  0.235 -0.445  0.411 -0.445  0.586 -0.445  0.761 -0.445
2#tos#t2#t2024062/t  0.629 1.179  0.629 1.351  0.678 1.473  0.594 1.441  0.510 1.298  0.453 1.138  0.371 0.989  0.327 0.824  0.232 0.681  0.175 0.519  0.134 0.357  0.077 0.203  -0.008 0.054  -0.064 -0.104  -0.064 -0.276  -0.130 -0.420  -0.162 -0.579  -0.162 -0.750  -0.212 -0.910  -0.212 -1.082  -0.212 -1.254  -0.212 -1.425  -0.156 -1.541  0.015 -1.541  0.138 -1.591  0.309 -1.591  0.349 -1.497  0.292 -1.335  0.235 -1.173  0.178 -1.011  0.121 -0.849  0.064 -0.687  0.007 -0.525  -0.050 -0.363  -0.107 -0.202  -0.164 -0.040  -0.221 0.122  -0.278 0.284  -0.335 0.446  -0.392 0.608  -0.449 0.770  -0.506 0.932  -0.558 1.065  -0.616 0.906  -0.615 0.783  -0.445 0.776  -0.286 0.715  -0.123 0.664  0.041 0.631  0.184 0.536
2#tos#t2#t2024062/w  -0.700 0.810  -0.730 0.964  -0.906 0.973  -0.969 0.889  -1.032 0.718  -1.060 0.537  -1.080 0.358  -1.163 0.193  -1.163 0.009  -1.163 -0.175  -1.163 -0.359  -1.163 -0.543  -1.142 -0.722  -1.046 -0.834  -0.867 -0.815  -0.690 -0.783  -0.604 -0.647  -0.457 -0.544  -0.302 -0.445  -0.154 -0.335  -0.085 -0.169  0.025 -0.021  0.097 0.145  0.179 0.302  0.278 0.455  0.327 0.627  0.364 0.796  0.328 0.761  0.327 0.577  0.225 0.457  0.225 0.273  0.225 0.089  0.225 -0.095  0.225 -0.279  0.225 -0.463  0.225 -0.648  0.276 -0.810  0.436 -0.834  0.592 -0.751  0.742 -0.643  0.899 -0.548  0.944 -0.392  0.997 -0.217  1.154 -0.144  1.190 0.037  1.303 0.117  1.335 0.292  1.408 0.454  1.458 0.626  1.406 0.759
2#tos#t2#t2024062/x  -1.426 0.019  -1.575 -0.066  -1.596 0.096  -1.486 0.216  -1.316 0.286  -1.172 0.380  -1.128 0.551  -0.978 0.613  -0.794 0.613  -0.611 0.613  -0.501 0.511  -0.450 0.346  -0.345 0.238  -0.238 0.106  -0.219 -0.076  -0.196 -0.257  -0.097 -0.384  0.022 -0.519  0.179 -0.614  0.285 -0.759  0.442 -0.852  0.621 -0.873  0.804 -0.873  0.965 -0.797  1.043 -0.646  1.163 -0.523  1.192 -0.346  1.189 -0.168  1.146 0.011  1.103 0.189  1.059 0.368  1.016 0.546  0.973 0.724  0.930 0.903  0.819 0.995  0.678 0.952  0.563 0.822  0.427 0.707  0.320 0.558  0.236 0.396  0.143 0.247  -0.015 0.152  -0.080 -0.016  -0.178 -0.162  -0.321 -0.277  -0.380 -0.450  -0.444 -0.623  -0.516 -0.791  -0.594 -0.957  -0.662 -1.127
