2#tos#t3#t3073065/#  -0.851 0.957  -1.032 0.596  -0.644 0.579  -0.228 0.579  0.188 0.579  0.603 0.579  1.019 0.579  0.914 0.512  0.521 0.376  0.129 0.240  -0.264 0.104  -0.593 -0.104  -0.880 -0.387  -1.007 -0.684  -0.592 -0.684  -0.176 -0.684  0.192 -0.524  0.595 -0.494  1.003 -0.431  0.929 -0.191  0.635 0.102  0.341 0.396  0.047 0.690  -0.247 0.984  -0.559 1.253  -0.716 1.245  -0.627 0.841  -0.599 0.427  -0.522 0.019  -0.472 -0.390  -0.472 -0.806  -0.472 -1.222  -0.409 -1.630  -0.255 -1.548  -0.200 -1.136  -0.145 -0.724  -0.090 -0.312  -0.035 0.100  0.020 0.512  0.074 0.924  0.096 1.338  0.222 1.336  0.328 0.934  0.434 0.533  0.527 0.128  0.538 -0.287  0.615 -0.693  0.664 -1.104  0.664 -1.520  0.790 -1.883
2#tos#t3#t3073065/M  -0.610 -0.957  -0.777 -0.957  -0.782 -1.120  -0.854 -1.129  -0.946 -1.008  -0.971 -0.846  -0.997 -0.682  -0.997 -0.515  -0.997 -0.347  -0.997 -0.180  -0.997 -0.012  -0.997 0.155  -0.997 0.323  -0.978 0.482  -0.895 0.626  -0.771 0.727  -0.612 0.764  -0.445 0.764  -0.281 0.736  -0.216 0.615  -0.180 0.454  -0.180 0.286  -0.139 0.125  -0.137 -0.042  -0.137 -0.209  -0.100 -0.372  -0.094 -0.539  0.016 -0.504  0.048 -0.346  0.079 -0.182  0.079 -0.015  0.116 0.146  0.205 0.288  0.240 0.451  0.356 0.541  0.430 0.678  0.560 0.769  0.719 0.807  0.886 0.807  0.997 0.711  1.117 0.606  1.150 0.441  1.159 0.275  1.199 0.112  1.232 -0.052  1.241 -0.218  1.278 -0.380  1.284 -0.546  1.327 -0.704  1.370 -0.828
2#tos#t3#t3073065/R  -0.296 1.455  -0.508 1.494  -0.508 1.214  -0.455 0.941  -0.455 0.662  -0.394 0.391  -0.349 0.117  -0.308 -0.155  -0.243 -0.424  -0.243 -0.704  -0.243 -0.984  -0.243 -1.263  -0.252 -1.388  -0.285 -1.111  -0.318 -0.833  -0.351 -0.555  -0.384 -0.278  -0.417 -0.000  -0.450 0.277  -0.483 0.555  -0.557 0.813  -0.721 1.003  -0.580 1.224  -0.330 1.296  -0.050 1.296  0.229 1.296  0.486 1.197  0.606 0.951  0.742 0.707  0.766 0.433  0.766 0.153  0.700 -0.111  0.532 -0.292  0.270 -0.390  0.030 -0.530  -0.221 -0.616  -0.501 -0.616  -0.668 -0.472  -0.668 -0.192  -0.456 -0.032  -0.176 -0.032  0.100 -0.054  0.369 -0.131  0.593 -0.290  0.816 -0.453  0.992 -0.669  1.031 -0.936  1.084 -1.193  1.076 -1.465  0.925 -1.306
2#tos#t3#t3073065/S  0.663 0.642  0.711 0.718  0.711 0.842  0.672 0.957  0.566 0.983  0.536 1.103  0.460 1.164  0.336 1.164  0.212 1.164  0.088 1.164  -0.036 1.164  -0.159 1.164  -0.283 1.164  -0.383 1.091  -0.478 1.014  -0.517 0.897  -0.523 0.774  -0.523 0.650  -0.523 0.526  -0.507 0.405  -0.456 0.296  -0.357 0.222  -0.255 0.153  -0.144 0.097  -0.040 0.031  0.059 -0.043  0.173 -0.083  0.295 -0.103  0.379 -0.155  0.435 -0.249  0.530 -0.325  0.585 -0.435  0.616 -0.552  0.616 -0.676  0.569 -0.780  0.482 -0.868  0.394 -0.955  0.294 -1.027  0.198 -1.104  0.097 -1.161  -0.026 -1.161  -0.150 -1.161  -0.274 -1.161  -0.398 -1.161  -0.521 -1.161  -0.645 -1.161  -0.765 -1.153  -0.834 -1.050  -0.929 -0.991  -0.950 -0.876
2#tos#t3#t3073065/U  -0.239 0.336  -0.345 0.399  -0.431 0.503  -0.518 0.608  -0.556 0.729  -0.556 0.865  -0.583 0.957  -0.695 0.884  -0.791 0.788  -0.820 0.665  -0.820 0.529  -0.820 0.394  -0.820 0.258  -0.820 0.123  -0.820 -0.013  -0.820 -0.148  -0.820 -0.284  -0.799 -0.416  -0.754 -0.544  -0.704 -0.669  -0.656 -0.796  -0.623 -0.928  -0.541 -1.020  -0.410 -1.039  -0.275 -1.039  -0.139 -1.039  -0.004 -1.039  0.132 -1.039  0.267 -1.039  0.385 -0.996  0.481 -0.900  0.577 -0.805  0.673 -0.709  0.748 -0.598  0.809 -0.477  0.869 -0.356  0.903 -0.225  0.924 -0.092  0.924 0.044  0.924 0.179  0.924 0.315  0.924 0.450  0.924 0.586  0.924 0.721  0.887 0.837  0.774 0.912  0.677 1.006  0.560 1.073  0.471 1.076  0.501 0.970
2#tos#t3#t3073065/W  -0.492 1.508  -0.630 1.604  -0.779 1.481  -0.804 1.284  -0.922 1.118  -0.922 0.913  -0.922 0.708  -0.922 0.503  -0.922 0.298  -0.922 0.093  -0.922 -0.112  -0.922 -0.317  -0.922 -0.522  -0.879 -0.720  -0.760 -0.887  -0.579 -0.964  -0.375 -0.973  -0.170 -0.973  0.018 -0.919  0.112 -0.751  0.162 -0.552  0.222 -0.356  0.223 -0.151  0.223 0.054  0.173 0.249  0.091 0.437  -0.101 0.458  -0.254 0.370  -0.254 0.165  -0.254 -0.040  -0.232 -0.238  -0.109 -0.402  0.051 -0.530  0.203 -0.667  0.381 -0.735  0.586 -0.735  0.791 -0.735  0.996 -0.735  1.201 -0.735  1.273 -0.602  1.272 -0.397  1.173 -0.218  1.062 -0.046  0.928 0.108  0.808 0.274  0.679 0.433  0.534 0.578  0.415 0.744  0.599 0.793  0.796 0.840
2#tos#t3#t3073065/X  -1.098 1.215  -1.275 1.215  -1.419 1.183  -1.347 1.036  -1.236 0.901  -1.157 0.743  -1.062 0.597  -0.924 0.487  -0.780 0.386  -0.622 0.307  -0.522 0.163  -0.381 0.058  -0.262 -0.071  -0.152 -0.209  -0.007 -0.307  0.145 -0.397  0.303 -0.476  0.404 -0.612  0.516 -0.733  0.673 -0.809  0.814 -0.915  0.829 -1.085  0.882 -1.150  0.877 -0.973  0.871 -0.796  0.866 -0.620  0.861 -0.443  0.856 -0.266  0.851 -0.090  0.846 0.087  0.841 0.264  0.836 0.440  0.831 0.617  0.822 0.787  0.645 0.787  0.468 0.787  0.292 0.787  0.155 0.722  0.042 0.588  -0.043 0.442  -0.077 0.269  -0.112 0.095  -0.172 -0.067  -0.278 -0.208  -0.342 -0.372  -0.349 -0.547  -0.385 -0.713  -0.465 -0.867  -0.500 -1.041  -0.563 -1.194
2#tos#t3#t3073065/Y  -1.181 1.124  -1.227 1.025  -1.167 0.940  -1.070 0.885  -0.941 0.820  -0.819 0.757  -0.701 0.714  -0.637 0.584  -0.502 0.541  -0.369 0.488  -0.229 0.450  -0.146 0.354  -0.050 0.260  0.093 0.253  0.204 0.250  0.319 0.338  0.434 0.426  0.549 0.514  0.664 0.602  0.779 0.690  0.894 0.778  0.824 0.803  0.743 0.738  0.698 0.639  0.624 0.544  0.490 0.491  0.382 0.396  0.261 0.327  0.128 0.279  0.026 0.177  -0.077 0.075  -0.196 -0.007  -0.280 -0.114  -0.335 -0.160  -0.190 -0.160  -0.045 -0.160  -0.036 -0.295  0.008 -0.429  0.056 -0.563  0.056 -0.707  0.056 -0.852  0.074 -0.994  0.102 -1.134  0.102 -1.279  0.130 -1.420  0.189 -1.550  0.239 -1.679  0.273 -1.819  0.378 -1.904  0.423 -2.039
2#tos#t3#t3073065/Z  -0.854 1.209  -0.735 1.234  -0.634 1.303  -0.504 1.303  -0.375 1.303  -0.245 1.303  -0.115 1.303  0.014 1.303  0.140 1.294  0.232 1.202  0.337 1.129  0.453 1.071  0.507 0.965  0.507 0.836  0.507 0.706  0.471 0.586  0.404 0.475  0.352 0.358  0.321 0.232  0.234 0.138  0.142 0.047  0.050 -0.045  -0.052 -0.125  -0.154 -0.204  -0.235 -0.305  -0.316 -0.406  -0.361 -0.525  -0.412 -0.635  -0.528 -0.693  -0.617 -0.782  -0.707 -0.856  -0.743 -0.950  -0.836 -0.950  -0.753 -0.903  -0.636 -0.872  -0.545 -0.781  -0.423 -0.762  -0.293 -0.762  -0.164 -0.762  -0.034 -0.762  0.093 -0.741  0.221 -0.716  0.350 -0.715  0.480 -0.715  0.609 -0.715  0.739 -0.715  0.868 -0.715  0.998 -0.715  1.128 -0.715  1.116 -0.762
2#tos#t3#t3073065/f  0.882 0.253  0.803 0.137  0.801 0.287  0.801 0.450  0.801 0.613  0.801 0.775  0.753 0.927  0.701 1.082  0.628 1.226  0.597 1.379  0.474 1.476  0.327 1.516  0.164 1.516  0.017 1.450  -0.112 1.360  -0.183 1.214  -0.244 1.063  -0.258 0.902  -0.258 0.740  -0.258 0.577  -0.258 0.414  -0.258 0.251  -0.235 0.092  -0.190 -0.065  -0.176 -0.226  -0.168 -0.388  -0.123 -0.544  -0.095 -0.703  -0.091 -0.865  -0.059 -1.025  -0.014 -1.181  -0.014 -1.344  -0.004 -1.379  -0.108 -1.253  -0.211 -1.128  -0.315 -1.002  -0.419 -0.877  -0.523 -0.751  -0.626 -0.626  -0.730 -0.500  -0.759 -0.610  -0.838 -0.684  -0.679 -0.670  -0.532 -0.602  -0.369 -0.602  -0.209 -0.576  -0.052 -0.534  0.109 -0.521  0.272 -0.521  0.434 -0.521
2#tos#t3#t3073065/g  0.086 0.419  0.236 0.377  0.412 0.426  0.541 0.563  0.700 0.629  0.801 0.778  0.801 0.969  0.723 1.128  0.578 1.195  0.397 1.252  0.208 1.260  0.017 1.260  -0.173 1.248  -0.327 1.159  -0.432 1.004  -0.615 0.951  -0.711 0.801  -0.713 0.610  -0.712 0.419  -0.525 0.382  -0.351 0.335  -0.177 0.293  0.014 0.293  0.205 0.293  0.375 0.353  0.507 0.324  0.518 0.134  0.549 -0.052  0.549 -0.243  0.549 -0.434  0.549 -0.626  0.549 -0.817  0.549 -1.008  0.414 -1.143  0.261 -1.258  0.091 -1.345  -0.062 -1.458  -0.249 -1.473  -0.440 -1.473  -0.588 -1.360  -0.711 -1.223  -0.797 -1.052  -0.797 -0.861  -0.795 -0.670  -0.735 -0.488  -0.612 -0.355  -0.425 -0.338  -0.234 -0.338  -0.043 -0.338  0.044 -0.506
2#tos#t3#t3073065/h  -0.418 1.542  -0.523 1.591  -0.575 1.600  -0.575 1.445  -0.575 1.291  -0.575 1.137  -0.561 0.984  -0.535 0.832  -0.523 0.679  -0.523 0.525  -0.523 0.370  -0.523 0.216  -0.523 0.062  -0.523 -0.092  -0.523 -0.246  -0.523 -0.401  -0.523 -0.555  -0.497 -0.707  -0.472 -0.859  -0.470 -1.013  -0.470 -1.167  -0.470 -1.251  -0.470 -1.097  -0.421 -0.952  -0.364 -0.809  -0.315 -0.662  -0.266 -0.516  -0.228 -0.367  -0.175 -0.223  -0.106 -0.085  -0.045 0.056  -0.015 0.207  0.063 0.326  0.180 0.423  0.268 0.547  0.423 0.547  0.577 0.547  0.724 0.509  0.867 0.452  0.891 0.314  0.891 0.159  0.921 0.009  0.943 -0.142  0.945 -0.297  0.982 -0.446  0.996 -0.599  0.996 -0.753  0.996 -0.907  1.065 -1.042  1.100 -1.181
2#tos#t3#t3073065/k  -0.734 1.458  -0.734 1.652  -0.700 1.812  -0.593 1.690  -0.583 1.498  -0.583 1.304  -0.583 1.110  -0.583 0.916  -0.583 0.721  -0.583 0.527  -0.583 0.333  -0.582 0.139  -0.544 -0.051  -0.532 -0.244  -0.511 -0.437  -0.482 -0.628  -0.480 -0.822  -0.433 -1.011  -0.310 -1.158  -0.206 -1.115  -0.093 -0.957  0.019 -0.799  0.132 -0.641  0.245 -0.483  0.358 -0.325  0.471 -0.167  0.584 -0.009  0.696 0.149  0.809 0.307  0.922 0.465  0.893 0.549  0.698 0.549  0.507 0.520  0.314 0.499  0.124 0.495  0.027 0.398  -0.121 0.283  -0.179 0.107  -0.179 -0.088  -0.179 -0.282  -0.179 -0.476  -0.172 -0.665  0.010 -0.732  0.193 -0.794  0.384 -0.814  0.579 -0.814  0.759 -0.886  0.913 -0.997  1.100 -1.016  1.286 -1.067
2#tos#t3#t3073065/l  -0.013 0.779  0.017 0.854  0.047 0.929  0.077 1.003  0.094 1.081  0.094 1.162  0.094 1.242  0.094 1.323  0.094 1.403  0.094 1.352  0.094 1.271  0.094 1.191  0.094 1.110  0.094 1.029  0.094 0.949  0.094 0.868  0.094 0.787  0.068 0.711  0.040 0.636  0.012 0.560  -0.017 0.485  -0.045 0.409  -0.066 0.332  -0.066 0.252  -0.066 0.171  -0.066 0.090  -0.066 0.010  -0.066 -0.071  -0.066 -0.152  -0.066 -0.232  -0.066 -0.313  -0.066 -0.394  -0.066 -0.474  -0.066 -0.555  -0.066 -0.636  -0.066 -0.716  -0.066 -0.797  -0.066 -0.878  -0.066 -0.958  -0.066 -1.039  -0.066 -1.120  -0.066 -1.200  -0.066 -1.281  -0.054 -1.360  -0.038 -1.439  -0.022 -1.519  -0.002 -1.597  0.023 -1.673  0.040 -1.751  0.040 -1.832
2#tos#t3#t3073065/m  -1.061 0.528  -1.103 0.666  -0.978 0.724  -0.978 0.545  -0.978 0.365  -0.978 0.185  -0.978 0.005  -1.002 -0.173  -1.020 -0.351  -1.020 -0.531  -1.004 -0.707  -0.978 -0.881  -0.853 -0.797  -0.772 -0.636  -0.705 -0.469  -0.638 -0.302  -0.590 -0.130  -0.558 0.047  -0.501 0.218  -0.481 0.394  -0.419 0.548  -0.304 0.684  -0.191 0.777  -0.012 0.777  0.017 0.625  0.017 0.446  0.017 0.266  0.017 0.086  0.017 -0.094  0.017 -0.274  0.017 -0.454  -0.024 -0.592  0.044 -0.440  0.169 -0.310  0.284 -0.172  0.396 -0.031  0.513 0.104  0.654 0.216  0.783 0.340  0.937 0.403  1.117 0.403  1.295 0.392  1.446 0.324  1.469 0.149  1.469 -0.031  1.469 -0.211  1.469 -0.391  1.475 -0.570  1.510 -0.744  1.510 -0.924
2#tos#t3#t3073065/o  0.025 1.280  -0.130 1.280  -0.135 1.130  -0.279 1.121  -0.415 1.091  -0.484 0.953  -0.569 0.824  -0.662 0.701  -0.701 0.552  -0.718 0.400  -0.718 0.246  -0.718 0.091  -0.718 -0.063  -0.718 -0.217  -0.718 -0.371  -0.718 -0.526  -0.718 -0.680  -0.650 -0.818  -0.581 -0.956  -0.461 -1.039  -0.318 -1.097  -0.166 -1.107  -0.011 -1.107  0.143 -1.107  0.297 -1.107  0.452 -1.107  0.606 -1.107  0.740 -1.031  0.874 -0.954  0.990 -0.863  1.032 -0.715  1.032 -0.561  1.032 -0.407  1.032 -0.252  1.022 -0.099  0.991 0.052  0.914 0.178  0.800 0.280  0.657 0.338  0.518 0.403  0.390 0.489  0.266 0.581  0.134 0.652  -0.019 0.677  -0.171 0.697  -0.326 0.697  -0.480 0.697  -0.634 0.697  -0.562 0.647  -0.453 0.537
2#tos#t3#t3073065/q  0.685 0.886  0.685 1.077  0.545 1.128  0.354 1.128  0.163 1.128  -0.029 1.128  -0.211 1.080  -0.386 1.004  -0.561 0.934  -0.730 0.863  -0.889 0.757  -1.011 0.611  -1.121 0.454  -1.156 0.274  -1.156 0.083  -1.156 -0.109  -1.156 -0.300  -1.091 -0.471  -1.033 -0.650  -0.932 -0.761  -0.741 -0.761  -0.550 -0.761  -0.359 -0.761  -0.167 -0.761  0.016 -0.719  0.187 -0.638  0.340 -0.523  0.511 -0.437  0.611 -0.280  0.679 -0.102  0.685 0.088  0.669 0.273  0.540 0.411  0.404 0.489  0.257 0.595  0.066 0.595  -0.042 0.454  -0.090 0.283  -0.050 0.097  0.061 -0.052  0.149 -0.214  0.300 -0.330  0.374 -0.506  0.501 -0.631  0.604 -0.792  0.702 -0.956  0.867 -1.003  1.029 -1.100  1.221 -1.100  1.412 -1.100
2#tos#t3#t3073065/v  -1.374 0.499  -1.525 0.499  -1.506 0.499  -1.363 0.532  -1.217 0.554  -1.066 0.554  -0.960 0.625  -0.832 0.662  -0.724 0.619  -0.724 0.468  -0.724 0.317  -0.680 0.185  -0.614 0.061  -0.546 -0.073  -0.508 -0.215  -0.484 -0.360  -0.417 -0.495  -0.398 -0.641  -0.342 -0.781  -0.281 -0.918  -0.177 -1.026  -0.093 -1.152  0.024 -1.224  0.149 -1.288  0.196 -1.184  0.299 -1.076  0.406 -0.970  0.413 -0.822  0.444 -0.675  0.467 -0.527  0.467 -0.376  0.467 -0.226  0.467 -0.075  0.467 0.076  0.467 0.227  0.524 0.358  0.614 0.479  0.629 0.625  0.629 0.775  0.629 0.926  0.665 1.041  0.691 0.910  0.738 0.767  0.738 0.616  0.753 0.469  0.821 0.334  0.924 0.231  1.052 0.153  1.187 0.085  1.225 -0.042
2#tos#t3#t3073065/w  -0.726 0.871  -0.820 0.900  -0.902 0.825  -1.002 0.707  -1.053 0.566  -1.053 0.407  -1.065 0.250  -1.096 0.095  -1.100 -0.063  -1.100 -0.221  -1.100 -0.379  -1.100 -0.537  -1.100 -0.696  -0.983 -0.764  -0.825 -0.764  -0.667 -0.764  -0.517 -0.730  -0.383 -0.645  -0.298 -0.516  -0.223 -0.377  -0.141 -0.241  -0.055 -0.109  0.000 0.037  0.022 0.193  0.022 0.351  -0.020 0.409  -0.025 0.253  -0.025 0.095  -0.025 -0.063  0.002 -0.218  0.022 -0.374  0.089 -0.504  0.235 -0.551  0.391 -0.577  0.549 -0.578  0.707 -0.578  0.860 -0.556  1.002 -0.485  1.090 -0.354  1.184 -0.227  1.237 -0.086  1.237 0.072  1.237 0.230  1.237 0.389  1.235 0.546  1.134 0.665  1.077 0.811  0.995 0.947  0.930 1.090  0.910 1.245
2#tos#t3#t3073065/x  -1.149 1.236  -1.253 1.131  -1.360 1.070  -1.249 0.973  -1.129 0.876  -1.030 0.740  -0.935 0.602  -0.801 0.501  -0.685 0.382  -0.579 0.254  -0.448 0.149  -0.316 0.045  -0.181 -0.056  -0.047 -0.157  0.087 -0.258  0.218 -0.363  0.351 -0.466  0.490 -0.561  0.609 -0.680  0.760 -0.741  0.922 -0.787  1.007 -0.894  0.998 -0.780  0.988 -0.613  0.978 -0.445  0.967 -0.277  0.957 -0.109  0.955 0.059  0.955 0.227  0.955 0.395  0.955 0.563  0.935 0.717  0.774 0.762  0.606 0.762  0.467 0.721  0.392 0.577  0.258 0.477  0.147 0.352  0.044 0.220  -0.075 0.101  -0.181 -0.028  -0.264 -0.174  -0.348 -0.320  -0.446 -0.456  -0.548 -0.590  -0.653 -0.721  -0.729 -0.862  -0.731 -1.030  -0.806 -1.180  -0.834 -1.342
