2#tos#f3#f3025059/\"  -0.775 1.256  -0.609 1.256  -0.519 1.181  -0.570 1.027  -0.644 0.879  -0.759 0.761  -0.775 0.602  -0.775 0.436  -0.775 0.270  -0.775 0.105  -0.775 -0.061  -0.775 -0.226  -0.775 -0.392  -0.775 -0.557  -0.775 -0.723  -0.775 -0.888  -0.775 -1.054  -0.748 -1.134  -0.652 -0.999  -0.557 -0.864  -0.461 -0.729  -0.366 -0.593  -0.270 -0.458  -0.175 -0.323  -0.079 -0.188  0.016 -0.052  0.111 0.083  0.207 0.218  0.302 0.353  0.398 0.489  0.493 0.624  0.589 0.759  0.684 0.894  0.759 1.036  0.759 1.055  0.759 0.889  0.759 0.724  0.759 0.558  0.759 0.393  0.759 0.227  0.759 0.062  0.759 -0.104  0.759 -0.269  0.759 -0.435  0.759 -0.601  0.759 -0.766  0.759 -0.932  0.759 -1.097  0.759 -1.263  0.759 -1.428
2#tos#f3#f3025059/S  0.634 0.954  0.594 0.963  0.594 1.092  0.529 1.157  0.409 1.180  0.306 1.253  0.180 1.278  0.051 1.278  -0.079 1.278  -0.208 1.278  -0.251 1.164  -0.336 1.116  -0.434 1.040  -0.457 0.916  -0.497 0.827  -0.491 0.699  -0.457 0.578  -0.430 0.455  -0.376 0.345  -0.284 0.308  -0.165 0.263  -0.045 0.223  0.066 0.158  0.170 0.080  0.259 0.008  0.362 -0.036  0.437 -0.137  0.554 -0.181  0.565 -0.299  0.634 -0.359  0.634 -0.488  0.634 -0.618  0.603 -0.734  0.554 -0.843  0.473 -0.892  0.405 -0.979  0.299 -1.039  0.181 -1.067  0.054 -1.091  -0.012 -1.168  -0.122 -1.188  -0.251 -1.188  -0.380 -1.186  -0.460 -1.106  -0.576 -1.048  -0.700 -1.026  -0.780 -0.953  -0.781 -0.824  -0.827 -0.737  -0.780 -0.703
2#tos#f3#f3025059/W  -1.199 0.914  -1.294 0.840  -1.272 0.724  -1.199 0.572  -1.170 0.410  -1.080 0.267  -1.051 0.105  -1.008 -0.057  -0.977 -0.213  -0.945 -0.375  -0.839 -0.489  -0.829 -0.652  -0.766 -0.807  -0.685 -0.904  -0.643 -0.903  -0.564 -0.776  -0.487 -0.633  -0.421 -0.484  -0.387 -0.320  -0.323 -0.164  -0.254 -0.013  -0.201 0.147  -0.161 0.309  -0.089 0.454  -0.012 0.601  0.025 0.755  0.099 0.681  0.099 0.512  0.140 0.354  0.200 0.203  0.268 0.053  0.329 -0.103  0.358 -0.266  0.358 -0.435  0.430 -0.533  0.487 -0.644  0.567 -0.778  0.682 -0.728  0.787 -0.619  0.886 -0.500  0.925 -0.335  0.969 -0.174  1.065 -0.035  1.149 0.108  1.199 0.270  1.257 0.428  1.302 0.591  1.369 0.746  1.397 0.909  1.508 0.988
2#tos#f3#f3025059/Y  -0.853 1.209  -0.903 1.163  -0.856 0.990  -0.819 0.817  -0.760 0.649  -0.667 0.505  -0.609 0.343  -0.528 0.188  -0.498 0.019  -0.389 -0.099  -0.296 -0.215  -0.250 -0.351  -0.156 -0.363  -0.033 -0.229  0.089 -0.094  0.211 0.040  0.334 0.175  0.456 0.310  0.578 0.444  0.701 0.579  0.823 0.713  0.945 0.848  1.068 0.982  1.189 1.116  1.050 1.019  0.959 0.908  0.865 0.800  0.741 0.683  0.594 0.614  0.503 0.457  0.374 0.337  0.215 0.250  0.083 0.130  -0.047 0.011  -0.199 -0.088  -0.352 -0.127  -0.389 -0.305  -0.460 -0.415  -0.435 -0.343  -0.342 -0.432  -0.283 -0.555  -0.214 -0.699  -0.203 -0.879  -0.203 -1.061  -0.203 -1.243  -0.157 -1.406  -0.157 -1.588  -0.157 -1.770  -0.157 -1.951  -0.203 -2.087
2#tos#f3#f3025059/c  0.871 1.046  0.851 1.118  0.759 1.118  0.667 1.118  0.575 1.118  0.513 1.148  0.463 1.189  0.371 1.189  0.278 1.189  0.186 1.189  0.121 1.139  0.070 1.063  0.019 0.986  -0.044 0.919  -0.109 0.854  -0.174 0.789  -0.231 0.718  -0.282 0.641  -0.333 0.565  -0.368 0.480  -0.397 0.393  -0.419 0.304  -0.419 0.212  -0.419 0.120  -0.419 0.028  -0.419 -0.064  -0.436 -0.153  -0.465 -0.240  -0.490 -0.328  -0.490 -0.420  -0.490 -0.512  -0.490 -0.604  -0.490 -0.696  -0.490 -0.789  -0.446 -0.862  -0.389 -0.934  -0.338 -1.010  -0.287 -1.087  -0.204 -1.104  -0.112 -1.104  -0.020 -1.104  0.072 -1.104  0.164 -1.104  0.256 -1.104  0.347 -1.092  0.436 -1.070  0.525 -1.047  0.616 -1.032  0.708 -1.032  0.800 -1.032
2#tos#f3#f3025059/g  0.497 0.771  0.436 0.748  0.436 0.980  0.303 1.116  0.254 1.313  0.075 1.366  -0.150 1.373  -0.382 1.373  -0.468 1.192  -0.528 0.984  -0.528 0.752  -0.528 0.520  -0.470 0.297  -0.267 0.250  -0.086 0.168  0.146 0.168  0.258 0.290  0.436 0.393  0.436 0.625  0.436 0.858  0.418 1.072  0.322 0.945  0.376 0.735  0.376 0.503  0.376 0.271  0.374 0.039  0.317 -0.187  0.283 -0.413  0.152 -0.598  0.135 -0.823  0.135 -1.056  0.043 -1.250  -0.106 -1.420  -0.227 -1.603  -0.362 -1.700  -0.592 -1.696  -0.721 -1.506  -0.769 -1.294  -0.769 -1.061  -0.769 -0.829  -0.694 -0.651  -0.528 -0.555  -0.528 -0.323  -0.305 -0.314  -0.072 -0.314  0.135 -0.254  0.367 -0.254  0.599 -0.254  0.807 -0.314  0.918 -0.434
2#tos#f3#f3025059/i  0.242 0.018  0.127 0.018  0.126 0.020  0.126 -0.095  0.126 -0.211  0.126 -0.326  0.126 -0.442  0.126 -0.557  0.126 -0.673  0.126 -0.788  0.126 -0.904  0.126 -1.019  0.126 -1.135  0.126 -1.250  0.126 -1.366  0.126 -1.481  0.126 -1.519  0.115 -1.404  0.103 -1.289  0.090 -1.174  0.078 -1.060  0.065 -0.945  0.052 -0.830  0.040 -0.715  0.027 -0.600  0.015 -0.485  0.002 -0.371  -0.010 -0.256  -0.023 -0.141  -0.035 -0.026  -0.048 0.089  -0.060 0.203  -0.073 0.318  -0.085 0.433  -0.098 0.548  -0.110 0.663  -0.123 0.778  -0.135 0.892  -0.148 1.007  -0.160 1.122  -0.173 1.237  -0.186 1.352  -0.198 1.467  -0.211 1.581  -0.223 1.696  -0.283 1.668  -0.194 1.607  -0.166 1.509  -0.107 1.419  0.009 1.419
2#tos#f3#f3025059/j  0.611 0.533  0.511 0.504  0.511 0.375  0.511 0.246  0.511 0.117  0.511 -0.012  0.511 -0.141  0.556 -0.259  0.561 -0.387  0.561 -0.516  0.561 -0.645  0.561 -0.774  0.487 -0.858  0.438 -0.965  0.351 -1.051  0.227 -1.071  0.118 -1.121  -0.011 -1.121  -0.140 -1.121  -0.269 -1.121  -0.392 -1.087  -0.518 -1.071  -0.642 -1.038  -0.742 -0.965  -0.792 -0.886  -0.737 -0.808  -0.690 -0.689  -0.642 -0.569  -0.595 -0.449  -0.547 -0.329  -0.500 -0.209  -0.453 -0.089  -0.405 0.031  -0.358 0.151  -0.310 0.271  -0.263 0.391  -0.215 0.511  -0.168 0.631  -0.120 0.751  -0.073 0.871  -0.025 0.991  0.022 1.111  0.070 1.231  0.117 1.351  0.165 1.471  0.210 1.591  0.125 1.635  0.210 1.622  0.281 1.535  0.310 1.435
2#tos#f3#f3025059/k  -0.243 1.980  -0.345 2.082  -0.406 2.053  -0.406 1.876  -0.416 1.701  -0.445 1.527  -0.461 1.352  -0.461 1.175  -0.461 0.999  -0.461 0.822  -0.461 0.646  -0.461 0.469  -0.461 0.293  -0.461 0.116  -0.461 -0.060  -0.461 -0.236  -0.410 -0.405  -0.354 -0.572  -0.345 -0.741  -0.257 -0.863  -0.243 -1.038  -0.137 -0.967  -0.009 -0.845  0.119 -0.723  0.246 -0.602  0.374 -0.480  0.502 -0.358  0.630 -0.237  0.757 -0.115  0.885 0.007  0.798 -0.034  0.622 -0.034  0.468 -0.088  0.291 -0.088  0.116 -0.096  -0.050 -0.155  -0.216 -0.197  -0.393 -0.197  -0.461 -0.306  -0.352 -0.373  -0.239 -0.469  -0.063 -0.469  0.052 -0.585  0.199 -0.653  0.332 -0.749  0.479 -0.796  0.656 -0.796  0.788 -0.902  0.961 -0.911  1.118 -0.959
2#tos#f3#f3025059/m  -1.014 -0.183  -1.230 -0.183  -1.328 -0.066  -1.328 0.150  -1.195 0.287  -1.142 0.496  -0.979 0.577  -0.848 0.714  -0.665 0.791  -0.454 0.822  -0.323 0.738  -0.323 0.522  -0.336 0.319  -0.386 0.153  -0.453 0.005  -0.511 -0.152  -0.574 -0.353  -0.582 -0.564  -0.700 -0.707  -0.749 -0.911  -0.825 -0.903  -0.701 -0.812  -0.637 -0.660  -0.511 -0.496  -0.414 -0.303  -0.278 -0.139  -0.197 0.043  -0.134 0.209  0.054 0.278  0.098 0.467  0.235 0.598  0.305 0.496  0.305 0.281  0.305 0.065  0.305 -0.151  0.305 -0.367  0.365 -0.438  0.565 -0.372  0.649 -0.227  0.825 -0.103  0.968 0.057  1.059 0.245  1.238 0.319  1.323 0.432  1.436 0.264  1.499 0.074  1.608 -0.071  1.688 -0.269  1.801 -0.410  1.876 -0.560
2#tos#f3#f3025059/q  0.566 0.869  0.516 0.809  0.566 0.974  0.531 1.180  0.386 1.315  0.326 1.470  0.111 1.470  -0.104 1.470  -0.272 1.383  -0.426 1.244  -0.512 1.056  -0.635 0.916  -0.695 0.726  -0.751 0.520  -0.755 0.306  -0.714 0.108  -0.532 0.029  -0.317 0.029  -0.105 0.056  0.026 0.168  0.164 0.305  0.233 0.503  0.266 0.710  0.326 0.754  0.326 0.539  0.326 0.324  0.326 0.109  0.326 -0.106  0.291 -0.237  0.139 -0.085  -0.034 -0.050  -0.034 -0.265  -0.034 -0.480  -0.034 -0.695  -0.078 -0.899  -0.094 -1.110  -0.154 -1.300  -0.227 -1.219  -0.379 -1.067  -0.515 -0.955  -0.632 -1.052  -0.602 -1.112  -0.387 -1.112  -0.173 -1.112  0.042 -1.112  0.257 -1.112  0.470 -1.104  0.677 -1.052  0.892 -1.052  1.107 -1.052
2#tos#f3#f3025059/r  -0.224 1.276  -0.224 1.133  -0.224 0.989  -0.224 0.845  -0.224 0.702  -0.224 0.558  -0.224 0.415  -0.224 0.271  -0.224 0.127  -0.224 -0.016  -0.224 -0.160  -0.224 -0.303  -0.224 -0.447  -0.224 -0.590  -0.224 -0.734  -0.224 -0.878  -0.313 -0.984  -0.364 -1.107  -0.364 -1.250  -0.364 -1.394  -0.401 -1.529  -0.434 -1.527  -0.434 -1.383  -0.434 -1.239  -0.434 -1.096  -0.434 -0.952  -0.434 -0.809  -0.434 -0.665  -0.434 -0.522  -0.419 -0.383  -0.340 -0.263  -0.294 -0.133  -0.294 0.010  -0.256 0.142  -0.176 0.262  -0.068 0.353  0.051 0.432  0.100 0.566  0.183 0.665  0.319 0.710  0.425 0.805  0.527 0.906  0.662 0.926  0.806 0.926  0.949 0.926  1.093 0.926  1.236 0.926  1.380 0.926  1.453 0.856  1.527 0.786
