3#apb#apb14#app1422/k  -0.431 1.414  -0.415 1.598  -0.339 1.662  -0.291 1.475  -0.299 1.288  -0.339 1.098  -0.339 0.904  -0.339 0.710  -0.363 0.518  -0.396 0.327  -0.429 0.136  -0.463 -0.056  -0.496 -0.247  -0.524 -0.439  -0.534 -0.632  -0.544 -0.826  -0.562 -1.020  -0.551 -1.212  -0.492 -1.259  -0.541 -1.071  -0.590 -0.883  -0.639 -0.696  -0.688 -0.508  -0.737 -0.320  -0.731 -0.160  -0.602 -0.023  -0.447 0.094  -0.277 0.187  -0.105 0.277  0.070 0.360  0.251 0.431  0.432 0.502  0.605 0.589  0.787 0.652  0.976 0.697  0.959 0.600  0.805 0.482  0.670 0.344  0.511 0.266  0.368 0.178  0.308 -0.004  0.351 -0.190  0.407 -0.376  0.479 -0.555  0.576 -0.723  0.698 -0.873  0.830 -1.015  0.975 -1.144  1.130 -1.261  1.313 -1.294
3#apb#apb14#app1422/e  -0.954 -0.603  -0.962 -0.466  -0.795 -0.466  -0.636 -0.515  -0.477 -0.568  -0.313 -0.536  -0.149 -0.503  0.015 -0.470  0.159 -0.388  0.300 -0.298  0.440 -0.208  0.579 -0.115  0.719 -0.023  0.850 0.079  0.960 0.204  1.069 0.331  1.162 0.471  1.198 0.627  1.177 0.785  1.058 0.903  0.930 1.010  0.785 1.082  0.620 1.105  0.460 1.153  0.300 1.201  0.153 1.136  0.008 1.052  -0.136 0.968  -0.279 0.882  -0.423 0.796  -0.543 0.683  -0.648 0.553  -0.754 0.424  -0.842 0.282  -0.922 0.135  -0.989 -0.015  -0.989 -0.182  -0.978 -0.346  -0.892 -0.490  -0.806 -0.633  -0.665 -0.705  -0.504 -0.751  -0.344 -0.797  -0.186 -0.852  -0.030 -0.911  0.127 -0.970  0.286 -1.013  0.454 -1.013  0.621 -1.013  0.788 -1.013
3#apb#apb14#app1422/y  -0.538 1.194  -0.590 1.104  -0.579 0.962  -0.557 0.822  -0.532 0.682  -0.491 0.546  -0.449 0.410  -0.400 0.277  -0.347 0.145  -0.274 0.024  -0.192 -0.093  -0.089 -0.184  0.024 -0.202  0.097 -0.080  0.171 0.042  0.244 0.164  0.317 0.286  0.390 0.408  0.463 0.530  0.536 0.652  0.610 0.774  0.683 0.896  0.756 1.018  0.829 1.140  0.818 1.128  0.737 1.012  0.655 0.895  0.591 0.769  0.535 0.638  0.479 0.508  0.416 0.380  0.352 0.253  0.289 0.126  0.225 -0.001  0.161 -0.129  0.098 -0.256  0.034 -0.383  -0.029 -0.510  -0.096 -0.636  -0.164 -0.761  -0.231 -0.886  -0.299 -1.011  -0.367 -1.136  -0.436 -1.260  -0.505 -1.385  -0.574 -1.509  -0.642 -1.633  -0.674 -1.772  -0.706 -1.910  -0.746 -2.047
3#apb#apb14#app1422/s  0.935 1.214  0.839 1.256  0.737 1.276  0.639 1.270  0.548 1.218  0.458 1.167  0.364 1.121  0.267 1.082  0.170 1.043  0.073 1.005  -0.015 0.951  -0.099 0.889  -0.182 0.826  -0.266 0.764  -0.357 0.712  -0.447 0.660  -0.536 0.606  -0.616 0.538  -0.695 0.470  -0.774 0.402  -0.815 0.308  -0.825 0.206  -0.803 0.112  -0.720 0.050  -0.638 -0.016  -0.560 -0.085  -0.481 -0.153  -0.403 -0.222  -0.309 -0.261  -0.207 -0.283  -0.105 -0.306  -0.006 -0.337  0.087 -0.384  0.181 -0.430  0.274 -0.477  0.354 -0.538  0.408 -0.628  0.463 -0.716  0.526 -0.799  0.553 -0.892  0.539 -0.995  0.524 -1.098  0.441 -1.158  0.353 -1.213  0.264 -1.268  0.170 -1.312  0.071 -1.345  -0.028 -1.378  -0.127 -1.411  -0.226 -1.444
3#apb#apb14#app1422/h  -0.198 1.545  -0.105 1.657  -0.075 1.777  -0.061 1.643  -0.072 1.493  -0.086 1.343  -0.126 1.198  -0.167 1.053  -0.209 0.908  -0.259 0.766  -0.309 0.623  -0.358 0.481  -0.397 0.335  -0.435 0.190  -0.473 0.044  -0.511 -0.102  -0.549 -0.248  -0.587 -0.394  -0.625 -0.540  -0.663 -0.686  -0.699 -0.832  -0.734 -0.979  -0.734 -1.129  -0.712 -1.160  -0.649 -1.023  -0.584 -0.888  -0.490 -0.769  -0.397 -0.651  -0.307 -0.530  -0.222 -0.406  -0.136 -0.282  -0.048 -0.159  0.044 -0.040  0.135 0.080  0.249 0.178  0.366 0.273  0.475 0.377  0.615 0.403  0.738 0.325  0.827 0.205  0.867 0.062  0.890 -0.087  0.905 -0.237  0.916 -0.387  0.898 -0.536  0.867 -0.683  0.838 -0.831  0.814 -0.980  0.779 -1.126  0.757 -1.274
3#apb#apb14#app1422/i  0.475 0.216  0.498 0.115  0.469 0.012  0.435 -0.088  0.387 -0.184  0.340 -0.279  0.302 -0.377  0.285 -0.482  0.269 -0.588  0.253 -0.693  0.236 -0.798  0.218 -0.903  0.201 -1.008  0.194 -1.114  0.194 -1.220  0.212 -1.324  0.245 -1.425  0.230 -1.352  0.206 -1.248  0.181 -1.144  0.157 -1.041  0.133 -0.937  0.109 -0.833  0.085 -0.730  0.060 -0.626  0.036 -0.522  0.012 -0.418  -0.012 -0.315  -0.036 -0.211  -0.061 -0.107  -0.085 -0.004  -0.109 0.100  -0.133 0.204  -0.157 0.308  -0.182 0.411  -0.206 0.515  -0.230 0.619  -0.254 0.722  -0.278 0.826  -0.303 0.930  -0.327 1.034  -0.351 1.137  -0.375 1.241  -0.399 1.345  -0.424 1.448  -0.448 1.552  -0.472 1.656  -0.496 1.760  -0.520 1.863  -0.564 1.956
3#apb#apb14#app1422/d  -0.101 0.062  -0.141 0.191  -0.304 0.169  -0.461 0.098  -0.611 0.014  -0.748 -0.091  -0.884 -0.197  -1.017 -0.307  -1.139 -0.426  -1.212 -0.582  -1.278 -0.741  -1.312 -0.910  -1.209 -1.043  -1.048 -1.080  -0.881 -1.061  -0.718 -1.003  -0.561 -0.934  -0.419 -0.837  -0.276 -0.739  -0.140 -0.634  -0.010 -0.520  0.120 -0.406  0.227 -0.271  0.332 -0.134  0.419 0.015  0.504 0.164  0.567 0.325  0.630 0.486  0.683 0.650  0.730 0.816  0.777 0.982  0.804 1.152  0.831 1.323  0.897 1.480  0.881 1.460  0.830 1.295  0.774 1.132  0.708 0.973  0.642 0.813  0.575 0.654  0.508 0.495  0.444 0.335  0.381 0.174  0.318 0.014  0.255 -0.147  0.191 -0.307  0.129 -0.468  0.118 -0.640  0.106 -0.812  0.087 -0.984
3#apb#apb14#app1422/d  -0.140 -0.007  -0.213 0.134  -0.386 0.126  -0.553 0.072  -0.693 -0.034  -0.824 -0.153  -0.943 -0.284  -1.047 -0.425  -1.118 -0.588  -1.179 -0.753  -1.192 -0.929  -1.117 -1.068  -0.941 -1.085  -0.772 -1.035  -0.606 -0.974  -0.447 -0.894  -0.289 -0.815  -0.155 -0.700  -0.025 -0.580  0.094 -0.448  0.209 -0.313  0.305 -0.165  0.391 -0.010  0.475 0.146  0.551 0.306  0.626 0.466  0.656 0.640  0.679 0.816  0.702 0.992  0.723 1.168  0.743 1.344  0.781 1.517  0.784 1.625  0.705 1.466  0.660 1.295  0.617 1.123  0.559 0.955  0.501 0.788  0.441 0.621  0.381 0.454  0.320 0.288  0.264 0.120  0.213 -0.050  0.161 -0.220  0.113 -0.390  0.066 -0.561  0.019 -0.732  -0.011 -0.906  -0.036 -1.082  -0.054 -1.258
3#apb#apb14#app1422/e  -0.543 -0.593  -0.421 -0.646  -0.296 -0.689  -0.163 -0.689  -0.034 -0.673  0.085 -0.613  0.204 -0.553  0.319 -0.486  0.434 -0.419  0.549 -0.352  0.639 -0.256  0.724 -0.152  0.808 -0.049  0.896 0.050  0.991 0.144  1.085 0.238  1.133 0.358  1.162 0.488  1.147 0.612  1.087 0.732  0.988 0.819  0.887 0.906  0.793 1.000  0.688 1.050  0.560 1.011  0.432 0.973  0.304 0.937  0.176 0.902  0.050 0.862  -0.057 0.782  -0.163 0.702  -0.270 0.623  -0.372 0.537  -0.470 0.447  -0.568 0.357  -0.667 0.267  -0.749 0.164  -0.823 0.053  -0.897 -0.058  -0.961 -0.172  -0.980 -0.304  -0.998 -0.436  -1.017 -0.568  -0.989 -0.696  -0.950 -0.823  -0.911 -0.951  -0.844 -1.062  -0.754 -1.161  -0.665 -1.259  -0.575 -1.358
3#apb#apb14#app1422/n  -0.127 0.884  -0.268 0.828  -0.358 0.707  -0.449 0.586  -0.540 0.465  -0.630 0.344  -0.723 0.225  -0.819 0.108  -0.914 -0.009  -1.018 -0.119  -1.118 -0.230  -1.166 -0.374  -1.101 -0.320  -0.977 -0.237  -0.864 -0.228  -0.792 -0.361  -0.719 -0.493  -0.660 -0.358  -0.601 -0.219  -0.542 -0.080  -0.483 0.059  -0.424 0.198  -0.365 0.337  -0.334 0.446  -0.410 0.316  -0.458 0.172  -0.493 0.027  -0.493 -0.124  -0.463 -0.268  -0.390 -0.400  -0.291 -0.508  -0.165 -0.592  -0.027 -0.631  0.124 -0.619  0.274 -0.605  0.410 -0.540  0.547 -0.476  0.684 -0.412  0.813 -0.335  0.937 -0.248  1.060 -0.160  1.184 -0.073  1.302 0.021  1.417 0.119  1.533 0.216  1.628 0.330  1.704 0.461  1.781 0.592  1.854 0.724  1.928 0.856
3#apb#apb14#app1422/b  -0.133 1.658  -0.192 1.721  -0.236 1.565  -0.275 1.408  -0.314 1.250  -0.350 1.092  -0.383 0.933  -0.416 0.774  -0.449 0.615  -0.491 0.459  -0.534 0.302  -0.576 0.145  -0.607 -0.013  -0.622 -0.175  -0.636 -0.336  -0.653 -0.498  -0.687 -0.656  -0.721 -0.815  -0.724 -0.977  -0.724 -1.139  -0.693 -1.004  -0.638 -0.851  -0.601 -0.693  -0.553 -0.540  -0.476 -0.397  -0.398 -0.254  -0.312 -0.117  -0.226 0.021  -0.133 0.152  -0.009 0.257  0.115 0.362  0.251 0.450  0.393 0.527  0.540 0.597  0.687 0.632  0.832 0.560  0.951 0.451  1.029 0.319  1.043 0.157  1.031 -0.003  0.997 -0.162  0.958 -0.319  0.910 -0.474  0.861 -0.629  0.789 -0.774  0.712 -0.917  0.606 -1.035  0.478 -1.134  0.361 -1.247  0.212 -1.248
3#apb#apb14#app1422/y  -0.294 1.270  -0.249 1.406  -0.266 1.272  -0.304 1.133  -0.336 0.993  -0.364 0.852  -0.388 0.711  -0.388 0.568  -0.388 0.424  -0.379 0.281  -0.369 0.137  -0.350 -0.005  -0.319 -0.145  -0.199 -0.219  -0.057 -0.199  0.019 -0.085  0.085 0.042  0.151 0.170  0.217 0.297  0.283 0.425  0.349 0.552  0.415 0.680  0.481 0.807  0.547 0.935  0.613 1.062  0.660 1.069  0.648 0.927  0.607 0.790  0.567 0.652  0.524 0.515  0.476 0.379  0.429 0.244  0.382 0.108  0.327 -0.024  0.263 -0.153  0.198 -0.281  0.134 -0.410  0.070 -0.538  0.012 -0.669  -0.045 -0.801  -0.102 -0.933  -0.158 -1.065  -0.215 -1.197  -0.279 -1.325  -0.345 -1.453  -0.412 -1.580  -0.478 -1.708  -0.540 -1.837  -0.592 -1.971  -0.644 -2.105
3#apb#apb14#app1422/q  0.221 0.990  0.208 1.140  0.090 1.252  -0.096 1.246  -0.258 1.152  -0.420 1.054  -0.540 0.907  -0.672 0.770  -0.773 0.613  -0.844 0.438  -0.844 0.248  -0.733 0.097  -0.561 0.026  -0.374 0.007  -0.186 0.019  -0.007 0.082  0.162 0.164  0.312 0.280  0.453 0.407  0.500 0.589  0.456 0.771  0.402 0.953  0.303 1.107  0.297 1.211  0.343 1.026  0.385 0.877  0.314 0.822  0.221 0.658  0.153 0.481  0.102 0.298  0.065 0.111  0.021 -0.073  -0.025 -0.258  -0.050 -0.446  -0.074 -0.634  -0.099 -0.823  -0.123 -1.011  -0.114 -1.201  -0.107 -1.391  -0.107 -1.581  -0.023 -1.751  0.133 -1.828  0.279 -1.722  0.362 -1.553  0.364 -1.368  0.308 -1.187  0.249 -1.006  0.189 -0.826  0.115 -0.652  0.024 -0.485
3#apb#apb14#app1422/u  -0.291 1.073  -0.291 1.218  -0.321 1.292  -0.357 1.187  -0.435 1.067  -0.530 0.957  -0.606 0.834  -0.674 0.706  -0.743 0.578  -0.804 0.447  -0.863 0.314  -0.921 0.181  -0.975 0.047  -1.010 -0.094  -1.045 -0.235  -1.080 -0.376  -1.086 -0.520  -1.086 -0.665  -1.038 -0.785  -0.917 -0.865  -0.775 -0.885  -0.631 -0.896  -0.490 -0.859  -0.350 -0.821  -0.210 -0.784  -0.101 -0.689  0.006 -0.592  0.114 -0.494  0.217 -0.392  0.319 -0.289  0.422 -0.187  0.524 -0.083  0.621 0.025  0.718 0.133  0.814 0.241  0.911 0.349  1.006 0.459  1.052 0.596  1.084 0.652  1.027 0.521  0.981 0.384  0.928 0.249  0.874 0.114  0.838 -0.026  0.809 -0.168  0.807 -0.312  0.822 -0.456  0.848 -0.599  0.884 -0.739  1.005 -0.811
3#apb#apb14#app1422/i  0.112 0.173  0.111 0.290  0.023 0.317  -0.030 0.211  -0.074 0.101  -0.118 -0.008  -0.164 -0.118  -0.213 -0.225  -0.263 -0.332  -0.312 -0.440  -0.359 -0.548  -0.404 -0.657  -0.450 -0.766  -0.499 -0.874  -0.552 -0.980  -0.603 -1.086  -0.649 -1.195  -0.663 -1.305  -0.588 -1.389  -0.526 -1.329  -0.478 -1.221  -0.430 -1.113  -0.382 -1.005  -0.334 -0.897  -0.286 -0.789  -0.238 -0.681  -0.190 -0.573  -0.142 -0.465  -0.094 -0.357  -0.046 -0.248  0.002 -0.140  0.050 -0.032  0.098 0.076  0.146 0.184  0.194 0.292  0.242 0.400  0.290 0.508  0.338 0.616  0.386 0.724  0.434 0.832  0.482 0.940  0.530 1.048  0.578 1.156  0.626 1.264  0.674 1.372  0.722 1.480  0.770 1.588  0.819 1.696  0.786 1.752  0.668 1.752
3#apb#apb14#app1422/e  -0.920 -0.256  -0.954 -0.292  -0.820 -0.340  -0.672 -0.361  -0.524 -0.382  -0.377 -0.403  -0.229 -0.424  -0.083 -0.404  0.062 -0.371  0.208 -0.337  0.348 -0.288  0.485 -0.229  0.622 -0.170  0.757 -0.107  0.862 -0.002  0.968 0.104  1.069 0.212  1.143 0.342  1.215 0.472  1.253 0.605  1.179 0.735  1.092 0.853  0.978 0.950  0.860 1.038  0.717 1.080  0.574 1.123  0.436 1.087  0.301 1.026  0.165 0.964  0.028 0.903  -0.108 0.843  -0.221 0.750  -0.320 0.639  -0.420 0.528  -0.501 0.404  -0.563 0.269  -0.626 0.133  -0.685 -0.003  -0.726 -0.147  -0.767 -0.290  -0.808 -0.434  -0.800 -0.581  -0.779 -0.728  -0.757 -0.876  -0.702 -1.010  -0.613 -1.129  -0.518 -1.243  -0.398 -1.331  -0.277 -1.419  -0.156 -1.506
3#apb#apb14#app1422/t  0.508 1.703  0.355 1.647  0.219 1.543  0.108 1.413  0.021 1.267  -0.051 1.112  -0.121 0.955  -0.175 0.793  -0.229 0.631  -0.283 0.468  -0.347 0.309  -0.414 0.152  -0.480 -0.006  -0.523 -0.171  -0.555 -0.339  -0.587 -0.507  -0.609 -0.677  -0.620 -0.848  -0.626 -1.017  -0.528 -1.158  -0.419 -1.285  -0.266 -1.362  -0.104 -1.389  0.066 -1.368  0.234 -1.341  0.381 -1.253  0.528 -1.165  0.670 -1.070  0.805 -0.966  0.941 -0.861  0.832 -0.741  0.710 -0.620  0.589 -0.499  0.468 -0.378  0.347 -0.257  0.226 -0.136  0.105 -0.015  -0.016 0.106  -0.137 0.227  -0.258 0.348  -0.379 0.470  -0.500 0.591  -0.581 0.700  -0.412 0.728  -0.242 0.742  -0.072 0.731  0.098 0.710  0.269 0.695  0.440 0.695  0.611 0.695
3#apb#apb14#app1422/z  -1.049 0.666  -1.098 0.768  -1.100 0.831  -0.986 0.850  -0.875 0.884  -0.765 0.920  -0.655 0.957  -0.541 0.973  -0.426 0.987  -0.311 1.001  -0.196 1.007  -0.082 0.987  0.032 0.967  0.146 0.947  0.259 0.924  0.371 0.893  0.483 0.863  0.589 0.819  0.680 0.760  0.664 0.645  0.635 0.534  0.594 0.426  0.552 0.318  0.498 0.219  0.410 0.143  0.323 0.067  0.235 -0.009  0.148 -0.085  0.069 -0.170  -0.006 -0.258  -0.081 -0.346  -0.155 -0.435  -0.236 -0.518  -0.318 -0.600  -0.394 -0.686  -0.446 -0.790  -0.464 -0.901  -0.385 -0.984  -0.302 -1.066  -0.191 -1.096  -0.079 -1.127  0.034 -1.145  0.150 -1.145  0.266 -1.145  0.382 -1.149  0.497 -1.158  0.613 -1.167  0.726 -1.159  0.837 -1.125  0.948 -1.092
3#apb#apb14#app1422/e  -0.812 -0.760  -0.693 -0.692  -0.575 -0.624  -0.445 -0.583  -0.314 -0.543  -0.183 -0.504  -0.052 -0.464  0.079 -0.424  0.209 -0.383  0.332 -0.324  0.452 -0.258  0.572 -0.193  0.688 -0.120  0.800 -0.042  0.912 0.037  1.020 0.120  1.124 0.209  1.225 0.300  1.286 0.422  1.291 0.558  1.291 0.694  1.213 0.777  1.085 0.825  0.953 0.853  0.817 0.853  0.680 0.853  0.544 0.842  0.411 0.812  0.278 0.781  0.145 0.750  0.021 0.691  -0.101 0.630  -0.223 0.569  -0.344 0.506  -0.464 0.440  -0.584 0.375  -0.695 0.298  -0.781 0.191  -0.866 0.084  -0.951 -0.022  -0.973 -0.157  -0.994 -0.292  -1.014 -0.427  -1.015 -0.563  -1.002 -0.699  -0.990 -0.836  -0.936 -0.959  -0.872 -1.080  -0.807 -1.200  -0.742 -1.321
3#apb#apb14#app1422/a  0.461 1.058  0.399 1.178  0.244 1.178  0.109 1.106  -0.022 1.022  -0.153 0.938  -0.282 0.851  -0.411 0.765  -0.541 0.679  -0.640 0.560  -0.736 0.438  -0.832 0.316  -0.922 0.189  -1.004 0.057  -1.087 -0.075  -1.169 -0.207  -1.181 -0.359  -1.181 -0.515  -1.181 -0.670  -1.113 -0.805  -1.027 -0.934  -0.892 -0.980  -0.737 -0.990  -0.582 -1.000  -0.429 -0.976  -0.277 -0.944  -0.125 -0.912  0.025 -0.874  0.146 -0.777  0.268 -0.679  0.389 -0.582  0.497 -0.473  0.586 -0.345  0.674 -0.217  0.764 -0.090  0.855 0.036  0.947 0.162  0.969 0.310  0.969 0.465  0.969 0.621  0.957 0.772  0.891 0.669  0.835 0.524  0.779 0.379  0.725 0.233  0.685 0.083  0.645 -0.068  0.607 -0.218  0.579 -0.371  0.551 -0.524
3#apb#apb14#app1422/l  0.367 1.687  0.304 1.656  0.267 1.582  0.227 1.510  0.184 1.440  0.141 1.370  0.098 1.300  0.057 1.229  0.031 1.151  0.005 1.073  -0.021 0.995  -0.047 0.917  -0.073 0.839  -0.101 0.761  -0.130 0.684  -0.158 0.607  -0.186 0.529  -0.215 0.452  -0.243 0.375  -0.266 0.296  -0.287 0.216  -0.309 0.137  -0.331 0.058  -0.352 -0.022  -0.374 -0.101  -0.389 -0.182  -0.394 -0.264  -0.399 -0.346  -0.403 -0.428  -0.408 -0.510  -0.405 -0.591  -0.370 -0.666  -0.335 -0.740  -0.300 -0.815  -0.265 -0.889  -0.212 -0.946  -0.138 -0.980  -0.063 -1.015  0.012 -1.049  0.089 -1.068  0.171 -1.059  0.253 -1.050  0.334 -1.041  0.416 -1.032  0.498 -1.023  0.580 -1.019  0.662 -1.014  0.745 -1.010  0.827 -1.005  0.909 -1.001
