2#tos#t1#t1057066/#  -0.694 0.586  -0.758 0.213  -0.718 0.084  -0.385 0.271  0.031 0.285  0.438 0.335  0.673 0.296  0.289 0.129  -0.094 -0.039  -0.478 -0.207  -0.851 -0.385  -0.950 -0.774  -0.862 -0.869  -0.449 -0.819  -0.053 -0.724  0.353 -0.669  0.709 -0.568  1.120 -0.518  1.448 -0.448  1.191 -0.117  0.935 0.214  0.678 0.545  0.421 0.876  0.165 1.207  -0.092 1.538  -0.410 1.439  -0.393 1.104  -0.393 0.685  -0.393 0.266  -0.393 -0.152  -0.393 -0.571  -0.393 -0.990  -0.443 -1.401  -0.490 -1.812  -0.426 -1.623  -0.334 -1.215  -0.242 -0.806  -0.150 -0.398  -0.058 0.011  0.034 0.419  0.126 0.828  0.218 1.236  0.304 1.639  0.259 1.366  0.309 0.968  0.309 0.549  0.309 0.130  0.309 -0.289  0.309 -0.707  0.359 -1.120
2#tos#t1#t1057066/M  -0.621 0.972  -0.764 0.877  -0.764 0.667  -0.764 0.458  -0.764 0.248  -0.764 0.038  -0.764 -0.172  -0.764 -0.382  -0.764 -0.592  -0.764 -0.802  -0.764 -1.012  -0.764 -1.107  -0.764 -0.897  -0.764 -0.687  -0.764 -0.477  -0.764 -0.267  -0.764 -0.057  -0.764 0.153  -0.764 0.363  -0.764 0.572  -0.823 0.723  -0.779 0.652  -0.626 0.514  -0.536 0.339  -0.442 0.170  -0.298 0.040  -0.158 -0.109  0.023 -0.206  0.204 -0.274  0.307 -0.381  0.439 -0.278  0.482 -0.082  0.518 0.114  0.600 0.294  0.666 0.480  0.739 0.667  0.803 0.856  0.861 1.008  0.928 0.865  0.981 0.708  0.981 0.498  0.994 0.290  1.016 0.084  1.087 -0.109  1.123 -0.313  1.159 -0.517  1.194 -0.712  1.230 -0.887  1.230 -1.097  1.230 -1.235
2#tos#t1#t1057066/N  -0.713 1.228  -0.795 1.030  -0.795 0.781  -0.795 0.531  -0.795 0.282  -0.795 0.033  -0.795 -0.216  -0.795 -0.465  -0.837 -0.711  -0.837 -0.960  -0.872 -1.007  -0.852 -0.758  -0.833 -0.510  -0.813 -0.262  -0.794 -0.013  -0.774 0.235  -0.755 0.484  -0.735 0.732  -0.716 0.981  -0.877 0.979  -0.744 0.815  -0.589 0.721  -0.434 0.536  -0.240 0.383  -0.099 0.198  0.073 0.029  0.201 -0.182  0.377 -0.358  0.514 -0.565  0.671 -0.750  0.832 -0.937  1.048 -1.042  1.001 -0.981  0.890 -0.823  0.874 -0.574  0.858 -0.325  0.842 -0.077  0.826 0.172  0.809 0.421  0.793 0.669  0.777 0.918  0.684 0.906  0.693 0.660  0.734 0.428  0.734 0.179  0.734 -0.070  0.746 -0.318  0.776 -0.565  0.776 -0.814  0.817 -1.046
2#tos#t1#t1057066/O  0.054 1.026  -0.090 1.026  -0.233 1.026  -0.334 0.984  -0.369 0.876  -0.438 0.769  -0.529 0.665  -0.577 0.530  -0.626 0.419  -0.708 0.335  -0.708 0.191  -0.750 0.058  -0.750 -0.086  -0.750 -0.229  -0.750 -0.372  -0.750 -0.516  -0.750 -0.659  -0.742 -0.798  -0.666 -0.894  -0.616 -0.994  -0.580 -1.132  -0.454 -1.174  -0.310 -1.174  -0.167 -1.174  -0.024 -1.174  0.120 -1.174  0.263 -1.174  0.383 -1.096  0.395 -0.958  0.486 -0.861  0.562 -0.772  0.646 -0.664  0.690 -0.538  0.731 -0.412  0.773 -0.278  0.773 -0.135  0.773 0.009  0.773 0.152  0.773 0.296  0.773 0.439  0.764 0.580  0.700 0.708  0.587 0.773  0.562 0.891  0.496 1.007  0.395 1.109  0.263 1.153  0.119 1.153  -0.024 1.153  -0.158 1.111
2#tos#t1#t1057066/R  -0.347 1.160  -0.465 0.978  -0.393 0.770  -0.393 0.506  -0.393 0.242  -0.437 -0.015  -0.438 -0.279  -0.438 -0.543  -0.486 -0.799  -0.529 -1.056  -0.529 -1.320  -0.574 -1.405  -0.574 -1.140  -0.574 -0.876  -0.574 -0.612  -0.574 -0.348  -0.574 -0.084  -0.574 0.180  -0.574 0.444  -0.574 0.708  -0.574 0.972  -0.646 0.994  -0.391 1.054  -0.129 1.069  0.135 1.069  0.392 1.098  0.652 1.113  0.832 0.976  0.877 0.731  0.832 0.486  0.680 0.322  0.428 0.270  0.202 0.134  -0.043 0.071  -0.307 0.071  -0.571 0.071  -0.500 0.107  -0.248 0.185  -0.030 0.216  -0.093 0.071  0.126 0.025  0.333 -0.066  0.452 -0.303  0.632 -0.481  0.767 -0.707  0.911 -0.915  1.118 -1.077  1.246 -1.296  1.467 -1.389  1.467 -1.381
2#tos#t1#t1057066/S  1.021 0.526  0.936 0.600  0.878 0.741  0.828 0.877  0.766 0.998  0.689 1.094  0.554 1.142  0.419 1.170  0.293 1.248  0.134 1.248  -0.025 1.248  -0.167 1.192  -0.297 1.117  -0.380 0.985  -0.380 0.826  -0.338 0.685  -0.257 0.578  -0.147 0.526  -0.080 0.397  0.072 0.356  0.201 0.284  0.292 0.154  0.427 0.092  0.427 -0.067  0.512 -0.173  0.562 -0.281  0.597 -0.406  0.597 -0.565  0.597 -0.723  0.592 -0.880  0.479 -0.993  0.420 -1.130  0.265 -1.156  0.109 -1.173  -0.040 -1.131  -0.156 -1.088  -0.267 -1.032  -0.379 -0.919  -0.465 -0.813  -0.474 -0.663  -0.593 -0.623  -0.629 -0.470  -0.640 -0.313  -0.710 -0.196  -0.815 -0.258  -0.898 -0.390  -0.968 -0.529  -1.102 -0.606  -1.187 -0.717  -1.272 -0.791
2#tos#t1#t1057066/T  -1.192 0.640  -1.250 0.523  -1.198 0.474  -1.068 0.474  -0.938 0.475  -0.811 0.507  -0.682 0.515  -0.551 0.515  -0.432 0.564  -0.310 0.598  -0.179 0.598  -0.049 0.598  0.082 0.598  0.212 0.598  0.343 0.598  0.474 0.598  0.604 0.598  0.735 0.598  0.865 0.598  0.996 0.598  1.126 0.598  1.120 0.627  0.993 0.595  0.867 0.562  0.741 0.529  0.614 0.496  0.488 0.464  0.362 0.431  0.235 0.398  0.109 0.365  -0.020 0.350  -0.067 0.267  -0.075 0.144  -0.075 0.013  -0.075 -0.117  -0.075 -0.248  -0.075 -0.378  -0.075 -0.509  -0.075 -0.639  -0.122 -0.755  -0.157 -0.875  -0.157 -1.006  -0.157 -1.136  -0.157 -1.267  -0.157 -1.397  -0.157 -1.528  -0.157 -1.658  -0.157 -1.789  -0.157 -1.919  -0.157 -1.884
2#tos#t1#t1057066/U  -0.669 1.293  -0.709 1.213  -0.747 1.131  -0.750 1.014  -0.739 0.895  -0.709 0.780  -0.680 0.667  -0.669 0.550  -0.669 0.429  -0.669 0.309  -0.669 0.189  -0.669 0.069  -0.669 -0.051  -0.669 -0.171  -0.648 -0.288  -0.628 -0.406  -0.595 -0.518  -0.547 -0.627  -0.534 -0.745  -0.506 -0.862  -0.475 -0.969  -0.414 -1.071  -0.306 -1.100  -0.185 -1.100  -0.065 -1.100  0.055 -1.100  0.175 -1.100  0.233 -1.009  0.305 -0.942  0.358 -0.844  0.426 -0.775  0.476 -0.667  0.528 -0.573  0.556 -0.475  0.594 -0.364  0.670 -0.276  0.682 -0.157  0.710 -0.041  0.710 0.079  0.710 0.200  0.710 0.320  0.710 0.440  0.710 0.560  0.710 0.680  0.725 0.796  0.751 0.910  0.751 1.030  0.751 1.150  0.791 1.254  0.791 1.374
2#tos#t1#t1057066/V  -0.934 0.790  -1.009 0.709  -0.842 0.709  -0.674 0.709  -0.507 0.709  -0.468 0.761  -0.626 0.774  -0.732 0.651  -0.722 0.486  -0.652 0.343  -0.652 0.175  -0.627 0.014  -0.611 -0.150  -0.588 -0.314  -0.571 -0.479  -0.571 -0.647  -0.571 -0.814  -0.503 -0.939  -0.476 -1.095  -0.369 -1.176  -0.335 -1.309  -0.288 -1.453  -0.208 -1.483  -0.127 -1.365  -0.086 -1.238  0.035 -1.158  0.099 -1.035  0.167 -0.883  0.236 -0.732  0.311 -0.589  0.356 -0.428  0.430 -0.300  0.502 -0.184  0.599 -0.098  0.600 0.069  0.616 0.233  0.721 0.347  0.760 0.505  0.801 0.662  0.801 0.829  0.801 0.824  0.689 0.860  0.547 0.948  0.398 0.986  0.369 0.870  0.496 0.830  0.663 0.830  0.749 0.749  0.917 0.749  1.084 0.749
2#tos#t1#t1057066/W  -1.109 1.050  -1.209 0.920  -1.222 0.885  -1.109 0.756  -1.029 0.589  -1.029 0.397  -0.986 0.211  -0.872 0.059  -0.849 -0.124  -0.830 -0.308  -0.790 -0.461  -0.761 -0.635  -0.671 -0.787  -0.631 -0.970  -0.567 -1.018  -0.506 -0.853  -0.433 -0.691  -0.341 -0.557  -0.313 -0.372  -0.277 -0.199  -0.190 -0.051  -0.129 0.131  -0.094 0.317  -0.075 0.507  -0.075 0.684  0.005 0.572  0.005 0.379  0.044 0.227  0.044 0.035  0.062 -0.155  0.138 -0.331  0.204 -0.501  0.258 -0.650  0.381 -0.776  0.431 -0.956  0.561 -0.930  0.641 -0.817  0.706 -0.675  0.769 -0.506  0.840 -0.334  0.841 -0.143  0.919 0.001  1.038 0.144  1.038 0.336  1.118 0.479  1.118 0.672  1.197 0.840  1.225 1.026  1.237 1.215  1.277 1.368
2#tos#t1#t1057066/X  0.963 1.281  0.848 1.193  0.713 1.058  0.645 0.875  0.522 0.747  0.418 0.584  0.289 0.430  0.220 0.242  0.132 0.069  0.024 -0.100  -0.092 -0.265  -0.233 -0.411  -0.305 -0.590  -0.439 -0.726  -0.508 -0.887  -0.656 -0.991  -0.781 -1.150  -0.747 -1.169  -0.722 -0.968  -0.697 -0.767  -0.673 -0.566  -0.648 -0.365  -0.623 -0.164  -0.598 0.037  -0.574 0.238  -0.549 0.439  -0.524 0.640  -0.499 0.842  -0.475 1.043  -0.451 1.243  -0.629 1.243  -0.512 1.129  -0.423 1.014  -0.331 0.874  -0.232 0.747  -0.161 0.600  -0.106 0.414  0.008 0.273  0.070 0.115  0.177 -0.039  0.316 -0.176  0.373 -0.370  0.484 -0.531  0.611 -0.686  0.728 -0.839  0.896 -0.914  1.032 -1.048  1.155 -1.201  1.291 -1.285  1.268 -1.163
2#tos#t1#t1057066/b  -0.320 1.869  -0.260 1.824  -0.200 1.659  -0.193 1.435  -0.140 1.223  -0.140 0.998  -0.260 0.893  -0.260 0.668  -0.260 0.443  -0.308 0.226  -0.320 0.002  -0.320 -0.223  -0.320 -0.448  -0.380 -0.613  -0.380 -0.838  -0.380 -1.063  -0.380 -1.288  -0.440 -1.488  -0.500 -1.288  -0.486 -1.064  -0.470 -0.839  -0.453 -0.615  -0.436 -0.391  -0.420 -0.166  -0.403 0.058  -0.386 0.283  -0.517 0.370  -0.617 0.250  -0.406 0.284  -0.243 0.436  -0.026 0.490  0.177 0.525  0.349 0.610  0.574 0.610  0.725 0.730  0.950 0.730  1.059 0.613  1.119 0.413  1.119 0.188  1.119 -0.037  1.011 -0.217  0.858 -0.381  0.712 -0.529  0.579 -0.622  0.482 -0.806  0.386 -0.949  0.173 -1.002  -0.050 -1.009  -0.275 -1.009  -0.440 -0.949
2#tos#t1#t1057066/c  0.564 0.362  0.674 0.362  0.784 0.362  0.788 0.468  0.836 0.530  0.844 0.632  0.844 0.742  0.844 0.852  0.788 0.939  0.773 1.034  0.663 1.034  0.553 1.034  0.452 1.024  0.389 0.978  0.279 0.978  0.170 0.975  0.092 0.897  -0.005 0.866  -0.104 0.830  -0.196 0.769  -0.276 0.695  -0.329 0.624  -0.433 0.589  -0.474 0.499  -0.552 0.421  -0.555 0.313  -0.589 0.216  -0.611 0.116  -0.611 0.006  -0.611 -0.104  -0.611 -0.214  -0.611 -0.324  -0.611 -0.434  -0.611 -0.544  -0.611 -0.654  -0.611 -0.764  -0.611 -0.874  -0.555 -0.928  -0.499 -0.981  -0.426 -1.034  -0.391 -1.138  -0.290 -1.149  -0.190 -1.192  -0.091 -1.241  0.014 -1.261  0.124 -1.261  0.234 -1.261  0.344 -1.261  0.454 -1.261  0.564 -1.261
2#tos#t1#t1057066/e  -0.606 0.091  -0.767 0.037  -0.773 -0.071  -0.591 -0.071  -0.408 -0.071  -0.225 -0.071  -0.085 -0.003  0.073 0.037  0.256 0.037  0.438 0.037  0.621 0.037  0.804 0.037  0.986 0.037  1.115 0.091  1.235 0.185  1.229 0.362  1.073 0.420  1.049 0.578  0.895 0.648  0.786 0.764  0.608 0.795  0.531 0.900  0.407 0.965  0.236 1.012  0.066 1.043  -0.107 1.066  -0.263 0.982  -0.439 0.941  -0.552 0.840  -0.690 0.795  -0.715 0.637  -0.877 0.572  -0.877 0.389  -0.877 0.207  -0.877 0.024  -0.838 -0.149  -0.823 -0.329  -0.823 -0.511  -0.759 -0.677  -0.617 -0.776  -0.552 -0.938  -0.414 -1.046  -0.231 -1.046  -0.061 -1.062  -0.017 -1.239  0.148 -1.263  0.330 -1.263  0.502 -1.289  0.673 -1.317  0.802 -1.371
2#tos#t1#t1057066/f  0.885 1.764  0.710 1.806  0.535 1.848  0.351 1.880  0.185 1.829  0.034 1.764  -0.061 1.634  -0.106 1.436  -0.106 1.219  -0.106 1.002  -0.060 0.831  -0.048 0.626  -0.048 0.410  -0.048 0.193  -0.048 -0.024  -0.048 -0.241  -0.048 -0.458  -0.048 -0.675  -0.048 -0.892  -0.106 -1.050  -0.081 -1.038  -0.034 -0.827  0.013 -0.615  0.060 -0.403  0.107 -0.191  0.004 -0.108  -0.164 -0.134  -0.290 -0.028  -0.505 -0.001  -0.721 0.015  -0.615 -0.044  -0.422 -0.102  -0.206 -0.099  0.007 -0.056  0.209 0.015  0.426 0.015  0.559 -0.020  0.405 -0.173  0.252 -0.327  0.099 -0.480  -0.055 -0.634  -0.208 -0.787  -0.361 -0.940  -0.555 -1.029  -0.491 -1.151  -0.274 -1.151  -0.057 -1.151  0.160 -1.151  0.377 -1.151  0.593 -1.151
2#tos#t1#t1057066/j  0.129 1.700  0.078 1.648  0.026 1.597  -0.025 1.545  0.078 1.545  0.125 1.470  0.184 1.402  0.191 1.299  0.198 1.196  0.206 1.093  0.213 0.990  0.220 0.887  0.228 0.784  0.232 0.681  0.232 0.578  0.141 0.566  0.078 0.526  0.129 0.474  0.129 0.371  0.170 0.308  0.181 0.216  0.181 0.113  0.181 0.010  0.181 -0.093  0.181 -0.197  0.210 -0.295  0.256 -0.385  0.284 -0.477  0.284 -0.580  0.284 -0.683  0.284 -0.786  0.284 -0.889  0.284 -0.993  0.284 -1.096  0.219 -1.134  0.116 -1.134  0.013 -1.134  -0.084 -1.105  -0.181 -1.083  -0.285 -1.082  -0.377 -1.036  -0.427 -0.980  -0.531 -0.980  -0.592 -0.938  -0.592 -0.835  -0.644 -0.753  -0.665 -0.671  -0.747 -0.650  -0.747 -0.546  -0.798 -0.465
2#tos#t1#t1057066/l  0.028 1.766  -0.067 1.765  -0.069 1.671  -0.160 1.671  -0.115 1.620  -0.115 1.525  -0.115 1.429  -0.115 1.333  -0.110 1.239  -0.067 1.161  -0.067 1.065  -0.067 0.970  -0.067 0.874  -0.029 0.817  -0.020 0.730  -0.020 0.634  -0.020 0.538  -0.020 0.443  0.002 0.350  0.025 0.257  0.028 0.161  0.028 0.065  0.028 -0.030  0.028 -0.126  0.028 -0.222  0.028 -0.318  0.028 -0.413  0.028 -0.509  0.028 -0.605  0.074 -0.654  0.075 -0.749  0.076 -0.844  0.122 -0.893  0.076 -0.921  -0.013 -0.885  -0.101 -0.850  -0.149 -0.892  -0.236 -0.928  -0.321 -0.971  -0.338 -1.034  -0.242 -1.034  -0.147 -1.034  -0.053 -1.027  0.034 -0.987  0.129 -0.987  0.225 -0.987  0.320 -0.990  0.406 -1.033  0.454 -1.081  0.550 -1.081
2#tos#t1#t1057066/m  -0.841 0.760  -0.961 0.824  -0.968 0.774  -0.904 0.605  -0.904 0.422  -0.904 0.239  -0.911 0.059  -0.968 -0.100  -0.968 -0.283  -0.968 -0.466  -0.968 -0.649  -0.968 -0.832  -0.968 -1.001  -0.911 -0.832  -0.875 -0.663  -0.841 -0.494  -0.795 -0.330  -0.715 -0.180  -0.715 0.003  -0.652 0.171  -0.525 0.228  -0.525 0.411  -0.439 0.508  -0.320 0.571  -0.197 0.458  -0.055 0.381  0.050 0.255  0.135 0.135  0.169 -0.040  0.277 -0.149  0.306 -0.323  0.359 -0.484  0.460 -0.566  0.485 -0.408  0.485 -0.225  0.494 -0.044  0.549 0.126  0.675 0.256  0.768 0.412  0.897 0.510  1.043 0.571  1.180 0.525  1.307 0.432  1.307 0.249  1.307 0.066  1.423 -0.041  1.433 -0.222  1.496 -0.379  1.538 -0.545  1.623 -0.693
2#tos#t1#t1057066/p  -0.214 1.224  -0.276 1.065  -0.276 0.843  -0.276 0.622  -0.276 0.400  -0.276 0.179  -0.276 -0.043  -0.278 -0.264  -0.348 -0.474  -0.400 -0.687  -0.400 -0.909  -0.400 -1.130  -0.400 -1.352  -0.400 -1.573  -0.338 -1.780  -0.338 -1.727  -0.333 -1.506  -0.328 -1.284  -0.323 -1.063  -0.318 -0.842  -0.313 -0.620  -0.308 -0.399  -0.303 -0.177  -0.298 0.044  -0.293 0.266  -0.288 0.487  -0.284 0.709  -0.279 0.930  -0.389 1.039  -0.462 1.100  -0.241 1.101  -0.019 1.101  0.202 1.101  0.422 1.092  0.631 1.039  0.791 0.977  1.012 0.977  1.083 0.827  1.083 0.605  1.083 0.384  0.956 0.286  0.898 0.074  0.831 -0.106  0.648 -0.229  0.465 -0.329  0.302 -0.402  0.116 -0.505  -0.091 -0.490  -0.204 -0.382  -0.276 -0.197
2#tos#t1#t1057066/q  0.464 0.524  0.257 0.524  0.172 0.685  0.014 0.793  -0.158 0.862  -0.312 0.948  -0.505 1.008  -0.685 0.981  -0.799 0.887  -0.867 0.747  -0.891 0.548  -0.988 0.369  -0.988 0.162  -0.988 -0.045  -0.988 -0.253  -0.867 -0.375  -0.675 -0.427  -0.516 -0.553  -0.313 -0.565  -0.114 -0.614  0.092 -0.625  0.162 -0.452  0.200 -0.250  0.257 -0.051  0.314 0.148  0.371 0.348  0.428 0.547  0.485 0.747  0.542 0.946  0.599 1.145  0.611 1.311  0.525 1.189  0.525 0.982  0.525 0.774  0.506 0.569  0.448 0.371  0.378 0.177  0.343 -0.026  0.343 -0.233  0.343 -0.441  0.343 -0.648  0.343 -0.855  0.223 -0.988  0.222 -1.195  0.222 -1.403  0.210 -1.581  0.101 -1.525  -0.031 -1.637  -0.046 -1.775  0.162 -1.775
2#tos#t1#t1057066/r  -0.149 1.461  -0.176 1.319  -0.265 1.237  -0.265 1.084  -0.265 0.931  -0.265 0.779  -0.207 0.650  -0.207 0.497  -0.264 0.368  -0.265 0.215  -0.265 0.062  -0.265 -0.090  -0.265 -0.243  -0.265 -0.396  -0.265 -0.549  -0.265 -0.702  -0.335 -0.833  -0.380 -0.972  -0.380 -1.125  -0.380 -1.278  -0.380 -1.431  -0.380 -1.583  -0.400 -1.571  -0.437 -1.434  -0.437 -1.281  -0.437 -1.128  -0.406 -0.981  -0.380 -0.832  -0.380 -0.679  -0.380 -0.527  -0.293 -0.438  -0.207 -0.316  -0.207 -0.163  -0.149 -0.024  -0.101 0.117  -0.031 0.251  0.078 0.333  0.139 0.467  0.277 0.482  0.312 0.600  0.405 0.686  0.553 0.712  0.706 0.712  0.830 0.741  0.896 0.828  1.003 0.874  1.144 0.885  1.295 0.881  1.348 0.750  1.406 0.655
2#tos#t1#t1057066/t  -0.768 0.680  -0.877 0.617  -1.005 0.506  -1.139 0.399  -1.294 0.321  -1.220 0.298  -1.046 0.298  -0.873 0.298  -0.713 0.357  -0.567 0.425  -0.393 0.425  -0.220 0.425  -0.051 0.452  0.117 0.489  0.291 0.489  0.464 0.489  0.638 0.490  0.806 0.532  0.810 0.592  0.655 0.670  0.500 0.747  0.345 0.825  0.189 0.903  0.034 0.980  -0.135 0.999  -0.207 0.999  -0.194 0.838  -0.194 0.665  -0.194 0.491  -0.194 0.318  -0.194 0.144  -0.194 -0.029  -0.194 -0.203  -0.194 -0.377  -0.194 -0.550  -0.194 -0.724  -0.194 -0.897  -0.152 -1.061  -0.018 -1.160  0.075 -1.295  0.185 -1.358  0.358 -1.358  0.532 -1.358  0.679 -1.295  0.834 -1.269  0.889 -1.104  1.025 -1.023  1.102 -0.868  1.144 -0.704  1.144 -0.530
2#tos#t1#t1057066/v  -0.983 0.991  -1.185 0.984  -1.185 0.776  -1.042 0.704  -0.915 0.577  -0.900 0.384  -0.713 0.363  -0.713 0.155  -0.642 -0.024  -0.525 -0.194  -0.376 -0.315  -0.376 -0.524  -0.274 -0.696  -0.120 -0.822  -0.107 -1.022  -0.080 -1.107  0.005 -0.917  0.090 -0.726  0.175 -0.536  0.260 -0.346  0.345 -0.156  0.430 0.034  0.515 0.224  0.600 0.415  0.685 0.605  0.770 0.795  0.855 0.985  0.940 1.175  1.026 1.365  0.904 1.353  0.856 1.193  0.769 1.071  0.642 0.991  0.634 0.790  0.536 0.622  0.436 0.455  0.365 0.276  0.365 0.068  0.365 -0.140  0.181 -0.216  0.068 -0.384  -0.079 -0.532  -0.131 -0.718  -0.278 -0.866  -0.378 -1.033  -0.511 -1.186  -0.511 -1.394  -0.430 -1.291  -0.256 -1.175  -0.107 -1.031
2#tos#t1#t1057066/z  -0.443 1.414  -0.443 1.272  -0.529 1.166  -0.629 1.066  -0.713 0.959  -0.713 0.925  -0.624 0.873  -0.482 0.873  -0.340 0.873  -0.200 0.853  -0.063 0.819  0.079 0.819  0.221 0.819  0.363 0.819  0.505 0.819  0.647 0.819  0.789 0.819  0.728 0.765  0.597 0.716  0.586 0.582  0.480 0.522  0.369 0.467  0.363 0.330  0.228 0.285  0.178 0.162  0.119 0.044  0.003 -0.035  -0.090 -0.141  -0.169 -0.259  -0.269 -0.360  -0.391 -0.430  -0.454 -0.557  -0.529 -0.675  -0.608 -0.751  -0.659 -0.842  -0.713 -0.929  -0.664 -1.022  -0.576 -1.076  -0.434 -1.076  -0.292 -1.076  -0.150 -1.076  -0.008 -1.076  0.134 -1.076  0.275 -1.076  0.417 -1.076  0.559 -1.076  0.701 -1.076  0.843 -1.076  0.985 -1.076  1.019 -0.967
