3#apb#apb38#app3868/4  -0.459 0.388  -0.338 0.550  -0.213 0.708  -0.083 0.863  0.036 1.026  -0.076 0.979  -0.193 0.815  -0.301 0.644  -0.416 0.478  -0.533 0.314  -0.645 0.146  -0.756 -0.023  -0.847 -0.203  -0.941 -0.381  -0.924 -0.499  -0.725 -0.466  -0.526 -0.432  -0.327 -0.397  -0.126 -0.395  0.075 -0.410  0.273 -0.448  0.430 -0.353  0.497 -0.163  0.564 0.028  0.631 0.218  0.698 0.409  0.765 0.599  0.833 0.790  0.900 0.980  0.967 1.171  1.020 1.320  0.953 1.130  0.883 0.941  0.790 0.761  0.698 0.581  0.606 0.402  0.499 0.230  0.390 0.060  0.281 -0.110  0.172 -0.279  0.058 -0.446  -0.057 -0.613  -0.171 -0.779  -0.286 -0.945  -0.402 -1.111  -0.519 -1.275  -0.637 -1.439  -0.753 -1.604  -0.840 -1.787  -0.927 -1.969
3#apb#apb38#app3868/B  -0.749 -1.553  -0.771 -1.678  -0.775 -1.509  -0.745 -1.343  -0.700 -1.179  -0.650 -1.016  -0.601 -0.853  -0.547 -0.692  -0.492 -0.531  -0.437 -0.370  -0.387 -0.207  -0.336 -0.045  -0.286 0.118  -0.236 0.280  -0.185 0.443  -0.133 0.605  -0.074 0.764  -0.016 0.924  0.059 1.076  0.153 1.217  0.267 1.339  0.410 1.432  0.561 1.510  0.710 1.447  0.772 1.300  0.741 1.133  0.674 0.976  0.581 0.837  0.467 0.710  0.339 0.599  0.203 0.497  0.061 0.402  -0.096 0.339  -0.148 0.300  0.020 0.269  0.186 0.234  0.342 0.175  0.474 0.067  0.579 -0.066  0.631 -0.227  0.596 -0.388  0.517 -0.537  0.403 -0.662  0.271 -0.768  0.120 -0.847  -0.038 -0.906  -0.204 -0.945  -0.373 -0.950  -0.540 -0.921  -0.620 -0.799
3#apb#apb38#app3868/e  -0.964 -0.468  -1.076 -0.492  -0.990 -0.621  -0.899 -0.746  -0.770 -0.818  -0.615 -0.818  -0.472 -0.781  -0.349 -0.686  -0.226 -0.592  -0.103 -0.497  0.024 -0.407  0.150 -0.316  0.276 -0.226  0.386 -0.119  0.481 0.004  0.575 0.128  0.669 0.251  0.764 0.374  0.863 0.494  0.961 0.614  1.045 0.742  1.078 0.893  1.101 1.046  1.101 1.202  0.961 1.236  0.807 1.242  0.652 1.231  0.497 1.220  0.366 1.153  0.253 1.047  0.139 0.941  0.026 0.835  -0.082 0.724  -0.180 0.603  -0.278 0.482  -0.376 0.362  -0.465 0.237  -0.517 0.090  -0.569 -0.056  -0.620 -0.203  -0.641 -0.353  -0.630 -0.508  -0.619 -0.663  -0.565 -0.804  -0.483 -0.936  -0.402 -1.068  -0.289 -1.162  -0.143 -1.217  0.002 -1.271  0.147 -1.326
3#apb#apb38#app3868/a  1.246 1.087  1.107 1.149  0.953 1.165  0.798 1.153  0.643 1.141  0.506 1.069  0.370 0.994  0.234 0.918  0.098 0.844  -0.040 0.772  -0.177 0.700  -0.315 0.627  -0.423 0.519  -0.520 0.397  -0.617 0.276  -0.714 0.155  -0.808 0.031  -0.897 -0.096  -0.986 -0.224  -1.075 -0.351  -1.153 -0.483  -1.173 -0.637  -1.194 -0.791  -1.162 -0.936  -1.088 -1.068  -0.933 -1.068  -0.777 -1.068  -0.638 -1.005  -0.503 -0.929  -0.367 -0.853  -0.239 -0.766  -0.113 -0.674  0.012 -0.582  0.119 -0.473  0.209 -0.346  0.299 -0.219  0.388 -0.092  0.471 0.040  0.554 0.171  0.636 0.303  0.717 0.436  0.740 0.472  0.723 0.318  0.697 0.165  0.687 0.010  0.687 -0.145  0.706 -0.299  0.728 -0.453  0.765 -0.603  0.820 -0.749
3#apb#apb38#app3868/v  -1.691 -0.691  -1.640 -0.735  -1.507 -0.711  -1.382 -0.625  -1.260 -0.533  -1.155 -0.422  -1.050 -0.311  -0.946 -0.200  -0.835 -0.095  -0.718 0.003  -0.602 0.101  -0.485 0.200  -0.367 0.297  -0.250 0.394  -0.132 0.491  -0.021 0.595  0.081 0.709  0.205 0.774  0.137 0.660  0.077 0.519  0.011 0.382  -0.061 0.247  -0.132 0.112  -0.203 -0.023  -0.275 -0.158  -0.346 -0.293  -0.400 -0.435  -0.448 -0.580  -0.419 -0.726  -0.292 -0.770  -0.140 -0.779  0.009 -0.747  0.158 -0.715  0.293 -0.645  0.428 -0.573  0.552 -0.486  0.660 -0.378  0.768 -0.270  0.862 -0.151  0.949 -0.025  1.038 0.098  1.135 0.216  1.224 0.338  1.272 0.483  1.270 0.633  1.238 0.782  1.156 0.890  1.043 0.986  1.020 1.073  1.171 1.095
3#apb#apb38#app3868/e  -1.151 -0.860  -1.039 -0.909  -0.922 -1.011  -0.771 -1.024  -0.621 -0.979  -0.476 -0.925  -0.353 -0.829  -0.231 -0.732  -0.109 -0.635  0.002 -0.524  0.112 -0.414  0.223 -0.304  0.312 -0.176  0.399 -0.046  0.486 0.083  0.573 0.212  0.673 0.332  0.773 0.452  0.854 0.583  0.904 0.731  0.953 0.879  0.972 1.032  0.972 1.188  0.885 1.313  0.759 1.352  0.607 1.314  0.460 1.266  0.318 1.200  0.177 1.133  0.039 1.063  -0.065 0.947  -0.170 0.830  -0.274 0.714  -0.378 0.598  -0.450 0.462  -0.504 0.316  -0.558 0.169  -0.609 0.022  -0.629 -0.133  -0.650 -0.288  -0.632 -0.437  -0.571 -0.581  -0.509 -0.724  -0.398 -0.829  -0.275 -0.925  -0.127 -0.969  0.026 -1.002  0.178 -1.012  0.330 -0.977  0.482 -0.942
3#apb#apb38#app3868/r  -1.210 -1.443  -1.112 -1.403  -1.050 -1.301  -0.990 -1.198  -0.917 -1.104  -0.844 -1.010  -0.778 -0.911  -0.714 -0.811  -0.651 -0.709  -0.595 -0.604  -0.538 -0.499  -0.484 -0.394  -0.437 -0.284  -0.390 -0.174  -0.344 -0.064  -0.304 0.048  -0.265 0.160  -0.225 0.273  -0.190 0.387  -0.160 0.502  -0.130 0.617  -0.099 0.732  -0.072 0.848  -0.047 0.965  -0.022 1.081  0.028 1.188  0.091 1.288  0.187 1.342  0.279 1.268  0.348 1.171  0.417 1.073  0.486 0.976  0.554 0.878  0.589 0.765  0.623 0.650  0.657 0.536  0.677 0.420  0.677 0.300  0.677 0.181  0.671 0.063  0.644 -0.053  0.616 -0.169  0.589 -0.285  0.561 -0.401  0.557 -0.520  0.557 -0.639  0.556 -0.758  0.532 -0.875  0.509 -0.992  0.486 -1.109
3#apb#apb38#app3868/R  -0.766 -1.842  -0.730 -1.703  -0.677 -1.567  -0.605 -1.437  -0.563 -1.295  -0.517 -1.155  -0.459 -1.018  -0.403 -0.881  -0.359 -0.740  -0.315 -0.598  -0.274 -0.456  -0.236 -0.313  -0.198 -0.169  -0.157 -0.027  -0.112 0.114  -0.066 0.255  -0.019 0.395  0.038 0.532  0.096 0.669  0.153 0.805  0.211 0.942  0.269 1.078  0.341 1.207  0.421 1.331  0.521 1.440  0.652 1.499  0.756 1.423  0.766 1.277  0.737 1.133  0.696 0.990  0.627 0.859  0.549 0.734  0.456 0.619  0.351 0.515  0.236 0.423  0.109 0.346  -0.021 0.274  -0.155 0.212  -0.293 0.158  -0.410 0.100  -0.347 -0.018  -0.256 -0.133  -0.197 -0.270  -0.136 -0.405  -0.066 -0.535  -0.003 -0.668  0.046 -0.808  0.072 -0.954  0.088 -1.101  0.145 -1.235
3#apb#apb38#app3868/d  -0.088 -0.793  -0.128 -0.668  -0.255 -0.741  -0.370 -0.831  -0.468 -0.941  -0.561 -1.056  -0.604 -1.198  -0.646 -1.340  -0.652 -1.485  -0.551 -1.511  -0.450 -1.404  -0.333 -1.313  -0.271 -1.179  -0.207 -1.046  -0.141 -0.914  -0.077 -0.780  -0.023 -0.642  0.031 -0.504  0.080 -0.365  0.124 -0.224  0.167 -0.082  0.209 0.060  0.238 0.205  0.267 0.350  0.296 0.495  0.322 0.641  0.339 0.788  0.356 0.935  0.374 1.082  0.388 1.229  0.399 1.376  0.411 1.524  0.415 1.672  0.330 1.642  0.254 1.516  0.188 1.384  0.141 1.244  0.094 1.103  0.068 0.958  0.044 0.812  0.024 0.665  0.019 0.517  0.014 0.370  0.009 0.222  0.014 0.074  0.019 -0.074  0.024 -0.222  0.037 -0.369  0.056 -0.516  0.074 -0.663
3#apb#apb38#app3868/6  0.807 1.768  0.699 1.775  0.616 1.692  0.540 1.603  0.465 1.512  0.393 1.419  0.322 1.326  0.251 1.232  0.181 1.138  0.119 1.038  0.057 0.938  -0.005 0.838  -0.067 0.738  -0.128 0.638  -0.188 0.536  -0.248 0.435  -0.308 0.334  -0.368 0.233  -0.428 0.132  -0.470 0.023  -0.507 -0.089  -0.543 -0.201  -0.580 -0.312  -0.616 -0.424  -0.641 -0.538  -0.648 -0.656  -0.655 -0.773  -0.647 -0.885  -0.570 -0.974  -0.494 -1.063  -0.399 -1.123  -0.284 -1.150  -0.170 -1.177  -0.056 -1.151  0.059 -1.124  0.157 -1.069  0.238 -0.984  0.319 -0.899  0.385 -0.802  0.441 -0.699  0.486 -0.591  0.513 -0.477  0.521 -0.363  0.486 -0.251  0.411 -0.166  0.310 -0.160  0.201 -0.205  0.106 -0.272  0.015 -0.347  -0.076 -0.421
3#apb#apb38#app3868/3  -0.956 0.629  -0.955 0.673  -0.844 0.696  -0.737 0.732  -0.631 0.771  -0.525 0.811  -0.420 0.854  -0.316 0.896  -0.212 0.941  -0.110 0.990  -0.008 1.039  0.094 1.089  0.204 1.114  0.315 1.137  0.422 1.137  0.516 1.078  0.551 0.975  0.500 0.874  0.440 0.779  0.369 0.691  0.298 0.603  0.229 0.514  0.159 0.424  0.077 0.347  0.002 0.264  -0.051 0.165  -0.027 0.059  0.039 -0.032  0.126 -0.104  0.211 -0.179  0.294 -0.256  0.378 -0.332  0.461 -0.409  0.502 -0.510  0.525 -0.620  0.518 -0.731  0.493 -0.841  0.424 -0.931  0.348 -1.013  0.256 -1.079  0.164 -1.145  0.066 -1.202  -0.032 -1.259  -0.131 -1.313  -0.231 -1.365  -0.337 -1.402  -0.449 -1.416  -0.561 -1.409  -0.672 -1.390  -0.777 -1.348
3#apb#apb38#app3868/W  -0.199 1.568  -0.263 1.388  -0.338 1.211  -0.394 1.027  -0.450 0.844  -0.504 0.660  -0.559 0.476  -0.614 0.292  -0.651 0.104  -0.676 -0.086  -0.702 -0.276  -0.729 -0.466  -0.760 -0.656  -0.780 -0.845  -0.761 -1.036  -0.713 -1.220  -0.563 -1.184  -0.441 -1.037  -0.345 -0.870  -0.250 -0.703  -0.164 -0.532  -0.082 -0.359  -0.034 -0.173  0.006 0.014  0.025 0.205  0.013 0.199  -0.036 0.013  -0.069 -0.176  -0.096 -0.366  -0.109 -0.557  -0.102 -0.749  -0.064 -0.935  0.029 -1.095  0.196 -1.090  0.327 -0.949  0.434 -0.791  0.530 -0.625  0.613 -0.452  0.683 -0.274  0.735 -0.089  0.776 0.098  0.786 0.289  0.797 0.481  0.808 0.672  0.819 0.864  0.815 1.056  0.802 1.247  0.779 1.438  0.751 1.627  0.723 1.817
3#apb#apb38#app3868/i  -1.363 -1.430  -1.285 -1.300  -1.173 -1.202  -1.081 -1.082  -0.992 -0.959  -0.905 -0.834  -0.818 -0.710  -0.736 -0.582  -0.668 -0.446  -0.600 -0.311  -0.532 -0.175  -0.450 -0.047  -0.364 0.078  -0.278 0.203  -0.192 0.328  -0.110 0.456  -0.032 0.586  0.046 0.716  0.125 0.846  0.206 0.974  0.290 1.101  0.208 1.223  0.114 1.144  0.027 1.020  -0.060 0.895  -0.135 0.763  -0.207 0.630  -0.279 0.496  -0.343 0.358  -0.400 0.217  -0.444 0.076  -0.392 -0.067  -0.340 -0.209  -0.260 -0.334  -0.152 -0.442  -0.032 -0.517  0.120 -0.517  0.272 -0.513  0.416 -0.465  0.560 -0.417  0.704 -0.369  0.840 -0.304  0.970 -0.226  1.101 -0.148  1.204 -0.037  1.305 0.076  1.407 0.189  1.504 0.306  1.595 0.427  1.614 0.532
3#apb#apb38#app3868/l  -0.992 -1.590  -0.896 -1.507  -0.802 -1.406  -0.716 -1.298  -0.636 -1.186  -0.553 -1.076  -0.455 -0.978  -0.365 -0.874  -0.280 -0.766  -0.205 -0.650  -0.133 -0.532  -0.073 -0.408  -0.014 -0.283  0.046 -0.159  0.106 -0.035  0.165 0.090  0.224 0.215  0.282 0.340  0.339 0.465  0.387 0.595  0.434 0.724  0.476 0.856  0.511 0.989  0.543 1.123  0.550 1.261  0.553 1.398  0.542 1.536  0.455 1.549  0.356 1.454  0.291 1.332  0.230 1.209  0.178 1.081  0.126 0.953  0.085 0.822  0.050 0.688  0.016 0.554  -0.017 0.420  -0.048 0.286  -0.079 0.151  -0.107 0.017  -0.111 -0.121  -0.115 -0.259  -0.118 -0.397  -0.108 -0.535  -0.099 -0.672  -0.076 -0.808  -0.041 -0.941  -0.005 -1.074  0.032 -1.207  0.068 -1.340
3#apb#apb38#app3868/s  0.712 1.157  0.580 1.133  0.448 1.109  0.317 1.076  0.187 1.042  0.057 1.008  -0.073 0.974  -0.205 0.950  -0.337 0.927  -0.470 0.903  -0.603 0.895  -0.738 0.895  -0.845 0.830  -0.777 0.735  -0.668 0.661  -0.544 0.609  -0.420 0.557  -0.302 0.493  -0.185 0.427  -0.068 0.362  0.050 0.297  0.170 0.236  0.290 0.176  0.410 0.116  0.531 0.056  0.641 -0.019  0.744 -0.105  0.847 -0.191  0.939 -0.289  1.019 -0.396  1.039 -0.518  0.991 -0.639  0.904 -0.741  0.790 -0.800  0.660 -0.833  0.529 -0.859  0.394 -0.859  0.260 -0.859  0.125 -0.859  -0.009 -0.864  -0.142 -0.882  -0.275 -0.899  -0.408 -0.917  -0.542 -0.934  -0.674 -0.921  -0.807 -0.900  -0.940 -0.880  -1.072 -0.858  -1.201 -0.819  -1.330 -0.781
3#apb#apb38#app3868/h  -0.982 -1.135  -0.819 -1.148  -0.704 -1.026  -0.584 -0.882  -0.493 -0.718  -0.398 -0.555  -0.301 -0.395  -0.207 -0.231  -0.116 -0.067  -0.037 0.103  0.030 0.279  0.088 0.457  0.128 0.641  0.168 0.825  0.191 1.011  0.213 1.198  0.212 1.386  0.200 1.573  0.183 1.760  0.156 1.919  0.166 1.731  0.147 1.544  0.127 1.357  0.092 1.172  0.057 0.987  0.024 0.802  -0.007 0.617  -0.038 0.431  -0.069 0.246  -0.107 0.062  -0.146 -0.122  -0.184 -0.306  -0.213 -0.492  -0.239 -0.678  -0.261 -0.865  -0.275 -1.053  -0.272 -1.240  -0.233 -1.167  -0.160 -0.994  -0.078 -0.824  0.009 -0.658  0.118 -0.506  0.241 -0.364  0.391 -0.252  0.514 -0.321  0.536 -0.508  0.558 -0.694  0.643 -0.856  0.785 -0.975  0.948 -1.069
3#apb#apb38#app3868/i  -1.019 -0.938  -0.929 -1.031  -0.812 -0.990  -0.719 -0.892  -0.628 -0.791  -0.566 -0.671  -0.509 -0.547  -0.452 -0.424  -0.395 -0.301  -0.346 -0.175  -0.319 -0.042  -0.298 0.092  -0.295 0.169  -0.375 0.061  -0.393 -0.070  -0.393 -0.206  -0.393 -0.342  -0.382 -0.477  -0.357 -0.610  -0.290 -0.726  -0.212 -0.837  -0.105 -0.921  0.011 -0.979  0.147 -0.979  0.269 -0.930  0.383 -0.857  0.487 -0.771  0.588 -0.679  0.682 -0.582  0.763 -0.475  0.799 -0.344  0.809 -0.211  0.754 -0.087  0.700 0.038  0.645 0.162  0.591 0.286  0.537 0.411  0.482 0.535  0.428 0.660  0.373 0.784  0.319 0.909  0.264 1.033  0.210 1.158  0.155 1.282  0.101 1.406  0.047 1.531  -0.008 1.655  -0.062 1.780  -0.117 1.904  -0.171 2.029
3#apb#apb38#app3868/r  -0.974 -1.438  -1.044 -1.533  -0.935 -1.472  -0.828 -1.408  -0.732 -1.331  -0.661 -1.229  -0.589 -1.127  -0.546 -1.010  -0.505 -0.892  -0.463 -0.774  -0.419 -0.657  -0.371 -0.542  -0.324 -0.426  -0.276 -0.311  -0.259 -0.188  -0.245 -0.064  -0.231 0.060  -0.218 0.184  -0.205 0.309  -0.193 0.433  -0.180 0.557  -0.181 0.681  -0.196 0.805  -0.212 0.929  -0.222 1.053  -0.222 1.178  -0.198 1.279  -0.080 1.253  0.028 1.191  0.145 1.148  0.264 1.109  0.366 1.037  0.468 0.966  0.569 0.892  0.669 0.817  0.738 0.717  0.794 0.605  0.797 0.481  0.797 0.356  0.771 0.237  0.712 0.127  0.653 0.017  0.595 -0.093  0.540 -0.205  0.484 -0.317  0.444 -0.434  0.420 -0.557  0.408 -0.680  0.415 -0.805  0.433 -0.928
3#apb#apb38#app3868/e  -1.312 -1.057  -1.248 -1.036  -1.126 -1.126  -0.986 -1.058  -0.846 -0.988  -0.704 -0.922  -0.563 -0.856  -0.429 -0.776  -0.305 -0.681  -0.181 -0.586  -0.062 -0.485  0.042 -0.368  0.146 -0.251  0.250 -0.134  0.349 -0.013  0.446 0.110  0.543 0.232  0.640 0.356  0.691 0.503  0.743 0.651  0.795 0.799  0.803 0.954  0.803 1.110  0.776 1.257  0.680 1.381  0.551 1.420  0.397 1.394  0.262 1.320  0.135 1.229  0.014 1.132  -0.076 1.004  -0.166 0.876  -0.255 0.748  -0.327 0.610  -0.378 0.462  -0.429 0.315  -0.481 0.167  -0.483 0.012  -0.476 -0.144  -0.468 -0.301  -0.389 -0.423  -0.274 -0.530  -0.159 -0.636  -0.017 -0.695  0.132 -0.743  0.281 -0.790  0.432 -0.829  0.587 -0.850  0.742 -0.871  0.897 -0.892
3#apb#apb38#app3868/B  -1.406 -1.102  -1.444 -1.166  -1.361 -1.032  -1.258 -0.911  -1.150 -0.795  -1.041 -0.680  -0.931 -0.565  -0.828 -0.445  -0.726 -0.324  -0.624 -0.202  -0.520 -0.082  -0.417 0.038  -0.312 0.157  -0.198 0.267  -0.084 0.377  0.030 0.488  0.152 0.589  0.277 0.686  0.402 0.784  0.530 0.877  0.661 0.967  0.791 1.058  0.933 1.129  1.078 1.191  1.166 1.139  1.082 1.009  0.973 0.895  0.860 0.783  0.736 0.685  0.608 0.590  0.470 0.513  0.350 0.412  0.240 0.297  0.159 0.167  0.232 0.058  0.382 0.008  0.533 -0.039  0.636 -0.138  0.622 -0.288  0.549 -0.428  0.446 -0.545  0.316 -0.636  0.174 -0.706  0.022 -0.738  -0.136 -0.746  -0.295 -0.753  -0.453 -0.757  -0.609 -0.731  -0.761 -0.687  -0.859 -0.670
3#apb#apb38#app3868/l  -1.318 -1.338  -1.209 -1.395  -1.078 -1.378  -0.962 -1.315  -0.866 -1.226  -0.781 -1.124  -0.695 -1.022  -0.608 -0.922  -0.522 -0.821  -0.435 -0.721  -0.356 -0.614  -0.280 -0.505  -0.204 -0.396  -0.128 -0.287  -0.053 -0.178  0.022 -0.068  0.096 0.042  0.171 0.152  0.243 0.263  0.307 0.379  0.372 0.495  0.436 0.611  0.501 0.727  0.559 0.847  0.613 0.968  0.668 1.089  0.722 1.210  0.782 1.329  0.827 1.449  0.742 1.347  0.660 1.243  0.585 1.133  0.511 1.023  0.436 0.913  0.371 0.798  0.307 0.681  0.242 0.565  0.178 0.449  0.122 0.329  0.076 0.205  0.031 0.080  -0.014 -0.045  -0.060 -0.170  -0.100 -0.296  -0.126 -0.426  -0.153 -0.556  -0.180 -0.686  -0.180 -0.816  -0.150 -0.945  -0.121 -1.075
3#apb#apb38#app3868/v  -1.683 -0.538  -1.665 -0.499  -1.559 -0.424  -1.452 -0.349  -1.339 -0.283  -1.226 -0.217  -1.113 -0.151  -1.000 -0.085  -0.891 -0.015  -0.784 0.060  -0.672 0.128  -0.557 0.190  -0.450 0.263  -0.346 0.344  -0.222 0.363  -0.140 0.286  -0.194 0.167  -0.248 0.048  -0.303 -0.071  -0.358 -0.190  -0.416 -0.307  -0.471 -0.424  -0.500 -0.552  -0.460 -0.664  -0.350 -0.720  -0.222 -0.746  -0.099 -0.705  0.024 -0.662  0.147 -0.617  0.267 -0.565  0.387 -0.513  0.499 -0.449  0.591 -0.357  0.684 -0.265  0.770 -0.167  0.844 -0.060  0.919 0.047  0.963 0.169  0.999 0.295  1.027 0.422  1.047 0.551  1.047 0.679  1.009 0.804  0.934 0.907  0.850 0.979  0.899 0.861  1.013 0.800  1.141 0.775  1.265 0.737  1.395 0.719
3#apb#apb38#app3868/d  -0.137 -0.127  -0.137 0.031  -0.265 -0.018  -0.396 -0.106  -0.535 -0.184  -0.660 -0.278  -0.772 -0.390  -0.881 -0.505  -0.982 -0.627  -1.081 -0.750  -1.159 -0.888  -1.219 -1.029  -1.174 -1.173  -1.027 -1.230  -0.881 -1.170  -0.736 -1.107  -0.600 -1.024  -0.465 -0.941  -0.359 -0.824  -0.253 -0.706  -0.152 -0.584  -0.061 -0.455  0.031 -0.325  0.117 -0.193  0.193 -0.054  0.269 0.085  0.346 0.224  0.409 0.369  0.468 0.516  0.527 0.663  0.578 0.813  0.619 0.966  0.660 1.119  0.702 1.272  0.746 1.424  0.801 1.555  0.746 1.408  0.708 1.254  0.669 1.101  0.628 0.948  0.586 0.795  0.545 0.642  0.508 0.488  0.484 0.331  0.461 0.174  0.437 0.018  0.416 -0.139  0.421 -0.297  0.426 -0.456  0.432 -0.614
3#apb#apb38#app3868/,  0.013 1.537  0.058 1.474  0.103 1.411  0.148 1.349  0.193 1.286  0.237 1.223  0.282 1.161  0.323 1.095  0.363 1.029  0.403 0.963  0.442 0.897  0.482 0.831  0.522 0.765  0.561 0.699  0.601 0.633  0.623 0.565  0.594 0.494  0.566 0.422  0.537 0.350  0.509 0.279  0.480 0.207  0.451 0.136  0.423 0.064  0.384 -0.001  0.332 -0.058  0.279 -0.114  0.227 -0.171  0.174 -0.227  0.122 -0.284  0.069 -0.340  0.017 -0.397  -0.036 -0.453  -0.088 -0.510  -0.141 -0.566  -0.193 -0.623  -0.245 -0.679  -0.298 -0.736  -0.356 -0.786  -0.418 -0.831  -0.481 -0.876  -0.544 -0.920  -0.607 -0.965  -0.669 -1.010  -0.732 -1.055  -0.795 -1.100  -0.857 -1.144  -0.920 -1.189  -0.983 -1.234  -1.046 -1.279  -1.108 -1.324
3#apb#apb38#app3868/#  0.555 1.451  0.491 1.097  0.329 0.756  0.152 0.423  -0.043 0.098  -0.245 -0.221  -0.456 -0.535  -0.689 -0.832  -0.922 -1.130  -0.790 -1.009  -0.515 -0.749  -0.240 -0.490  0.034 -0.230  0.309 0.030  0.584 0.289  0.859 0.549  1.134 0.808  1.409 1.068  1.573 1.066  1.443 0.717  1.256 0.388  1.054 0.068  0.854 -0.252  0.659 -0.576  0.489 -0.913  0.197 -0.800  -0.124 -0.600  -0.444 -0.399  -0.765 -0.198  -1.085 0.002  -1.406 0.203  -1.415 0.323  -1.041 0.372  -0.665 0.399  -0.294 0.473  0.078 0.541  0.449 0.611  0.815 0.705  0.748 0.600  0.438 0.383  0.129 0.166  -0.181 -0.051  -0.491 -0.268  -0.800 -0.485  -1.110 -0.702  -1.199 -0.781  -0.829 -0.727  -0.462 -0.642  -0.096 -0.545  0.270 -0.453
3#apb#apb38#app3868/1  -0.613 0.246  -0.755 0.246  -0.832 0.229  -0.687 0.232  -0.525 0.314  -0.365 0.399  -0.218 0.504  -0.073 0.614  0.066 0.730  0.205 0.846  0.346 0.960  0.475 1.087  0.585 1.231  0.705 1.366  0.820 1.506  0.774 1.458  0.647 1.330  0.553 1.175  0.499 1.002  0.437 0.832  0.373 0.663  0.319 0.489  0.264 0.317  0.201 0.147  0.138 -0.023  0.070 -0.192  0.003 -0.360  -0.089 -0.516  -0.169 -0.679  -0.245 -0.842  -0.355 -0.966  -0.515 -0.906  -0.690 -0.938  -0.864 -0.974  -1.045 -0.983  -1.178 -0.928  -1.025 -0.947  -0.848 -0.908  -0.674 -0.857  -0.498 -0.812  -0.320 -0.779  -0.142 -0.745  0.035 -0.705  0.212 -0.664  0.389 -0.623  0.565 -0.582  0.742 -0.543  0.921 -0.513  1.100 -0.483  1.279 -0.453
