1c#apa#apa03#app0358/g  0.149 0.823  0.262 0.886  0.262 1.062  0.186 1.162  0.017 1.144  -0.120 1.049  -0.191 0.944  -0.343 0.897  -0.468 0.773  -0.530 0.622  -0.643 0.559  -0.643 0.383  -0.757 0.254  -0.690 0.144  -0.514 0.144  -0.337 0.144  -0.161 0.144  0.015 0.144  0.146 0.254  0.274 0.370  0.375 0.445  0.488 0.509  0.576 0.597  0.639 0.710  0.714 0.811  0.714 0.885  0.601 0.822  0.601 0.646  0.587 0.484  0.488 0.407  0.488 0.230  0.488 0.054  0.488 -0.122  0.488 -0.298  0.375 -0.428  0.375 -0.604  0.375 -0.780  0.375 -0.956  0.343 -1.101  0.262 -1.196  0.149 -1.259  0.041 -1.327  -0.136 -1.327  -0.312 -1.327  -0.488 -1.327  -0.664 -1.327  -0.841 -1.327  -1.017 -1.327  -1.165 -1.258  -1.322 -1.214
2#mot#mot1#jg2/g  0.732 0.931  0.675 1.128  0.511 1.239  0.309 1.233  0.115 1.163  -0.066 1.063  -0.244 0.956  -0.407 0.829  -0.548 0.680  -0.653 0.502  -0.685 0.306  -0.533 0.182  -0.331 0.170  -0.134 0.225  0.046 0.327  0.205 0.460  0.340 0.616  0.404 0.809  0.366 0.678  0.339 0.472  0.309 0.267  0.278 0.062  0.227 -0.139  0.177 -0.340  0.116 -0.538  0.055 -0.736  -0.026 -0.927  -0.113 -1.115  -0.220 -1.291  -0.341 -1.460  -0.481 -1.612  -0.645 -1.730  -0.813 -1.689  -0.816 -1.492  -0.767 -1.292  -0.698 -1.096  -0.616 -0.906  -0.521 -0.722  -0.425 -0.538  -0.299 -0.374  -0.173 -0.209  -0.043 -0.048  0.097 0.106  0.236 0.259  0.393 0.394  0.555 0.523  0.735 0.622  0.928 0.695  1.133 0.718  1.319 0.637
2#mot#mot1#jg2/g  0.868 1.101  0.729 1.229  0.547 1.285  0.358 1.280  0.173 1.229  -0.003 1.152  -0.153 1.034  -0.292 0.902  -0.427 0.765  -0.501 0.588  -0.484 0.402  -0.307 0.339  -0.117 0.359  0.060 0.430  0.220 0.537  0.363 0.665  0.465 0.827  0.506 1.006  0.425 0.867  0.386 0.679  0.349 0.490  0.313 0.301  0.270 0.114  0.225 -0.073  0.176 -0.259  0.123 -0.444  0.070 -0.629  -0.002 -0.807  -0.073 -0.986  -0.160 -1.157  -0.253 -1.326  -0.374 -1.473  -0.505 -1.614  -0.674 -1.706  -0.824 -1.657  -0.838 -1.465  -0.771 -1.287  -0.697 -1.109  -0.599 -0.945  -0.490 -0.786  -0.380 -0.628  -0.266 -0.473  -0.149 -0.321  -0.032 -0.168  0.095 -0.024  0.236 0.106  0.378 0.236  0.525 0.359  0.680 0.473  0.835 0.588
1c#sie#char#kwba#kwba4579/g  -0.787 -0.217  -0.864 -0.045  -0.822 0.204  -0.734 0.442  -0.616 0.666  -0.476 0.877  -0.319 1.076  -0.108 1.210  0.140 1.239  0.366 1.125  0.544 0.949  0.375 1.052  0.145 1.155  -0.102 1.194  -0.327 1.100  -0.446 0.880  -0.507 0.635  -0.523 0.383  -0.484 0.134  -0.379 -0.094  -0.156 -0.189  0.070 -0.082  0.252 0.091  0.399 0.298  0.494 0.532  0.560 0.776  0.544 0.886  0.528 0.634  0.511 0.381  0.486 0.129  0.474 -0.124  0.457 -0.377  0.436 -0.629  0.416 -0.882  0.394 -1.135  0.358 -1.385  0.310 -1.633  0.162 -1.833  -0.080 -1.819  -0.289 -1.678  -0.466 -1.499  -0.574 -1.271  -0.533 -1.025  -0.395 -0.813  -0.226 -0.624  -0.032 -0.461  0.167 -0.304  0.365 -0.146  0.555 0.022  0.738 0.197
1c#app#app34#app3468/g  0.064 1.111  0.007 1.200  -0.049 1.289  -0.195 1.289  -0.304 1.200  -0.382 1.133  -0.495 1.086  -0.598 0.983  -0.649 0.859  -0.738 0.750  -0.738 0.604  -0.738 0.459  -0.653 0.398  -0.596 0.309  -0.540 0.220  -0.394 0.220  -0.249 0.220  -0.103 0.220  0.042 0.220  0.152 0.308  0.242 0.417  0.242 0.562  0.242 0.708  0.242 0.853  0.242 0.867  0.242 0.721  0.242 0.576  0.242 0.430  0.253 0.287  0.318 0.157  0.343 0.017  0.408 -0.113  0.420 -0.256  0.481 -0.376  0.517 -0.508  0.582 -0.638  0.598 -0.780  0.598 -0.926  0.598 -1.071  0.586 -1.205  0.509 -1.273  0.421 -1.382  0.291 -1.448  0.151 -1.472  0.005 -1.472  -0.140 -1.472  -0.262 -1.414  -0.391 -1.374  -0.503 -1.294  -0.560 -1.205
3#apa#apa10#app1059/g  0.359 1.038  0.274 1.123  0.178 1.183  0.057 1.183  -0.063 1.183  -0.184 1.183  -0.259 1.110  -0.313 1.002  -0.367 0.894  -0.421 0.786  -0.475 0.678  -0.514 0.566  -0.504 0.456  -0.383 0.456  -0.293 0.531  -0.204 0.611  -0.096 0.665  0.012 0.719  0.120 0.773  0.228 0.827  0.336 0.881  0.359 0.798  0.376 0.679  0.405 0.562  0.435 0.445  0.464 0.328  0.493 0.211  0.505 0.092  0.505 -0.029  0.500 -0.149  0.476 -0.268  0.453 -0.386  0.429 -0.505  0.405 -0.623  0.382 -0.741  0.355 -0.858  0.270 -0.943  0.184 -1.029  0.099 -1.114  0.013 -1.199  -0.072 -1.285  -0.157 -1.370  -0.251 -1.436  -0.371 -1.436  -0.492 -1.436  -0.613 -1.436  -0.659 -1.361  -0.659 -1.240  -0.659 -1.120  -0.659 -0.999
1c#app#app35#app3568/g  0.095 1.052  0.095 1.204  -0.025 1.236  -0.177 1.236  -0.236 1.144  -0.367 1.123  -0.448 1.052  -0.551 0.949  -0.621 0.867  -0.660 0.742  -0.728 0.606  -0.736 0.456  -0.736 0.304  -0.687 0.172  -0.579 0.065  -0.439 0.037  -0.287 0.037  -0.135 0.037  -0.015 0.112  0.093 0.220  0.135 0.354  0.187 0.485  0.187 0.637  0.187 0.788  0.187 0.940  0.187 0.827  0.279 0.767  0.279 0.615  0.304 0.474  0.371 0.350  0.371 0.198  0.430 0.070  0.464 -0.068  0.464 -0.220  0.522 -0.358  0.556 -0.502  0.556 -0.654  0.556 -0.805  0.556 -0.957  0.528 -1.098  0.464 -1.223  0.410 -1.362  0.306 -1.439  0.246 -1.532  0.094 -1.532  -0.058 -1.532  -0.210 -1.532  -0.362 -1.532  -0.498 -1.466  -0.551 -1.347
1c#app#app35#app3568/g  0.239 1.120  0.184 1.219  0.030 1.219  -0.117 1.191  -0.255 1.122  -0.368 1.020  -0.503 0.975  -0.612 0.866  -0.721 0.757  -0.760 0.619  -0.857 0.505  -0.857 0.351  -0.857 0.196  -0.775 0.124  -0.721 0.024  -0.566 0.024  -0.412 0.024  -0.258 0.025  -0.149 0.134  -0.040 0.243  0.040 0.364  0.107 0.491  0.146 0.629  0.239 0.745  0.239 0.899  0.338 0.888  0.338 0.734  0.338 0.580  0.435 0.522  0.438 0.371  0.443 0.219  0.538 0.104  0.538 -0.051  0.629 -0.167  0.637 -0.318  0.637 -0.472  0.637 -0.626  0.637 -0.780  0.637 -0.934  0.625 -1.084  0.516 -1.193  0.438 -1.315  0.339 -1.370  0.226 -1.470  0.072 -1.470  -0.082 -1.470  -0.236 -1.470  -0.352 -1.377  -0.503 -1.370  -0.658 -1.370
3#apb#apb10#app1040/g  -0.133 0.478  -0.053 0.331  0.103 0.275  0.278 0.275  0.402 0.386  0.470 0.545  0.492 0.717  0.476 0.890  0.411 1.048  0.284 1.163  0.127 1.209  -0.045 1.174  -0.214 1.133  -0.378 1.077  -0.528 0.987  -0.658 0.873  -0.760 0.734  -0.808 0.568  -0.787 0.401  -0.679 0.264  -0.555 0.140  -0.397 0.067  -0.228 0.039  -0.053 0.039  0.058 0.171  0.168 0.307  0.277 0.443  0.387 0.579  0.487 0.722  0.492 0.567  0.492 0.392  0.512 0.219  0.540 0.047  0.580 -0.123  0.607 -0.296  0.627 -0.469  0.617 -0.644  0.586 -0.814  0.520 -0.975  0.425 -1.119  0.310 -1.251  0.170 -1.348  0.009 -1.414  -0.161 -1.451  -0.334 -1.478  -0.508 -1.481  -0.681 -1.472  -0.845 -1.410  -0.989 -1.318  -1.112 -1.194
3#cea#Parthasarathy/g  -0.300 1.007  -0.218 1.110  -0.142 1.217  -0.079 1.333  -0.019 1.450  -0.039 1.537  0.073 1.486  0.194 1.441  0.286 1.348  0.351 1.234  0.397 1.112  0.431 0.984  0.456 0.856  0.460 0.724  0.465 0.592  0.468 0.461  0.464 0.329  0.461 0.197  0.457 0.066  0.449 -0.066  0.434 -0.197  0.417 -0.327  0.398 -0.458  0.379 -0.588  0.356 -0.718  0.323 -0.845  0.290 -0.973  0.244 -1.095  0.185 -1.213  0.104 -1.314  -0.000 -1.391  -0.130 -1.415  -0.248 -1.356  -0.352 -1.277  -0.448 -1.187  -0.525 -1.080  -0.578 -0.960  -0.630 -0.839  -0.667 -0.713  -0.694 -0.584  -0.702 -0.453  -0.651 -0.334  -0.581 -0.223  -0.501 -0.118  -0.407 -0.025  -0.314 0.068  -0.221 0.161  -0.127 0.253  -0.031 0.344  0.065 0.434
3#cea#Parthasarathy/g  -0.062 0.716  0.037 0.801  0.127 0.896  0.212 0.995  0.273 1.110  0.234 1.064  0.176 0.947  0.122 0.828  0.156 0.756  0.265 0.828  0.364 0.913  0.453 1.008  0.537 1.108  0.632 1.167  0.640 1.038  0.628 0.908  0.616 0.778  0.602 0.648  0.588 0.518  0.573 0.389  0.553 0.259  0.533 0.130  0.512 0.001  0.487 -0.127  0.462 -0.255  0.437 -0.383  0.407 -0.510  0.374 -0.636  0.341 -0.763  0.297 -0.885  0.250 -1.007  0.194 -1.125  0.126 -1.236  0.017 -1.295  -0.110 -1.291  -0.228 -1.235  -0.333 -1.157  -0.435 -1.076  -0.529 -0.986  -0.623 -0.895  -0.709 -0.797  -0.796 -0.699  -0.871 -0.592  -0.944 -0.484  -1.006 -0.370  -1.065 -0.253  -1.113 -0.132  -1.130 -0.003  -1.136 0.127  -1.136 0.258
3#cea#Parthasarathy/g  0.069 1.171  0.143 1.228  0.217 1.286  0.288 1.347  0.356 1.411  0.429 1.470  0.489 1.455  0.465 1.365  0.442 1.274  0.420 1.183  0.398 1.092  0.378 1.000  0.364 0.907  0.349 0.815  0.336 0.722  0.323 0.629  0.310 0.536  0.296 0.444  0.286 0.351  0.275 0.258  0.264 0.164  0.254 0.071  0.244 -0.022  0.237 -0.115  0.229 -0.209  0.222 -0.302  0.213 -0.395  0.201 -0.488  0.188 -0.581  0.175 -0.674  0.152 -0.765  0.128 -0.855  0.084 -0.936  0.026 -1.010  -0.046 -1.068  -0.127 -1.113  -0.219 -1.131  -0.311 -1.146  -0.404 -1.138  -0.495 -1.118  -0.580 -1.079  -0.643 -1.012  -0.699 -0.937  -0.737 -0.852  -0.776 -0.766  -0.796 -0.675  -0.816 -0.583  -0.839 -0.492  -0.867 -0.403  -0.894 -0.313
3#cea#Parthasarathy/g  -0.327 0.833  -0.210 0.921  -0.105 1.023  -0.012 1.136  0.072 1.256  0.072 1.265  -0.008 1.143  -0.087 1.019  -0.156 0.890  -0.181 0.749  -0.062 0.741  0.056 0.826  0.162 0.927  0.258 1.037  0.341 1.158  0.409 1.225  0.415 1.080  0.409 0.933  0.402 0.787  0.396 0.641  0.390 0.495  0.385 0.348  0.380 0.202  0.375 0.056  0.370 -0.091  0.365 -0.237  0.360 -0.383  0.355 -0.529  0.353 -0.676  0.353 -0.822  0.352 -0.969  0.348 -1.115  0.340 -1.261  0.320 -1.405  0.212 -1.487  0.072 -1.467  -0.062 -1.408  -0.191 -1.338  -0.314 -1.260  -0.427 -1.167  -0.532 -1.066  -0.626 -0.954  -0.709 -0.834  -0.758 -0.697  -0.775 -0.555  -0.744 -0.413  -0.670 -0.287  -0.567 -0.183  -0.456 -0.088  -0.340 0.002
3#cea#Parthasarathy/g  -0.164 1.078  -0.011 1.175  0.098 1.319  0.055 1.335  -0.045 1.195  -0.136 1.039  -0.225 0.881  -0.297 0.715  -0.353 0.542  -0.244 0.466  -0.086 0.552  0.039 0.682  0.137 0.834  0.206 1.001  0.250 1.177  0.265 1.203  0.339 1.038  0.395 0.866  0.430 0.688  0.443 0.507  0.447 0.326  0.436 0.145  0.423 -0.036  0.404 -0.216  0.385 -0.396  0.357 -0.575  0.328 -0.754  0.293 -0.932  0.254 -1.109  0.204 -1.283  0.146 -1.454  0.052 -1.610  -0.109 -1.685  -0.282 -1.662  -0.433 -1.564  -0.552 -1.431  -0.640 -1.273  -0.689 -1.099  -0.719 -0.920  -0.696 -0.742  -0.642 -0.572  -0.550 -0.416  -0.428 -0.282  -0.299 -0.155  -0.156 -0.043  -0.014 0.068  0.129 0.180  0.273 0.290  0.418 0.399  0.563 0.508
3#cea#Parthasarathy/g  0.140 1.148  0.253 1.242  0.382 1.292  0.492 1.198  0.478 1.273  0.362 1.184  0.263 1.077  0.174 0.960  0.094 0.837  0.044 0.701  0.145 0.633  0.279 0.692  0.398 0.777  0.502 0.880  0.584 1.002  0.606 0.961  0.585 0.816  0.560 0.672  0.529 0.528  0.498 0.385  0.464 0.242  0.429 0.099  0.392 -0.043  0.348 -0.182  0.303 -0.322  0.255 -0.461  0.202 -0.598  0.149 -0.735  0.091 -0.869  0.030 -1.003  -0.032 -1.136  -0.101 -1.265  -0.173 -1.393  -0.265 -1.507  -0.393 -1.559  -0.509 -1.472  -0.582 -1.345  -0.637 -1.209  -0.682 -1.070  -0.709 -0.925  -0.728 -0.780  -0.734 -0.634  -0.729 -0.488  -0.705 -0.343  -0.673 -0.200  -0.628 -0.060  -0.566 0.072  -0.489 0.196  -0.397 0.310  -0.299 0.419
3#cea#Parthasarathy/g  -0.075 1.020  0.027 1.079  0.136 1.126  0.053 1.087  -0.044 1.019  -0.127 0.936  -0.188 0.836  -0.141 0.764  -0.029 0.794  0.077 0.846  0.180 0.905  0.280 0.967  0.379 1.033  0.474 1.103  0.574 1.161  0.605 1.073  0.590 0.956  0.569 0.840  0.547 0.723  0.525 0.607  0.503 0.491  0.479 0.375  0.454 0.260  0.429 0.144  0.404 0.028  0.377 -0.087  0.349 -0.202  0.322 -0.317  0.294 -0.432  0.263 -0.546  0.232 -0.660  0.201 -0.774  0.166 -0.887  0.125 -0.998  0.083 -1.108  0.019 -1.207  -0.057 -1.295  -0.166 -1.336  -0.279 -1.301  -0.380 -1.244  -0.477 -1.175  -0.564 -1.095  -0.650 -1.014  -0.731 -0.928  -0.811 -0.841  -0.887 -0.750  -0.960 -0.657  -1.015 -0.553  -1.059 -0.443  -1.079 -0.327
2#app#app31#app3104/g  0.401 0.988  0.470 1.032  0.388 1.070  0.299 1.126  0.187 1.126  0.075 1.126  -0.010 1.059  -0.109 1.029  -0.188 0.949  -0.268 0.870  -0.356 0.835  -0.356 0.723  -0.282 0.644  -0.170 0.644  -0.058 0.644  0.055 0.644  0.167 0.644  0.270 0.682  0.375 0.713  0.487 0.713  0.599 0.713  0.607 0.609  0.607 0.497  0.607 0.385  0.607 0.272  0.576 0.168  0.539 0.064  0.536 -0.047  0.461 -0.130  0.411 -0.230  0.361 -0.330  0.311 -0.431  0.261 -0.531  0.210 -0.631  0.140 -0.717  0.061 -0.797  -0.016 -0.878  -0.066 -0.978  -0.152 -1.043  -0.250 -1.097  -0.343 -1.159  -0.435 -1.224  -0.522 -1.283  -0.635 -1.283  -0.747 -1.283  -0.859 -1.283  -0.971 -1.283  -1.052 -1.206  -1.113 -1.120  -1.113 -1.007
2#apa#apa00#app0002/g  0.185 0.956  0.185 1.096  0.093 1.164  -0.036 1.189  -0.155 1.141  -0.271 1.083  -0.329 0.967  -0.428 0.868  -0.485 0.752  -0.514 0.625  -0.469 0.504  -0.398 0.427  -0.335 0.316  -0.196 0.316  -0.080 0.374  0.002 0.432  0.062 0.542  0.126 0.621  0.126 0.761  0.129 0.898  0.185 0.982  0.243 1.064  0.301 1.001  0.301 0.861  0.303 0.722  0.359 0.606  0.359 0.466  0.359 0.326  0.359 0.186  0.359 0.047  0.359 -0.093  0.359 -0.233  0.338 -0.368  0.301 -0.499  0.301 -0.638  0.286 -0.776  0.243 -0.909  0.232 -1.046  0.185 -1.174  0.148 -1.308  0.113 -1.431  0.031 -1.489  -0.050 -1.547  -0.190 -1.547  -0.315 -1.513  -0.445 -1.489  -0.527 -1.431  -0.598 -1.347  -0.596 -1.256  -0.514 -1.198
1c#apb#apb31#app3176/g  0.222 0.890  0.152 0.979  0.080 1.075  -0.074 1.012  -0.224 0.935  -0.356 0.842  -0.442 0.696  -0.525 0.548  -0.597 0.396  -0.636 0.231  -0.669 0.065  -0.699 -0.102  -0.688 -0.269  -0.642 -0.431  -0.512 -0.484  -0.378 -0.382  -0.248 -0.274  -0.137 -0.146  -0.026 -0.018  0.080 0.114  0.183 0.249  0.285 0.384  0.385 0.521  0.483 0.659  0.581 0.797  0.652 0.951  0.722 1.105  0.784 1.220  0.635 1.146  0.540 1.010  0.462 0.860  0.397 0.704  0.334 0.546  0.279 0.386  0.231 0.224  0.208 0.056  0.185 -0.111  0.164 -0.280  0.143 -0.448  0.123 -0.616  0.080 -0.780  0.034 -0.943  -0.012 -1.106  -0.051 -1.270  -0.091 -1.435  -0.141 -1.597  -0.200 -1.755  -0.267 -1.911  -0.350 -2.058  -0.459 -2.186
2#app#app06#app0689/g  0.553 0.951  0.553 1.117  0.445 1.174  0.315 1.086  0.198 0.968  0.081 0.851  -0.037 0.733  -0.154 0.616  -0.272 0.499  -0.342 0.361  -0.363 0.279  -0.197 0.279  -0.048 0.352  0.056 0.478  0.155 0.602  0.293 0.690  0.411 0.808  0.479 0.946  0.517 1.103  0.553 1.238  0.521 1.077  0.479 0.917  0.479 0.751  0.479 0.585  0.479 0.419  0.479 0.253  0.479 0.087  0.452 -0.073  0.404 -0.227  0.404 -0.394  0.404 -0.560  0.377 -0.722  0.337 -0.884  0.269 -1.034  0.168 -1.163  0.086 -1.307  -0.031 -1.424  -0.192 -1.436  -0.359 -1.436  -0.513 -1.388  -0.663 -1.338  -0.781 -1.221  -0.864 -1.089  -0.938 -0.954  -0.938 -0.788  -0.938 -0.622  -0.938 -0.455  -0.919 -0.298  -0.775 -0.243  -0.640 -0.168
1c#apb#apb02#app0250/g  -0.137 0.662  -0.099 0.815  -0.057 0.968  -0.056 1.126  -0.105 1.267  -0.251 1.224  -0.389 1.144  -0.498 1.028  -0.598 0.906  -0.682 0.772  -0.731 0.621  -0.727 0.468  -0.647 0.339  -0.512 0.266  -0.355 0.242  -0.200 0.273  -0.058 0.345  0.041 0.465  0.113 0.606  0.128 0.762  0.088 0.914  0.013 1.053  -0.055 1.021  -0.065 0.863  -0.036 0.708  0.021 0.561  0.093 0.419  0.172 0.281  0.248 0.142  0.317 -0.002  0.389 -0.143  0.465 -0.283  0.540 -0.423  0.613 -0.564  0.668 -0.712  0.716 -0.864  0.751 -1.019  0.760 -1.176  0.737 -1.332  0.653 -1.462  0.503 -1.481  0.346 -1.459  0.192 -1.421  0.045 -1.362  -0.101 -1.299  -0.238 -1.218  -0.370 -1.130  -0.486 -1.022  -0.612 -0.926  -0.547 -0.964
1c#kai#kai2#yslee4/g  0.528 1.243  0.305 1.299  0.077 1.311  -0.150 1.278  -0.373 1.233  -0.564 1.106  -0.667 0.900  -0.700 0.679  -0.650 0.461  -0.543 0.258  -0.410 0.073  -0.219 -0.052  0.011 -0.052  0.240 -0.052  0.407 0.100  0.497 0.303  0.528 0.529  0.528 0.758  0.528 0.988  0.493 1.002  0.459 0.778  0.459 0.548  0.459 0.319  0.439 0.093  0.376 -0.127  0.331 -0.352  0.264 -0.571  0.206 -0.794  0.139 -1.013  0.057 -1.227  -0.033 -1.438  -0.161 -1.628  -0.324 -1.790  -0.539 -1.825  -0.628 -1.631  -0.632 -1.402  -0.632 -1.172  -0.632 -0.943  -0.632 -0.713  -0.609 -0.486  -0.564 -0.261  -0.491 -0.044  -0.388 0.162  -0.212 0.294  0.002 0.357  0.230 0.346  0.453 0.290  0.682 0.289  0.912 0.289  1.141 0.289
1c#kai#kai2#yslee4/g  0.267 1.045  0.204 1.233  0.114 1.409  -0.054 1.496  -0.248 1.482  -0.407 1.363  -0.547 1.223  -0.636 1.045  -0.636 0.847  -0.636 0.648  -0.592 0.460  -0.510 0.279  -0.419 0.106  -0.262 0.007  -0.063 0.007  0.053 0.160  0.153 0.331  0.227 0.515  0.316 0.693  0.404 0.871  0.447 1.062  0.377 1.031  0.357 0.838  0.357 0.640  0.312 0.449  0.312 0.250  0.312 0.051  0.312 -0.147  0.312 -0.346  0.312 -0.544  0.312 -0.743  0.279 -0.937  0.267 -1.134  0.221 -1.325  0.194 -1.520  0.142 -1.711  0.002 -1.839  -0.090 -1.672  -0.160 -1.487  -0.253 -1.312  -0.349 -1.139  -0.421 -0.954  -0.484 -0.766  -0.454 -0.578  -0.335 -0.419  -0.160 -0.335  -0.001 -0.217  0.189 -0.159  0.384 -0.128  0.582 -0.128
1c#kai#kai2#yslee4/g  0.275 1.032  0.168 1.209  0.055 1.368  -0.139 1.412  -0.319 1.327  -0.434 1.155  -0.549 0.982  -0.610 0.787  -0.664 0.588  -0.675 0.382  -0.628 0.181  -0.482 0.035  -0.275 0.035  -0.070 0.056  0.118 0.136  0.222 0.303  0.312 0.490  0.376 0.686  0.417 0.889  0.417 1.097  0.384 1.280  0.275 1.225  0.275 1.017  0.275 0.810  0.275 0.603  0.275 0.396  0.275 0.188  0.275 -0.019  0.275 -0.226  0.275 -0.433  0.275 -0.641  0.275 -0.848  0.275 -1.055  0.234 -1.259  0.227 -1.465  0.127 -1.643  0.023 -1.810  -0.107 -1.765  -0.200 -1.579  -0.272 -1.386  -0.362 -1.204  -0.457 -1.024  -0.514 -0.825  -0.526 -0.623  -0.378 -0.479  -0.199 -0.376  -0.000 -0.319  0.201 -0.268  0.402 -0.218  0.607 -0.202
1c#kai#kai2#yslee4/g  0.407 1.475  0.183 1.475  -0.034 1.426  -0.189 1.279  -0.325 1.102  -0.465 0.928  -0.564 0.731  -0.616 0.514  -0.647 0.294  -0.624 0.077  -0.482 -0.074  -0.259 -0.069  -0.052 0.012  0.123 0.147  0.257 0.325  0.364 0.521  0.438 0.731  0.492 0.947  0.531 1.166  0.447 1.233  0.345 1.064  0.345 0.841  0.345 0.617  0.345 0.394  0.345 0.171  0.345 -0.053  0.296 -0.270  0.283 -0.492  0.283 -0.715  0.239 -0.933  0.221 -1.155  0.201 -1.375  0.159 -1.591  0.159 -1.815  0.001 -1.818  -0.114 -1.635  -0.235 -1.449  -0.375 -1.275  -0.533 -1.117  -0.621 -0.920  -0.684 -0.706  -0.708 -0.486  -0.650 -0.272  -0.471 -0.143  -0.261 -0.068  -0.062 0.032  0.138 0.132  0.345 0.215  0.557 0.286  0.779 0.297
1c#kai#kai2#yslee4/g  0.363 1.208  0.225 1.347  0.087 1.485  -0.091 1.448  -0.250 1.335  -0.388 1.196  -0.527 1.058  -0.615 0.888  -0.669 0.701  -0.722 0.512  -0.720 0.317  -0.631 0.159  -0.441 0.123  -0.249 0.155  -0.076 0.241  0.054 0.384  0.139 0.556  0.203 0.740  0.265 0.921  0.265 1.117  0.232 1.110  0.215 0.917  0.215 0.721  0.215 0.525  0.228 0.330  0.256 0.137  0.265 -0.058  0.314 -0.246  0.314 -0.442  0.314 -0.637  0.314 -0.833  0.314 -1.029  0.314 -1.224  0.312 -1.420  0.280 -1.613  0.265 -1.807  0.137 -1.764  0.022 -1.608  -0.087 -1.446  -0.205 -1.289  -0.278 -1.109  -0.325 -0.919  -0.373 -0.730  -0.376 -0.534  -0.277 -0.369  -0.120 -0.252  0.041 -0.141  0.224 -0.074  0.418 -0.063  0.610 -0.025
1c#kai#kai2#yslee4/g  0.257 1.134  0.125 1.286  -0.067 1.349  -0.273 1.345  -0.473 1.292  -0.641 1.181  -0.772 1.022  -0.817 0.830  -0.789 0.626  -0.694 0.453  -0.522 0.343  -0.321 0.318  -0.117 0.327  0.029 0.464  0.121 0.649  0.171 0.844  0.170 1.050  0.095 1.112  0.059 0.920  0.097 0.717  0.128 0.513  0.128 0.306  0.128 0.099  0.128 -0.107  0.118 -0.312  0.085 -0.514  0.042 -0.713  0.027 -0.918  -0.017 -1.120  -0.044 -1.324  -0.044 -1.530  -0.079 -1.688  -0.233 -1.567  -0.307 -1.376  -0.357 -1.175  -0.407 -0.975  -0.481 -0.783  -0.587 -0.606  -0.566 -0.419  -0.401 -0.305  -0.202 -0.248  0.002 -0.232  0.206 -0.198  0.413 -0.197  0.619 -0.197  0.823 -0.220  1.027 -0.240  1.217 -0.320  1.410 -0.395  1.588 -0.497
1c#kai#kai2#yslee4/g  0.164 1.396  -0.053 1.445  -0.268 1.389  -0.475 1.306  -0.640 1.159  -0.768 0.977  -0.868 0.778  -0.868 0.555  -0.798 0.347  -0.635 0.197  -0.433 0.107  -0.210 0.107  -0.003 0.147  0.134 0.318  0.216 0.525  0.267 0.742  0.267 0.965  0.211 1.171  0.130 1.108  0.148 0.892  0.165 0.671  0.215 0.454  0.235 0.233  0.267 0.014  0.306 -0.204  0.318 -0.425  0.318 -0.648  0.310 -0.871  0.273 -1.091  0.210 -1.304  0.156 -1.521  0.078 -1.720  -0.086 -1.735  -0.210 -1.549  -0.317 -1.354  -0.417 -1.155  -0.455 -0.941  -0.517 -0.728  -0.571 -0.511  -0.610 -0.293  -0.500 -0.129  -0.295 -0.047  -0.072 -0.047  0.151 -0.047  0.374 -0.047  0.597 -0.047  0.816 -0.081  1.037 -0.099  1.253 -0.154  1.452 -0.253
2#apb#apb35#app3578/g  0.198 1.363  0.033 1.274  -0.114 1.155  -0.255 1.030  -0.373 0.882  -0.472 0.722  -0.534 0.547  -0.531 0.359  -0.398 0.253  -0.213 0.284  -0.043 0.361  0.102 0.481  0.233 0.615  0.370 0.743  0.452 0.790  0.402 0.608  0.377 0.421  0.333 0.237  0.293 0.052  0.249 -0.131  0.193 -0.312  0.142 -0.494  0.090 -0.675  0.016 -0.849  -0.058 -1.023  -0.134 -1.196  -0.244 -1.350  -0.355 -1.503  -0.497 -1.624  -0.667 -1.697  -0.789 -1.563  -0.790 -1.378  -0.741 -1.197  -0.673 -1.020  -0.589 -0.851  -0.505 -0.682  -0.411 -0.518  -0.309 -0.359  -0.207 -0.200  -0.096 -0.047  0.021 0.101  0.140 0.248  0.266 0.389  0.393 0.529  0.539 0.648  0.693 0.758  0.855 0.853  1.022 0.943  1.202 1.000  1.389 1.022
1c#ced#rmnn2357_s_j4/g  0.098 0.401  0.208 0.449  0.308 0.517  0.399 0.609  0.427 0.730  0.427 0.859  0.397 0.981  0.315 1.079  0.199 1.131  0.073 1.118  -0.047 1.070  -0.153 0.997  -0.244 0.906  -0.323 0.805  -0.371 0.686  -0.396 0.563  -0.364 0.444  -0.239 0.425  -0.113 0.437  0.010 0.463  0.115 0.533  0.224 0.598  0.311 0.685  0.380 0.776  0.364 0.832  0.310 0.726  0.286 0.600  0.263 0.474  0.249 0.347  0.239 0.219  0.223 0.091  0.199 -0.035  0.192 -0.164  0.175 -0.291  0.143 -0.416  0.113 -0.542  0.087 -0.668  0.047 -0.790  0.011 -0.914  -0.028 -1.037  -0.074 -1.158  -0.128 -1.275  -0.190 -1.388  -0.265 -1.491  -0.363 -1.574  -0.472 -1.643  -0.578 -1.717  -0.692 -1.775  -0.815 -1.816  -0.937 -1.857
