2#tos#t1#t1050062/#  -0.849 0.638  -1.264 0.638  -1.316 0.542  -0.901 0.542  -0.485 0.542  -0.069 0.542  0.324 0.638  0.728 0.685  0.902 0.608  0.564 0.367  0.226 0.125  -0.112 -0.116  -0.410 -0.397  -0.705 -0.680  -0.439 -0.792  -0.023 -0.792  0.392 -0.792  0.779 -0.697  1.153 -0.628  0.887 -0.318  0.602 -0.016  0.317 0.287  0.032 0.590  -0.253 0.892  -0.391 1.258  -0.658 1.483  -0.591 1.076  -0.559 0.663  -0.515 0.251  -0.420 -0.149  -0.420 -0.565  -0.386 -0.976  -0.297 -1.372  -0.229 -1.772  -0.175 -1.403  -0.118 -0.992  -0.061 -0.580  -0.004 -0.169  0.053 0.243  0.110 0.655  0.167 1.066  0.121 1.401  0.268 1.047  0.438 0.690  0.486 0.294  0.512 -0.120  0.534 -0.534  0.629 -0.920  0.657 -1.333  0.772 -1.650
2#tos#t1#t1050062/O  0.591 0.970  0.487 1.012  0.342 1.012  0.211 1.027  0.177 1.139  0.031 1.139  -0.114 1.139  -0.203 1.055  -0.262 0.924  -0.372 0.836  -0.438 0.708  -0.478 0.568  -0.518 0.427  -0.558 0.287  -0.597 0.147  -0.632 0.006  -0.657 -0.138  -0.676 -0.282  -0.676 -0.428  -0.676 -0.573  -0.676 -0.719  -0.676 -0.865  -0.609 -0.990  -0.592 -1.130  -0.527 -1.259  -0.432 -1.353  -0.304 -1.395  -0.158 -1.395  -0.014 -1.386  0.118 -1.327  0.235 -1.240  0.321 -1.124  0.360 -0.986  0.397 -0.845  0.451 -0.710  0.491 -0.570  0.537 -0.432  0.591 -0.297  0.591 -0.151  0.591 -0.006  0.591 0.140  0.591 0.286  0.591 0.431  0.568 0.573  0.549 0.716  0.468 0.837  0.413 0.972  0.323 1.055  0.187 1.097  0.042 1.097
2#tos#t1#t1050062/P  -0.044 1.455  -0.092 1.301  -0.092 1.100  -0.113 0.900  -0.140 0.701  -0.140 0.500  -0.140 0.298  -0.140 0.097  -0.140 -0.105  -0.140 -0.306  -0.140 -0.507  -0.140 -0.709  -0.140 -0.910  -0.140 -1.111  -0.140 -1.313  -0.140 -1.514  -0.140 -1.715  -0.140 -1.917  -0.156 -1.737  -0.173 -1.536  -0.191 -1.336  -0.208 -1.135  -0.225 -0.935  -0.243 -0.734  -0.260 -0.533  -0.277 -0.333  -0.294 -0.132  -0.312 0.069  -0.329 0.269  -0.346 0.470  -0.364 0.670  -0.378 0.871  -0.314 1.057  -0.211 1.217  -0.010 1.217  0.191 1.217  0.393 1.217  0.574 1.169  0.717 1.027  0.859 0.885  0.908 0.691  0.904 0.491  0.816 0.315  0.695 0.154  0.533 0.054  0.369 -0.064  0.184 -0.117  -0.000 -0.190  -0.177 -0.260  -0.378 -0.260
2#tos#t1#t1050062/Q  0.014 1.217  -0.152 1.173  -0.330 1.094  -0.469 0.958  -0.517 0.756  -0.540 0.551  -0.606 0.356  -0.606 0.146  -0.631 -0.062  -0.650 -0.270  -0.650 -0.481  -0.650 -0.691  -0.598 -0.883  -0.473 -1.049  -0.434 -1.251  -0.309 -1.418  -0.109 -1.438  0.099 -1.412  0.287 -1.334  0.377 -1.144  0.492 -0.979  0.622 -0.824  0.697 -0.627  0.771 -0.430  0.810 -0.228  0.810 -0.017  0.810 0.193  0.810 0.403  0.762 0.589  0.633 0.735  0.534 0.896  0.352 1.000  0.166 1.077  0.007 1.173  -0.193 1.217  -0.365 1.314  -0.444 1.257  -0.382 1.056  -0.319 0.856  -0.257 0.655  -0.195 0.454  -0.132 0.253  -0.075 0.051  -0.075 -0.159  -0.048 -0.358  -0.030 -0.561  0.093 -0.720  0.223 -0.883  0.365 -1.036  0.501 -1.172
2#tos#t1#t1050062/S  0.808 0.967  0.779 1.064  0.686 1.126  0.592 1.188  0.484 1.198  0.372 1.198  0.260 1.198  0.148 1.198  0.040 1.174  -0.066 1.138  -0.176 1.121  -0.232 1.066  -0.278 0.983  -0.386 0.967  -0.406 0.861  -0.463 0.766  -0.463 0.654  -0.420 0.555  -0.386 0.454  -0.325 0.367  -0.229 0.311  -0.155 0.245  -0.131 0.150  -0.027 0.111  0.063 0.043  0.136 -0.038  0.218 -0.105  0.318 -0.155  0.411 -0.215  0.490 -0.294  0.531 -0.397  0.538 -0.508  0.538 -0.620  0.519 -0.728  0.469 -0.828  0.431 -0.933  0.339 -0.975  0.229 -0.997  0.142 -1.065  0.046 -1.123  -0.059 -1.151  -0.171 -1.151  -0.283 -1.151  -0.394 -1.151  -0.506 -1.151  -0.618 -1.151  -0.730 -1.151  -0.810 -1.073  -0.906 -1.035  -0.964 -0.958
2#tos#t1#t1050062/U  -0.637 1.115  -0.760 1.115  -0.794 1.046  -0.776 0.925  -0.776 0.802  -0.770 0.680  -0.725 0.566  -0.707 0.447  -0.701 0.324  -0.671 0.205  -0.654 0.083  -0.637 -0.039  -0.607 -0.158  -0.602 -0.280  -0.602 -0.403  -0.555 -0.515  -0.500 -0.625  -0.489 -0.747  -0.469 -0.868  -0.407 -0.951  -0.346 -1.051  -0.270 -1.133  -0.170 -1.204  -0.056 -1.226  0.067 -1.224  0.177 -1.169  0.274 -1.096  0.365 -1.016  0.447 -0.929  0.505 -0.830  0.538 -0.712  0.551 -0.591  0.551 -0.468  0.551 -0.345  0.551 -0.222  0.556 -0.100  0.619 0.005  0.656 0.118  0.656 0.241  0.656 0.364  0.663 0.486  0.687 0.607  0.691 0.729  0.691 0.852  0.691 0.975  0.642 1.084  0.621 1.200  0.538 1.282  0.430 1.325  0.307 1.325
2#tos#t1#t1050062/V  -0.788 1.258  -0.776 1.374  -0.739 1.275  -0.681 1.160  -0.632 1.041  -0.594 0.919  -0.594 0.791  -0.594 0.662  -0.594 0.533  -0.564 0.411  -0.514 0.293  -0.470 0.172  -0.445 0.046  -0.415 -0.079  -0.384 -0.204  -0.348 -0.327  -0.297 -0.445  -0.246 -0.564  -0.224 -0.690  -0.205 -0.817  -0.205 -0.946  -0.170 -1.066  -0.120 -1.184  -0.087 -1.307  0.018 -1.351  0.069 -1.462  0.147 -1.409  0.172 -1.282  0.198 -1.156  0.224 -1.030  0.282 -0.915  0.339 -0.800  0.377 -0.681  0.377 -0.552  0.377 -0.423  0.377 -0.295  0.381 -0.166  0.412 -0.042  0.443 0.083  0.465 0.210  0.481 0.338  0.501 0.464  0.542 0.586  0.572 0.710  0.572 0.839  0.606 0.961  0.651 1.082  0.688 1.204  0.688 1.332  0.727 1.452
2#tos#t1#t1050062/Z  -0.297 1.263  -0.414 1.238  -0.512 1.171  -0.604 1.100  -0.522 1.100  -0.401 1.100  -0.283 1.110  -0.182 1.177  -0.062 1.181  0.059 1.181  0.180 1.181  0.298 1.160  0.398 1.098  0.477 1.009  0.477 0.888  0.428 0.782  0.351 0.689  0.292 0.587  0.273 0.468  0.213 0.367  0.136 0.275  0.035 0.208  -0.042 0.115  -0.118 0.020  -0.164 -0.090  -0.236 -0.184  -0.322 -0.270  -0.362 -0.381  -0.410 -0.490  -0.483 -0.587  -0.530 -0.697  -0.543 -0.816  -0.658 -0.854  -0.705 -0.930  -0.632 -0.979  -0.511 -0.979  -0.390 -0.979  -0.269 -0.979  -0.148 -0.979  -0.027 -0.979  0.094 -0.979  0.216 -0.979  0.337 -0.979  0.458 -0.979  0.579 -0.979  0.700 -0.979  0.792 -0.908  0.892 -0.856  1.012 -0.845  1.129 -0.816
2#tos#t1#t1050062/a  -0.222 1.127  -0.381 1.099  -0.530 1.025  -0.586 1.070  -0.478 1.191  -0.350 1.230  -0.184 1.230  -0.018 1.230  0.145 1.222  0.258 1.101  0.343 0.960  0.395 0.816  0.450 0.659  0.542 0.521  0.592 0.380  0.701 0.272  0.701 0.106  0.701 -0.060  0.701 -0.226  0.730 -0.374  0.824 -0.492  0.855 -0.655  0.855 -0.821  0.993 -0.913  1.001 -0.849  0.898 -0.719  0.795 -0.588  0.692 -0.458  0.589 -0.327  0.486 -0.197  0.384 -0.067  0.274 0.050  0.108 0.050  -0.058 0.050  -0.224 0.050  -0.391 0.050  -0.454 -0.052  -0.613 -0.097  -0.699 -0.222  -0.829 -0.309  -0.994 -0.312  -1.097 -0.442  -1.145 -0.594  -1.145 -0.760  -1.143 -0.924  -0.977 -0.924  -0.874 -1.027  -0.708 -1.027  -0.542 -1.027  -0.375 -1.027
2#tos#t1#t1050062/b  -0.450 2.075  -0.450 2.016  -0.397 1.879  -0.290 1.771  -0.290 1.605  -0.290 1.440  -0.290 1.274  -0.290 1.109  -0.290 0.943  -0.286 0.778  -0.246 0.618  -0.196 0.460  -0.183 0.297  -0.183 0.131  -0.183 -0.034  -0.183 -0.200  -0.183 -0.365  -0.183 -0.531  -0.183 -0.696  -0.183 -0.862  -0.183 -1.027  -0.195 -1.181  -0.296 -1.112  -0.358 -0.958  -0.397 -0.800  -0.397 -0.635  -0.397 -0.469  -0.397 -0.304  -0.397 -0.138  -0.335 0.002  -0.199 0.092  -0.183 0.248  -0.042 0.313  0.123 0.313  0.288 0.305  0.450 0.272  0.584 0.187  0.723 0.101  0.798 -0.047  0.831 -0.205  0.831 -0.370  0.831 -0.536  0.831 -0.701  0.772 -0.807  0.672 -0.913  0.578 -1.041  0.420 -1.074  0.255 -1.074  0.089 -1.074  -0.076 -1.074
2#tos#t1#t1050062/d  0.092 -0.228  0.018 -0.055  0.018 0.148  -0.109 0.253  -0.312 0.253  -0.390 0.099  -0.465 -0.081  -0.575 -0.239  -0.575 -0.442  -0.575 -0.645  -0.575 -0.849  -0.554 -1.050  -0.501 -1.242  -0.469 -1.438  -0.304 -1.523  -0.100 -1.523  0.055 -1.432  0.212 -1.318  0.314 -1.152  0.314 -0.949  0.349 -0.751  0.340 -0.550  0.295 -0.351  0.250 -0.153  0.205 0.045  0.159 0.243  0.114 0.442  0.069 0.640  0.024 0.838  -0.021 1.036  -0.066 1.235  -0.111 1.433  -0.156 1.631  -0.201 1.829  -0.205 1.806  -0.119 1.627  -0.026 1.448  0.024 1.252  0.062 1.053  0.153 0.871  0.203 0.680  0.215 0.477  0.250 0.277  0.290 0.078  0.327 -0.122  0.360 -0.323  0.388 -0.524  0.388 -0.727  0.462 -0.913  0.462 -1.116
2#tos#t1#t1050062/f  0.613 1.728  0.469 1.728  0.326 1.728  0.196 1.698  0.104 1.596  -0.030 1.562  -0.111 1.452  -0.111 1.308  -0.111 1.164  -0.059 1.037  -0.019 0.899  0.011 0.758  0.087 0.643  0.120 0.513  0.133 0.371  0.179 0.235  0.231 0.101  0.251 -0.039  0.251 -0.183  0.251 -0.327  0.251 -0.470  0.251 -0.614  0.251 -0.758  0.251 -0.902  0.251 -1.046  0.251 -1.189  0.143 -1.260  0.116 -1.397  -0.012 -1.413  -0.042 -1.443  -0.112 -1.318  -0.183 -1.192  -0.254 -1.067  -0.324 -0.942  -0.395 -0.817  -0.465 -0.692  -0.536 -0.566  -0.607 -0.441  -0.677 -0.316  -0.735 -0.187  -0.646 -0.114  -0.509 -0.083  -0.371 -0.049  -0.230 -0.033  -0.089 -0.016  0.045 0.034  0.183 0.074  0.326 0.083  0.469 0.083  0.613 0.083
2#tos#t1#t1050062/h  -0.285 1.799  -0.398 1.841  -0.453 1.742  -0.453 1.587  -0.453 1.432  -0.453 1.278  -0.421 1.129  -0.369 0.984  -0.369 0.829  -0.369 0.674  -0.369 0.519  -0.369 0.364  -0.369 0.210  -0.369 0.055  -0.369 -0.100  -0.369 -0.255  -0.369 -0.410  -0.369 -0.565  -0.369 -0.720  -0.369 -0.874  -0.369 -1.029  -0.335 -1.150  -0.333 -1.173  -0.369 -1.024  -0.369 -0.870  -0.369 -0.715  -0.369 -0.560  -0.369 -0.405  -0.337 -0.255  -0.288 -0.108  -0.196 0.011  -0.165 0.163  -0.099 0.300  0.011 0.409  0.148 0.451  0.303 0.451  0.458 0.451  0.551 0.335  0.642 0.234  0.713 0.103  0.788 -0.030  0.837 -0.177  0.856 -0.329  0.882 -0.482  0.895 -0.636  0.895 -0.791  0.895 -0.945  0.932 -1.094  0.937 -1.248  0.937 -1.403
2#tos#t1#t1050062/i  0.262 0.539  0.172 0.448  0.145 0.332  0.145 0.204  0.145 0.077  0.145 -0.051  0.145 -0.178  0.145 -0.306  0.145 -0.433  0.180 -0.555  0.203 -0.679  0.203 -0.807  0.203 -0.934  0.203 -1.062  0.203 -1.189  0.203 -1.317  0.230 -1.438  0.262 -1.558  0.247 -1.552  0.219 -1.428  0.190 -1.303  0.162 -1.179  0.134 -1.055  0.106 -0.930  0.078 -0.806  0.050 -0.681  0.022 -0.557  -0.007 -0.433  -0.035 -0.308  -0.063 -0.184  -0.091 -0.059  -0.119 0.065  -0.147 0.189  -0.176 0.314  -0.204 0.438  -0.232 0.563  -0.260 0.687  -0.288 0.811  -0.316 0.936  -0.345 1.060  -0.373 1.184  -0.401 1.309  -0.429 1.433  -0.438 1.560  -0.338 1.588  -0.210 1.588  -0.107 1.529  -0.030 1.479  -0.027 1.353  0.087 1.296
2#tos#t1#t1050062/k  -0.209 1.803  -0.404 1.853  -0.432 1.791  -0.404 1.588  -0.404 1.381  -0.404 1.173  -0.404 0.966  -0.404 0.758  -0.404 0.551  -0.404 0.343  -0.404 0.135  -0.404 -0.072  -0.404 -0.280  -0.404 -0.487  -0.404 -0.695  -0.404 -0.902  -0.404 -1.110  -0.404 -1.317  -0.404 -1.525  -0.388 -1.659  -0.306 -1.469  -0.223 -1.278  -0.141 -1.088  -0.058 -0.898  0.025 -0.707  0.107 -0.517  0.190 -0.326  0.272 -0.136  0.355 0.054  0.438 0.245  0.520 0.435  0.603 0.626  0.686 0.816  0.757 1.011  0.681 0.880  0.504 0.773  0.357 0.637  0.267 0.453  0.105 0.333  -0.029 0.187  -0.162 0.029  -0.258 -0.144  -0.230 -0.348  -0.087 -0.431  0.095 -0.493  0.287 -0.532  0.487 -0.577  0.695 -0.577  0.902 -0.577  1.053 -0.674
2#tos#t1#t1050062/p  -0.058 1.513  -0.210 1.463  -0.161 1.268  -0.109 1.075  -0.109 0.874  -0.109 0.673  -0.095 0.472  -0.062 0.274  -0.058 0.073  -0.058 -0.128  -0.040 -0.328  -0.012 -0.527  -0.008 -0.728  -0.008 -0.930  -0.008 -1.131  -0.008 -1.332  -0.008 -1.533  -0.008 -1.735  -0.008 -1.936  -0.028 -1.799  -0.052 -1.599  -0.075 -1.399  -0.099 -1.199  -0.123 -0.999  -0.146 -0.800  -0.170 -0.600  -0.194 -0.400  -0.218 -0.200  -0.241 -0.000  -0.265 0.200  -0.289 0.399  -0.312 0.599  -0.336 0.799  -0.360 0.999  -0.270 1.109  -0.111 1.210  0.090 1.210  0.291 1.210  0.493 1.210  0.628 1.088  0.648 0.893  0.648 0.691  0.597 0.502  0.540 0.318  0.440 0.145  0.297 0.002  0.131 -0.107  0.043 -0.253  -0.109 -0.303  -0.311 -0.303
2#tos#t1#t1050062/r  -0.637 1.292  -0.500 1.281  -0.500 1.133  -0.417 1.058  -0.363 0.923  -0.363 0.775  -0.295 0.656  -0.295 0.508  -0.295 0.360  -0.282 0.214  -0.246 0.071  -0.226 -0.074  -0.226 -0.222  -0.226 -0.370  -0.226 -0.517  -0.226 -0.665  -0.226 -0.813  -0.226 -0.961  -0.225 -1.108  -0.159 -1.240  -0.157 -1.387  -0.157 -1.535  -0.102 -1.561  -0.157 -1.426  -0.230 -1.308  -0.295 -1.188  -0.295 -1.040  -0.295 -0.892  -0.295 -0.744  -0.295 -0.597  -0.295 -0.449  -0.295 -0.301  -0.236 -0.167  -0.226 -0.022  -0.226 0.126  -0.157 0.205  -0.095 0.327  0.010 0.431  0.114 0.535  0.218 0.640  0.323 0.744  0.442 0.812  0.590 0.812  0.738 0.812  0.886 0.812  1.033 0.812  1.181 0.812  1.329 0.812  1.476 0.812  1.624 0.812
2#tos#t1#t1050062/s  0.787 1.155  0.679 1.155  0.571 1.155  0.463 1.155  0.355 1.155  0.254 1.184  0.153 1.214  0.045 1.214  -0.061 1.206  -0.157 1.157  -0.219 1.070  -0.279 0.980  -0.385 0.977  -0.466 0.911  -0.542 0.834  -0.577 0.741  -0.556 0.638  -0.495 0.562  -0.436 0.494  -0.402 0.392  -0.354 0.295  -0.287 0.212  -0.210 0.136  -0.162 0.048  -0.133 -0.031  -0.025 -0.031  0.080 -0.036  0.157 -0.113  0.249 -0.150  0.344 -0.181  0.420 -0.258  0.497 -0.334  0.550 -0.420  0.550 -0.528  0.518 -0.628  0.490 -0.730  0.456 -0.813  0.354 -0.847  0.267 -0.907  0.174 -0.960  0.099 -1.033  0.039 -1.123  -0.030 -1.204  -0.108 -1.280  -0.197 -1.339  -0.288 -1.395  -0.396 -1.395  -0.504 -1.395  -0.588 -1.454  -0.696 -1.454
2#tos#t1#t1050062/t  -0.357 0.598  -0.509 0.598  -0.603 0.518  -0.734 0.446  -0.861 0.421  -0.734 0.396  -0.584 0.384  -0.441 0.345  -0.288 0.345  -0.135 0.345  0.017 0.345  0.170 0.345  0.323 0.345  0.475 0.345  0.625 0.357  0.742 0.406  0.626 0.504  0.510 0.603  0.393 0.702  0.277 0.801  0.161 0.900  0.044 0.999  -0.072 1.098  -0.188 1.197  -0.306 1.240  -0.224 1.121  -0.165 0.983  -0.155 0.832  -0.155 0.679  -0.132 0.530  -0.104 0.382  -0.104 0.229  -0.104 0.077  -0.104 -0.076  -0.104 -0.229  -0.104 -0.381  -0.104 -0.534  -0.104 -0.687  -0.104 -0.839  -0.104 -0.992  -0.031 -1.092  0.064 -1.186  0.104 -1.333  0.165 -1.473  0.199 -1.620  0.306 -1.724  0.408 -1.778  0.549 -1.825  0.702 -1.825  0.855 -1.825
2#tos#t1#t1050062/v  -0.877 1.624  -0.800 1.585  -0.800 1.469  -0.800 1.353  -0.800 1.237  -0.800 1.121  -0.774 1.009  -0.738 0.899  -0.701 0.789  -0.664 0.678  -0.647 0.565  -0.647 0.449  -0.647 0.333  -0.647 0.217  -0.594 0.129  -0.497 0.065  -0.408 -0.006  -0.356 -0.110  -0.339 -0.222  -0.339 -0.338  -0.258 -0.373  -0.175 -0.415  -0.147 -0.528  -0.119 -0.640  -0.067 -0.743  -0.003 -0.839  0.045 -0.941  0.045 -1.057  0.153 -1.064  0.198 -1.135  0.232 -1.218  0.298 -1.149  0.335 -1.039  0.389 -0.938  0.459 -0.845  0.528 -0.752  0.583 -0.654  0.583 -0.538  0.595 -0.425  0.647 -0.321  0.699 -0.218  0.744 -0.111  0.772 0.001  0.800 0.114  0.837 0.224  0.880 0.332  0.923 0.439  0.966 0.547  0.967 0.663  0.967 0.779
