2#tos#t2#t2064064/\"  -0.686 0.242  -0.814 0.051  -0.979 -0.071  -1.104 0.033  -1.313 0.055  -1.165 0.138  -0.935 0.138  -0.809 0.033  -0.790 -0.178  -0.919 -0.280  -1.104 -0.235  -1.104 -0.005  -1.016 0.138  -0.999 -0.076  -0.895 -0.201  -0.895 -0.129  -0.895 -0.244  -0.895 -0.474  -0.790 -0.661  -0.790 -0.891  -0.641 -0.962  -0.488 -0.790  -0.334 -0.619  -0.181 -0.447  -0.027 -0.276  0.126 -0.104  0.280 0.068  0.433 0.239  0.587 0.411  0.740 0.582  0.894 0.754  1.048 0.926  1.038 0.816  0.986 0.594  0.838 0.451  0.608 0.451  0.464 0.537  0.653 0.650  0.881 0.660  0.882 0.430  0.777 0.389  0.840 0.556  0.966 0.386  0.986 0.161  1.089 0.033  1.090 -0.195  1.090 -0.425  1.090 -0.656  1.090 -0.886  1.090 -1.116
2#tos#t2#t2064064/L  -0.107 1.405  -0.143 1.457  -0.231 1.457  -0.319 1.457  -0.407 1.457  -0.419 1.381  -0.419 1.293  -0.419 1.205  -0.419 1.117  -0.419 1.029  -0.419 0.941  -0.399 0.856  -0.378 0.770  -0.367 0.684  -0.367 0.596  -0.367 0.508  -0.367 0.420  -0.367 0.332  -0.367 0.244  -0.367 0.156  -0.367 0.068  -0.367 -0.020  -0.367 -0.108  -0.367 -0.196  -0.367 -0.284  -0.367 -0.372  -0.367 -0.460  -0.367 -0.548  -0.367 -0.636  -0.367 -0.724  -0.286 -0.731  -0.200 -0.737  -0.121 -0.776  -0.035 -0.783  0.053 -0.783  0.141 -0.783  0.229 -0.783  0.317 -0.783  0.405 -0.783  0.493 -0.783  0.581 -0.783  0.669 -0.783  0.757 -0.783  0.845 -0.783  0.933 -0.783  1.021 -0.783  1.109 -0.783  1.197 -0.783  1.274 -0.757  1.352 -0.731
2#tos#t2#t2064064/M  -0.394 0.988  -0.572 0.932  -0.572 0.698  -0.572 0.464  -0.572 0.229  -0.572 -0.005  -0.528 -0.229  -0.528 -0.463  -0.528 -0.697  -0.528 -0.931  -0.528 -1.165  -0.508 -1.380  -0.499 -1.171  -0.516 -0.938  -0.534 -0.704  -0.552 -0.471  -0.569 -0.237  -0.587 -0.004  -0.604 0.230  -0.622 0.463  -0.640 0.697  -0.657 0.931  -0.796 1.031  -0.752 1.166  -0.662 1.023  -0.559 0.854  -0.511 0.658  -0.363 0.479  -0.304 0.267  -0.174 0.096  -0.081 -0.081  0.061 -0.245  0.187 -0.402  0.353 -0.359  0.432 -0.152  0.562 -0.004  0.682 0.188  0.820 0.376  0.902 0.591  0.918 0.809  1.036 0.666  1.036 0.432  1.084 0.217  1.125 -0.011  1.125 -0.245  1.125 -0.479  1.155 -0.709  1.215 -0.922  1.259 -1.146  1.304 -1.335
2#tos#t2#t2064064/N  -0.092 1.098  -0.297 0.973  -0.407 0.699  -0.537 0.435  -0.637 0.180  -0.768 -0.080  -0.855 -0.359  -0.938 -0.620  -1.036 -0.880  -1.098 -1.161  -1.236 -1.409  -1.115 -1.374  -0.924 -1.148  -0.733 -0.922  -0.542 -0.697  -0.351 -0.471  -0.160 -0.245  0.031 -0.019  0.222 0.207  0.413 0.432  0.604 0.658  0.796 0.884  0.987 1.110  1.137 1.316  1.040 1.061  0.998 0.772  0.891 0.505  0.832 0.219  0.780 -0.068  0.726 -0.355  0.617 -0.606  0.575 -0.892  0.446 -0.678  0.316 -0.412  0.187 -0.146  0.058 0.120  -0.071 0.386  -0.200 0.652  -0.330 0.918  -0.581 0.989  -0.582 0.990  -0.395 0.763  -0.258 0.508  -0.083 0.272  0.083 0.030  0.197 -0.242  0.352 -0.490  0.525 -0.726  0.632 -0.988  0.780 -1.190
2#tos#t2#t2064064/O  -0.033 1.017  -0.129 1.072  -0.162 0.943  -0.266 0.834  -0.350 0.707  -0.377 0.569  -0.521 0.521  -0.532 0.377  -0.620 0.262  -0.681 0.126  -0.729 -0.017  -0.754 -0.165  -0.754 -0.316  -0.754 -0.468  -0.754 -0.620  -0.754 -0.771  -0.754 -0.923  -0.671 -1.023  -0.636 -1.155  -0.528 -1.259  -0.377 -1.259  -0.225 -1.259  -0.075 -1.252  0.065 -1.203  0.193 -1.145  0.300 -1.038  0.426 -0.954  0.533 -0.850  0.614 -0.723  0.721 -0.616  0.800 -0.497  0.836 -0.354  0.904 -0.219  0.911 -0.069  0.911 0.083  0.911 0.234  0.911 0.386  0.835 0.462  0.763 0.572  0.703 0.711  0.592 0.795  0.464 0.850  0.367 0.939  0.242 1.017  0.091 1.017  -0.061 1.017  -0.209 1.007  -0.341 0.961  -0.461 0.879  -0.588 0.795
2#tos#t2#t2064064/Q  0.710 1.184  0.491 1.224  0.243 1.263  0.070 1.145  -0.092 0.962  -0.260 0.767  -0.433 0.594  -0.579 0.390  -0.686 0.183  -0.805 -0.043  -0.869 -0.288  -0.869 -0.546  -0.863 -0.803  -0.712 -0.988  -0.512 -1.106  -0.254 -1.106  -0.000 -1.086  0.196 -0.950  0.419 -0.830  0.609 -0.665  0.723 -0.449  0.828 -0.230  0.907 0.009  0.907 0.267  0.871 0.510  0.757 0.734  0.622 0.927  0.429 1.067  0.180 1.129  -0.040 1.181  -0.295 1.184  -0.396 1.004  -0.454 0.753  -0.517 0.503  -0.579 0.253  -0.642 0.002  -0.704 -0.248  -0.767 -0.498  -0.943 -0.629  -0.782 -0.529  -0.568 -0.466  -0.315 -0.435  -0.057 -0.435  0.118 -0.564  0.285 -0.696  0.461 -0.790  0.719 -0.790  0.947 -0.760  1.156 -0.711  1.342 -0.593
2#tos#t2#t2064064/R  0.513 1.500  0.287 1.421  0.168 1.177  0.023 1.002  -0.065 0.769  -0.173 0.507  -0.281 0.264  -0.398 0.007  -0.499 -0.262  -0.567 -0.530  -0.722 -0.770  -0.811 -1.031  -0.909 -1.278  -0.884 -1.422  -0.788 -1.151  -0.692 -0.880  -0.596 -0.609  -0.500 -0.339  -0.404 -0.068  -0.309 0.203  -0.213 0.474  -0.117 0.745  -0.238 0.862  -0.369 1.018  -0.220 1.157  0.016 1.240  0.294 1.255  0.576 1.241  0.808 1.095  0.977 0.889  1.053 0.633  1.044 0.347  0.906 0.127  0.709 -0.059  0.522 -0.217  0.286 -0.374  0.033 -0.504  -0.249 -0.524  -0.468 -0.658  -0.713 -0.615  -0.453 -0.502  -0.187 -0.393  0.078 -0.283  -0.050 -0.315  0.219 -0.333  0.351 -0.545  0.503 -0.785  0.650 -0.996  0.856 -1.147  1.004 -1.344
2#tos#t2#t2064064/S  0.596 0.619  0.631 0.724  0.698 0.771  0.720 0.866  0.748 0.970  0.748 1.080  0.713 1.183  0.606 1.188  0.495 1.188  0.385 1.188  0.276 1.179  0.173 1.147  0.074 1.098  -0.014 1.033  -0.110 0.998  -0.173 0.922  -0.238 0.877  -0.242 0.769  -0.314 0.702  -0.326 0.595  -0.352 0.490  -0.352 0.380  -0.348 0.270  -0.314 0.168  -0.267 0.068  -0.197 0.003  -0.162 -0.102  -0.068 -0.140  -0.005 -0.219  0.076 -0.284  0.126 -0.368  0.183 -0.444  0.217 -0.520  0.250 -0.623  0.255 -0.732  0.255 -0.843  0.239 -0.937  0.143 -0.973  0.072 -1.037  0.007 -1.089  -0.076 -1.154  -0.166 -1.202  -0.239 -1.240  -0.350 -1.240  -0.460 -1.240  -0.571 -1.240  -0.681 -1.240  -0.776 -1.202  -0.887 -1.202  -0.997 -1.202
2#tos#t2#t2064064/T  -0.805 0.308  -0.929 0.258  -1.073 0.258  -1.218 0.258  -1.343 0.258  -1.229 0.332  -1.095 0.358  -0.956 0.390  -0.819 0.436  -0.679 0.457  -0.534 0.457  -0.390 0.457  -0.246 0.457  -0.101 0.457  0.043 0.457  0.187 0.457  0.332 0.457  0.476 0.457  0.620 0.457  0.765 0.457  0.896 0.478  0.992 0.556  1.136 0.556  1.280 0.556  1.263 0.593  1.121 0.566  0.980 0.539  0.838 0.512  0.696 0.485  0.554 0.458  0.413 0.431  0.271 0.407  0.140 0.394  0.091 0.261  0.039 0.132  -0.010 0.003  -0.010 -0.141  -0.030 -0.281  -0.059 -0.418  -0.059 -0.563  -0.081 -0.703  -0.109 -0.843  -0.109 -0.987  -0.133 -1.129  -0.159 -1.270  -0.159 -1.414  -0.171 -1.556  -0.209 -1.691  -0.209 -1.835  -0.209 -1.980
2#tos#t2#t2064064/U  -0.570 1.184  -0.687 1.184  -0.781 1.161  -0.781 1.044  -0.781 0.926  -0.781 0.809  -0.781 0.691  -0.781 0.574  -0.781 0.457  -0.834 0.361  -0.834 0.244  -0.834 0.126  -0.834 0.009  -0.834 -0.108  -0.795 -0.217  -0.781 -0.331  -0.781 -0.448  -0.730 -0.534  -0.673 -0.617  -0.590 -0.700  -0.492 -0.745  -0.411 -0.798  -0.321 -0.826  -0.257 -0.879  -0.192 -0.932  -0.075 -0.932  0.042 -0.932  0.107 -0.879  0.193 -0.804  0.296 -0.764  0.403 -0.720  0.436 -0.636  0.436 -0.518  0.543 -0.507  0.614 -0.416  0.647 -0.306  0.724 -0.221  0.807 -0.138  0.859 -0.042  0.859 0.076  0.912 0.140  0.923 0.255  0.965 0.362  0.965 0.480  1.018 0.544  1.018 0.662  1.018 0.779  1.071 0.844  1.071 0.961  1.071 1.078
2#tos#t2#t2064064/V  -0.755 1.063  -0.870 1.073  -0.870 1.157  -0.870 1.031  -0.840 0.917  -0.755 0.826  -0.743 0.704  -0.697 0.597  -0.697 0.471  -0.686 0.347  -0.624 0.238  -0.581 0.129  -0.581 0.003  -0.581 -0.124  -0.581 -0.250  -0.504 -0.345  -0.443 -0.451  -0.408 -0.572  -0.408 -0.698  -0.341 -0.797  -0.292 -0.903  -0.261 -1.022  -0.234 -1.142  -0.176 -1.211  -0.118 -1.279  -0.090 -1.223  -0.001 -1.133  0.088 -1.044  0.113 -0.928  0.158 -0.846  0.207 -0.738  0.229 -0.616  0.233 -0.490  0.291 -0.378  0.380 -0.289  0.460 -0.196  0.460 -0.069  0.538 0.016  0.633 0.091  0.640 0.216  0.680 0.336  0.773 0.410  0.835 0.511  0.865 0.632  0.936 0.729  1.009 0.831  1.038 0.950  1.078 1.064  1.148 1.169  1.212 1.236
2#tos#t2#t2064064/W  -0.302 1.163  -0.477 1.211  -0.589 1.072  -0.646 0.858  -0.703 0.648  -0.733 0.432  -0.829 0.248  -0.829 0.025  -0.829 -0.198  -0.875 -0.414  -0.877 -0.637  -0.925 -0.853  -0.925 -1.076  -0.925 -1.300  -0.834 -1.198  -0.768 -1.013  -0.715 -0.815  -0.589 -0.639  -0.506 -0.460  -0.384 -0.283  -0.313 -0.071  -0.237 0.124  -0.110 0.303  -0.037 0.505  0.087 0.688  0.177 0.874  0.226 1.049  0.274 0.910  0.274 0.686  0.274 0.463  0.274 0.239  0.274 0.016  0.274 -0.207  0.274 -0.431  0.274 -0.654  0.274 -0.878  0.274 -1.101  0.392 -1.009  0.466 -0.850  0.539 -0.671  0.686 -0.529  0.770 -0.340  0.850 -0.135  0.946 0.049  1.028 0.238  1.090 0.444  1.122 0.635  1.193 0.794  1.270 0.971  1.377 1.115
2#tos#t2#t2064064/Z  -0.379 0.984  -0.530 0.970  -0.681 0.948  -0.832 0.937  -0.723 0.937  -0.571 0.937  -0.422 0.954  -0.274 0.984  -0.122 0.984  0.030 0.984  0.182 0.984  0.335 0.984  0.486 0.979  0.628 0.937  0.713 0.870  0.837 0.842  0.903 0.755  0.868 0.712  0.760 0.605  0.639 0.531  0.542 0.462  0.415 0.402  0.308 0.294  0.186 0.220  0.112 0.099  -0.011 0.015  -0.094 -0.076  -0.121 -0.202  -0.216 -0.282  -0.313 -0.383  -0.427 -0.465  -0.456 -0.602  -0.583 -0.686  -0.709 -0.771  -0.750 -0.906  -0.842 -1.003  -0.878 -1.104  -0.725 -1.104  -0.594 -1.049  -0.448 -1.009  -0.296 -1.009  -0.144 -1.009  0.008 -1.009  0.160 -1.009  0.313 -1.009  0.451 -0.963  0.588 -0.915  0.741 -0.915  0.893 -0.915  1.045 -0.915
2#tos#t2#t2064064/a  0.479 -0.094  0.439 -0.164  0.523 -0.050  0.550 0.110  0.592 0.273  0.620 0.438  0.620 0.610  0.551 0.753  0.479 0.895  0.357 1.017  0.209 1.101  0.038 1.107  -0.134 1.107  -0.306 1.107  -0.467 1.080  -0.588 0.959  -0.725 0.858  -0.861 0.756  -0.942 0.605  -1.063 0.483  -1.075 0.316  -1.139 0.164  -1.217 0.015  -1.217 -0.157  -1.217 -0.329  -1.217 -0.501  -1.147 -0.657  -0.977 -0.659  -0.805 -0.659  -0.633 -0.659  -0.460 -0.659  -0.291 -0.652  -0.170 -0.530  -0.032 -0.447  0.115 -0.387  0.237 -0.265  0.325 -0.164  0.408 -0.034  0.408 -0.043  0.408 -0.215  0.408 -0.387  0.408 -0.559  0.522 -0.659  0.694 -0.659  0.795 -0.730  0.967 -0.730  1.139 -0.730  1.311 -0.730  1.467 -0.660  1.610 -0.588
2#tos#t2#t2064064/b  0.551 1.988  0.435 2.038  0.424 1.860  0.319 1.721  0.296 1.547  0.196 1.394  0.115 1.231  0.033 1.068  0.016 0.889  -0.028 0.712  -0.073 0.535  -0.176 0.392  -0.202 0.221  -0.239 0.043  -0.314 -0.120  -0.393 -0.281  -0.434 -0.458  -0.434 -0.640  -0.434 -0.823  -0.468 -0.984  -0.549 -1.115  -0.549 -1.099  -0.549 -0.917  -0.549 -0.735  -0.549 -0.552  -0.456 -0.409  -0.386 -0.244  -0.352 -0.073  -0.260 0.071  -0.143 0.137  -0.037 0.275  0.132 0.330  0.306 0.366  0.488 0.366  0.670 0.366  0.841 0.355  0.841 0.172  0.841 -0.010  0.815 -0.181  0.725 -0.326  0.598 -0.456  0.448 -0.554  0.317 -0.680  0.188 -0.808  0.054 -0.931  -0.100 -1.024  -0.278 -1.050  -0.411 -1.153  -0.565 -1.198  -0.723 -1.256
2#tos#t2#t2064064/d  0.695 1.733  0.574 1.782  0.497 1.688  0.497 1.517  0.475 1.349  0.448 1.182  0.448 1.011  0.448 0.840  0.448 0.669  0.448 0.498  0.448 0.328  0.448 0.157  0.448 -0.014  0.448 -0.185  0.448 -0.355  0.448 -0.526  0.448 -0.697  0.448 -0.868  0.448 -1.038  0.448 -0.963  0.448 -0.792  0.448 -0.622  0.434 -0.453  0.398 -0.288  0.373 -0.121  0.289 0.023  0.250 0.184  0.200 0.334  0.098 0.432  -0.049 0.498  -0.200 0.546  -0.371 0.546  -0.542 0.546  -0.692 0.496  -0.800 0.425  -0.914 0.310  -0.937 0.154  -0.946 -0.015  -0.987 -0.176  -0.987 -0.347  -0.953 -0.510  -0.937 -0.677  -0.846 -0.810  -0.713 -0.914  -0.655 -1.054  -0.502 -1.130  -0.341 -1.185  -0.170 -1.185  0.001 -1.185  0.151 -1.136
2#tos#t2#t2064064/f  -0.563 0.267  -0.711 0.267  -0.852 0.225  -0.778 0.213  -0.629 0.213  -0.481 0.213  -0.333 0.213  -0.185 0.213  -0.037 0.213  0.111 0.213  0.260 0.213  0.408 0.213  0.556 0.213  0.704 0.213  0.847 0.219  0.873 0.365  0.900 0.511  0.926 0.656  0.953 0.802  0.846 0.883  0.731 0.917  0.583 0.917  0.452 0.945  0.360 1.051  0.218 1.079  0.070 1.079  -0.078 1.079  -0.130 0.983  -0.184 0.857  -0.184 0.709  -0.184 0.561  -0.184 0.413  -0.184 0.265  -0.184 0.116  -0.184 -0.032  -0.180 -0.179  -0.133 -0.320  -0.130 -0.467  -0.130 -0.615  -0.130 -0.764  -0.130 -0.912  -0.130 -1.060  -0.159 -1.201  -0.184 -1.343  -0.278 -1.453  -0.292 -1.595  -0.343 -1.731  -0.420 -1.846  -0.535 -1.926  -0.563 -2.063
2#tos#t2#t2064064/g  0.473 0.414  0.419 0.554  0.474 0.738  0.527 0.919  0.527 1.112  0.450 1.282  0.344 1.419  0.154 1.435  -0.039 1.435  -0.227 1.399  -0.394 1.305  -0.494 1.149  -0.548 0.978  -0.548 0.784  -0.548 0.591  -0.454 0.427  -0.288 0.360  -0.095 0.360  0.098 0.361  0.204 0.489  0.257 0.629  0.312 0.449  0.366 0.278  0.366 0.085  0.366 -0.109  0.366 -0.302  0.366 -0.495  0.261 -0.657  0.258 -0.849  0.258 -1.043  0.156 -1.193  0.043 -1.340  -0.064 -1.467  -0.235 -1.521  -0.429 -1.521  -0.622 -1.521  -0.757 -1.425  -0.763 -1.234  -0.763 -1.040  -0.704 -0.871  -0.568 -0.734  -0.431 -0.598  -0.294 -0.461  -0.158 -0.324  -0.010 -0.204  0.161 -0.113  0.336 -0.070  0.475 -0.016  0.620 0.063  0.796 0.092
2#tos#t2#t2064064/h  -0.169 1.792  -0.325 1.792  -0.393 1.704  -0.393 1.547  -0.393 1.391  -0.393 1.235  -0.393 1.079  -0.393 0.922  -0.415 0.768  -0.440 0.614  -0.449 0.458  -0.449 0.302  -0.449 0.145  -0.449 -0.011  -0.449 -0.167  -0.449 -0.324  -0.449 -0.480  -0.449 -0.636  -0.449 -0.793  -0.449 -0.949  -0.449 -1.105  -0.505 -1.248  -0.505 -1.176  -0.505 -1.020  -0.455 -0.879  -0.393 -0.741  -0.393 -0.585  -0.376 -0.438  -0.246 -0.351  -0.225 -0.206  -0.169 -0.105  -0.169 0.051  -0.085 0.182  -0.001 0.306  0.103 0.391  0.236 0.447  0.393 0.447  0.480 0.359  0.563 0.269  0.612 0.121  0.679 -0.009  0.728 -0.145  0.795 -0.259  0.873 -0.383  0.957 -0.510  1.064 -0.622  1.113 -0.730  1.213 -0.786  1.361 -0.822  1.512 -0.842
2#tos#t2#t2064064/i  0.125 0.324  -0.009 0.324  -0.033 0.318  -0.033 0.184  -0.033 0.049  -0.033 -0.086  -0.033 -0.220  0.012 -0.344  0.020 -0.477  0.020 -0.612  0.020 -0.746  0.020 -0.881  0.020 -1.015  0.020 -1.150  0.020 -1.285  0.028 -1.412  0.073 -1.501  0.086 -1.622  0.175 -1.579  0.166 -1.445  0.157 -1.311  0.148 -1.176  0.139 -1.042  0.129 -0.908  0.120 -0.773  0.111 -0.639  0.102 -0.505  0.093 -0.370  0.084 -0.236  0.075 -0.102  0.066 0.032  0.057 0.167  0.048 0.301  0.038 0.435  0.029 0.570  0.020 0.704  0.011 0.838  0.002 0.972  -0.007 1.107  -0.016 1.241  -0.025 1.375  -0.060 1.482  -0.190 1.477  -0.190 1.342  -0.254 1.271  -0.296 1.364  -0.296 1.499  -0.243 1.488  -0.243 1.353  -0.243 1.219
2#tos#t2#t2064064/k  -0.393 2.114  -0.510 2.040  -0.482 1.854  -0.452 1.668  -0.452 1.477  -0.452 1.286  -0.452 1.096  -0.452 0.905  -0.452 0.714  -0.452 0.523  -0.452 0.333  -0.452 0.142  -0.452 -0.049  -0.452 -0.240  -0.452 -0.431  -0.452 -0.621  -0.452 -0.812  -0.452 -1.003  -0.427 -1.183  -0.393 -1.360  -0.352 -1.509  -0.259 -1.353  -0.176 -1.182  -0.092 -1.010  -0.009 -0.839  0.075 -0.667  0.158 -0.496  0.242 -0.324  0.325 -0.152  0.409 0.019  0.492 0.191  0.576 0.362  0.659 0.534  0.659 0.653  0.499 0.552  0.364 0.417  0.229 0.282  0.127 0.127  -0.049 0.065  -0.218 0.001  -0.140 -0.133  0.046 -0.165  0.120 -0.282  0.304 -0.310  0.423 -0.427  0.606 -0.458  0.737 -0.523  0.920 -0.574  1.068 -0.617  1.243 -0.633
2#tos#t2#t2064064/l  0.198 1.558  0.126 1.558  0.054 1.558  0.016 1.525  0.016 1.453  0.016 1.381  0.016 1.310  0.016 1.238  0.016 1.166  0.016 1.095  0.016 1.023  0.016 0.951  0.016 0.880  0.016 0.808  0.016 0.736  0.016 0.665  0.016 0.593  0.016 0.521  0.016 0.450  0.016 0.378  0.016 0.306  0.016 0.235  0.016 0.163  0.016 0.091  0.016 0.020  0.016 -0.052  0.016 -0.124  0.016 -0.195  0.016 -0.267  0.016 -0.338  0.016 -0.410  -0.026 -0.440  -0.045 -0.493  -0.045 -0.565  -0.045 -0.636  -0.045 -0.708  -0.045 -0.780  -0.045 -0.851  -0.045 -0.923  -0.045 -0.995  -0.045 -1.066  -0.045 -1.138  -0.045 -1.210  -0.045 -1.281  -0.045 -1.353  -0.045 -1.424  -0.045 -1.496  -0.045 -1.568  -0.045 -1.639  -0.045 -1.711
2#tos#t2#t2064064/m  -1.218 -0.577  -1.286 -0.682  -1.429 -0.650  -1.395 -0.490  -1.376 -0.324  -1.324 -0.158  -1.314 0.013  -1.180 0.109  -1.112 0.216  -1.054 0.337  -0.989 0.496  -0.895 0.640  -0.733 0.690  -0.611 0.637  -0.532 0.542  -0.477 0.407  -0.373 0.307  -0.373 0.133  -0.373 -0.041  -0.373 -0.215  -0.357 -0.383  -0.321 -0.542  -0.243 -0.485  -0.215 -0.328  -0.162 -0.166  -0.113 -0.003  -0.004 0.126  0.094 0.260  0.154 0.378  0.269 0.406  0.337 0.246  0.380 0.080  0.418 -0.085  0.418 -0.260  0.471 -0.381  0.580 -0.357  0.658 -0.201  0.735 -0.045  0.735 0.129  0.823 0.215  0.946 0.298  1.045 0.373  1.209 0.363  1.262 0.242  1.366 0.111  1.420 -0.041  1.473 -0.194  1.528 -0.315  1.670 -0.411  1.843 -0.419
2#tos#t2#t2064064/p  -0.008 1.353  -0.210 1.306  -0.227 1.103  -0.227 0.889  -0.227 0.676  -0.227 0.462  -0.227 0.249  -0.227 0.035  -0.227 -0.179  -0.227 -0.392  -0.227 -0.606  -0.227 -0.819  -0.227 -1.033  -0.218 -1.245  -0.172 -1.451  -0.117 -1.652  -0.062 -1.842  -0.008 -1.863  -0.008 -1.650  -0.008 -1.436  -0.008 -1.223  -0.008 -1.009  -0.008 -0.796  -0.008 -0.582  -0.008 -0.369  -0.008 -0.155  -0.008 0.059  -0.008 0.272  -0.014 0.483  -0.153 0.586  -0.328 0.657  -0.446 0.829  -0.500 1.020  -0.446 1.178  -0.254 1.257  -0.050 1.298  0.163 1.298  0.364 1.243  0.536 1.166  0.595 0.971  0.652 0.774  0.704 0.577  0.704 0.363  0.611 0.181  0.540 -0.016  0.452 -0.202  0.292 -0.293  0.178 -0.454  -0.013 -0.509  -0.227 -0.509
2#tos#t2#t2064064/s  0.568 0.777  0.568 0.889  0.568 1.001  0.514 1.079  0.452 1.143  0.385 1.188  0.286 1.234  0.174 1.234  0.063 1.234  -0.049 1.234  -0.146 1.185  -0.234 1.117  -0.313 1.039  -0.411 1.006  -0.437 0.920  -0.437 0.809  -0.517 0.777  -0.529 0.677  -0.529 0.565  -0.506 0.459  -0.477 0.354  -0.437 0.252  -0.353 0.201  -0.261 0.144  -0.208 0.046  -0.129 -0.033  -0.042 -0.091  0.042 -0.159  0.144 -0.182  0.210 -0.228  0.248 -0.301  0.332 -0.361  0.385 -0.449  0.477 -0.504  0.477 -0.615  0.477 -0.727  0.477 -0.839  0.451 -0.939  0.372 -1.018  0.281 -1.080  0.215 -1.164  0.122 -1.215  0.059 -1.279  -0.052 -1.279  -0.138 -1.321  -0.219 -1.370  -0.331 -1.370  -0.442 -1.370  -0.529 -1.345  -0.620 -1.325
2#tos#t2#t2064064/t  -0.640 0.567  -0.791 0.470  -0.952 0.391  -1.126 0.351  -1.160 0.351  -0.983 0.369  -0.811 0.405  -0.631 0.405  -0.450 0.405  -0.270 0.405  -0.089 0.405  0.091 0.405  0.272 0.405  0.452 0.405  0.633 0.405  0.814 0.405  0.940 0.351  1.050 0.371  0.895 0.464  0.740 0.557  0.586 0.650  0.431 0.742  0.276 0.835  0.121 0.928  -0.034 1.021  -0.188 1.114  -0.298 1.088  -0.371 0.952  -0.371 0.772  -0.362 0.593  -0.317 0.419  -0.267 0.251  -0.218 0.090  -0.210 -0.087  -0.210 -0.268  -0.210 -0.448  -0.181 -0.622  -0.156 -0.797  -0.156 -0.977  -0.156 -1.158  -0.104 -1.316  -0.048 -1.484  0.029 -1.587  0.187 -1.533  0.347 -1.461  0.475 -1.333  0.644 -1.285  0.767 -1.210  0.925 -1.136  1.083 -1.049
2#tos#t2#t2064064/w  -1.098 0.618  -1.117 0.780  -1.260 0.820  -1.260 0.884  -1.206 0.714  -1.177 0.550  -1.098 0.417  -1.043 0.289  -1.002 0.113  -0.905 -0.037  -0.881 -0.214  -0.863 -0.392  -0.782 -0.555  -0.773 -0.735  -0.756 -0.907  -0.639 -1.007  -0.556 -0.876  -0.449 -0.738  -0.393 -0.579  -0.260 -0.469  -0.231 -0.294  -0.117 -0.173  -0.068 -0.016  -0.043 0.156  0.094 0.249  0.107 0.428  0.148 0.601  0.202 0.761  0.257 0.672  0.257 0.490  0.284 0.319  0.311 0.148  0.365 -0.012  0.365 -0.194  0.419 -0.363  0.419 -0.546  0.519 -0.628  0.582 -0.779  0.634 -0.740  0.762 -0.610  0.852 -0.465  0.950 -0.314  1.073 -0.182  1.134 -0.010  1.232 0.108  1.282 0.282  1.394 0.355  1.394 0.537  1.439 0.709  1.502 0.835
2#tos#t2#t2064064/z  -0.405 0.828  -0.568 0.828  -0.730 0.828  -0.892 0.828  -1.034 0.828  -0.872 0.828  -0.710 0.828  -0.547 0.828  -0.385 0.828  -0.223 0.828  -0.061 0.828  0.101 0.828  0.264 0.828  0.426 0.828  0.588 0.828  0.750 0.828  0.885 0.762  1.030 0.722  0.870 0.722  0.819 0.611  0.705 0.562  0.556 0.511  0.428 0.420  0.356 0.275  0.250 0.154  0.112 0.072  -0.018 -0.025  -0.129 -0.140  -0.226 -0.269  -0.341 -0.384  -0.491 -0.442  -0.611 -0.548  -0.650 -0.694  -0.780 -0.771  -0.900 -0.875  -0.973 -0.928  -0.811 -0.928  -0.649 -0.928  -0.487 -0.928  -0.324 -0.928  -0.162 -0.928  0.000 -0.928  0.162 -0.928  0.324 -0.928  0.487 -0.928  0.649 -0.928  0.811 -0.928  0.973 -0.928  1.135 -0.928  1.297 -0.928
