2#tos#f3#f3017065/!  0.061 1.680  0.061 1.610  0.025 1.575  0.025 1.505  0.025 1.434  0.025 1.363  0.025 1.293  0.025 1.222  0.025 1.151  0.025 1.081  0.025 1.010  0.025 0.939  0.025 0.869  0.004 0.803  -0.011 0.736  -0.011 0.665  -0.011 0.595  -0.011 0.524  -0.011 0.453  -0.011 0.383  -0.011 0.312  -0.011 0.242  -0.011 0.171  -0.011 0.100  -0.011 0.030  -0.011 -0.041  -0.011 -0.112  -0.011 -0.182  -0.011 -0.253  -0.011 -0.324  -0.011 -0.394  -0.011 -0.465  -0.011 -0.536  -0.011 -0.606  -0.011 -0.677  -0.011 -0.748  -0.011 -0.818  -0.011 -0.889  -0.020 -0.958  -0.042 -1.025  -0.048 -1.095  -0.048 -1.166  -0.048 -1.236  -0.048 -1.307  -0.048 -1.378  -0.040 -1.440  -0.011 -1.483  0.029 -1.513  0.098 -1.515  0.098 -1.586
2#tos#f3#f3017065/b  -0.140 1.626  -0.227 1.504  -0.391 1.439  -0.457 1.290  -0.575 1.199  -0.575 1.023  -0.575 0.847  -0.575 0.671  -0.575 0.495  -0.575 0.319  -0.575 0.143  -0.575 -0.033  -0.610 -0.203  -0.655 -0.370  -0.655 -0.546  -0.655 -0.722  -0.655 -0.899  -0.655 -1.075  -0.607 -1.231  -0.546 -1.135  -0.506 -0.963  -0.467 -0.792  -0.427 -0.620  -0.387 -0.449  -0.348 -0.277  -0.308 -0.105  -0.269 0.066  -0.229 0.238  -0.207 0.405  -0.050 0.484  0.089 0.589  0.255 0.637  0.431 0.637  0.608 0.637  0.784 0.637  0.935 0.555  1.099 0.492  1.206 0.356  1.206 0.180  1.206 0.004  1.145 -0.158  1.031 -0.290  0.906 -0.414  0.805 -0.558  0.705 -0.703  0.592 -0.832  0.419 -0.866  0.349 -1.011  0.221 -1.079  0.058 -1.144
2#tos#f3#f3017065/f  -1.008 -0.089  -1.162 -0.102  -1.171 -0.122  -1.023 -0.156  -0.867 -0.156  -0.711 -0.156  -0.555 -0.156  -0.399 -0.156  -0.243 -0.156  -0.087 -0.156  0.067 -0.136  0.221 -0.122  0.377 -0.122  0.533 -0.122  0.689 -0.122  0.811 -0.085  0.824 0.070  0.837 0.226  0.850 0.381  0.862 0.537  0.875 0.692  0.888 0.847  0.901 1.003  0.877 1.151  0.729 1.190  0.575 1.212  0.419 1.222  0.264 1.222  0.114 1.195  0.033 1.086  -0.048 0.960  -0.074 0.807  -0.100 0.653  -0.141 0.503  -0.205 0.361  -0.235 0.208  -0.235 0.052  -0.264 -0.101  -0.268 -0.256  -0.268 -0.412  -0.268 -0.568  -0.268 -0.724  -0.268 -0.880  -0.268 -1.036  -0.268 -1.192  -0.268 -1.348  -0.268 -1.504  -0.268 -1.659  -0.268 -1.815  -0.268 -1.971
2#tos#f3#f3017065/h  0.002 1.855  -0.103 1.719  -0.185 1.586  -0.221 1.416  -0.302 1.258  -0.313 1.081  -0.383 0.945  -0.383 0.766  -0.383 0.587  -0.383 0.408  -0.383 0.229  -0.383 0.050  -0.383 -0.129  -0.383 -0.308  -0.383 -0.487  -0.383 -0.666  -0.383 -0.845  -0.409 -1.020  -0.418 -1.197  -0.434 -1.361  -0.491 -1.236  -0.495 -1.057  -0.500 -0.878  -0.504 -0.699  -0.508 -0.520  -0.513 -0.341  -0.517 -0.162  -0.521 0.017  -0.646 0.072  -0.619 0.145  -0.446 0.177  -0.298 0.221  -0.171 0.325  -0.029 0.427  0.131 0.500  0.306 0.527  0.456 0.597  0.635 0.597  0.781 0.516  0.805 0.348  0.809 0.169  0.840 -0.002  0.840 -0.181  0.840 -0.360  0.840 -0.539  0.932 -0.670  0.980 -0.840  1.080 -0.937  1.214 -1.024  1.364 -1.081
2#tos#f3#f3017065/i  -0.221 1.283  -0.221 1.363  -0.229 1.434  -0.208 1.434  -0.166 1.382  -0.130 1.321  -0.108 1.263  -0.084 1.208  -0.011 1.178  0.005 1.108  0.033 1.035  0.066 0.962  0.100 0.890  0.133 0.818  0.167 0.745  0.200 0.673  0.232 0.600  0.223 0.529  0.143 0.529  0.118 0.474  0.118 0.394  0.118 0.315  0.092 0.252  0.043 0.202  0.013 0.152  0.005 0.080  0.005 0.001  -0.014 -0.075  -0.032 -0.150  -0.032 -0.230  -0.032 -0.309  -0.032 -0.389  -0.032 -0.469  -0.032 -0.549  -0.032 -0.628  -0.032 -0.708  -0.032 -0.788  -0.032 -0.867  -0.032 -0.947  -0.032 -1.027  -0.032 -1.106  -0.032 -1.186  -0.032 -1.266  -0.032 -1.346  -0.010 -1.416  0.005 -1.489  0.005 -1.569  0.005 -1.649  0.005 -1.728  0.081 -1.733
2#tos#f3#f3017065/j  0.565 1.698  0.497 1.645  0.429 1.592  0.374 1.524  0.320 1.455  0.277 1.379  0.271 1.292  0.256 1.220  0.235 1.153  0.235 1.066  0.235 0.978  0.235 0.890  0.235 0.802  0.235 0.715  0.235 0.627  0.239 0.540  0.261 0.455  0.271 0.368  0.271 0.280  0.271 0.193  0.271 0.105  0.271 0.017  0.271 -0.071  0.271 -0.159  0.271 -0.246  0.271 -0.334  0.271 -0.422  0.271 -0.510  0.271 -0.597  0.271 -0.685  0.239 -0.760  0.185 -0.827  0.126 -0.874  0.043 -0.902  -0.027 -0.952  -0.101 -0.985  -0.189 -0.985  -0.276 -0.985  -0.364 -0.985  -0.452 -0.985  -0.538 -0.972  -0.621 -0.948  -0.709 -0.948  -0.745 -0.876  -0.805 -0.838  -0.842 -0.779  -0.868 -0.697  -0.905 -0.646  -0.905 -0.558  -0.905 -0.470
2#tos#f3#f3017065/k  -0.184 1.722  -0.270 1.883  -0.385 1.781  -0.385 1.565  -0.385 1.349  -0.385 1.133  -0.385 0.917  -0.385 0.701  -0.385 0.484  -0.385 0.268  -0.419 0.056  -0.465 -0.154  -0.465 -0.370  -0.465 -0.586  -0.465 -0.802  -0.505 -1.012  -0.505 -1.228  -0.505 -1.444  -0.457 -1.612  -0.331 -1.454  -0.222 -1.267  -0.112 -1.081  -0.002 -0.895  0.107 -0.709  0.217 -0.523  0.327 -0.336  0.437 -0.150  0.546 0.036  0.656 0.222  0.766 0.408  0.876 0.595  0.981 0.754  0.890 0.873  0.685 0.820  0.499 0.716  0.366 0.604  0.177 0.500  0.019 0.381  -0.168 0.291  -0.339 0.159  -0.484 0.009  -0.525 -0.166  -0.336 -0.263  -0.165 -0.333  -0.004 -0.452  0.200 -0.519  0.374 -0.643  0.578 -0.688  0.789 -0.728  0.981 -0.809
2#tos#f3#f3017065/l  0.265 1.538  0.194 1.538  0.168 1.493  0.149 1.441  0.078 1.441  0.071 1.378  0.071 1.307  0.071 1.236  0.071 1.165  0.071 1.094  0.071 1.023  0.069 0.953  0.047 0.886  0.025 0.818  0.023 0.748  0.023 0.677  0.023 0.606  0.023 0.535  0.023 0.464  0.015 0.394  -0.002 0.326  -0.019 0.257  -0.026 0.187  -0.026 0.116  -0.026 0.045  -0.026 -0.026  -0.038 -0.095  -0.060 -0.162  -0.074 -0.230  -0.074 -0.301  -0.074 -0.372  -0.074 -0.443  -0.074 -0.514  -0.074 -0.585  -0.074 -0.655  -0.074 -0.726  -0.074 -0.797  -0.074 -0.868  -0.074 -0.939  -0.074 -1.010  -0.074 -1.080  -0.074 -1.151  -0.074 -1.222  -0.074 -1.293  -0.074 -1.364  -0.052 -1.431  -0.030 -1.498  -0.012 -1.567  0.005 -1.636  0.023 -1.704
2#tos#f3#f3017065/m  -0.530 0.888  -0.621 0.751  -0.666 0.577  -0.769 0.416  -0.857 0.248  -0.892 0.058  -0.909 -0.132  -0.937 -0.321  -0.937 -0.514  -0.937 -0.706  -0.937 -0.899  -0.937 -1.092  -0.927 -1.007  -0.913 -0.815  -0.899 -0.623  -0.886 -0.431  -0.872 -0.239  -0.858 -0.047  -0.835 0.143  -0.729 0.255  -0.627 0.346  -0.458 0.424  -0.279 0.481  -0.087 0.481  0.106 0.481  0.238 0.421  0.238 0.228  0.210 0.047  0.136 -0.112  0.057 -0.257  0.012 -0.438  0.035 -0.306  0.062 -0.115  0.090 0.075  0.102 0.267  0.241 0.378  0.395 0.492  0.561 0.571  0.753 0.571  0.946 0.571  1.139 0.571  1.232 0.472  1.232 0.280  1.232 0.087  1.322 -0.068  1.351 -0.254  1.442 -0.419  1.598 -0.472  1.702 -0.621  1.865 -0.694
2#tos#f3#f3017065/o  -0.406 1.202  -0.406 1.053  -0.500 0.944  -0.605 0.839  -0.663 0.704  -0.733 0.581  -0.733 0.432  -0.733 0.284  -0.733 0.135  -0.733 -0.013  -0.733 -0.162  -0.733 -0.310  -0.676 -0.445  -0.640 -0.589  -0.598 -0.732  -0.537 -0.866  -0.453 -0.988  -0.348 -1.093  -0.243 -1.198  -0.094 -1.198  0.054 -1.198  0.203 -1.198  0.349 -1.183  0.490 -1.136  0.630 -1.089  0.677 -0.948  0.794 -0.910  0.794 -0.762  0.846 -0.629  0.903 -0.498  0.903 -0.349  0.903 -0.201  0.903 -0.052  0.903 0.096  0.903 0.245  0.837 0.373  0.735 0.477  0.630 0.570  0.579 0.691  0.454 0.771  0.329 0.848  0.203 0.924  0.069 0.983  -0.080 0.983  -0.224 0.965  -0.309 0.871  -0.453 0.835  -0.515 0.735  -0.585 0.656  -0.624 0.547
2#tos#f3#f3017065/p  -0.244 1.349  -0.326 1.193  -0.391 1.030  -0.391 0.840  -0.391 0.650  -0.391 0.460  -0.352 0.275  -0.317 0.089  -0.317 -0.101  -0.302 -0.290  -0.280 -0.478  -0.280 -0.668  -0.280 -0.858  -0.255 -1.044  -0.244 -1.232  -0.244 -1.422  -0.280 -1.597  -0.280 -1.787  -0.276 -1.723  -0.265 -1.534  -0.255 -1.344  -0.244 -1.154  -0.234 -0.964  -0.224 -0.775  -0.213 -0.585  -0.203 -0.395  -0.192 -0.206  -0.182 -0.016  -0.172 0.174  -0.161 0.364  -0.151 0.553  -0.140 0.743  -0.133 0.933  -0.041 1.083  0.081 1.210  0.262 1.239  0.452 1.239  0.642 1.239  0.763 1.121  0.915 1.018  0.933 0.832  0.933 0.642  0.890 0.461  0.770 0.314  0.674 0.151  0.570 -0.006  0.436 -0.141  0.273 -0.230  0.118 -0.312  -0.060 -0.342
2#tos#f3#f3017065/q  0.342 0.775  0.342 1.014  0.207 1.147  0.023 1.248  -0.216 1.248  -0.450 1.224  -0.637 1.080  -0.848 0.977  -0.963 0.786  -1.078 0.601  -1.078 0.362  -0.982 0.155  -0.809 0.043  -0.584 -0.003  -0.347 0.010  -0.124 0.092  0.027 0.267  0.114 0.479  0.139 0.708  0.139 0.947  0.072 0.797  -0.030 0.600  -0.063 0.369  -0.063 0.130  -0.115 -0.099  -0.163 -0.327  -0.253 -0.545  -0.266 -0.782  -0.266 -1.021  -0.266 -1.261  -0.331 -1.485  -0.334 -1.723  -0.202 -1.762  -0.003 -1.654  0.106 -1.457  0.290 -1.307  0.459 -1.138  0.599 -0.945  0.647 -0.714  0.646 -0.475  0.584 -0.251  0.500 -0.027  0.348 0.129  0.284 0.351  0.248 0.433  0.439 0.335  0.635 0.205  0.873 0.200  1.084 0.132  1.323 0.132
2#tos#f3#f3017065/t  -0.973 0.103  -1.140 0.103  -1.306 0.103  -1.175 0.103  -1.009 0.105  -0.845 0.137  -0.680 0.147  -0.513 0.147  -0.346 0.147  -0.180 0.148  -0.018 0.188  0.148 0.191  0.315 0.191  0.482 0.191  0.648 0.191  0.815 0.191  0.872 0.301  0.872 0.468  0.872 0.635  0.872 0.801  0.872 0.968  0.872 1.135  0.727 1.157  0.561 1.157  0.396 1.137  0.236 1.092  0.126 0.983  -0.030 0.926  -0.113 0.801  -0.164 0.648  -0.270 0.520  -0.342 0.371  -0.386 0.211  -0.402 0.046  -0.402 -0.121  -0.427 -0.285  -0.446 -0.450  -0.446 -0.616  -0.446 -0.783  -0.446 -0.950  -0.411 -1.108  -0.265 -1.176  -0.138 -1.281  0.024 -1.302  0.191 -1.302  0.357 -1.302  0.524 -1.302  0.691 -1.302  0.845 -1.250  1.003 -1.214
2#tos#f3#f3017065/w  -0.793 0.723  -0.858 0.849  -1.003 0.870  -0.976 0.836  -0.961 0.673  -0.961 0.507  -0.930 0.345  -0.919 0.180  -0.919 0.014  -0.919 -0.152  -0.919 -0.318  -0.919 -0.484  -0.905 -0.647  -0.877 -0.807  -0.793 -0.769  -0.708 -0.656  -0.650 -0.500  -0.574 -0.353  -0.485 -0.213  -0.411 -0.064  -0.354 0.091  -0.278 0.232  -0.151 0.331  -0.038 0.368  -0.006 0.212  0.045 0.062  0.045 -0.104  0.094 -0.262  0.147 -0.420  0.171 -0.582  0.173 -0.747  0.291 -0.865  0.381 -0.993  0.544 -0.997  0.583 -0.863  0.717 -0.801  0.759 -0.645  0.772 -0.480  0.800 -0.318  0.841 -0.161  0.901 -0.007  0.941 0.154  0.989 0.312  1.050 0.467  1.052 0.632  1.106 0.776  1.178 0.912  1.198 1.075  1.225 1.236  1.304 1.352
2#tos#f3#f3017065/x  1.217 0.746  1.160 0.886  1.161 0.971  0.974 0.934  0.850 0.787  0.719 0.642  0.580 0.503  0.441 0.364  0.302 0.225  0.178 0.075  0.090 -0.100  -0.033 -0.254  -0.153 -0.409  -0.262 -0.572  -0.369 -0.737  -0.457 -0.913  -0.555 -1.082  -0.654 -1.252  -0.753 -1.421  -0.803 -1.523  -0.770 -1.330  -0.737 -1.136  -0.704 -0.943  -0.671 -0.749  -0.638 -0.555  -0.605 -0.362  -0.572 -0.168  -0.539 0.026  -0.506 0.219  -0.473 0.413  -0.440 0.607  -0.407 0.800  -0.374 0.994  -0.409 1.139  -0.605 1.139  -0.662 1.049  -0.507 0.932  -0.402 0.774  -0.288 0.618  -0.149 0.479  -0.007 0.344  0.169 0.256  0.315 0.128  0.454 -0.011  0.593 -0.150  0.739 -0.279  0.921 -0.352  1.064 -0.476  1.195 -0.614  1.385 -0.661
2#tos#f3#f3017065/y  -0.704 1.337  -0.704 1.204  -0.704 1.070  -0.704 0.937  -0.665 0.818  -0.627 0.692  -0.557 0.579  -0.487 0.465  -0.444 0.348  -0.362 0.244  -0.260 0.164  -0.152 0.098  -0.047 0.018  0.070 0.053  0.171 0.140  0.271 0.228  0.372 0.315  0.473 0.402  0.573 0.489  0.674 0.577  0.775 0.664  0.876 0.751  0.976 0.838  0.939 0.854  0.808 0.840  0.695 0.779  0.653 0.684  0.589 0.578  0.494 0.484  0.473 0.358  0.393 0.251  0.313 0.145  0.259 0.025  0.222 -0.103  0.182 -0.230  0.108 -0.341  0.024 -0.442  -0.079 -0.525  -0.139 -0.644  -0.189 -0.766  -0.226 -0.895  -0.282 -1.014  -0.350 -1.129  -0.416 -1.245  -0.476 -1.363  -0.497 -1.494  -0.543 -1.618  -0.572 -1.744  -0.594 -1.874  -0.605 -2.005
