2#apb#apb17#app1789/k  -0.372 1.368  -0.432 1.149  -0.464 0.924  -0.491 0.697  -0.534 0.472  -0.577 0.248  -0.620 0.023  -0.660 -0.202  -0.694 -0.428  -0.735 -0.652  -0.780 -0.876  -0.847 -1.095  -0.949 -1.298  -1.018 -1.153  -0.927 -0.947  -0.818 -0.747  -0.650 -0.592  -0.483 -0.437  -0.315 -0.282  -0.147 -0.126  0.021 0.029  0.188 0.184  0.356 0.339  0.524 0.494  0.692 0.650  0.860 0.805  1.027 0.960  1.195 1.115  1.363 1.270  1.361 1.101  1.237 0.921  1.076 0.759  0.898 0.616  0.717 0.476  0.536 0.336  0.344 0.213  0.147 0.097  -0.050 -0.019  -0.249 -0.130  -0.452 -0.236  -0.671 -0.240  -0.545 -0.154  -0.317 -0.168  -0.112 -0.268  0.066 -0.402  0.203 -0.585  0.348 -0.761  0.480 -0.946  0.582 -1.151  0.684 -1.355
2#apb#apb17#app1789/y  -0.887 0.990  -0.839 0.905  -0.776 0.820  -0.690 0.756  -0.618 0.673  -0.516 0.637  -0.412 0.604  -0.309 0.599  -0.208 0.639  -0.107 0.681  -0.006 0.723  0.087 0.781  0.173 0.847  0.245 0.929  0.310 1.017  0.371 1.108  0.435 1.163  0.466 1.059  0.490 0.952  0.505 0.844  0.518 0.735  0.528 0.626  0.537 0.517  0.547 0.408  0.556 0.299  0.566 0.190  0.575 0.081  0.577 -0.028  0.572 -0.137  0.567 -0.246  0.551 -0.354  0.518 -0.458  0.485 -0.562  0.440 -0.660  0.377 -0.750  0.313 -0.839  0.240 -0.917  0.145 -0.970  0.049 -1.023  -0.049 -1.072  -0.152 -1.109  -0.255 -1.145  -0.359 -1.178  -0.468 -1.178  -0.578 -1.178  -0.687 -1.178  -0.796 -1.178  -0.905 -1.172  -1.010 -1.141  -1.115 -1.113
2#apb#apb17#app1789/s  0.587 0.774  0.628 0.898  0.640 1.014  0.555 1.113  0.450 1.165  0.319 1.165  0.189 1.162  0.067 1.119  -0.056 1.075  -0.179 1.032  -0.303 0.990  -0.426 0.949  -0.541 0.894  -0.637 0.806  -0.733 0.717  -0.827 0.627  -0.911 0.528  -0.951 0.412  -0.909 0.303  -0.794 0.249  -0.666 0.221  -0.539 0.194  -0.413 0.162  -0.287 0.128  -0.161 0.095  -0.034 0.063  0.092 0.031  0.218 -0.000  0.338 -0.050  0.457 -0.105  0.572 -0.163  0.664 -0.255  0.756 -0.347  0.837 -0.450  0.898 -0.557  0.845 -0.676  0.791 -0.794  0.686 -0.867  0.573 -0.930  0.459 -0.994  0.342 -1.049  0.218 -1.090  0.094 -1.131  -0.029 -1.173  -0.155 -1.203  -0.285 -1.203  -0.415 -1.203  -0.545 -1.203  -0.675 -1.213  -0.805 -1.228
2#apb#apb17#app1789/h  -0.030 1.710  -0.010 1.675  0.024 1.526  0.008 1.370  -0.008 1.215  -0.038 1.061  -0.073 0.909  -0.107 0.756  -0.163 0.610  -0.220 0.465  -0.277 0.319  -0.337 0.175  -0.397 0.030  -0.457 -0.114  -0.522 -0.257  -0.589 -0.398  -0.657 -0.539  -0.724 -0.680  -0.791 -0.822  -0.857 -0.963  -0.915 -1.108  -0.971 -1.172  -0.964 -1.017  -0.901 -0.874  -0.839 -0.731  -0.749 -0.603  -0.657 -0.476  -0.563 -0.351  -0.452 -0.241  -0.342 -0.130  -0.229 -0.022  -0.105 0.073  0.019 0.168  0.148 0.256  0.283 0.335  0.418 0.415  0.568 0.458  0.717 0.485  0.862 0.425  0.988 0.339  1.089 0.220  1.165 0.084  1.153 -0.072  1.130 -0.226  1.087 -0.376  1.024 -0.518  0.944 -0.652  0.865 -0.787  0.778 -0.917  0.675 -1.034
2#apb#apb17#app1789/i  0.162 1.672  0.174 1.602  0.185 1.533  0.197 1.464  0.208 1.394  0.218 1.325  0.225 1.255  0.232 1.185  0.239 1.115  0.246 1.045  0.253 0.975  0.260 0.905  0.267 0.835  0.261 0.765  0.255 0.695  0.248 0.625  0.242 0.555  0.236 0.485  0.229 0.415  0.223 0.345  0.216 0.275  0.197 0.208  0.171 0.142  0.146 0.077  0.121 0.011  0.096 -0.055  0.071 -0.120  0.045 -0.186  0.020 -0.251  -0.005 -0.317  -0.030 -0.383  -0.057 -0.448  -0.086 -0.512  -0.116 -0.575  -0.145 -0.639  -0.175 -0.703  -0.204 -0.767  -0.234 -0.831  -0.263 -0.895  -0.293 -0.958  -0.322 -1.022  -0.352 -1.086  -0.371 -1.153  -0.385 -1.222  -0.399 -1.291  -0.413 -1.360  -0.427 -1.429  -0.440 -1.498  -0.454 -1.567  -0.468 -1.636
2#apb#apb17#app1789/d  0.131 0.187  0.131 0.375  0.090 0.557  -0.088 0.589  -0.237 0.474  -0.386 0.360  -0.533 0.243  -0.679 0.125  -0.825 0.007  -0.952 -0.131  -1.072 -0.275  -1.190 -0.420  -1.262 -0.594  -1.330 -0.768  -1.324 -0.954  -1.206 -1.091  -1.019 -1.105  -0.834 -1.084  -0.649 -1.048  -0.475 -0.985  -0.313 -0.889  -0.169 -0.776  -0.070 -0.617  0.030 -0.458  0.130 -0.298  0.229 -0.139  0.329 0.020  0.429 0.179  0.528 0.338  0.628 0.497  0.728 0.657  0.827 0.816  0.927 0.975  1.027 1.134  1.126 1.293  1.116 1.329  1.003 1.181  0.901 1.023  0.813 0.858  0.725 0.692  0.633 0.529  0.536 0.368  0.439 0.206  0.349 0.042  0.258 -0.123  0.191 -0.296  0.145 -0.478  0.095 -0.659  0.051 -0.841  0.070 -1.027
2#apb#apb17#app1789/d  0.196 0.213  0.236 0.391  0.075 0.473  -0.101 0.497  -0.275 0.439  -0.444 0.373  -0.593 0.265  -0.741 0.158  -0.882 0.043  -1.001 -0.097  -1.120 -0.237  -1.225 -0.385  -1.307 -0.549  -1.352 -0.725  -1.342 -0.895  -1.210 -1.018  -1.044 -1.094  -0.863 -1.075  -0.684 -1.038  -0.513 -0.974  -0.351 -0.891  -0.207 -0.780  -0.102 -0.630  0.003 -0.479  0.108 -0.329  0.213 -0.179  0.318 -0.029  0.423 0.122  0.527 0.272  0.632 0.422  0.737 0.572  0.842 0.723  0.947 0.873  1.052 1.023  1.157 1.173  1.235 1.285  1.130 1.135  1.013 0.994  0.893 0.856  0.785 0.708  0.683 0.556  0.581 0.403  0.486 0.247  0.390 0.091  0.295 -0.066  0.209 -0.228  0.124 -0.390  0.069 -0.564  0.017 -0.740  -0.022 -0.919
2#apb#apb17#app1789/e  -1.417 -0.656  -1.265 -0.644  -1.117 -0.610  -0.968 -0.576  -0.821 -0.534  -0.678 -0.481  -0.536 -0.427  -0.393 -0.374  -0.257 -0.306  -0.127 -0.226  0.003 -0.146  0.133 -0.065  0.260 0.020  0.387 0.104  0.514 0.189  0.638 0.277  0.762 0.366  0.887 0.455  1.009 0.545  1.117 0.653  1.225 0.761  1.322 0.879  1.321 0.985  1.189 1.047  1.036 1.047  0.884 1.047  0.742 0.993  0.602 0.932  0.462 0.871  0.323 0.810  0.198 0.722  0.074 0.633  -0.050 0.544  -0.171 0.452  -0.274 0.339  -0.377 0.226  -0.479 0.113  -0.557 -0.017  -0.629 -0.152  -0.702 -0.286  -0.728 -0.430  -0.713 -0.581  -0.692 -0.733  -0.659 -0.882  -0.601 -1.010  -0.462 -1.072  -0.322 -1.134  -0.176 -1.179  -0.030 -1.224  0.115 -1.268
2#apb#apb17#app1789/n  -0.647 0.475  -0.699 0.371  -0.751 0.267  -0.806 0.164  -0.861 0.061  -0.916 -0.041  -0.964 -0.147  -1.012 -0.253  -1.066 -0.356  -1.123 -0.458  -1.176 -0.561  -1.250 -0.644  -1.258 -0.587  -1.180 -0.500  -1.101 -0.415  -1.021 -0.330  -0.939 -0.248  -0.844 -0.180  -0.750 -0.112  -0.656 -0.044  -0.561 0.024  -0.464 0.088  -0.367 0.151  -0.269 0.215  -0.171 0.278  -0.069 0.332  0.040 0.371  0.150 0.409  0.260 0.447  0.370 0.486  0.480 0.524  0.590 0.563  0.699 0.601  0.810 0.629  0.926 0.617  1.036 0.589  1.129 0.519  1.193 0.433  1.204 0.317  1.204 0.202  1.189 0.086  1.174 -0.029  1.152 -0.143  1.123 -0.256  1.096 -0.369  1.071 -0.483  1.047 -0.596  1.021 -0.710  0.993 -0.823  0.965 -0.936
2#apb#apb17#app1789/b  -0.031 1.703  -0.019 1.858  -0.070 1.729  -0.117 1.569  -0.163 1.408  -0.202 1.246  -0.235 1.082  -0.268 0.918  -0.302 0.754  -0.337 0.590  -0.375 0.428  -0.431 0.270  -0.486 0.112  -0.542 -0.045  -0.601 -0.202  -0.659 -0.358  -0.716 -0.516  -0.776 -0.672  -0.857 -0.818  -0.896 -0.784  -0.845 -0.631  -0.758 -0.489  -0.634 -0.376  -0.509 -0.266  -0.365 -0.181  -0.221 -0.096  -0.077 -0.011  0.073 0.063  0.225 0.132  0.378 0.201  0.538 0.248  0.700 0.288  0.862 0.327  1.029 0.313  1.180 0.259  1.234 0.118  1.173 -0.037  1.107 -0.191  0.987 -0.305  0.861 -0.415  0.734 -0.523  0.592 -0.611  0.449 -0.699  0.307 -0.787  0.170 -0.883  0.035 -0.981  -0.101 -1.079  -0.244 -1.165  -0.388 -1.247  -0.408 -1.248
2#apb#apb17#app1789/y  -0.658 1.048  -0.696 0.934  -0.734 0.815  -0.750 0.691  -0.730 0.567  -0.694 0.448  -0.613 0.362  -0.503 0.301  -0.382 0.270  -0.260 0.261  -0.137 0.288  -0.014 0.313  0.109 0.338  0.229 0.374  0.345 0.421  0.450 0.490  0.526 0.588  0.595 0.693  0.663 0.799  0.731 0.904  0.799 1.010  0.853 1.080  0.805 1.004  0.729 0.905  0.640 0.816  0.570 0.712  0.502 0.606  0.453 0.491  0.409 0.373  0.364 0.256  0.325 0.136  0.287 0.017  0.249 -0.103  0.209 -0.222  0.168 -0.341  0.127 -0.459  0.085 -0.578  0.039 -0.695  -0.007 -0.812  -0.053 -0.929  -0.113 -1.039  -0.174 -1.149  -0.237 -1.256  -0.326 -1.345  -0.415 -1.434  -0.522 -1.498  -0.634 -1.554  -0.748 -1.604  -0.871 -1.633  -0.993 -1.662
2#apb#apb17#app1789/q  0.653 0.886  0.728 1.065  0.745 1.259  0.649 1.411  0.461 1.368  0.287 1.280  0.124 1.168  -0.026 1.042  -0.173 0.911  -0.304 0.764  -0.418 0.606  -0.499 0.428  -0.474 0.245  -0.303 0.190  -0.111 0.230  0.070 0.307  0.227 0.422  0.357 0.569  0.479 0.723  0.592 0.884  0.601 0.911  0.516 0.734  0.417 0.565  0.307 0.402  0.186 0.246  0.069 0.088  -0.040 -0.075  -0.149 -0.239  -0.260 -0.401  -0.372 -0.563  -0.481 -0.727  -0.586 -0.893  -0.688 -1.061  -0.761 -1.244  -0.809 -1.433  -0.789 -1.620  -0.644 -1.740  -0.463 -1.666  -0.315 -1.539  -0.188 -1.391  -0.079 -1.227  0.004 -1.048  0.077 -0.866  0.137 -0.679  0.179 -0.487  0.212 -0.293  0.212 -0.096  0.208 0.100  0.180 0.293  0.255 0.190
2#apb#apb17#app1789/u  -0.909 0.638  -0.890 0.759  -0.890 0.611  -0.936 0.471  -0.992 0.334  -1.053 0.198  -1.119 0.065  -1.186 -0.068  -1.255 -0.199  -1.325 -0.330  -1.358 -0.472  -1.351 -0.617  -1.256 -0.716  -1.114 -0.751  -0.968 -0.724  -0.823 -0.693  -0.692 -0.624  -0.560 -0.555  -0.432 -0.481  -0.310 -0.395  -0.189 -0.310  -0.070 -0.221  0.035 -0.116  0.140 -0.011  0.245 0.094  0.350 0.199  0.456 0.304  0.547 0.421  0.632 0.542  0.719 0.663  0.824 0.768  0.913 0.884  0.931 0.928  0.868 0.794  0.788 0.669  0.703 0.547  0.619 0.425  0.538 0.301  0.494 0.159  0.458 0.015  0.435 -0.131  0.475 -0.267  0.575 -0.373  0.697 -0.450  0.846 -0.450  0.994 -0.447  1.140 -0.418  1.284 -0.385  1.419 -0.322  1.553 -0.259
2#apb#apb17#app1789/i  -0.285 0.197  -0.252 0.103  -0.255 0.001  -0.273 -0.101  -0.305 -0.198  -0.359 -0.286  -0.413 -0.374  -0.463 -0.465  -0.507 -0.559  -0.550 -0.653  -0.599 -0.744  -0.653 -0.832  -0.708 -0.920  -0.768 -1.004  -0.810 -1.097  -0.798 -1.185  -0.733 -1.163  -0.674 -1.078  -0.615 -0.993  -0.555 -0.908  -0.496 -0.823  -0.437 -0.738  -0.378 -0.653  -0.319 -0.568  -0.259 -0.483  -0.200 -0.398  -0.141 -0.313  -0.082 -0.229  -0.023 -0.144  0.037 -0.059  0.096 0.026  0.155 0.111  0.214 0.196  0.273 0.281  0.333 0.366  0.392 0.451  0.451 0.536  0.510 0.621  0.569 0.706  0.629 0.791  0.688 0.876  0.747 0.960  0.806 1.045  0.865 1.130  0.924 1.215  0.984 1.300  1.043 1.385  1.068 1.469  1.039 1.555  1.086 1.648
2#apb#apb17#app1789/e  -1.486 -0.232  -1.343 -0.175  -1.187 -0.175  -1.031 -0.179  -0.876 -0.191  -0.720 -0.202  -0.566 -0.184  -0.411 -0.164  -0.257 -0.142  -0.104 -0.111  0.049 -0.081  0.199 -0.041  0.343 0.019  0.487 0.079  0.615 0.168  0.741 0.260  0.846 0.370  0.921 0.507  0.994 0.645  1.054 0.789  1.114 0.933  1.095 1.078  1.029 1.212  0.881 1.262  0.746 1.187  0.612 1.107  0.479 1.027  0.359 0.928  0.245 0.822  0.130 0.716  0.019 0.607  -0.084 0.489  -0.186 0.371  -0.288 0.253  -0.369 0.122  -0.431 -0.021  -0.494 -0.164  -0.545 -0.310  -0.574 -0.463  -0.603 -0.617  -0.610 -0.769  -0.573 -0.921  -0.496 -1.055  -0.409 -1.185  -0.270 -1.238  -0.118 -1.274  0.035 -1.291  0.190 -1.274  0.345 -1.256  0.500 -1.239
2#apb#apb17#app1789/t  0.947 1.557  0.859 1.467  0.803 1.328  0.719 1.206  0.627 1.089  0.535 0.972  0.462 0.842  0.398 0.707  0.334 0.572  0.270 0.438  0.193 0.310  0.116 0.182  0.040 0.054  -0.037 -0.074  -0.110 -0.204  -0.184 -0.334  -0.257 -0.464  -0.318 -0.600  -0.377 -0.737  -0.431 -0.876  -0.460 -1.022  -0.490 -1.169  -0.531 -1.312  -0.583 -1.451  -0.619 -1.457  -0.643 -1.310  -0.666 -1.163  -0.690 -1.015  -0.714 -0.868  -0.737 -0.721  -0.761 -0.573  -0.785 -0.426  -0.809 -0.278  -0.832 -0.131  -0.756 -0.039  -0.618 0.017  -0.476 0.064  -0.334 0.111  -0.194 0.163  -0.056 0.218  0.083 0.274  0.221 0.329  0.361 0.381  0.501 0.432  0.642 0.483  0.782 0.534  0.926 0.572  1.071 0.607  1.216 0.642  1.361 0.676
2#apb#apb17#app1789/z  -1.002 0.460  -0.948 0.560  -0.804 0.587  -0.663 0.630  -0.523 0.674  -0.383 0.720  -0.244 0.767  -0.103 0.809  0.038 0.850  0.181 0.884  0.326 0.907  0.469 0.939  0.603 1.000  0.740 1.050  0.883 1.082  1.007 1.155  1.033 1.052  0.940 0.938  0.861 0.814  0.781 0.691  0.677 0.587  0.573 0.483  0.469 0.379  0.362 0.278  0.255 0.177  0.148 0.076  0.043 -0.027  -0.055 -0.137  -0.153 -0.246  -0.251 -0.356  -0.349 -0.465  -0.446 -0.576  -0.544 -0.686  -0.641 -0.796  -0.739 -0.906  -0.837 -1.015  -0.938 -1.122  -0.891 -1.228  -0.749 -1.191  -0.613 -1.136  -0.476 -1.082  -0.339 -1.028  -0.202 -0.975  -0.065 -0.922  0.075 -0.877  0.216 -0.836  0.357 -0.794  0.499 -0.755  0.641 -0.715  0.782 -0.676
2#apb#apb17#app1789/e  -1.505 -0.306  -1.356 -0.281  -1.210 -0.242  -1.066 -0.199  -0.917 -0.183  -0.766 -0.183  -0.616 -0.178  -0.468 -0.150  -0.319 -0.122  -0.171 -0.094  -0.030 -0.042  0.110 0.014  0.250 0.070  0.392 0.121  0.535 0.169  0.678 0.217  0.791 0.317  0.903 0.418  1.011 0.523  1.110 0.637  1.181 0.765  1.208 0.913  1.222 1.057  1.105 1.135  0.956 1.116  0.820 1.059  0.695 0.976  0.569 0.892  0.444 0.808  0.325 0.715  0.207 0.621  0.089 0.526  -0.028 0.432  -0.122 0.314  -0.215 0.195  -0.308 0.076  -0.391 -0.049  -0.455 -0.185  -0.519 -0.322  -0.583 -0.458  -0.629 -0.601  -0.658 -0.749  -0.646 -0.892  -0.585 -1.030  -0.500 -1.151  -0.386 -1.250  -0.262 -1.326  -0.113 -1.345  0.037 -1.364  0.187 -1.382
2#apb#apb17#app1789/a  1.021 0.817  0.905 0.933  0.770 1.023  0.628 1.105  0.478 1.135  0.320 1.095  0.163 1.048  0.012 0.986  -0.138 0.920  -0.288 0.854  -0.425 0.766  -0.560 0.674  -0.695 0.581  -0.830 0.489  -0.939 0.368  -1.047 0.245  -1.154 0.121  -1.246 -0.011  -1.307 -0.163  -1.327 -0.321  -1.311 -0.483  -1.202 -0.594  -1.067 -0.682  -0.904 -0.693  -0.741 -0.705  -0.581 -0.679  -0.422 -0.639  -0.264 -0.599  -0.117 -0.528  0.029 -0.455  0.172 -0.376  0.307 -0.283  0.441 -0.190  0.548 -0.070  0.636 0.068  0.725 0.205  0.791 0.354  0.829 0.324  0.756 0.180  0.656 0.051  0.577 -0.090  0.522 -0.244  0.470 -0.399  0.423 -0.555  0.428 -0.716  0.504 -0.849  0.627 -0.956  0.779 -1.000  0.942 -1.020  1.104 -1.041
2#apb#apb17#app1789/l  0.819 1.486  0.779 1.430  0.739 1.373  0.698 1.316  0.658 1.260  0.617 1.203  0.580 1.145  0.546 1.084  0.512 1.024  0.478 0.963  0.444 0.902  0.410 0.842  0.377 0.781  0.344 0.719  0.312 0.657  0.280 0.596  0.248 0.534  0.216 0.472  0.184 0.411  0.151 0.349  0.119 0.288  0.085 0.227  0.050 0.167  0.016 0.106  -0.018 0.046  -0.052 -0.015  -0.087 -0.076  -0.121 -0.136  -0.155 -0.197  -0.187 -0.258  -0.218 -0.321  -0.249 -0.383  -0.280 -0.445  -0.311 -0.507  -0.342 -0.569  -0.373 -0.632  -0.397 -0.697  -0.417 -0.763  -0.437 -0.830  -0.457 -0.896  -0.477 -0.963  -0.497 -1.030  -0.517 -1.096  -0.533 -1.164  -0.549 -1.232  -0.565 -1.299  -0.580 -1.367  -0.597 -1.435  -0.613 -1.502  -0.630 -1.570
