1b#ced#racy0978_s_0l/M  -0.484 0.159  -0.537 0.367  -0.583 0.574  -0.692 0.518  -0.732 0.310  -0.732 0.096  -0.732 -0.119  -0.732 -0.333  -0.732 -0.547  -0.750 -0.760  -0.757 -0.973  -0.823 -1.143  -0.874 -0.964  -0.881 -0.751  -0.881 -0.537  -0.868 -0.323  -0.856 -0.110  -0.820 0.101  -0.785 0.313  -0.750 0.524  -0.711 0.735  -0.638 0.934  -0.484 0.928  -0.389 0.738  -0.307 0.540  -0.247 0.335  -0.190 0.130  -0.110 -0.069  -0.043 -0.272  0.027 -0.471  0.150 -0.612  0.270 -0.443  0.360 -0.249  0.439 -0.050  0.519 0.149  0.589 0.352  0.656 0.555  0.740 0.752  0.841 0.939  0.990 0.920  1.051 0.715  1.091 0.505  1.126 0.293  1.160 0.082  1.203 -0.128  1.267 -0.332  1.304 -0.542  1.375 -0.744  1.439 -0.949  1.525 -1.143
1b#ced#racy0978_s_0l/V  -0.546 -1.026  -0.590 -0.893  -0.635 -0.759  -0.679 -0.626  -0.709 -0.490  -0.730 -0.352  -0.750 -0.215  -0.750 -0.074  -0.758 0.065  -0.791 0.201  -0.791 0.342  -0.809 0.480  -0.832 0.617  -0.804 0.753  -0.772 0.695  -0.740 0.558  -0.696 0.424  -0.668 0.288  -0.653 0.149  -0.616 0.014  -0.553 -0.112  -0.490 -0.238  -0.427 -0.364  -0.360 -0.487  -0.282 -0.605  -0.204 -0.722  -0.120 -0.832  0.001 -0.905  0.129 -0.957  0.267 -0.985  0.394 -0.925  0.494 -0.830  0.582 -0.720  0.650 -0.597  0.698 -0.466  0.730 -0.329  0.758 -0.191  0.785 -0.053  0.811 0.085  0.832 0.225  0.856 0.363  0.884 0.501  0.911 0.639  0.939 0.777  0.966 0.915  0.994 1.053  1.007 1.193  1.007 1.333  1.014 1.473  1.048 1.610
1b#ced#racy0978_s_0l/E  -0.415 -0.102  -0.406 0.104  -0.376 0.307  -0.376 0.514  -0.376 0.720  -0.337 0.920  -0.337 1.127  -0.337 1.333  -0.421 1.287  -0.462 1.093  -0.493 0.890  -0.493 0.684  -0.465 0.480  -0.429 0.277  -0.399 0.073  -0.376 -0.132  -0.369 -0.338  -0.333 -0.541  -0.268 -0.737  -0.193 -0.929  -0.126 -1.125  -0.043 -1.313  0.106 -1.448  0.245 -1.595  0.437 -1.662  0.639 -1.642  0.819 -1.541  0.844 -1.366  0.803 -1.164  0.763 -0.961  0.723 -0.759  0.682 -0.556  0.642 -0.354  0.477 -0.240  0.284 -0.166  0.103 -0.071  -0.096 -0.024  -0.296 0.014  -0.124 0.122  0.063 0.210  0.253 0.290  0.422 0.404  0.537 0.573  0.451 0.728  0.287 0.853  0.099 0.935  -0.077 1.044  -0.261 1.135  -0.425 1.253  -0.571 1.399
1b#ced#racy0978_s_0l/R  -0.934 0.013  -0.875 0.226  -0.796 0.432  -0.776 0.650  -0.726 0.865  -0.692 0.994  -0.639 0.780  -0.592 0.564  -0.562 0.347  -0.475 0.146  -0.441 -0.072  -0.429 -0.292  -0.393 -0.510  -0.365 -0.728  -0.365 -0.949  -0.331 -1.166  -0.298 -1.382  -0.395 -1.546  -0.517 -1.406  -0.553 -1.188  -0.592 -0.972  -0.575 -0.753  -0.535 -0.536  -0.480 -0.323  -0.407 -0.114  -0.326 0.091  -0.227 0.288  -0.121 0.482  0.013 0.656  0.157 0.822  0.311 0.979  0.478 1.125  0.669 1.233  0.869 1.303  1.001 1.161  0.926 0.962  0.842 0.758  0.729 0.569  0.639 0.368  0.504 0.199  0.358 0.034  0.212 -0.131  0.094 -0.310  0.306 -0.369  0.522 -0.413  0.740 -0.438  0.950 -0.505  1.158 -0.578  1.368 -0.641  1.570 -0.727
1b#ced#racy0978_s_0l/Q  -0.045 0.811  -0.106 0.981  -0.221 1.117  -0.389 1.165  -0.558 1.104  -0.704 0.996  -0.818 0.856  -0.900 0.693  -0.967 0.525  -1.003 0.347  -1.010 0.166  -1.010 -0.016  -0.997 -0.197  -0.949 -0.372  -0.867 -0.533  -0.729 -0.644  -0.562 -0.712  -0.381 -0.720  -0.200 -0.720  -0.043 -0.632  0.102 -0.525  0.221 -0.388  0.327 -0.241  0.401 -0.075  0.452 0.099  0.496 0.275  0.530 0.454  0.518 0.633  0.457 0.804  0.400 0.976  0.295 1.122  0.143 1.110  0.051 0.957  0.054 0.776  0.094 0.599  0.147 0.426  0.223 0.261  0.296 0.095  0.359 -0.076  0.438 -0.239  0.531 -0.395  0.625 -0.551  0.718 -0.707  0.783 -0.876  0.818 -1.052  0.774 -1.228  0.721 -1.401  0.606 -1.540  0.490 -1.678  0.389 -1.830
1b#ced#racy0978_s_0l/U  -1.118 -0.230  -1.051 -0.095  -1.012 0.050  -0.975 0.196  -0.971 0.346  -0.934 0.490  -0.934 0.641  -0.934 0.791  -0.934 0.942  -0.934 1.063  -0.917 0.915  -0.897 0.768  -0.855 0.625  -0.788 0.490  -0.758 0.343  -0.712 0.200  -0.667 0.056  -0.636 -0.091  -0.580 -0.231  -0.524 -0.370  -0.464 -0.508  -0.400 -0.644  -0.344 -0.783  -0.237 -0.890  -0.131 -0.996  -0.001 -1.061  0.130 -1.024  0.224 -0.915  0.293 -0.783  0.376 -0.658  0.421 -0.515  0.474 -0.375  0.516 -0.231  0.548 -0.084  0.583 0.063  0.612 0.210  0.673 0.348  0.715 0.492  0.766 0.633  0.862 0.731  0.945 0.651  0.994 0.509  1.041 0.367  1.098 0.229  1.125 0.081  1.161 -0.066  1.214 -0.206  1.270 -0.346  1.319 -0.487  1.349 -0.635
1b#ced#racy0978_s_0l/A  -0.455 0.253  -0.455 0.501  -0.451 0.748  -0.416 0.991  -0.387 1.234  -0.340 1.474  -0.318 1.404  -0.318 1.156  -0.283 0.913  -0.283 0.665  -0.249 0.420  -0.249 0.173  -0.249 -0.075  -0.249 -0.323  -0.249 -0.571  -0.249 -0.819  -0.249 -1.067  -0.249 -1.314  -0.249 -1.339  -0.283 -1.096  -0.283 -0.848  -0.283 -0.600  -0.283 -0.352  -0.269 -0.105  -0.249 0.141  -0.249 0.389  -0.249 0.637  -0.247 0.884  -0.194 1.127  -0.097 1.351  0.103 1.378  0.262 1.189  0.381 0.972  0.489 0.750  0.609 0.533  0.747 0.328  0.851 0.104  0.943 -0.126  1.044 -0.353  1.033 -0.574  0.922 -0.796  0.811 -1.018  0.700 -1.239  0.522 -1.323  0.282 -1.261  0.059 -1.154  -0.156 -1.032  -0.377 -0.924  -0.412 -0.745  -0.180 -0.659
1b#ced#racy0978_s_0l/R  -0.171 -0.383  -0.182 -0.143  -0.251 0.087  -0.251 0.328  -0.322 0.557  -0.405 0.783  -0.556 0.964  -0.733 0.879  -0.733 0.638  -0.733 0.397  -0.733 0.156  -0.711 -0.083  -0.669 -0.321  -0.619 -0.556  -0.570 -0.792  -0.532 -1.030  -0.492 -1.264  -0.492 -1.505  -0.532 -1.271  -0.504 -1.033  -0.460 -0.797  -0.415 -0.560  -0.380 -0.321  -0.318 -0.089  -0.250 0.142  -0.160 0.364  -0.057 0.580  0.037 0.800  0.170 1.001  0.340 1.170  0.519 1.330  0.707 1.480  0.934 1.503  1.058 1.306  1.024 1.075  0.962 0.843  0.872 0.619  0.752 0.412  0.607 0.220  0.512 -0.001  0.352 -0.181  0.181 -0.352  0.011 -0.522  -0.167 -0.674  -0.006 -0.784  0.228 -0.824  0.460 -0.879  0.675 -0.986  0.891 -1.094  1.114 -1.186
1b#ced#racy0978_s_0l/T  0.304 0.032  0.332 0.198  0.341 0.365  0.308 0.530  0.293 0.696  0.267 0.860  0.259 1.027  0.230 1.192  0.270 1.155  0.319 0.995  0.354 0.831  0.392 0.667  0.415 0.501  0.427 0.334  0.452 0.168  0.452 -0.001  0.482 -0.166  0.489 -0.334  0.507 -0.500  0.526 -0.667  0.526 -0.835  0.526 -1.003  0.526 -1.172  0.508 -1.337  0.489 -1.502  0.478 -1.640  0.366 -1.515  0.254 -1.389  0.143 -1.263  0.031 -1.137  -0.081 -1.012  -0.178 -0.875  -0.264 -0.730  -0.361 -0.593  -0.446 -0.449  -0.529 -0.302  -0.618 -0.159  -0.715 -0.023  -0.834 0.096  -0.882 0.255  -0.971 0.398  -1.029 0.552  -0.994 0.709  -0.908 0.850  -0.825 0.969  -0.659 1.001  -0.493 1.029  -0.328 1.056  -0.160 1.069  0.008 1.069
1b#ced#racy0978_s_0l/Z  -0.578 0.589  -0.683 0.601  -0.774 0.661  -0.867 0.719  -0.965 0.764  -1.046 0.792  -1.001 0.874  -0.902 0.919  -0.799 0.954  -0.692 0.969  -0.585 0.982  -0.478 0.998  -0.369 0.998  -0.260 0.998  -0.151 0.994  -0.046 0.968  0.061 0.944  0.167 0.918  0.252 0.856  0.329 0.778  0.399 0.695  0.441 0.597  0.463 0.490  0.489 0.384  0.489 0.275  0.489 0.166  0.466 0.062  0.429 -0.040  0.412 -0.148  0.386 -0.253  0.346 -0.354  0.305 -0.456  0.261 -0.555  0.210 -0.651  0.154 -0.745  0.103 -0.841  0.054 -0.939  -0.001 -1.032  -0.073 -1.114  -0.139 -1.195  -0.103 -1.268  0.004 -1.252  0.111 -1.238  0.219 -1.226  0.322 -1.191  0.421 -1.147  0.528 -1.125  0.630 -1.089  0.733 -1.055  0.840 -1.034
1b#ced#racy0978_s_0l/V  -1.009 0.340  -1.009 0.449  -1.009 0.557  -1.009 0.666  -1.040 0.770  -1.074 0.873  -1.066 0.961  -0.989 0.885  -0.959 0.783  -0.927 0.680  -0.877 0.585  -0.851 0.479  -0.804 0.381  -0.749 0.288  -0.695 0.194  -0.647 0.097  -0.607 -0.004  -0.567 -0.105  -0.526 -0.206  -0.462 -0.293  -0.397 -0.380  -0.332 -0.467  -0.267 -0.554  -0.198 -0.638  -0.127 -0.719  -0.031 -0.770  0.054 -0.836  0.140 -0.895  0.246 -0.919  0.353 -0.926  0.456 -0.941  0.553 -0.895  0.638 -0.827  0.712 -0.750  0.767 -0.657  0.815 -0.559  0.841 -0.454  0.864 -0.348  0.885 -0.241  0.906 -0.135  0.928 -0.028  0.949 0.078  0.970 0.185  0.991 0.291  1.008 0.398  1.008 0.507  1.025 0.613  1.040 0.720  1.040 0.829  1.040 0.937
1b#ced#racy0978_s_0l/E  -0.716 0.148  -0.679 0.332  -0.632 0.512  -0.632 0.699  -0.664 0.882  -0.728 1.039  -0.841 0.913  -0.841 0.725  -0.841 0.538  -0.841 0.351  -0.835 0.164  -0.781 -0.014  -0.706 -0.185  -0.649 -0.363  -0.565 -0.530  -0.473 -0.692  -0.357 -0.839  -0.219 -0.964  -0.058 -1.060  0.116 -1.127  0.301 -1.149  0.488 -1.149  0.673 -1.122  0.858 -1.107  1.043 -1.085  1.225 -1.040  1.215 -0.933  1.094 -0.790  0.972 -0.648  0.851 -0.505  0.730 -0.362  0.609 -0.219  0.436 -0.187  0.251 -0.199  0.069 -0.229  -0.114 -0.266  -0.099 -0.113  0.028 0.025  0.140 0.175  0.252 0.325  0.363 0.476  0.475 0.626  0.514 0.788  0.402 0.933  0.256 1.050  0.082 1.089  -0.086 1.172  -0.267 1.215  -0.435 1.278  -0.381 1.424
1b#ced#racy0978_s_0l/X  -0.730 0.459  -0.846 0.574  -0.961 0.690  -1.077 0.805  -1.192 0.921  -1.315 1.026  -1.443 1.064  -1.307 0.974  -1.204 0.849  -1.100 0.724  -0.964 0.633  -0.870 0.501  -0.762 0.379  -0.649 0.261  -0.542 0.137  -0.441 0.009  -0.343 -0.122  -0.220 -0.229  -0.096 -0.336  0.028 -0.442  0.145 -0.556  0.261 -0.672  0.376 -0.787  0.512 -0.858  0.675 -0.869  0.838 -0.880  1.002 -0.890  1.165 -0.901  1.262 -0.864  1.201 -0.712  1.144 -0.559  1.097 -0.403  1.058 -0.244  0.968 -0.107  0.907 0.043  0.859 0.199  0.803 0.352  0.730 0.498  0.601 0.595  0.468 0.562  0.337 0.464  0.245 0.330  0.161 0.189  0.090 0.043  0.033 -0.110  -0.041 -0.256  -0.122 -0.398  -0.206 -0.538  -0.251 -0.693  -0.283 -0.853
1b#ced#racy0978_s_0l/E  -0.714 0.508  -0.631 0.676  -0.571 0.856  -0.517 1.028  -0.652 0.903  -0.718 0.725  -0.749 0.537  -0.754 0.346  -0.754 0.156  -0.738 -0.034  -0.698 -0.220  -0.673 -0.408  -0.644 -0.593  -0.569 -0.768  -0.476 -0.935  -0.354 -1.080  -0.219 -1.214  -0.056 -1.310  0.107 -1.404  0.298 -1.404  0.489 -1.404  0.674 -1.364  0.812 -1.316  0.794 -1.126  0.777 -0.936  0.759 -0.746  0.741 -0.556  0.723 -0.366  0.705 -0.176  0.606 -0.076  0.416 -0.076  0.225 -0.076  0.034 -0.076  -0.153 -0.107  -0.054 -0.048  0.104 0.059  0.229 0.202  0.354 0.346  0.480 0.490  0.605 0.634  0.730 0.778  0.662 0.869  0.477 0.915  0.292 0.962  0.107 1.008  -0.078 1.054  -0.267 1.072  -0.447 1.126  -0.445 1.253  -0.271 1.314
1b#ced#racy0978_s_0l/D  -0.232 0.438  -0.195 0.619  -0.160 0.800  -0.150 0.984  -0.101 1.163  -0.200 1.160  -0.259 0.984  -0.305 0.806  -0.305 0.620  -0.305 0.434  -0.310 0.249  -0.342 0.067  -0.342 -0.119  -0.361 -0.301  -0.379 -0.484  -0.354 -0.662  -0.429 -0.695  -0.490 -0.529  -0.490 -0.344  -0.490 -0.158  -0.490 0.027  -0.490 0.213  -0.462 0.395  -0.425 0.577  -0.382 0.758  -0.293 0.919  -0.191 1.068  -0.039 1.166  0.142 1.162  0.291 1.059  0.422 0.928  0.553 0.796  0.660 0.647  0.714 0.471  0.748 0.289  0.764 0.105  0.764 -0.081  0.764 -0.266  0.764 -0.452  0.731 -0.634  0.694 -0.816  0.629 -0.990  0.525 -1.142  0.414 -1.291  0.302 -1.439  0.145 -1.532  -0.004 -1.642  -0.176 -1.713  -0.348 -1.782  -0.527 -1.831
1b#ced#racy0978_s_0l/J  -0.491 0.232  -0.624 0.276  -0.755 0.327  -0.888 0.373  -1.022 0.415  -1.151 0.470  -1.086 0.538  -0.951 0.578  -0.812 0.590  -0.673 0.609  -0.535 0.633  -0.395 0.645  -0.255 0.651  -0.115 0.671  0.023 0.698  0.163 0.700  0.304 0.700  0.444 0.703  0.584 0.721  0.723 0.742  0.861 0.741  0.829 0.728  0.692 0.755  0.556 0.721  0.417 0.700  0.281 0.728  0.140 0.728  0.080 0.670  0.124 0.537  0.169 0.403  0.219 0.272  0.274 0.143  0.304 0.005  0.337 -0.131  0.362 -0.270  0.390 -0.408  0.417 -0.546  0.445 -0.684  0.446 -0.824  0.420 -0.962  0.412 -1.102  0.367 -1.235  0.297 -1.356  0.202 -1.459  0.085 -1.538  -0.045 -1.573  -0.185 -1.573  -0.325 -1.580  -0.462 -1.587  -0.601 -1.573
1b#ced#racy0978_s_0l/O  -1.117 -0.435  -1.049 -0.298  -0.969 -0.167  -0.894 -0.034  -0.825 0.102  -0.757 0.239  -0.689 0.376  -0.637 0.520  -0.597 0.667  -0.548 0.812  -0.505 0.959  -0.467 1.107  -0.435 1.228  -0.511 1.095  -0.563 0.952  -0.566 0.799  -0.566 0.646  -0.566 0.493  -0.538 0.343  -0.505 0.193  -0.469 0.045  -0.439 -0.105  -0.405 -0.254  -0.360 -0.400  -0.303 -0.542  -0.224 -0.673  -0.173 -0.815  -0.102 -0.945  0.011 -1.047  0.142 -1.126  0.281 -1.186  0.429 -1.205  0.574 -1.156  0.712 -1.094  0.834 -1.002  0.926 -0.882  0.984 -0.741  1.024 -0.593  1.040 -0.442  1.040 -0.289  1.040 -0.136  1.009 0.013  0.952 0.154  0.892 0.294  0.854 0.442  0.786 0.579  0.717 0.716  0.628 0.835  0.506 0.926  0.398 1.034
1b#ced#racy0978_s_0l/C  0.307 -0.209  0.307 -0.094  0.350 0.007  0.418 0.100  0.486 0.194  0.536 0.296  0.576 0.404  0.635 0.503  0.694 0.601  0.725 0.708  0.725 0.824  0.725 0.939  0.705 1.048  0.641 1.144  0.544 1.160  0.431 1.137  0.317 1.123  0.202 1.122  0.103 1.063  0.004 1.004  -0.088 0.936  -0.170 0.855  -0.251 0.773  -0.331 0.690  -0.400 0.598  -0.469 0.506  -0.523 0.404  -0.574 0.301  -0.615 0.193  -0.654 0.085  -0.691 -0.024  -0.719 -0.136  -0.730 -0.248  -0.707 -0.361  -0.684 -0.474  -0.657 -0.586  -0.622 -0.695  -0.553 -0.787  -0.483 -0.879  -0.414 -0.971  -0.345 -1.063  -0.263 -1.143  -0.173 -1.215  -0.083 -1.287  0.021 -1.333  0.131 -1.369  0.240 -1.406  0.349 -1.442  0.459 -1.479  0.568 -1.515
1b#ced#racy0978_s_0l/K  -0.261 0.185  -0.312 0.415  -0.351 0.646  -0.401 0.872  -0.441 1.100  -0.514 1.324  -0.598 1.543  -0.663 1.769  -0.665 1.551  -0.651 1.318  -0.620 1.086  -0.580 0.855  -0.575 0.620  -0.538 0.388  -0.502 0.155  -0.464 -0.077  -0.426 -0.309  -0.387 -0.541  -0.351 -0.774  -0.351 -1.009  -0.308 -1.241  -0.249 -1.468  -0.130 -1.464  0.022 -1.284  0.174 -1.104  0.311 -0.915  0.389 -0.695  0.464 -0.474  0.557 -0.259  0.617 -0.033  0.719 0.180  0.819 0.393  0.924 0.603  1.006 0.823  0.950 0.835  0.783 0.668  0.617 0.502  0.452 0.334  0.321 0.138  0.148 -0.021  -0.020 -0.181  -0.155 -0.374  -0.337 -0.519  -0.461 -0.674  -0.232 -0.728  0.001 -0.758  0.236 -0.758  0.454 -0.816  0.675 -0.891  0.906 -0.937
1b#ced#racy0978_s_0l/E  -0.765 0.454  -0.692 0.633  -0.692 0.829  -0.655 1.019  -0.655 1.215  -0.825 1.152  -0.924 0.986  -0.947 0.793  -0.947 0.597  -0.901 0.406  -0.853 0.217  -0.792 0.032  -0.760 -0.161  -0.685 -0.342  -0.584 -0.511  -0.483 -0.679  -0.367 -0.837  -0.229 -0.976  -0.074 -1.095  0.102 -1.182  0.285 -1.249  0.477 -1.290  0.670 -1.317  0.862 -1.284  1.018 -1.216  0.974 -1.025  0.930 -0.834  0.886 -0.643  0.841 -0.451  0.774 -0.279  0.595 -0.200  0.406 -0.149  0.210 -0.149  0.014 -0.149  -0.178 -0.113  -0.212 -0.149  -0.024 -0.112  0.156 -0.033  0.336 0.045  0.515 0.124  0.695 0.203  0.805 0.344  0.677 0.486  0.532 0.617  0.394 0.756  0.247 0.886  0.082 0.987  -0.086 1.085  -0.154 1.226  0.002 1.330
1b#ced#racy0978_s_0l/Y  -1.520 -0.406  -1.495 -0.282  -1.473 -0.158  -1.473 -0.032  -1.442 0.090  -1.427 0.215  -1.427 0.341  -1.427 0.467  -1.330 0.412  -1.227 0.339  -1.126 0.263  -1.034 0.177  -0.945 0.088  -0.856 -0.001  -0.766 -0.090  -0.656 -0.127  -0.531 -0.134  -0.418 -0.190  -0.302 -0.239  -0.180 -0.267  -0.054 -0.267  0.072 -0.267  0.198 -0.267  0.325 -0.267  0.451 -0.267  0.568 -0.238  0.674 -0.170  0.792 -0.123  0.904 -0.070  0.968 0.038  1.033 0.147  1.109 0.248  1.181 0.351  1.228 0.468  1.255 0.579  1.150 0.649  1.048 0.602  0.947 0.526  0.843 0.456  0.768 0.359  0.712 0.246  0.655 0.133  0.610 0.017  0.585 -0.107  0.563 -0.231  0.546 -0.356  0.528 -0.481  0.497 -0.604  0.465 -0.726  0.432 -0.848
1b#ced#racy0978_s_0l/S  0.227 0.805  0.329 0.876  0.404 0.972  0.437 1.086  0.387 1.185  0.265 1.209  0.141 1.210  0.021 1.183  -0.099 1.169  -0.206 1.107  -0.317 1.055  -0.425 0.993  -0.526 0.924  -0.614 0.837  -0.716 0.766  -0.803 0.678  -0.878 0.579  -0.948 0.476  -0.920 0.363  -0.821 0.289  -0.707 0.243  -0.602 0.177  -0.483 0.141  -0.364 0.106  -0.249 0.060  -0.143 -0.004  -0.026 -0.044  0.090 -0.085  0.206 -0.131  0.321 -0.177  0.420 -0.252  0.528 -0.312  0.635 -0.376  0.727 -0.459  0.802 -0.557  0.854 -0.669  0.882 -0.788  0.834 -0.896  0.751 -0.987  0.654 -1.064  0.541 -1.112  0.420 -1.142  0.300 -1.172  0.179 -1.202  0.056 -1.206  -0.069 -1.206  -0.193 -1.206  -0.314 -1.180  -0.434 -1.150  -0.552 -1.112
1b#ced#racy0978_s_0l/T  0.210 0.054  0.210 0.201  0.210 0.348  0.228 0.493  0.247 0.638  0.263 0.782  0.309 0.921  0.400 0.874  0.451 0.742  0.487 0.600  0.527 0.459  0.557 0.315  0.585 0.171  0.612 0.027  0.647 -0.116  0.651 -0.262  0.666 -0.408  0.692 -0.552  0.724 -0.695  0.724 -0.842  0.745 -0.986  0.761 -1.131  0.772 -1.277  0.766 -1.350  0.658 -1.251  0.549 -1.153  0.440 -1.054  0.331 -0.956  0.222 -0.857  0.114 -0.758  0.005 -0.660  -0.104 -0.561  -0.213 -0.463  -0.322 -0.364  -0.422 -0.258  -0.514 -0.143  -0.602 -0.026  -0.690 0.092  -0.776 0.211  -0.858 0.333  -0.962 0.436  -1.051 0.553  -1.134 0.674  -1.221 0.793  -1.285 0.922  -1.201 1.017  -1.067 1.075  -0.926 1.116  -0.781 1.137  -0.635 1.137
1b#ced#racy0978_s_0l/O  0.365 0.837  0.365 0.981  0.365 1.126  0.365 1.270  0.323 1.361  0.185 1.319  0.060 1.249  -0.030 1.137  -0.126 1.029  -0.220 0.920  -0.300 0.799  -0.387 0.684  -0.449 0.555  -0.507 0.422  -0.569 0.292  -0.623 0.158  -0.670 0.021  -0.712 -0.117  -0.740 -0.259  -0.792 -0.394  -0.816 -0.533  -0.816 -0.678  -0.762 -0.812  -0.713 -0.948  -0.621 -1.056  -0.519 -1.158  -0.399 -1.236  -0.269 -1.300  -0.126 -1.304  0.019 -1.304  0.160 -1.272  0.283 -1.198  0.399 -1.112  0.495 -1.007  0.580 -0.889  0.653 -0.765  0.706 -0.632  0.734 -0.490  0.734 -0.345  0.713 -0.203  0.684 -0.061  0.653 0.080  0.599 0.214  0.530 0.340  0.454 0.463  0.366 0.577  0.264 0.679  0.145 0.762  0.051 0.871  -0.078 0.929
1b#ced#racy0978_s_0l/V  -0.494 -0.120  -0.530 -0.011  -0.558 0.100  -0.611 0.200  -0.663 0.302  -0.705 0.408  -0.742 0.517  -0.788 0.622  -0.831 0.728  -0.867 0.837  -0.915 0.939  -0.984 1.031  -0.980 0.960  -0.956 0.848  -0.929 0.737  -0.884 0.631  -0.831 0.530  -0.769 0.434  -0.710 0.336  -0.657 0.234  -0.615 0.128  -0.560 0.027  -0.501 -0.071  -0.434 -0.164  -0.365 -0.256  -0.296 -0.347  -0.219 -0.431  -0.138 -0.512  -0.056 -0.593  0.027 -0.671  0.123 -0.735  0.218 -0.798  0.326 -0.837  0.437 -0.865  0.550 -0.876  0.661 -0.851  0.750 -0.783  0.831 -0.702  0.912 -0.621  0.978 -0.527  1.045 -0.434  1.104 -0.336  1.146 -0.230  1.206 -0.133  1.273 -0.040  1.315 0.066  1.358 0.173  1.400 0.279  1.443 0.386  1.485 0.492
1b#ced#racy0978_s_0l/E  0.087 1.155  -0.070 1.260  -0.245 1.305  -0.418 1.240  -0.601 1.198  -0.699 1.047  -0.816 0.899  -0.884 0.727  -0.934 0.545  -0.964 0.360  -0.964 0.171  -0.937 -0.015  -0.900 -0.200  -0.829 -0.373  -0.756 -0.547  -0.638 -0.691  -0.494 -0.811  -0.336 -0.914  -0.175 -1.011  -0.006 -1.090  0.180 -1.125  0.366 -1.156  0.552 -1.187  0.740 -1.191  0.929 -1.191  1.114 -1.158  1.098 -0.993  1.052 -0.810  1.006 -0.627  0.960 -0.444  0.915 -0.261  0.851 -0.097  0.666 -0.059  0.483 -0.014  0.297 0.010  0.109 0.010  -0.076 -0.021  -0.255 -0.055  -0.223 -0.102  -0.060 -0.019  0.065 0.122  0.190 0.263  0.316 0.404  0.441 0.545  0.418 0.668  0.254 0.757  0.073 0.809  -0.110 0.855  -0.294 0.882  -0.476 0.930
1b#ced#racy0978_s_0l/L  -0.534 0.352  -0.488 0.444  -0.449 0.539  -0.410 0.634  -0.364 0.726  -0.338 0.826  -0.328 0.927  -0.314 1.029  -0.294 1.129  -0.301 1.231  -0.344 1.318  -0.431 1.335  -0.431 1.232  -0.431 1.129  -0.431 1.027  -0.431 0.924  -0.431 0.821  -0.431 0.718  -0.412 0.618  -0.397 0.516  -0.397 0.414  -0.397 0.311  -0.383 0.209  -0.365 0.108  -0.363 0.005  -0.349 -0.096  -0.328 -0.196  -0.328 -0.299  -0.312 -0.399  -0.283 -0.498  -0.257 -0.597  -0.219 -0.693  -0.168 -0.779  -0.086 -0.841  0.006 -0.884  0.103 -0.917  0.204 -0.933  0.307 -0.933  0.409 -0.933  0.512 -0.933  0.615 -0.933  0.715 -0.912  0.817 -0.899  0.919 -0.895  1.019 -0.870  1.117 -0.840  1.218 -0.830  1.320 -0.821  1.420 -0.796  1.523 -0.796
1b#ced#racy0978_s_0l/A  -0.187 0.225  -0.187 0.498  -0.146 0.767  -0.113 1.035  -0.098 1.306  -0.187 1.273  -0.204 1.003  -0.233 0.735  -0.304 0.472  -0.370 0.208  -0.426 -0.059  -0.492 -0.323  -0.515 -0.593  -0.592 -0.854  -0.662 -1.117  -0.627 -1.036  -0.570 -0.769  -0.545 -0.500  -0.485 -0.234  -0.432 0.033  -0.378 0.300  -0.317 0.566  -0.265 0.833  -0.199 1.097  -0.116 1.357  0.045 1.546  0.261 1.411  0.417 1.188  0.539 0.945  0.661 0.701  0.771 0.451  0.878 0.201  0.988 -0.048  1.103 -0.295  1.187 -0.553  1.291 -0.804  1.249 -0.987  0.976 -0.998  0.704 -1.008  0.432 -1.019  0.161 -1.022  -0.073 -0.884  -0.332 -0.802  -0.594 -0.729  -0.859 -0.670  -0.770 -0.637  -0.501 -0.589  -0.230 -0.581  0.039 -0.547  0.306 -0.491
1b#ced#racy0978_s_0l/N  -0.582 0.472  -0.546 0.678  -0.546 0.893  -0.510 0.925  -0.510 0.710  -0.510 0.495  -0.508 0.281  -0.474 0.069  -0.474 -0.146  -0.474 -0.360  -0.474 -0.575  -0.474 -0.790  -0.444 -1.001  -0.438 -1.215  -0.402 -1.422  -0.438 -1.211  -0.480 -1.002  -0.532 -0.794  -0.546 -0.581  -0.590 -0.372  -0.636 -0.162  -0.654 0.050  -0.690 0.261  -0.700 0.475  -0.747 0.684  -0.753 0.896  -0.607 0.930  -0.467 0.769  -0.324 0.610  -0.215 0.427  -0.092 0.252  0.012 0.065  0.124 -0.118  0.238 -0.299  0.353 -0.480  0.485 -0.649  0.650 -0.786  0.821 -0.914  1.013 -0.901  1.109 -0.714  1.150 -0.506  1.150 -0.292  1.150 -0.077  1.150 0.138  1.124 0.350  1.114 0.564  1.096 0.777  1.049 0.986  1.042 1.200  1.006 1.410
