3#apb#apb06#app0608/B  -0.151 0.488  -0.134 0.743  -0.158 0.872  -0.246 0.629  -0.328 0.383  -0.413 0.138  -0.504 -0.104  -0.599 -0.345  -0.741 -0.562  -0.890 -0.773  -1.056 -0.972  -1.243 -1.062  -1.210 -0.807  -1.125 -0.563  -1.018 -0.328  -0.899 -0.098  -0.762 0.122  -0.618 0.337  -0.464 0.545  -0.287 0.733  -0.109 0.922  0.089 1.088  0.294 1.245  0.521 1.366  0.762 1.449  0.984 1.348  1.055 1.107  1.023 0.850  0.899 0.625  0.750 0.415  0.577 0.222  0.367 0.070  0.142 -0.056  -0.030 -0.008  0.187 0.128  0.436 0.194  0.679 0.142  0.845 -0.049  0.885 -0.302  0.809 -0.547  0.684 -0.772  0.522 -0.971  0.316 -1.122  0.068 -1.189  -0.169 -1.117  -0.254 -0.880  -0.180 -0.658  0.022 -0.808  0.220 -0.975  0.449 -1.094
3#apb#apb06#app0608/l  0.787 1.491  0.774 1.423  0.760 1.354  0.746 1.286  0.721 1.222  0.695 1.157  0.670 1.092  0.645 1.027  0.619 0.963  0.594 0.898  0.569 0.833  0.534 0.773  0.500 0.713  0.465 0.652  0.430 0.592  0.396 0.532  0.361 0.472  0.326 0.411  0.291 0.351  0.255 0.292  0.215 0.235  0.174 0.179  0.134 0.122  0.093 0.066  0.053 0.009  0.013 -0.047  -0.028 -0.104  -0.068 -0.160  -0.109 -0.217  -0.149 -0.274  -0.190 -0.330  -0.230 -0.386  -0.271 -0.443  -0.312 -0.499  -0.352 -0.556  -0.393 -0.612  -0.433 -0.668  -0.474 -0.725  -0.515 -0.781  -0.556 -0.837  -0.597 -0.893  -0.639 -0.949  -0.680 -1.005  -0.721 -1.061  -0.762 -1.117  -0.799 -1.176  -0.834 -1.236  -0.868 -1.296  -0.903 -1.357  -0.937 -1.417
3#apb#apb06#app0608/e  -0.441 0.610  -0.473 0.463  -0.413 0.310  -0.306 0.192  -0.171 0.099  -0.014 0.052  0.147 0.028  0.312 0.028  0.469 0.056  0.613 0.135  0.746 0.230  0.862 0.346  0.932 0.494  0.949 0.655  0.935 0.816  0.867 0.966  0.768 1.079  0.610 1.122  0.449 1.125  0.286 1.099  0.124 1.074  -0.018 1.000  -0.148 0.899  -0.277 0.798  -0.404 0.694  -0.509 0.568  -0.615 0.441  -0.720 0.315  -0.810 0.178  -0.886 0.033  -0.963 -0.113  -1.029 -0.262  -1.059 -0.424  -1.089 -0.585  -1.040 -0.734  -0.961 -0.879  -0.816 -0.936  -0.656 -0.972  -0.496 -1.009  -0.334 -1.027  -0.171 -1.012  -0.007 -0.997  0.157 -0.981  0.321 -0.966  0.482 -0.940  0.641 -0.898  0.800 -0.856  0.959 -0.814  1.118 -0.772  1.277 -0.730
3#apb#apb06#app0608/s  0.647 0.873  0.647 0.982  0.643 1.090  0.587 1.168  0.483 1.203  0.376 1.216  0.267 1.216  0.158 1.216  0.051 1.202  -0.056 1.182  -0.164 1.162  -0.264 1.123  -0.362 1.075  -0.423 0.984  -0.429 0.883  -0.408 0.776  -0.355 0.682  -0.293 0.593  -0.231 0.503  -0.156 0.424  -0.079 0.347  -0.002 0.270  0.073 0.191  0.139 0.104  0.204 0.017  0.269 -0.071  0.328 -0.162  0.379 -0.258  0.430 -0.355  0.481 -0.451  0.496 -0.558  0.508 -0.667  0.520 -0.775  0.498 -0.877  0.450 -0.975  0.358 -1.031  0.262 -1.082  0.164 -1.125  0.055 -1.125  -0.054 -1.125  -0.163 -1.125  -0.271 -1.113  -0.378 -1.094  -0.485 -1.075  -0.590 -1.046  -0.690 -1.004  -0.790 -0.960  -0.872 -0.889  -0.952 -0.815  -1.008 -0.722
3#apb#apb06#app0608/S  1.178 0.883  1.217 0.982  1.259 1.077  1.194 1.142  1.089 1.163  0.985 1.147  0.880 1.129  0.778 1.101  0.677 1.067  0.576 1.033  0.481 0.986  0.387 0.937  0.301 0.876  0.221 0.806  0.159 0.724  0.118 0.625  0.104 0.522  0.104 0.415  0.115 0.310  0.133 0.205  0.150 0.101  0.166 -0.005  0.182 -0.110  0.185 -0.215  0.180 -0.322  0.172 -0.427  0.146 -0.530  0.119 -0.633  0.060 -0.720  -0.004 -0.805  -0.087 -0.870  -0.175 -0.929  -0.280 -0.946  -0.385 -0.962  -0.486 -0.932  -0.588 -0.901  -0.686 -0.861  -0.782 -0.815  -0.863 -0.750  -0.933 -0.669  -0.987 -0.579  -1.033 -0.483  -1.053 -0.380  -0.992 -0.337  -0.893 -0.376  -0.799 -0.425  -0.707 -0.478  -0.616 -0.533  -0.527 -0.591  -0.438 -0.649
3#apb#apb06#app0608/a  1.036 0.874  1.063 1.049  1.079 1.225  1.026 1.354  0.850 1.368  0.687 1.307  0.527 1.231  0.367 1.154  0.228 1.046  0.097 0.927  -0.033 0.807  -0.164 0.687  -0.291 0.563  -0.416 0.437  -0.542 0.312  -0.667 0.187  -0.777 0.049  -0.879 -0.097  -0.980 -0.242  -1.073 -0.392  -1.132 -0.560  -1.190 -0.727  -1.155 -0.901  -1.029 -1.008  -0.866 -1.024  -0.697 -0.973  -0.527 -0.922  -0.373 -0.833  -0.221 -0.743  -0.068 -0.653  0.065 -0.536  0.193 -0.414  0.322 -0.293  0.437 -0.158  0.549 -0.020  0.648 0.126  0.719 0.288  0.787 0.452  0.693 0.407  0.582 0.269  0.473 0.129  0.372 -0.016  0.270 -0.162  0.174 -0.310  0.095 -0.469  0.015 -0.627  -0.050 -0.791  -0.103 -0.961  -0.097 -1.126  -0.023 -1.288
3#apb#apb06#app0608/n  -0.166 0.796  -0.161 0.656  -0.230 0.514  -0.318 0.379  -0.406 0.244  -0.501 0.114  -0.598 -0.015  -0.696 -0.143  -0.789 -0.274  -0.876 -0.411  -0.962 -0.547  -1.053 -0.680  -1.148 -0.810  -1.244 -0.939  -1.267 -0.978  -1.157 -0.860  -1.051 -0.738  -0.945 -0.616  -0.838 -0.496  -0.730 -0.376  -0.623 -0.256  -0.514 -0.136  -0.406 -0.017  -0.297 0.102  -0.188 0.221  -0.077 0.338  0.034 0.454  0.146 0.571  0.258 0.687  0.384 0.785  0.521 0.870  0.658 0.955  0.805 1.015  0.963 1.047  1.085 0.990  1.175 0.856  1.201 0.703  1.201 0.542  1.172 0.387  1.105 0.240  1.038 0.093  0.969 -0.053  0.888 -0.192  0.807 -0.331  0.726 -0.470  0.632 -0.601  0.528 -0.725  0.425 -0.849  0.315 -0.967  0.201 -1.081
3#apb#apb06#app0608/t  -0.593 0.241  -0.721 0.327  -0.859 0.365  -0.933 0.258  -0.884 0.124  -0.775 0.015  -0.637 -0.054  -0.500 -0.122  -0.352 -0.159  -0.199 -0.180  -0.047 -0.202  0.106 -0.211  0.260 -0.211  0.414 -0.211  0.500 -0.118  0.546 0.029  0.592 0.176  0.638 0.322  0.684 0.469  0.730 0.616  0.777 0.763  0.823 0.910  0.869 1.057  0.915 1.204  0.961 1.350  0.919 1.252  0.860 1.110  0.798 0.969  0.717 0.838  0.637 0.707  0.556 0.576  0.475 0.444  0.384 0.321  0.287 0.202  0.189 0.082  0.092 -0.037  -0.005 -0.156  -0.100 -0.277  -0.193 -0.400  -0.286 -0.523  -0.379 -0.645  -0.472 -0.768  -0.565 -0.891  -0.654 -1.016  -0.744 -1.142  -0.833 -1.267  -0.922 -1.393  -1.010 -1.519  -1.087 -1.652  -0.978 -1.569
3#apb#apb06#app0608/a  0.930 1.289  0.760 1.220  0.592 1.146  0.424 1.070  0.257 0.993  0.091 0.916  -0.076 0.838  -0.230 0.741  -0.371 0.624  -0.512 0.506  -0.653 0.389  -0.784 0.260  -0.911 0.127  -1.038 -0.006  -1.162 -0.141  -1.277 -0.284  -1.392 -0.428  -1.439 -0.603  -1.378 -0.758  -1.227 -0.817  -1.045 -0.796  -0.866 -0.760  -0.696 -0.690  -0.527 -0.619  -0.358 -0.547  -0.192 -0.468  -0.026 -0.389  0.137 -0.306  0.274 -0.184  0.411 -0.061  0.548 0.061  0.656 0.210  0.762 0.359  0.869 0.509  0.979 0.656  0.977 0.749  0.824 0.647  0.713 0.502  0.602 0.355  0.492 0.208  0.414 0.042  0.339 -0.126  0.282 -0.298  0.272 -0.481  0.262 -0.665  0.365 -0.815  0.472 -0.965  0.641 -1.023  0.819 -1.070  0.997 -1.116
3#apb#apb06#app0608/C  0.912 0.850  0.994 0.820  1.041 0.733  1.041 0.634  1.041 0.535  1.056 0.437  1.070 0.350  1.034 0.436  0.981 0.520  0.933 0.607  0.886 0.694  0.809 0.756  0.729 0.815  0.637 0.825  0.538 0.812  0.440 0.798  0.342 0.783  0.258 0.731  0.173 0.679  0.089 0.627  0.004 0.575  -0.079 0.521  -0.154 0.456  -0.228 0.390  -0.303 0.325  -0.377 0.259  -0.452 0.193  -0.516 0.118  -0.575 0.038  -0.634 -0.041  -0.693 -0.121  -0.752 -0.201  -0.805 -0.284  -0.834 -0.379  -0.862 -0.474  -0.891 -0.569  -0.905 -0.665  -0.886 -0.762  -0.866 -0.859  -0.847 -0.957  -0.757 -1.000  -0.668 -1.042  -0.578 -1.085  -0.489 -1.128  -0.391 -1.132  -0.292 -1.129  -0.192 -1.126  -0.093 -1.124  0.006 -1.121  0.105 -1.118
3#apb#apb06#app0608/r  -0.078 0.571  -0.116 0.457  -0.154 0.344  -0.192 0.230  -0.229 0.116  -0.262 0.001  -0.295 -0.114  -0.328 -0.229  -0.360 -0.344  -0.398 -0.458  -0.437 -0.571  -0.477 -0.684  -0.516 -0.797  -0.558 -0.909  -0.606 -1.019  -0.653 -1.129  -0.703 -1.237  -0.763 -1.333  -0.763 -1.214  -0.746 -1.097  -0.703 -0.985  -0.660 -0.874  -0.615 -0.763  -0.568 -0.653  -0.520 -0.543  -0.473 -0.433  -0.426 -0.323  -0.366 -0.220  -0.303 -0.117  -0.241 -0.015  -0.179 0.087  -0.117 0.189  -0.046 0.285  0.039 0.370  0.123 0.454  0.208 0.539  0.293 0.623  0.377 0.708  0.478 0.771  0.581 0.832  0.685 0.893  0.788 0.953  0.900 0.995  1.013 1.032  1.128 1.052  1.244 1.023  1.360 0.994  1.456 0.926  1.545 0.846  1.634 0.766
3#apb#apb06#app0608/u  -0.121 1.249  -0.243 1.140  -0.362 1.027  -0.466 0.901  -0.570 0.774  -0.673 0.647  -0.773 0.517  -0.873 0.387  -0.968 0.253  -1.050 0.112  -1.132 -0.030  -1.209 -0.175  -1.274 -0.325  -1.312 -0.476  -1.246 -0.625  -1.130 -0.739  -0.990 -0.803  -0.826 -0.803  -0.663 -0.795  -0.502 -0.763  -0.342 -0.731  -0.193 -0.670  -0.059 -0.575  0.075 -0.481  0.195 -0.371  0.307 -0.251  0.420 -0.132  0.527 -0.009  0.630 0.119  0.732 0.247  0.835 0.375  0.923 0.513  1.010 0.652  1.098 0.791  1.172 0.936  1.144 0.881  1.064 0.737  0.985 0.594  0.905 0.451  0.823 0.309  0.742 0.167  0.661 0.024  0.584 -0.121  0.508 -0.266  0.432 -0.411  0.350 -0.553  0.266 -0.693  0.202 -0.842  0.173 -1.003  0.214 -1.160
3#apb#apb06#app0608/z  -0.630 1.117  -0.762 1.080  -0.900 1.075  -0.777 1.071  -0.640 1.058  -0.502 1.053  -0.364 1.053  -0.228 1.037  -0.095 1.002  0.038 0.968  0.176 0.968  0.290 0.916  0.381 0.812  0.393 0.679  0.381 0.545  0.302 0.431  0.224 0.318  0.129 0.219  0.028 0.125  -0.073 0.031  -0.191 -0.038  -0.314 -0.100  -0.436 -0.164  -0.555 -0.234  -0.674 -0.304  -0.791 -0.377  -0.921 -0.416  -0.992 -0.526  -1.023 -0.657  -0.958 -0.716  -0.820 -0.716  -0.685 -0.689  -0.550 -0.662  -0.414 -0.635  -0.279 -0.611  -0.143 -0.589  -0.007 -0.566  0.130 -0.546  0.267 -0.546  0.405 -0.546  0.543 -0.546  0.681 -0.546  0.819 -0.546  0.957 -0.546  1.095 -0.546  1.230 -0.572  1.365 -0.599  1.498 -0.634  1.630 -0.674  1.758 -0.716
