2#tos#t2#t2014063/#  -0.629 0.690  -0.936 0.452  -0.545 0.434  -0.119 0.434  0.307 0.434  0.733 0.434  0.676 0.336  0.283 0.170  -0.109 0.004  -0.501 -0.162  -0.834 -0.367  -1.205 -0.549  -0.820 -0.590  -0.394 -0.590  0.032 -0.590  0.458 -0.590  0.884 -0.590  1.280 -0.575  1.023 -0.236  0.766 0.104  0.509 0.443  0.251 0.783  -0.006 1.123  -0.263 1.462  -0.501 1.311  -0.465 0.887  -0.421 0.467  -0.373 0.052  -0.373 -0.374  -0.309 -0.792  -0.309 -1.218  -0.309 -1.644  -0.285 -1.800  -0.212 -1.381  -0.138 -0.961  -0.065 -0.542  0.009 -0.122  0.083 0.297  0.156 0.717  0.230 1.137  0.304 1.556  0.093 1.650  0.115 1.251  0.139 0.831  0.219 0.422  0.267 0.000  0.267 -0.426  0.310 -0.845  0.331 -1.267  0.395 -1.678
2#tos#t2#t2014063/V  -1.266 1.368  -1.375 1.221  -1.266 1.138  -1.213 0.963  -1.089 0.826  -0.941 0.745  -0.858 0.575  -0.797 0.394  -0.684 0.244  -0.617 0.081  -0.497 -0.062  -0.412 -0.233  -0.397 -0.420  -0.238 -0.496  -0.238 -0.687  -0.129 -0.833  -0.129 -1.025  -0.039 -1.145  0.087 -1.238  0.112 -1.253  0.166 -1.070  0.219 -0.886  0.273 -0.702  0.326 -0.519  0.380 -0.335  0.434 -0.152  0.487 0.032  0.541 0.215  0.594 0.399  0.648 0.582  0.701 0.766  0.755 0.949  0.808 1.133  0.786 1.259  0.737 1.117  0.731 0.929  0.683 0.757  0.598 0.592  0.539 0.430  0.368 0.344  0.358 0.159  0.304 -0.019  0.294 -0.209  0.262 -0.398  0.139 -0.479  0.068 -0.657  0.033 -0.841  -0.040 -1.017  -0.075 -1.202  -0.129 -1.339
2#tos#t2#t2014063/W  -1.232 1.064  -1.321 0.944  -1.269 0.790  -1.232 0.630  -1.232 0.455  -1.172 0.292  -1.118 0.127  -1.099 -0.044  -0.993 -0.175  -0.922 -0.312  -0.854 -0.468  -0.826 -0.632  -0.725 -0.774  -0.655 -0.894  -0.611 -0.840  -0.541 -0.717  -0.478 -0.561  -0.464 -0.400  -0.365 -0.303  -0.262 -0.181  -0.256 -0.010  -0.212 0.155  -0.194 0.319  -0.123 0.450  -0.089 0.621  -0.034 0.668  0.099 0.574  0.099 0.399  0.185 0.310  0.232 0.181  0.365 0.080  0.371 -0.090  0.460 -0.217  0.548 -0.339  0.583 -0.511  0.696 -0.618  0.779 -0.755  0.853 -0.856  0.877 -0.749  0.930 -0.590  1.031 -0.456  1.031 -0.281  1.075 -0.124  1.075 0.051  1.075 0.226  1.126 0.386  1.164 0.549  1.164 0.724  1.208 0.889  1.253 1.020
2#tos#t2#t2014063/Y  -0.827 1.137  -0.950 1.062  -0.952 1.021  -0.861 0.901  -0.781 0.788  -0.634 0.748  -0.634 0.594  -0.567 0.487  -0.439 0.409  -0.370 0.271  -0.301 0.133  -0.160 0.077  -0.107 -0.044  -0.054 -0.165  0.062 -0.185  0.143 -0.053  0.224 0.078  0.305 0.210  0.386 0.342  0.467 0.473  0.548 0.605  0.629 0.737  0.710 0.868  0.791 1.000  0.767 0.982  0.653 0.935  0.537 0.841  0.478 0.704  0.328 0.673  0.236 0.593  0.216 0.451  0.078 0.382  0.022 0.252  0.006 0.106  0.090 -0.022  -0.006 -0.081  -0.006 -0.235  -0.006 -0.390  -0.006 -0.545  -0.006 -0.699  -0.006 -0.854  -0.006 -1.008  -0.006 -1.163  -0.006 -1.317  -0.006 -1.472  -0.006 -1.626  -0.006 -1.781  -0.006 -1.935  -0.006 -2.090  0.043 -2.196
2#tos#t2#t2014063/d  0.525 0.246  0.467 0.183  0.304 0.246  0.193 0.362  -0.033 0.362  -0.259 0.362  -0.462 0.304  -0.650 0.250  -0.734 0.041  -0.805 -0.124  -0.921 -0.279  -0.921 -0.505  -0.921 -0.732  -0.870 -0.950  -0.719 -1.063  -0.567 -1.200  -0.399 -1.258  -0.172 -1.258  -0.004 -1.200  0.120 -1.098  0.178 -0.885  0.236 -0.683  0.232 -0.457  0.227 -0.230  0.222 -0.004  0.216 0.222  0.211 0.449  0.206 0.675  0.201 0.901  0.195 1.128  0.190 1.354  0.185 1.580  0.180 1.807  0.062 1.815  0.062 1.589  0.062 1.362  0.062 1.136  0.062 0.909  0.178 0.731  0.178 0.505  0.178 0.278  0.178 0.052  0.189 -0.170  0.294 -0.353  0.410 -0.531  0.410 -0.758  0.410 -0.984  0.420 -1.200  0.467 -1.379  0.525 -1.547
2#tos#t2#t2014063/f  0.625 1.122  0.625 1.211  0.493 1.256  0.370 1.339  0.231 1.435  0.075 1.369  0.000 1.214  0.041 1.043  0.045 0.866  0.089 0.699  0.173 0.548  0.268 0.436  0.313 0.303  0.313 0.126  0.357 -0.041  0.357 -0.219  0.397 -0.387  0.402 -0.563  0.402 -0.741  0.346 -0.904  0.262 -1.058  0.233 -1.233  0.124 -1.319  0.089 -1.490  0.000 -1.579  -0.144 -1.646  -0.280 -1.593  -0.320 -1.420  -0.359 -1.247  -0.399 -1.074  -0.438 -0.901  -0.478 -0.728  -0.518 -0.555  -0.557 -0.382  -0.597 -0.209  -0.637 -0.036  -0.676 0.137  -0.716 0.310  -0.756 0.483  -0.864 0.497  -0.686 0.497  -0.509 0.497  -0.331 0.497  -0.154 0.497  0.024 0.497  0.201 0.497  0.379 0.497  0.557 0.497  0.734 0.497  0.893 0.453
2#tos#t2#t2014063/g  0.682 0.748  0.507 0.720  0.507 0.744  0.507 0.946  0.368 1.073  0.289 1.213  0.158 1.283  0.012 1.373  -0.186 1.388  -0.366 1.366  -0.473 1.271  -0.565 1.141  -0.599 0.944  -0.604 0.748  -0.657 0.599  -0.599 0.455  -0.454 0.399  -0.310 0.340  -0.108 0.340  0.080 0.399  0.105 0.579  0.205 0.690  0.216 0.593  0.216 0.391  0.216 0.189  0.216 -0.012  0.216 -0.214  0.294 -0.398  0.332 -0.590  0.332 -0.792  0.332 -0.994  0.275 -1.172  0.274 -1.374  0.116 -1.456  -0.049 -1.567  -0.248 -1.580  -0.450 -1.580  -0.599 -1.459  -0.599 -1.257  -0.598 -1.055  -0.508 -0.875  -0.424 -0.737  -0.369 -0.591  -0.174 -0.546  -0.021 -0.420  0.155 -0.358  0.333 -0.299  0.507 -0.238  0.654 -0.183  0.856 -0.183
2#tos#t2#t2014063/h  -0.308 1.839  -0.473 1.839  -0.483 1.684  -0.483 1.519  -0.483 1.354  -0.483 1.189  -0.483 1.025  -0.483 0.860  -0.483 0.695  -0.483 0.530  -0.483 0.365  -0.483 0.200  -0.483 0.036  -0.483 -0.129  -0.483 -0.294  -0.483 -0.459  -0.474 -0.622  -0.425 -0.775  -0.425 -0.940  -0.425 -1.104  -0.366 -1.158  -0.366 -0.993  -0.366 -0.829  -0.366 -0.664  -0.366 -0.499  -0.366 -0.334  -0.281 -0.232  -0.250 -0.072  -0.210 0.076  -0.094 0.193  -0.018 0.326  -0.018 0.491  0.112 0.560  0.273 0.564  0.384 0.618  0.472 0.520  0.532 0.385  0.564 0.252  0.564 0.088  0.600 -0.071  0.622 -0.233  0.622 -0.397  0.628 -0.561  0.680 -0.718  0.807 -0.809  0.869 -0.952  0.971 -1.049  1.058 -1.127  1.222 -1.120  1.378 -1.068
2#tos#t2#t2014063/i  0.040 0.739  -0.090 0.739  -0.128 0.648  -0.128 0.518  -0.128 0.389  -0.128 0.260  -0.128 0.130  -0.128 0.001  -0.128 -0.129  -0.128 -0.258  -0.128 -0.388  -0.128 -0.517  -0.128 -0.647  -0.100 -0.771  -0.059 -0.894  -0.044 -1.021  -0.044 -1.151  -0.044 -1.280  -0.044 -1.410  -0.044 -1.539  0.014 -1.611  0.042 -1.507  0.045 -1.378  0.049 -1.248  0.052 -1.119  0.055 -0.989  0.058 -0.860  0.062 -0.731  0.065 -0.601  0.068 -0.472  0.071 -0.342  0.074 -0.213  0.078 -0.084  0.081 0.046  0.084 0.175  0.087 0.305  0.091 0.434  0.094 0.563  0.097 0.693  0.100 0.822  0.104 0.952  0.107 1.081  0.110 1.210  0.113 1.340  0.117 1.469  0.120 1.599  0.123 1.728  0.012 1.746  -0.117 1.746  -0.212 1.830
2#tos#t2#t2014063/j  0.442 0.655  0.391 0.573  0.391 0.440  0.391 0.307  0.391 0.174  0.400 0.049  0.442 -0.042  0.442 -0.175  0.442 -0.308  0.442 -0.441  0.442 -0.574  0.442 -0.707  0.369 -0.795  0.341 -0.911  0.240 -0.972  0.240 -1.105  0.114 -1.113  0.006 -1.179  -0.119 -1.214  -0.252 -1.214  -0.367 -1.195  -0.468 -1.163  -0.564 -1.095  -0.653 -1.012  -0.720 -0.946  -0.771 -0.834  -0.771 -0.701  -0.752 -0.573  -0.687 -0.457  -0.622 -0.341  -0.558 -0.224  -0.493 -0.108  -0.429 0.008  -0.364 0.125  -0.299 0.241  -0.235 0.357  -0.170 0.473  -0.106 0.590  -0.041 0.706  0.024 0.822  0.088 0.939  0.153 1.055  0.217 1.171  0.282 1.287  0.347 1.404  0.411 1.520  0.476 1.636  0.393 1.666  0.290 1.635  0.391 1.565
2#tos#t2#t2014063/n  -0.339 1.365  -0.510 1.358  -0.510 1.181  -0.510 1.004  -0.560 0.838  -0.595 0.670  -0.595 0.492  -0.595 0.315  -0.595 0.138  -0.595 -0.039  -0.595 -0.217  -0.595 -0.394  -0.530 -0.556  -0.510 -0.728  -0.510 -0.905  -0.510 -1.083  -0.510 -1.260  -0.595 -1.352  -0.595 -1.198  -0.595 -1.021  -0.510 -0.929  -0.510 -0.752  -0.510 -0.575  -0.510 -0.397  -0.485 -0.230  -0.360 -0.105  -0.339 0.064  -0.254 0.206  -0.164 0.344  -0.005 0.424  0.002 0.597  0.007 0.768  0.172 0.780  0.271 0.867  0.418 0.939  0.596 0.939  0.688 0.853  0.769 0.758  0.854 0.666  0.871 0.495  0.940 0.347  0.940 0.169  0.940 -0.008  0.940 -0.185  0.940 -0.362  0.940 -0.540  1.025 -0.682  1.066 -0.849  1.110 -1.016  1.110 -1.193
2#tos#t2#t2014063/o  -0.058 1.159  -0.215 1.159  -0.279 1.067  -0.380 1.012  -0.500 0.975  -0.500 0.819  -0.500 0.662  -0.638 0.643  -0.680 0.504  -0.767 0.376  -0.795 0.231  -0.795 0.075  -0.795 -0.082  -0.795 -0.238  -0.739 -0.372  -0.722 -0.521  -0.722 -0.677  -0.719 -0.832  -0.566 -0.840  -0.455 -0.950  -0.384 -1.053  -0.228 -1.053  -0.089 -1.096  0.024 -1.200  0.176 -1.188  0.307 -1.126  0.464 -1.126  0.620 -1.126  0.679 -1.029  0.702 -0.882  0.827 -0.820  0.827 -0.664  0.848 -0.516  0.900 -0.381  0.900 -0.225  0.900 -0.068  0.900 0.089  0.869 0.232  0.753 0.297  0.694 0.436  0.607 0.566  0.526 0.643  0.374 0.653  0.281 0.777  0.178 0.864  0.089 0.932  -0.061 0.938  -0.218 0.938  -0.346 1.005  -0.500 1.012
2#tos#t2#t2014063/p  -0.091 0.988  -0.210 0.888  -0.210 0.669  -0.210 0.449  -0.210 0.230  -0.210 0.010  -0.210 -0.209  -0.210 -0.429  -0.210 -0.648  -0.210 -0.868  -0.210 -1.087  -0.210 -1.307  -0.210 -1.526  -0.210 -1.746  -0.091 -1.891  -0.097 -1.759  -0.110 -1.540  -0.122 -1.321  -0.135 -1.102  -0.147 -0.882  -0.159 -0.663  -0.172 -0.444  -0.184 -0.225  -0.197 -0.006  -0.209 0.213  -0.221 0.432  -0.234 0.652  -0.246 0.871  -0.259 1.090  -0.292 1.287  -0.386 1.287  -0.166 1.287  0.053 1.287  0.273 1.287  0.492 1.287  0.687 1.227  0.744 1.065  0.804 0.905  0.864 0.711  0.849 0.497  0.685 0.416  0.685 0.196  0.573 0.049  0.446 -0.050  0.313 -0.212  0.148 -0.306  -0.054 -0.324  -0.273 -0.324  -0.468 -0.264  -0.568 -0.145
2#tos#t2#t2014063/q  0.654 0.627  0.622 0.430  0.521 0.421  0.409 0.540  0.264 0.684  0.063 0.694  -0.013 0.823  -0.185 0.894  -0.390 0.894  -0.594 0.894  -0.799 0.894  -0.880 0.771  -0.974 0.639  -1.013 0.444  -1.013 0.239  -1.013 0.035  -0.938 -0.141  -0.888 -0.340  -0.740 -0.446  -0.588 -0.573  -0.383 -0.573  -0.179 -0.573  -0.051 -0.430  0.084 -0.277  0.187 -0.115  0.250 0.027  0.289 0.225  0.324 0.426  0.360 0.627  0.396 0.829  0.431 1.030  0.383 1.159  0.254 1.033  0.187 0.896  0.187 0.691  0.187 0.486  0.187 0.282  0.187 0.077  0.227 -0.118  0.254 -0.316  0.254 -0.521  0.268 -0.720  0.321 -0.903  0.368 -1.087  0.387 -1.284  0.387 -1.489  0.387 -1.693  0.387 -1.898  0.450 -2.040  0.521 -2.174
2#tos#t2#t2014063/u  -0.666 1.289  -0.810 1.268  -0.810 1.102  -0.947 1.073  -0.954 0.914  -0.954 0.748  -0.954 0.582  -0.954 0.416  -0.954 0.250  -0.954 0.084  -0.954 -0.082  -0.954 -0.249  -0.954 -0.415  -0.954 -0.581  -0.810 -0.602  -0.810 -0.768  -0.754 -0.894  -0.596 -0.947  -0.430 -0.948  -0.264 -0.948  -0.098 -0.948  -0.008 -0.867  0.110 -0.750  0.128 -0.592  0.242 -0.473  0.345 -0.391  0.345 -0.225  0.365 -0.072  0.489 0.018  0.489 0.184  0.489 0.350  0.489 0.516  0.489 0.682  0.489 0.848  0.561 0.942  0.561 1.038  0.561 0.872  0.561 0.706  0.561 0.540  0.596 0.388  0.652 0.242  0.706 0.089  0.706 -0.077  0.786 -0.194  0.850 -0.320  0.864 -0.484  0.916 -0.642  0.990 -0.765  1.066 -0.884  1.139 -1.020
2#tos#t2#t2014063/v  -0.515 1.432  -0.639 1.390  -0.766 1.360  -0.793 1.268  -0.734 1.151  -0.731 1.021  -0.703 0.901  -0.659 0.788  -0.659 0.657  -0.659 0.526  -0.659 0.395  -0.595 0.290  -0.515 0.192  -0.511 0.064  -0.394 0.005  -0.338 -0.107  -0.299 -0.231  -0.299 -0.362  -0.299 -0.494  -0.299 -0.625  -0.267 -0.750  -0.228 -0.875  -0.228 -1.006  -0.102 -1.012  -0.084 -1.125  -0.056 -1.227  -0.012 -1.315  -0.012 -1.296  -0.012 -1.165  0.037 -1.084  0.158 -1.058  0.204 -0.946  0.228 -0.820  0.292 -0.708  0.371 -0.605  0.427 -0.486  0.468 -0.362  0.517 -0.241  0.572 -0.122  0.614 0.002  0.635 0.130  0.635 0.261  0.684 0.380  0.743 0.498  0.815 0.605  0.907 0.698  0.922 0.823  0.922 0.954  0.922 1.085  0.994 1.144
2#tos#t2#t2014063/x  0.997 1.310  0.933 1.168  0.767 1.113  0.678 0.938  0.494 0.846  0.398 0.683  0.338 0.487  0.236 0.309  0.148 0.130  0.123 -0.067  -0.000 -0.232  -0.134 -0.387  -0.276 -0.535  -0.276 -0.740  -0.407 -0.861  -0.488 -1.048  -0.496 -1.252  -0.559 -1.443  -0.554 -1.249  -0.548 -1.043  -0.543 -0.838  -0.538 -0.632  -0.532 -0.426  -0.527 -0.220  -0.521 -0.014  -0.516 0.191  -0.511 0.397  -0.505 0.603  -0.500 0.809  -0.494 1.014  -0.489 1.220  -0.655 1.156  -0.837 1.098  -0.709 0.972  -0.630 0.785  -0.493 0.652  -0.379 0.509  -0.202 0.403  -0.044 0.280  0.072 0.113  0.217 -0.032  0.336 -0.197  0.496 -0.314  0.643 -0.428  0.674 -0.615  0.858 -0.707  1.042 -0.799  1.124 -0.980  1.297 -1.030  1.492 -1.095
