2#tos#t3#t3010064/!  0.062 1.635  -0.016 1.635  -0.026 1.655  -0.026 1.576  -0.026 1.498  -0.026 1.420  -0.026 1.341  -0.026 1.263  -0.026 1.185  -0.026 1.107  -0.026 1.028  -0.026 0.950  -0.026 0.872  -0.026 0.793  -0.026 0.715  -0.026 0.637  -0.026 0.559  -0.026 0.480  -0.026 0.402  -0.026 0.324  -0.026 0.245  -0.026 0.167  -0.026 0.089  -0.026 0.011  -0.026 -0.068  -0.026 -0.146  -0.026 -0.224  -0.026 -0.303  -0.026 -0.381  -0.026 -0.459  -0.026 -0.417  -0.025 -0.352  -0.016 -0.429  -0.007 -0.507  0.002 -0.585  0.011 -0.663  0.020 -0.740  0.029 -0.818  0.038 -0.896  0.047 -0.974  0.056 -1.051  0.065 -1.129  0.074 -1.207  0.083 -1.285  0.092 -1.363  0.101 -1.440  0.077 -1.489  0.018 -1.509  0.009 -1.577  0.018 -1.577
2#tos#t3#t3010064/R  -0.727 1.172  -0.610 1.172  -0.494 0.987  -0.494 0.738  -0.455 0.498  -0.455 0.249  -0.455 -0.000  -0.424 -0.244  -0.416 -0.492  -0.416 -0.741  -0.416 -0.990  -0.479 -1.199  -0.502 -0.965  -0.511 -0.716  -0.519 -0.467  -0.528 -0.218  -0.537 0.031  -0.546 0.279  -0.554 0.528  -0.563 0.777  -0.581 1.016  -0.701 0.939  -0.503 1.007  -0.263 1.055  -0.014 1.055  0.235 1.055  0.484 1.055  0.695 0.970  0.791 0.780  0.828 0.546  0.750 0.345  0.626 0.193  0.406 0.122  0.256 -0.022  0.027 -0.072  -0.196 -0.150  -0.445 -0.150  -0.455 -0.156  -0.316 -0.266  -0.106 -0.305  0.056 -0.422  0.233 -0.547  0.448 -0.664  0.636 -0.773  0.828 -0.905  0.944 -1.037  1.109 -1.121  1.281 -1.199  1.443 -1.316  1.605 -1.432
2#tos#t3#t3010064/S  0.452 0.817  0.463 0.667  0.564 0.748  0.639 0.856  0.605 1.002  0.533 1.111  0.428 1.192  0.305 1.230  0.182 1.267  0.021 1.267  -0.140 1.267  -0.261 1.206  -0.370 1.155  -0.468 1.077  -0.560 0.973  -0.598 0.836  -0.673 0.736  -0.673 0.575  -0.644 0.421  -0.544 0.297  -0.421 0.228  -0.265 0.217  -0.148 0.151  0.003 0.142  0.084 0.045  0.237 0.020  0.311 -0.083  0.456 -0.120  0.537 -0.206  0.612 -0.308  0.654 -0.435  0.684 -0.584  0.714 -0.738  0.677 -0.883  0.602 -0.968  0.530 -1.057  0.445 -1.132  0.284 -1.132  0.123 -1.132  -0.022 -1.170  -0.183 -1.170  -0.303 -1.127  -0.435 -1.057  -0.548 -0.995  -0.598 -0.877  -0.673 -0.763  -0.673 -0.688  -0.635 -0.811  -0.635 -0.972  -0.673 -1.095
2#tos#t3#t3010064/T  -0.713 0.856  -0.781 0.792  -0.689 0.783  -0.581 0.783  -0.473 0.783  -0.365 0.783  -0.257 0.783  -0.150 0.783  -0.043 0.788  0.058 0.820  0.165 0.820  0.273 0.820  0.364 0.878  0.467 0.893  0.538 0.856  0.646 0.856  0.753 0.855  0.680 0.820  0.612 0.762  0.509 0.730  0.406 0.698  0.303 0.665  0.200 0.633  0.097 0.601  0.038 0.526  -0.047 0.460  -0.090 0.391  -0.090 0.283  -0.090 0.175  -0.090 0.067  -0.090 -0.040  -0.090 -0.148  -0.090 -0.256  -0.090 -0.364  -0.090 -0.472  -0.090 -0.580  -0.090 -0.688  -0.090 -0.795  -0.089 -0.902  -0.053 -0.975  -0.053 -1.082  -0.053 -1.190  -0.090 -1.283  -0.090 -1.391  -0.090 -1.499  -0.090 -1.607  -0.090 -1.715  -0.090 -1.822  -0.090 -1.930  -0.053 -2.002
2#tos#t3#t3010064/U  -0.492 1.551  -0.618 1.551  -0.620 1.426  -0.593 1.311  -0.577 1.192  -0.577 1.065  -0.577 0.939  -0.577 0.813  -0.577 0.686  -0.577 0.560  -0.577 0.434  -0.577 0.308  -0.577 0.181  -0.577 0.055  -0.577 -0.071  -0.577 -0.198  -0.549 -0.312  -0.534 -0.433  -0.534 -0.559  -0.523 -0.680  -0.449 -0.751  -0.449 -0.877  -0.381 -0.950  -0.321 -1.052  -0.238 -1.096  -0.112 -1.096  -0.029 -1.138  0.098 -1.138  0.191 -1.106  0.290 -1.053  0.358 -0.972  0.420 -0.875  0.490 -0.792  0.535 -0.709  0.576 -0.600  0.600 -0.498  0.661 -0.432  0.704 -0.349  0.704 -0.222  0.704 -0.096  0.704 0.030  0.704 0.156  0.704 0.283  0.704 0.409  0.704 0.535  0.704 0.662  0.704 0.788  0.704 0.914  0.704 1.040  0.704 1.167
2#tos#t3#t3010064/X  -0.709 1.216  -0.849 1.119  -0.834 0.927  -0.653 0.841  -0.519 0.745  -0.412 0.576  -0.288 0.421  -0.155 0.284  -0.092 0.104  -0.027 -0.075  0.116 -0.217  0.192 -0.387  0.340 -0.516  0.391 -0.679  0.528 -0.769  0.605 -0.937  0.695 -1.048  0.741 -1.045  0.733 -0.844  0.725 -0.643  0.718 -0.442  0.710 -0.241  0.702 -0.039  0.694 0.162  0.687 0.363  0.679 0.564  0.671 0.765  0.663 0.967  0.656 1.168  0.638 1.349  0.508 1.217  0.421 1.075  0.321 0.938  0.201 0.786  0.063 0.677  -0.013 0.507  -0.089 0.338  -0.199 0.182  -0.275 0.012  -0.397 -0.126  -0.475 -0.297  -0.543 -0.443  -0.640 -0.562  -0.662 -0.742  -0.762 -0.843  -0.823 -0.984  -0.874 -1.149  -0.943 -1.294  -1.036 -1.437  -1.130 -1.545
2#tos#t3#t3010064/Y  -0.795 0.753  -0.857 0.753  -0.785 0.675  -0.690 0.596  -0.630 0.471  -0.572 0.352  -0.442 0.283  -0.395 0.151  -0.328 0.016  -0.275 -0.101  -0.168 0.005  -0.062 0.112  0.045 0.218  0.151 0.325  0.258 0.431  0.365 0.538  0.471 0.644  0.578 0.751  0.684 0.857  0.791 0.964  0.897 1.071  0.973 1.103  0.934 0.991  0.816 0.958  0.737 0.863  0.666 0.757  0.580 0.666  0.464 0.606  0.374 0.508  0.286 0.390  0.189 0.285  0.056 0.216  -0.009 0.091  -0.106 0.007  -0.175 -0.080  -0.284 -0.162  -0.245 -0.273  -0.245 -0.424  -0.245 -0.575  -0.245 -0.725  -0.245 -0.876  -0.284 -0.987  -0.284 -1.138  -0.284 -1.289  -0.284 -1.439  -0.284 -1.590  -0.284 -1.741  -0.284 -1.891  -0.245 -2.003  -0.284 -2.114
2#tos#t3#t3010064/a  -0.404 1.156  -0.506 1.092  -0.327 1.131  -0.236 1.258  -0.083 1.309  0.108 1.360  0.312 1.360  0.464 1.412  0.638 1.340  0.720 1.171  0.695 0.978  0.611 0.821  0.521 0.656  0.447 0.509  0.358 0.337  0.231 0.199  0.120 0.059  0.107 -0.141  0.005 -0.243  0.005 -0.446  0.071 -0.589  0.243 -0.683  0.386 -0.758  0.544 -0.841  0.669 -0.937  0.820 -0.990  0.972 -1.041  0.884 -0.872  0.758 -0.712  0.633 -0.552  0.507 -0.392  0.382 -0.232  0.257 -0.071  0.131 0.089  -0.025 0.185  -0.229 0.185  -0.432 0.185  -0.636 0.185  -0.820 0.105  -0.910 -0.060  -1.030 -0.185  -1.119 -0.352  -1.119 -0.555  -1.119 -0.758  -1.035 -0.903  -0.879 -1.008  -0.683 -1.041  -0.483 -1.029  -0.322 -0.908  -0.200 -0.785
2#tos#t3#t3010064/h  -0.076 2.042  -0.240 1.987  -0.240 1.810  -0.240 1.633  -0.240 1.456  -0.240 1.279  -0.240 1.101  -0.240 0.924  -0.240 0.747  -0.240 0.570  -0.240 0.393  -0.240 0.216  -0.275 0.043  -0.294 -0.132  -0.294 -0.309  -0.294 -0.486  -0.294 -0.663  -0.312 -0.836  -0.349 -1.005  -0.349 -1.182  -0.404 -1.284  -0.404 -1.106  -0.349 -0.984  -0.349 -0.807  -0.349 -0.630  -0.349 -0.452  -0.349 -0.275  -0.328 -0.103  -0.294 0.066  -0.240 0.189  -0.226 0.360  -0.130 0.498  -0.044 0.620  0.079 0.675  0.256 0.675  0.324 0.565  0.437 0.473  0.526 0.372  0.526 0.195  0.526 0.017  0.581 -0.105  0.581 -0.282  0.581 -0.459  0.581 -0.637  0.581 -0.814  0.598 -0.984  0.635 -1.145  0.635 -1.322  0.690 -1.445  0.854 -1.458
2#tos#t3#t3010064/i  0.178 1.543  0.105 1.543  0.031 1.543  0.031 1.469  0.031 1.396  0.055 1.346  0.102 1.303  0.129 1.235  0.129 1.162  0.129 1.088  0.129 1.014  0.127 0.941  0.116 0.868  0.105 0.795  0.094 0.722  0.082 0.649  0.071 0.576  0.060 0.503  0.049 0.431  0.038 0.358  0.003 0.312  -0.068 0.309  -0.068 0.235  -0.068 0.162  -0.068 0.088  -0.068 0.014  -0.068 -0.059  -0.068 -0.133  -0.068 -0.207  -0.068 -0.281  -0.068 -0.354  -0.068 -0.428  -0.068 -0.502  -0.068 -0.576  -0.068 -0.649  -0.068 -0.723  -0.068 -0.797  -0.068 -0.871  -0.068 -0.944  -0.068 -1.018  -0.068 -1.092  -0.068 -1.165  -0.068 -1.239  -0.068 -1.313  -0.068 -1.387  -0.068 -1.460  -0.043 -1.509  -0.019 -1.559  -0.019 -1.632  -0.019 -1.706
2#tos#t3#t3010064/l  0.057 1.622  -0.015 1.622  -0.062 1.596  -0.062 1.523  -0.062 1.450  -0.062 1.378  -0.062 1.305  -0.062 1.233  -0.062 1.160  -0.062 1.088  -0.062 1.015  -0.062 0.943  -0.062 0.870  -0.062 0.798  -0.062 0.725  -0.062 0.652  -0.062 0.580  -0.062 0.507  -0.062 0.435  -0.062 0.362  -0.062 0.290  -0.035 0.228  -0.002 0.169  -0.002 0.097  -0.002 0.024  0.002 -0.047  0.054 -0.098  0.057 -0.169  0.057 -0.241  0.057 -0.314  0.057 -0.387  0.057 -0.459  0.057 -0.532  0.057 -0.604  0.057 -0.677  0.057 -0.749  0.057 -0.822  0.057 -0.894  0.057 -0.967  0.057 -1.040  0.057 -1.112  0.057 -1.185  0.057 -1.257  0.017 -1.290  -0.002 -1.343  -0.002 -1.415  0.018 -1.468  0.057 -1.501  0.057 -1.574  0.057 -1.527
2#tos#t3#t3010064/r  -0.269 1.465  -0.424 1.465  -0.440 1.603  -0.324 1.606  -0.269 1.485  -0.249 1.351  -0.212 1.233  -0.180 1.092  -0.118 0.954  -0.098 0.802  -0.038 0.662  0.015 0.520  0.015 0.365  0.015 0.211  0.015 0.056  0.015 -0.098  0.015 -0.253  0.015 -0.407  0.015 -0.562  0.015 -0.716  0.015 -0.871  -0.058 -0.995  -0.098 -1.133  -0.098 -1.288  -0.098 -1.442  -0.098 -1.597  -0.188 -1.661  -0.269 -1.588  -0.269 -1.433  -0.269 -1.279  -0.269 -1.124  -0.269 -0.970  -0.246 -0.820  -0.157 -0.697  -0.155 -0.543  -0.130 -0.392  -0.098 -0.243  -0.056 -0.099  -0.042 0.053  0.015 0.150  0.030 0.301  0.132 0.388  0.241 0.497  0.299 0.594  0.436 0.612  0.591 0.612  0.745 0.612  0.811 0.523  0.941 0.499  1.095 0.499
2#tos#t3#t3010064/t  -0.032 1.596  -0.150 1.639  -0.150 1.445  -0.150 1.252  -0.150 1.058  -0.150 0.865  -0.150 0.671  -0.150 0.478  -0.209 0.309  -0.237 0.122  -0.268 -0.064  -0.268 -0.258  -0.268 -0.451  -0.268 -0.645  -0.268 -0.838  -0.268 -1.032  -0.268 -1.225  -0.208 -1.358  -0.073 -1.417  0.120 -1.417  0.308 -1.395  0.493 -1.358  0.625 -1.292  0.738 -1.181  0.909 -1.126  1.004 -0.972  1.031 -0.790  0.946 -0.637  0.798 -0.512  0.650 -0.388  0.502 -0.264  0.353 -0.139  0.205 -0.015  0.057 0.109  -0.091 0.234  -0.240 0.358  -0.388 0.482  -0.536 0.607  -0.684 0.731  -0.843 0.828  -0.977 0.724  -0.916 0.592  -0.722 0.592  -0.529 0.592  -0.336 0.592  -0.142 0.592  0.051 0.592  0.245 0.592  0.438 0.592  0.618 0.533
2#tos#t3#t3010064/v  -1.062 0.946  -1.190 0.946  -1.143 1.013  -1.049 0.932  -0.958 0.842  -0.927 0.727  -0.917 0.609  -0.793 0.606  -0.793 0.478  -0.737 0.363  -0.658 0.266  -0.658 0.138  -0.658 0.010  -0.579 -0.087  -0.523 -0.202  -0.478 -0.311  -0.388 -0.402  -0.388 -0.530  -0.321 -0.590  -0.321 -0.718  -0.254 -0.779  -0.208 -0.896  -0.186 -1.019  -0.186 -1.147  -0.121 -1.210  -0.078 -1.101  -0.028 -1.007  0.091 -0.970  0.150 -0.879  0.150 -0.751  0.218 -0.651  0.285 -0.590  0.318 -0.470  0.388 -0.365  0.431 -0.255  0.487 -0.151  0.517 -0.035  0.607 0.056  0.689 0.110  0.712 0.228  0.822 0.272  0.824 0.398  0.931 0.460  0.959 0.571  0.981 0.676  1.085 0.735  1.142 0.811  1.228 0.892  1.295 0.953  1.295 1.080
