2#apb#apb15#app1533/C  0.934 0.757  0.918 0.841  0.902 0.939  0.893 1.035  0.819 1.102  0.728 1.137  0.628 1.137  0.530 1.128  0.436 1.094  0.342 1.059  0.249 1.023  0.168 0.964  0.087 0.905  0.006 0.846  -0.075 0.788  -0.151 0.722  -0.225 0.655  -0.299 0.588  -0.373 0.520  -0.447 0.452  -0.507 0.372  -0.567 0.292  -0.627 0.212  -0.685 0.131  -0.722 0.038  -0.759 -0.055  -0.796 -0.148  -0.804 -0.246  -0.799 -0.346  -0.794 -0.446  -0.762 -0.537  -0.706 -0.619  -0.649 -0.702  -0.578 -0.769  -0.491 -0.817  -0.403 -0.865  -0.315 -0.913  -0.218 -0.935  -0.119 -0.951  -0.021 -0.968  0.078 -0.984  0.178 -0.980  0.278 -0.976  0.378 -0.972  0.478 -0.966  0.577 -0.950  0.676 -0.934  0.774 -0.917  0.870 -0.887  0.965 -0.858
2#apb#apb15#app1533/t  0.171 0.957  0.068 0.828  0.008 0.676  -0.040 0.518  -0.050 0.354  -0.050 0.189  -0.048 0.023  -0.028 -0.140  -0.007 -0.304  0.013 -0.468  0.034 -0.632  0.054 -0.796  0.075 -0.960  0.111 -1.122  0.148 -1.283  0.183 -1.444  0.216 -1.606  0.204 -1.634  0.134 -1.484  0.064 -1.334  -0.006 -1.185  -0.077 -1.035  -0.147 -0.886  -0.217 -0.736  -0.287 -0.586  -0.357 -0.437  -0.427 -0.287  -0.497 -0.137  -0.567 0.012  -0.637 0.162  -0.707 0.312  -0.777 0.461  -0.848 0.611  -0.918 0.761  -0.907 0.893  -0.742 0.893  -0.577 0.892  -0.413 0.867  -0.250 0.843  -0.086 0.818  0.077 0.796  0.242 0.782  0.407 0.768  0.571 0.755  0.736 0.741  0.901 0.731  1.066 0.724  1.231 0.717  1.396 0.711  1.561 0.704
2#apb#apb15#app1533/h  -0.369 1.995  -0.409 1.869  -0.448 1.744  -0.488 1.618  -0.516 1.490  -0.528 1.359  -0.541 1.228  -0.553 1.097  -0.550 0.966  -0.539 0.835  -0.527 0.704  -0.516 0.572  -0.505 0.441  -0.495 0.310  -0.485 0.179  -0.475 0.047  -0.465 -0.084  -0.444 -0.214  -0.421 -0.343  -0.398 -0.473  -0.379 -0.603  -0.362 -0.734  -0.344 -0.864  -0.292 -0.969  -0.200 -0.875  -0.118 -0.772  -0.035 -0.670  0.019 -0.551  0.064 -0.428  0.110 -0.304  0.159 -0.182  0.231 -0.072  0.302 0.039  0.374 0.149  0.430 0.267  0.467 0.297  0.495 0.168  0.503 0.037  0.503 -0.094  0.503 -0.226  0.520 -0.356  0.544 -0.486  0.568 -0.615  0.603 -0.742  0.642 -0.867  0.695 -0.986  0.778 -1.088  0.861 -1.190  0.965 -1.271  1.069 -1.352
2#apb#apb15#app1533/t  0.271 1.051  0.271 1.221  0.271 1.216  0.271 1.045  0.271 0.875  0.262 0.706  0.249 0.536  0.236 0.366  0.221 0.197  0.204 0.028  0.187 -0.141  0.171 -0.311  0.152 -0.480  0.132 -0.649  0.113 -0.818  0.091 -0.986  0.067 -1.155  0.043 -1.323  0.040 -1.493  0.040 -1.663  0.080 -1.803  0.028 -1.641  -0.023 -1.479  -0.075 -1.317  -0.126 -1.155  -0.178 -0.993  -0.229 -0.831  -0.281 -0.669  -0.332 -0.507  -0.384 -0.345  -0.435 -0.182  -0.487 -0.020  -0.538 0.142  -0.590 0.304  -0.642 0.466  -0.693 0.628  -0.745 0.790  -0.818 0.896  -0.684 0.805  -0.522 0.756  -0.352 0.756  -0.182 0.756  -0.012 0.760  0.157 0.777  0.326 0.794  0.495 0.810  0.665 0.820  0.835 0.820  1.005 0.820  1.175 0.820
2#apb#apb15#app1533/h  -0.415 1.940  -0.484 1.832  -0.547 1.723  -0.562 1.596  -0.577 1.470  -0.577 1.343  -0.567 1.216  -0.557 1.089  -0.547 0.962  -0.533 0.835  -0.519 0.708  -0.505 0.581  -0.491 0.455  -0.478 0.328  -0.465 0.201  -0.451 0.074  -0.438 -0.053  -0.427 -0.180  -0.417 -0.307  -0.407 -0.434  -0.397 -0.561  -0.366 -0.685  -0.335 -0.808  -0.308 -0.933  -0.284 -1.058  -0.254 -1.030  -0.206 -0.912  -0.137 -0.805  -0.067 -0.698  0.002 -0.591  0.076 -0.487  0.150 -0.383  0.224 -0.279  0.298 -0.175  0.372 -0.071  0.446 0.033  0.520 0.136  0.594 0.240  0.650 0.152  0.675 0.027  0.694 -0.099  0.709 -0.225  0.719 -0.353  0.741 -0.477  0.786 -0.596  0.830 -0.716  0.878 -0.834  0.928 -0.951  0.985 -1.065  1.042 -1.179
2#apb#apb15#app1533/e  -1.109 -0.335  -1.016 -0.335  -0.865 -0.271  -0.715 -0.202  -0.565 -0.133  -0.403 -0.120  -0.238 -0.120  -0.073 -0.120  0.091 -0.114  0.249 -0.065  0.406 -0.015  0.564 0.034  0.718 0.093  0.868 0.161  1.018 0.229  1.153 0.324  1.251 0.453  1.152 0.585  1.053 0.717  0.932 0.829  0.807 0.936  0.652 0.985  0.491 1.022  0.330 1.059  0.165 1.061  0.000 1.061  -0.159 1.029  -0.314 0.973  -0.468 0.914  -0.569 0.784  -0.671 0.654  -0.750 0.511  -0.811 0.357  -0.856 0.202  -0.845 0.037  -0.833 -0.128  -0.812 -0.290  -0.749 -0.442  -0.685 -0.595  -0.594 -0.723  -0.453 -0.809  -0.312 -0.895  -0.171 -0.981  -0.031 -1.068  0.126 -1.115  0.287 -1.152  0.448 -1.189  0.608 -1.226  0.769 -1.264  0.930 -1.301
2#apb#apb15#app1533/c  0.965 0.949  0.965 1.038  0.886 1.077  0.801 1.105  0.716 1.132  0.627 1.132  0.537 1.132  0.450 1.120  0.367 1.087  0.284 1.054  0.201 1.021  0.127 0.973  0.057 0.917  -0.013 0.861  -0.083 0.805  -0.153 0.749  -0.222 0.693  -0.290 0.635  -0.341 0.562  -0.392 0.488  -0.443 0.415  -0.494 0.341  -0.545 0.268  -0.566 0.183  -0.576 0.094  -0.587 0.005  -0.597 -0.084  -0.608 -0.172  -0.618 -0.261  -0.597 -0.348  -0.572 -0.434  -0.548 -0.519  -0.523 -0.605  -0.499 -0.691  -0.432 -0.750  -0.362 -0.806  -0.293 -0.862  -0.224 -0.919  -0.154 -0.975  -0.085 -1.032  -0.015 -1.088  0.072 -1.102  0.161 -1.112  0.250 -1.123  0.338 -1.133  0.427 -1.143  0.516 -1.153  0.605 -1.164  0.694 -1.174  0.783 -1.184
2#apb#apb15#app1533/l  0.070 1.680  0.039 1.617  0.009 1.555  -0.004 1.487  -0.017 1.418  -0.030 1.350  -0.043 1.282  -0.056 1.214  -0.069 1.145  -0.071 1.076  -0.071 1.006  -0.071 0.937  -0.071 0.867  -0.071 0.798  -0.071 0.729  -0.071 0.659  -0.068 0.590  -0.063 0.520  -0.059 0.451  -0.054 0.382  -0.050 0.312  -0.045 0.243  -0.041 0.174  -0.036 0.104  -0.032 0.035  -0.027 -0.034  -0.022 -0.104  -0.016 -0.173  -0.011 -0.242  -0.006 -0.312  -0.000 -0.381  0.005 -0.450  0.010 -0.519  0.016 -0.589  0.021 -0.658  0.026 -0.727  0.031 -0.797  0.036 -0.866  0.041 -0.935  0.046 -1.004  0.052 -1.074  0.059 -1.143  0.067 -1.212  0.074 -1.281  0.081 -1.350  0.089 -1.419  0.101 -1.488  0.115 -1.556  0.128 -1.624  0.130 -1.693
2#apb#apb15#app1533/i  -0.082 0.219  -0.084 0.112  -0.102 0.005  -0.119 -0.101  -0.131 -0.208  -0.131 -0.316  -0.131 -0.424  -0.131 -0.532  -0.131 -0.639  -0.131 -0.747  -0.131 -0.855  -0.131 -0.963  -0.131 -1.071  -0.131 -1.179  -0.110 -1.283  -0.073 -1.384  -0.036 -1.485  -0.028 -1.392  -0.023 -1.284  -0.017 -1.176  -0.012 -1.069  -0.006 -0.961  -0.001 -0.853  0.005 -0.746  0.010 -0.638  0.016 -0.530  0.022 -0.422  0.027 -0.315  0.033 -0.207  0.038 -0.099  0.044 0.008  0.049 0.116  0.055 0.224  0.060 0.332  0.066 0.439  0.071 0.547  0.077 0.655  0.083 0.762  0.088 0.870  0.094 0.978  0.099 1.086  0.105 1.193  0.110 1.301  0.116 1.409  0.121 1.516  0.127 1.624  0.132 1.732  0.135 1.839  0.084 1.931  0.138 1.980
2#apb#apb15#app1533/e  -1.479 -0.549  -1.382 -0.447  -1.232 -0.380  -1.080 -0.317  -0.927 -0.254  -0.775 -0.191  -0.620 -0.136  -0.463 -0.086  -0.306 -0.036  -0.149 0.014  0.009 0.061  0.169 0.103  0.328 0.144  0.487 0.186  0.642 0.244  0.795 0.303  0.934 0.385  1.051 0.501  1.066 0.660  1.010 0.808  0.919 0.945  0.786 1.031  0.633 1.092  0.471 1.101  0.307 1.090  0.142 1.080  -0.009 1.019  -0.159 0.950  -0.294 0.864  -0.395 0.733  -0.495 0.602  -0.582 0.464  -0.641 0.310  -0.700 0.156  -0.690 -0.005  -0.667 -0.169  -0.621 -0.322  -0.522 -0.454  -0.423 -0.586  -0.305 -0.699  -0.174 -0.799  -0.044 -0.900  0.107 -0.958  0.268 -0.994  0.428 -1.031  0.589 -1.067  0.752 -1.092  0.916 -1.108  1.080 -1.124  1.244 -1.141
2#apb#apb15#app1533/n  -0.890 0.635  -0.955 0.505  -0.995 0.367  -1.013 0.222  -0.995 0.079  -0.967 -0.064  -0.941 -0.208  -0.917 -0.352  -0.893 -0.496  -0.874 -0.640  -0.855 -0.785  -0.826 -0.928  -0.775 -0.860  -0.739 -0.719  -0.711 -0.576  -0.659 -0.441  -0.590 -0.313  -0.521 -0.185  -0.447 -0.059  -0.365 0.061  -0.283 0.182  -0.200 0.302  -0.118 0.423  -0.034 0.542  0.055 0.657  0.144 0.773  0.232 0.889  0.321 1.005  0.423 1.108  0.534 1.203  0.648 1.220  0.668 1.078  0.644 0.934  0.620 0.790  0.597 0.646  0.577 0.502  0.568 0.356  0.559 0.211  0.551 0.065  0.569 -0.077  0.610 -0.217  0.651 -0.357  0.692 -0.497  0.753 -0.629  0.825 -0.756  0.896 -0.883  0.968 -1.010  1.055 -1.126  1.152 -1.235  1.249 -1.344
2#apb#apb15#app1533/t  0.163 2.021  0.097 1.876  0.059 1.726  0.059 1.567  0.059 1.409  0.059 1.250  0.059 1.091  0.059 0.933  0.065 0.774  0.077 0.616  0.088 0.458  0.100 0.300  0.117 0.142  0.135 -0.016  0.152 -0.173  0.170 -0.331  0.187 -0.489  0.203 -0.646  0.220 -0.804  0.231 -0.962  0.239 -1.121  0.245 -1.279  0.234 -1.437  0.198 -1.584  0.092 -1.662  0.030 -1.516  -0.032 -1.370  -0.094 -1.224  -0.156 -1.078  -0.218 -0.932  -0.280 -0.786  -0.342 -0.640  -0.403 -0.494  -0.465 -0.348  -0.527 -0.202  -0.589 -0.056  -0.651 0.090  -0.713 0.236  -0.769 0.380  -0.622 0.429  -0.464 0.437  -0.306 0.429  -0.148 0.420  0.011 0.413  0.169 0.407  0.328 0.400  0.485 0.378  0.641 0.350  0.797 0.322  0.953 0.294
