2#apb#apb38#app3801/O  0.483 0.882  0.481 1.017  0.376 1.043  0.262 0.972  0.140 0.911  0.040 0.821  -0.057 0.724  -0.153 0.628  -0.249 0.532  -0.345 0.435  -0.430 0.329  -0.515 0.222  -0.601 0.117  -0.690 0.014  -0.778 -0.090  -0.840 -0.210  -0.895 -0.334  -0.959 -0.453  -1.045 -0.559  -1.090 -0.681  -1.100 -0.817  -1.077 -0.949  -0.990 -1.045  -0.868 -1.094  -0.733 -1.104  -0.602 -1.067  -0.471 -1.029  -0.351 -0.965  -0.231 -0.902  -0.111 -0.837  0.008 -0.771  0.127 -0.705  0.240 -0.629  0.342 -0.540  0.445 -0.451  0.536 -0.350  0.620 -0.243  0.704 -0.136  0.781 -0.024  0.859 0.088  0.943 0.195  1.020 0.304  1.031 0.440  1.031 0.576  1.008 0.708  0.935 0.823  0.851 0.930  0.752 1.023  0.644 1.106  0.521 1.149
2#apb#apb38#app3801/n  -0.682 0.470  -0.692 0.358  -0.703 0.247  -0.713 0.135  -0.723 0.023  -0.722 -0.088  -0.706 -0.199  -0.690 -0.310  -0.664 -0.419  -0.628 -0.525  -0.593 -0.631  -0.641 -0.730  -0.696 -0.827  -0.752 -0.924  -0.804 -1.023  -0.845 -0.986  -0.856 -0.879  -0.825 -0.771  -0.795 -0.664  -0.760 -0.557  -0.718 -0.453  -0.677 -0.349  -0.635 -0.245  -0.593 -0.141  -0.510 -0.068  -0.422 0.002  -0.335 0.073  -0.249 0.145  -0.163 0.216  -0.077 0.289  0.002 0.368  0.081 0.447  0.178 0.501  0.281 0.546  0.384 0.590  0.491 0.617  0.603 0.631  0.714 0.644  0.824 0.647  0.932 0.617  1.040 0.586  1.147 0.554  1.254 0.519  1.360 0.483  1.436 0.409  1.494 0.313  1.554 0.219  1.626 0.133  1.698 0.047  1.770 -0.039
2#apb#apb38#app3801/d  0.385 0.258  0.252 0.214  0.120 0.169  -0.013 0.125  -0.146 0.082  -0.279 0.040  -0.412 -0.001  -0.544 -0.047  -0.657 -0.129  -0.771 -0.210  -0.885 -0.291  -1.004 -0.363  -1.120 -0.439  -1.194 -0.540  -1.102 -0.644  -0.988 -0.721  -0.854 -0.761  -0.719 -0.799  -0.583 -0.831  -0.447 -0.862  -0.309 -0.874  -0.169 -0.874  -0.029 -0.875  0.110 -0.885  0.249 -0.895  0.388 -0.894  0.527 -0.879  0.665 -0.892  0.735 -0.816  0.732 -0.677  0.688 -0.544  0.644 -0.412  0.591 -0.283  0.532 -0.156  0.474 -0.029  0.432 0.104  0.394 0.239  0.356 0.373  0.325 0.509  0.293 0.645  0.264 0.782  0.236 0.919  0.246 1.053  0.290 1.186  0.331 1.319  0.331 1.459  0.331 1.599  0.363 1.734  0.421 1.856  0.519 1.955
2#apb#apb38#app3801/S  0.692 1.065  0.580 1.065  0.470 1.074  0.367 1.114  0.257 1.095  0.147 1.076  0.037 1.056  -0.069 1.028  -0.163 0.968  -0.258 0.909  -0.351 0.848  -0.444 0.786  -0.537 0.724  -0.629 0.663  -0.724 0.603  -0.822 0.550  -0.919 0.496  -0.996 0.421  -1.051 0.324  -1.044 0.226  -0.973 0.140  -0.892 0.074  -0.781 0.074  -0.670 0.067  -0.564 0.034  -0.457 0.001  -0.350 -0.029  -0.240 -0.047  -0.130 -0.065  -0.022 -0.091  0.085 -0.123  0.190 -0.160  0.284 -0.220  0.378 -0.280  0.473 -0.336  0.573 -0.386  0.664 -0.447  0.735 -0.533  0.781 -0.631  0.805 -0.740  0.815 -0.851  0.815 -0.962  0.767 -1.062  0.705 -1.155  0.643 -1.248  0.560 -1.316  0.460 -1.366  0.363 -1.420  0.267 -1.478  0.172 -1.535
2#apb#apb38#app3801/t  0.438 0.383  0.308 0.331  0.202 0.242  0.139 0.117  0.074 -0.006  0.006 -0.129  -0.039 -0.259  -0.070 -0.396  -0.103 -0.531  -0.144 -0.665  -0.175 -0.801  -0.186 -0.940  -0.196 -1.080  -0.223 -1.217  -0.248 -1.354  -0.248 -1.494  -0.134 -1.525  -0.155 -1.399  -0.192 -1.264  -0.229 -1.130  -0.267 -0.995  -0.304 -0.860  -0.341 -0.726  -0.379 -0.591  -0.416 -0.456  -0.453 -0.322  -0.491 -0.187  -0.528 -0.052  -0.565 0.083  -0.603 0.217  -0.640 0.352  -0.677 0.487  -0.705 0.623  -0.632 0.652  -0.496 0.683  -0.360 0.717  -0.228 0.761  -0.103 0.824  0.022 0.886  0.160 0.901  0.299 0.912  0.438 0.930  0.575 0.955  0.714 0.973  0.853 0.984  0.991 1.000  1.124 1.044  1.259 1.077  1.397 1.101  1.529 1.145
2#apb#apb38#app3801/.  1.884 1.119  1.788 1.047  1.692 0.975  1.596 0.903  1.499 0.831  1.403 0.758  1.307 0.686  1.211 0.614  1.114 0.542  1.018 0.470  0.922 0.397  0.826 0.325  0.729 0.253  0.633 0.181  0.532 0.117  0.424 0.063  0.317 0.009  0.209 -0.045  0.102 -0.098  -0.006 -0.152  -0.105 -0.218  -0.190 -0.303  -0.275 -0.388  -0.360 -0.473  -0.445 -0.558  -0.531 -0.643  -0.616 -0.728  -0.701 -0.813  -0.726 -0.754  -0.726 -0.634  -0.726 -0.514  -0.726 -0.393  -0.726 -0.273  -0.726 -0.153  -0.726 -0.033  -0.726 0.088  -0.726 0.073  -0.726 -0.048  -0.726 -0.168  -0.726 -0.288  -0.726 -0.408  -0.726 -0.496  -0.726 -0.375  -0.726 -0.255  -0.726 -0.135  -0.726 -0.015  -0.726 0.106  -0.726 0.055  -0.726 -0.066  -0.726 -0.186
2#apb#apb38#app3801/I  -0.120 0.857  -0.120 0.645  -0.098 0.434  -0.063 0.225  -0.021 0.017  -0.028 -0.193  -0.051 -0.404  -0.042 -0.616  -0.057 -0.822  -0.159 -0.856  -0.256 -0.667  -0.353 -0.478  -0.450 -0.289  -0.547 -0.100  -0.644 0.088  -0.741 0.277  -0.838 0.466  -0.909 0.639  -0.714 0.708  -0.523 0.799  -0.324 0.873  -0.121 0.932  0.086 0.980  0.295 1.019  0.504 1.057  0.709 1.112  0.914 1.167  1.118 1.226  1.216 1.217  1.091 1.045  0.967 0.873  0.843 0.701  0.718 0.529  0.594 0.357  0.470 0.185  0.346 0.013  0.221 -0.160  0.097 -0.332  -0.027 -0.504  -0.152 -0.676  -0.276 -0.848  -0.400 -1.020  -0.525 -1.192  -0.649 -1.364  -0.657 -1.477  -0.449 -1.444  -0.243 -1.394  -0.061 -1.296  0.111 -1.180  0.317 -1.128
2#apb#apb38#app3801/n  -1.086 -1.186  -1.086 -1.265  -1.063 -1.268  -1.019 -1.202  -0.975 -1.136  -0.931 -1.070  -0.887 -1.004  -0.843 -0.938  -0.799 -0.872  -0.755 -0.806  -0.711 -0.740  -0.667 -0.674  -0.623 -0.608  -0.579 -0.541  -0.535 -0.475  -0.491 -0.409  -0.447 -0.343  -0.403 -0.277  -0.359 -0.211  -0.315 -0.145  -0.271 -0.079  -0.227 -0.013  -0.183 0.053  -0.139 0.119  -0.095 0.185  -0.051 0.251  -0.007 0.317  0.037 0.383  0.081 0.449  0.125 0.515  0.174 0.576  0.240 0.620  0.306 0.664  0.372 0.708  0.432 0.760  0.488 0.817  0.558 0.839  0.637 0.839  0.717 0.839  0.796 0.839  0.872 0.829  0.934 0.780  0.996 0.730  1.056 0.679  1.081 0.604  1.106 0.529  1.132 0.454  1.133 0.374  1.133 0.295  1.133 0.216
2#apb#apb38#app3801/f  -0.489 -1.792  -0.542 -1.694  -0.595 -1.596  -0.648 -1.498  -0.700 -1.400  -0.700 -1.288  -0.700 -1.177  -0.700 -1.065  -0.707 -0.954  -0.714 -0.843  -0.721 -0.732  -0.728 -0.621  -0.704 -0.513  -0.669 -0.408  -0.630 -0.303  -0.576 -0.206  -0.522 -0.108  -0.467 -0.011  -0.411 0.085  -0.355 0.181  -0.299 0.277  -0.228 0.363  -0.149 0.441  -0.071 0.520  0.009 0.598  0.093 0.671  0.177 0.745  0.264 0.813  0.358 0.873  0.452 0.933  0.546 0.993  0.650 1.033  0.756 1.068  0.861 1.103  0.903 1.084  0.853 0.984  0.802 0.885  0.751 0.786  0.700 0.687  0.650 0.587  0.599 0.488  0.548 0.389  0.497 0.290  0.446 0.191  0.396 0.091  0.345 -0.008  0.294 -0.107  0.272 -0.207  0.357 -0.278  0.443 -0.349
2#apb#apb38#app3801/i  -0.419 -0.416  -0.371 -0.466  -0.351 -0.553  -0.332 -0.640  -0.313 -0.727  -0.298 -0.814  -0.286 -0.902  -0.273 -0.990  -0.249 -1.075  -0.220 -1.160  -0.191 -1.243  -0.151 -1.323  -0.119 -1.358  -0.107 -1.270  -0.096 -1.182  -0.084 -1.093  -0.073 -1.005  -0.061 -0.917  -0.050 -0.829  -0.038 -0.741  -0.027 -0.653  -0.015 -0.565  -0.003 -0.477  0.008 -0.389  0.020 -0.301  0.031 -0.213  0.043 -0.124  0.054 -0.036  0.066 0.052  0.077 0.140  0.089 0.228  0.100 0.316  0.112 0.404  0.123 0.492  0.135 0.580  0.146 0.668  0.158 0.756  0.170 0.845  0.181 0.933  0.193 1.021  0.204 1.109  0.216 1.197  0.227 1.285  0.239 1.373  0.250 1.461  0.262 1.549  0.273 1.637  0.285 1.725  0.252 1.806  0.212 1.885
2#apb#apb38#app3801/n  -0.992 0.357  -1.027 0.253  -1.061 0.150  -1.096 0.047  -1.089 -0.060  -1.072 -0.168  -1.056 -0.276  -1.039 -0.384  -1.024 -0.492  -1.012 -0.600  -1.000 -0.708  -0.956 -0.779  -0.951 -0.702  -0.876 -0.623  -0.815 -0.533  -0.755 -0.442  -0.694 -0.351  -0.634 -0.260  -0.574 -0.170  -0.513 -0.079  -0.453 0.012  -0.392 0.102  -0.326 0.189  -0.256 0.272  -0.186 0.356  -0.109 0.433  -0.032 0.510  0.056 0.573  0.150 0.627  0.245 0.681  0.336 0.741  0.439 0.760  0.548 0.760  0.643 0.716  0.730 0.650  0.784 0.556  0.838 0.461  0.899 0.371  0.976 0.294  1.053 0.217  1.086 0.115  1.115 0.010  1.143 -0.095  1.174 -0.200  1.228 -0.295  1.282 -0.389  1.317 -0.489  1.317 -0.598  1.317 -0.707  1.317 -0.816
2#apb#apb38#app3801/i  -0.128 -0.280  -0.205 -0.271  -0.171 -0.287  -0.171 -0.386  -0.192 -0.482  -0.219 -0.578  -0.246 -0.673  -0.278 -0.767  -0.313 -0.860  -0.347 -0.952  -0.382 -1.045  -0.376 -1.143  -0.364 -1.241  -0.352 -1.339  -0.334 -1.370  -0.307 -1.275  -0.279 -1.180  -0.252 -1.084  -0.224 -0.989  -0.197 -0.894  -0.170 -0.799  -0.142 -0.704  -0.115 -0.608  -0.087 -0.513  -0.060 -0.418  -0.033 -0.323  -0.005 -0.228  0.022 -0.132  0.050 -0.037  0.077 0.058  0.104 0.153  0.132 0.248  0.159 0.344  0.187 0.439  0.214 0.534  0.241 0.629  0.269 0.724  0.296 0.820  0.324 0.915  0.351 1.010  0.378 1.105  0.406 1.201  0.433 1.296  0.461 1.391  0.455 1.481  0.401 1.563  0.346 1.646  0.281 1.716  0.187 1.747  0.175 1.837
2#apb#apb38#app3801/t  0.459 1.655  0.379 1.527  0.300 1.400  0.259 1.260  0.248 1.110  0.236 0.960  0.220 0.811  0.186 0.665  0.152 0.519  0.119 0.373  0.112 0.223  0.112 0.073  0.112 -0.077  0.112 -0.227  0.104 -0.377  0.095 -0.527  0.086 -0.677  0.077 -0.827  0.073 -0.977  0.073 -1.127  0.073 -1.277  0.094 -1.426  0.112 -1.574  0.112 -1.725  0.092 -1.685  0.062 -1.538  0.031 -1.391  0.000 -1.244  -0.030 -1.097  -0.061 -0.950  -0.091 -0.803  -0.122 -0.656  -0.153 -0.509  -0.183 -0.362  -0.214 -0.215  -0.245 -0.068  -0.275 0.079  -0.306 0.226  -0.336 0.373  -0.367 0.520  -0.398 0.667  -0.428 0.814  -0.459 0.961  -0.467 1.110  -0.364 1.011  -0.219 0.999  -0.069 0.999  0.082 0.999  0.232 0.999  0.382 0.999
2#apb#apb38#app3801/e  -0.260 0.214  -0.136 0.225  -0.012 0.236  0.112 0.247  0.228 0.283  0.337 0.344  0.445 0.404  0.556 0.459  0.674 0.499  0.787 0.548  0.882 0.627  0.978 0.707  1.030 0.816  1.017 0.936  0.944 1.001  0.819 1.001  0.695 1.001  0.571 1.001  0.446 1.001  0.322 1.001  0.217 0.945  0.117 0.870  0.018 0.796  -0.072 0.710  -0.153 0.617  -0.235 0.523  -0.313 0.427  -0.377 0.320  -0.441 0.213  -0.505 0.107  -0.572 0.002  -0.641 -0.102  -0.699 -0.210  -0.723 -0.331  -0.748 -0.453  -0.772 -0.575  -0.792 -0.698  -0.808 -0.820  -0.774 -0.940  -0.740 -1.059  -0.658 -1.148  -0.562 -1.227  -0.458 -1.287  -0.335 -1.303  -0.212 -1.318  -0.088 -1.322  0.037 -1.322  0.161 -1.322  0.285 -1.322  0.410 -1.322
2#apb#apb38#app3801/L  -0.393 1.587  -0.327 1.661  -0.242 1.617  -0.150 1.570  -0.051 1.537  0.047 1.503  0.129 1.438  0.187 1.359  0.204 1.256  0.221 1.154  0.237 1.051  0.245 0.947  0.253 0.843  0.261 0.739  0.254 0.635  0.241 0.531  0.229 0.428  0.217 0.324  0.195 0.224  0.146 0.132  0.097 0.040  0.049 -0.053  -0.000 -0.145  -0.056 -0.232  -0.132 -0.303  -0.209 -0.373  -0.285 -0.444  -0.362 -0.515  -0.429 -0.594  -0.491 -0.678  -0.552 -0.762  -0.614 -0.846  -0.688 -0.920  -0.712 -1.007  -0.608 -1.007  -0.505 -0.990  -0.403 -0.970  -0.301 -0.947  -0.199 -0.925  -0.100 -0.892  -0.001 -0.859  0.100 -0.837  0.204 -0.826  0.307 -0.816  0.412 -0.816  0.516 -0.816  0.615 -0.786  0.713 -0.750  0.814 -0.734  0.918 -0.734
2#apb#apb38#app3801/o  0.743 0.638  0.726 0.744  0.601 0.733  0.477 0.722  0.352 0.710  0.228 0.699  0.103 0.688  -0.021 0.676  -0.135 0.628  -0.245 0.570  -0.355 0.511  -0.466 0.452  -0.576 0.393  -0.686 0.333  -0.795 0.274  -0.905 0.214  -1.009 0.146  -1.098 0.058  -1.186 -0.030  -1.274 -0.119  -1.336 -0.212  -1.280 -0.323  -1.213 -0.426  -1.114 -0.503  -1.016 -0.580  -0.917 -0.656  -0.794 -0.674  -0.670 -0.689  -0.546 -0.705  -0.422 -0.720  -0.300 -0.717  -0.182 -0.676  -0.064 -0.634  0.054 -0.593  0.172 -0.551  0.289 -0.507  0.399 -0.448  0.509 -0.389  0.620 -0.331  0.730 -0.272  0.838 -0.210  0.939 -0.136  1.040 -0.063  1.141 0.011  1.236 0.091  1.319 0.185  1.401 0.279  1.483 0.374  1.563 0.470  1.643 0.566
2#apb#apb38#app3801/o  0.934 0.775  0.987 0.892  0.887 0.935  0.762 0.962  0.647 0.899  0.532 0.836  0.417 0.773  0.301 0.712  0.186 0.651  0.070 0.589  -0.046 0.528  -0.162 0.468  -0.280 0.409  -0.397 0.350  -0.514 0.292  -0.631 0.233  -0.745 0.169  -0.854 0.096  -0.963 0.023  -1.072 -0.049  -1.182 -0.122  -1.247 -0.235  -1.312 -0.349  -1.312 -0.480  -1.305 -0.606  -1.178 -0.638  -1.051 -0.670  -0.925 -0.708  -0.800 -0.747  -0.675 -0.785  -0.548 -0.774  -0.421 -0.743  -0.294 -0.711  -0.167 -0.679  -0.042 -0.638  0.080 -0.592  0.203 -0.546  0.326 -0.500  0.446 -0.447  0.563 -0.389  0.680 -0.330  0.797 -0.272  0.895 -0.188  0.983 -0.090  1.071 0.007  1.154 0.108  1.230 0.215  1.294 0.327  1.323 0.455  1.351 0.583
2#apb#apb38#app3801/p  -0.302 0.416  -0.320 0.527  -0.305 0.638  -0.232 0.721  -0.142 0.788  -0.043 0.842  0.061 0.884  0.169 0.913  0.281 0.930  0.393 0.940  0.506 0.941  0.618 0.941  0.731 0.931  0.840 0.909  0.946 0.869  1.001 0.780  0.974 0.678  0.894 0.599  0.817 0.516  0.740 0.434  0.664 0.351  0.557 0.319  0.448 0.291  0.338 0.268  0.226 0.254  0.114 0.240  0.002 0.229  -0.111 0.220  -0.224 0.217  -0.234 0.202  -0.229 0.128  -0.209 0.018  -0.199 -0.093  -0.214 -0.205  -0.232 -0.316  -0.270 -0.422  -0.307 -0.529  -0.346 -0.634  -0.392 -0.737  -0.438 -0.840  -0.484 -0.943  -0.529 -1.046  -0.575 -1.150  -0.621 -1.253  -0.662 -1.358  -0.701 -1.463  -0.738 -1.570  -0.757 -1.681  -0.767 -1.792  -0.736 -1.900
