2#tos#t1#t1017065/!  0.146 1.559  0.146 1.613  0.146 1.540  0.146 1.468  0.108 1.432  0.083 1.385  0.083 1.313  0.083 1.240  0.083 1.167  0.083 1.094  0.083 1.021  0.083 0.949  0.083 0.876  0.083 0.803  0.083 0.730  0.083 0.658  0.083 0.585  0.083 0.512  0.083 0.439  0.083 0.367  0.083 0.294  0.083 0.221  0.083 0.148  0.083 0.075  0.083 0.003  0.083 -0.070  0.029 -0.089  0.019 -0.152  0.018 -0.225  0.005 -0.297  -0.008 -0.368  -0.020 -0.440  -0.033 -0.511  -0.046 -0.583  -0.058 -0.655  -0.071 -0.726  -0.084 -0.798  -0.096 -0.870  -0.109 -0.941  -0.122 -1.013  -0.134 -1.085  -0.147 -1.156  -0.159 -1.228  -0.171 -1.300  -0.171 -1.373  -0.197 -1.420  -0.234 -1.455  -0.234 -1.528  -0.234 -1.600  -0.171 -1.610
2#tos#t1#t1017065/P  0.046 1.141  -0.164 1.086  -0.232 0.935  -0.232 0.716  -0.288 0.510  -0.304 0.308  -0.343 0.128  -0.343 -0.091  -0.398 -0.301  -0.421 -0.515  -0.455 -0.726  -0.515 -0.920  -0.566 -1.118  -0.566 -1.336  -0.566 -1.555  -0.676 -1.690  -0.641 -1.474  -0.606 -1.258  -0.571 -1.042  -0.535 -0.826  -0.500 -0.610  -0.465 -0.394  -0.429 -0.178  -0.394 0.038  -0.359 0.254  -0.324 0.470  -0.288 0.687  -0.253 0.903  -0.254 1.030  -0.038 1.044  0.167 1.108  0.381 1.141  0.600 1.141  0.768 1.090  0.927 1.030  0.979 0.863  1.031 0.697  1.157 0.561  1.136 0.363  1.084 0.197  0.976 0.085  0.879 -0.079  0.768 -0.229  0.657 -0.337  0.477 -0.386  0.310 -0.470  0.147 -0.526  -0.072 -0.526  -0.291 -0.526  -0.399 -0.415
2#tos#t1#t1017065/R  -0.001 1.176  -0.237 1.079  -0.276 0.851  -0.276 0.595  -0.276 0.339  -0.331 0.096  -0.363 -0.153  -0.386 -0.403  -0.444 -0.650  -0.525 -0.893  -0.551 -1.145  -0.606 -1.346  -0.758 -1.507  -0.729 -1.287  -0.684 -1.035  -0.638 -0.783  -0.593 -0.531  -0.548 -0.279  -0.502 -0.027  -0.457 0.225  -0.411 0.477  -0.366 0.729  -0.321 0.981  -0.276 1.233  -0.072 1.286  0.116 1.396  0.372 1.396  0.604 1.373  0.786 1.214  0.850 0.985  0.934 0.764  0.874 0.565  0.693 0.384  0.616 0.186  0.439 0.106  0.248 -0.006  0.003 -0.035  -0.198 -0.090  -0.399 -0.145  -0.502 -0.090  -0.287 -0.188  -0.061 -0.307  0.126 -0.420  0.314 -0.530  0.439 -0.693  0.604 -0.784  0.730 -0.915  0.931 -0.970  1.073 -1.094  1.320 -1.135
2#tos#t1#t1017065/T  -1.406 0.575  -1.501 0.503  -1.384 0.480  -1.244 0.480  -1.104 0.480  -0.965 0.480  -0.825 0.480  -0.685 0.480  -0.546 0.480  -0.406 0.480  -0.266 0.480  -0.127 0.480  0.013 0.480  0.153 0.480  0.288 0.453  0.424 0.433  0.564 0.433  0.656 0.386  0.796 0.386  0.935 0.386  1.071 0.396  1.195 0.433  1.335 0.433  1.214 0.423  1.075 0.413  0.936 0.403  0.797 0.392  0.657 0.382  0.518 0.372  0.379 0.361  0.239 0.351  0.100 0.341  -0.031 0.330  -0.037 0.196  -0.126 0.117  -0.126 -0.022  -0.126 -0.162  -0.173 -0.282  -0.173 -0.421  -0.173 -0.561  -0.173 -0.701  -0.173 -0.840  -0.173 -0.980  -0.173 -1.120  -0.173 -1.259  -0.173 -1.399  -0.221 -1.519  -0.221 -1.659  -0.221 -1.798  -0.221 -1.938
2#tos#t1#t1017065/U  -0.426 1.243  -0.548 1.243  -0.568 1.131  -0.597 1.016  -0.647 0.944  -0.683 0.857  -0.695 0.737  -0.725 0.621  -0.725 0.499  -0.725 0.377  -0.725 0.255  -0.767 0.175  -0.768 0.054  -0.768 -0.068  -0.768 -0.190  -0.768 -0.312  -0.768 -0.434  -0.768 -0.556  -0.729 -0.650  -0.640 -0.707  -0.611 -0.822  -0.516 -0.891  -0.437 -0.936  -0.323 -0.954  -0.211 -0.978  -0.089 -0.978  0.033 -0.978  0.112 -0.936  0.216 -0.892  0.302 -0.808  0.424 -0.808  0.503 -0.765  0.514 -0.653  0.558 -0.550  0.662 -0.488  0.685 -0.376  0.727 -0.271  0.800 -0.180  0.813 -0.063  0.813 0.059  0.813 0.181  0.840 0.298  0.855 0.418  0.855 0.540  0.855 0.661  0.855 0.783  0.897 0.880  0.941 0.974  0.941 1.096  0.984 1.200
2#tos#t1#t1017065/V  -0.861 1.176  -0.954 1.115  -0.954 0.988  -0.954 0.860  -0.907 0.752  -0.879 0.637  -0.815 0.564  -0.815 0.436  -0.784 0.313  -0.768 0.187  -0.701 0.088  -0.644 -0.016  -0.629 -0.137  -0.582 -0.245  -0.538 -0.354  -0.489 -0.433  -0.489 -0.561  -0.443 -0.669  -0.421 -0.775  -0.396 -0.877  -0.316 -0.954  -0.289 -1.068  -0.211 -1.136  -0.140 -1.193  -0.071 -1.134  -0.004 -1.059  0.022 -0.937  0.114 -0.867  0.115 -0.740  0.207 -0.679  0.241 -0.572  0.300 -0.482  0.348 -0.401  0.393 -0.284  0.449 -0.208  0.539 -0.118  0.579 -0.007  0.625 0.074  0.625 0.201  0.625 0.329  0.656 0.448  0.745 0.526  0.860 0.575  0.904 0.684  0.910 0.809  1.016 0.879  1.127 0.940  1.183 1.015  1.195 1.130  1.276 1.176
2#tos#t1#t1017065/Y  -1.130 0.802  -1.196 0.745  -1.082 0.659  -0.982 0.567  -0.859 0.484  -0.718 0.426  -0.572 0.382  -0.509 0.284  -0.363 0.237  -0.243 0.150  -0.142 0.062  -0.017 0.002  0.114 0.084  0.243 0.174  0.371 0.265  0.500 0.355  0.628 0.445  0.756 0.536  0.885 0.626  1.013 0.716  1.142 0.807  1.265 0.896  1.202 0.802  1.065 0.755  0.951 0.685  0.856 0.614  0.734 0.564  0.643 0.473  0.495 0.452  0.384 0.341  0.258 0.250  0.140 0.166  0.052 0.096  -0.048 0.040  -0.154 -0.020  -0.267 -0.092  -0.330 -0.185  -0.330 -0.248  -0.330 -0.405  -0.330 -0.562  -0.330 -0.719  -0.330 -0.876  -0.424 -0.939  -0.424 -1.096  -0.424 -1.253  -0.424 -1.410  -0.424 -1.567  -0.424 -1.724  -0.460 -1.867  -0.424 -1.972
2#tos#t1#t1017065/b  0.293 1.866  0.119 1.751  0.011 1.632  -0.054 1.450  -0.102 1.261  -0.200 1.080  -0.200 0.871  -0.203 0.663  -0.270 0.470  -0.270 0.261  -0.379 0.085  -0.411 -0.114  -0.411 -0.323  -0.481 -0.503  -0.502 -0.707  -0.551 -0.904  -0.551 -1.113  -0.574 -1.299  -0.604 -1.139  -0.581 -0.931  -0.558 -0.724  -0.535 -0.516  -0.512 -0.308  -0.489 -0.101  -0.466 0.107  -0.443 0.315  -0.419 0.522  -0.294 0.659  -0.088 0.671  0.099 0.706  0.243 0.811  0.452 0.811  0.661 0.811  0.725 0.660  0.823 0.492  0.926 0.326  0.987 0.178  0.996 -0.022  0.939 -0.174  0.887 -0.353  0.739 -0.501  0.644 -0.629  0.543 -0.737  0.433 -0.890  0.293 -0.958  0.214 -1.088  0.005 -1.088  -0.134 -1.159  -0.272 -1.088  -0.481 -1.088
2#tos#t1#t1017065/e  -0.334 0.475  -0.449 0.338  -0.526 0.191  -0.471 0.035  -0.463 -0.137  -0.284 -0.137  -0.104 -0.137  0.075 -0.137  0.255 -0.137  0.362 -0.042  0.482 0.051  0.631 0.091  0.704 0.255  0.755 0.426  0.755 0.605  0.755 0.785  0.698 0.941  0.662 1.100  0.502 1.180  0.333 1.224  0.153 1.224  -0.026 1.224  -0.130 1.148  -0.181 1.020  -0.266 0.926  -0.336 0.816  -0.515 0.816  -0.621 0.734  -0.675 0.577  -0.675 0.397  -0.712 0.233  -0.811 0.095  -0.811 -0.085  -0.811 -0.264  -0.811 -0.444  -0.811 -0.623  -0.743 -0.734  -0.627 -0.866  -0.464 -0.934  -0.351 -1.057  -0.193 -1.092  -0.022 -1.149  0.156 -1.158  0.335 -1.158  0.514 -1.158  0.694 -1.158  0.873 -1.158  1.025 -1.092  1.204 -1.090  1.299 -0.954
2#tos#t1#t1017065/i  -0.412 1.394  -0.398 1.326  -0.316 1.326  -0.242 1.303  -0.173 1.257  -0.105 1.212  -0.030 1.190  0.052 1.190  0.066 1.122  0.148 1.122  0.198 1.091  0.244 1.054  0.266 0.995  0.266 0.913  0.266 0.831  0.266 0.749  0.266 0.667  0.266 0.585  0.266 0.503  0.244 0.444  0.198 0.407  0.176 0.331  0.139 0.258  0.131 0.178  0.124 0.098  0.067 0.040  0.009 -0.018  -0.005 -0.094  -0.009 -0.175  -0.046 -0.248  -0.073 -0.323  -0.073 -0.405  -0.095 -0.482  -0.131 -0.555  -0.141 -0.635  -0.141 -0.717  -0.141 -0.799  -0.141 -0.881  -0.141 -0.963  -0.141 -1.045  -0.141 -1.127  -0.141 -1.208  -0.141 -1.290  -0.141 -1.372  -0.141 -1.454  -0.073 -1.468  -0.073 -1.550  -0.033 -1.592  0.049 -1.592  0.131 -1.592
2#tos#t1#t1017065/k  -0.356 2.052  -0.428 1.885  -0.428 1.645  -0.428 1.406  -0.428 1.166  -0.428 0.926  -0.500 0.704  -0.534 0.472  -0.572 0.242  -0.572 0.002  -0.630 -0.224  -0.644 -0.460  -0.644 -0.700  -0.644 -0.939  -0.644 -1.179  -0.788 -1.275  -0.666 -1.196  -0.505 -1.018  -0.345 -0.841  -0.184 -0.663  -0.023 -0.485  0.137 -0.307  0.298 -0.129  0.458 0.048  0.619 0.226  0.780 0.404  0.940 0.582  1.101 0.760  1.228 0.850  1.082 0.756  0.892 0.637  0.724 0.509  0.558 0.358  0.372 0.210  0.163 0.108  -0.061 0.040  -0.284 0.021  -0.467 -0.036  -0.572 -0.170  -0.702 -0.252  -0.462 -0.252  -0.356 -0.385  -0.134 -0.407  0.023 -0.540  0.263 -0.540  0.503 -0.540  0.589 -0.724  0.749 -0.828  0.940 -0.876  1.012 -1.044
2#tos#t1#t1017065/o  0.070 1.022  -0.080 1.022  -0.209 1.001  -0.241 0.883  -0.391 0.883  -0.488 0.830  -0.621 0.813  -0.697 0.739  -0.697 0.589  -0.782 0.492  -0.836 0.375  -0.926 0.280  -0.975 0.161  -0.975 0.011  -0.975 -0.139  -0.906 -0.219  -0.906 -0.369  -0.906 -0.519  -0.843 -0.643  -0.804 -0.783  -0.702 -0.859  -0.574 -0.913  -0.500 -0.999  -0.350 -0.999  -0.200 -0.999  -0.050 -0.999  0.100 -0.999  0.238 -0.949  0.384 -0.929  0.534 -0.929  0.598 -0.820  0.697 -0.711  0.787 -0.650  0.906 -0.620  0.906 -0.470  0.976 -0.349  1.046 -0.228  1.046 -0.078  1.046 0.072  1.046 0.222  0.941 0.308  0.869 0.414  0.767 0.500  0.657 0.571  0.558 0.650  0.558 0.800  0.450 0.883  0.300 0.883  0.150 0.883  0.000 0.883
2#tos#t1#t1017065/p  -0.207 1.173  -0.342 1.102  -0.419 0.973  -0.419 0.767  -0.348 0.632  -0.348 0.426  -0.348 0.220  -0.348 0.014  -0.348 -0.192  -0.348 -0.397  -0.348 -0.603  -0.348 -0.809  -0.370 -1.012  -0.419 -1.210  -0.419 -1.415  -0.419 -1.621  -0.419 -1.827  -0.400 -1.703  -0.377 -1.498  -0.354 -1.293  -0.331 -1.089  -0.307 -0.884  -0.284 -0.680  -0.261 -0.475  -0.238 -0.271  -0.214 -0.066  -0.191 0.139  -0.168 0.343  -0.145 0.548  -0.121 0.752  -0.098 0.957  -0.075 1.161  0.058 1.243  0.264 1.243  0.447 1.208  0.588 1.102  0.765 1.031  0.900 0.961  0.995 0.796  1.057 0.616  0.995 0.484  0.995 0.278  0.846 0.175  0.692 0.071  0.548 -0.029  0.413 -0.100  0.291 -0.236  0.159 -0.312  -0.018 -0.383  -0.207 -0.312
2#tos#t1#t1017065/s  0.633 1.054  0.567 1.121  0.500 1.187  0.433 1.253  0.301 1.254  0.187 1.208  0.063 1.187  -0.070 1.187  -0.203 1.187  -0.325 1.142  -0.428 1.060  -0.500 0.996  -0.500 0.863  -0.556 0.743  -0.567 0.613  -0.567 0.480  -0.460 0.454  -0.327 0.454  -0.253 0.359  -0.144 0.321  -0.011 0.321  0.122 0.321  0.233 0.298  0.296 0.191  0.427 0.187  0.476 0.078  0.500 -0.045  0.595 -0.094  0.700 -0.162  0.700 -0.295  0.700 -0.428  0.689 -0.556  0.580 -0.613  0.566 -0.732  0.477 -0.824  0.366 -0.888  0.359 -1.016  0.240 -1.076  0.114 -1.106  -0.009 -1.146  -0.142 -1.146  -0.248 -1.213  -0.381 -1.213  -0.514 -1.213  -0.579 -1.142  -0.705 -1.100  -0.834 -1.078  -0.834 -0.945  -0.834 -0.812  -0.834 -0.679
2#tos#t1#t1017065/v  -0.870 0.953  -0.980 0.953  -1.073 0.937  -1.073 0.827  -1.073 0.718  -1.020 0.630  -1.006 0.527  -0.977 0.424  -0.923 0.330  -0.870 0.242  -0.870 0.132  -0.834 0.038  -0.756 -0.039  -0.735 -0.140  -0.705 -0.241  -0.644 -0.332  -0.600 -0.428  -0.549 -0.517  -0.472 -0.594  -0.465 -0.701  -0.391 -0.736  -0.282 -0.736  -0.262 -0.827  -0.216 -0.917  -0.119 -0.931  -0.034 -0.872  0.055 -0.824  0.089 -0.736  0.182 -0.697  0.211 -0.600  0.242 -0.503  0.319 -0.425  0.350 -0.331  0.460 -0.331  0.521 -0.252  0.549 -0.149  0.611 -0.066  0.689 0.012  0.766 0.089  0.835 0.173  0.884 0.271  0.959 0.350  1.022 0.434  1.066 0.525  1.144 0.602  1.221 0.680  1.319 0.709  1.360 0.802  1.453 0.818  1.495 0.750
2#tos#t1#t1017065/x  -1.128 0.918  -1.254 0.848  -1.180 0.718  -1.085 0.560  -1.001 0.397  -0.915 0.286  -0.718 0.286  -0.685 0.121  -0.526 0.064  -0.468 -0.093  -0.290 -0.125  -0.202 -0.301  -0.038 -0.361  0.075 -0.474  0.221 -0.599  0.373 -0.708  0.502 -0.824  0.580 -0.955  0.690 -1.042  0.787 -0.926  0.815 -0.731  0.844 -0.535  0.873 -0.340  0.902 -0.145  0.930 0.050  0.959 0.246  0.988 0.441  1.016 0.636  1.045 0.832  1.074 1.027  0.971 1.108  0.833 0.975  0.755 0.855  0.621 0.792  0.487 0.729  0.390 0.591  0.264 0.520  0.129 0.404  0.020 0.242  -0.102 0.160  -0.216 0.014  -0.360 -0.112  -0.497 -0.223  -0.558 -0.406  -0.720 -0.517  -0.811 -0.636  -0.948 -0.762  -1.064 -0.863  -1.122 -1.037  -1.254 -1.105
2#tos#t1#t1017065/y  -0.665 1.096  -0.760 1.000  -0.721 0.863  -0.680 0.725  -0.628 0.614  -0.570 0.517  -0.473 0.423  -0.386 0.298  -0.279 0.206  -0.231 0.099  -0.140 0.035  -0.035 -0.010  0.061 0.111  0.158 0.232  0.254 0.352  0.351 0.473  0.447 0.594  0.544 0.714  0.640 0.835  0.737 0.956  0.833 1.076  0.920 1.192  0.798 1.112  0.733 0.985  0.685 0.850  0.671 0.710  0.626 0.592  0.557 0.453  0.531 0.305  0.492 0.160  0.483 0.007  0.444 -0.142  0.396 -0.276  0.396 -0.431  0.354 -0.543  0.344 -0.690  0.251 -0.787  0.203 -0.921  0.067 -0.977  -0.022 -1.098  -0.143 -1.174  -0.287 -1.218  -0.442 -1.218  -0.597 -1.218  -0.703 -1.266  -0.857 -1.266  -0.995 -1.225  -1.078 -1.122  -1.137 -1.025  -1.147 -0.977
