2#tos#t3#t3047062/\"  -0.634 1.167  -0.699 1.030  -0.842 0.942  -0.931 0.854  -1.051 0.796  -1.051 0.619  -1.051 0.442  -1.051 0.265  -1.051 0.088  -0.948 -0.015  -0.780 -0.071  -0.738 -0.217  -0.738 -0.394  -0.738 -0.571  -0.659 -0.724  -0.561 -0.871  -0.529 -1.039  -0.529 -1.216  -0.377 -1.283  -0.213 -1.329  -0.149 -1.164  -0.085 -0.999  -0.020 -0.835  0.044 -0.670  0.109 -0.505  0.173 -0.340  0.238 -0.175  0.302 -0.011  0.367 0.154  0.431 0.319  0.496 0.484  0.560 0.649  0.625 0.813  0.689 0.978  0.636 1.062  0.467 1.012  0.310 0.953  0.445 0.854  0.562 0.757  0.618 0.593  0.618 0.416  0.712 0.332  0.722 0.166  0.722 -0.011  0.768 -0.177  0.847 -0.335  0.927 -0.494  0.931 -0.670  0.962 -0.815  1.139 -0.815
2#tos#t3#t3047062/T  -1.556 0.530  -1.682 0.506  -1.624 0.454  -1.483 0.454  -1.342 0.454  -1.215 0.397  -1.078 0.378  -0.937 0.378  -0.796 0.378  -0.655 0.378  -0.517 0.361  -0.379 0.340  -0.238 0.340  -0.097 0.340  0.044 0.340  0.185 0.340  0.326 0.340  0.467 0.340  0.608 0.340  0.749 0.340  0.890 0.340  1.031 0.340  1.173 0.340  1.314 0.340  1.275 0.340  1.134 0.340  0.993 0.340  0.852 0.340  0.711 0.340  0.570 0.340  0.429 0.340  0.287 0.340  0.146 0.340  0.005 0.340  -0.077 0.259  -0.077 0.118  -0.077 -0.023  -0.056 -0.161  -0.039 -0.300  -0.012 -0.435  0.042 -0.564  0.066 -0.703  0.075 -0.843  0.075 -0.984  0.075 -1.126  0.075 -1.267  0.075 -1.408  0.075 -1.549  0.075 -1.690  0.113 -1.822
2#tos#t3#t3047062/Y  -1.155 1.042  -1.241 0.978  -1.241 0.828  -1.214 0.684  -1.131 0.561  -1.035 0.446  -0.982 0.307  -0.909 0.176  -0.819 0.056  -0.743 -0.063  -0.612 -0.127  -0.497 -0.214  -0.347 -0.214  -0.196 -0.212  -0.058 -0.157  0.054 -0.058  0.163 0.040  0.269 0.138  0.398 0.216  0.524 0.299  0.645 0.389  0.767 0.476  0.874 0.578  0.978 0.679  1.066 0.795  1.183 0.871  1.133 0.912  1.018 0.815  0.904 0.717  0.789 0.620  0.675 0.522  0.560 0.424  0.446 0.327  0.331 0.229  0.217 0.132  0.102 0.034  -0.021 -0.041  -0.116 -0.121  -0.116 -0.272  -0.116 -0.422  -0.116 -0.573  -0.116 -0.723  -0.099 -0.871  -0.072 -1.017  -0.072 -1.168  -0.072 -1.318  -0.045 -1.464  0.014 -1.602  0.014 -1.752  0.014 -1.903
2#tos#t3#t3047062/Z  -0.698 1.150  -0.802 1.128  -0.844 1.046  -0.772 1.046  -0.647 1.046  -0.522 1.046  -0.397 1.046  -0.272 1.046  -0.148 1.046  -0.032 1.076  0.081 1.115  0.206 1.115  0.331 1.115  0.448 1.081  0.475 0.983  0.475 0.858  0.424 0.746  0.371 0.637  0.311 0.537  0.255 0.427  0.208 0.311  0.116 0.232  0.064 0.123  -0.032 0.045  -0.115 -0.045  -0.146 -0.161  -0.210 -0.259  -0.291 -0.354  -0.372 -0.447  -0.457 -0.526  -0.457 -0.651  -0.540 -0.727  -0.595 -0.836  -0.626 -0.925  -0.542 -0.995  -0.456 -1.058  -0.331 -1.058  -0.207 -1.058  -0.082 -1.058  0.033 -1.010  0.154 -0.989  0.279 -0.989  0.396 -0.955  0.520 -0.950  0.623 -0.882  0.743 -0.851  0.867 -0.851  0.992 -0.851  1.086 -0.801  1.130 -0.713
2#tos#t3#t3047062/b  -0.385 2.022  -0.545 1.994  -0.543 1.805  -0.474 1.631  -0.439 1.447  -0.421 1.260  -0.376 1.077  -0.332 0.894  -0.332 0.705  -0.332 0.516  -0.309 0.331  -0.255 0.150  -0.185 -0.025  -0.172 -0.211  -0.172 -0.400  -0.172 -0.589  -0.172 -0.777  -0.172 -0.966  -0.172 -1.155  -0.172 -1.343  -0.185 -1.248  -0.203 -1.060  -0.221 -0.872  -0.238 -0.685  -0.256 -0.497  -0.273 -0.309  -0.291 -0.121  -0.309 0.067  -0.326 0.255  -0.385 0.390  -0.288 0.498  -0.119 0.583  0.069 0.583  0.258 0.583  0.437 0.560  0.591 0.476  0.751 0.406  0.801 0.236  0.896 0.073  0.948 -0.100  0.948 -0.288  0.914 -0.463  0.841 -0.622  0.727 -0.697  0.558 -0.766  0.413 -0.884  0.257 -0.988  0.095 -1.070  -0.049 -1.177  -0.225 -1.230
2#tos#t3#t3047062/d  0.276 0.123  0.108 0.099  -0.053 0.203  -0.239 0.249  -0.443 0.249  -0.636 0.207  -0.830 0.165  -0.948 0.066  -1.029 -0.079  -1.029 -0.282  -1.029 -0.486  -1.029 -0.690  -1.025 -0.892  -0.899 -1.029  -0.777 -1.158  -0.607 -1.224  -0.403 -1.224  -0.199 -1.224  -0.001 -1.190  0.181 -1.111  0.325 -0.989  0.476 -0.867  0.561 -0.718  0.537 -0.516  0.514 -0.313  0.490 -0.111  0.466 0.092  0.443 0.294  0.419 0.497  0.396 0.699  0.372 0.902  0.348 1.104  0.325 1.307  0.301 1.509  0.277 1.712  0.108 1.700  0.132 1.499  0.150 1.297  0.150 1.093  0.178 0.893  0.202 0.693  0.276 0.507  0.276 0.303  0.316 0.107  0.360 -0.088  0.360 -0.292  0.396 -0.490  0.444 -0.676  0.487 -0.862  0.529 -1.056
2#tos#t3#t3047062/h  -0.510 1.736  -0.584 1.695  -0.584 1.580  -0.584 1.465  -0.584 1.350  -0.584 1.235  -0.584 1.121  -0.584 1.006  -0.584 0.891  -0.584 0.776  -0.584 0.661  -0.584 0.546  -0.584 0.431  -0.570 0.318  -0.547 0.206  -0.547 0.091  -0.547 -0.024  -0.547 -0.139  -0.547 -0.254  -0.484 -0.350  -0.473 -0.462  -0.473 -0.577  -0.473 -0.691  -0.448 -0.796  -0.375 -0.845  -0.334 -0.918  -0.302 -0.821  -0.221 -0.740  -0.132 -0.682  -0.068 -0.587  0.004 -0.498  0.074 -0.408  0.166 -0.338  0.254 -0.265  0.316 -0.172  0.385 -0.107  0.448 -0.056  0.541 -0.033  0.596 -0.093  0.682 -0.131  0.749 -0.223  0.817 -0.310  0.885 -0.396  0.965 -0.478  1.043 -0.532  1.143 -0.580  1.218 -0.623  1.326 -0.656  1.440 -0.660  1.555 -0.660
2#tos#t3#t3047062/j  -0.248 1.847  -0.288 1.729  -0.359 1.650  -0.243 1.595  -0.128 1.539  0.006 1.539  0.088 1.440  0.131 1.347  0.121 1.213  0.111 1.079  0.100 0.945  0.001 0.885  -0.055 0.807  -0.041 0.678  0.022 0.570  0.060 0.451  0.091 0.323  0.099 0.191  0.099 0.056  0.111 -0.077  0.137 -0.207  0.137 -0.342  0.137 -0.476  0.137 -0.611  0.137 -0.746  0.137 -0.880  0.137 -1.015  0.115 -1.146  0.060 -1.239  0.037 -1.359  -0.058 -1.448  -0.147 -1.456  -0.248 -1.398  -0.323 -1.310  -0.342 -1.179  -0.363 -1.048  -0.363 -0.913  -0.363 -0.779  -0.363 -0.644  -0.296 -0.534  -0.241 -0.417  -0.121 -0.368  -0.017 -0.318  0.023 -0.205  0.129 -0.124  0.238 -0.046  0.322 0.043  0.455 0.065  0.552 0.136  0.676 0.154
2#tos#t3#t3047062/k  -0.342 2.267  -0.431 2.151  -0.431 1.946  -0.431 1.742  -0.431 1.537  -0.431 1.332  -0.403 1.129  -0.387 0.925  -0.382 0.721  -0.354 0.518  -0.342 0.314  -0.342 0.109  -0.342 -0.096  -0.342 -0.300  -0.342 -0.505  -0.342 -0.710  -0.342 -0.915  -0.342 -1.120  -0.297 -1.314  -0.192 -1.210  -0.068 -1.048  0.057 -0.885  0.182 -0.723  0.307 -0.561  0.432 -0.398  0.557 -0.236  0.682 -0.074  0.807 0.089  0.932 0.251  1.015 0.393  0.855 0.349  0.705 0.259  0.509 0.232  0.323 0.170  0.121 0.138  -0.059 0.047  -0.255 0.006  -0.441 -0.080  -0.631 -0.142  -0.785 -0.187  -0.604 -0.256  -0.463 -0.384  -0.268 -0.449  -0.081 -0.509  0.098 -0.608  0.287 -0.677  0.485 -0.715  0.652 -0.811  0.857 -0.811  1.041 -0.900
2#tos#t3#t3047062/l  0.024 1.409  -0.004 1.452  -0.076 1.452  -0.148 1.452  -0.151 1.471  -0.151 1.399  -0.151 1.327  -0.151 1.255  -0.151 1.183  -0.151 1.111  -0.131 1.042  -0.108 0.974  -0.094 0.904  -0.080 0.833  -0.065 0.763  -0.063 0.691  -0.063 0.619  -0.063 0.547  -0.063 0.475  -0.063 0.403  -0.063 0.331  -0.052 0.260  -0.038 0.190  -0.024 0.119  -0.012 0.048  0.000 -0.023  0.012 -0.094  0.024 -0.165  0.024 -0.237  0.024 -0.309  0.024 -0.381  0.024 -0.453  0.024 -0.525  0.024 -0.597  0.024 -0.668  0.024 -0.740  0.039 -0.809  0.071 -0.873  0.103 -0.938  0.112 -1.008  0.112 -1.080  0.112 -1.152  0.112 -1.224  0.112 -1.296  0.125 -1.362  0.168 -1.418  0.199 -1.483  0.199 -1.555  0.199 -1.627  0.199 -1.699
2#tos#t3#t3047062/r  -0.234 1.622  -0.401 1.622  -0.484 1.537  -0.468 1.371  -0.427 1.209  -0.421 1.042  -0.421 0.874  -0.376 0.717  -0.301 0.567  -0.296 0.401  -0.296 0.233  -0.296 0.066  -0.296 -0.102  -0.277 -0.267  -0.237 -0.430  -0.234 -0.597  -0.234 -0.765  -0.221 -0.931  -0.180 -1.094  -0.168 -1.259  -0.108 -1.402  -0.108 -1.569  -0.110 -1.652  -0.115 -1.484  -0.120 -1.317  -0.125 -1.149  -0.130 -0.981  -0.135 -0.814  -0.140 -0.646  -0.145 -0.479  -0.150 -0.311  -0.155 -0.144  -0.160 0.024  -0.166 0.191  -0.171 0.359  -0.327 0.371  -0.473 0.371  -0.305 0.371  -0.138 0.371  0.030 0.371  0.198 0.371  0.365 0.371  0.533 0.371  0.700 0.371  0.868 0.371  1.036 0.371  1.203 0.371  1.371 0.371  1.539 0.371  1.706 0.371
2#tos#t3#t3047062/s  -0.136 1.373  -0.249 1.373  -0.362 1.373  -0.422 1.321  -0.530 1.315  -0.585 1.258  -0.640 1.165  -0.714 1.081  -0.766 0.990  -0.782 0.881  -0.823 0.778  -0.823 0.665  -0.769 0.575  -0.730 0.479  -0.649 0.400  -0.562 0.353  -0.500 0.259  -0.411 0.194  -0.304 0.171  -0.191 0.171  -0.079 0.171  0.028 0.136  0.137 0.114  0.237 0.084  0.339 0.057  0.452 0.057  0.564 0.057  0.677 0.057  0.770 0.009  0.878 -0.000  0.893 -0.098  0.893 -0.211  0.893 -0.323  0.862 -0.416  0.779 -0.478  0.745 -0.583  0.695 -0.683  0.632 -0.776  0.543 -0.844  0.449 -0.906  0.368 -0.983  0.288 -1.063  0.185 -1.087  0.074 -1.093  -0.033 -1.129  -0.079 -1.208  -0.142 -1.259  -0.254 -1.259  -0.367 -1.259  -0.480 -1.259
2#tos#t3#t3047062/v  -1.022 0.786  -1.022 0.892  -1.100 0.920  -1.206 0.920  -1.135 0.920  -1.070 0.862  -1.037 0.762  -0.962 0.719  -0.888 0.686  -0.886 0.581  -0.827 0.493  -0.768 0.404  -0.754 0.303  -0.717 0.212  -0.642 0.137  -0.620 0.040  -0.581 -0.044  -0.493 -0.103  -0.414 -0.169  -0.380 -0.269  -0.340 -0.366  -0.265 -0.441  -0.218 -0.527  -0.183 -0.625  -0.127 -0.713  -0.052 -0.788  -0.017 -0.880  0.069 -0.932  0.169 -0.956  0.250 -0.931  0.250 -0.826  0.342 -0.776  0.437 -0.729  0.525 -0.675  0.572 -0.580  0.610 -0.481  0.643 -0.381  0.660 -0.279  0.734 -0.204  0.809 -0.129  0.884 -0.054  0.959 0.021  1.034 0.095  1.109 0.170  1.149 0.267  1.183 0.367  1.251 0.446  1.325 0.522  1.372 0.617  1.389 0.719
2#tos#t3#t3047062/x  -0.987 0.988  -1.166 0.988  -1.087 0.988  -0.930 0.912  -0.849 0.769  -0.714 0.676  -0.571 0.600  -0.497 0.441  -0.392 0.296  -0.305 0.139  -0.165 0.028  -0.036 -0.094  0.076 -0.226  0.217 -0.304  0.249 -0.466  0.397 -0.567  0.524 -0.694  0.674 -0.788  0.835 -0.834  0.905 -0.937  0.911 -0.758  0.916 -0.578  0.922 -0.399  0.927 -0.220  0.932 -0.040  0.938 0.139  0.943 0.318  0.949 0.498  0.954 0.677  0.960 0.857  0.862 0.910  0.691 0.874  0.583 0.782  0.421 0.712  0.360 0.576  0.193 0.509  0.091 0.394  0.011 0.233  -0.126 0.129  -0.269 0.030  -0.365 -0.121  -0.431 -0.288  -0.522 -0.439  -0.649 -0.565  -0.776 -0.692  -0.884 -0.835  -1.010 -0.957  -1.133 -1.080  -1.245 -1.218  -1.331 -1.362
