2#tos#f2#f2059065/\"  -0.860 1.188  -0.893 1.072  -0.975 1.007  -0.975 0.858  -0.975 0.710  -0.975 0.562  -0.950 0.418  -0.903 0.277  -0.851 0.140  -0.746 0.035  -0.745 -0.113  -0.745 -0.261  -0.745 -0.409  -0.745 -0.558  -0.745 -0.706  -0.745 -0.854  -0.745 -1.002  -0.727 -1.096  -0.640 -0.976  -0.553 -0.856  -0.467 -0.736  -0.380 -0.615  -0.293 -0.495  -0.206 -0.375  -0.119 -0.255  -0.032 -0.135  0.054 -0.014  0.141 0.106  0.228 0.226  0.315 0.346  0.402 0.466  0.488 0.586  0.575 0.707  0.662 0.827  0.749 0.947  0.871 0.936  0.871 0.788  0.871 0.640  0.871 0.492  0.871 0.343  0.871 0.195  0.871 0.047  0.871 -0.102  0.888 -0.247  0.935 -0.388  0.982 -0.528  0.987 -0.676  1.036 -0.774  1.102 -0.857  1.218 -0.890
2#tos#f2#f2059065/N  -0.682 0.946  -0.814 1.073  -0.781 0.832  -0.781 0.574  -0.781 0.315  -0.781 0.056  -0.781 -0.202  -0.781 -0.461  -0.777 -0.719  -0.748 -0.975  -0.715 -1.186  -0.719 -0.927  -0.724 -0.669  -0.728 -0.410  -0.732 -0.152  -0.737 0.107  -0.741 0.365  -0.746 0.624  -0.782 0.848  -0.912 1.022  -0.734 0.926  -0.557 0.747  -0.433 0.522  -0.272 0.323  -0.132 0.107  0.016 -0.101  0.172 -0.301  0.317 -0.513  0.475 -0.717  0.647 -0.909  0.835 -1.064  0.958 -1.025  0.941 -0.767  0.925 -0.509  0.908 -0.251  0.892 0.007  0.876 0.265  0.859 0.523  0.843 0.782  0.739 0.946  0.605 1.108  0.668 0.898  0.668 0.639  0.668 0.381  0.681 0.123  0.701 -0.133  0.701 -0.392  0.723 -0.648  0.752 -0.903  0.799 -1.127
2#tos#f2#f2059065/P  -0.479 0.878  -0.402 0.743  -0.326 0.557  -0.326 0.346  -0.284 0.140  -0.249 -0.066  -0.249 -0.277  -0.249 -0.489  -0.249 -0.700  -0.249 -0.911  -0.249 -1.122  -0.249 -1.334  -0.218 -1.541  -0.199 -1.749  -0.138 -1.687  -0.159 -1.477  -0.180 -1.267  -0.201 -1.056  -0.222 -0.846  -0.243 -0.636  -0.264 -0.425  -0.285 -0.215  -0.306 -0.005  -0.327 0.205  -0.348 0.416  -0.369 0.626  -0.390 0.836  -0.418 1.031  -0.629 1.031  -0.632 1.163  -0.442 1.184  -0.231 1.184  -0.021 1.172  0.182 1.115  0.389 1.095  0.584 1.018  0.779 0.946  0.959 0.835  1.111 0.715  1.202 0.544  1.206 0.333  1.098 0.158  0.931 0.033  0.754 -0.082  0.571 -0.185  0.392 -0.296  0.207 -0.394  0.010 -0.473  -0.191 -0.533  -0.402 -0.538
2#tos#f2#f2059065/Q  0.400 -0.435  0.357 -0.628  0.212 -0.735  0.001 -0.735  -0.211 -0.735  -0.420 -0.710  -0.549 -0.585  -0.738 -0.518  -0.894 -0.377  -0.987 -0.190  -1.058 0.006  -1.060 0.217  -1.060 0.428  -1.060 0.639  -0.976 0.831  -0.849 0.988  -0.693 1.130  -0.544 1.280  -0.417 1.400  -0.212 1.438  -0.001 1.438  0.210 1.438  0.345 1.278  0.490 1.134  0.612 0.964  0.739 0.799  0.812 0.618  0.850 0.416  0.887 0.211  0.883 0.000  0.810 -0.198  0.725 -0.391  0.627 -0.571  0.484 -0.721  0.326 -0.859  0.138 -0.922  -0.073 -0.922  -0.279 -0.913  -0.418 -0.772  -0.461 -0.571  -0.461 -0.360  -0.371 -0.210  -0.168 -0.176  0.042 -0.173  0.234 -0.258  0.422 -0.352  0.592 -0.477  0.764 -0.594  0.925 -0.716  1.075 -0.847
2#tos#f2#f2059065/R  -0.505 1.086  -0.624 1.204  -0.545 1.024  -0.545 0.788  -0.545 0.552  -0.545 0.315  -0.545 0.079  -0.531 -0.155  -0.505 -0.389  -0.503 -0.625  -0.466 -0.857  -0.426 -1.087  -0.398 -1.312  -0.401 -1.103  -0.420 -0.868  -0.439 -0.632  -0.458 -0.396  -0.477 -0.161  -0.495 0.075  -0.514 0.310  -0.533 0.546  -0.545 0.782  -0.595 0.967  -0.613 1.165  -0.377 1.165  -0.141 1.165  0.089 1.125  0.313 1.063  0.536 0.993  0.671 0.802  0.798 0.629  0.798 0.393  0.718 0.175  0.569 0.031  0.389 -0.113  0.183 -0.225  -0.039 -0.296  -0.275 -0.296  -0.466 -0.221  -0.317 -0.287  -0.108 -0.396  0.088 -0.514  0.297 -0.617  0.518 -0.700  0.743 -0.772  0.969 -0.836  1.204 -0.849  1.439 -0.870  1.667 -0.928  1.904 -0.928
2#tos#f2#f2059065/T  -1.108 0.487  -1.222 0.408  -1.346 0.401  -1.414 0.476  -1.288 0.516  -1.154 0.555  -1.011 0.555  -0.868 0.555  -0.724 0.555  -0.584 0.539  -0.448 0.494  -0.305 0.487  -0.162 0.487  -0.019 0.487  0.124 0.487  0.268 0.487  0.410 0.480  0.546 0.435  0.687 0.419  0.830 0.419  0.973 0.419  1.117 0.419  1.260 0.419  1.213 0.419  1.070 0.414  0.928 0.391  0.787 0.368  0.645 0.346  0.504 0.323  0.362 0.300  0.220 0.283  0.077 0.283  -0.052 0.316  -0.045 0.292  -0.019 0.153  -0.019 0.009  -0.019 -0.134  -0.019 -0.277  -0.019 -0.420  -0.019 -0.564  -0.019 -0.707  -0.019 -0.850  -0.019 -0.994  -0.019 -1.137  -0.019 -1.280  -0.019 -1.424  -0.019 -1.567  -0.019 -1.710  -0.019 -1.854  0.015 -1.963
2#tos#f2#f2059065/W  -1.132 0.873  -1.267 0.943  -1.234 0.923  -1.172 0.749  -1.102 0.578  -1.064 0.396  -1.025 0.215  -0.960 0.042  -0.929 -0.141  -0.888 -0.321  -0.848 -0.501  -0.749 -0.657  -0.640 -0.788  -0.567 -0.958  -0.455 -1.005  -0.489 -0.834  -0.489 -0.648  -0.462 -0.467  -0.380 -0.304  -0.348 -0.122  -0.285 0.051  -0.185 0.206  -0.116 0.369  -0.076 0.547  -0.015 0.712  -0.015 0.898  0.046 0.819  0.121 0.656  0.162 0.477  0.227 0.303  0.256 0.124  0.290 -0.058  0.305 -0.240  0.388 -0.405  0.402 -0.589  0.453 -0.767  0.549 -0.919  0.675 -0.989  0.769 -0.849  0.798 -0.676  0.839 -0.507  0.931 -0.352  1.001 -0.187  1.028 -0.013  1.132 0.135  1.201 0.308  1.270 0.480  1.306 0.658  1.364 0.826  1.373 1.009
2#tos#f2#f2059065/X  -1.083 1.010  -1.259 0.975  -1.169 1.006  -1.091 0.847  -0.947 0.732  -0.849 0.576  -0.761 0.414  -0.646 0.276  -0.494 0.174  -0.371 0.039  -0.297 -0.128  -0.166 -0.259  -0.021 -0.371  0.094 -0.515  0.243 -0.623  0.399 -0.720  0.507 -0.869  0.613 -0.996  0.762 -1.082  0.818 -1.243  0.880 -1.128  0.869 -0.944  0.857 -0.760  0.845 -0.576  0.834 -0.392  0.822 -0.208  0.810 -0.025  0.799 0.159  0.787 0.343  0.775 0.527  0.764 0.711  0.752 0.895  0.642 0.975  0.552 1.083  0.445 1.095  0.290 0.998  0.169 0.861  0.142 0.687  0.012 0.556  -0.099 0.410  -0.214 0.266  -0.304 0.105  -0.398 -0.053  -0.493 -0.211  -0.599 -0.362  -0.677 -0.527  -0.745 -0.698  -0.851 -0.848  -0.933 -1.013  -1.013 -1.172
2#tos#f2#f2059065/Y  -0.723 0.864  -0.841 0.897  -0.971 0.930  -1.074 1.029  -0.994 1.022  -0.922 0.898  -0.822 0.785  -0.726 0.669  -0.620 0.571  -0.541 0.442  -0.464 0.313  -0.376 0.192  -0.256 0.103  -0.129 0.052  -0.097 -0.082  0.038 -0.130  0.123 -0.133  0.224 -0.022  0.325 0.090  0.426 0.202  0.527 0.314  0.628 0.425  0.729 0.537  0.830 0.649  0.931 0.761  0.971 0.864  0.821 0.864  0.730 0.779  0.633 0.668  0.517 0.585  0.433 0.469  0.330 0.361  0.240 0.242  0.134 0.136  0.027 0.029  -0.063 -0.046  -0.030 -0.191  -0.030 -0.341  -0.030 -0.492  -0.030 -0.643  -0.020 -0.792  0.003 -0.940  0.003 -1.090  0.003 -1.241  0.003 -1.392  0.003 -1.542  0.013 -1.692  0.036 -1.840  0.036 -1.991  0.036 -2.141
2#tos#f2#f2059065/Z  -0.767 1.091  -0.896 1.042  -0.809 1.030  -0.671 1.030  -0.533 1.030  -0.395 1.030  -0.257 1.030  -0.119 1.030  0.019 1.030  0.157 1.030  0.295 1.030  0.432 1.030  0.570 1.030  0.609 0.971  0.576 0.846  0.480 0.748  0.398 0.637  0.300 0.540  0.209 0.437  0.122 0.331  0.024 0.233  -0.054 0.121  -0.144 0.020  -0.243 -0.074  -0.333 -0.179  -0.400 -0.297  -0.469 -0.413  -0.562 -0.515  -0.649 -0.621  -0.772 -0.684  -0.883 -0.765  -0.923 -0.894  -0.840 -0.894  -0.702 -0.894  -0.566 -0.878  -0.429 -0.863  -0.294 -0.842  -0.157 -0.833  -0.020 -0.828  0.111 -0.784  0.246 -0.758  0.383 -0.738  0.519 -0.719  0.654 -0.691  0.791 -0.680  0.929 -0.680  1.067 -0.680  1.204 -0.680  1.332 -0.716  1.462 -0.741
2#tos#f2#f2059065/a  0.287 0.098  0.406 -0.001  0.499 0.076  0.535 0.228  0.516 0.384  0.444 0.527  0.372 0.671  0.280 0.799  0.161 0.905  0.033 0.997  -0.110 1.041  -0.270 1.041  -0.430 1.041  -0.590 1.041  -0.671 0.912  -0.764 0.784  -0.874 0.667  -0.970 0.539  -1.050 0.401  -1.116 0.255  -1.152 0.101  -1.152 -0.059  -1.152 -0.220  -1.152 -0.380  -1.100 -0.530  -1.053 -0.681  -0.960 -0.769  -0.806 -0.812  -0.651 -0.845  -0.491 -0.845  -0.330 -0.845  -0.174 -0.827  -0.048 -0.733  0.077 -0.647  0.215 -0.605  0.315 -0.484  0.411 -0.372  0.435 -0.215  0.485 -0.075  0.485 0.085  0.583 0.147  0.738 0.109  0.878 0.034  0.962 -0.092  1.051 -0.220  1.136 -0.355  1.249 -0.468  1.397 -0.498  1.493 -0.607  1.626 -0.696
2#tos#f2#f2059065/b  0.016 2.120  -0.081 2.142  -0.081 1.971  -0.081 1.801  -0.081 1.630  -0.081 1.459  -0.081 1.288  -0.081 1.118  -0.081 0.947  -0.120 0.782  -0.166 0.617  -0.209 0.452  -0.246 0.285  -0.273 0.117  -0.273 -0.053  -0.273 -0.224  -0.276 -0.394  -0.318 -0.560  -0.321 -0.730  -0.321 -0.901  -0.339 -1.054  -0.417 -0.925  -0.425 -0.758  -0.514 -0.652  -0.514 -0.481  -0.491 -0.314  -0.405 -0.172  -0.302 -0.035  -0.205 0.106  -0.064 0.186  0.094 0.245  0.265 0.245  0.436 0.245  0.586 0.196  0.705 0.100  0.792 -0.032  0.881 -0.155  0.881 -0.326  0.881 -0.496  0.818 -0.652  0.784 -0.815  0.640 -0.901  0.482 -0.965  0.321 -1.006  0.151 -1.006  -0.014 -0.986  -0.162 -0.910  -0.332 -0.908  -0.500 -0.874  -0.610 -0.766
2#tos#f2#f2059065/c  0.533 0.532  0.533 0.532  0.533 0.642  0.533 0.752  0.533 0.862  0.533 0.972  0.495 1.066  0.396 1.110  0.290 1.138  0.180 1.138  0.070 1.138  -0.040 1.138  -0.127 1.082  -0.205 1.005  -0.283 0.927  -0.363 0.852  -0.454 0.791  -0.535 0.719  -0.596 0.627  -0.637 0.527  -0.664 0.420  -0.702 0.317  -0.732 0.215  -0.732 0.105  -0.732 -0.005  -0.732 -0.116  -0.732 -0.226  -0.732 -0.336  -0.732 -0.446  -0.709 -0.549  -0.648 -0.640  -0.594 -0.736  -0.522 -0.811  -0.423 -0.860  -0.322 -0.899  -0.212 -0.899  -0.102 -0.899  0.008 -0.899  0.118 -0.899  0.228 -0.899  0.338 -0.899  0.448 -0.899  0.558 -0.899  0.668 -0.889  0.777 -0.875  0.886 -0.861  0.995 -0.848  1.100 -0.815  1.202 -0.774  1.304 -0.733
2#tos#f2#f2059065/i  0.101 1.632  0.101 1.558  0.051 1.533  0.051 1.459  0.051 1.384  0.051 1.310  0.051 1.235  0.051 1.161  0.051 1.086  0.028 1.035  -0.046 1.035  -0.049 0.963  -0.049 0.888  -0.049 0.814  -0.030 0.743  0.000 0.675  0.031 0.607  0.061 0.539  0.091 0.471  0.121 0.403  0.150 0.335  0.150 0.260  0.119 0.196  0.074 0.137  0.030 0.077  -0.018 0.020  -0.049 -0.042  -0.049 -0.116  -0.049 -0.191  -0.049 -0.265  -0.049 -0.340  -0.049 -0.414  -0.049 -0.489  -0.049 -0.563  -0.049 -0.637  -0.049 -0.712  -0.049 -0.786  -0.049 -0.861  -0.049 -0.935  -0.049 -1.010  -0.049 -1.084  -0.049 -1.159  -0.049 -1.233  -0.049 -1.308  -0.049 -1.382  -0.049 -1.457  -0.049 -1.531  -0.049 -1.606  -0.049 -1.680  -0.049 -1.754
2#tos#f2#f2059065/o  -0.106 0.512  -0.128 0.589  -0.106 0.729  -0.106 0.875  -0.131 0.996  -0.277 0.996  -0.362 1.057  -0.496 1.029  -0.600 0.926  -0.660 0.805  -0.763 0.702  -0.832 0.585  -0.832 0.439  -0.832 0.293  -0.832 0.147  -0.832 0.001  -0.832 -0.145  -0.832 -0.290  -0.832 -0.436  -0.832 -0.582  -0.807 -0.716  -0.691 -0.803  -0.590 -0.899  -0.547 -1.014  -0.409 -1.060  -0.263 -1.060  -0.117 -1.060  0.028 -1.060  0.174 -1.060  0.320 -1.059  0.461 -1.024  0.600 -0.980  0.725 -0.906  0.841 -0.818  0.922 -0.713  0.922 -0.567  0.922 -0.421  0.922 -0.275  0.922 -0.130  0.922 0.016  0.922 0.162  0.922 0.308  0.920 0.453  0.799 0.534  0.687 0.626  0.584 0.729  0.481 0.832  0.353 0.875  0.219 0.925  0.075 0.936
2#tos#f2#f2059065/q  0.204 0.938  0.077 0.978  0.030 1.098  -0.138 1.098  -0.277 1.070  -0.410 1.005  -0.550 0.938  -0.651 0.831  -0.733 0.687  -0.851 0.578  -0.878 0.415  -0.878 0.248  -0.878 0.080  -0.777 -0.045  -0.647 -0.135  -0.517 -0.225  -0.351 -0.236  -0.187 -0.265  -0.019 -0.265  0.119 -0.211  0.248 -0.123  0.374 -0.030  0.405 0.128  0.405 0.295  0.405 0.463  0.405 0.630  0.405 0.797  0.405 0.965  0.331 1.058  0.204 1.017  0.204 0.850  0.244 0.723  0.244 0.555  0.244 0.388  0.244 0.220  0.244 0.053  0.244 -0.115  0.204 -0.265  0.204 -0.433  0.208 -0.600  0.244 -0.763  0.244 -0.930  0.244 -1.097  0.244 -1.265  0.244 -1.432  0.244 -1.600  0.244 -1.767  0.244 -1.935  0.244 -2.102  0.244 -2.269
2#tos#f2#f2059065/v  -0.581 1.238  -0.710 1.238  -0.794 1.285  -0.738 1.182  -0.646 1.091  -0.584 0.978  -0.542 0.855  -0.527 0.728  -0.527 0.598  -0.527 0.469  -0.527 0.339  -0.527 0.209  -0.475 0.095  -0.421 -0.018  -0.421 -0.147  -0.406 -0.276  -0.380 -0.403  -0.368 -0.531  -0.368 -0.661  -0.368 -0.790  -0.368 -0.920  -0.368 -1.050  -0.245 -1.091  -0.208 -1.194  -0.201 -1.316  -0.093 -1.369  0.036 -1.369  0.111 -1.283  0.112 -1.154  0.143 -1.028  0.178 -0.903  0.220 -0.781  0.312 -0.690  0.324 -0.565  0.355 -0.441  0.403 -0.321  0.430 -0.196  0.444 -0.070  0.510 0.041  0.577 0.152  0.623 0.273  0.659 0.397  0.691 0.523  0.722 0.649  0.750 0.775  0.767 0.900  0.825 1.016  0.909 1.085  0.909 1.215  0.909 1.238
2#tos#f2#f2059065/w  -1.217 0.935  -1.265 0.993  -1.217 0.825  -1.193 0.649  -1.170 0.473  -1.170 0.294  -1.080 0.163  -0.975 0.024  -0.932 -0.145  -0.837 -0.285  -0.815 -0.461  -0.720 -0.607  -0.647 -0.764  -0.526 -0.822  -0.410 -0.722  -0.392 -0.547  -0.326 -0.381  -0.315 -0.204  -0.315 -0.024  -0.315 0.155  -0.277 0.329  -0.241 0.499  -0.134 0.642  -0.125 0.817  -0.125 0.874  -0.018 0.755  0.017 0.582  0.017 0.403  0.062 0.231  0.118 0.074  0.160 -0.088  0.160 -0.267  0.164 -0.444  0.255 -0.567  0.255 -0.746  0.353 -0.854  0.520 -0.907  0.697 -0.917  0.824 -0.865  0.919 -0.744  0.992 -0.582  1.014 -0.408  1.106 -0.257  1.162 -0.087  1.204 0.087  1.228 0.259  1.322 0.411  1.371 0.580  1.394 0.756  1.442 0.888
2#tos#f2#f2059065/x  -0.826 1.088  -1.005 1.054  -1.183 1.009  -1.107 0.940  -0.943 0.857  -0.813 0.736  -0.669 0.632  -0.511 0.537  -0.359 0.436  -0.299 0.268  -0.181 0.132  -0.051 0.002  0.090 -0.115  0.217 -0.244  0.335 -0.384  0.455 -0.522  0.536 -0.686  0.678 -0.776  0.727 -0.912  0.884 -0.978  0.983 -1.120  1.022 -1.079  0.988 -0.898  0.954 -0.718  0.920 -0.537  0.887 -0.357  0.853 -0.176  0.819 0.004  0.785 0.185  0.751 0.365  0.717 0.546  0.683 0.727  0.650 0.907  0.505 0.954  0.343 0.895  0.285 0.747  0.145 0.638  -0.004 0.532  -0.134 0.402  -0.188 0.231  -0.278 0.080  -0.408 -0.050  -0.538 -0.180  -0.621 -0.335  -0.685 -0.498  -0.829 -0.612  -0.972 -0.727  -1.106 -0.850  -1.188 -1.014  -1.314 -1.134
2#tos#f2#f2059065/y  -0.510 0.906  -0.489 0.846  -0.422 0.748  -0.313 0.709  -0.229 0.620  -0.148 0.539  -0.030 0.505  0.058 0.417  0.152 0.338  0.263 0.283  0.343 0.214  0.397 0.129  0.444 0.219  0.496 0.332  0.547 0.445  0.599 0.558  0.651 0.671  0.703 0.784  0.754 0.896  0.806 1.009  0.831 1.078  0.760 1.001  0.693 0.896  0.673 0.778  0.625 0.667  0.561 0.561  0.498 0.455  0.410 0.367  0.322 0.279  0.257 0.173  0.193 0.067  0.124 -0.036  0.055 -0.140  0.007 -0.254  -0.037 -0.370  -0.085 -0.483  -0.173 -0.571  -0.261 -0.659  -0.356 -0.738  -0.453 -0.816  -0.523 -0.917  -0.587 -1.023  -0.656 -1.127  -0.725 -1.230  -0.806 -1.323  -0.898 -1.406  -0.997 -1.481  -1.088 -1.565  -1.176 -1.653  -1.259 -1.697
2#tos#f2#f2059065/z  -0.540 1.240  -0.684 1.240  -0.699 1.128  -0.555 1.128  -0.410 1.128  -0.266 1.128  -0.122 1.128  0.022 1.127  0.159 1.082  0.301 1.070  0.403 0.968  0.542 0.942  0.682 0.907  0.747 0.793  0.747 0.648  0.645 0.579  0.563 0.465  0.508 0.335  0.388 0.255  0.252 0.212  0.111 0.184  0.027 0.080  -0.038 -0.048  -0.168 -0.112  -0.297 -0.177  -0.415 -0.257  -0.517 -0.359  -0.651 -0.383  -0.747 -0.461  -0.812 -0.590  -0.925 -0.676  -1.056 -0.718  -1.055 -0.774  -0.914 -0.799  -0.775 -0.830  -0.631 -0.830  -0.486 -0.830  -0.342 -0.830  -0.198 -0.830  -0.053 -0.830  0.091 -0.830  0.235 -0.830  0.379 -0.830  0.520 -0.809  0.654 -0.756  0.790 -0.710  0.932 -0.681  1.074 -0.662  1.218 -0.662  1.363 -0.662
