2#tos#t1#t1012066/#  -1.149 0.598  -1.332 0.450  -0.926 0.413  -0.514 0.413  -0.102 0.413  0.307 0.406  0.697 0.338  0.906 0.312  0.507 0.207  0.109 0.103  -0.289 -0.002  -0.688 -0.106  -1.086 -0.210  -1.372 -0.398  -0.982 -0.442  -0.571 -0.442  -0.159 -0.442  0.253 -0.442  0.665 -0.442  0.986 -0.377  0.743 -0.045  0.500 0.288  0.258 0.621  0.015 0.954  -0.228 1.287  -0.406 1.192  -0.407 0.780  -0.480 0.379  -0.518 -0.018  -0.555 -0.421  -0.568 -0.831  -0.592 -1.240  -0.512 -1.333  -0.319 -0.969  -0.126 -0.605  0.068 -0.242  0.261 0.122  0.454 0.486  0.648 0.849  0.841 1.213  0.866 1.416  0.675 1.143  0.634 0.743  0.597 0.340  0.597 -0.072  0.523 -0.469  0.492 -0.874  0.458 -1.278  0.448 -1.687  0.374 -2.077
2#tos#t1#t1012066/S  0.738 1.507  0.633 1.427  0.658 1.265  0.684 1.082  0.712 0.901  0.765 0.731  0.791 0.578  0.745 0.760  0.662 0.894  0.546 1.000  0.411 1.054  0.251 1.080  0.090 1.107  -0.064 1.052  -0.196 0.945  -0.328 0.834  -0.386 0.702  -0.434 0.550  -0.461 0.389  -0.386 0.243  -0.263 0.174  -0.082 0.148  0.068 0.094  0.222 0.041  0.365 -0.019  0.498 -0.120  0.562 -0.272  0.605 -0.429  0.605 -0.617  0.552 -0.766  0.463 -0.865  0.361 -0.954  0.254 -1.052  0.126 -1.132  -0.034 -1.158  -0.222 -1.158  -0.372 -1.105  -0.461 -0.976  -0.541 -0.832  -0.621 -0.709  -0.654 -0.549  -0.677 -0.363  -0.700 -0.177  -0.781 -0.242  -0.781 -0.430  -0.781 -0.617  -0.834 -0.751  -0.801 -0.925  -0.755 -1.078  -0.754 -1.265
2#tos#t1#t1012066/T  -1.048 0.868  -1.160 0.834  -1.119 0.785  -0.973 0.785  -0.827 0.785  -0.681 0.785  -0.535 0.785  -0.390 0.785  -0.244 0.785  -0.098 0.785  0.048 0.785  0.194 0.785  0.312 0.757  0.458 0.757  0.604 0.757  0.738 0.729  0.878 0.723  1.002 0.701  0.887 0.694  0.741 0.686  0.595 0.678  0.450 0.669  0.304 0.661  0.158 0.653  0.013 0.645  -0.043 0.611  -0.043 0.465  -0.043 0.319  -0.043 0.173  -0.040 0.031  -0.015 -0.090  -0.015 -0.236  -0.015 -0.382  -0.015 -0.528  -0.015 -0.674  -0.015 -0.820  -0.015 -0.966  -0.015 -1.112  -0.015 -1.258  -0.030 -1.272  -0.096 -1.194  -0.183 -1.293  -0.064 -1.336  0.082 -1.336  0.228 -1.336  0.223 -1.291  0.100 -1.237  0.069 -1.308  -0.076 -1.308  -0.211 -1.281
2#tos#t1#t1012066/V  -1.191 0.819  -1.296 0.757  -1.165 0.757  -0.998 0.757  -0.831 0.757  -0.683 0.803  -0.564 0.817  -0.729 0.796  -0.885 0.752  -0.894 0.596  -0.811 0.480  -0.759 0.365  -0.728 0.205  -0.636 0.077  -0.574 -0.072  -0.512 -0.195  -0.423 -0.291  -0.358 -0.393  -0.318 -0.537  -0.251 -0.661  -0.158 -0.753  -0.112 -0.873  -0.019 -0.971  0.014 -1.123  0.076 -1.246  0.135 -1.354  0.197 -1.403  0.298 -1.312  0.320 -1.149  0.351 -1.013  0.412 -0.884  0.443 -0.730  0.443 -0.563  0.505 -0.458  0.505 -0.291  0.536 -0.155  0.597 -0.049  0.597 0.118  0.648 0.233  0.661 0.387  0.751 0.464  0.751 0.595  0.787 0.727  0.727 0.765  0.594 0.785  0.590 0.757  0.757 0.757  0.911 0.727  1.078 0.727  1.214 0.696
2#tos#t1#t1012066/W  -1.290 0.883  -1.271 0.818  -1.019 0.818  -0.767 0.818  -0.626 0.849  -0.859 0.916  -0.888 0.709  -0.835 0.498  -0.835 0.246  -0.802 0.027  -0.802 -0.225  -0.770 -0.464  -0.737 -0.703  -0.737 -0.955  -0.705 -1.174  -0.644 -1.198  -0.542 -1.005  -0.444 -0.806  -0.394 -0.580  -0.314 -0.383  -0.222 -0.163  -0.182 0.073  -0.060 0.262  0.041 0.458  0.109 0.671  0.174 0.779  0.174 0.527  0.174 0.275  0.174 0.023  0.206 -0.197  0.239 -0.436  0.273 -0.678  0.330 -0.873  0.387 -1.068  0.477 -1.231  0.593 -1.069  0.618 -0.840  0.675 -0.645  0.732 -0.450  0.792 -0.258  0.824 -0.038  0.889 0.149  0.889 0.401  0.954 0.588  0.945 0.787  0.727 0.883  0.718 0.753  0.970 0.753  1.223 0.753  1.442 0.721
2#tos#t1#t1012066/X  -0.726 1.044  -0.638 0.814  -0.443 0.576  -0.236 0.306  0.009 0.044  0.202 -0.213  0.403 -0.452  0.581 -0.676  0.799 -0.890  0.916 -0.876  0.868 -0.488  0.819 -0.101  0.771 0.287  0.722 0.674  0.608 0.889  0.445 0.630  0.227 0.404  0.055 0.148  -0.100 -0.141  -0.271 -0.389  -0.427 -0.684  -0.612 -0.889  -0.758 -1.076  -0.809 -0.689  -0.860 -0.302  -0.911 0.086  -0.963 0.473  -1.014 0.860  -1.132 1.100  -0.829 1.071  -0.440 1.101  -0.053 1.152  0.334 1.202  0.492 1.145  0.789 1.044  0.831 0.878  0.563 0.594  0.295 0.310  0.027 0.026  -0.241 -0.258  -0.509 -0.542  -0.777 -0.826  -0.954 -0.971  -0.564 -0.971  -0.177 -0.922  0.210 -0.869  0.597 -0.816  0.804 -0.874  0.844 -0.971  1.234 -0.971
2#tos#t1#t1012066/Y  -0.783 1.122  -0.791 1.028  -0.578 1.028  -0.368 1.034  -0.206 1.058  -0.418 1.040  -0.594 0.992  -0.613 0.877  -0.557 0.682  -0.469 0.558  -0.408 0.370  -0.311 0.210  -0.218 0.054  -0.154 -0.114  -0.090 -0.262  0.025 -0.272  0.106 -0.075  0.186 0.122  0.267 0.319  0.347 0.516  0.428 0.713  0.508 0.910  0.551 1.023  0.515 0.965  0.728 0.965  0.796 0.915  0.664 0.805  0.575 0.682  0.519 0.524  0.444 0.359  0.318 0.254  0.255 0.104  0.170 -0.042  0.051 -0.166  -0.028 -0.312  -0.028 -0.272  -0.091 -0.297  -0.079 -0.507  -0.060 -0.716  -0.060 -0.928  -0.060 -1.141  -0.060 -1.354  -0.060 -1.567  -0.144 -1.622  -0.321 -1.504  -0.406 -1.613  -0.195 -1.615  0.018 -1.615  0.231 -1.615  0.444 -1.615
2#tos#t1#t1012066/a  -0.708 1.512  -0.869 1.398  -0.640 1.398  -0.412 1.398  -0.241 1.341  -0.082 1.228  0.089 1.170  0.236 1.056  0.284 0.861  0.373 0.703  0.373 0.475  0.373 0.247  0.373 0.018  0.373 -0.210  0.430 -0.381  0.430 -0.610  0.536 -0.765  0.694 -0.879  0.809 -0.993  0.999 -1.030  1.151 -1.107  1.055 -0.932  0.930 -0.741  0.805 -0.550  0.680 -0.359  0.555 -0.168  0.430 0.023  0.305 0.214  0.180 0.405  0.028 0.540  -0.121 0.430  -0.350 0.430  -0.537 0.471  -0.749 0.487  -0.864 0.373  -0.993 0.274  -1.050 0.102  -1.050 -0.126  -1.107 -0.297  -1.062 -0.481  -0.993 -0.640  -0.799 -0.731  -0.585 -0.765  -0.413 -0.822  -0.209 -0.879  -0.061 -0.765  0.110 -0.708  0.316 -0.652  0.430 -0.538  0.544 -0.424
2#tos#t1#t1012066/f  -0.804 0.060  -0.867 0.060  -0.718 0.060  -0.569 0.060  -0.421 0.060  -0.283 0.033  -0.169 -0.028  -0.039 -0.046  0.110 -0.046  0.259 -0.046  0.407 -0.046  0.556 -0.046  0.610 0.053  0.616 0.201  0.621 0.350  0.627 0.499  0.633 0.647  0.638 0.796  0.567 0.871  0.500 0.952  0.481 1.082  0.438 1.188  0.344 1.254  0.220 1.294  0.071 1.294  -0.063 1.258  -0.099 1.146  -0.149 1.047  -0.169 0.919  -0.169 0.770  -0.169 0.621  -0.169 0.473  -0.169 0.324  -0.169 0.175  -0.169 0.026  -0.169 -0.122  -0.169 -0.271  -0.169 -0.420  -0.169 -0.568  -0.169 -0.717  -0.169 -0.866  -0.169 -1.015  -0.134 -1.155  -0.134 -1.304  -0.134 -1.453  -0.134 -1.601  -0.134 -1.750  -0.134 -1.899  -0.169 -2.012  -0.169 -2.161
2#tos#t1#t1012066/g  0.869 1.438  0.695 1.356  0.516 1.209  0.467 1.002  0.562 0.764  0.567 0.574  0.376 0.450  0.251 0.270  0.084 0.140  -0.124 0.064  -0.336 -0.003  -0.545 0.053  -0.626 0.244  -0.785 0.392  -0.781 0.612  -0.698 0.817  -0.572 0.984  -0.400 1.068  -0.143 1.068  0.031 1.150  0.288 1.150  0.486 1.068  0.581 0.905  0.622 0.666  0.539 0.491  0.457 0.317  0.314 0.203  0.169 0.068  0.065 -0.085  -0.109 -0.167  -0.315 -0.250  -0.490 -0.331  -0.584 -0.549  -0.696 -0.711  -0.696 -0.968  -0.696 -1.225  -0.627 -1.444  -0.438 -1.567  -0.181 -1.567  0.075 -1.567  0.250 -1.485  0.375 -1.353  0.498 -1.220  0.498 -0.964  0.498 -0.707  0.328 -0.620  0.195 -0.497  -0.052 -0.456  -0.274 -0.373  -0.490 -0.414
2#tos#t1#t1012066/h  -0.091 2.128  -0.174 1.992  -0.174 1.804  -0.174 1.616  -0.174 1.428  -0.174 1.241  -0.174 1.053  -0.174 0.865  -0.174 0.677  -0.174 0.489  -0.215 0.311  -0.215 0.123  -0.215 -0.064  -0.215 -0.252  -0.225 -0.439  -0.274 -0.606  -0.298 -0.769  -0.298 -0.957  -0.381 -1.093  -0.422 -1.271  -0.447 -1.434  -0.448 -1.347  -0.416 -1.162  -0.383 -0.977  -0.350 -0.792  -0.318 -0.607  -0.285 -0.422  -0.252 -0.237  -0.220 -0.052  -0.187 0.133  -0.154 0.318  -0.122 0.503  -0.100 0.679  -0.215 0.606  -0.120 0.596  0.068 0.596  0.256 0.596  0.365 0.517  0.448 0.412  0.489 0.266  0.572 0.129  0.572 -0.059  0.613 -0.229  0.632 -0.398  0.696 -0.546  0.696 -0.734  0.696 -0.922  0.738 -1.068  0.769 -1.249  0.821 -1.393
2#tos#t1#t1012066/k  -0.384 2.185  -0.467 2.040  -0.467 1.812  -0.467 1.585  -0.467 1.357  -0.467 1.129  -0.467 0.902  -0.467 0.674  -0.467 0.446  -0.467 0.218  -0.467 -0.009  -0.467 -0.237  -0.467 -0.465  -0.467 -0.692  -0.467 -0.920  -0.467 -1.148  -0.467 -1.375  -0.467 -1.429  -0.363 -1.232  -0.238 -1.042  -0.114 -0.851  0.011 -0.661  0.136 -0.470  0.260 -0.279  0.385 -0.089  0.509 0.102  0.634 0.292  0.759 0.483  0.883 0.673  0.916 0.667  0.784 0.563  0.561 0.531  0.394 0.438  0.201 0.355  -0.010 0.299  -0.176 0.218  -0.291 0.106  -0.467 0.054  -0.592 -0.049  -0.426 -0.142  -0.240 -0.223  -0.040 -0.269  0.032 -0.424  0.166 -0.518  0.361 -0.597  0.577 -0.643  0.721 -0.726  0.905 -0.770  1.010 -0.892  1.072 -0.976
2#tos#t1#t1012066/p  -0.247 1.253  -0.366 1.160  -0.366 0.949  -0.366 0.737  -0.366 0.525  -0.327 0.323  -0.327 0.111  -0.327 -0.101  -0.302 -0.309  -0.287 -0.519  -0.287 -0.731  -0.287 -0.943  -0.287 -1.154  -0.287 -1.366  -0.287 -1.578  -0.287 -1.789  -0.287 -1.829  -0.287 -1.617  -0.287 -1.405  -0.287 -1.194  -0.287 -0.982  -0.287 -0.770  -0.287 -0.559  -0.287 -0.347  -0.287 -0.135  -0.287 0.077  -0.287 0.288  -0.287 0.500  -0.287 0.712  -0.287 0.923  -0.406 0.881  -0.306 0.976  -0.143 1.055  0.065 1.080  0.274 1.095  0.486 1.095  0.690 1.062  0.809 0.949  0.901 0.822  1.027 0.732  1.060 0.534  1.020 0.362  0.901 0.238  0.831 0.070  0.702 -0.028  0.574 -0.133  0.426 -0.197  0.239 -0.252  0.040 -0.282  -0.168 -0.291
2#tos#t1#t1012066/t  -0.934 0.634  -1.058 0.551  -0.899 0.551  -0.739 0.551  -0.580 0.551  -0.420 0.551  -0.271 0.593  -0.119 0.627  0.039 0.634  0.198 0.634  0.358 0.634  0.517 0.634  0.676 0.634  0.588 0.640  0.469 0.746  0.350 0.853  0.231 0.959  0.112 1.065  -0.006 1.172  -0.125 1.278  -0.271 1.291  -0.234 1.140  -0.230 0.982  -0.230 0.823  -0.230 0.663  -0.196 0.518  -0.188 0.361  -0.188 0.202  -0.188 0.042  -0.188 -0.117  -0.230 -0.259  -0.230 -0.419  -0.230 -0.578  -0.230 -0.738  -0.230 -0.897  -0.230 -1.057  -0.188 -1.175  -0.147 -1.293  -0.023 -1.328  0.068 -1.397  0.215 -1.427  0.328 -1.480  0.433 -1.426  0.523 -1.355  0.618 -1.277  0.666 -1.148  0.682 -1.005  0.682 -0.845  0.682 -0.686  0.599 -0.609
2#tos#t1#t1012066/v  -0.813 1.475  -0.851 1.345  -0.925 1.266  -0.813 1.239  -0.813 1.100  -0.758 0.974  -0.714 0.842  -0.701 0.705  -0.670 0.573  -0.608 0.448  -0.570 0.318  -0.477 0.243  -0.477 0.104  -0.421 0.021  -0.421 -0.118  -0.365 -0.234  -0.364 -0.372  -0.309 -0.457  -0.309 -0.596  -0.282 -0.708  -0.199 -0.764  -0.172 -0.876  -0.089 -0.932  -0.086 -1.068  -0.049 -1.192  0.026 -1.268  0.086 -1.380  0.138 -1.293  0.140 -1.156  0.250 -1.126  0.251 -0.987  0.284 -0.852  0.354 -0.764  0.362 -0.633  0.362 -0.493  0.375 -0.359  0.453 -0.246  0.530 -0.168  0.530 -0.029  0.530 0.110  0.530 0.249  0.586 0.333  0.642 0.449  0.648 0.586  0.746 0.684  0.769 0.811  0.866 0.890  0.868 1.028  0.951 1.084  0.978 1.196
2#tos#t1#t1012066/w  -0.956 1.270  -1.118 1.220  -1.106 1.069  -1.057 0.869  -1.002 0.691  -0.956 0.507  -0.924 0.303  -0.906 0.096  -0.906 -0.116  -0.856 -0.277  -0.856 -0.489  -0.806 -0.651  -0.788 -0.855  -0.705 -0.974  -0.630 -0.838  -0.518 -0.738  -0.504 -0.540  -0.454 -0.337  -0.354 -0.166  -0.304 0.024  -0.238 0.213  -0.201 0.418  -0.031 0.539  -0.002 0.739  0.029 0.919  0.098 0.877  0.131 0.670  0.148 0.461  0.160 0.254  0.198 0.059  0.198 -0.153  0.227 -0.336  0.299 -0.476  0.349 -0.676  0.478 -0.788  0.500 -0.978  0.600 -1.089  0.650 -1.028  0.723 -0.888  0.801 -0.755  0.801 -0.543  0.901 -0.432  0.948 -0.239  1.037 -0.085  1.052 0.111  1.102 0.273  1.102 0.485  1.152 0.646  1.242 0.768  1.253 0.969
