2#tos#f1#f1081063/\"  -0.346 1.257  -0.499 1.257  -0.608 1.186  -0.677 1.049  -0.686 0.898  -0.686 0.744  -0.686 0.591  -0.686 0.438  -0.686 0.285  -0.686 0.131  -0.751 -0.006  -0.799 -0.148  -0.799 -0.302  -0.799 -0.455  -0.799 -0.608  -0.799 -0.761  -0.799 -0.915  -0.772 -1.062  -0.703 -1.199  -0.686 -1.347  -0.595 -1.224  -0.504 -1.100  -0.413 -0.977  -0.322 -0.854  -0.231 -0.730  -0.140 -0.607  -0.049 -0.483  0.042 -0.360  0.133 -0.237  0.224 -0.113  0.314 0.010  0.405 0.133  0.496 0.257  0.587 0.380  0.678 0.504  0.769 0.627  0.860 0.750  0.900 0.891  0.900 1.018  0.900 0.865  0.900 0.711  0.900 0.558  0.900 0.405  0.900 0.252  0.900 0.098  0.900 -0.055  0.900 -0.208  0.900 -0.361  0.900 -0.515  0.900 -0.668
2#tos#f1#f1081063/Q  0.311 -0.248  0.256 -0.436  0.146 -0.613  0.028 -0.771  -0.155 -0.887  -0.332 -0.972  -0.553 -0.972  -0.770 -0.953  -0.931 -0.817  -1.036 -0.644  -1.135 -0.472  -1.135 -0.251  -1.135 -0.029  -1.090 0.187  -1.047 0.402  -0.892 0.560  -0.808 0.765  -0.664 0.929  -0.473 1.037  -0.304 1.167  -0.135 1.302  0.069 1.358  0.291 1.358  0.512 1.358  0.671 1.231  0.849 1.102  0.957 0.910  1.056 0.712  1.074 0.495  1.074 0.273  1.011 0.067  0.911 -0.131  0.778 -0.308  0.636 -0.476  0.448 -0.586  0.284 -0.711  0.073 -0.731  -0.149 -0.731  -0.353 -0.659  -0.429 -0.464  -0.493 -0.262  -0.488 -0.043  -0.281 -0.007  -0.059 -0.007  0.147 -0.044  0.339 -0.116  0.507 -0.259  0.694 -0.350  0.814 -0.532  0.913 -0.731
2#tos#f1#f1081063/S  0.996 0.588  1.086 0.670  1.086 0.842  0.967 0.948  0.859 1.038  0.687 1.038  0.552 1.127  0.380 1.127  0.208 1.127  0.036 1.127  -0.136 1.127  -0.307 1.127  -0.468 1.101  -0.614 1.038  -0.666 0.892  -0.645 0.725  -0.584 0.564  -0.460 0.490  -0.349 0.361  -0.213 0.256  -0.056 0.190  0.059 0.094  0.196 0.023  0.311 -0.097  0.471 -0.160  0.608 -0.261  0.714 -0.377  0.818 -0.493  0.861 -0.655  0.903 -0.805  0.743 -0.834  0.582 -0.886  0.418 -0.938  0.246 -0.940  0.075 -0.940  -0.097 -0.940  -0.269 -0.940  -0.441 -0.940  -0.590 -0.868  -0.621 -0.704  -0.620 -0.532  -0.576 -0.371  -0.461 -0.260  -0.475 -0.327  -0.558 -0.461  -0.662 -0.566  -0.800 -0.669  -0.925 -0.786  -1.063 -0.889  -1.205 -0.984
2#tos#f1#f1081063/T  -0.654 0.555  -0.801 0.555  -0.916 0.503  -1.047 0.476  -1.186 0.456  -1.320 0.418  -1.263 0.397  -1.116 0.397  -0.969 0.397  -0.822 0.397  -0.675 0.397  -0.541 0.454  -0.399 0.476  -0.253 0.493  -0.108 0.515  0.039 0.515  0.186 0.518  0.329 0.554  0.476 0.555  0.623 0.555  0.770 0.555  0.908 0.515  1.054 0.509  1.193 0.476  1.214 0.466  1.069 0.443  0.924 0.419  0.778 0.396  0.633 0.373  0.488 0.350  0.342 0.326  0.196 0.318  0.056 0.278  -0.013 0.200  -0.046 0.113  0.035 0.006  0.056 -0.139  0.056 -0.286  0.056 -0.433  0.056 -0.580  0.056 -0.727  0.056 -0.875  0.056 -1.022  0.056 -1.169  0.056 -1.316  0.056 -1.463  0.056 -1.611  0.056 -1.758  0.056 -1.905  0.095 -2.046
2#tos#f1#f1081063/U  -0.468 0.730  -0.468 0.854  -0.536 0.909  -0.611 0.985  -0.667 1.052  -0.682 0.944  -0.682 0.820  -0.682 0.697  -0.682 0.573  -0.682 0.450  -0.682 0.326  -0.682 0.203  -0.682 0.080  -0.682 -0.044  -0.682 -0.167  -0.682 -0.291  -0.656 -0.411  -0.646 -0.533  -0.646 -0.657  -0.646 -0.780  -0.554 -0.837  -0.463 -0.918  -0.407 -1.025  -0.351 -1.128  -0.242 -1.164  -0.119 -1.164  0.005 -1.164  0.106 -1.103  0.204 -1.028  0.291 -0.941  0.356 -0.838  0.424 -0.737  0.493 -0.636  0.548 -0.526  0.588 -0.410  0.617 -0.290  0.658 -0.175  0.732 -0.076  0.754 0.041  0.783 0.161  0.783 0.284  0.802 0.402  0.855 0.510  0.855 0.633  0.855 0.756  0.855 0.880  0.855 1.003  0.855 1.127  0.855 1.250  0.855 1.374
2#tos#f1#f1081063/W  -0.872 0.942  -1.009 0.979  -1.094 1.038  -1.094 0.865  -1.094 0.691  -1.094 0.517  -1.075 0.348  -1.008 0.188  -0.971 0.019  -0.934 -0.150  -0.853 -0.301  -0.835 -0.472  -0.758 -0.623  -0.703 -0.788  -0.610 -0.932  -0.576 -1.095  -0.502 -1.068  -0.485 -0.897  -0.416 -0.738  -0.361 -0.576  -0.292 -0.416  -0.236 -0.252  -0.170 -0.097  -0.095 0.046  -0.023 0.198  -0.021 0.371  0.050 0.524  0.100 0.474  0.165 0.355  0.237 0.203  0.281 0.047  0.351 -0.098  0.413 -0.260  0.425 -0.431  0.536 -0.558  0.609 -0.702  0.671 -0.835  0.782 -0.710  0.814 -0.545  0.892 -0.392  0.979 -0.251  1.008 -0.082  1.016 0.091  1.022 0.264  1.074 0.429  1.097 0.598  1.127 0.768  1.164 0.933  1.164 1.107  1.201 1.275
2#tos#f1#f1081063/X  -0.587 1.024  -0.763 0.965  -0.922 0.914  -0.918 0.727  -0.796 0.589  -0.748 0.416  -0.629 0.271  -0.503 0.134  -0.451 -0.033  -0.301 -0.144  -0.149 -0.251  -0.031 -0.396  0.074 -0.553  0.205 -0.689  0.338 -0.822  0.451 -0.970  0.580 -1.067  0.667 -1.168  0.751 -1.111  0.751 -0.923  0.751 -0.734  0.751 -0.546  0.751 -0.357  0.751 -0.169  0.751 0.020  0.751 0.209  0.751 0.397  0.751 0.586  0.751 0.774  0.751 0.963  0.748 1.149  0.709 1.298  0.552 1.284  0.472 1.120  0.365 0.972  0.241 0.831  0.121 0.686  0.002 0.542  -0.095 0.380  -0.192 0.218  -0.289 0.056  -0.397 -0.098  -0.515 -0.245  -0.628 -0.396  -0.725 -0.558  -0.803 -0.729  -0.895 -0.892  -0.997 -1.050  -1.071 -1.223  -1.131 -1.401
2#tos#f1#f1081063/a  0.596 0.335  0.531 0.450  0.531 0.630  0.531 0.810  0.526 0.988  0.398 1.116  0.244 1.177  0.063 1.177  -0.117 1.177  -0.297 1.177  -0.448 1.106  -0.587 0.994  -0.701 0.874  -0.730 0.699  -0.827 0.563  -0.989 0.482  -1.025 0.325  -1.025 0.145  -1.025 -0.036  -1.025 -0.216  -1.025 -0.396  -1.025 -0.576  -1.025 -0.756  -0.971 -0.928  -0.880 -1.026  -0.700 -1.026  -0.520 -1.026  -0.340 -1.026  -0.176 -0.959  -0.023 -0.867  0.105 -0.740  0.269 -0.702  0.411 -0.655  0.446 -0.478  0.466 -0.300  0.466 -0.120  0.466 0.060  0.466 0.240  0.466 0.420  0.466 0.458  0.466 0.278  0.466 0.098  0.516 -0.074  0.637 -0.184  0.766 -0.266  0.847 -0.427  0.920 -0.590  0.976 -0.740  1.129 -0.832  1.309 -0.832
2#tos#f1#f1081063/c  0.868 0.985  0.767 0.934  0.654 0.934  0.562 0.984  0.500 1.036  0.387 1.036  0.274 1.036  0.161 1.036  0.048 1.036  -0.065 1.036  -0.156 0.984  -0.236 0.904  -0.318 0.827  -0.419 0.776  -0.513 0.721  -0.523 0.611  -0.586 0.517  -0.665 0.440  -0.759 0.377  -0.793 0.272  -0.821 0.162  -0.848 0.053  -0.871 -0.057  -0.871 -0.170  -0.871 -0.283  -0.871 -0.396  -0.871 -0.509  -0.855 -0.616  -0.775 -0.696  -0.676 -0.749  -0.575 -0.799  -0.463 -0.805  -0.350 -0.805  -0.237 -0.805  -0.124 -0.805  -0.011 -0.805  0.102 -0.805  0.215 -0.805  0.328 -0.805  0.437 -0.778  0.543 -0.741  0.648 -0.699  0.753 -0.657  0.848 -0.596  0.944 -0.537  1.045 -0.486  1.149 -0.447  1.262 -0.447  1.301 -0.352  1.328 -0.242
2#tos#f1#f1081063/e  -0.265 0.694  -0.348 0.565  -0.520 0.549  -0.689 0.507  -0.833 0.488  -0.716 0.363  -0.598 0.307  -0.439 0.243  -0.329 0.179  -0.155 0.179  0.018 0.179  0.192 0.179  0.366 0.179  0.530 0.222  0.692 0.271  0.765 0.400  0.765 0.574  0.765 0.748  0.765 0.922  0.647 1.016  0.483 1.060  0.314 1.080  0.140 1.080  -0.031 1.068  -0.161 0.966  -0.287 0.887  -0.402 0.778  -0.476 0.623  -0.518 0.455  -0.632 0.327  -0.652 0.161  -0.652 -0.013  -0.706 -0.178  -0.716 -0.350  -0.716 -0.524  -0.691 -0.695  -0.643 -0.860  -0.545 -1.001  -0.424 -1.109  -0.250 -1.109  -0.080 -1.139  0.090 -1.173  0.264 -1.173  0.437 -1.173  0.611 -1.173  0.781 -1.137  0.951 -1.109  1.125 -1.109  1.299 -1.109  1.473 -1.109
2#tos#f1#f1081063/f  0.543 1.195  0.582 1.301  0.582 1.446  0.536 1.545  0.407 1.583  0.263 1.583  0.118 1.583  0.004 1.510  -0.114 1.430  -0.181 1.351  -0.221 1.222  -0.234 1.079  -0.234 0.934  -0.191 0.800  -0.127 0.670  -0.117 0.528  -0.081 0.389  -0.065 0.250  0.037 0.148  0.062 0.006  0.077 -0.138  0.077 -0.282  0.155 -0.379  0.155 -0.524  0.179 -0.664  0.193 -0.807  0.193 -0.951  0.193 -1.096  0.193 -1.241  0.142 -1.367  0.075 -1.397  -0.018 -1.286  -0.111 -1.175  -0.204 -1.065  -0.298 -0.954  -0.391 -0.843  -0.484 -0.733  -0.578 -0.668  -0.700 -0.645  -0.726 -0.552  -0.591 -0.513  -0.449 -0.494  -0.312 -0.455  -0.181 -0.396  -0.037 -0.395  0.099 -0.358  0.238 -0.335  0.370 -0.280  0.515 -0.280  0.659 -0.280
2#tos#f1#f1081063/i  -0.012 -0.223  -0.051 -0.125  -0.061 -0.054  -0.061 -0.191  -0.061 -0.328  -0.061 -0.465  -0.061 -0.601  -0.061 -0.738  -0.061 -0.875  -0.061 -1.011  -0.061 -1.148  -0.061 -1.285  -0.061 -1.421  -0.061 -1.558  -0.061 -1.695  -0.006 -1.610  0.004 -1.474  0.014 -1.338  0.024 -1.201  0.034 -1.065  0.044 -0.929  0.055 -0.792  0.065 -0.656  0.075 -0.520  0.085 -0.384  0.095 -0.247  0.105 -0.111  0.115 0.025  0.125 0.162  0.135 0.298  0.145 0.434  0.156 0.571  0.166 0.707  0.176 0.843  0.160 0.956  0.123 1.060  -0.004 1.103  -0.111 1.133  -0.111 1.269  -0.162 1.224  -0.173 1.152  -0.099 1.256  0.028 1.299  0.109 1.286  -0.020 1.250  -0.128 1.183  -0.252 1.152  -0.145 1.181  -0.051 1.250  0.086 1.250
2#tos#f1#f1081063/j  0.490 0.511  0.490 0.454  0.524 0.336  0.524 0.211  0.547 0.090  0.600 -0.023  0.626 -0.144  0.626 -0.270  0.626 -0.396  0.626 -0.521  0.594 -0.642  0.592 -0.767  0.559 -0.885  0.483 -0.966  0.415 -1.071  0.323 -1.126  0.206 -1.160  0.097 -1.217  -0.025 -1.229  -0.150 -1.229  -0.261 -1.194  -0.365 -1.125  -0.468 -1.056  -0.566 -0.990  -0.602 -0.874  -0.602 -0.749  -0.583 -0.625  -0.557 -0.502  -0.531 -0.379  -0.506 -0.256  -0.480 -0.133  -0.454 -0.010  -0.429 0.113  -0.403 0.236  -0.377 0.359  -0.351 0.481  -0.326 0.604  -0.300 0.727  -0.274 0.850  -0.249 0.973  -0.223 1.096  -0.197 1.219  -0.172 1.342  -0.146 1.465  -0.110 1.555  -0.027 1.500  0.086 1.484  0.148 1.387  0.230 1.316  0.319 1.228
2#tos#f1#f1081063/k  -0.075 1.234  -0.294 1.300  -0.502 1.356  -0.589 1.500  -0.660 1.660  -0.662 1.644  -0.657 1.413  -0.624 1.184  -0.609 0.954  -0.609 0.722  -0.609 0.491  -0.609 0.260  -0.449 0.114  -0.449 -0.118  -0.449 -0.349  -0.342 -0.548  -0.342 -0.780  -0.342 -1.011  -0.318 -1.238  -0.288 -1.465  -0.342 -1.331  -0.336 -1.101  -0.239 -0.891  -0.142 -0.681  -0.045 -0.471  -0.022 -0.244  0.115 -0.070  0.279 0.094  0.359 0.294  0.489 0.433  0.614 0.581  0.815 0.647  0.939 0.646  0.805 0.478  0.621 0.358  0.493 0.165  0.318 0.020  0.139 -0.121  -0.076 -0.208  -0.271 -0.332  -0.449 -0.413  -0.225 -0.420  0.007 -0.420  0.216 -0.498  0.412 -0.584  0.596 -0.718  0.803 -0.792  1.018 -0.847  1.219 -0.889  1.365 -1.007
2#tos#f1#f1081063/n  -0.180 0.877  -0.359 0.877  -0.537 0.877  -0.606 0.986  -0.606 1.164  -0.659 1.208  -0.659 1.030  -0.659 0.852  -0.659 0.674  -0.659 0.495  -0.659 0.317  -0.659 0.139  -0.659 -0.040  -0.659 -0.218  -0.659 -0.396  -0.659 -0.574  -0.659 -0.753  -0.659 -0.931  -0.659 -1.109  -0.579 -1.263  -0.499 -1.227  -0.499 -1.049  -0.494 -0.873  -0.368 -0.747  -0.274 -0.603  -0.239 -0.428  -0.233 -0.251  -0.162 -0.097  -0.050 0.042  0.038 0.196  0.103 0.361  0.139 0.535  0.183 0.686  0.322 0.794  0.422 0.930  0.511 0.841  0.671 0.822  0.671 0.644  0.692 0.472  0.777 0.319  0.777 0.141  0.777 -0.037  0.797 -0.207  0.923 -0.333  0.987 -0.498  1.031 -0.671  1.103 -0.832  1.229 -0.958  1.290 -1.091  1.468 -1.091
2#tos#f1#f1081063/o  0.107 0.857  -0.043 0.857  -0.086 0.965  -0.214 1.017  -0.322 0.977  -0.460 0.965  -0.591 0.904  -0.591 0.754  -0.672 0.628  -0.698 0.486  -0.739 0.346  -0.805 0.211  -0.805 0.061  -0.805 -0.089  -0.805 -0.239  -0.805 -0.389  -0.805 -0.540  -0.805 -0.690  -0.787 -0.834  -0.703 -0.959  -0.625 -1.081  -0.483 -1.129  -0.355 -1.182  -0.205 -1.182  -0.055 -1.182  0.093 -1.159  0.238 -1.122  0.384 -1.086  0.502 -1.001  0.609 -0.895  0.699 -0.777  0.791 -0.659  0.897 -0.553  0.966 -0.421  0.966 -0.271  0.966 -0.121  0.966 0.029  0.966 0.179  0.907 0.287  0.796 0.363  0.767 0.510  0.682 0.589  0.541 0.621  0.422 0.710  0.330 0.804  0.206 0.866  0.074 0.911  -0.076 0.911  -0.215 0.900  -0.322 0.857
2#tos#f1#f1081063/p  0.289 1.148  0.100 1.204  -0.057 1.259  -0.154 1.254  -0.154 1.042  -0.164 0.831  -0.214 0.625  -0.256 0.417  -0.264 0.206  -0.264 -0.006  -0.264 -0.218  -0.264 -0.430  -0.264 -0.642  -0.264 -0.854  -0.264 -1.066  -0.264 -1.278  -0.234 -1.485  -0.209 -1.693  -0.209 -1.905  -0.102 -1.845  -0.098 -1.634  -0.098 -1.422  -0.098 -1.210  -0.098 -0.998  -0.098 -0.786  -0.098 -0.574  -0.098 -0.362  -0.176 -0.173  -0.257 0.021  -0.324 0.222  -0.375 0.426  -0.412 0.633  -0.485 0.788  -0.473 0.995  -0.279 1.038  -0.067 1.038  0.145 1.038  0.357 1.038  0.563 1.002  0.728 0.875  0.897 0.830  0.952 0.641  0.952 0.429  0.793 0.290  0.611 0.181  0.527 0.000  0.368 -0.068  0.225 -0.184  0.048 -0.299  -0.154 -0.344
2#tos#f1#f1081063/q  0.268 0.611  0.268 0.607  0.268 0.819  0.105 0.901  -0.019 0.990  -0.231 0.990  -0.444 0.990  -0.545 0.879  -0.690 0.755  -0.824 0.603  -0.925 0.432  -1.025 0.273  -1.087 0.094  -1.124 -0.115  -1.142 -0.326  -1.087 -0.530  -1.012 -0.711  -0.868 -0.801  -0.699 -0.907  -0.487 -0.907  -0.274 -0.907  -0.119 -0.813  0.070 -0.770  0.182 -0.590  0.349 -0.482  0.484 -0.334  0.593 -0.189  0.593 0.024  0.593 0.237  0.593 0.449  0.593 0.662  0.593 0.875  0.593 1.087  0.445 1.153  0.233 1.153  0.186 1.018  0.264 0.831  0.293 0.627  0.376 0.440  0.376 0.227  0.376 0.014  0.376 -0.199  0.430 -0.402  0.430 -0.615  0.430 -0.828  0.430 -1.040  0.430 -1.253  0.430 -1.466  0.469 -1.672  0.484 -1.882
2#tos#f1#f1081063/v  -1.002 0.719  -1.109 0.719  -1.216 0.719  -1.244 0.719  -1.152 0.669  -1.063 0.610  -1.026 0.518  -0.951 0.443  -0.901 0.348  -0.853 0.253  -0.805 0.157  -0.753 0.064  -0.693 -0.025  -0.640 -0.118  -0.596 -0.215  -0.562 -0.317  -0.492 -0.391  -0.403 -0.450  -0.381 -0.546  -0.358 -0.649  -0.325 -0.751  -0.270 -0.803  -0.212 -0.852  -0.169 -0.916  -0.118 -0.973  -0.011 -0.973  0.088 -0.954  0.143 -0.866  0.177 -0.764  0.244 -0.683  0.304 -0.594  0.363 -0.505  0.422 -0.415  0.474 -0.323  0.508 -0.221  0.558 -0.127  0.618 -0.038  0.669 0.056  0.716 0.151  0.769 0.245  0.828 0.334  0.895 0.417  0.971 0.492  1.047 0.568  1.114 0.650  1.174 0.739  1.230 0.830  1.286 0.922  1.341 1.014  1.367 1.114
2#tos#f1#f1081063/x  -0.795 1.359  -0.862 1.215  -1.010 1.127  -0.946 0.999  -0.898 0.832  -0.785 0.699  -0.660 0.573  -0.560 0.426  -0.461 0.279  -0.354 0.137  -0.248 -0.005  -0.117 -0.119  0.012 -0.239  0.111 -0.381  0.228 -0.492  0.377 -0.573  0.469 -0.705  0.617 -0.796  0.715 -0.941  0.871 -1.013  0.880 -0.843  0.880 -0.666  0.880 -0.488  0.880 -0.311  0.880 -0.133  0.880 0.045  0.880 0.222  0.880 0.400  0.880 0.578  0.880 0.755  0.880 0.933  0.717 0.987  0.546 0.975  0.444 0.830  0.326 0.698  0.220 0.555  0.120 0.408  0.014 0.266  -0.109 0.138  -0.234 0.012  -0.360 -0.113  -0.469 -0.253  -0.515 -0.415  -0.541 -0.585  -0.639 -0.733  -0.754 -0.866  -0.892 -0.976  -0.972 -1.134  -1.068 -1.283  -1.213 -1.385
2#tos#f1#f1081063/y  -0.654 1.078  -0.748 0.988  -0.774 0.890  -0.633 0.852  -0.609 0.727  -0.496 0.638  -0.405 0.523  -0.293 0.436  -0.276 0.293  -0.161 0.199  -0.028 0.132  0.009 -0.008  0.038 -0.142  0.168 -0.191  0.276 -0.181  0.345 -0.048  0.414 0.085  0.482 0.218  0.551 0.351  0.620 0.484  0.689 0.617  0.757 0.750  0.826 0.882  0.895 1.015  0.882 1.112  0.803 1.044  0.700 0.937  0.651 0.796  0.575 0.668  0.485 0.548  0.401 0.424  0.323 0.297  0.245 0.169  0.156 0.049  0.078 -0.078  0.024 -0.215  0.024 -0.365  -0.058 -0.490  -0.141 -0.614  -0.253 -0.711  -0.350 -0.816  -0.391 -0.960  -0.438 -1.101  -0.544 -1.206  -0.609 -1.329  -0.623 -1.475  -0.700 -1.603  -0.745 -1.740  -0.745 -1.890  -0.745 -2.040
2#tos#f1#f1081063/z  0.111 1.082  -0.054 1.021  -0.189 0.913  -0.353 0.850  -0.511 0.771  -0.679 0.719  -0.856 0.719  -0.722 0.743  -0.552 0.771  -0.378 0.791  -0.206 0.823  -0.031 0.830  0.133 0.893  0.294 0.954  0.460 0.978  0.637 0.978  0.761 1.030  0.739 0.887  0.641 0.762  0.577 0.619  0.451 0.497  0.318 0.392  0.247 0.251  0.111 0.143  0.045 0.002  -0.076 -0.119  -0.158 -0.275  -0.283 -0.400  -0.417 -0.513  -0.539 -0.632  -0.622 -0.786  -0.771 -0.855  -0.903 -0.939  -0.998 -1.063  -1.010 -1.075  -0.847 -1.043  -0.671 -1.043  -0.499 -1.031  -0.374 -0.906  -0.213 -0.840  -0.041 -0.804  0.134 -0.784  0.309 -0.775  0.482 -0.741  0.658 -0.732  0.832 -0.716  0.999 -0.660  1.167 -0.605  1.337 -0.559  1.510 -0.525
