2#apb#apb29#app2945/k  -1.329 0.994  -1.265 1.198  -1.210 1.401  -1.124 1.275  -1.047 1.078  -0.983 0.875  -0.900 0.678  -0.817 0.481  -0.732 0.286  -0.644 0.091  -0.557 -0.103  -0.466 -0.297  -0.375 -0.489  -0.287 -0.684  -0.210 -0.883  -0.133 -1.082  -0.079 -1.288  0.003 -1.485  -0.009 -1.285  0.049 -1.080  0.107 -0.875  0.166 -0.669  0.224 -0.464  0.282 -0.259  0.340 -0.053  0.398 0.152  0.456 0.357  0.514 0.563  0.572 0.768  0.630 0.974  0.683 1.176  0.605 0.979  0.525 0.781  0.397 0.612  0.251 0.457  0.101 0.305  -0.038 0.143  -0.188 -0.008  -0.367 -0.120  -0.417 -0.215  -0.209 -0.235  0.004 -0.239  0.215 -0.271  0.427 -0.295  0.639 -0.312  0.848 -0.357  1.051 -0.418  1.229 -0.529  1.312 -0.717  1.364 -0.914
2#apb#apb29#app2945/e  -1.186 -0.343  -1.182 -0.240  -1.011 -0.240  -0.857 -0.314  -0.695 -0.369  -0.529 -0.411  -0.363 -0.385  -0.197 -0.340  -0.031 -0.296  0.134 -0.252  0.298 -0.200  0.445 -0.123  0.557 0.008  0.609 0.170  0.617 0.340  0.589 0.507  0.531 0.668  0.421 0.795  0.290 0.905  0.143 0.993  -0.010 1.071  -0.171 1.126  -0.343 1.126  -0.514 1.126  -0.670 1.082  -0.800 0.970  -0.903 0.841  -0.903 0.670  -0.903 0.498  -0.870 0.332  -0.823 0.168  -0.810 -0.004  -0.774 -0.165  -0.659 -0.292  -0.543 -0.419  -0.404 -0.519  -0.264 -0.619  -0.111 -0.681  0.060 -0.690  0.231 -0.698  0.403 -0.697  0.573 -0.683  0.744 -0.668  0.915 -0.653  1.085 -0.628  1.255 -0.603  1.425 -0.577  1.582 -0.510  1.738 -0.438  1.879 -0.343
2#apb#apb29#app2945/y  -1.206 0.876  -1.227 0.853  -1.249 0.695  -1.267 0.670  -1.242 0.748  -1.227 0.812  -1.166 0.751  -1.033 0.661  -0.935 0.534  -0.821 0.424  -0.692 0.330  -0.561 0.238  -0.429 0.146  -0.296 0.057  -0.163 -0.032  -0.036 -0.128  0.066 -0.252  0.176 -0.367  0.287 -0.470  0.336 -0.562  0.410 -0.420  0.464 -0.270  0.518 -0.119  0.572 0.032  0.626 0.183  0.680 0.334  0.734 0.485  0.788 0.635  0.842 0.786  0.896 0.937  0.836 0.987  0.797 0.834  0.721 0.693  0.654 0.548  0.603 0.396  0.556 0.243  0.511 0.089  0.467 -0.065  0.428 -0.220  0.389 -0.376  0.351 -0.531  0.276 -0.673  0.201 -0.814  0.126 -0.956  0.051 -1.098  -0.023 -1.239  -0.094 -1.383  -0.161 -1.529  -0.245 -1.664  -0.289 -1.810
2#apb#apb29#app2945/s  0.320 1.210  0.445 1.283  0.556 1.372  0.612 1.390  0.486 1.320  0.385 1.215  0.287 1.108  0.188 1.001  0.070 0.915  -0.047 0.829  -0.164 0.743  -0.268 0.641  -0.367 0.534  -0.466 0.427  -0.579 0.338  -0.702 0.260  -0.823 0.179  -0.939 0.091  -1.049 -0.004  -1.151 -0.107  -1.094 -0.052  -0.951 -0.024  -0.809 0.009  -0.671 0.055  -0.533 0.101  -0.388 0.113  -0.243 0.125  -0.097 0.127  0.048 0.127  0.192 0.115  0.334 0.083  0.476 0.050  0.614 0.004  0.726 -0.071  0.786 -0.204  0.825 -0.343  0.851 -0.486  0.844 -0.629  0.816 -0.772  0.737 -0.892  0.647 -1.005  0.539 -1.101  0.418 -1.182  0.297 -1.263  0.156 -1.297  0.014 -1.329  -0.128 -1.320  -0.269 -1.285  -0.404 -1.234  -0.530 -1.162
2#apb#apb29#app2945/h  -0.799 1.615  -0.790 1.703  -0.741 1.622  -0.655 1.536  -0.620 1.422  -0.591 1.304  -0.566 1.186  -0.544 1.067  -0.521 0.947  -0.499 0.828  -0.476 0.709  -0.453 0.590  -0.431 0.471  -0.411 0.351  -0.392 0.232  -0.373 0.112  -0.360 -0.008  -0.353 -0.129  -0.346 -0.250  -0.342 -0.371  -0.350 -0.492  -0.358 -0.613  -0.362 -0.734  -0.362 -0.856  -0.362 -0.977  -0.343 -0.904  -0.282 -0.799  -0.219 -0.695  -0.170 -0.585  -0.123 -0.473  -0.073 -0.363  -0.019 -0.254  0.043 -0.151  0.114 -0.052  0.198 0.030  0.306 0.034  0.419 0.007  0.530 -0.041  0.641 -0.091  0.754 -0.133  0.869 -0.172  0.931 -0.271  0.981 -0.382  1.019 -0.497  1.049 -0.614  1.073 -0.733  1.080 -0.853  1.080 -0.974  1.080 -1.096  1.124 -1.204
2#apb#apb29#app2945/i  -0.081 -0.361  -0.102 -0.298  -0.111 -0.374  -0.068 -0.461  -0.030 -0.550  -0.020 -0.647  -0.010 -0.745  0.005 -0.841  0.025 -0.937  0.045 -1.032  0.094 -1.117  0.142 -1.202  0.166 -1.297  0.179 -1.386  0.137 -1.378  0.128 -1.280  0.119 -1.183  0.109 -1.086  0.100 -0.988  0.091 -0.891  0.082 -0.794  0.072 -0.696  0.063 -0.599  0.054 -0.502  0.045 -0.404  0.035 -0.307  0.026 -0.210  0.017 -0.112  0.007 -0.015  -0.002 0.082  -0.011 0.180  -0.020 0.277  -0.030 0.374  -0.039 0.471  -0.048 0.569  -0.057 0.666  -0.067 0.763  -0.076 0.861  -0.085 0.958  -0.094 1.055  -0.104 1.153  -0.125 1.248  -0.130 1.345  -0.124 1.442  -0.098 1.536  -0.067 1.629  -0.076 1.722  -0.057 1.812  -0.026 1.811  0.018 1.737
2#apb#apb29#app2945/d  0.186 -0.458  0.144 -0.267  0.070 -0.081  -0.088 0.036  -0.279 0.106  -0.473 0.157  -0.674 0.130  -0.869 0.072  -1.057 -0.005  -1.171 -0.161  -1.171 -0.365  -1.147 -0.565  -1.053 -0.744  -0.931 -0.908  -0.761 -1.021  -0.574 -1.100  -0.381 -1.158  -0.177 -1.158  0.021 -1.110  0.105 -0.954  0.140 -0.753  0.175 -0.552  0.210 -0.351  0.245 -0.150  0.280 0.051  0.314 0.252  0.349 0.453  0.384 0.654  0.419 0.855  0.454 1.056  0.489 1.257  0.524 1.458  0.559 1.659  0.602 1.806  0.577 1.607  0.523 1.411  0.462 1.216  0.431 1.015  0.400 0.813  0.366 0.612  0.324 0.412  0.283 0.212  0.256 0.010  0.236 -0.193  0.229 -0.397  0.229 -0.601  0.229 -0.805  0.218 -1.008  0.186 -1.208  0.186 -1.243
2#apb#apb29#app2945/d  -0.247 -0.413  -0.140 -0.242  -0.024 -0.074  -0.005 0.119  -0.176 0.229  -0.370 0.296  -0.559 0.217  -0.755 0.159  -0.915 0.030  -1.056 -0.119  -1.158 -0.296  -1.216 -0.488  -1.203 -0.693  -1.111 -0.864  -0.954 -0.991  -0.762 -1.065  -0.561 -1.107  -0.358 -1.141  -0.153 -1.145  0.050 -1.130  0.242 -1.056  0.308 -0.885  0.332 -0.681  0.355 -0.476  0.378 -0.272  0.401 -0.068  0.425 0.137  0.448 0.341  0.471 0.546  0.494 0.750  0.518 0.954  0.541 1.159  0.564 1.363  0.587 1.568  0.610 1.772  0.597 1.634  0.554 1.433  0.507 1.233  0.466 1.031  0.431 0.828  0.397 0.626  0.369 0.422  0.341 0.218  0.291 0.019  0.235 -0.179  0.183 -0.378  0.137 -0.579  0.097 -0.780  0.097 -0.986  0.291 -0.973
2#apb#apb29#app2945/e  -0.563 -0.173  -0.418 -0.149  -0.275 -0.160  -0.132 -0.200  0.011 -0.240  0.159 -0.248  0.272 -0.161  0.387 -0.068  0.499 0.029  0.570 0.151  0.595 0.298  0.597 0.446  0.590 0.594  0.572 0.742  0.553 0.889  0.532 1.036  0.485 1.175  0.418 1.308  0.280 1.325  0.131 1.325  -0.012 1.301  -0.145 1.234  -0.259 1.142  -0.364 1.037  -0.457 0.921  -0.548 0.804  -0.639 0.686  -0.686 0.545  -0.726 0.402  -0.759 0.257  -0.788 0.112  -0.788 -0.037  -0.785 -0.185  -0.753 -0.330  -0.720 -0.475  -0.656 -0.608  -0.583 -0.737  -0.480 -0.842  -0.368 -0.939  -0.244 -1.017  -0.104 -1.068  0.036 -1.118  0.179 -1.146  0.328 -1.146  0.476 -1.146  0.625 -1.146  0.774 -1.146  0.922 -1.146  1.061 -1.095  1.196 -1.034
2#apb#apb29#app2945/n  -0.344 1.003  -0.378 0.907  -0.378 0.729  -0.407 0.553  -0.442 0.377  -0.480 0.203  -0.521 0.029  -0.588 -0.137  -0.654 -0.303  -0.705 -0.474  -0.755 -0.645  -0.755 -0.824  -0.755 -1.003  -0.725 -1.177  -0.568 -1.211  -0.429 -1.100  -0.281 -0.999  -0.232 -0.864  -0.282 -0.692  -0.331 -0.520  -0.381 -0.349  -0.431 -0.177  -0.481 -0.005  -0.530 0.166  -0.580 0.338  -0.584 0.516  -0.546 0.683  -0.441 0.828  -0.305 0.940  -0.169 1.053  -0.002 1.117  0.167 1.174  0.346 1.175  0.515 1.147  0.666 1.055  0.757 0.920  0.818 0.752  0.874 0.583  0.918 0.409  0.949 0.233  1.033 0.081  1.082 -0.087  1.095 -0.265  1.030 -0.428  0.950 -0.588  0.870 -0.748  0.753 -0.881  0.630 -1.010  0.532 -1.158  0.478 -1.327
2#apb#apb29#app2945/b  -0.875 0.212  -0.921 0.382  -0.968 0.552  -1.014 0.722  -1.041 0.893  -1.002 1.064  -0.957 1.235  -0.914 1.254  -0.903 1.078  -0.866 0.906  -0.818 0.736  -0.767 0.567  -0.714 0.399  -0.650 0.235  -0.580 0.073  -0.474 -0.069  -0.370 -0.211  -0.268 -0.356  -0.171 -0.501  -0.171 -0.677  -0.269 -0.737  -0.287 -0.563  -0.308 -0.389  -0.308 -0.213  -0.308 -0.036  -0.292 0.138  -0.168 0.247  0.000 0.300  0.164 0.364  0.330 0.424  0.506 0.427  0.675 0.382  0.841 0.322  1.003 0.254  1.139 0.142  1.265 0.020  1.381 -0.113  1.452 -0.271  1.443 -0.446  1.362 -0.595  1.224 -0.705  1.079 -0.806  0.911 -0.861  0.740 -0.900  0.565 -0.918  0.391 -0.892  0.218 -0.856  0.047 -0.815  -0.124 -0.768  -0.230 -0.629
2#apb#apb29#app2945/y  -1.082 1.014  -1.103 0.931  -1.130 0.821  -1.098 0.719  -1.052 0.616  -1.009 0.511  -0.923 0.439  -0.832 0.370  -0.744 0.299  -0.653 0.233  -0.541 0.213  -0.429 0.203  -0.318 0.228  -0.212 0.267  -0.109 0.315  -0.024 0.390  0.054 0.471  0.109 0.570  0.149 0.676  0.178 0.785  0.206 0.893  0.178 0.995  0.193 1.049  0.243 0.948  0.278 0.840  0.329 0.739  0.380 0.637  0.412 0.528  0.444 0.419  0.476 0.310  0.471 0.196  0.466 0.083  0.461 -0.031  0.456 -0.144  0.447 -0.257  0.439 -0.371  0.430 -0.484  0.422 -0.597  0.413 -0.711  0.405 -0.824  0.396 -0.937  0.387 -1.051  0.373 -1.163  0.344 -1.273  0.315 -1.383  0.286 -1.493  0.276 -1.606  0.267 -1.719  0.267 -1.833  0.305 -1.835
2#apb#apb29#app2945/q  0.119 0.665  0.090 0.803  -0.025 0.899  -0.121 1.015  -0.240 1.110  -0.363 1.183  -0.516 1.183  -0.662 1.149  -0.801 1.086  -0.863 0.949  -0.897 0.800  -0.886 0.648  -0.806 0.524  -0.694 0.420  -0.578 0.322  -0.432 0.294  -0.280 0.284  -0.127 0.274  0.026 0.272  0.177 0.288  0.299 0.374  0.326 0.521  0.268 0.661  0.221 0.781  0.213 0.742  0.222 0.749  0.209 0.694  0.222 0.542  0.222 0.389  0.214 0.237  0.199 0.084  0.186 -0.068  0.178 -0.221  0.170 -0.373  0.162 -0.526  0.154 -0.679  0.146 -0.832  0.137 -0.984  0.101 -1.133  0.068 -1.282  0.035 -1.431  0.015 -1.582  0.083 -1.662  0.229 -1.618  0.345 -1.520  0.462 -1.423  0.593 -1.344  0.692 -1.235  0.733 -1.088  0.775 -0.941
2#apb#apb29#app2945/u  -0.794 0.768  -0.877 0.830  -0.855 0.895  -0.880 0.868  -0.904 0.760  -0.959 0.660  -1.004 0.554  -1.023 0.442  -1.023 0.327  -1.023 0.212  -1.023 0.097  -1.023 -0.018  -0.992 -0.126  -0.941 -0.229  -0.873 -0.322  -0.803 -0.414  -0.720 -0.490  -0.619 -0.545  -0.518 -0.600  -0.416 -0.653  -0.311 -0.702  -0.206 -0.750  -0.102 -0.798  0.010 -0.817  0.125 -0.827  0.240 -0.836  0.355 -0.839  0.470 -0.839  0.578 -0.804  0.684 -0.759  0.769 -0.682  0.850 -0.601  0.918 -0.510  0.965 -0.404  1.012 -0.299  1.032 -0.186  1.051 -0.072  1.070 0.041  1.028 0.147  0.982 0.253  0.925 0.352  0.857 0.445  0.789 0.539  0.720 0.631  0.635 0.708  0.549 0.785  0.463 0.862  0.365 0.920  0.263 0.973  0.182 1.055
2#apb#apb29#app2945/i  -0.113 0.049  -0.075 -0.042  -0.109 -0.141  -0.156 -0.235  -0.157 -0.340  -0.157 -0.446  -0.156 -0.551  -0.140 -0.655  -0.124 -0.759  -0.096 -0.859  -0.042 -0.949  0.012 -1.040  0.064 -1.132  0.115 -1.224  0.188 -1.297  0.279 -1.338  0.378 -1.328  0.430 -1.236  0.447 -1.140  0.418 -1.039  0.389 -0.938  0.360 -0.837  0.331 -0.735  0.302 -0.634  0.273 -0.533  0.244 -0.431  0.215 -0.330  0.186 -0.229  0.157 -0.128  0.128 -0.026  0.099 0.075  0.070 0.176  0.041 0.277  0.012 0.379  -0.017 0.480  -0.046 0.581  -0.075 0.683  -0.104 0.784  -0.133 0.885  -0.162 0.986  -0.192 1.088  -0.221 1.189  -0.250 1.290  -0.279 1.392  -0.308 1.493  -0.337 1.594  -0.366 1.695  -0.395 1.797  -0.466 1.823  -0.465 1.856
2#apb#apb29#app2945/e  -1.144 0.223  -1.066 0.119  -0.934 0.026  -0.772 -0.014  -0.610 -0.054  -0.447 -0.091  -0.286 -0.135  -0.131 -0.195  0.026 -0.249  0.191 -0.225  0.356 -0.202  0.508 -0.135  0.577 0.006  0.594 0.171  0.587 0.337  0.554 0.501  0.505 0.660  0.445 0.816  0.355 0.949  0.221 1.049  0.090 1.153  -0.070 1.171  -0.236 1.181  -0.391 1.167  -0.521 1.062  -0.674 0.996  -0.737 0.850  -0.795 0.695  -0.880 0.554  -0.868 0.387  -0.856 0.221  -0.812 0.060  -0.763 -0.100  -0.681 -0.243  -0.585 -0.380  -0.456 -0.484  -0.319 -0.579  -0.179 -0.670  -0.034 -0.752  0.112 -0.833  0.265 -0.889  0.432 -0.906  0.598 -0.922  0.764 -0.933  0.931 -0.922  1.097 -0.912  1.264 -0.909  1.431 -0.909  1.594 -0.883  1.752 -0.830
2#apb#apb29#app2945/t  -0.172 1.279  -0.250 1.431  -0.288 1.511  -0.203 1.343  -0.155 1.163  -0.128 0.977  -0.099 0.791  -0.068 0.605  -0.037 0.419  -0.006 0.233  0.023 0.047  0.052 -0.139  0.103 -0.320  0.157 -0.500  0.210 -0.681  0.250 -0.865  0.294 -1.047  0.379 -1.216  0.453 -1.388  0.531 -1.553  0.664 -1.509  0.532 -1.375  0.400 -1.241  0.268 -1.107  0.135 -0.973  0.003 -0.839  -0.129 -0.705  -0.261 -0.571  -0.394 -0.437  -0.526 -0.303  -0.658 -0.169  -0.791 -0.034  -0.923 0.100  -1.055 0.234  -1.187 0.368  -1.119 0.434  -0.933 0.466  -0.748 0.493  -0.559 0.493  -0.371 0.493  -0.184 0.477  0.004 0.458  0.191 0.441  0.379 0.433  0.568 0.424  0.756 0.414  0.943 0.396  1.131 0.378  1.317 0.353  1.502 0.316
2#apb#apb29#app2945/z  -1.090 0.649  -1.193 0.727  -1.296 0.806  -1.379 0.808  -1.311 0.713  -1.196 0.653  -1.080 0.595  -0.951 0.591  -0.821 0.591  -0.692 0.592  -0.563 0.609  -0.434 0.626  -0.306 0.643  -0.177 0.662  -0.049 0.682  0.079 0.702  0.208 0.713  0.338 0.721  0.467 0.720  0.596 0.707  0.553 0.611  0.461 0.519  0.376 0.421  0.297 0.319  0.217 0.216  0.130 0.120  0.042 0.024  -0.042 -0.074  -0.126 -0.173  -0.205 -0.276  -0.274 -0.385  -0.336 -0.499  -0.384 -0.619  -0.390 -0.745  -0.288 -0.824  -0.172 -0.882  -0.050 -0.910  0.079 -0.895  0.208 -0.881  0.336 -0.864  0.465 -0.847  0.593 -0.829  0.722 -0.810  0.849 -0.789  0.977 -0.768  1.105 -0.746  1.235 -0.742  1.364 -0.742  1.494 -0.735  1.615 -0.703
2#apb#apb29#app2945/e  -0.336 -0.090  -0.290 -0.090  -0.156 -0.146  -0.015 -0.179  0.127 -0.169  0.265 -0.123  0.397 -0.061  0.505 0.025  0.563 0.159  0.609 0.298  0.580 0.439  0.530 0.575  0.465 0.705  0.385 0.827  0.296 0.942  0.205 1.056  0.099 1.154  -0.021 1.233  -0.167 1.233  -0.310 1.207  -0.450 1.168  -0.572 1.092  -0.687 1.002  -0.777 0.889  -0.861 0.769  -0.893 0.632  -0.905 0.486  -0.906 0.341  -0.896 0.195  -0.886 0.050  -0.823 -0.080  -0.754 -0.209  -0.684 -0.337  -0.613 -0.464  -0.541 -0.591  -0.458 -0.706  -0.333 -0.781  -0.208 -0.856  -0.078 -0.920  0.066 -0.944  0.210 -0.968  0.354 -0.990  0.499 -0.998  0.645 -1.006  0.790 -1.014  0.936 -1.014  1.082 -1.014  1.222 -0.987  1.356 -0.928  1.437 -0.814
2#apb#apb29#app2945/a  0.165 0.349  0.119 0.506  0.121 0.660  0.049 0.805  -0.011 0.951  -0.149 1.035  -0.300 1.076  -0.457 1.033  -0.601 0.964  -0.727 0.861  -0.849 0.753  -0.958 0.632  -1.062 0.508  -1.130 0.360  -1.198 0.212  -1.244 0.056  -1.277 -0.102  -1.245 -0.261  -1.160 -0.386  -1.024 -0.475  -0.876 -0.543  -0.723 -0.589  -0.560 -0.589  -0.397 -0.586  -0.235 -0.574  -0.075 -0.555  0.065 -0.472  0.199 -0.381  0.321 -0.273  0.418 -0.147  0.421 0.008  0.367 0.160  0.277 0.295  0.184 0.428  0.071 0.486  0.142 0.340  0.187 0.183  0.297 0.065  0.393 -0.065  0.477 -0.205  0.575 -0.334  0.677 -0.462  0.807 -0.556  0.950 -0.632  1.104 -0.687  1.257 -0.742  1.417 -0.774  1.576 -0.806  1.734 -0.788  1.890 -0.741
2#apb#apb29#app2945/l  -0.241 1.594  -0.232 1.607  -0.227 1.558  -0.208 1.491  -0.187 1.423  -0.167 1.356  -0.149 1.288  -0.133 1.219  -0.117 1.151  -0.101 1.082  -0.088 1.013  -0.079 0.943  -0.070 0.873  -0.061 0.804  -0.053 0.734  -0.045 0.664  -0.039 0.594  -0.033 0.524  -0.028 0.453  -0.022 0.383  -0.016 0.313  -0.010 0.243  -0.004 0.173  0.005 0.103  0.014 0.033  0.023 -0.036  0.032 -0.106  0.041 -0.176  0.051 -0.246  0.060 -0.316  0.063 -0.386  0.067 -0.456  0.070 -0.527  0.073 -0.597  0.077 -0.667  0.080 -0.737  0.084 -0.808  0.087 -0.878  0.091 -0.948  0.095 -1.019  0.099 -1.089  0.103 -1.159  0.103 -1.229  0.103 -1.300  0.103 -1.370  0.103 -1.441  0.114 -1.499  0.155 -1.537  0.182 -1.571  0.232 -1.521
