1c#kai#kai1#jhjung5/g  0.216 1.333  0.024 1.391  -0.178 1.391  -0.375 1.368  -0.566 1.304  -0.713 1.182  -0.800 1.002  -0.824 0.805  -0.824 0.604  -0.822 0.403  -0.758 0.212  -0.672 0.038  -0.498 -0.053  -0.297 -0.053  -0.100 -0.023  0.078 0.067  0.191 0.220  0.284 0.397  0.331 0.584  0.377 0.778  0.441 0.969  0.444 1.151  0.389 0.959  0.389 0.758  0.389 0.556  0.389 0.355  0.389 0.154  0.389 -0.048  0.389 -0.249  0.389 -0.451  0.342 -0.646  0.331 -0.846  0.331 -1.048  0.318 -1.247  0.274 -1.441  0.246 -1.638  0.115 -1.762  -0.061 -1.717  -0.196 -1.573  -0.281 -1.392  -0.304 -1.194  -0.266 -0.998  -0.208 -0.805  -0.144 -0.614  -0.060 -0.431  0.041 -0.258  0.167 -0.102  0.302 0.047  0.420 0.209  0.562 0.351
1c#kai#kai1#jhjung5/o  -0.341 0.885  -0.400 0.708  -0.459 0.530  -0.525 0.356  -0.609 0.188  -0.663 0.014  -0.667 -0.173  -0.726 -0.350  -0.743 -0.535  -0.768 -0.718  -0.820 -0.895  -0.761 -1.073  -0.702 -1.250  -0.602 -1.387  -0.424 -1.446  -0.237 -1.447  -0.072 -1.376  0.070 -1.261  0.129 -1.084  0.246 -0.941  0.378 -0.809  0.440 -0.633  0.499 -0.456  0.555 -0.277  0.600 -0.096  0.646 0.086  0.691 0.267  0.705 0.453  0.705 0.640  0.698 0.826  0.639 1.003  0.624 1.188  0.551 1.336  0.396 1.440  0.220 1.503  0.068 1.455  -0.065 1.323  -0.143 1.157  -0.202 0.979  -0.259 0.802  -0.200 0.624  -0.180 0.441  -0.158 0.257  -0.099 0.080  0.005 -0.076  0.109 -0.232  0.213 -0.388  0.384 -0.456  0.549 -0.539  0.705 -0.643
1c#kai#kai1#jhjung5/i  -1.463 -0.922  -1.331 -0.878  -1.199 -0.834  -1.076 -0.771  -0.960 -0.693  -0.844 -0.616  -0.728 -0.538  -0.612 -0.461  -0.497 -0.382  -0.399 -0.283  -0.300 -0.184  -0.201 -0.086  -0.121 0.028  -0.044 0.144  0.034 0.260  0.111 0.376  0.188 0.492  0.254 0.614  0.298 0.746  0.342 0.879  0.418 0.996  0.495 1.112  0.556 1.232  0.556 1.372  0.556 1.511  0.485 1.416  0.408 1.300  0.330 1.184  0.253 1.068  0.176 0.952  0.131 0.826  0.131 0.686  0.131 0.547  0.131 0.407  0.131 0.268  0.131 0.128  0.131 -0.011  0.131 -0.151  0.131 -0.290  0.131 -0.430  0.131 -0.569  0.131 -0.709  0.141 -0.847  0.185 -0.979  0.230 -1.111  0.274 -1.244  0.318 -1.376  0.398 -1.436  0.530 -1.392  0.663 -1.348
1c#kai#kai1#jhjung5/n  -1.288 -0.739  -1.224 -0.546  -1.122 -0.372  -1.029 -0.194  -0.956 -0.006  -0.843 0.163  -0.730 0.332  -0.605 0.490  -0.461 0.634  -0.279 0.715  -0.197 0.626  -0.197 0.423  -0.214 0.223  -0.278 0.030  -0.327 -0.167  -0.383 -0.362  -0.447 -0.554  -0.511 -0.747  -0.576 -0.939  -0.640 -1.132  -0.625 -1.089  -0.561 -0.896  -0.497 -0.704  -0.433 -0.511  -0.369 -0.318  -0.305 -0.126  -0.214 0.054  -0.111 0.227  -0.062 0.424  0.023 0.605  0.136 0.774  0.248 0.943  0.361 1.111  0.497 1.257  0.666 1.362  0.835 1.249  0.936 1.085  0.972 0.888  0.972 0.685  0.972 0.482  0.972 0.279  0.909 0.086  0.894 -0.114  0.826 -0.296  0.738 -0.473  0.738 -0.676  0.738 -0.879  0.842 -1.050  1.003 -1.129  1.206 -1.129
1c#kai#kai1#jhjung5/i  -1.469 -1.156  -1.332 -1.122  -1.195 -1.088  -1.057 -1.053  -0.932 -0.998  -0.832 -0.898  -0.732 -0.798  -0.632 -0.698  -0.543 -0.589  -0.465 -0.471  -0.386 -0.354  -0.296 -0.248  -0.178 -0.169  -0.061 -0.091  0.052 -0.008  0.096 0.126  0.141 0.260  0.194 0.390  0.273 0.508  0.351 0.626  0.430 0.743  0.508 0.861  0.586 0.979  0.665 1.096  0.716 1.227  0.761 1.361  0.806 1.495  0.731 1.384  0.652 1.267  0.574 1.149  0.495 1.031  0.417 0.914  0.338 0.796  0.278 0.670  0.233 0.535  0.188 0.401  0.143 0.267  0.099 0.133  0.054 -0.001  0.048 -0.142  0.048 -0.283  0.040 -0.423  -0.005 -0.557  -0.050 -0.692  -0.078 -0.828  -0.078 -0.970  -0.078 -1.111  0.018 -1.156  0.160 -1.156  0.301 -1.156
1c#kai#kai1#jhjung5/n  -0.387 0.950  -0.209 0.950  -0.097 0.885  -0.097 0.707  -0.138 0.536  -0.194 0.368  -0.250 0.200  -0.319 0.037  -0.417 -0.111  -0.502 -0.265  -0.558 -0.434  -0.640 -0.589  -0.738 -0.737  -0.810 -0.898  -0.866 -1.067  -0.922 -1.235  -0.966 -1.333  -0.966 -1.155  -0.934 -0.983  -0.878 -0.815  -0.822 -0.646  -0.763 -0.479  -0.684 -0.320  -0.604 -0.161  -0.511 -0.010  -0.413 0.138  -0.314 0.285  -0.216 0.433  -0.079 0.543  0.068 0.641  0.216 0.740  0.364 0.838  0.512 0.937  0.659 1.035  0.825 1.096  0.982 1.119  1.081 0.972  1.148 0.820  1.092 0.651  1.016 0.493  0.917 0.345  0.841 0.187  0.785 0.018  0.773 -0.158  0.764 -0.334  0.708 -0.502  0.652 -0.671  0.595 -0.839  0.620 -1.008  0.676 -1.176
1c#kai#kai1#jhjung5/d  0.039 0.179  -0.133 0.232  -0.311 0.220  -0.475 0.151  -0.614 0.040  -0.713 -0.110  -0.800 -0.263  -0.815 -0.441  -0.872 -0.611  -0.905 -0.786  -0.905 -0.965  -0.905 -1.145  -0.905 -1.325  -0.750 -1.393  -0.574 -1.383  -0.426 -1.281  -0.298 -1.154  -0.210 -0.999  -0.119 -0.844  -0.040 -0.685  0.041 -0.526  0.119 -0.366  0.176 -0.195  0.248 -0.031  0.316 0.135  0.361 0.309  0.418 0.479  0.475 0.650  0.532 0.820  0.589 0.991  0.646 1.161  0.668 1.338  0.710 1.511  0.766 1.681  0.683 1.566  0.620 1.399  0.563 1.228  0.519 1.054  0.465 0.882  0.408 0.712  0.351 0.541  0.295 0.371  0.238 0.200  0.181 0.029  0.121 -0.140  0.054 -0.307  -0.005 -0.477  -0.014 -0.655  0.044 -0.825  0.143 -0.974
1c#kai#kai1#jhjung5/a  0.296 1.496  0.148 1.398  0.001 1.297  -0.124 1.171  -0.250 1.045  -0.353 0.901  -0.452 0.753  -0.511 0.585  -0.568 0.417  -0.624 0.248  -0.680 0.079  -0.736 -0.090  -0.742 -0.267  -0.755 -0.443  -0.799 -0.616  -0.837 -0.789  -0.837 -0.967  -0.837 -1.145  -0.837 -1.323  -0.698 -1.426  -0.551 -1.520  -0.425 -1.394  -0.299 -1.269  -0.194 -1.126  -0.096 -0.978  -0.033 -0.812  0.031 -0.647  0.129 -0.499  0.213 -0.344  0.256 -0.171  0.300 0.001  0.357 0.170  0.430 0.330  0.529 0.478  0.600 0.638  0.643 0.811  0.673 0.985  0.673 1.163  0.633 1.092  0.579 0.923  0.579 0.745  0.553 0.571  0.497 0.403  0.484 0.227  0.484 0.049  0.484 -0.129  0.517 -0.301  0.574 -0.470  0.714 -0.575  0.862 -0.674
1c#kai#kai1#jhjung5/s  -1.203 -0.564  -1.086 -0.447  -0.969 -0.329  -0.851 -0.212  -0.734 -0.095  -0.643 0.038  -0.590 0.195  -0.511 0.339  -0.419 0.477  -0.327 0.615  -0.235 0.753  -0.143 0.891  -0.051 1.029  0.061 1.150  0.178 1.267  0.306 1.371  0.444 1.463  0.582 1.453  0.720 1.361  0.775 1.225  0.775 1.059  0.826 0.902  0.865 0.742  0.865 0.577  0.865 0.411  0.865 0.245  0.773 0.107  0.683 -0.031  0.630 -0.189  0.565 -0.340  0.473 -0.477  0.364 -0.598  0.226 -0.690  0.080 -0.765  -0.077 -0.818  -0.241 -0.833  -0.404 -0.826  -0.542 -0.735  -0.670 -0.635  -0.722 -0.478  -0.690 -0.405  -0.533 -0.457  -0.403 -0.555  -0.286 -0.672  -0.194 -0.804  -0.141 -0.962  -0.032 -1.075  0.106 -1.167  0.258 -1.231  0.415 -1.283
1c#kai#kai1#jhjung5/t  -0.672 -1.380  -0.552 -1.201  -0.476 -1.001  -0.366 -0.818  -0.281 -0.623  -0.195 -0.426  -0.105 -0.232  -0.040 -0.027  0.012 0.181  0.102 0.376  0.158 0.577  0.182 0.789  0.237 0.996  0.317 1.196  0.413 1.387  0.503 1.574  0.503 1.789  0.467 1.883  0.355 1.700  0.287 1.496  0.219 1.293  0.158 1.088  0.149 0.874  0.089 0.669  0.079 0.456  0.020 0.251  0.020 0.036  -0.024 -0.173  -0.050 -0.385  -0.050 -0.600  -0.068 -0.812  -0.119 -1.018  -0.119 -1.233  -0.119 -1.448  -0.043 -1.587  0.147 -1.528  0.184 -1.356  0.095 -1.160  0.005 -0.965  -0.084 -0.770  -0.174 -0.575  -0.263 -0.379  -0.353 -0.184  -0.442 0.011  -0.532 0.207  -0.333 0.143  -0.129 0.206  0.085 0.210  0.300 0.211  0.503 0.279
1c#kai#kai1#jhjung5/e  -0.224 -0.836  -0.148 -0.722  -0.072 -0.608  0.004 -0.494  0.048 -0.364  0.091 -0.234  0.135 -0.104  0.178 0.026  0.222 0.156  0.265 0.286  0.308 0.416  0.352 0.546  0.352 0.683  0.352 0.820  0.331 0.954  0.287 1.084  0.244 1.214  0.142 1.300  0.028 1.376  -0.086 1.452  -0.200 1.407  -0.314 1.331  -0.428 1.255  -0.488 1.137  -0.531 1.007  -0.570 0.876  -0.570 0.739  -0.570 0.602  -0.570 0.465  -0.570 0.328  -0.567 0.191  -0.523 0.061  -0.480 -0.069  -0.437 -0.199  -0.393 -0.329  -0.350 -0.459  -0.307 -0.589  -0.263 -0.719  -0.213 -0.844  -0.099 -0.920  0.015 -0.996  0.129 -1.072  0.243 -1.148  0.357 -1.224  0.472 -1.297  0.609 -1.297  0.746 -1.297  0.884 -1.297  1.021 -1.297  1.158 -1.297
1c#kai#kai1#jhjung5/t  -1.099 -1.412  -0.917 -1.276  -0.749 -1.124  -0.607 -0.948  -0.476 -0.763  -0.355 -0.574  -0.265 -0.367  -0.148 -0.172  -0.044 0.030  0.038 0.241  0.096 0.460  0.163 0.677  0.221 0.897  0.288 1.113  0.345 1.333  0.414 1.549  0.476 1.766  0.436 1.858  0.329 1.660  0.266 1.442  0.204 1.224  0.132 1.008  0.113 0.785  0.107 0.558  0.063 0.335  -0.003 0.118  -0.069 -0.098  -0.089 -0.322  -0.129 -0.542  -0.129 -0.769  -0.129 -0.996  -0.093 -1.217  0.037 -1.397  0.232 -1.473  0.306 -1.381  0.199 -1.181  0.092 -0.981  -0.015 -0.781  -0.123 -0.581  -0.230 -0.381  -0.337 -0.181  -0.444 0.019  -0.551 0.220  -0.331 0.223  -0.104 0.223  0.123 0.223  0.350 0.223  0.577 0.223  0.805 0.223  1.022 0.284
1c#kai#kai1#jhjung5/a  0.263 1.232  0.088 1.173  -0.083 1.106  -0.237 1.004  -0.375 0.889  -0.433 0.714  -0.527 0.566  -0.680 0.464  -0.803 0.337  -0.861 0.162  -0.920 -0.013  -0.978 -0.188  -1.036 -0.363  -1.095 -0.538  -1.098 -0.722  -1.083 -0.905  -1.025 -1.080  -0.909 -1.175  -0.725 -1.175  -0.564 -1.098  -0.410 -0.996  -0.273 -0.873  -0.142 -0.743  -0.034 -0.599  0.025 -0.424  0.106 -0.260  0.208 -0.106  0.310 0.048  0.413 0.201  0.497 0.364  0.555 0.539  0.641 0.701  0.744 0.854  0.820 1.020  0.879 1.195  0.809 1.110  0.707 0.956  0.638 0.787  0.579 0.612  0.521 0.436  0.472 0.260  0.472 0.075  0.472 -0.109  0.472 -0.294  0.472 -0.479  0.472 -0.663  0.501 -0.843  0.559 -1.018  0.706 -1.071  0.891 -1.071
1c#kai#kai1#jhjung5/y  -0.069 1.497  -0.167 1.346  -0.224 1.176  -0.262 1.002  -0.292 0.827  -0.311 0.651  -0.304 0.475  -0.154 0.390  -0.005 0.489  0.138 0.596  0.231 0.748  0.301 0.913  0.387 1.069  0.443 1.240  0.500 1.410  0.397 1.371  0.322 1.214  0.311 1.036  0.271 0.863  0.271 0.683  0.232 0.509  0.222 0.331  0.210 0.153  0.174 -0.020  0.174 -0.200  0.142 -0.376  0.098 -0.550  0.077 -0.728  0.077 -0.907  0.041 -1.081  -0.016 -1.252  -0.073 -1.422  -0.145 -1.583  -0.275 -1.697  -0.436 -1.624  -0.558 -1.494  -0.614 -1.323  -0.671 -1.153  -0.698 -0.977  -0.698 -0.797  -0.608 -0.645  -0.483 -0.516  -0.338 -0.411  -0.171 -0.346  -0.001 -0.289  0.170 -0.233  0.340 -0.176  0.511 -0.119  0.681 -0.062  0.852 -0.005
1c#kai#kai1#jhjung5/a  0.303 1.592  0.197 1.433  0.085 1.283  -0.096 1.223  -0.246 1.122  -0.352 0.963  -0.458 0.804  -0.564 0.645  -0.643 0.473  -0.703 0.292  -0.763 0.111  -0.809 -0.073  -0.809 -0.264  -0.849 -0.448  -0.909 -0.629  -0.910 -0.820  -0.910 -1.011  -0.910 -1.202  -0.782 -1.324  -0.623 -1.430  -0.464 -1.346  -0.306 -1.240  -0.199 -1.082  -0.097 -0.922  -0.036 -0.740  0.024 -0.559  0.085 -0.378  0.178 -0.213  0.284 -0.055  0.353 0.123  0.413 0.304  0.473 0.485  0.555 0.655  0.661 0.814  0.708 0.991  0.708 1.182  0.649 1.012  0.589 0.831  0.528 0.650  0.477 0.466  0.430 0.281  0.378 0.097  0.318 -0.084  0.303 -0.272  0.314 -0.461  0.374 -0.642  0.499 -0.733  0.690 -0.733  0.852 -0.637  1.011 -0.531
1c#kai#kai1#jhjung5/m  -0.892 0.666  -0.744 0.883  -0.538 1.003  -0.560 0.742  -0.643 0.492  -0.746 0.250  -0.845 0.007  -0.914 -0.248  -0.997 -0.498  -1.069 -0.751  -1.105 -1.011  -1.199 -1.246  -1.147 -1.167  -0.972 -0.971  -0.844 -0.748  -0.715 -0.520  -0.591 -0.288  -0.492 -0.045  -0.335 0.161  -0.172 0.366  -0.026 0.585  0.146 0.784  0.313 0.987  0.426 0.958  0.396 0.708  0.313 0.458  0.285 0.202  0.152 -0.024  0.064 -0.272  -0.034 -0.517  -0.123 -0.765  -0.241 -0.941  -0.103 -0.717  -0.019 -0.467  0.079 -0.223  0.204 0.009  0.350 0.229  0.478 0.457  0.607 0.679  0.814 0.833  1.064 0.917  1.212 0.795  1.168 0.545  1.085 0.294  1.022 0.039  0.948 -0.213  0.948 -0.477  1.074 -0.650  1.333 -0.679  1.585 -0.608
1c#kai#kai1#jhjung5/e  -0.347 -0.905  -0.248 -0.805  -0.149 -0.706  -0.050 -0.607  0.028 -0.490  0.106 -0.374  0.177 -0.253  0.240 -0.128  0.302 -0.002  0.356 0.126  0.390 0.262  0.424 0.399  0.476 0.527  0.553 0.644  0.631 0.760  0.681 0.891  0.725 1.024  0.742 1.161  0.742 1.302  0.673 1.372  0.532 1.372  0.401 1.343  0.284 1.265  0.168 1.188  0.083 1.077  0.006 0.961  -0.083 0.855  -0.200 0.777  -0.317 0.700  -0.380 0.581  -0.424 0.448  -0.468 0.315  -0.513 0.182  -0.554 0.048  -0.588 -0.088  -0.622 -0.224  -0.644 -0.362  -0.644 -0.502  -0.633 -0.640  -0.589 -0.773  -0.544 -0.907  -0.500 -1.040  -0.456 -1.173  -0.355 -1.262  -0.238 -1.340  -0.116 -1.400  0.024 -1.400  0.165 -1.400  0.305 -1.400  0.445 -1.400
1c#kai#kai1#jhjung5/f  -0.408 0.542  -0.274 0.523  -0.145 0.578  -0.016 0.631  0.116 0.678  0.233 0.756  0.350 0.834  0.455 0.926  0.567 1.011  0.668 1.107  0.768 1.206  0.808 1.338  0.738 1.429  0.602 1.429  0.490 1.345  0.398 1.239  0.320 1.123  0.272 0.992  0.206 0.871  0.152 0.742  0.091 0.618  0.037 0.490  -0.020 0.363  -0.055 0.227  -0.099 0.094  -0.138 -0.041  -0.198 -0.166  -0.220 -0.301  -0.271 -0.431  -0.324 -0.560  -0.376 -0.689  -0.434 -0.815  -0.448 -0.953  -0.492 -1.087  -0.536 -1.220  -0.551 -1.358  -0.567 -1.496  -0.446 -1.519  -0.329 -1.441  -0.234 -1.340  -0.157 -1.223  -0.088 -1.104  -0.069 -0.966  -0.057 -0.828  -0.119 -0.706  -0.230 -0.625  -0.192 -0.609  -0.053 -0.597  0.071 -0.535  0.200 -0.481
1c#kai#kai1#jhjung5/l  -0.952 -1.043  -0.811 -0.996  -0.683 -0.923  -0.554 -0.851  -0.414 -0.803  -0.290 -0.721  -0.166 -0.639  -0.045 -0.554  0.060 -0.449  0.157 -0.336  0.239 -0.213  0.321 -0.089  0.386 0.043  0.441 0.180  0.524 0.304  0.579 0.441  0.602 0.586  0.602 0.734  0.606 0.882  0.653 1.023  0.662 1.170  0.633 1.314  0.561 1.436  0.437 1.518  0.298 1.486  0.168 1.418  0.051 1.329  -0.031 1.205  -0.114 1.081  -0.187 0.953  -0.234 0.812  -0.281 0.671  -0.328 0.531  -0.354 0.386  -0.365 0.239  -0.412 0.098  -0.414 -0.050  -0.414 -0.198  -0.414 -0.347  -0.398 -0.493  -0.354 -0.634  -0.354 -0.783  -0.283 -0.910  -0.216 -1.041  -0.158 -1.174  -0.034 -1.256  0.101 -1.314  0.245 -1.342  0.394 -1.342  0.542 -1.342
1c#kai#kai1#jhjung5/d  -0.172 0.140  -0.330 0.087  -0.451 -0.026  -0.569 -0.144  -0.683 -0.264  -0.736 -0.422  -0.828 -0.561  -0.849 -0.722  -0.889 -0.882  -0.905 -1.046  -0.870 -1.207  -0.794 -1.354  -0.673 -1.440  -0.517 -1.406  -0.384 -1.307  -0.292 -1.168  -0.199 -1.030  -0.107 -0.891  -0.059 -0.739  -0.016 -0.585  0.054 -0.439  0.066 -0.275  0.119 -0.116  0.171 0.042  0.224 0.200  0.277 0.358  0.330 0.516  0.336 0.682  0.382 0.841  0.434 1.000  0.487 1.158  0.505 1.322  0.539 1.483  0.561 1.646  0.561 1.627  0.533 1.465  0.480 1.307  0.427 1.148  0.392 0.987  0.376 0.823  0.336 0.663  0.336 0.496  0.336 0.330  0.325 0.165  0.279 0.005  0.279 -0.161  0.279 -0.328  0.279 -0.495  0.283 -0.661  0.336 -0.819
1c#kai#kai1#jhjung5/n  -1.174 0.821  -1.007 0.905  -0.840 0.988  -0.655 1.000  -0.469 1.000  -0.282 0.999  -0.223 0.821  -0.194 0.639  -0.197 0.453  -0.257 0.276  -0.316 0.099  -0.375 -0.079  -0.434 -0.256  -0.517 -0.422  -0.621 -0.577  -0.688 -0.750  -0.747 -0.928  -0.806 -1.105  -0.770 -0.997  -0.728 -0.817  -0.728 -0.630  -0.639 -0.470  -0.541 -0.311  -0.482 -0.134  -0.395 0.029  -0.291 0.185  -0.206 0.351  -0.122 0.518  -0.023 0.676  0.084 0.828  0.240 0.932  0.406 1.000  0.593 1.000  0.751 0.905  0.888 0.787  0.947 0.609  0.925 0.432  0.865 0.255  0.806 0.078  0.717 -0.085  0.614 -0.241  0.552 -0.417  0.519 -0.598  0.519 -0.785  0.519 -0.972  0.610 -1.111  0.765 -1.214  0.948 -1.229  1.135 -1.229  1.322 -1.229
1c#kai#kai1#jhjung5/e  -0.151 -0.474  -0.076 -0.361  0.000 -0.247  0.065 -0.128  0.108 0.001  0.151 0.130  0.227 0.244  0.302 0.358  0.354 0.479  0.354 0.615  0.354 0.752  0.354 0.888  0.354 1.025  0.287 1.141  0.211 1.254  0.124 1.334  -0.006 1.291  -0.135 1.248  -0.251 1.176  -0.364 1.100  -0.463 1.014  -0.506 0.884  -0.550 0.755  -0.621 0.639  -0.697 0.525  -0.766 0.409  -0.809 0.279  -0.852 0.150  -0.858 0.014  -0.858 -0.122  -0.831 -0.254  -0.788 -0.384  -0.723 -0.497  -0.610 -0.573  -0.496 -0.649  -0.373 -0.704  -0.243 -0.747  -0.113 -0.787  0.020 -0.820  0.152 -0.853  0.284 -0.889  0.413 -0.932  0.543 -0.975  0.672 -1.018  0.802 -1.061  0.935 -1.080  1.071 -1.080  1.206 -1.066  1.335 -1.023  1.465 -0.979
1c#kai#kai1#jhjung5/l  -0.663 -0.799  -0.551 -0.724  -0.445 -0.641  -0.350 -0.546  -0.247 -0.460  -0.135 -0.385  -0.054 -0.279  0.029 -0.175  0.141 -0.100  0.231 -0.003  0.306 0.109  0.381 0.221  0.455 0.333  0.530 0.445  0.582 0.569  0.624 0.697  0.667 0.824  0.710 0.952  0.733 1.083  0.729 1.218  0.687 1.345  0.587 1.416  0.463 1.430  0.351 1.356  0.262 1.258  0.187 1.145  0.112 1.033  0.050 0.915  0.007 0.787  -0.052 0.666  -0.113 0.546  -0.157 0.418  -0.199 0.291  -0.242 0.163  -0.284 0.035  -0.299 -0.098  -0.299 -0.233  -0.336 -0.361  -0.378 -0.489  -0.421 -0.617  -0.421 -0.752  -0.421 -0.887  -0.421 -1.022  -0.421 -1.156  -0.421 -1.291  -0.421 -1.426  -0.402 -1.555  -0.327 -1.667  -0.229 -1.756  -0.117 -1.831
1c#kai#kai1#jhjung5/a  0.124 1.416  -0.053 1.357  -0.210 1.271  -0.313 1.116  -0.417 0.961  -0.520 0.805  -0.608 0.643  -0.667 0.466  -0.726 0.289  -0.785 0.111  -0.844 -0.066  -0.893 -0.244  -0.893 -0.431  -0.925 -0.613  -0.984 -0.790  -0.947 -0.967  -0.876 -1.133  -0.699 -1.192  -0.530 -1.190  -0.375 -1.087  -0.220 -0.983  -0.065 -0.880  0.048 -0.744  0.107 -0.567  0.166 -0.390  0.225 -0.213  0.285 -0.036  0.328 0.144  0.328 0.331  0.328 0.517  0.328 0.704  0.431 0.859  0.531 1.016  0.531 1.202  0.555 1.244  0.614 1.067  0.633 0.883  0.630 0.697  0.571 0.520  0.531 0.340  0.531 0.153  0.491 -0.027  0.432 -0.204  0.429 -0.391  0.429 -0.577  0.429 -0.764  0.470 -0.944  0.529 -1.121  0.681 -1.227  0.836 -1.331
1c#kai#kai1#jhjung5/y  -0.402 1.478  -0.409 1.276  -0.463 1.081  -0.463 0.878  -0.486 0.679  -0.524 0.482  -0.524 0.278  -0.484 0.082  -0.332 -0.024  -0.157 0.041  -0.025 0.191  0.060 0.374  0.155 0.552  0.241 0.734  0.305 0.927  0.370 1.120  0.434 1.312  0.498 1.505  0.391 1.420  0.291 1.249  0.266 1.050  0.266 0.847  0.266 0.643  0.266 0.440  0.266 0.237  0.266 0.034  0.206 -0.160  0.142 -0.353  0.084 -0.546  0.071 -0.748  0.007 -0.940  -0.038 -1.136  -0.064 -1.335  -0.128 -1.528  -0.259 -1.654  -0.452 -1.645  -0.594 -1.515  -0.707 -1.346  -0.714 -1.177  -0.601 -1.008  -0.471 -0.856  -0.301 -0.744  -0.132 -0.631  0.037 -0.518  0.206 -0.405  0.349 -0.262  0.529 -0.176  0.722 -0.112  0.915 -0.048  1.117 -0.041
1c#kai#kai1#jhjung5/u  -0.813 0.948  -0.851 0.796  -0.889 0.644  -0.927 0.492  -0.965 0.340  -0.996 0.187  -0.996 0.030  -0.996 -0.127  -0.996 -0.283  -0.996 -0.440  -0.996 -0.597  -0.996 -0.753  -0.987 -0.909  -0.938 -1.057  -0.856 -1.142  -0.708 -1.093  -0.568 -1.025  -0.437 -0.939  -0.314 -0.843  -0.203 -0.732  -0.092 -0.621  -0.003 -0.493  0.084 -0.363  0.171 -0.232  0.258 -0.102  0.320 0.041  0.369 0.190  0.419 0.338  0.468 0.487  0.554 0.618  0.641 0.748  0.696 0.894  0.745 1.043  0.795 1.192  0.827 1.288  0.777 1.139  0.728 0.990  0.678 0.842  0.629 0.693  0.579 0.544  0.561 0.391  0.561 0.234  0.561 0.077  0.561 -0.079  0.588 -0.232  0.637 -0.380  0.687 -0.529  0.736 -0.678  0.870 -0.742  1.019 -0.792
1c#kai#kai1#jhjung5/e  -0.217 -0.843  -0.113 -0.739  -0.010 -0.635  0.094 -0.531  0.178 -0.413  0.244 -0.282  0.310 -0.151  0.375 -0.019  0.425 0.119  0.471 0.258  0.515 0.398  0.551 0.541  0.586 0.683  0.622 0.826  0.587 0.965  0.540 1.105  0.469 1.219  0.330 1.266  0.190 1.312  0.046 1.327  -0.101 1.327  -0.234 1.302  -0.316 1.180  -0.397 1.058  -0.478 0.936  -0.560 0.813  -0.641 0.691  -0.713 0.564  -0.759 0.425  -0.806 0.286  -0.820 0.141  -0.820 -0.006  -0.810 -0.151  -0.763 -0.290  -0.717 -0.429  -0.648 -0.558  -0.567 -0.680  -0.485 -0.802  -0.377 -0.897  -0.255 -0.979  -0.132 -1.060  0.007 -1.084  0.154 -1.084  0.301 -1.084  0.448 -1.084  0.595 -1.084  0.741 -1.084  0.865 -1.006  0.987 -0.924  1.109 -0.843
1c#kai#kai1#jhjung5/e  -0.352 -0.956  -0.231 -0.875  -0.109 -0.794  0.009 -0.710  0.112 -0.607  0.216 -0.504  0.319 -0.401  0.377 -0.271  0.423 -0.132  0.475 0.004  0.540 0.134  0.605 0.264  0.670 0.395  0.721 0.531  0.768 0.669  0.793 0.807  0.747 0.946  0.701 1.084  0.601 1.181  0.480 1.262  0.358 1.343  0.216 1.354  0.070 1.354  -0.055 1.304  -0.158 1.201  -0.261 1.098  -0.357 0.991  -0.403 0.853  -0.449 0.714  -0.517 0.587  -0.598 0.465  -0.679 0.344  -0.698 0.204  -0.698 0.058  -0.698 -0.087  -0.698 -0.233  -0.698 -0.379  -0.698 -0.524  -0.698 -0.670  -0.634 -0.789  -0.531 -0.892  -0.428 -0.995  -0.316 -1.084  -0.177 -1.130  -0.039 -1.176  0.105 -1.187  0.251 -1.187  0.396 -1.187  0.542 -1.187  0.688 -1.187
1c#kai#kai1#jhjung5/n  -0.370 1.090  -0.271 0.942  -0.172 0.793  -0.198 0.623  -0.241 0.449  -0.291 0.278  -0.347 0.108  -0.429 -0.049  -0.528 -0.198  -0.607 -0.356  -0.664 -0.526  -0.746 -0.682  -0.845 -0.831  -0.944 -0.980  -1.043 -1.128  -1.070 -1.169  -0.971 -1.020  -0.882 -0.866  -0.826 -0.697  -0.769 -0.527  -0.713 -0.358  -0.634 -0.199  -0.535 -0.050  -0.436 0.098  -0.337 0.247  -0.230 0.389  -0.104 0.516  0.023 0.642  0.149 0.768  0.275 0.895  0.414 1.001  0.583 1.058  0.753 1.114  0.922 1.171  0.997 1.095  0.997 0.916  0.951 0.745  0.895 0.575  0.838 0.406  0.782 0.236  0.725 0.067  0.669 -0.103  0.612 -0.272  0.556 -0.442  0.499 -0.611  0.499 -0.781  0.555 -0.950  0.677 -1.063  0.837 -1.143  0.997 -1.223
