2#apb#apb32#app3221/4  -0.942 0.255  -0.834 0.453  -0.788 0.670  -0.692 0.874  -0.610 1.084  -0.460 1.183  -0.419 0.976  -0.476 0.758  -0.544 0.542  -0.629 0.333  -0.730 0.131  -0.840 -0.066  -0.951 -0.263  -1.052 -0.465  -1.132 -0.649  -0.919 -0.638  -0.698 -0.588  -0.479 -0.534  -0.257 -0.491  -0.034 -0.459  0.192 -0.459  0.418 -0.459  0.634 -0.516  0.828 -0.629  1.033 -0.720  1.041 -0.616  0.984 -0.397  0.927 -0.178  0.870 0.040  0.813 0.259  0.756 0.478  0.699 0.696  0.642 0.915  0.585 1.134  0.528 1.352  0.442 1.283  0.375 1.067  0.338 0.845  0.304 0.621  0.271 0.398  0.238 0.174  0.205 -0.049  0.157 -0.270  0.107 -0.490  0.064 -0.712  0.029 -0.935  -0.004 -1.159  -0.034 -1.383  -0.038 -1.608  0.081 -1.791
2#apb#apb32#app3221/e  -1.394 -0.288  -1.240 -0.236  -1.085 -0.185  -0.926 -0.151  -0.767 -0.117  -0.608 -0.083  -0.445 -0.083  -0.282 -0.083  -0.121 -0.070  0.036 -0.026  0.192 0.019  0.342 0.076  0.471 0.176  0.599 0.276  0.724 0.381  0.847 0.487  0.941 0.620  0.995 0.766  0.995 0.929  0.849 0.978  0.692 1.022  0.533 1.050  0.371 1.064  0.209 1.077  0.057 1.016  -0.094 0.956  -0.237 0.879  -0.378 0.797  -0.518 0.715  -0.631 0.600  -0.740 0.478  -0.814 0.343  -0.814 0.181  -0.799 0.021  -0.731 -0.127  -0.662 -0.274  -0.582 -0.412  -0.455 -0.515  -0.329 -0.618  -0.203 -0.720  -0.076 -0.823  0.070 -0.894  0.218 -0.962  0.366 -1.029  0.514 -1.096  0.662 -1.164  0.821 -1.197  0.981 -1.224  1.142 -1.251  1.302 -1.278
2#apb#apb32#app3221/a  0.919 0.496  0.807 0.608  0.705 0.729  0.581 0.809  0.423 0.823  0.265 0.834  0.107 0.834  -0.052 0.834  -0.210 0.834  -0.362 0.798  -0.508 0.737  -0.654 0.675  -0.800 0.614  -0.947 0.555  -1.095 0.498  -1.243 0.441  -1.332 0.313  -1.413 0.178  -1.405 0.034  -1.347 -0.113  -1.252 -0.234  -1.130 -0.334  -1.007 -0.435  -0.857 -0.469  -0.699 -0.486  -0.541 -0.504  -0.384 -0.507  -0.229 -0.478  -0.073 -0.449  0.079 -0.411  0.209 -0.320  0.339 -0.229  0.438 -0.108  0.529 0.022  0.582 0.164  0.582 0.323  0.604 0.421  0.523 0.286  0.520 0.128  0.521 -0.031  0.544 -0.188  0.566 -0.345  0.610 -0.493  0.703 -0.621  0.797 -0.748  0.891 -0.876  1.000 -0.990  1.116 -1.098  1.232 -1.206  1.349 -1.314
2#apb#apb32#app3221/v  -0.879 1.126  -0.940 1.221  -0.967 1.125  -0.990 1.013  -1.012 0.900  -0.978 0.793  -0.937 0.686  -0.896 0.579  -0.855 0.472  -0.814 0.365  -0.774 0.257  -0.734 0.150  -0.693 0.043  -0.653 -0.064  -0.598 -0.164  -0.536 -0.261  -0.474 -0.357  -0.412 -0.453  -0.350 -0.550  -0.286 -0.644  -0.220 -0.739  -0.155 -0.833  -0.090 -0.927  -0.023 -1.020  0.070 -1.086  0.164 -1.153  0.268 -1.185  0.371 -1.159  0.450 -1.076  0.489 -0.968  0.528 -0.861  0.567 -0.753  0.583 -0.641  0.583 -0.527  0.583 -0.412  0.587 -0.298  0.601 -0.184  0.614 -0.070  0.627 0.044  0.641 0.157  0.653 0.271  0.663 0.386  0.672 0.500  0.682 0.614  0.707 0.725  0.740 0.835  0.773 0.945  0.817 1.050  0.876 1.105  0.957 1.024
2#apb#apb32#app3221/e  0.177 0.060  0.231 0.170  0.306 0.264  0.393 0.351  0.504 0.399  0.605 0.461  0.683 0.543  0.805 0.543  0.845 0.626  0.794 0.717  0.685 0.772  0.579 0.833  0.473 0.893  0.357 0.921  0.235 0.931  0.113 0.941  -0.009 0.951  -0.131 0.951  -0.253 0.951  -0.376 0.951  -0.474 0.881  -0.572 0.807  -0.670 0.734  -0.745 0.638  -0.819 0.540  -0.892 0.443  -0.900 0.323  -0.900 0.201  -0.900 0.078  -0.857 -0.034  -0.805 -0.145  -0.754 -0.256  -0.703 -0.367  -0.627 -0.457  -0.526 -0.527  -0.425 -0.596  -0.324 -0.665  -0.224 -0.734  -0.123 -0.804  -0.026 -0.878  0.069 -0.955  0.164 -1.032  0.259 -1.109  0.354 -1.186  0.449 -1.263  0.552 -1.322  0.672 -1.348  0.791 -1.374  0.911 -1.399  1.030 -1.425
2#apb#apb32#app3221/r  -0.930 1.251  -0.992 1.244  -0.982 1.137  -0.972 1.030  -0.963 0.923  -0.939 0.818  -0.913 0.714  -0.887 0.609  -0.859 0.505  -0.827 0.403  -0.796 0.300  -0.764 0.197  -0.722 0.099  -0.660 0.011  -0.598 -0.077  -0.537 -0.165  -0.483 -0.258  -0.430 -0.352  -0.378 -0.446  -0.333 -0.544  -0.289 -0.642  -0.246 -0.741  -0.219 -0.845  -0.193 -0.949  -0.118 -0.991  -0.089 -1.070  -0.072 -1.059  -0.010 -0.971  0.058 -0.888  0.127 -0.806  0.197 -0.724  0.267 -0.642  0.331 -0.556  0.382 -0.462  0.433 -0.367  0.485 -0.272  0.536 -0.178  0.597 -0.089  0.658 -0.001  0.720 0.088  0.781 0.176  0.849 0.259  0.925 0.335  1.001 0.411  1.079 0.486  1.161 0.555  1.244 0.624  1.350 0.628  1.457 0.633  1.561 0.660
2#apb#apb32#app3221/R  -0.416 0.897  -0.430 1.129  -0.350 0.962  -0.301 0.727  -0.286 0.487  -0.286 0.245  -0.276 0.004  -0.269 -0.238  -0.269 -0.479  -0.263 -0.721  -0.257 -0.962  -0.285 -1.202  -0.421 -1.400  -0.609 -1.346  -0.702 -1.124  -0.741 -0.886  -0.762 -0.646  -0.770 -0.405  -0.760 -0.164  -0.733 0.076  -0.702 0.315  -0.624 0.544  -0.545 0.772  -0.427 0.980  -0.282 1.173  -0.106 1.334  0.104 1.431  0.341 1.403  0.545 1.275  0.680 1.079  0.786 0.863  0.865 0.635  0.918 0.400  0.943 0.162  0.896 -0.073  0.728 -0.230  0.487 -0.241  0.250 -0.194  0.035 -0.093  -0.160 0.048  -0.264 0.158  -0.129 -0.042  0.013 -0.237  0.154 -0.433  0.329 -0.599  0.508 -0.762  0.687 -0.924  0.866 -1.086  1.050 -1.242  1.245 -1.367
2#apb#apb32#app3221/d  -0.297 0.159  -0.471 0.158  -0.612 0.056  -0.717 -0.082  -0.820 -0.222  -0.888 -0.380  -0.937 -0.547  -0.964 -0.718  -0.964 -0.892  -0.899 -1.049  -0.809 -1.197  -0.646 -1.257  -0.478 -1.260  -0.329 -1.185  -0.206 -1.062  -0.097 -0.928  -0.015 -0.774  0.066 -0.620  0.107 -0.451  0.146 -0.281  0.185 -0.111  0.220 0.059  0.253 0.230  0.286 0.401  0.314 0.573  0.337 0.746  0.361 0.918  0.384 1.091  0.415 1.262  0.451 1.433  0.477 1.604  0.422 1.709  0.331 1.561  0.250 1.408  0.200 1.241  0.150 1.074  0.129 0.903  0.122 0.729  0.115 0.555  0.131 0.383  0.175 0.214  0.219 0.046  0.262 -0.123  0.320 -0.286  0.393 -0.444  0.466 -0.603  0.539 -0.761  0.591 -0.927  0.641 -1.094  0.692 -1.260
2#apb#apb32#app3221/.  1.698 0.000  1.629 0.000  1.559 0.000  1.490 0.000  1.421 0.000  1.351 0.000  1.282 0.000  1.213 0.000  1.143 0.000  1.074 0.000  1.005 0.000  0.935 0.000  0.866 0.000  0.797 0.000  0.728 0.000  0.658 0.000  0.589 0.000  0.520 0.000  0.450 0.000  0.381 0.000  0.312 0.000  0.242 0.000  0.173 0.000  0.104 0.000  0.035 0.000  -0.035 0.000  -0.104 0.000  -0.173 0.000  -0.242 0.000  -0.312 0.000  -0.381 0.000  -0.450 0.000  -0.520 0.000  -0.589 0.000  -0.658 0.000  -0.728 0.000  -0.797 0.000  -0.866 0.000  -0.935 0.000  -1.005 0.000  -1.074 0.000  -1.143 0.000  -1.213 0.000  -1.282 0.000  -1.351 0.000  -1.421 0.000  -1.490 0.000  -1.559 0.000  -1.629 0.000  -1.698 0.000
2#apb#apb32#app3221/6  -0.134 1.657  -0.036 1.769  -0.031 1.736  -0.063 1.586  -0.107 1.440  -0.172 1.301  -0.240 1.163  -0.311 1.027  -0.383 0.891  -0.442 0.750  -0.501 0.608  -0.558 0.466  -0.603 0.319  -0.648 0.172  -0.686 0.023  -0.717 -0.127  -0.731 -0.278  -0.717 -0.431  -0.697 -0.582  -0.611 -0.709  -0.521 -0.831  -0.388 -0.908  -0.255 -0.985  -0.108 -1.020  0.044 -1.039  0.197 -1.057  0.348 -1.034  0.500 -1.010  0.647 -0.974  0.778 -0.894  0.909 -0.814  0.994 -0.688  1.074 -0.557  1.101 -0.413  1.091 -0.259  1.026 -0.122  0.952 0.012  0.838 0.105  0.700 0.170  0.557 0.211  0.404 0.194  0.252 0.177  0.103 0.145  -0.038 0.086  -0.180 0.026  -0.315 -0.044  -0.434 -0.141  -0.552 -0.239  -0.631 -0.369  -0.703 -0.504
2#apb#apb32#app3221/3  -1.074 0.352  -1.150 0.443  -1.260 0.459  -1.319 0.562  -1.292 0.668  -1.180 0.703  -1.074 0.756  -0.962 0.791  -0.845 0.811  -0.728 0.830  -0.609 0.836  -0.491 0.842  -0.372 0.846  -0.254 0.846  -0.135 0.846  -0.017 0.840  0.100 0.817  0.216 0.795  0.330 0.764  0.437 0.713  0.544 0.662  0.628 0.578  0.686 0.485  0.675 0.367  0.620 0.267  0.547 0.172  0.458 0.100  0.349 0.053  0.239 0.008  0.145 -0.045  0.216 -0.126  0.304 -0.206  0.375 -0.300  0.446 -0.395  0.517 -0.490  0.588 -0.585  0.629 -0.697  0.668 -0.808  0.689 -0.923  0.687 -1.042  0.661 -1.158  0.569 -1.219  0.457 -1.243  0.339 -1.234  0.224 -1.206  0.112 -1.166  0.000 -1.128  -0.115 -1.099  -0.231 -1.077  -0.349 -1.066
2#apb#apb32#app3221/W  -1.240 1.279  -1.276 1.245  -1.222 1.068  -1.165 0.893  -1.097 0.720  -1.032 0.547  -0.971 0.373  -0.905 0.200  -0.837 0.028  -0.780 -0.148  -0.740 -0.327  -0.740 -0.512  -0.723 -0.697  -0.701 -0.879  -0.540 -0.844  -0.385 -0.743  -0.305 -0.577  -0.269 -0.397  -0.255 -0.213  -0.255 -0.028  -0.233 0.155  -0.208 0.339  -0.174 0.520  -0.140 0.702  -0.098 0.880  -0.060 0.749  -0.043 0.565  -0.003 0.384  0.044 0.206  0.114 0.035  0.185 -0.136  0.272 -0.299  0.370 -0.456  0.471 -0.611  0.585 -0.756  0.699 -0.902  0.840 -1.020  0.999 -1.106  1.097 -0.997  1.120 -0.814  1.083 -0.633  1.043 -0.453  1.013 -0.270  0.984 -0.087  0.958 0.096  0.933 0.279  0.912 0.463  0.896 0.647  0.875 0.831  0.903 0.700
2#apb#apb32#app3221/i  0.117 -0.337  0.063 -0.412  0.009 -0.488  0.019 -0.575  0.041 -0.664  0.064 -0.754  0.096 -0.841  0.131 -0.926  0.167 -1.011  0.190 -1.099  0.199 -1.191  0.207 -1.284  0.210 -1.376  0.201 -1.348  0.187 -1.256  0.174 -1.165  0.160 -1.074  0.147 -0.982  0.133 -0.891  0.120 -0.799  0.106 -0.708  0.093 -0.617  0.079 -0.525  0.066 -0.434  0.052 -0.342  0.039 -0.251  0.025 -0.160  0.012 -0.068  -0.002 0.023  -0.015 0.115  -0.029 0.206  -0.042 0.297  -0.056 0.389  -0.069 0.480  -0.083 0.572  -0.096 0.663  -0.110 0.754  -0.123 0.846  -0.137 0.937  -0.150 1.029  -0.164 1.120  -0.178 1.211  -0.191 1.303  -0.205 1.394  -0.218 1.486  -0.232 1.577  -0.245 1.668  -0.259 1.760  -0.272 1.851  -0.232 1.897
2#apb#apb32#app3221/l  -0.063 1.518  -0.113 1.568  -0.155 1.550  -0.174 1.482  -0.191 1.414  -0.202 1.344  -0.213 1.274  -0.224 1.205  -0.235 1.135  -0.246 1.066  -0.247 0.996  -0.241 0.926  -0.236 0.855  -0.230 0.785  -0.225 0.715  -0.220 0.645  -0.214 0.575  -0.209 0.504  -0.190 0.437  -0.171 0.369  -0.152 0.301  -0.132 0.233  -0.113 0.166  -0.094 0.098  -0.074 0.030  -0.055 -0.037  -0.036 -0.105  -0.016 -0.173  0.003 -0.241  0.023 -0.308  0.042 -0.376  0.061 -0.444  0.081 -0.511  0.100 -0.579  0.119 -0.647  0.139 -0.714  0.159 -0.782  0.178 -0.850  0.198 -0.917  0.218 -0.985  0.237 -1.052  0.257 -1.120  0.278 -1.187  0.302 -1.253  0.326 -1.320  0.350 -1.386  0.373 -1.452  0.388 -1.521  0.404 -1.590  0.435 -1.638
2#apb#apb32#app3221/s  0.173 1.281  0.244 1.368  0.244 1.485  0.239 1.493  0.132 1.447  0.024 1.401  -0.079 1.346  -0.181 1.288  -0.281 1.227  -0.374 1.156  -0.468 1.086  -0.557 1.011  -0.627 0.918  -0.650 0.808  -0.650 0.691  -0.650 0.574  -0.605 0.466  -0.557 0.360  -0.509 0.253  -0.451 0.153  -0.365 0.074  -0.278 -0.004  -0.191 -0.083  -0.105 -0.162  -0.015 -0.238  0.075 -0.312  0.166 -0.386  0.257 -0.460  0.346 -0.536  0.432 -0.615  0.519 -0.693  0.606 -0.772  0.692 -0.851  0.756 -0.948  0.814 -1.050  0.885 -1.117  0.768 -1.117  0.654 -1.098  0.543 -1.061  0.432 -1.024  0.321 -0.987  0.216 -0.936  0.116 -0.875  0.015 -0.815  -0.085 -0.755  -0.185 -0.695  -0.288 -0.639  -0.397 -0.596  -0.506 -0.552  -0.614 -0.509
2#apb#apb32#app3221/h  -0.777 1.873  -0.714 1.772  -0.676 1.649  -0.644 1.523  -0.615 1.397  -0.604 1.267  -0.593 1.138  -0.582 1.009  -0.568 0.880  -0.548 0.752  -0.527 0.624  -0.507 0.496  -0.483 0.368  -0.457 0.241  -0.431 0.114  -0.404 -0.013  -0.377 -0.140  -0.349 -0.267  -0.322 -0.393  -0.294 -0.520  -0.276 -0.649  -0.258 -0.777  -0.221 -0.901  -0.210 -0.978  -0.175 -0.867  -0.173 -0.737  -0.173 -0.608  -0.156 -0.479  -0.135 -0.351  -0.101 -0.226  -0.067 -0.101  -0.032 0.024  0.034 0.136  0.099 0.248  0.219 0.279  0.340 0.245  0.421 0.154  0.473 0.036  0.526 -0.083  0.584 -0.198  0.648 -0.311  0.712 -0.425  0.782 -0.534  0.855 -0.641  0.928 -0.748  1.003 -0.854  1.087 -0.952  1.172 -1.051  1.251 -1.153  1.315 -1.265
2#apb#apb32#app3221/i  0.049 -0.114  0.049 -0.211  0.060 -0.308  0.076 -0.404  0.092 -0.500  0.116 -0.594  0.151 -0.685  0.186 -0.776  0.221 -0.867  0.241 -0.963  0.256 -1.059  0.271 -1.155  0.289 -1.251  0.316 -1.345  0.326 -1.377  0.304 -1.282  0.281 -1.187  0.259 -1.092  0.237 -0.997  0.214 -0.902  0.192 -0.807  0.170 -0.712  0.147 -0.617  0.125 -0.522  0.102 -0.427  0.080 -0.332  0.058 -0.237  0.035 -0.142  0.013 -0.047  -0.010 0.048  -0.032 0.143  -0.054 0.238  -0.077 0.332  -0.099 0.427  -0.122 0.522  -0.144 0.617  -0.166 0.712  -0.189 0.807  -0.211 0.902  -0.234 0.997  -0.256 1.092  -0.278 1.187  -0.301 1.282  -0.323 1.377  -0.345 1.472  -0.368 1.567  -0.390 1.662  -0.413 1.757  -0.460 1.841  -0.443 1.932
2#apb#apb32#app3221/r  -0.831 1.157  -0.917 1.076  -0.964 0.958  -0.964 0.832  -0.964 0.705  -0.958 0.580  -0.913 0.462  -0.867 0.344  -0.822 0.226  -0.764 0.114  -0.692 0.010  -0.620 -0.094  -0.548 -0.198  -0.476 -0.301  -0.402 -0.404  -0.329 -0.507  -0.255 -0.610  -0.182 -0.713  -0.122 -0.824  -0.065 -0.937  -0.009 -1.050  0.033 -1.170  0.064 -1.291  0.064 -1.373  0.033 -1.252  -0.002 -1.133  -0.002 -1.006  0.011 -0.881  0.030 -0.756  0.049 -0.631  0.070 -0.506  0.096 -0.382  0.123 -0.259  0.149 -0.135  0.184 -0.014  0.229 0.105  0.273 0.223  0.317 0.341  0.362 0.460  0.442 0.558  0.522 0.656  0.602 0.754  0.693 0.833  0.817 0.861  0.940 0.888  1.066 0.892  1.193 0.892  1.316 0.873  1.436 0.833  1.556 0.793
2#apb#apb32#app3221/e  -0.628 -0.334  -0.617 -0.196  -0.579 -0.063  -0.493 0.028  -0.364 0.081  -0.237 0.138  -0.110 0.194  0.004 0.274  0.115 0.357  0.228 0.439  0.342 0.519  0.456 0.599  0.562 0.688  0.660 0.786  0.742 0.896  0.804 1.021  0.818 1.137  0.711 1.193  0.583 1.138  0.454 1.085  0.324 1.035  0.194 0.985  0.065 0.935  -0.064 0.882  -0.192 0.828  -0.321 0.775  -0.415 0.673  -0.508 0.570  -0.601 0.466  -0.643 0.338  -0.664 0.201  -0.685 0.063  -0.674 -0.072  -0.636 -0.206  -0.597 -0.340  -0.557 -0.473  -0.474 -0.584  -0.390 -0.695  -0.307 -0.807  -0.223 -0.918  -0.132 -1.021  -0.016 -1.097  0.101 -1.173  0.218 -1.248  0.335 -1.324  0.451 -1.400  0.567 -1.477  0.683 -1.554  0.799 -1.632  0.915 -1.709
2#apb#apb32#app3221/#  -0.319 1.178  -0.414 0.930  -0.543 0.556  -0.649 0.174  -0.733 -0.212  -0.827 -0.596  -0.918 -0.980  -0.846 -1.072  -0.653 -0.727  -0.460 -0.381  -0.268 -0.035  -0.075 0.310  0.118 0.656  0.311 1.002  0.504 1.347  0.449 1.280  0.366 0.896  0.334 0.502  0.300 0.108  0.256 -0.285  0.197 -0.677  0.098 -1.059  -0.145 -1.297  -0.374 -0.975  -0.604 -0.652  -0.833 -0.330  -1.062 -0.007  -1.292 0.315  -1.207 0.587  -0.812 0.618  -0.417 0.618  -0.026 0.560  0.357 0.465  0.732 0.338  1.115 0.239  1.450 0.172  1.061 0.097  0.673 0.023  0.284 -0.052  -0.104 -0.127  -0.493 -0.202  -0.881 -0.277  -0.582 -0.223  -0.189 -0.270  0.204 -0.314  0.597 -0.362  0.989 -0.414  1.382 -0.458  1.777 -0.488  2.172 -0.500
2#apb#apb32#app3221/1  0.516 1.495  0.493 1.553  0.453 1.496  0.412 1.439  0.381 1.378  0.358 1.312  0.335 1.247  0.312 1.181  0.289 1.115  0.266 1.049  0.245 0.983  0.228 0.915  0.212 0.848  0.196 0.780  0.180 0.712  0.163 0.644  0.147 0.577  0.131 0.509  0.114 0.441  0.097 0.374  0.080 0.306  0.063 0.239  0.047 0.171  0.030 0.103  0.013 0.036  -0.004 -0.032  -0.021 -0.099  -0.040 -0.166  -0.059 -0.233  -0.078 -0.300  -0.096 -0.368  -0.115 -0.435  -0.134 -0.502  -0.153 -0.569  -0.172 -0.636  -0.192 -0.702  -0.212 -0.769  -0.232 -0.836  -0.252 -0.903  -0.272 -0.969  -0.291 -1.036  -0.308 -1.104  -0.325 -1.171  -0.342 -1.239  -0.359 -1.306  -0.377 -1.374  -0.397 -1.440  -0.417 -1.507  -0.441 -1.572  -0.472 -1.635
