2#kai#kai0#jhkim1/A  -1.107 -1.580  -1.050 -1.397  -1.050 -1.205  -0.999 -1.024  -0.928 -0.848  -0.897 -0.658  -0.851 -0.472  -0.790 -0.290  -0.714 -0.113  -0.622 0.055  -0.520 0.218  -0.434 0.390  -0.322 0.545  -0.230 0.711  -0.150 0.885  -0.051 1.050  0.090 1.176  0.224 1.309  0.310 1.481  0.371 1.646  0.425 1.463  0.425 1.270  0.441 1.080  0.488 0.894  0.534 0.707  0.539 0.515  0.585 0.337  0.652 0.165  0.675 -0.024  0.719 -0.211  0.757 -0.400  0.766 -0.591  0.819 -0.775  0.880 -0.957  0.880 -1.032  0.721 -0.924  0.562 -0.816  0.403 -0.708  0.244 -0.600  0.085 -0.492  -0.074 -0.384  -0.233 -0.276  -0.392 -0.168  -0.551 -0.060  -0.584 0.009  -0.391 0.009  -0.199 0.009  -0.007 0.009  0.185 0.009  0.368 0.066
2#kai#kai0#jhkim1/J  -0.554 0.910  -0.449 0.910  -0.345 0.910  -0.240 0.910  -0.136 0.910  -0.031 0.910  0.073 0.910  0.178 0.910  0.283 0.910  0.387 0.910  0.492 0.910  0.595 0.918  0.697 0.943  0.799 0.957  0.700 0.922  0.602 0.887  0.503 0.853  0.405 0.818  0.306 0.783  0.208 0.748  0.109 0.713  0.010 0.679  0.006 0.577  0.006 0.473  0.006 0.368  0.006 0.264  0.006 0.159  0.006 0.054  0.006 -0.050  0.006 -0.155  0.006 -0.259  0.006 -0.364  0.024 -0.466  0.049 -0.568  0.053 -0.672  0.053 -0.776  0.053 -0.881  0.053 -0.985  0.020 -1.084  -0.018 -1.181  -0.072 -1.268  -0.146 -1.342  -0.235 -1.389  -0.337 -1.415  -0.440 -1.422  -0.545 -1.422  -0.649 -1.422  -0.748 -1.389  -0.840 -1.340  -0.927 -1.282
2#kai#kai0#jhkim1/K  -0.822 1.631  -0.813 1.392  -0.766 1.156  -0.759 0.917  -0.759 0.677  -0.759 0.436  -0.759 0.196  -0.724 -0.041  -0.695 -0.279  -0.695 -0.519  -0.695 -0.759  -0.695 -0.999  -0.693 -1.239  -0.537 -1.310  -0.417 -1.102  -0.298 -0.893  -0.179 -0.685  -0.060 -0.476  0.059 -0.268  0.178 -0.059  0.297 0.149  0.417 0.358  0.536 0.566  0.655 0.775  0.774 0.983  0.893 1.192  0.860 1.312  0.674 1.197  0.521 1.012  0.341 0.856  0.216 0.666  0.068 0.482  -0.077 0.298  -0.182 0.085  -0.330 -0.103  -0.522 -0.247  -0.626 -0.455  -0.446 -0.595  -0.223 -0.568  -0.071 -0.382  0.081 -0.196  0.233 -0.010  0.393 0.033  0.545 -0.149  0.650 -0.365  0.726 -0.592  0.840 -0.797  1.019 -0.956  1.216 -1.093  1.408 -1.237
2#kai#kai0#jhkim1/L  -0.393 1.701  -0.415 1.613  -0.437 1.525  -0.459 1.437  -0.461 1.347  -0.461 1.256  -0.461 1.166  -0.461 1.075  -0.461 0.985  -0.461 0.894  -0.461 0.803  -0.461 0.713  -0.461 0.622  -0.461 0.532  -0.461 0.441  -0.461 0.350  -0.461 0.260  -0.461 0.169  -0.461 0.078  -0.461 -0.012  -0.461 -0.103  -0.461 -0.193  -0.461 -0.284  -0.461 -0.375  -0.461 -0.465  -0.461 -0.556  -0.461 -0.646  -0.410 -0.697  -0.322 -0.719  -0.234 -0.741  -0.152 -0.729  -0.077 -0.679  -0.002 -0.628  0.082 -0.595  0.168 -0.566  0.256 -0.548  0.346 -0.548  0.436 -0.551  0.524 -0.573  0.612 -0.595  0.700 -0.616  0.791 -0.616  0.881 -0.616  0.972 -0.616  1.063 -0.616  1.153 -0.616  1.244 -0.616  1.334 -0.616  1.425 -0.616  1.516 -0.616
2#kai#kai0#jhkim1/N  -0.804 1.009  -0.804 0.843  -0.804 0.678  -0.804 0.513  -0.804 0.347  -0.804 0.182  -0.804 0.016  -0.804 -0.149  -0.804 -0.314  -0.804 -0.480  -0.804 -0.645  -0.833 -0.806  -0.858 -0.967  -0.801 -1.084  -0.767 -0.922  -0.732 -0.760  -0.698 -0.599  -0.664 -0.437  -0.629 -0.275  -0.595 -0.113  -0.561 0.049  -0.526 0.210  -0.492 0.372  -0.458 0.534  -0.420 0.676  -0.328 0.538  -0.236 0.400  -0.126 0.277  -0.009 0.161  0.092 0.030  0.180 -0.108  0.249 -0.253  0.381 -0.352  0.514 -0.452  0.646 -0.551  0.783 -0.643  0.921 -0.735  1.009 -0.681  1.061 -0.524  1.086 -0.363  1.086 -0.198  1.095 -0.034  1.136 0.127  1.169 0.289  1.194 0.452  1.194 0.617  1.194 0.783  1.194 0.948  1.194 1.113  1.194 1.279
2#kai#kai0#jhkim1/O  -0.317 0.925  -0.431 0.869  -0.539 0.805  -0.640 0.729  -0.725 0.638  -0.788 0.530  -0.818 0.407  -0.849 0.284  -0.875 0.161  -0.875 0.035  -0.875 -0.092  -0.875 -0.218  -0.859 -0.343  -0.841 -0.468  -0.828 -0.594  -0.828 -0.720  -0.768 -0.827  -0.692 -0.928  -0.588 -0.999  -0.470 -1.025  -0.343 -1.025  -0.217 -1.025  -0.092 -1.011  0.033 -0.990  0.145 -0.942  0.242 -0.861  0.339 -0.780  0.448 -0.719  0.565 -0.672  0.675 -0.611  0.772 -0.532  0.848 -0.431  0.921 -0.328  0.983 -0.220  0.983 -0.094  0.983 0.033  0.966 0.157  0.934 0.279  0.863 0.384  0.815 0.500  0.758 0.612  0.684 0.713  0.594 0.803  0.538 0.913  0.465 1.007  0.358 1.073  0.240 1.120  0.121 1.157  -0.005 1.157  -0.132 1.157
2#kai#kai0#jhkim1/P  -0.439 1.198  -0.439 0.998  -0.439 0.797  -0.439 0.596  -0.444 0.396  -0.493 0.202  -0.499 0.002  -0.499 -0.199  -0.499 -0.399  -0.499 -0.600  -0.496 -0.800  -0.463 -0.998  -0.423 -1.194  -0.344 -1.377  -0.220 -1.531  -0.049 -1.635  0.091 -1.645  0.039 -1.451  -0.013 -1.257  -0.065 -1.064  -0.117 -0.870  -0.169 -0.676  -0.221 -0.482  -0.273 -0.289  -0.325 -0.095  -0.377 0.099  -0.429 0.293  -0.481 0.487  -0.533 0.680  -0.559 0.878  -0.452 1.012  -0.267 1.078  -0.066 1.078  0.134 1.078  0.333 1.056  0.530 1.016  0.724 0.968  0.901 0.875  1.072 0.771  1.239 0.660  1.301 0.471  1.231 0.285  1.089 0.143  0.917 0.044  0.730 -0.026  0.536 -0.079  0.343 -0.123  0.142 -0.123  -0.058 -0.123  -0.259 -0.123
2#kai#kai0#jhkim1/R  -0.642 1.355  -0.642 1.104  -0.642 0.854  -0.642 0.603  -0.642 0.353  -0.642 0.102  -0.642 -0.148  -0.614 -0.397  -0.576 -0.644  -0.523 -0.873  -0.353 -1.056  -0.232 -1.272  -0.142 -1.478  -0.140 -1.255  -0.169 -1.006  -0.197 -0.757  -0.225 -0.509  -0.254 -0.260  -0.282 -0.011  -0.310 0.238  -0.338 0.487  -0.367 0.736  -0.395 0.985  -0.423 1.234  -0.392 1.456  -0.171 1.553  0.022 1.445  0.183 1.255  0.371 1.090  0.568 0.936  0.746 0.760  0.970 0.648  1.071 0.429  1.053 0.182  0.923 -0.017  0.707 -0.144  0.479 -0.247  0.242 -0.327  0.001 -0.395  -0.246 -0.424  -0.497 -0.424  -0.405 -0.424  -0.154 -0.424  0.096 -0.424  0.347 -0.424  0.561 -0.475  0.663 -0.701  0.802 -0.910  0.959 -1.103  1.137 -1.280
2#kai#kai0#jhkim1/U  -0.844 1.317  -0.897 1.158  -0.938 0.995  -0.948 0.828  -0.948 0.660  -0.948 0.492  -0.948 0.324  -0.948 0.157  -0.948 -0.011  -0.948 -0.179  -0.948 -0.347  -0.948 -0.515  -0.948 -0.683  -0.867 -0.824  -0.749 -0.924  -0.581 -0.924  -0.420 -0.894  -0.270 -0.820  -0.102 -0.820  -0.022 -0.698  0.115 -0.622  0.179 -0.480  0.231 -0.321  0.293 -0.165  0.366 -0.014  0.450 0.131  0.511 0.281  0.533 0.445  0.581 0.606  0.615 0.770  0.615 0.938  0.615 1.105  0.615 1.273  0.615 1.193  0.595 1.028  0.563 0.864  0.563 0.696  0.563 0.528  0.563 0.360  0.563 0.192  0.563 0.024  0.563 -0.144  0.563 -0.312  0.563 -0.480  0.547 -0.644  0.471 -0.794  0.459 -0.959  0.488 -1.124  0.548 -1.274  0.667 -1.393
2#kai#kai0#jhkim1/V  -1.106 1.055  -1.106 0.943  -1.095 0.832  -1.068 0.724  -1.038 0.616  -0.996 0.512  -0.955 0.408  -0.911 0.305  -0.860 0.205  -0.810 0.104  -0.742 0.016  -0.672 -0.072  -0.602 -0.159  -0.546 -0.255  -0.504 -0.359  -0.463 -0.463  -0.398 -0.551  -0.318 -0.631  -0.239 -0.710  -0.191 -0.807  -0.164 -0.916  -0.128 -1.021  -0.078 -1.121  -0.027 -1.219  0.066 -1.157  0.156 -1.092  0.206 -0.992  0.256 -0.891  0.306 -0.791  0.356 -0.691  0.391 -0.587  0.391 -0.475  0.420 -0.369  0.462 -0.265  0.503 -0.161  0.540 -0.055  0.571 0.052  0.571 0.165  0.604 0.267  0.666 0.360  0.690 0.464  0.690 0.576  0.707 0.686  0.742 0.792  0.799 0.888  0.861 0.981  0.923 1.075  0.985 1.168  1.047 1.261  1.109 1.354
2#kai#kai0#jhkim1/Y  -0.910 1.104  -0.872 0.952  -0.834 0.800  -0.796 0.649  -0.754 0.498  -0.711 0.347  -0.668 0.196  -0.630 0.044  -0.588 -0.106  -0.533 -0.252  -0.446 -0.383  -0.314 -0.381  -0.241 -0.276  -0.217 -0.125  -0.147 0.015  -0.062 0.146  0.032 0.271  0.137 0.387  0.248 0.498  0.358 0.608  0.483 0.697  0.623 0.757  0.710 0.888  0.843 0.958  0.982 1.027  1.110 1.092  1.099 0.979  0.993 0.864  0.887 0.749  0.781 0.634  0.674 0.519  0.568 0.404  0.462 0.289  0.356 0.173  0.249 0.058  0.143 -0.057  0.037 -0.172  -0.069 -0.287  -0.176 -0.402  -0.282 -0.517  -0.277 -0.664  -0.246 -0.817  -0.241 -0.974  -0.241 -1.130  -0.241 -1.287  -0.241 -1.444  -0.241 -1.600  -0.241 -1.757  -0.252 -1.912  -0.302 -2.060
2#kai#kai0#jhkim1/B  -0.475 1.298  -0.475 1.045  -0.475 0.791  -0.475 0.538  -0.475 0.284  -0.475 0.030  -0.439 -0.217  -0.373 -0.462  -0.265 -0.691  -0.234 -0.939  -0.205 -1.188  -0.335 -1.114  -0.378 -0.864  -0.421 -0.614  -0.464 -0.364  -0.507 -0.114  -0.549 0.136  -0.592 0.385  -0.635 0.635  -0.632 0.888  -0.539 1.112  -0.321 1.240  -0.094 1.354  0.147 1.406  0.401 1.406  0.650 1.365  0.778 1.176  0.877 0.952  0.877 0.699  0.800 0.483  0.604 0.323  0.400 0.184  0.160 0.102  -0.069 0.000  -0.317 -0.037  -0.562 -0.102  -0.359 -0.165  -0.115 -0.229  0.136 -0.265  0.383 -0.322  0.632 -0.372  0.847 -0.503  1.013 -0.678  1.033 -0.925  0.848 -1.096  0.621 -1.209  0.389 -1.308  0.140 -1.352  -0.114 -1.352  -0.367 -1.352
2#kai#kai0#jhkim1/D  -0.482 1.447  -0.482 1.249  -0.482 1.051  -0.482 0.853  -0.482 0.655  -0.482 0.457  -0.482 0.259  -0.482 0.061  -0.482 -0.137  -0.482 -0.335  -0.482 -0.533  -0.435 -0.725  -0.428 -0.922  -0.428 -1.120  -0.428 -1.318  -0.442 -1.168  -0.457 -0.970  -0.472 -0.773  -0.487 -0.575  -0.503 -0.378  -0.518 -0.180  -0.533 0.017  -0.548 0.214  -0.563 0.412  -0.579 0.609  -0.542 0.782  -0.377 0.891  -0.201 0.965  -0.003 0.965  0.195 0.965  0.389 0.942  0.577 0.880  0.758 0.800  0.930 0.703  1.105 0.614  1.252 0.495  1.342 0.326  1.342 0.128  1.320 -0.066  1.201 -0.205  1.043 -0.315  0.915 -0.461  0.745 -0.563  0.562 -0.636  0.394 -0.740  0.209 -0.807  0.017 -0.855  -0.170 -0.919  -0.338 -1.020  -0.536 -1.020
2#kai#kai0#jhkim1/E  -0.658 1.088  -0.429 1.042  -0.202 0.990  0.028 0.957  0.261 0.957  0.495 0.957  0.728 0.957  0.962 0.957  0.915 0.891  0.706 0.786  0.498 0.682  0.289 0.577  0.080 0.473  -0.129 0.368  -0.338 0.264  -0.547 0.160  -0.756 0.055  -0.872 -0.027  -0.638 -0.027  -0.405 -0.027  -0.171 -0.027  0.062 -0.027  0.296 -0.027  0.529 -0.027  0.763 -0.027  0.997 -0.027  1.006 0.020  0.792 0.114  0.579 0.208  0.365 0.302  0.151 0.396  -0.062 0.490  -0.276 0.584  -0.490 0.678  -0.527 0.501  -0.527 0.268  -0.602 0.057  -0.658 -0.160  -0.658 -0.393  -0.658 -0.627  -0.658 -0.860  -0.658 -1.094  -0.658 -1.327  -0.535 -1.524  -0.309 -1.541  -0.083 -1.598  0.150 -1.602  0.384 -1.602  0.617 -1.602  0.851 -1.602
2#kai#kai0#jhkim1/F  -0.502 0.865  -0.341 0.824  -0.178 0.808  -0.012 0.808  0.154 0.808  0.320 0.808  0.485 0.808  0.651 0.808  0.817 0.808  0.983 0.808  1.137 0.846  1.219 0.918  1.054 0.901  0.889 0.885  0.724 0.868  0.559 0.852  0.394 0.835  0.229 0.819  0.064 0.802  -0.101 0.786  -0.266 0.769  -0.431 0.753  -0.446 0.601  -0.446 0.435  -0.446 0.269  -0.446 0.103  -0.489 -0.055  -0.502 -0.219  -0.502 -0.385  -0.502 -0.551  -0.502 -0.716  -0.502 -0.882  -0.502 -1.048  -0.471 -1.209  -0.418 -1.366  -0.389 -1.527  -0.326 -1.654  -0.276 -1.568  -0.276 -1.402  -0.276 -1.236  -0.276 -1.070  -0.276 -0.905  -0.276 -0.739  -0.276 -0.573  -0.248 -0.435  -0.083 -0.435  0.083 -0.435  0.248 -0.430  0.406 -0.379  0.571 -0.379
2#kai#kai0#jhkim1/G  0.198 1.556  -0.017 1.556  -0.232 1.553  -0.442 1.500  -0.599 1.356  -0.734 1.188  -0.845 1.006  -0.925 0.806  -0.939 0.593  -0.996 0.386  -0.996 0.171  -0.996 -0.045  -0.984 -0.258  -0.888 -0.451  -0.876 -0.664  -0.743 -0.813  -0.555 -0.908  -0.344 -0.950  -0.128 -0.951  0.087 -0.951  0.303 -0.951  0.289 -0.841  0.155 -0.673  0.020 -0.505  -0.115 -0.336  -0.249 -0.168  -0.384 0.000  -0.519 0.169  -0.459 0.266  -0.252 0.284  -0.067 0.183  0.147 0.171  0.360 0.136  0.575 0.123  0.790 0.123  1.006 0.123  1.221 0.123  1.437 0.123  1.492 0.109  1.279 0.070  1.067 0.031  0.855 -0.007  0.643 -0.046  0.431 -0.084  0.258 -0.156  0.277 -0.369  0.318 -0.580  0.318 -0.795  0.318 -1.011  0.437 -1.190
2#kai#kai0#jhkim1/H  -0.909 1.321  -0.871 1.134  -0.838 0.947  -0.806 0.759  -0.761 0.574  -0.752 0.385  -0.694 0.204  -0.648 0.019  -0.648 -0.172  -0.648 -0.362  -0.648 -0.552  -0.648 -0.743  -0.684 -0.927  -0.700 -1.115  -0.687 -1.300  -0.596 -1.330  -0.596 -1.140  -0.596 -0.949  -0.596 -0.759  -0.596 -0.569  -0.596 -0.378  -0.596 -0.188  -0.596 0.002  -0.528 0.099  -0.342 0.069  -0.153 0.077  0.030 0.121  0.219 0.138  0.406 0.176  0.590 0.222  0.780 0.225  0.849 0.330  0.821 0.518  0.793 0.707  0.764 0.895  0.736 1.083  0.708 1.266  0.708 1.075  0.708 0.885  0.708 0.694  0.708 0.504  0.723 0.315  0.747 0.126  0.760 -0.064  0.760 -0.254  0.760 -0.445  0.805 -0.629  0.862 -0.811  0.865 -1.001  0.917 -1.183
2#kai#kai0#jhkim1/J  -0.998 0.760  -0.878 0.730  -0.758 0.708  -0.635 0.708  -0.512 0.708  -0.389 0.708  -0.266 0.708  -0.143 0.708  -0.020 0.709  0.083 0.778  0.196 0.811  0.319 0.811  0.440 0.831  0.560 0.855  0.683 0.862  0.806 0.862  0.778 0.847  0.657 0.821  0.537 0.796  0.416 0.771  0.296 0.745  0.176 0.720  0.055 0.695  -0.065 0.669  -0.089 0.604  -0.021 0.502  0.034 0.392  0.086 0.280  0.116 0.161  0.141 0.041  0.162 -0.081  0.182 -0.202  0.233 -0.314  0.287 -0.424  0.287 -0.547  0.287 -0.670  0.287 -0.793  0.287 -0.916  0.230 -1.022  0.156 -1.119  0.069 -1.206  -0.018 -1.293  -0.116 -1.368  -0.215 -1.442  -0.332 -1.477  -0.451 -1.507  -0.571 -1.536  -0.684 -1.526  -0.790 -1.462  -0.895 -1.399
2#kai#kai0#jhkim1/K  -0.773 1.557  -0.741 1.333  -0.709 1.109  -0.699 0.884  -0.696 0.658  -0.641 0.438  -0.626 0.214  -0.602 -0.009  -0.552 -0.229  -0.552 -0.456  -0.552 -0.682  -0.552 -0.908  -0.552 -1.134  -0.526 -1.279  -0.397 -1.093  -0.268 -0.907  -0.138 -0.722  -0.009 -0.536  0.120 -0.351  0.250 -0.165  0.379 0.020  0.508 0.206  0.638 0.392  0.767 0.577  0.896 0.763  1.026 0.948  1.119 1.115  0.896 1.102  0.693 1.001  0.500 0.884  0.299 0.785  0.100 0.684  -0.081 0.548  -0.280 0.441  -0.453 0.307  -0.599 0.158  -0.802 0.114  -0.911 -0.072  -0.751 -0.232  -0.554 -0.333  -0.332 -0.358  -0.122 -0.405  0.059 -0.540  0.273 -0.579  0.483 -0.631  0.677 -0.746  0.887 -0.830  1.093 -0.923  1.296 -1.023  1.510 -1.094
2#kai#kai0#jhkim1/M  -0.894 0.828  -0.894 0.653  -0.894 0.477  -0.894 0.302  -0.932 0.133  -0.942 -0.041  -0.942 -0.216  -0.942 -0.392  -0.942 -0.567  -0.925 -0.740  -0.879 -0.909  -0.797 -1.056  -0.787 -0.881  -0.776 -0.706  -0.766 -0.531  -0.756 -0.356  -0.746 -0.181  -0.735 -0.006  -0.725 0.169  -0.715 0.345  -0.704 0.520  -0.610 0.647  -0.478 0.606  -0.385 0.462  -0.316 0.302  -0.246 0.141  -0.179 -0.020  -0.094 -0.173  0.011 -0.314  0.169 -0.380  0.331 -0.356  0.430 -0.211  0.535 -0.071  0.634 0.074  0.687 0.239  0.784 0.379  0.899 0.511  1.003 0.651  1.106 0.792  1.234 0.854  1.234 0.679  1.214 0.506  1.185 0.334  1.185 0.159  1.185 -0.017  1.185 -0.192  1.185 -0.367  1.185 -0.543  1.185 -0.718  1.330 -0.816
2#kai#kai0#jhkim1/N  -0.734 1.172  -0.768 1.001  -0.793 0.830  -0.793 0.656  -0.793 0.482  -0.793 0.308  -0.793 0.134  -0.816 -0.038  -0.845 -0.210  -0.853 -0.383  -0.853 -0.557  -0.908 -0.722  -0.913 -0.895  -0.847 -1.042  -0.768 -1.000  -0.723 -0.832  -0.678 -0.664  -0.634 -0.496  -0.589 -0.328  -0.544 -0.160  -0.499 0.008  -0.454 0.176  -0.409 0.344  -0.365 0.512  -0.320 0.680  -0.277 0.540  -0.217 0.378  -0.140 0.222  -0.018 0.098  0.105 -0.025  0.228 -0.148  0.351 -0.271  0.474 -0.394  0.597 -0.517  0.707 -0.651  0.812 -0.790  0.977 -0.837  1.085 -0.768  1.115 -0.599  1.115 -0.425  1.115 -0.251  1.115 -0.078  1.097 0.093  1.056 0.261  1.056 0.435  1.049 0.608  1.015 0.778  0.996 0.950  1.014 1.122  1.056 1.291
2#kai#kai0#jhkim1/O  -0.298 0.976  -0.419 0.916  -0.539 0.855  -0.625 0.756  -0.700 0.644  -0.744 0.516  -0.793 0.391  -0.854 0.271  -0.907 0.148  -0.907 0.013  -0.907 -0.121  -0.907 -0.256  -0.907 -0.391  -0.907 -0.526  -0.862 -0.647  -0.787 -0.759  -0.696 -0.858  -0.600 -0.953  -0.479 -0.985  -0.344 -0.985  -0.209 -0.985  -0.075 -0.980  0.056 -0.948  0.186 -0.914  0.314 -0.871  0.442 -0.829  0.570 -0.786  0.680 -0.709  0.788 -0.628  0.897 -0.549  1.009 -0.474  1.084 -0.370  1.135 -0.244  1.185 -0.119  1.136 0.002  1.075 0.122  0.981 0.213  0.869 0.288  0.761 0.368  0.653 0.449  0.543 0.528  0.431 0.602  0.321 0.680  0.213 0.761  0.106 0.842  0.000 0.927  -0.105 1.011  -0.210 1.095  -0.291 1.202  -0.366 1.314
2#kai#kai0#jhkim1/P  -0.303 1.121  -0.303 0.913  -0.303 0.705  -0.303 0.496  -0.303 0.288  -0.303 0.080  -0.303 -0.128  -0.303 -0.336  -0.296 -0.543  -0.250 -0.746  -0.250 -0.954  -0.225 -1.157  -0.148 -1.351  -0.144 -1.558  -0.117 -1.755  -0.051 -1.737  -0.077 -1.531  -0.103 -1.324  -0.128 -1.117  -0.154 -0.911  -0.180 -0.704  -0.206 -0.498  -0.232 -0.291  -0.258 -0.085  -0.283 0.122  -0.309 0.328  -0.335 0.535  -0.361 0.741  -0.387 0.948  -0.408 1.155  -0.339 1.326  -0.148 1.385  0.054 1.343  0.254 1.286  0.448 1.211  0.631 1.114  0.812 1.012  0.980 0.893  1.095 0.726  1.083 0.529  0.995 0.340  0.857 0.191  0.693 0.062  0.515 -0.045  0.339 -0.157  0.163 -0.267  -0.019 -0.367  -0.216 -0.433  -0.414 -0.499  -0.461 -0.356
2#kai#kai0#jhkim1/R  -0.398 1.388  -0.442 1.166  -0.458 0.941  -0.458 0.714  -0.458 0.488  -0.458 0.261  -0.458 0.035  -0.448 -0.190  -0.385 -0.407  -0.340 -0.630  -0.338 -0.856  -0.338 -1.082  -0.335 -1.045  -0.329 -0.819  -0.324 -0.592  -0.318 -0.366  -0.313 -0.140  -0.307 0.087  -0.302 0.313  -0.296 0.540  -0.291 0.766  -0.285 0.993  -0.280 1.219  -0.131 1.367  0.079 1.448  0.298 1.421  0.488 1.298  0.682 1.181  0.787 0.993  0.907 0.802  0.968 0.588  0.911 0.370  0.750 0.210  0.622 0.024  0.422 -0.081  0.214 -0.169  0.011 -0.268  -0.190 -0.365  -0.408 -0.425  -0.629 -0.461  -0.545 -0.512  -0.331 -0.585  -0.143 -0.712  0.038 -0.848  0.225 -0.976  0.435 -1.057  0.620 -1.186  0.704 -1.396  0.780 -1.609  0.795 -1.833
2#kai#kai0#jhkim1/S  0.873 1.175  0.761 1.175  0.648 1.175  0.536 1.175  0.425 1.169  0.318 1.133  0.208 1.122  0.095 1.122  -0.017 1.122  -0.129 1.122  -0.237 1.102  -0.338 1.052  -0.438 1.002  -0.539 0.951  -0.626 0.893  -0.626 0.781  -0.626 0.668  -0.626 0.556  -0.597 0.448  -0.554 0.345  -0.491 0.252  -0.407 0.183  -0.307 0.133  -0.209 0.077  -0.116 0.015  -0.033 -0.060  0.047 -0.139  0.136 -0.206  0.230 -0.269  0.323 -0.331  0.413 -0.398  0.492 -0.477  0.559 -0.564  0.586 -0.673  0.615 -0.781  0.651 -0.888  0.610 -0.984  0.545 -1.072  0.433 -1.072  0.321 -1.082  0.210 -1.098  0.099 -1.114  -0.013 -1.126  -0.125 -1.126  -0.238 -1.126  -0.350 -1.126  -0.459 -1.100  -0.568 -1.073  -0.677 -1.046  -0.786 -1.019
2#kai#kai0#jhkim1/T  -1.315 0.567  -1.183 0.541  -1.051 0.514  -0.917 0.502  -0.782 0.502  -0.648 0.502  -0.513 0.502  -0.378 0.502  -0.243 0.502  -0.108 0.502  0.027 0.502  0.161 0.502  0.296 0.502  0.431 0.502  0.563 0.526  0.696 0.552  0.829 0.567  0.964 0.567  1.099 0.567  1.233 0.567  1.215 0.558  1.081 0.541  0.947 0.524  0.813 0.507  0.679 0.491  0.546 0.474  0.412 0.457  0.278 0.441  0.144 0.424  0.011 0.407  -0.123 0.390  -0.257 0.374  -0.273 0.253  -0.273 0.118  -0.273 -0.017  -0.273 -0.152  -0.273 -0.287  -0.273 -0.421  -0.273 -0.556  -0.273 -0.691  -0.273 -0.826  -0.273 -0.961  -0.273 -1.095  -0.273 -1.230  -0.273 -1.365  -0.273 -1.500  -0.273 -1.635  -0.273 -1.769  -0.273 -1.904  -0.273 -2.039
2#kai#kai0#jhkim1/U  -0.942 0.996  -0.973 0.842  -0.996 0.688  -0.996 0.531  -1.040 0.382  -1.050 0.227  -1.050 0.070  -1.050 -0.086  -1.050 -0.243  -1.050 -0.399  -1.050 -0.556  -1.050 -0.712  -1.014 -0.850  -0.883 -0.935  -0.730 -0.965  -0.577 -0.973  -0.428 -0.926  -0.276 -0.888  -0.157 -0.792  -0.061 -0.671  0.009 -0.531  0.112 -0.415  0.223 -0.304  0.280 -0.160  0.311 -0.007  0.336 0.148  0.423 0.271  0.517 0.392  0.567 0.540  0.617 0.689  0.665 0.837  0.665 0.994  0.714 1.142  0.719 1.298  0.675 1.187  0.635 1.036  0.612 0.882  0.612 0.725  0.612 0.569  0.612 0.412  0.612 0.256  0.612 0.099  0.629 -0.056  0.660 -0.209  0.665 -0.365  0.665 -0.522  0.665 -0.678  0.665 -0.835  0.665 -0.991  0.665 -1.148
2#kai#kai0#jhkim1/V  -0.961 1.229  -0.898 1.325  -0.834 1.382  -0.770 1.287  -0.726 1.184  -0.712 1.070  -0.698 0.956  -0.684 0.843  -0.666 0.729  -0.644 0.617  -0.621 0.504  -0.618 0.390  -0.606 0.277  -0.569 0.168  -0.560 0.055  -0.551 -0.058  -0.515 -0.167  -0.479 -0.276  -0.442 -0.384  -0.399 -0.491  -0.357 -0.597  -0.306 -0.699  -0.242 -0.795  -0.174 -0.887  -0.102 -0.976  -0.030 -1.066  0.038 -1.158  0.102 -1.253  0.149 -1.226  0.186 -1.118  0.255 -1.026  0.324 -0.934  0.371 -0.832  0.399 -0.721  0.434 -0.612  0.476 -0.505  0.519 -0.399  0.578 -0.301  0.641 -0.206  0.678 -0.097  0.725 0.006  0.789 0.102  0.815 0.209  0.820 0.322  0.871 0.425  0.922 0.528  0.953 0.638  0.981 0.749  1.038 0.847  1.101 0.943
2#kai#kai0#jhkim1/W  -0.862 1.563  -0.862 1.391  -0.862 1.218  -0.862 1.045  -0.862 0.872  -0.862 0.699  -0.862 0.527  -0.862 0.354  -0.862 0.181  -0.862 0.008  -0.862 -0.165  -0.848 -0.335  -0.811 -0.502  -0.811 -0.675  -0.782 -0.843  -0.704 -0.995  -0.595 -1.006  -0.501 -0.871  -0.487 -0.700  -0.443 -0.534  -0.378 -0.373  -0.314 -0.213  -0.250 -0.052  -0.157 0.093  -0.095 0.254  0.002 0.395  0.082 0.545  0.124 0.661  0.166 0.493  0.208 0.326  0.259 0.161  0.272 -0.010  0.272 -0.183  0.325 -0.347  0.402 -0.502  0.464 -0.663  0.479 -0.833  0.600 -0.941  0.727 -0.870  0.820 -0.729  0.884 -0.569  0.929 -0.402  0.985 -0.239  1.049 -0.078  1.104 0.086  1.158 0.250  1.213 0.414  1.274 0.575  1.351 0.730  1.510 0.790
