2#tos#f3#f3014059/!  0.116 1.572  0.043 1.572  0.017 1.572  0.054 1.537  0.054 1.464  0.054 1.391  0.054 1.318  0.054 1.245  0.054 1.172  0.054 1.099  0.054 1.026  0.054 0.953  0.054 0.880  0.054 0.807  0.054 0.734  0.054 0.661  0.054 0.588  0.058 0.515  0.076 0.444  0.093 0.374  0.111 0.303  0.116 0.230  0.116 0.157  0.116 0.084  0.116 0.011  0.116 -0.062  0.116 -0.135  0.115 -0.208  0.103 -0.280  0.091 -0.352  0.079 -0.424  0.067 -0.496  0.055 -0.568  0.043 -0.640  0.031 -0.712  0.019 -0.784  0.007 -0.856  -0.005 -0.928  -0.049 -0.983  -0.101 -1.035  -0.152 -1.086  -0.204 -1.138  -0.255 -1.190  -0.307 -1.241  -0.313 -1.312  -0.313 -1.385  -0.287 -1.431  -0.214 -1.431  -0.191 -1.481  -0.191 -1.554
2#tos#f3#f3014059/O  0.362 0.758  0.232 0.844  0.112 0.892  -0.054 0.892  -0.220 0.892  -0.310 0.815  -0.456 0.758  -0.579 0.662  -0.693 0.566  -0.800 0.450  -0.803 0.285  -0.875 0.148  -0.937 -0.004  -0.937 -0.170  -0.937 -0.336  -0.937 -0.502  -0.937 -0.668  -0.850 -0.808  -0.793 -0.945  -0.758 -1.077  -0.643 -1.137  -0.489 -1.199  -0.325 -1.214  -0.159 -1.214  0.007 -1.214  0.104 -1.102  0.224 -1.006  0.388 -0.990  0.519 -0.895  0.631 -0.785  0.721 -0.674  0.808 -0.544  0.855 -0.397  0.894 -0.240  0.900 -0.076  0.942 0.081  0.945 0.246  0.945 0.412  0.945 0.579  0.945 0.745  0.810 0.777  0.715 0.847  0.549 0.847  0.407 0.823  0.272 0.748  0.112 0.713  -0.054 0.713  -0.162 0.637  -0.278 0.579  -0.355 0.489
2#tos#f3#f3014059/P  -0.230 1.312  -0.418 1.248  -0.371 1.079  -0.371 0.863  -0.371 0.647  -0.371 0.431  -0.423 0.243  -0.515 0.075  -0.557 -0.137  -0.559 -0.353  -0.559 -0.569  -0.566 -0.785  -0.606 -0.996  -0.606 -1.212  -0.606 -1.428  -0.606 -1.644  -0.583 -1.538  -0.541 -1.326  -0.499 -1.114  -0.456 -0.902  -0.414 -0.690  -0.372 -0.479  -0.329 -0.267  -0.287 -0.055  -0.244 0.157  -0.202 0.369  -0.160 0.581  -0.230 0.701  -0.399 0.748  -0.268 0.701  -0.052 0.701  0.147 0.772  0.358 0.795  0.574 0.795  0.753 0.884  0.967 0.889  1.136 0.842  1.322 0.812  1.369 0.615  1.276 0.421  1.177 0.273  1.047 0.104  0.899 -0.052  0.730 -0.183  0.592 -0.338  0.379 -0.374  0.232 -0.518  0.099 -0.627  -0.061 -0.710  -0.230 -0.757
2#tos#f3#f3014059/R  -0.365 1.504  -0.511 1.372  -0.541 1.123  -0.541 0.845  -0.541 0.567  -0.541 0.289  -0.541 0.011  -0.541 -0.267  -0.541 -0.545  -0.541 -0.823  -0.541 -1.101  -0.570 -1.351  -0.554 -1.539  -0.536 -1.267  -0.500 -0.991  -0.465 -0.715  -0.430 -0.439  -0.395 -0.163  -0.360 0.112  -0.324 0.388  -0.289 0.664  -0.461 0.757  -0.493 0.936  -0.250 1.021  -0.036 1.131  0.213 1.213  0.486 1.240  0.764 1.240  0.865 1.037  0.792 0.781  0.653 0.548  0.533 0.330  0.394 0.093  0.213 -0.081  0.067 -0.311  -0.101 -0.516  -0.213 -0.739  -0.409 -0.837  -0.269 -0.663  -0.112 -0.434  0.045 -0.204  0.091 -0.033  0.247 -0.121  0.525 -0.121  0.749 -0.209  0.977 -0.290  1.156 -0.483  1.223 -0.713  1.260 -0.985  1.260 -1.263
2#tos#f3#f3014059/T  -0.871 0.570  -0.929 0.485  -1.055 0.455  -1.120 0.327  -1.253 0.312  -1.192 0.229  -1.048 0.229  -0.911 0.264  -0.778 0.320  -0.658 0.399  -0.514 0.400  -0.370 0.400  -0.240 0.434  -0.135 0.527  0.009 0.527  0.153 0.527  0.290 0.566  0.425 0.612  0.551 0.655  0.695 0.655  0.839 0.655  0.916 0.721  1.001 0.780  0.988 0.735  0.852 0.690  0.715 0.644  0.578 0.599  0.442 0.553  0.305 0.508  0.169 0.462  0.028 0.442  -0.051 0.400  -0.020 0.287  -0.020 0.143  -0.007 0.004  0.079 -0.110  0.137 -0.241  0.151 -0.383  0.151 -0.527  0.151 -0.671  0.151 -0.815  0.151 -0.959  0.151 -1.103  0.151 -1.247  0.151 -1.391  0.151 -1.535  0.151 -1.679  0.151 -1.823  0.151 -1.967  0.193 -2.068
2#tos#f3#f3014059/U  -0.707 1.156  -0.793 1.131  -0.793 1.020  -0.793 0.910  -0.793 0.799  -0.793 0.688  -0.793 0.578  -0.793 0.467  -0.793 0.357  -0.789 0.247  -0.763 0.139  -0.750 0.030  -0.750 -0.080  -0.750 -0.191  -0.750 -0.302  -0.750 -0.412  -0.750 -0.523  -0.711 -0.594  -0.665 -0.659  -0.624 -0.760  -0.578 -0.851  -0.484 -0.893  -0.374 -0.893  -0.306 -0.935  -0.195 -0.935  -0.085 -0.935  0.016 -0.894  0.070 -0.798  0.148 -0.720  0.238 -0.660  0.341 -0.619  0.434 -0.563  0.503 -0.478  0.553 -0.379  0.602 -0.280  0.672 -0.196  0.763 -0.136  0.846 -0.065  0.905 0.027  0.915 0.136  0.937 0.243  0.984 0.342  1.043 0.435  1.043 0.545  1.043 0.656  1.043 0.766  1.043 0.877  1.043 0.988  0.980 1.059  0.957 1.156
2#tos#f3#f3014059/V  -0.813 1.169  -0.933 1.169  -1.053 1.169  -0.964 1.161  -0.964 1.041  -0.906 0.941  -0.834 0.845  -0.756 0.754  -0.705 0.646  -0.668 0.532  -0.646 0.416  -0.608 0.302  -0.570 0.188  -0.519 0.080  -0.454 -0.017  -0.425 -0.133  -0.411 -0.251  -0.411 -0.371  -0.339 -0.461  -0.260 -0.548  -0.260 -0.668  -0.260 -0.788  -0.177 -0.874  -0.145 -0.984  -0.109 -1.098  -0.109 -1.218  -0.059 -1.200  0.042 -1.181  0.064 -1.070  0.149 -0.985  0.249 -0.936  0.333 -0.851  0.377 -0.741  0.415 -0.627  0.456 -0.515  0.519 -0.414  0.598 -0.326  0.627 -0.210  0.659 -0.095  0.700 0.018  0.785 0.102  0.829 0.212  0.846 0.329  0.859 0.447  0.903 0.558  0.946 0.670  0.946 0.790  0.970 0.902  1.036 1.002  1.047 1.119
2#tos#f3#f3014059/W  -1.286 0.918  -1.404 0.986  -1.388 0.910  -1.221 0.853  -1.130 0.706  -1.090 0.560  -1.033 0.391  -0.924 0.243  -0.856 0.076  -0.856 -0.109  -0.833 -0.286  -0.726 -0.437  -0.660 -0.599  -0.579 -0.741  -0.519 -0.883  -0.492 -0.720  -0.347 -0.625  -0.347 -0.440  -0.347 -0.255  -0.243 -0.153  -0.190 0.022  -0.190 0.207  -0.112 0.370  -0.073 0.538  -0.017 0.700  0.045 0.765  0.090 0.598  0.154 0.432  0.201 0.255  0.201 0.070  0.201 -0.115  0.201 -0.300  0.237 -0.480  0.240 -0.664  0.243 -0.848  0.382 -0.922  0.512 -1.000  0.622 -0.853  0.788 -0.799  0.832 -0.629  0.906 -0.468  0.969 -0.295  1.047 -0.134  1.102 0.033  1.141 0.201  1.219 0.308  1.299 0.415  1.358 0.590  1.415 0.733  1.454 0.879
2#tos#f3#f3014059/Z  -0.528 0.886  -0.661 0.886  -0.793 0.886  -0.793 0.847  -0.660 0.847  -0.527 0.847  -0.410 0.899  -0.288 0.946  -0.162 0.985  -0.038 1.035  0.087 1.078  0.219 1.081  0.343 1.120  0.467 1.159  0.599 1.159  0.682 1.109  0.682 0.977  0.682 0.844  0.669 0.716  0.575 0.623  0.526 0.510  0.470 0.400  0.432 0.284  0.338 0.190  0.292 0.076  0.255 -0.038  0.147 -0.115  0.039 -0.192  -0.007 -0.311  -0.100 -0.363  -0.149 -0.453  -0.243 -0.547  -0.343 -0.634  -0.449 -0.714  -0.543 -0.808  -0.567 -0.931  -0.682 -0.949  -0.684 -1.079  -0.616 -1.144  -0.483 -1.144  -0.351 -1.137  -0.224 -1.105  -0.091 -1.105  0.042 -1.105  0.175 -1.105  0.307 -1.105  0.401 -1.066  0.534 -1.066  0.667 -1.066  0.760 -1.105
2#tos#f3#f3014059/c  0.726 0.326  0.613 0.333  0.613 0.454  0.613 0.574  0.613 0.695  0.613 0.815  0.571 0.894  0.499 0.943  0.499 1.063  0.386 1.092  0.272 1.121  0.152 1.121  0.031 1.121  -0.089 1.121  -0.201 1.083  -0.239 0.986  -0.322 0.941  -0.437 0.903  -0.494 0.808  -0.522 0.692  -0.522 0.572  -0.522 0.451  -0.559 0.346  -0.640 0.258  -0.678 0.144  -0.716 0.029  -0.749 -0.086  -0.749 -0.206  -0.749 -0.327  -0.749 -0.447  -0.707 -0.525  -0.645 -0.620  -0.636 -0.739  -0.600 -0.844  -0.515 -0.929  -0.418 -0.995  -0.303 -1.033  -0.183 -1.036  -0.063 -1.036  0.058 -1.036  0.178 -1.036  0.299 -1.036  0.419 -1.036  0.540 -1.036  0.630 -0.962  0.729 -0.898  0.841 -0.854  0.953 -0.809  1.038 -0.724  1.123 -0.638
2#tos#f3#f3014059/d  0.395 2.131  0.321 2.024  0.342 1.931  0.342 1.751  0.342 1.572  0.342 1.392  0.342 1.213  0.342 1.033  0.342 0.853  0.346 0.674  0.382 0.498  0.395 0.320  0.395 0.141  0.395 -0.039  0.395 -0.218  0.395 -0.398  0.397 -0.575  0.448 -0.704  0.448 -0.883  0.458 -1.052  0.395 -1.022  0.348 -0.853  0.342 -0.675  0.342 -0.496  0.282 -0.336  0.172 -0.194  0.076 -0.085  0.049 0.090  -0.021 0.221  -0.136 0.286  -0.221 0.380  -0.348 0.433  -0.527 0.433  -0.677 0.365  -0.772 0.214  -0.826 0.088  -0.826 -0.092  -0.826 -0.271  -0.826 -0.451  -0.826 -0.631  -0.826 -0.810  -0.739 -0.936  -0.666 -1.050  -0.489 -1.052  -0.309 -1.052  -0.183 -0.999  -0.028 -0.942  0.089 -0.840  0.182 -0.755  0.235 -0.628
2#tos#f3#f3014059/e  -0.572 0.320  -0.699 0.256  -0.813 0.130  -0.773 0.130  -0.597 0.067  -0.406 0.067  -0.216 0.067  -0.025 0.067  0.166 0.067  0.357 0.067  0.497 0.188  0.686 0.193  0.871 0.220  1.005 0.347  1.103 0.510  1.198 0.630  1.071 0.694  0.945 0.807  0.786 0.858  0.608 0.889  0.480 0.952  0.289 0.952  0.099 0.952  -0.025 0.875  -0.183 0.769  -0.309 0.699  -0.500 0.699  -0.649 0.585  -0.801 0.470  -0.936 0.335  -0.952 0.151  -0.991 -0.016  -1.078 -0.152  -1.078 -0.343  -1.078 -0.534  -1.010 -0.697  -0.952 -0.863  -0.778 -0.881  -0.589 -0.893  -0.404 -0.939  -0.214 -0.944  -0.023 -0.944  0.168 -0.944  0.344 -0.881  0.535 -0.881  0.726 -0.881  0.916 -0.881  1.091 -0.826  1.260 -0.755  1.451 -0.755
2#tos#f3#f3014059/g  0.381 1.012  0.089 1.090  -0.110 1.290  -0.402 1.368  -0.639 1.225  -0.758 1.020  -0.813 0.705  -0.829 0.384  -0.758 0.130  -0.549 0.015  -0.225 0.007  0.091 -0.056  0.239 0.121  0.381 0.302  0.411 0.514  0.452 0.737  0.474 0.798  0.544 0.654  0.358 0.389  0.172 0.123  -0.025 -0.056  -0.278 -0.127  -0.402 -0.328  -0.615 -0.534  -0.822 -0.690  -0.900 -0.940  -0.831 -1.195  -0.687 -1.434  -0.427 -1.526  -0.113 -1.551  0.182 -1.480  0.435 -1.408  0.595 -1.202  0.737 -1.020  0.737 -0.696  0.472 -0.554  0.219 -0.483  -0.030 -0.576  -0.331 -0.697  -0.589 -0.666  -0.374 -0.424  -0.159 -0.181  0.056 0.062  0.271 0.305  0.485 0.548  0.700 0.791  0.915 1.033  0.859 1.154  0.673 0.962  0.737 1.083
2#tos#f3#f3014059/h  -0.558 1.677  -0.615 1.603  -0.615 1.472  -0.615 1.341  -0.615 1.210  -0.615 1.079  -0.615 0.948  -0.615 0.817  -0.615 0.686  -0.615 0.556  -0.579 0.430  -0.558 0.303  -0.558 0.172  -0.558 0.041  -0.558 -0.090  -0.558 -0.221  -0.558 -0.352  -0.558 -0.483  -0.558 -0.613  -0.558 -0.744  -0.558 -0.875  -0.501 -0.949  -0.444 -0.977  -0.444 -0.846  -0.444 -0.715  -0.444 -0.584  -0.425 -0.459  -0.352 -0.350  -0.273 -0.283  -0.225 -0.163  -0.138 -0.067  -0.045 0.025  0.071 0.085  0.164 0.178  0.287 0.196  0.418 0.196  0.540 0.159  0.667 0.139  0.774 0.082  0.881 0.025  1.009 0.011  1.094 -0.068  1.131 -0.183  1.151 -0.306  1.203 -0.409  1.312 -0.481  1.321 -0.607  1.321 -0.738  1.321 -0.869  1.321 -1.000
2#tos#f3#f3014059/i  0.207 0.306  0.072 0.306  -0.064 0.306  -0.088 0.195  -0.088 0.060  -0.088 -0.076  -0.088 -0.211  -0.088 -0.347  -0.088 -0.483  -0.088 -0.618  -0.088 -0.754  -0.088 -0.889  -0.088 -1.025  -0.088 -1.160  -0.088 -1.296  -0.088 -1.431  -0.088 -1.567  -0.027 -1.677  -0.012 -1.573  -0.009 -1.438  -0.006 -1.302  -0.002 -1.167  0.001 -1.031  0.004 -0.896  0.007 -0.760  0.010 -0.625  0.013 -0.489  0.016 -0.354  0.019 -0.218  0.022 -0.083  0.025 0.053  0.028 0.188  0.031 0.324  0.034 0.459  0.038 0.595  0.041 0.730  0.044 0.866  0.047 1.001  0.050 1.137  0.053 1.272  0.056 1.408  0.059 1.543  -0.056 1.563  -0.162 1.533  -0.147 1.407  -0.026 1.347  0.109 1.341  0.219 1.306  0.262 1.178  0.281 1.045
2#tos#f3#f3014059/j  0.152 1.760  0.051 1.760  0.043 1.667  0.128 1.651  0.152 1.574  0.152 1.472  0.164 1.372  0.184 1.273  0.204 1.174  0.224 1.074  0.243 0.975  0.263 0.876  0.283 0.776  0.303 0.677  0.280 0.613  0.207 0.585  0.207 0.484  0.207 0.383  0.207 0.281  0.207 0.180  0.207 0.079  0.207 -0.022  0.207 -0.124  0.207 -0.225  0.207 -0.326  0.207 -0.428  0.207 -0.529  0.236 -0.618  0.261 -0.709  0.264 -0.807  0.316 -0.857  0.316 -0.958  0.283 -1.026  0.181 -1.026  0.135 -0.971  0.033 -0.971  -0.067 -0.973  -0.114 -1.026  -0.216 -1.026  -0.308 -1.003  -0.395 -0.970  -0.440 -0.880  -0.531 -0.862  -0.621 -0.845  -0.667 -0.754  -0.667 -0.653  -0.755 -0.627  -0.831 -0.573  -0.831 -0.472  -0.886 -0.425
2#tos#f3#f3014059/k  -0.625 1.925  -0.700 1.824  -0.562 1.666  -0.562 1.427  -0.562 1.189  -0.562 0.950  -0.562 0.712  -0.562 0.473  -0.526 0.238  -0.500 0.002  -0.500 -0.237  -0.500 -0.476  -0.500 -0.714  -0.500 -0.953  -0.437 -1.129  -0.409 -1.339  -0.301 -1.149  -0.216 -0.926  -0.132 -0.703  -0.047 -0.480  0.038 -0.257  0.123 -0.034  0.208 0.189  0.293 0.412  0.378 0.635  0.463 0.858  0.548 1.081  0.623 1.298  0.514 1.127  0.384 0.927  0.379 0.690  0.350 0.456  0.274 0.237  0.131 0.046  -0.076 -0.052  -0.200 -0.251  -0.248 -0.482  -0.321 -0.649  -0.226 -0.538  -0.035 -0.394  0.094 -0.272  -0.013 -0.413  0.112 -0.460  0.225 -0.586  0.442 -0.655  0.615 -0.769  0.752 -0.958  0.954 -1.061  1.160 -1.151  1.321 -1.277
2#tos#f3#f3014059/m  -0.924 1.175  -1.060 1.116  -0.983 1.045  -0.983 0.850  -0.949 0.661  -0.924 0.470  -0.924 0.275  -0.924 0.081  -0.924 -0.114  -0.865 -0.295  -0.865 -0.490  -0.865 -0.685  -0.865 -0.879  -0.862 -1.042  -0.814 -0.853  -0.774 -0.673  -0.689 -0.513  -0.630 -0.332  -0.630 -0.138  -0.594 0.051  -0.513 0.184  -0.495 0.371  -0.340 0.467  -0.148 0.464  0.012 0.356  0.075 0.188  0.157 0.012  0.251 -0.116  0.251 -0.310  0.288 -0.501  0.310 -0.693  0.310 -0.523  0.310 -0.328  0.310 -0.134  0.312 0.060  0.474 0.168  0.486 0.356  0.508 0.529  0.679 0.588  0.874 0.588  1.007 0.512  1.133 0.408  1.250 0.330  1.250 0.136  1.287 -0.053  1.309 -0.244  1.309 -0.439  1.426 -0.516  1.485 -0.687  1.485 -0.882
2#tos#f3#f3014059/o  0.011 0.589  -0.149 0.589  -0.174 0.723  -0.174 0.883  -0.258 0.958  -0.418 0.958  -0.454 0.835  -0.609 0.827  -0.667 0.681  -0.667 0.521  -0.705 0.385  -0.790 0.278  -0.790 0.118  -0.790 -0.042  -0.891 -0.139  -0.913 -0.285  -0.913 -0.445  -0.913 -0.605  -0.913 -0.764  -0.851 -0.863  -0.781 -0.952  -0.621 -0.952  -0.547 -1.071  -0.389 -1.075  -0.229 -1.075  -0.069 -1.075  0.091 -1.075  0.250 -1.075  0.397 -1.051  0.486 -0.918  0.598 -0.807  0.731 -0.718  0.847 -0.608  0.960 -0.495  0.997 -0.351  1.004 -0.192  1.054 -0.041  1.059 0.118  1.059 0.278  1.035 0.428  0.997 0.572  0.915 0.650  0.762 0.676  0.633 0.767  0.502 0.835  0.342 0.835  0.182 0.835  0.073 0.785  -0.076 0.774  -0.235 0.774
2#tos#f3#f3014059/r  -0.035 1.451  -0.180 1.451  -0.326 1.451  -0.430 1.410  -0.410 1.273  -0.351 1.152  -0.351 1.007  -0.351 0.862  -0.351 0.717  -0.351 0.572  -0.351 0.427  -0.351 0.281  -0.351 0.136  -0.351 -0.009  -0.351 -0.154  -0.351 -0.299  -0.351 -0.444  -0.330 -0.586  -0.284 -0.724  -0.272 -0.867  -0.272 -1.012  -0.272 -1.157  -0.272 -1.302  -0.272 -1.447  -0.272 -1.592  -0.272 -1.517  -0.272 -1.372  -0.212 -1.252  -0.193 -1.115  -0.193 -0.969  -0.193 -0.824  -0.192 -0.680  -0.090 -0.577  -0.035 -0.454  0.025 -0.323  0.090 -0.194  0.194 -0.128  0.263 -0.005  0.289 0.135  0.335 0.273  0.407 0.394  0.461 0.503  0.606 0.503  0.675 0.580  0.675 0.725  0.805 0.740  0.950 0.740  1.095 0.740  1.240 0.740  1.385 0.740
2#tos#f3#f3014059/u  -0.711 1.228  -0.761 1.336  -0.765 1.181  -0.833 1.038  -0.873 0.889  -0.873 0.731  -0.873 0.572  -0.914 0.430  -1.026 0.318  -1.035 0.163  -1.035 0.004  -1.035 -0.154  -1.035 -0.313  -1.035 -0.472  -1.035 -0.630  -0.964 -0.718  -0.873 -0.826  -0.727 -0.880  -0.568 -0.880  -0.409 -0.880  -0.251 -0.880  -0.097 -0.866  0.030 -0.771  0.150 -0.668  0.262 -0.556  0.301 -0.402  0.316 -0.245  0.404 -0.115  0.497 0.013  0.585 0.145  0.641 0.281  0.641 0.439  0.641 0.598  0.641 0.757  0.641 0.915  0.695 0.896  0.695 0.737  0.695 0.578  0.695 0.420  0.695 0.261  0.641 0.115  0.641 -0.043  0.641 -0.202  0.641 -0.361  0.658 -0.502  0.817 -0.502  0.965 -0.512  1.080 -0.556  1.185 -0.610  1.235 -0.502
2#tos#f3#f3014059/v  -0.774 1.180  -0.890 1.180  -0.929 1.103  -0.929 0.987  -0.929 0.871  -0.929 0.755  -0.929 0.639  -0.827 0.587  -0.756 0.506  -0.720 0.396  -0.697 0.284  -0.651 0.182  -0.587 0.086  -0.542 -0.016  -0.542 -0.132  -0.542 -0.248  -0.542 -0.364  -0.542 -0.479  -0.542 -0.595  -0.493 -0.699  -0.465 -0.809  -0.400 -0.897  -0.388 -1.008  -0.328 -1.064  -0.212 -1.064  -0.096 -1.064  -0.001 -1.043  0.032 -0.937  0.096 -0.841  0.164 -0.749  0.268 -0.697  0.326 -0.609  0.354 -0.496  0.382 -0.384  0.468 -0.313  0.565 -0.249  0.655 -0.176  0.736 -0.095  0.818 -0.013  0.850 0.090  0.850 0.206  0.921 0.251  0.976 0.349  1.028 0.452  1.080 0.556  1.082 0.671  1.082 0.787  1.082 0.903  1.132 0.998  1.237 1.025
2#tos#f3#f3014059/z  -0.398 1.031  -0.539 1.031  -0.661 0.985  -0.756 0.977  -0.615 0.977  -0.474 0.977  -0.333 0.977  -0.192 0.977  -0.057 1.018  0.082 1.031  0.223 1.031  0.364 1.031  0.505 1.031  0.646 1.031  0.787 1.031  0.794 0.897  0.794 0.756  0.763 0.631  0.646 0.553  0.575 0.433  0.462 0.349  0.351 0.263  0.251 0.163  0.188 0.048  0.076 -0.036  -0.029 -0.128  -0.116 -0.215  -0.235 -0.269  -0.335 -0.369  -0.459 -0.434  -0.593 -0.479  -0.624 -0.595  -0.765 -0.595  -0.832 -0.701  -0.886 -0.788  -0.877 -0.920  -0.740 -0.950  -0.603 -0.977  -0.467 -1.011  -0.328 -1.028  -0.187 -1.028  -0.045 -1.028  0.094 -1.016  0.233 -0.989  0.372 -0.974  0.513 -0.974  0.652 -0.964  0.783 -0.920  0.924 -0.920  1.065 -0.920
