2#tos#f3#f3010058/\"  -0.346 0.524  -0.502 0.524  -0.658 0.524  -0.752 0.461  -0.768 0.321  -0.924 0.321  -1.056 0.297  -1.056 0.141  -1.056 -0.015  -1.056 -0.171  -1.056 -0.327  -1.056 -0.483  -1.056 -0.639  -1.056 -0.795  -1.056 -0.951  -0.950 -0.992  -0.845 -0.877  -0.740 -0.761  -0.635 -0.645  -0.531 -0.529  -0.426 -0.414  -0.321 -0.298  -0.216 -0.182  -0.112 -0.066  -0.007 0.049  0.098 0.165  0.202 0.281  0.307 0.397  0.412 0.512  0.517 0.628  0.621 0.744  0.726 0.860  0.831 0.975  0.936 1.091  0.902 1.062  0.792 0.951  0.770 0.804  0.770 0.648  0.784 0.495  0.854 0.356  0.872 0.204  0.872 0.048  0.872 -0.108  0.872 -0.265  0.872 -0.421  0.872 -0.577  0.872 -0.733  0.872 -0.889  0.872 -1.045  0.872 -1.201
2#tos#f3#f3010058/N  -0.393 0.858  -0.439 0.944  -0.467 0.772  -0.467 0.596  -0.484 0.420  -0.542 0.261  -0.609 0.103  -0.641 -0.071  -0.690 -0.239  -0.746 -0.406  -0.766 -0.581  -0.841 -0.726  -0.879 -0.894  -0.856 -0.728  -0.832 -0.553  -0.808 -0.378  -0.785 -0.203  -0.761 -0.028  -0.737 0.148  -0.714 0.323  -0.692 0.498  -0.613 0.596  -0.486 0.521  -0.395 0.410  -0.318 0.259  -0.261 0.100  -0.178 -0.056  -0.131 -0.225  -0.131 -0.401  -0.102 -0.573  -0.057 -0.744  -0.019 -0.912  0.056 -1.014  0.161 -0.988  0.307 -0.893  0.399 -0.751  0.497 -0.608  0.609 -0.472  0.726 -0.340  0.838 -0.205  0.929 -0.054  1.020 0.098  1.132 0.235  1.224 0.381  1.272 0.548  1.378 0.689  1.489 0.827  1.547 0.991  1.591 1.160  1.663 1.307
2#tos#f3#f3010058/O  -0.314 0.887  -0.364 0.798  -0.494 0.789  -0.562 0.689  -0.659 0.590  -0.703 0.459  -0.708 0.321  -0.708 0.182  -0.715 0.047  -0.830 -0.030  -0.855 -0.155  -0.855 -0.294  -0.855 -0.433  -0.855 -0.571  -0.855 -0.710  -0.835 -0.845  -0.785 -0.974  -0.703 -1.084  -0.603 -1.178  -0.464 -1.178  -0.325 -1.178  -0.190 -1.147  -0.065 -1.093  0.050 -1.015  0.161 -0.932  0.272 -0.849  0.383 -0.765  0.486 -0.673  0.584 -0.575  0.682 -0.476  0.773 -0.374  0.816 -0.242  0.816 -0.104  0.840 0.025  0.898 0.148  0.915 0.284  0.954 0.416  0.964 0.554  0.964 0.692  0.964 0.831  0.871 0.931  0.736 0.947  0.604 0.986  0.465 0.986  0.326 0.986  0.187 0.986  0.057 0.950  -0.067 0.888  -0.182 0.811  -0.216 0.691
2#tos#f3#f3010058/P  0.165 0.608  0.087 0.546  0.067 0.353  0.022 0.164  -0.049 -0.017  -0.069 -0.208  -0.069 -0.403  -0.069 -0.599  -0.164 -0.761  -0.225 -0.935  -0.264 -1.125  -0.294 -1.316  -0.303 -1.510  -0.374 -1.684  -0.406 -1.516  -0.432 -1.322  -0.458 -1.129  -0.484 -0.935  -0.510 -0.741  -0.536 -0.547  -0.562 -0.354  -0.588 -0.160  -0.614 0.034  -0.640 0.227  -0.742 0.334  -0.938 0.334  -1.084 0.383  -0.944 0.475  -0.776 0.565  -0.598 0.608  -0.460 0.725  -0.284 0.810  -0.103 0.882  0.090 0.914  0.266 0.971  0.441 1.058  0.632 1.076  0.828 1.076  1.023 1.076  1.150 0.950  1.180 0.767  1.180 0.571  1.180 0.376  1.143 0.217  0.970 0.163  0.832 0.025  0.689 -0.106  0.523 -0.206  0.365 -0.309  0.204 -0.407
2#tos#f3#f3010058/S  0.904 0.917  0.857 1.008  0.782 1.115  0.660 1.154  0.532 1.186  0.449 1.268  0.318 1.268  0.187 1.268  0.055 1.268  -0.076 1.268  -0.107 1.167  -0.107 1.036  -0.068 0.943  0.022 0.892  0.100 0.788  0.170 0.679  0.263 0.586  0.315 0.468  0.400 0.370  0.459 0.253  0.483 0.127  0.515 0.003  0.538 -0.125  0.554 -0.253  0.554 -0.385  0.554 -0.516  0.527 -0.643  0.476 -0.757  0.462 -0.879  0.338 -0.911  0.207 -0.911  0.090 -0.947  -0.040 -0.950  -0.172 -0.950  -0.225 -0.872  -0.341 -0.820  -0.421 -0.735  -0.468 -0.631  -0.574 -0.557  -0.582 -0.427  -0.613 -0.303  -0.637 -0.324  -0.652 -0.453  -0.701 -0.559  -0.807 -0.638  -0.905 -0.716  -0.952 -0.839  -1.049 -0.889  -1.080 -1.013  -1.196 -1.028
2#tos#f3#f3010058/T  -0.769 0.565  -0.892 0.565  -1.015 0.565  -0.948 0.565  -0.825 0.565  -0.703 0.565  -0.580 0.565  -0.457 0.572  -0.336 0.592  -0.222 0.630  -0.115 0.682  0.008 0.682  0.128 0.706  0.247 0.735  0.366 0.761  0.489 0.761  0.612 0.761  0.735 0.761  0.858 0.761  0.980 0.761  0.882 0.726  0.765 0.689  0.648 0.651  0.531 0.614  0.414 0.576  0.297 0.539  0.180 0.502  0.063 0.464  -0.057 0.448  -0.105 0.350  -0.105 0.227  -0.105 0.104  -0.105 -0.019  -0.105 -0.142  -0.105 -0.265  -0.105 -0.388  -0.105 -0.510  -0.100 -0.633  -0.076 -0.753  -0.066 -0.875  -0.066 -0.998  -0.042 -1.118  -0.027 -1.240  -0.027 -1.363  -0.027 -1.486  -0.027 -1.608  -0.027 -1.731  -0.027 -1.854  0.011 -1.971  0.052 -2.054
2#tos#f3#f3010058/U  -0.534 1.084  -0.619 1.122  -0.686 1.179  -0.724 1.208  -0.724 1.084  -0.707 0.964  -0.661 0.849  -0.648 0.728  -0.648 0.604  -0.648 0.481  -0.648 0.357  -0.648 0.233  -0.648 0.110  -0.648 -0.014  -0.641 -0.137  -0.621 -0.259  -0.610 -0.382  -0.610 -0.505  -0.568 -0.621  -0.510 -0.728  -0.450 -0.835  -0.380 -0.935  -0.321 -1.040  -0.267 -1.123  -0.187 -1.189  -0.065 -1.200  0.059 -1.200  0.123 -1.104  0.210 -1.033  0.304 -0.982  0.315 -0.860  0.354 -0.743  0.419 -0.647  0.529 -0.592  0.586 -0.483  0.631 -0.368  0.671 -0.251  0.684 -0.130  0.734 -0.021  0.795 0.087  0.836 0.200  0.836 0.324  0.836 0.448  0.836 0.571  0.836 0.695  0.836 0.819  0.836 0.942  0.788 1.040  0.718 1.127  0.646 1.122
2#tos#f3#f3010058/W  -1.251 0.588  -1.427 0.627  -1.483 0.756  -1.324 0.781  -1.219 0.691  -1.050 0.618  -0.928 0.480  -0.840 0.320  -0.763 0.152  -0.701 -0.021  -0.623 -0.188  -0.556 -0.354  -0.556 -0.539  -0.477 -0.702  -0.407 -0.869  -0.334 -1.024  -0.247 -0.916  -0.170 -0.764  -0.170 -0.579  -0.170 -0.394  -0.170 -0.209  -0.170 -0.024  -0.170 0.160  -0.170 0.345  -0.170 0.530  -0.093 0.616  -0.054 0.440  -0.054 0.256  -0.046 0.073  0.038 -0.089  0.094 -0.264  0.159 -0.437  0.177 -0.619  0.178 -0.804  0.255 -0.941  0.420 -0.946  0.496 -0.792  0.626 -0.662  0.735 -0.518  0.772 -0.338  0.851 -0.185  0.947 -0.038  0.994 0.140  1.063 0.312  1.172 0.460  1.257 0.624  1.316 0.799  1.381 0.971  1.413 1.153  1.451 1.322
2#tos#f3#f3010058/Y  -0.646 0.848  -0.744 0.885  -0.691 0.875  -0.609 0.800  -0.506 0.739  -0.466 0.614  -0.385 0.526  -0.323 0.408  -0.235 0.325  -0.128 0.256  -0.029 0.261  0.074 0.349  0.178 0.436  0.281 0.523  0.384 0.610  0.487 0.698  0.590 0.785  0.693 0.872  0.796 0.959  0.885 1.053  0.791 1.034  0.695 0.945  0.609 0.844  0.556 0.721  0.454 0.641  0.358 0.546  0.247 0.471  0.151 0.375  0.086 0.258  -0.004 0.162  -0.116 0.086  -0.236 0.025  -0.288 -0.086  -0.271 -0.086  -0.235 -0.185  -0.235 -0.320  -0.204 -0.448  -0.198 -0.581  -0.159 -0.704  -0.123 -0.829  -0.123 -0.964  -0.123 -1.099  -0.128 -1.234  -0.150 -1.367  -0.160 -1.501  -0.160 -1.636  -0.160 -1.771  -0.160 -1.906  -0.160 -2.041  -0.160 -2.176
2#tos#f3#f3010058/Z  -0.671 1.138  -0.707 1.010  -0.817 0.978  -0.702 0.934  -0.563 0.919  -0.421 0.919  -0.285 0.955  -0.142 0.955  -0.006 0.992  0.134 1.005  0.273 1.028  0.415 1.028  0.529 1.097  0.669 1.101  0.715 1.005  0.679 0.871  0.622 0.752  0.521 0.652  0.411 0.563  0.351 0.450  0.280 0.337  0.193 0.226  0.107 0.112  0.017 0.002  -0.088 -0.094  -0.201 -0.179  -0.315 -0.265  -0.391 -0.382  -0.500 -0.452  -0.587 -0.543  -0.683 -0.641  -0.790 -0.733  -0.890 -0.819  -0.958 -0.905  -0.816 -0.905  -0.674 -0.905  -0.531 -0.905  -0.389 -0.905  -0.247 -0.905  -0.104 -0.905  0.038 -0.905  0.180 -0.905  0.323 -0.905  0.465 -0.905  0.607 -0.905  0.749 -0.905  0.892 -0.905  0.974 -0.796  1.108 -0.764  1.226 -0.686
2#tos#f3#f3010058/a  0.497 0.169  0.581 0.278  0.750 0.332  0.768 0.505  0.768 0.696  0.768 0.888  0.768 1.079  0.646 1.157  0.493 1.251  0.302 1.251  0.116 1.214  -0.043 1.168  -0.097 1.013  -0.275 0.942  -0.442 0.850  -0.584 0.739  -0.598 0.549  -0.657 0.372  -0.810 0.257  -0.888 0.092  -0.948 -0.090  -1.018 -0.268  -1.071 -0.450  -1.071 -0.642  -1.071 -0.833  -1.069 -1.024  -0.984 -1.196  -0.822 -1.272  -0.633 -1.291  -0.476 -1.256  -0.313 -1.182  -0.228 -1.011  -0.131 -0.853  0.055 -0.807  0.071 -0.624  0.131 -0.443  0.232 -0.317  0.335 -0.229  0.335 -0.037  0.335 0.154  0.335 0.346  0.335 0.451  0.400 0.299  0.463 0.140  0.552 -0.024  0.594 -0.198  0.690 -0.363  0.804 -0.516  0.960 -0.626  1.147 -0.642
2#tos#f3#f3010058/b  -0.083 1.856  -0.083 1.660  -0.083 1.464  -0.083 1.268  -0.083 1.073  -0.085 0.877  -0.152 0.694  -0.274 0.541  -0.379 0.380  -0.417 0.188  -0.428 -0.007  -0.428 -0.202  -0.446 -0.396  -0.485 -0.587  -0.485 -0.783  -0.485 -0.979  -0.485 -1.174  -0.647 -1.242  -0.657 -1.056  -0.657 -0.860  -0.657 -0.664  -0.714 -0.492  -0.706 -0.298  -0.657 -0.110  -0.600 0.062  -0.477 0.135  -0.370 0.224  -0.276 0.370  -0.156 0.493  0.000 0.589  0.144 0.708  0.334 0.756  0.460 0.850  0.643 0.881  0.837 0.877  0.946 0.714  1.006 0.533  1.006 0.337  1.006 0.141  0.999 -0.053  0.911 -0.228  0.817 -0.399  0.720 -0.554  0.662 -0.726  0.524 -0.864  0.403 -1.015  0.312 -1.187  0.129 -1.242  -0.066 -1.252  -0.255 -1.299
2#tos#f3#f3010058/c  0.146 0.858  0.146 0.733  0.146 0.608  0.146 0.482  0.146 0.357  0.208 0.293  0.333 0.293  0.429 0.350  0.508 0.427  0.578 0.509  0.654 0.601  0.664 0.724  0.664 0.849  0.664 0.975  0.664 1.100  0.580 1.141  0.454 1.141  0.330 1.138  0.216 1.087  0.094 1.057  -0.006 0.988  -0.060 0.880  -0.093 0.760  -0.182 0.672  -0.264 0.578  -0.339 0.477  -0.398 0.368  -0.445 0.252  -0.466 0.130  -0.466 0.005  -0.518 -0.102  -0.596 -0.200  -0.654 -0.305  -0.654 -0.430  -0.654 -0.555  -0.654 -0.681  -0.654 -0.806  -0.654 -0.931  -0.585 -1.036  -0.503 -1.130  -0.414 -1.218  -0.326 -1.307  -0.207 -1.347  -0.085 -1.375  0.038 -1.399  0.163 -1.402  0.288 -1.402  0.414 -1.402  0.539 -1.402  0.664 -1.402
2#tos#f3#f3010058/d  0.123 0.043  0.080 0.152  0.080 0.389  -0.025 0.571  -0.153 0.765  -0.319 0.853  -0.475 0.772  -0.639 0.611  -0.688 0.382  -0.773 0.165  -0.773 -0.073  -0.773 -0.310  -0.773 -0.548  -0.773 -0.785  -0.773 -1.022  -0.773 -1.260  -0.609 -1.366  -0.389 -1.313  -0.374 -1.079  -0.255 -0.874  -0.176 -0.663  -0.054 -0.476  -0.039 -0.244  0.080 -0.047  0.080 0.191  0.080 0.428  0.130 0.654  0.220 0.872  0.251 1.106  0.307 1.335  0.336 1.569  0.336 1.778  0.329 1.542  0.294 1.308  0.294 1.070  0.294 0.833  0.293 0.596  0.170 0.392  0.093 0.168  0.048 -0.065  0.038 -0.302  0.038 -0.539  0.073 -0.762  0.121 -0.980  0.329 -1.067  0.567 -1.067  0.802 -1.054  1.028 -0.980  1.248 -0.900  1.446 -0.768
2#tos#f3#f3010058/e  -0.342 0.280  -0.469 0.334  -0.649 0.334  -0.828 0.337  -0.892 0.348  -0.831 0.203  -0.720 0.071  -0.550 0.028  -0.372 0.012  -0.192 0.012  -0.011 0.012  0.169 0.012  0.344 0.034  0.506 0.115  0.656 0.213  0.816 0.297  0.959 0.402  1.102 0.511  1.159 0.661  1.136 0.827  1.019 0.923  0.839 0.923  0.666 0.955  0.504 1.031  0.323 1.031  0.143 1.031  -0.007 0.950  -0.163 0.870  -0.327 0.831  -0.396 0.679  -0.521 0.562  -0.632 0.429  -0.683 0.257  -0.718 0.081  -0.718 -0.100  -0.718 -0.280  -0.718 -0.460  -0.676 -0.636  -0.664 -0.814  -0.596 -0.967  -0.469 -1.094  -0.304 -1.162  -0.125 -1.169  0.025 -1.269  0.203 -1.274  0.384 -1.274  0.564 -1.274  0.744 -1.274  0.925 -1.274  1.105 -1.274
2#tos#f3#f3010058/g  0.263 0.587  0.230 0.372  0.370 0.467  0.478 0.649  0.552 0.848  0.607 1.051  0.582 1.261  0.409 1.389  0.189 1.389  -0.031 1.389  -0.214 1.314  -0.357 1.148  -0.505 0.992  -0.540 0.790  -0.578 0.576  -0.578 0.356  -0.501 0.213  -0.328 0.167  -0.108 0.167  0.074 0.265  0.192 0.440  0.348 0.575  0.416 0.752  0.454 0.775  0.378 0.587  0.378 0.367  0.378 0.147  0.324 -0.055  0.189 -0.229  0.110 -0.421  0.110 -0.641  0.055 -0.851  -0.005 -1.062  -0.056 -1.261  -0.119 -1.454  -0.212 -1.646  -0.367 -1.801  -0.571 -1.786  -0.692 -1.631  -0.692 -1.411  -0.692 -1.191  -0.619 -0.996  -0.456 -0.850  -0.302 -0.696  -0.180 -0.513  -0.015 -0.369  0.130 -0.211  0.321 -0.107  0.499 0.020  0.683 0.128
2#tos#f3#f3010058/l  0.145 1.506  0.145 1.577  0.075 1.578  0.074 1.509  0.074 1.438  0.074 1.368  0.074 1.297  0.074 1.227  0.074 1.156  0.074 1.085  0.074 1.015  0.074 0.944  0.074 0.874  0.074 0.803  0.074 0.732  0.074 0.662  0.056 0.594  0.033 0.527  0.011 0.460  0.002 0.391  0.002 0.320  0.002 0.250  0.002 0.179  0.002 0.109  0.002 0.038  0.002 -0.033  0.002 -0.103  0.002 -0.174  -0.014 -0.241  -0.045 -0.304  -0.069 -0.369  -0.069 -0.439  -0.069 -0.510  -0.069 -0.580  -0.069 -0.651  -0.069 -0.722  -0.069 -0.792  -0.069 -0.863  -0.069 -0.933  -0.069 -1.004  -0.069 -1.075  -0.069 -1.145  -0.069 -1.216  -0.069 -1.286  -0.069 -1.357  -0.069 -1.428  -0.069 -1.498  -0.069 -1.569  -0.069 -1.639  -0.069 -1.710
2#tos#f3#f3010058/m  -1.161 -0.190  -1.316 -0.285  -1.292 -0.121  -1.163 0.090  -1.066 0.245  -0.886 0.393  -0.748 0.571  -0.602 0.738  -0.400 0.727  -0.400 0.477  -0.403 0.228  -0.509 0.003  -0.542 -0.237  -0.592 -0.479  -0.673 -0.713  -0.733 -0.942  -0.821 -1.138  -0.766 -1.017  -0.685 -0.823  -0.611 -0.585  -0.542 -0.358  -0.481 -0.123  -0.327 0.073  -0.257 0.294  -0.210 0.533  -0.045 0.618  0.076 0.424  0.069 0.176  0.028 -0.064  -0.049 -0.238  -0.144 -0.410  -0.128 -0.523  -0.030 -0.321  0.117 -0.176  0.219 0.000  0.412 0.154  0.518 0.378  0.646 0.559  0.837 0.714  0.958 0.905  1.183 0.999  1.265 0.831  1.265 0.581  1.265 0.331  1.265 0.081  1.265 -0.169  1.282 -0.415  1.391 -0.610  1.639 -0.618  1.883 -0.571
2#tos#f3#f3010058/o  0.358 0.633  0.210 0.633  0.159 0.731  0.067 0.823  0.015 0.922  -0.128 0.927  -0.277 0.927  -0.426 0.927  -0.519 0.811  -0.612 0.694  -0.728 0.602  -0.818 0.499  -0.818 0.350  -0.835 0.206  -0.902 0.073  -0.916 -0.073  -0.916 -0.222  -0.916 -0.370  -0.916 -0.519  -0.892 -0.664  -0.867 -0.808  -0.855 -0.953  -0.773 -1.077  -0.627 -1.083  -0.490 -1.132  -0.341 -1.132  -0.193 -1.132  -0.046 -1.119  0.087 -1.060  0.192 -0.955  0.330 -0.906  0.448 -0.832  0.538 -0.713  0.640 -0.605  0.757 -0.514  0.857 -0.412  0.893 -0.268  0.995 -0.180  0.995 -0.032  0.995 0.117  0.995 0.266  0.995 0.414  0.955 0.557  0.849 0.649  0.726 0.719  0.636 0.829  0.499 0.878  0.350 0.878  0.202 0.873  0.064 0.829
2#tos#f3#f3010058/p  0.088 0.676  -0.016 0.720  0.000 0.534  0.000 0.332  0.000 0.129  0.000 -0.073  -0.087 -0.249  -0.087 -0.451  -0.118 -0.651  -0.162 -0.849  -0.221 -1.042  -0.263 -1.238  -0.263 -1.440  -0.350 -1.606  -0.354 -1.751  -0.377 -1.550  -0.401 -1.349  -0.425 -1.148  -0.448 -0.947  -0.472 -0.746  -0.496 -0.545  -0.519 -0.344  -0.534 -0.144  -0.667 0.001  -0.701 0.182  -0.745 0.374  -0.745 0.577  -0.659 0.733  -0.535 0.886  -0.374 1.009  -0.186 1.079  -0.032 1.162  0.120 1.246  0.322 1.246  0.525 1.246  0.727 1.246  0.877 1.157  0.877 0.955  1.044 0.856  1.053 0.658  1.013 0.481  0.916 0.317  0.825 0.144  0.663 0.023  0.612 -0.157  0.422 -0.209  0.290 -0.350  0.098 -0.376  -0.104 -0.376  -0.131 -0.376
2#tos#f3#f3010058/s  0.972 0.872  1.120 0.872  1.189 0.953  1.102 1.040  0.960 1.046  0.811 1.046  0.663 1.046  0.515 1.046  0.366 1.046  0.218 1.046  0.078 1.010  -0.068 1.002  -0.160 0.899  -0.304 0.872  -0.414 0.834  -0.471 0.743  -0.588 0.711  -0.671 0.614  -0.660 0.479  -0.516 0.443  -0.386 0.396  -0.263 0.354  -0.159 0.255  -0.036 0.172  0.084 0.093  0.192 0.053  0.233 -0.078  0.316 -0.199  0.443 -0.271  0.495 -0.387  0.505 -0.533  0.539 -0.674  0.534 -0.817  0.418 -0.895  0.316 -0.947  0.168 -0.947  0.020 -0.947  -0.129 -0.947  -0.277 -0.947  -0.382 -0.904  -0.527 -0.891  -0.652 -0.829  -0.718 -0.701  -0.718 -0.648  -0.658 -0.760  -0.631 -0.891  -0.631 -1.040  -0.631 -1.188  -0.760 -1.207  -0.848 -1.294
2#tos#f3#f3010058/t  0.252 1.201  0.252 1.403  0.247 1.363  0.172 1.176  0.056 1.011  -0.051 0.839  -0.130 0.654  -0.189 0.461  -0.268 0.279  -0.346 0.103  -0.355 -0.097  -0.447 -0.277  -0.551 -0.450  -0.560 -0.650  -0.560 -0.852  -0.560 -1.055  -0.544 -1.250  -0.426 -1.411  -0.239 -1.448  -0.038 -1.444  0.150 -1.369  0.332 -1.280  0.494 -1.168  0.651 -1.048  0.825 -0.948  0.978 -0.853  1.047 -0.705  1.149 -0.582  1.149 -0.380  1.049 -0.235  0.875 -0.131  0.701 -0.028  0.527 0.075  0.353 0.179  0.180 0.282  0.006 0.386  -0.168 0.489  -0.342 0.593  -0.516 0.696  -0.696 0.773  -0.890 0.720  -0.987 0.588  -1.027 0.517  -0.825 0.517  -0.623 0.517  -0.420 0.517  -0.221 0.538  -0.023 0.578  0.178 0.603  0.380 0.603
2#tos#f3#f3010058/w  -1.192 0.546  -1.192 0.731  -1.071 0.845  -0.980 0.970  -0.883 0.882  -0.808 0.744  -0.808 0.559  -0.808 0.375  -0.808 0.190  -0.808 0.005  -0.808 -0.179  -0.808 -0.364  -0.808 -0.549  -0.723 -0.698  -0.658 -0.817  -0.510 -0.781  -0.487 -0.601  -0.467 -0.421  -0.467 -0.237  -0.400 -0.085  -0.297 0.047  -0.247 0.220  -0.183 0.390  -0.105 0.525  -0.041 0.664  0.044 0.706  0.044 0.521  0.044 0.336  0.044 0.152  0.044 -0.033  0.018 -0.213  0.001 -0.395  -0.026 -0.574  -0.041 -0.755  -0.005 -0.903  0.179 -0.899  0.351 -0.851  0.484 -0.723  0.598 -0.600  0.699 -0.494  0.848 -0.397  0.979 -0.266  1.126 -0.155  1.189 0.012  1.329 0.124  1.468 0.240  1.600 0.362  1.683 0.510  1.791 0.617  1.876 0.717
2#tos#f3#f3010058/x  -1.202 1.045  -1.397 1.045  -1.311 1.045  -1.135 0.977  -0.997 0.840  -0.835 0.736  -0.696 0.609  -0.569 0.462  -0.432 0.324  -0.294 0.187  -0.170 0.038  -0.069 -0.129  -0.023 -0.316  0.071 -0.478  0.199 -0.624  0.310 -0.783  0.400 -0.956  0.508 -1.110  0.566 -1.295  0.721 -1.391  0.785 -1.345  0.772 -1.151  0.758 -0.957  0.745 -0.762  0.732 -0.568  0.719 -0.374  0.705 -0.179  0.692 0.015  0.679 0.209  0.666 0.404  0.652 0.598  0.595 0.745  0.443 0.788  0.443 0.983  0.443 1.177  0.293 1.166  0.293 0.971  0.293 0.776  0.206 0.622  0.056 0.498  -0.074 0.355  -0.193 0.200  -0.315 0.048  -0.355 -0.133  -0.430 -0.302  -0.504 -0.473  -0.552 -0.648  -0.689 -0.785  -0.753 -0.954  -0.753 -1.148
2#tos#f3#f3010058/y  -0.456 0.729  -0.590 0.729  -0.671 0.729  -0.537 0.729  -0.456 0.676  -0.429 0.568  -0.318 0.511  -0.234 0.447  -0.214 0.333  -0.142 0.223  -0.063 0.141  0.057 0.095  0.144 0.174  0.230 0.277  0.316 0.380  0.402 0.483  0.488 0.587  0.574 0.690  0.660 0.793  0.746 0.896  0.832 1.000  0.809 1.052  0.692 1.092  0.593 1.032  0.593 0.898  0.511 0.823  0.432 0.726  0.407 0.598  0.346 0.477  0.293 0.354  0.239 0.232  0.170 0.117  0.149 -0.012  0.114 -0.136  0.045 -0.252  0.028 -0.381  -0.012 -0.504  -0.084 -0.617  -0.156 -0.731  -0.228 -0.844  -0.281 -0.967  -0.324 -1.094  -0.390 -1.210  -0.465 -1.322  -0.511 -1.445  -0.539 -1.576  -0.599 -1.697  -0.660 -1.816  -0.734 -1.928  -0.779 -2.055
