1b#ced#jika4257_s_0o/P  -0.242 0.781  -0.266 0.751  -0.266 0.561  -0.242 0.375  -0.242 0.185  -0.225 -0.004  -0.218 -0.193  -0.218 -0.383  -0.218 -0.574  -0.218 -0.764  -0.218 -0.954  -0.194 -1.141  -0.170 -1.329  -0.152 -1.517  -0.056 -1.668  -0.101 -1.500  -0.156 -1.318  -0.211 -1.136  -0.267 -0.954  -0.322 -0.772  -0.377 -0.590  -0.432 -0.408  -0.487 -0.226  -0.542 -0.044  -0.597 0.138  -0.653 0.320  -0.773 0.465  -0.856 0.633  -0.865 0.821  -0.749 0.963  -0.575 1.040  -0.394 1.095  -0.207 1.121  -0.018 1.142  0.172 1.144  0.361 1.132  0.537 1.064  0.717 1.003  0.879 0.904  0.984 0.754  1.085 0.594  1.114 0.409  1.135 0.221  1.082 0.039  1.002 -0.133  0.868 -0.265  0.717 -0.374  0.547 -0.454  0.359 -0.476  0.169 -0.476
1b#ced#jika4257_s_0o/H  -0.576 1.141  -0.726 1.162  -0.709 0.883  -0.680 0.598  -0.611 0.319  -0.589 0.033  -0.568 -0.253  -0.542 -0.539  -0.542 -0.826  -0.539 -1.114  -0.538 -1.392  -0.468 -1.345  -0.381 -1.071  -0.294 -0.796  -0.207 -0.522  -0.120 -0.247  -0.033 0.027  0.054 0.301  0.141 0.576  0.228 0.850  0.315 1.125  0.402 1.399  0.489 1.673  0.522 1.855  0.505 1.570  0.489 1.284  0.489 0.996  0.489 0.708  0.532 0.424  0.555 0.139  0.568 -0.148  0.589 -0.434  0.622 -0.719  0.655 -1.004  0.688 -1.286  0.753 -1.566  0.593 -1.338  0.429 -1.101  0.264 -0.865  0.100 -0.629  -0.064 -0.392  -0.229 -0.156  -0.441 0.025  -0.699 0.073  -0.431 -0.029  -0.149 -0.073  -0.189 0.036  -0.322 0.176  -0.046 0.230  0.223 0.243
1b#ced#jika4257_s_0o/R  -0.257 0.953  -0.311 0.800  -0.311 0.580  -0.338 0.364  -0.338 0.145  -0.364 -0.071  -0.364 -0.291  -0.364 -0.510  -0.364 -0.730  -0.338 -0.946  -0.338 -1.165  -0.311 -1.381  -0.330 -1.233  -0.371 -1.020  -0.410 -0.806  -0.445 -0.591  -0.456 -0.373  -0.471 -0.155  -0.471 0.064  -0.445 0.280  -0.431 0.498  -0.381 0.712  -0.326 0.923  -0.239 1.124  -0.125 1.312  0.018 1.471  0.217 1.561  0.431 1.580  0.604 1.457  0.698 1.260  0.720 1.044  0.669 0.832  0.586 0.632  0.477 0.442  0.335 0.276  0.156 0.149  -0.041 0.055  -0.243 -0.030  -0.456 -0.064  -0.395 -0.114  -0.234 -0.262  -0.063 -0.399  0.113 -0.530  0.276 -0.678  0.443 -0.818  0.610 -0.958  0.765 -1.114  0.912 -1.276  1.073 -1.421  1.228 -1.576
1b#ced#jika4257_s_0o/O  -0.246 1.217  -0.322 1.295  -0.374 1.175  -0.374 1.038  -0.394 0.904  -0.406 0.768  -0.406 0.632  -0.406 0.495  -0.424 0.361  -0.438 0.226  -0.438 0.089  -0.438 -0.047  -0.427 -0.183  -0.406 -0.317  -0.406 -0.453  -0.406 -0.590  -0.373 -0.722  -0.338 -0.853  -0.271 -0.971  -0.229 -1.100  -0.159 -1.217  -0.078 -1.327  0.032 -1.402  0.159 -1.451  0.292 -1.442  0.407 -1.373  0.489 -1.264  0.557 -1.148  0.576 -1.012  0.586 -0.877  0.586 -0.740  0.586 -0.604  0.582 -0.468  0.561 -0.333  0.536 -0.199  0.509 -0.065  0.476 0.067  0.426 0.194  0.382 0.323  0.335 0.451  0.287 0.578  0.244 0.708  0.170 0.822  0.096 0.935  0.028 1.054  -0.037 1.173  -0.119 1.282  -0.216 1.378  -0.329 1.455  -0.438 1.537
1b#ced#jika4257_s_0o/W  -0.952 0.461  -0.985 0.634  -1.069 0.717  -1.132 0.550  -1.124 0.377  -1.111 0.199  -1.099 0.021  -1.077 -0.155  -1.039 -0.330  -0.994 -0.503  -0.965 -0.677  -0.889 -0.836  -0.739 -0.866  -0.622 -0.734  -0.545 -0.574  -0.464 -0.413  -0.419 -0.241  -0.356 -0.073  -0.314 0.100  -0.263 0.271  -0.240 0.444  -0.217 0.621  -0.168 0.792  -0.124 0.742  -0.073 0.571  -0.046 0.395  0.004 0.225  0.055 0.054  0.098 -0.120  0.165 -0.286  0.231 -0.452  0.303 -0.616  0.386 -0.775  0.490 -0.920  0.632 -1.023  0.802 -1.026  0.919 -0.899  0.970 -0.729  1.008 -0.554  1.032 -0.377  1.046 -0.199  1.056 -0.021  1.056 0.158  1.050 0.337  1.021 0.514  1.007 0.692  0.980 0.868  0.945 1.044  0.910 1.219  0.860 1.391
1b#ced#jika4257_s_0o/L  -0.004 1.672  -0.034 1.609  -0.072 1.505  -0.099 1.398  -0.146 1.298  -0.185 1.194  -0.220 1.089  -0.255 0.984  -0.286 0.877  -0.323 0.773  -0.366 0.671  -0.397 0.564  -0.427 0.457  -0.456 0.351  -0.482 0.243  -0.518 0.138  -0.560 0.036  -0.590 -0.071  -0.618 -0.178  -0.647 -0.285  -0.688 -0.388  -0.723 -0.494  -0.746 -0.602  -0.775 -0.708  -0.821 -0.809  -0.779 -0.789  -0.712 -0.701  -0.633 -0.623  -0.555 -0.545  -0.460 -0.488  -0.364 -0.432  -0.256 -0.418  -0.149 -0.389  -0.040 -0.376  0.071 -0.376  0.182 -0.376  0.293 -0.376  0.403 -0.381  0.512 -0.397  0.623 -0.397  0.734 -0.403  0.843 -0.418  0.954 -0.418  1.065 -0.418  1.176 -0.421  1.284 -0.440  1.395 -0.440  1.506 -0.440  1.617 -0.440  1.726 -0.418
1b#ced#jika4257_s_0o/A  0.038 1.187  -0.032 0.950  -0.118 0.720  -0.172 0.478  -0.224 0.237  -0.315 0.007  -0.390 -0.229  -0.452 -0.467  -0.535 -0.700  -0.594 -0.940  -0.678 -1.171  -0.735 -1.287  -0.649 -1.056  -0.592 -0.815  -0.543 -0.573  -0.474 -0.335  -0.412 -0.096  -0.357 0.144  -0.285 0.381  -0.244 0.625  -0.174 0.862  -0.096 1.097  -0.041 1.337  0.032 1.571  0.120 1.800  0.271 1.873  0.315 1.631  0.343 1.387  0.364 1.142  0.377 0.896  0.377 0.648  0.377 0.401  0.405 0.156  0.405 -0.091  0.423 -0.337  0.439 -0.583  0.462 -0.829  0.514 -1.071  0.555 -1.312  0.660 -1.522  0.595 -1.349  0.486 -1.127  0.377 -0.905  0.269 -0.683  0.160 -0.460  0.000 -0.302  -0.242 -0.325  -0.244 -0.375  -0.003 -0.320  0.236 -0.269
1b#ced#jika4257_s_0o/Z  -0.778 0.819  -0.811 0.930  -0.835 1.041  -0.789 1.139  -0.673 1.139  -0.558 1.147  -0.444 1.158  -0.329 1.158  -0.213 1.158  -0.098 1.158  0.015 1.133  0.128 1.109  0.243 1.102  0.347 1.056  0.438 0.985  0.502 0.891  0.526 0.778  0.532 0.663  0.518 0.550  0.468 0.446  0.409 0.347  0.356 0.246  0.286 0.156  0.225 0.058  0.153 -0.032  0.085 -0.126  0.013 -0.216  -0.057 -0.308  -0.143 -0.385  -0.215 -0.475  -0.301 -0.551  -0.366 -0.645  -0.441 -0.733  -0.506 -0.828  -0.567 -0.926  -0.590 -1.035  -0.488 -1.085  -0.375 -1.104  -0.264 -1.094  -0.151 -1.076  -0.036 -1.066  0.077 -1.043  0.191 -1.020  0.304 -0.997  0.417 -0.982  0.532 -0.971  0.645 -0.948  0.758 -0.926  0.872 -0.907  0.985 -0.888
1b#ced#jika4257_s_0o/Y  -1.127 0.961  -1.127 1.128  -1.015 1.187  -0.925 1.045  -0.853 0.896  -0.767 0.753  -0.683 0.608  -0.608 0.459  -0.533 0.309  -0.459 0.158  -0.395 0.004  -0.309 -0.139  -0.250 -0.295  -0.195 -0.453  -0.111 -0.597  -0.038 -0.550  0.033 -0.399  0.105 -0.248  0.177 -0.096  0.249 0.055  0.321 0.206  0.392 0.358  0.464 0.509  0.536 0.660  0.608 0.812  0.680 0.963  0.752 1.114  0.824 1.233  0.755 1.081  0.702 0.922  0.649 0.763  0.577 0.612  0.538 0.449  0.494 0.289  0.419 0.139  0.369 -0.019  0.310 -0.174  0.268 -0.335  0.218 -0.495  0.140 -0.642  0.077 -0.797  -0.021 -0.872  -0.128 -0.870  -0.149 -1.032  -0.180 -1.194  -0.180 -1.361  -0.180 -1.529  -0.160 -1.694  -0.149 -1.860  -0.117 -2.022
1b#ced#jika4257_s_0o/D  -0.023 0.804  -0.180 0.899  -0.258 0.721  -0.307 0.526  -0.284 0.328  -0.277 0.128  -0.261 -0.072  -0.229 -0.270  -0.213 -0.470  -0.182 -0.668  -0.161 -0.867  -0.142 -1.065  -0.118 -1.144  -0.153 -0.947  -0.176 -0.748  -0.224 -0.553  -0.288 -0.363  -0.363 -0.176  -0.437 0.010  -0.512 0.197  -0.587 0.383  -0.680 0.558  -0.763 0.740  -0.853 0.918  -0.929 1.104  -0.910 1.290  -0.724 1.339  -0.529 1.295  -0.350 1.204  -0.181 1.095  -0.003 1.005  0.161 0.889  0.318 0.764  0.475 0.638  0.622 0.502  0.771 0.367  0.882 0.200  1.013 0.048  1.117 -0.122  1.164 -0.318  1.135 -0.514  1.073 -0.702  0.944 -0.855  0.791 -0.984  0.624 -1.090  0.437 -1.160  0.241 -1.203  0.043 -1.228  -0.158 -1.228  -0.356 -1.204
1b#ced#jika4257_s_0o/O  -0.272 1.276  -0.340 1.164  -0.384 1.041  -0.432 0.919  -0.482 0.798  -0.528 0.676  -0.581 0.558  -0.625 0.436  -0.652 0.308  -0.682 0.180  -0.713 0.052  -0.741 -0.076  -0.765 -0.205  -0.782 -0.335  -0.778 -0.465  -0.746 -0.593  -0.715 -0.720  -0.675 -0.844  -0.606 -0.955  -0.514 -1.048  -0.410 -1.127  -0.284 -1.161  -0.157 -1.190  -0.029 -1.176  0.098 -1.144  0.225 -1.112  0.321 -1.025  0.437 -0.964  0.543 -0.887  0.613 -0.779  0.686 -0.671  0.747 -0.556  0.800 -0.435  0.838 -0.313  0.840 -0.182  0.866 -0.053  0.844 0.075  0.838 0.206  0.811 0.334  0.755 0.452  0.696 0.570  0.620 0.676  0.531 0.773  0.439 0.865  0.338 0.949  0.232 1.026  0.121 1.095  0.007 1.160  -0.112 1.213  -0.242 1.216
1b#ced#jika4257_s_0o/G  0.129 1.570  -0.021 1.636  -0.183 1.511  -0.326 1.363  -0.457 1.205  -0.567 1.031  -0.659 0.847  -0.720 0.652  -0.785 0.456  -0.866 0.269  -0.866 0.063  -0.866 -0.143  -0.849 -0.346  -0.770 -0.535  -0.641 -0.694  -0.485 -0.828  -0.301 -0.907  -0.101 -0.956  0.102 -0.975  0.302 -0.986  0.504 -0.960  0.703 -0.909  0.702 -0.816  0.533 -0.699  0.363 -0.582  0.194 -0.465  0.025 -0.348  -0.144 -0.231  -0.313 -0.114  -0.482 0.004  -0.653 0.118  -0.847 0.177  -0.893 0.330  -0.713 0.430  -0.519 0.496  -0.318 0.527  -0.112 0.527  0.093 0.527  0.296 0.500  0.497 0.468  0.691 0.427  0.866 0.327  1.012 0.182  1.109 0.009  1.141 -0.193  1.123 -0.395  1.078 -0.594  1.023 -0.791  0.988 -0.991  0.983 -1.195
1b#ced#jika4257_s_0o/S  0.425 0.619  0.475 0.720  0.514 0.826  0.488 0.936  0.429 1.032  0.337 1.097  0.230 1.129  0.117 1.129  0.004 1.129  -0.104 1.152  -0.213 1.129  -0.323 1.109  -0.421 1.055  -0.525 1.012  -0.629 0.972  -0.691 0.878  -0.741 0.776  -0.770 0.667  -0.757 0.557  -0.713 0.456  -0.641 0.369  -0.547 0.307  -0.456 0.240  -0.374 0.163  -0.272 0.112  -0.178 0.051  -0.077 -0.000  0.016 -0.064  0.108 -0.130  0.206 -0.187  0.305 -0.241  0.399 -0.304  0.487 -0.374  0.561 -0.458  0.619 -0.555  0.657 -0.661  0.665 -0.773  0.649 -0.884  0.593 -0.981  0.520 -1.066  0.432 -1.136  0.340 -1.202  0.237 -1.248  0.135 -1.296  0.029 -1.332  -0.083 -1.346  -0.196 -1.346  -0.309 -1.346  -0.422 -1.346  -0.535 -1.346
1b#ced#jika4257_s_0o/J  0.429 0.435  0.335 0.577  0.267 0.734  0.200 0.715  0.222 0.546  0.270 0.383  0.307 0.216  0.350 0.050  0.394 -0.115  0.451 -0.275  0.485 -0.443  0.526 -0.609  0.568 -0.775  0.612 -0.939  0.588 -1.103  0.443 -1.184  0.274 -1.205  0.113 -1.162  -0.053 -1.119  -0.220 -1.090  -0.390 -1.069  -0.554 -1.022  -0.721 -0.981  -0.882 -0.924  -0.980 -0.833  -0.938 -0.667  -0.895 -0.501  -0.852 -0.335  -0.809 -0.169  -0.767 -0.003  -0.724 0.163  -0.740 0.308  -0.889 0.388  -1.046 0.453  -0.979 0.548  -0.811 0.572  -0.642 0.596  -0.474 0.625  -0.304 0.641  -0.134 0.662  0.035 0.687  0.206 0.688  0.376 0.713  0.545 0.737  0.715 0.762  0.883 0.792  1.051 0.826  1.219 0.862  1.385 0.903  1.552 0.940
1b#ced#jika4257_s_0o/O  0.411 0.744  0.311 0.844  0.196 0.927  0.073 0.993  -0.066 1.014  -0.202 0.985  -0.327 0.921  -0.456 0.865  -0.556 0.765  -0.644 0.655  -0.725 0.539  -0.761 0.402  -0.792 0.264  -0.820 0.126  -0.849 -0.012  -0.851 -0.154  -0.878 -0.292  -0.851 -0.431  -0.800 -0.563  -0.762 -0.699  -0.711 -0.831  -0.621 -0.938  -0.521 -1.038  -0.418 -1.134  -0.283 -1.174  -0.146 -1.209  -0.006 -1.220  0.135 -1.214  0.269 -1.171  0.399 -1.115  0.518 -1.042  0.610 -0.937  0.687 -0.818  0.748 -0.691  0.801 -0.559  0.831 -0.421  0.831 -0.280  0.824 -0.139  0.796 -0.000  0.769 0.138  0.741 0.277  0.684 0.407  0.621 0.533  0.556 0.659  0.458 0.761  0.372 0.873  0.268 0.969  0.158 1.056  0.049 1.145  -0.069 1.224
1b#ced#jika4257_s_0o/B  -0.603 0.588  -0.649 0.526  -0.626 0.316  -0.588 0.108  -0.528 -0.095  -0.504 -0.307  -0.479 -0.518  -0.464 -0.730  -0.464 -0.944  -0.532 -0.793  -0.609 -0.594  -0.686 -0.395  -0.763 -0.195  -0.840 0.004  -0.886 0.212  -0.930 0.422  -0.972 0.631  -0.971 0.844  -0.875 1.030  -0.689 1.128  -0.478 1.141  -0.270 1.092  -0.068 1.024  0.126 0.941  0.275 0.792  0.283 0.597  0.119 0.461  -0.066 0.357  -0.259 0.268  -0.467 0.230  -0.439 0.184  -0.233 0.184  -0.022 0.161  0.190 0.138  0.402 0.121  0.609 0.067  0.820 0.034  1.026 -0.024  1.227 -0.090  1.407 -0.204  1.552 -0.355  1.592 -0.556  1.476 -0.721  1.293 -0.831  1.112 -0.943  0.913 -1.019  0.703 -1.061  0.491 -1.084  0.277 -1.084  0.066 -1.061
1b#ced#jika4257_s_0o/S  0.665 0.790  0.633 0.913  0.556 1.016  0.453 1.091  0.328 1.121  0.199 1.121  0.071 1.121  -0.056 1.106  -0.172 1.054  -0.293 1.031  -0.406 0.978  -0.520 0.919  -0.632 0.855  -0.740 0.786  -0.847 0.714  -0.942 0.627  -1.006 0.517  -0.937 0.439  -0.822 0.383  -0.709 0.322  -0.588 0.283  -0.471 0.230  -0.356 0.172  -0.236 0.131  -0.112 0.099  0.008 0.051  0.127 0.003  0.247 -0.045  0.366 -0.093  0.486 -0.140  0.605 -0.188  0.712 -0.260  0.815 -0.338  0.881 -0.448  0.922 -0.568  0.912 -0.689  0.835 -0.787  0.728 -0.859  0.608 -0.902  0.491 -0.953  0.373 -1.004  0.253 -1.051  0.134 -1.099  0.014 -1.147  -0.112 -1.170  -0.239 -1.194  -0.365 -1.218  -0.492 -1.239  -0.620 -1.242  -0.749 -1.242
1b#ced#jika4257_s_0o/J  0.314 0.716  0.242 0.797  0.256 0.638  0.272 0.480  0.295 0.322  0.309 0.162  0.339 0.005  0.368 -0.154  0.381 -0.313  0.386 -0.473  0.387 -0.634  0.404 -0.793  0.417 -0.952  0.407 -1.110  0.408 -1.266  0.302 -1.354  0.149 -1.312  -0.005 -1.266  -0.159 -1.222  -0.316 -1.192  -0.477 -1.192  -0.638 -1.192  -0.764 -1.185  -0.721 -1.030  -0.678 -0.875  -0.634 -0.720  -0.591 -0.565  -0.548 -0.411  -0.505 -0.256  -0.462 -0.101  -0.419 0.054  -0.375 0.209  -0.332 0.364  -0.289 0.519  -0.303 0.665  -0.416 0.776  -0.544 0.869  -0.680 0.950  -0.531 0.987  -0.372 1.005  -0.211 1.005  -0.051 1.005  0.110 1.005  0.271 1.005  0.432 1.005  0.593 1.005  0.753 1.005  0.914 1.005  1.075 1.005  1.236 1.005
1b#ced#jika4257_s_0o/O  0.217 1.540  0.137 1.641  0.028 1.713  -0.057 1.667  -0.109 1.548  -0.152 1.424  -0.183 1.298  -0.208 1.169  -0.234 1.041  -0.256 0.913  -0.265 0.783  -0.265 0.652  -0.265 0.521  -0.283 0.392  -0.293 0.262  -0.293 0.132  -0.293 0.001  -0.293 -0.130  -0.293 -0.260  -0.293 -0.391  -0.293 -0.522  -0.284 -0.652  -0.265 -0.781  -0.265 -0.911  -0.239 -1.039  -0.208 -1.166  -0.172 -1.291  -0.094 -1.395  0.000 -1.485  0.114 -1.522  0.218 -1.449  0.275 -1.335  0.342 -1.223  0.359 -1.097  0.359 -0.966  0.385 -0.838  0.364 -0.710  0.359 -0.580  0.343 -0.451  0.330 -0.321  0.326 -0.191  0.305 -0.062  0.274 0.065  0.252 0.194  0.231 0.323  0.200 0.449  0.156 0.571  0.130 0.699  0.104 0.828  0.047 0.945
1b#ced#jika4257_s_0o/C  0.465 0.929  0.444 1.016  0.438 1.104  0.388 1.178  0.324 1.241  0.251 1.292  0.163 1.297  0.073 1.297  -0.013 1.276  -0.087 1.226  -0.147 1.162  -0.197 1.087  -0.249 1.014  -0.297 0.940  -0.315 0.852  -0.349 0.770  -0.382 0.687  -0.406 0.601  -0.421 0.513  -0.437 0.425  -0.454 0.337  -0.454 0.247  -0.454 0.158  -0.454 0.068  -0.454 -0.021  -0.452 -0.111  -0.434 -0.198  -0.419 -0.287  -0.403 -0.375  -0.371 -0.458  -0.338 -0.542  -0.305 -0.625  -0.263 -0.704  -0.217 -0.780  -0.164 -0.853  -0.112 -0.926  -0.052 -0.992  0.013 -1.053  0.090 -1.097  0.176 -1.121  0.252 -1.166  0.341 -1.166  0.431 -1.163  0.517 -1.141  0.601 -1.110  0.682 -1.070  0.756 -1.021  0.831 -0.971  0.905 -0.922  0.955 -0.848
1b#ced#jika4257_s_0o/K  -0.173 1.771  -0.206 1.781  -0.246 1.570  -0.266 1.357  -0.283 1.144  -0.312 0.932  -0.319 0.718  -0.319 0.503  -0.319 0.289  -0.346 0.076  -0.356 -0.138  -0.356 -0.352  -0.356 -0.567  -0.391 -0.778  -0.392 -0.993  -0.392 -1.208  -0.429 -1.417  -0.405 -1.520  -0.317 -1.324  -0.228 -1.128  -0.140 -0.933  -0.052 -0.737  0.036 -0.541  0.124 -0.345  0.212 -0.150  0.301 0.046  0.389 0.242  0.477 0.438  0.542 0.642  0.625 0.839  0.733 1.024  0.814 1.222  0.616 1.215  0.452 1.080  0.309 0.927  0.149 0.791  0.029 0.613  -0.063 0.421  -0.181 0.242  -0.268 0.047  -0.364 -0.145  -0.429 -0.345  -0.384 -0.541  -0.216 -0.674  -0.025 -0.770  0.161 -0.877  0.357 -0.961  0.542 -1.070  0.740 -1.153  0.923 -1.263
1b#ced#jika4257_s_0o/E  -0.348 0.810  -0.362 0.655  -0.433 0.366  -0.537 0.087  -0.578 -0.208  -0.644 -0.500  -0.664 -0.797  -0.664 -1.097  -0.610 -1.388  -0.398 -1.590  -0.119 -1.691  0.180 -1.702  0.471 -1.640  0.685 -1.473  0.616 -1.181  0.546 -0.890  0.476 -0.599  0.407 -0.307  0.337 -0.016  0.267 0.275  0.060 0.475  -0.194 0.626  -0.422 0.802  -0.569 1.025  -0.301 1.142  -0.014 1.225  0.278 1.290  0.570 1.360  0.865 1.398  1.068 1.368  0.869 1.144  0.670 0.920  0.471 0.696  0.250 0.499  0.020 0.310  -0.212 0.124  -0.472 -0.023  -0.729 -0.171  -0.701 -0.245  -0.411 -0.170  -0.118 -0.105  -0.052 -0.085  -0.351 -0.112  -0.642 -0.124  -0.503 -0.044  -0.209 -0.075  0.091 -0.075  0.390 -0.075  0.690 -0.075  0.979 -0.138
1b#ced#jika4257_s_0o/Y  -0.746 0.681  -0.805 0.837  -0.884 0.984  -0.907 1.002  -0.822 0.859  -0.722 0.725  -0.622 0.591  -0.530 0.452  -0.454 0.304  -0.373 0.160  -0.281 0.021  -0.197 -0.123  -0.144 -0.281  -0.054 -0.420  0.041 -0.557  0.105 -0.459  0.162 -0.302  0.219 -0.144  0.275 0.013  0.332 0.170  0.389 0.327  0.446 0.484  0.503 0.641  0.560 0.798  0.616 0.955  0.673 1.113  0.729 1.270  0.750 1.233  0.714 1.072  0.640 0.922  0.553 0.780  0.492 0.625  0.425 0.472  0.358 0.320  0.283 0.170  0.209 0.021  0.134 -0.129  0.050 -0.273  -0.015 -0.425  -0.104 -0.566  -0.189 -0.700  -0.209 -0.847  -0.209 -1.014  -0.209 -1.181  -0.209 -1.348  -0.209 -1.515  -0.209 -1.682  -0.209 -1.849  -0.171 -2.010  -0.171 -2.177
1b#ced#jika4257_s_0o/B  -0.472 0.704  -0.451 0.775  -0.472 0.544  -0.472 0.312  -0.493 0.080  -0.493 -0.153  -0.493 -0.385  -0.493 -0.618  -0.493 -0.851  -0.472 -1.082  -0.472 -1.315  -0.399 -1.281  -0.415 -1.049  -0.440 -0.819  -0.458 -0.588  -0.472 -0.356  -0.515 -0.129  -0.536 0.102  -0.588 0.329  -0.607 0.560  -0.599 0.790  -0.574 1.021  -0.500 1.240  -0.367 1.422  -0.150 1.485  0.079 1.457  0.267 1.327  0.386 1.128  0.404 0.901  0.330 0.681  0.216 0.483  0.024 0.355  -0.175 0.239  -0.298 0.228  -0.068 0.239  0.165 0.239  0.393 0.197  0.622 0.155  0.842 0.078  1.044 -0.034  1.223 -0.178  1.338 -0.377  1.307 -0.604  1.184 -0.799  0.983 -0.914  0.781 -1.026  0.559 -1.090  0.330 -1.135  0.099 -1.145  -0.134 -1.145
1b#ced#jika4257_s_0o/U  -0.437 1.197  -0.437 1.323  -0.476 1.367  -0.515 1.247  -0.527 1.122  -0.525 1.000  -0.532 0.877  -0.541 0.752  -0.533 0.627  -0.515 0.502  -0.515 0.376  -0.515 0.250  -0.515 0.124  -0.513 -0.002  -0.495 -0.127  -0.489 -0.252  -0.485 -0.378  -0.467 -0.503  -0.463 -0.629  -0.452 -0.754  -0.430 -0.878  -0.401 -1.000  -0.356 -1.118  -0.321 -1.238  -0.264 -1.346  -0.148 -1.389  -0.043 -1.348  0.038 -1.252  0.127 -1.162  0.198 -1.058  0.263 -0.950  0.310 -0.833  0.382 -0.730  0.427 -0.614  0.471 -0.496  0.507 -0.376  0.531 -0.252  0.571 -0.133  0.608 -0.012  0.638 0.110  0.658 0.234  0.679 0.359  0.704 0.482  0.706 0.608  0.706 0.734  0.706 0.860  0.706 0.986  0.683 1.109  0.668 1.233  0.628 1.353
1b#ced#jika4257_s_0o/X  -0.643 0.978  -0.706 1.167  -0.612 1.016  -0.508 0.847  -0.396 0.682  -0.301 0.507  -0.204 0.333  -0.098 0.165  -0.000 -0.008  0.077 -0.192  0.149 -0.378  0.233 -0.558  0.263 -0.750  0.364 -0.922  0.429 -1.109  0.502 -1.294  0.534 -1.437  0.523 -1.238  0.511 -1.039  0.500 -0.840  0.488 -0.641  0.477 -0.442  0.465 -0.243  0.454 -0.044  0.442 0.155  0.431 0.353  0.419 0.552  0.408 0.751  0.396 0.950  0.385 1.149  0.373 1.348  0.370 1.547  0.299 1.491  0.229 1.306  0.178 1.114  0.104 0.929  0.036 0.741  -0.027 0.552  -0.086 0.362  -0.152 0.175  -0.244 -0.000  -0.309 -0.188  -0.383 -0.373  -0.470 -0.552  -0.578 -0.719  -0.684 -0.888  -0.765 -1.070  -0.877 -1.233  -0.955 -1.416  -1.041 -1.594
1b#ced#jika4257_s_0o/O  0.599 1.317  0.541 1.423  0.412 1.452  0.295 1.383  0.198 1.286  0.114 1.178  0.023 1.077  -0.049 0.961  -0.111 0.839  -0.172 0.716  -0.229 0.591  -0.281 0.464  -0.343 0.341  -0.394 0.213  -0.445 0.086  -0.487 -0.044  -0.513 -0.179  -0.538 -0.314  -0.564 -0.449  -0.591 -0.583  -0.611 -0.719  -0.611 -0.856  -0.609 -0.993  -0.575 -1.126  -0.524 -1.254  -0.449 -1.368  -0.346 -1.453  -0.220 -1.471  -0.095 -1.416  0.014 -1.335  0.107 -1.235  0.179 -1.118  0.236 -0.994  0.274 -0.862  0.332 -0.738  0.359 -0.604  0.386 -0.469  0.410 -0.334  0.431 -0.198  0.431 -0.061  0.431 0.077  0.431 0.214  0.423 0.350  0.396 0.485  0.369 0.620  0.342 0.754  0.311 0.888  0.278 1.022  0.239 1.153  0.196 1.283
1b#ced#jika4257_s_0o/M  -0.927 0.713  -0.711 0.750  -0.688 0.589  -0.741 0.375  -0.773 0.157  -0.798 -0.061  -0.798 -0.282  -0.798 -0.503  -0.798 -0.724  -0.773 -0.942  -0.747 -1.161  -0.747 -1.028  -0.747 -0.807  -0.747 -0.586  -0.747 -0.364  -0.747 -0.143  -0.747 0.078  -0.735 0.297  -0.710 0.515  -0.695 0.733  -0.622 0.861  -0.526 0.668  -0.464 0.456  -0.409 0.242  -0.333 0.036  -0.255 -0.170  -0.199 -0.383  -0.110 -0.583  0.019 -0.755  0.201 -0.734  0.324 -0.552  0.396 -0.343  0.468 -0.135  0.532 0.076  0.614 0.281  0.673 0.493  0.756 0.698  0.824 0.908  0.898 1.116  1.031 1.114  1.079 0.899  1.101 0.680  1.106 0.460  1.106 0.239  1.119 0.019  1.132 -0.201  1.158 -0.420  1.163 -0.640  1.183 -0.859  1.209 -1.076
1b#ced#jika4257_s_0o/L  -0.056 1.461  -0.047 1.572  -0.028 1.681  -0.012 1.630  -0.017 1.522  -0.052 1.415  -0.056 1.304  -0.076 1.193  -0.098 1.083  -0.125 0.974  -0.161 0.868  -0.185 0.758  -0.215 0.650  -0.250 0.544  -0.269 0.433  -0.292 0.323  -0.321 0.215  -0.354 0.108  -0.390 0.001  -0.425 -0.105  -0.464 -0.211  -0.504 -0.315  -0.540 -0.422  -0.584 -0.525  -0.621 -0.630  -0.646 -0.739  -0.678 -0.847  -0.708 -0.955  -0.657 -0.974  -0.583 -0.893  -0.508 -0.810  -0.414 -0.754  -0.322 -0.692  -0.233 -0.624  -0.136 -0.567  -0.031 -0.532  0.078 -0.504  0.187 -0.477  0.295 -0.444  0.406 -0.441  0.518 -0.441  0.631 -0.441  0.736 -0.479  0.845 -0.496  0.953 -0.518  1.065 -0.524  1.172 -0.553  1.281 -0.580  1.390 -0.608  1.499 -0.635
