3#apb#apb05#app0541/B  -0.290 0.982  -0.256 0.830  -0.272 0.574  -0.273 0.318  -0.306 0.065  -0.368 -0.183  -0.416 -0.435  -0.461 -0.688  -0.524 -0.936  -0.563 -1.189  -0.605 -1.129  -0.605 -0.872  -0.605 -0.616  -0.605 -0.359  -0.605 -0.103  -0.605 0.154  -0.605 0.410  -0.605 0.667  -0.605 0.923  -0.520 1.140  -0.294 1.259  -0.055 1.352  0.191 1.422  0.437 1.418  0.665 1.302  0.809 1.108  0.768 0.863  0.623 0.654  0.450 0.465  0.263 0.290  0.066 0.127  -0.157 0.002  -0.314 0.051  -0.105 0.191  0.139 0.267  0.392 0.301  0.647 0.285  0.885 0.194  1.014 -0.021  1.033 -0.276  0.968 -0.521  0.870 -0.757  0.748 -0.983  0.590 -1.184  0.388 -1.339  0.159 -1.455  -0.085 -1.389  -0.292 -1.244  -0.476 -1.066  -0.639 -0.868
3#apb#apb05#app0541/l  0.480 1.506  0.513 1.572  0.473 1.532  0.438 1.468  0.404 1.403  0.377 1.335  0.350 1.267  0.322 1.199  0.295 1.131  0.268 1.063  0.244 0.994  0.220 0.925  0.197 0.856  0.173 0.787  0.149 0.718  0.125 0.648  0.102 0.579  0.079 0.509  0.057 0.440  0.034 0.370  0.012 0.300  -0.010 0.231  -0.033 0.161  -0.057 0.092  -0.082 0.023  -0.107 -0.046  -0.132 -0.114  -0.157 -0.183  -0.182 -0.252  -0.208 -0.321  -0.233 -0.389  -0.253 -0.460  -0.273 -0.530  -0.292 -0.601  -0.311 -0.671  -0.330 -0.742  -0.343 -0.813  -0.343 -0.887  -0.343 -0.960  -0.343 -1.033  -0.337 -1.105  -0.314 -1.175  -0.291 -1.244  -0.257 -1.303  -0.189 -1.331  -0.121 -1.358  -0.050 -1.376  0.021 -1.391  0.093 -1.405  0.165 -1.419
3#apb#apb05#app0541/e  -1.140 0.181  -1.140 0.021  -1.057 -0.110  -0.929 -0.192  -0.773 -0.228  -0.617 -0.267  -0.467 -0.322  -0.314 -0.366  -0.154 -0.366  0.007 -0.366  0.164 -0.344  0.317 -0.297  0.469 -0.247  0.618 -0.186  0.766 -0.124  0.881 -0.014  0.994 0.100  1.030 0.256  1.066 0.412  1.076 0.571  1.076 0.732  1.055 0.889  1.012 1.044  0.944 1.187  0.831 1.275  0.671 1.275  0.539 1.194  0.415 1.092  0.291 0.991  0.168 0.888  0.045 0.785  -0.060 0.665  -0.157 0.538  -0.255 0.410  -0.351 0.282  -0.426 0.140  -0.501 -0.002  -0.576 -0.143  -0.652 -0.285  -0.728 -0.426  -0.784 -0.572  -0.784 -0.732  -0.784 -0.893  -0.685 -1.012  -0.565 -1.115  -0.414 -1.169  -0.263 -1.223  -0.109 -1.268  0.046 -1.310  0.201 -1.351
3#apb#apb05#app0541/s  0.064 0.951  0.128 1.054  0.191 1.157  0.244 1.264  0.252 1.382  0.149 1.392  0.030 1.370  -0.072 1.310  -0.168 1.236  -0.264 1.163  -0.352 1.080  -0.438 0.994  -0.518 0.904  -0.580 0.800  -0.637 0.694  -0.667 0.577  -0.642 0.466  -0.585 0.359  -0.481 0.298  -0.376 0.237  -0.270 0.178  -0.164 0.121  -0.057 0.064  0.055 0.017  0.167 -0.028  0.279 -0.073  0.391 -0.120  0.502 -0.168  0.609 -0.222  0.705 -0.296  0.793 -0.377  0.847 -0.485  0.892 -0.595  0.864 -0.708  0.800 -0.811  0.701 -0.874  0.591 -0.924  0.475 -0.956  0.355 -0.973  0.236 -0.990  0.123 -1.034  0.010 -1.077  -0.107 -1.093  -0.228 -1.083  -0.349 -1.077  -0.470 -1.077  -0.591 -1.076  -0.705 -1.038  -0.816 -0.991  -0.917 -0.924
3#apb#apb05#app0541/S  0.705 0.926  0.681 1.046  0.628 1.155  0.527 1.216  0.410 1.247  0.287 1.247  0.169 1.219  0.055 1.174  -0.061 1.135  -0.180 1.104  -0.287 1.050  -0.381 0.971  -0.475 0.892  -0.561 0.806  -0.606 0.698  -0.545 0.592  -0.440 0.536  -0.328 0.486  -0.218 0.431  -0.107 0.380  0.008 0.336  0.122 0.291  0.219 0.217  0.312 0.137  0.404 0.056  0.495 -0.027  0.583 -0.112  0.651 -0.214  0.707 -0.321  0.717 -0.443  0.703 -0.563  0.667 -0.681  0.594 -0.776  0.508 -0.863  0.414 -0.943  0.320 -1.021  0.214 -1.083  0.105 -1.140  -0.011 -1.173  -0.133 -1.189  -0.253 -1.179  -0.374 -1.154  -0.485 -1.104  -0.593 -1.045  -0.681 -0.961  -0.764 -0.871  -0.844 -0.777  -0.921 -0.682  -0.975 -0.572  -0.982 -0.456
3#apb#apb05#app0541/a  0.532 0.798  0.468 0.966  0.297 1.042  0.119 1.097  -0.060 1.084  -0.239 1.033  -0.396 0.934  -0.550 0.828  -0.678 0.693  -0.805 0.556  -0.915 0.406  -1.014 0.248  -1.097 0.083  -1.145 -0.097  -1.192 -0.278  -1.196 -0.464  -1.189 -0.649  -1.111 -0.818  -1.006 -0.964  -0.849 -1.064  -0.673 -1.057  -0.491 -1.015  -0.316 -0.952  -0.146 -0.877  0.009 -0.777  0.145 -0.650  0.280 -0.520  0.403 -0.380  0.525 -0.240  0.621 -0.082  0.695 0.089  0.745 0.267  0.764 0.452  0.782 0.638  0.783 0.825  0.783 1.011  0.634 0.968  0.520 0.826  0.464 0.648  0.414 0.468  0.391 0.283  0.371 0.098  0.360 -0.088  0.355 -0.274  0.387 -0.458  0.422 -0.641  0.517 -0.802  0.612 -0.962  0.752 -1.074  0.919 -1.158
3#apb#apb05#app0541/n  -0.329 1.069  -0.380 0.917  -0.452 0.774  -0.515 0.627  -0.544 0.470  -0.574 0.312  -0.597 0.153  -0.615 -0.006  -0.634 -0.165  -0.669 -0.322  -0.706 -0.478  -0.743 -0.634  -0.791 -0.787  -0.838 -0.941  -0.882 -1.095  -0.907 -1.013  -0.864 -0.858  -0.812 -0.707  -0.748 -0.560  -0.684 -0.413  -0.615 -0.268  -0.543 -0.125  -0.471 0.019  -0.395 0.160  -0.315 0.299  -0.235 0.438  -0.154 0.576  -0.035 0.683  0.086 0.788  0.207 0.893  0.327 1.001  0.445 1.108  0.574 1.142  0.718 1.070  0.798 0.932  0.836 0.779  0.856 0.619  0.871 0.460  0.854 0.301  0.837 0.141  0.822 -0.019  0.822 -0.179  0.822 -0.339  0.829 -0.499  0.847 -0.659  0.866 -0.818  0.873 -0.978  0.873 -1.138  0.910 -1.291  0.975 -1.438
3#apb#apb05#app0541/t  0.275 1.505  0.237 1.350  0.176 1.180  0.113 1.010  0.056 0.838  0.009 0.663  -0.038 0.489  -0.103 0.320  -0.171 0.152  -0.239 -0.016  -0.303 -0.185  -0.368 -0.355  -0.424 -0.526  -0.454 -0.705  -0.484 -0.883  -0.485 -1.064  -0.440 -1.228  -0.312 -1.351  -0.134 -1.384  0.045 -1.379  0.223 -1.350  0.401 -1.317  0.578 -1.279  0.756 -1.241  0.734 -1.139  0.613 -1.004  0.492 -0.869  0.371 -0.734  0.251 -0.599  0.130 -0.464  0.009 -0.330  -0.112 -0.195  -0.233 -0.060  -0.354 0.075  -0.475 0.210  -0.596 0.345  -0.716 0.480  -0.840 0.612  -0.833 0.740  -0.657 0.780  -0.476 0.780  -0.296 0.792  -0.117 0.816  0.062 0.843  0.241 0.874  0.419 0.905  0.598 0.933  0.777 0.962  0.956 0.989  1.135 1.016
3#apb#apb05#app0541/a  0.402 1.150  0.336 1.318  0.167 1.358  0.008 1.257  -0.137 1.140  -0.275 1.013  -0.406 0.879  -0.531 0.738  -0.655 0.598  -0.760 0.443  -0.857 0.283  -0.953 0.121  -1.037 -0.046  -1.120 -0.214  -1.163 -0.397  -1.206 -0.580  -1.162 -0.760  -1.028 -0.860  -0.848 -0.874  -0.668 -0.823  -0.497 -0.749  -0.331 -0.661  -0.179 -0.553  -0.038 -0.430  0.103 -0.306  0.215 -0.155  0.326 -0.004  0.404 0.165  0.469 0.341  0.527 0.519  0.569 0.702  0.584 0.888  0.483 0.946  0.376 0.793  0.272 0.637  0.206 0.461  0.149 0.283  0.126 0.097  0.112 -0.089  0.139 -0.275  0.168 -0.460  0.212 -0.640  0.328 -0.788  0.482 -0.888  0.652 -0.962  0.840 -0.962  1.028 -0.962  1.215 -0.962  1.390 -0.904  1.560 -0.825
3#apb#apb05#app0541/C  0.621 0.540  0.672 0.653  0.684 0.710  0.676 0.587  0.658 0.464  0.629 0.344  0.594 0.225  0.617 0.195  0.663 0.310  0.709 0.425  0.730 0.545  0.730 0.669  0.684 0.783  0.627 0.894  0.563 1.000  0.463 1.071  0.350 1.118  0.230 1.146  0.121 1.088  0.015 1.025  -0.077 0.941  -0.168 0.856  -0.238 0.754  -0.307 0.651  -0.375 0.548  -0.434 0.439  -0.489 0.328  -0.545 0.217  -0.590 0.102  -0.631 -0.015  -0.671 -0.132  -0.710 -0.250  -0.741 -0.370  -0.772 -0.490  -0.803 -0.610  -0.804 -0.733  -0.794 -0.856  -0.784 -0.980  -0.719 -1.079  -0.632 -1.166  -0.520 -1.211  -0.399 -1.241  -0.279 -1.265  -0.155 -1.251  -0.032 -1.238  0.091 -1.225  0.210 -1.193  0.326 -1.150  0.443 -1.107  0.559 -1.064
3#apb#apb05#app0541/r  -0.329 0.878  -0.371 0.762  -0.413 0.646  -0.449 0.528  -0.471 0.407  -0.493 0.286  -0.498 0.163  -0.498 0.039  -0.498 -0.084  -0.498 -0.208  -0.498 -0.331  -0.498 -0.454  -0.498 -0.578  -0.502 -0.701  -0.509 -0.824  -0.517 -0.947  -0.525 -1.071  -0.527 -1.194  -0.527 -1.317  -0.527 -1.318  -0.527 -1.194  -0.527 -1.071  -0.522 -0.948  -0.507 -0.825  -0.491 -0.703  -0.476 -0.581  -0.441 -0.463  -0.394 -0.349  -0.347 -0.235  -0.300 -0.121  -0.240 -0.015  -0.161 0.080  -0.082 0.175  -0.003 0.270  0.090 0.350  0.186 0.427  0.283 0.504  0.379 0.581  0.485 0.640  0.603 0.677  0.721 0.714  0.838 0.751  0.958 0.779  1.080 0.802  1.201 0.825  1.322 0.847  1.445 0.850  1.569 0.850  1.692 0.850  1.816 0.850
3#apb#apb05#app0541/u  -0.954 1.108  -1.043 1.015  -1.097 0.879  -1.143 0.741  -1.143 0.595  -1.147 0.449  -1.168 0.305  -1.185 0.160  -1.185 0.013  -1.178 -0.132  -1.154 -0.276  -1.114 -0.416  -1.059 -0.551  -0.956 -0.655  -0.838 -0.732  -0.696 -0.768  -0.554 -0.763  -0.411 -0.731  -0.269 -0.700  -0.143 -0.626  -0.018 -0.550  0.106 -0.473  0.221 -0.383  0.334 -0.290  0.448 -0.198  0.535 -0.082  0.622 0.036  0.709 0.153  0.771 0.283  0.815 0.423  0.859 0.562  0.887 0.705  0.908 0.850  0.890 0.985  0.762 0.969  0.708 0.833  0.660 0.695  0.617 0.555  0.583 0.414  0.554 0.270  0.533 0.126  0.524 -0.020  0.517 -0.166  0.528 -0.311  0.543 -0.456  0.574 -0.599  0.619 -0.733  0.735 -0.821  0.874 -0.845  1.020 -0.845
3#apb#apb05#app0541/z  -1.320 0.852  -1.192 0.870  -1.057 0.870  -0.922 0.870  -0.787 0.879  -0.653 0.890  -0.518 0.902  -0.383 0.905  -0.248 0.905  -0.113 0.905  0.022 0.906  0.157 0.912  0.292 0.918  0.427 0.920  0.562 0.909  0.646 0.821  0.589 0.708  0.505 0.603  0.402 0.516  0.297 0.431  0.190 0.349  0.082 0.267  -0.024 0.183  -0.129 0.098  -0.234 0.013  -0.332 -0.080  -0.427 -0.175  -0.521 -0.273  -0.602 -0.381  -0.678 -0.492  -0.733 -0.615  -0.739 -0.749  -0.669 -0.855  -0.553 -0.923  -0.429 -0.972  -0.296 -1.000  -0.164 -1.005  -0.031 -0.982  0.102 -0.958  0.229 -0.912  0.356 -0.865  0.483 -0.820  0.614 -0.787  0.745 -0.754  0.876 -0.722  1.005 -0.679  1.132 -0.634  1.258 -0.586  1.385 -0.539  1.393 -0.645
